source_headword	NE	example_NE
aware	सचेत	उनी जोखिमबारे सचेत छिन्।
backwards	पछाडितिर	ऊ सावधानीपूर्वक पछाडितिर हिँड्यो।
bake	पकाउनु	म हरेक आइतबार रोटी पकाउँछु।
balance	सन्तुलन	राम्रा जुत्ताले तिम्रो सन्तुलनमा मद्दत गर्छन्।
ban	प्रतिबन्ध लगाउनु	सहरले कारमा प्रतिबन्ध लगाउनेछ।
bank (river)	नदी किनार	हामी नदी किनारमा बस्यौँ।
base	आधार	टोली आधारमा फर्कियो।
basic	आधारभूत	सबैलाई आधारभूत कम्प्युटर सीप चाहिन्छ।
basis	आधार	विश्वास मित्रताको आधार हो।
battery	ब्याट्री	मेरो फोनको ब्याट्री कम छ।
battle	लडाइँ	लडाइँ रातभर चल्यो।
beauty	सुन्दरता	हामीले पहाडको सुन्दरता प्रशंसा गर्‍यौँ।
bee	मौरी	एउटा मौरी फूलमा बस्यो।
belief	विश्वास	उसको विश्वासले उसलाई साहस दियो।
bell	घण्टी	विद्यालयको घण्टी ठूलो स्वरमा बज्यो।
bend	मोड्नु	सामान उठाउँदा घुँडा मोड।
bite	टोक्नु	कुकुरले अपरिचितलाई टोक्न सक्छ।
block	अवरोध गर्नु	ढलेको रूखले सडक अवरोध गर्‍यो।
bomb	बम	बमले धेरै भवनमा क्षति पुर्‍यायो।
border	सीमा	उनीहरूले राति सीमा पार गरे।
bother	परेशान गर्नु	कृपया आफ्नी बहिनीलाई परेशान नगर।
branch	हाँगा	आँधीमा एउटा हाँगा भाँचियो।
brand	ब्रान्ड	यो ब्रान्ड विद्यार्थीहरूमा लोकप्रिय छ।
brave	बहादुर	बहादुर मानिसले बालकलाई बचायो।
breath	सास	गहिरो सास लेऊ।
breathe	सास फेर्नु	म यो धुवाँमा सास फेर्न सक्दिनँ।
breathing	सास फेर्ने काम	उनको सास फेर्ने काम ढिलो थियो।
bride	दुलही	दुलहीले सेतो पोशाक लगाइन्।
bubble	बुलबुला	एउटा बुलबुला गिलासमाथि तैरियो।
bury	गाड्नु	उनीहरूले बाकस बालुवामा गाडे।
calm	शान्त	परीक्षाको बेला शान्त रह।
campaign	अभियान	अभियानले विद्यालयका लागि पैसा उठायो।
campus	क्याम्पस	विद्यार्थीहरू क्याम्पस नजिक बस्छन्।
candidate	उम्मेदवार	प्रत्येक उम्मेदवारले तीन प्रश्नको उत्तर दियो।
cap	टोपी	उसले बेसबल टोपी लगायो।
captain	कप्तान	कप्तानले टोलीसँग कुरा गर्‍यो।
careless	लापरवाह	लापरवाह गल्तीले हाम्रो समय गयो।
category	श्रेणी	सही श्रेणी छान।
ceiling	छत	छत सेतो रंगिएको थियो।
celebration	उत्सव	उत्सव साँझभर चल्यो।
central	केन्द्रीय	होटलको स्थान केन्द्रीय छ।
ceremony	समारोह	समारोह दिउँसो सुरु भयो।
chain	सिक्री	उनले चाँदीको सिक्री लगाइन्।
challenge	चुनौती	यो परियोजना वास्तविक चुनौती हो।
champion	विजेता	विजेताले आफ्नो प्रशिक्षकलाई धन्यवाद दिइन्।
channel	च्यानल	कृपया च्यानल परिवर्तन गर।
chapter	अध्याय	आज राति अर्को अध्याय पढ।
charge	शुल्क	बालबालिकाका लागि शुल्क छैन।
cheat	नक्कल गर्नु	परीक्षामा नक्कल नगर।
cheerful	हँसिलो	उनी आज बिहान हँसिलो सुनिइन्।
chemical	रासायनिक	रासायनिक गन्ध कडा थियो।
chest	छाती	दौडिएपछि उसको छाती दुख्यो।
childhood	बाल्यकाल	म आफ्नो बाल्यकालको घर सम्झन्छु।
claim	दाबी गर्नु	उनीहरू उत्पादन सुरक्षित छ भनेर दाबी गर्छन्।
clause	उपवाक्य	यो उपवाक्यले अर्थ बदल्छ।
click	क्लिक गर्नु	निलो बटन क्लिक गर।
client	ग्राहक	ग्राहकले थप विवरण माग्यो।
cloth	कपडा	यो कपडाले टेबल पुछ।
clue	सङ्केत	सङ्केतले हामीलाई समाधान गर्न मद्दत गर्‍यो।
coal	कोइला	पुरानो रेलले कोइला प्रयोग गर्थ्यो।
coin	सिक्का	उसले भुइँमा सिक्का भेट्यो।
collection	सङ्कलन	उनको टिकट सङ्कलन ठूलो छ।
coloured	रङ्गीन	उनले रङ्गीन स्कार्फ लगाइन्।
combine	मिसाउनु	पीठो र पानी मिसाऊ।
commercial	व्यावसायिक	व्यावसायिक विराम पाँच मिनेट चल्यो।
commit	प्रतिबद्ध हुनु	हामी योजनामा प्रतिबद्ध हुनुपर्छ।
communication	सञ्चार	राम्रो सञ्चारले गल्ती रोक्छ।
comparison	तुलना	यो तुलना उपयोगी छ।
competitive	प्रतिस्पर्धी	बजार धेरै प्रतिस्पर्धी छ।
competitor	प्रतिस्पर्धी	हाम्रो मुख्य प्रतिस्पर्धीले मूल्य घटायो।
complaint	गुनासो	उनले आवाजबारे गुनासो गरिन्।
complex	जटिल	निर्देशनहरू धेरै जटिल छन्।
concentrate	ध्यान केन्द्रित गर्नु	संगीत बज्दा म ध्यान केन्द्रित गर्न सक्दिनँ।
conclude	समाप्त गर्नु	हामी बैठक अहिले समाप्त गर्छौँ।
conclusion	निष्कर्ष	उसको निष्कर्ष उचित देखियो।
confident	आत्मविश्वासी	अन्तर्वार्ताअघि उनी आत्मविश्वासी महसुस गरिन्।
confirm	पुष्टि गर्नु	कृपया आफ्नो ईमेल ठेगाना पुष्टि गर्नुहोस्।
confuse	अलमल पार्नु	यी दुई नामले मलाई अलमल पार्छन्।
confused	अलमलिएको	म नक्साबाट अलमलिएको महसुस गरेँ।
connection	जडान	इन्टरनेट जडान ढिलो छ।
consequence	परिणाम	निद्रा नपुग्दा परिणाम हुन्छ।
consist	समावेश हुनु	भोजन तीन परिकारबाट बनेको छ।
consume	खपत गर्नु	ठूला कारहरूले बढी इन्धन खपत गर्छन्।
consumer	उपभोक्ता	उपभोक्ताले स्पष्ट जानकारी चाहन्छ।
contact	सम्पर्क	दिउँसोको खानापछि मलाई सम्पर्क गर।
container	भाँडो	सुप भाँडोमा राख।
content1	सामग्री	पाठ्यक्रमको सामग्री उपयोगी छ।
continuous	निरन्तर	मेसिनले निरन्तर आवाज गर्‍यो।
contrast	भिन्नता	उनीहरूबीचको भिन्नता स्पष्ट छ।
convenient	सुविधाजनक	स्टेशन धेरै सुविधाजनक छ।
convince	मनाउनु	उनले उसलाई फेरि प्रयास गर्न मनाइन्।
costume	पोशाक	उसले समुद्री डाँकुको पोशाक लगायो।
cottage	सानो घर	उनीहरूले सानो घर भाडामा लिए।
cotton	कपास	यो कमिज कपासबाट बनेको छ।
countryside	ग्रामीण क्षेत्र	हामी ग्रामीण क्षेत्र हुँदै हिँड्यौँ।
court	अदालत	मुद्दा अदालतमा गयो।
covered	ढाकिएको	टेबल कागजहरूले ढाकिएको थियो।
cruel	क्रूर	हाँस्नु क्रूर थियो।
cultural	सांस्कृतिक	संग्रहालयले सांस्कृतिक कार्यक्रम दिन्छ।
currency	मुद्रा	स्थानीय मुद्रा युरो हो।
current	हालको	हालको अवस्था कठिन छ।
currently	हाल	उनी हाल विदेशमा पढ्दै छिन्।
curtain	पर्दा	राति पर्दा बन्द गर।
custom	रीति	यो रीति धेरै पुरानो छ।
damage	क्षति	आँधीले गम्भीर क्षति पुर्‍यायो।
decade	दशक	उनीहरू त्यहाँ एक दशक बसे।
decorate	सजाउनु	हामी कोठा सँगै सजाउँछौँ।
define	परिभाषित गर्नु	के तिमी यो शब्द परिभाषित गर्न सक्छौ।
definite	निश्चित	हामीलाई निश्चित उत्तर चाहिन्छ।
definition	परिभाषा	परिभाषा आफ्नो कापीमा लेख।
deliver	पुर्‍याउनु	उनीहरूले हाम्रो घरमा खाना पुर्‍याउँछन्।
departure	प्रस्थान	प्रस्थान समय बदलियो।
despite	बावजुद	वर्षाको बावजुद हामी हिँड्यौँ।
destination	गन्तव्य	पेरिस उनीहरूको अन्तिम गन्तव्य थियो।
determine	निर्धारण गर्नु	परीक्षाले तिम्रो स्तर निर्धारण गर्छ।
determined	दृढ	उनी सफल हुन दृढ थिइन्।
development	विकास	सहरको विकास छिटो भयो।
diagram	चित्र	सरल चित्र कोर।
diamond	हीरा	औँठीमा सानो हीरा थियो।
difficulty	कठिनाइ	उसलाई ढोका खोल्न कठिनाइ भयो।
directly	सिधै	कृपया मसँग सिधै बोल।
dirt	माटो	उसका जुत्ता माटोले ढाकिएका थिए।
disadvantage	बेफाइदा	लामो यात्रा बेफाइदा हो।
disappointed	निराश	उनी नतिजाबाट निराश भइन्।
disappointing	निराशाजनक	अन्त्य निराशाजनक थियो।
discount	छुट	विद्यार्थीहरूले यहाँ छुट पाउँछन्।
dislike	मन नपराउनु	म धेरै ठूलो संगीत मन पराउँदिनँ।
divide	विभाजन गर्नु	केक टुक्रामा विभाजन गर।
documentary	वृत्तचित्र	हामीले अन्तरिक्षबारे वृत्तचित्र हेर्‍यौँ।
donate	दान गर्नु	धेरै मानिसले पुराना कपडा दान गर्छन्।
doubt	शङ्का	मलाई यसबारे कुनै शङ्का छैन।
dressed	लुगा लगाएको	ऊ कालो लुगा लगाएको थियो।
drum	ढोल	ढोलको आवाज कोठाभरि सुनियो।
drunk	मातेको	चालक मातेको थियो।
due	बुझाउनुपर्ने	प्रतिवेदन भोलि बुझाउनुपर्ने छ।
dust	धुलो	पुराना किताबमा धुलो जमेको थियो।
duty	कर्तव्य	मद्दत गर्नु मेरो कर्तव्य हो।
earthquake	भूकम्प	भूकम्पले पुलमा क्षति पुर्‍यायो।
eastern	पूर्वी	पूर्वी तटमा हावा चल्छ।
economic	आर्थिक	देशले आर्थिक समस्या सामना गरिरहेको छ।
economy	अर्थतन्त्र	अर्थतन्त्र यो वर्ष बढ्यो।
edge	किनारा	किनाराबाट टाढा उभ।
editor	सम्पादक	सम्पादकले लेख जाँच्यो।
educate	शिक्षा दिनु	विद्यालयहरूले युवाहरूलाई शिक्षा दिन्छन्।
educated	शिक्षित	उनी धेरै शिक्षित छिन्।
educational	शैक्षिक	खेल शैक्षिक छ।
effective	प्रभावकारी	यो औषधि प्रभावकारी छ।
effectively	प्रभावकारी रूपमा	उनले नियम प्रभावकारी रूपमा व्याख्या गरिन्।
effort	प्रयास	तिम्रो प्रयासले फरक पार्‍यो।
election	चुनाव	चुनावको नतिजा नजिक थियो।
element	तत्त्व	विश्वास महत्त्वपूर्ण तत्त्व हो।
embarrassed	लज्जित	लडेपछि ऊ लज्जित भयो।
embarrassing	लज्जास्पद	त्यो लज्जास्पद गल्ती थियो।
emergency	आपतकाल	आपतकालमा यो नम्बरमा फोन गर।
emotion	भावना	डर बलियो भावना हो।
employment	रोजगारी	यस महिना रोजगारी बढ्यो।
encourage	प्रोत्साहन दिनु	शिक्षकहरूले विद्यार्थीलाई पढ्न प्रोत्साहन दिन्छन्।
enemy	शत्रु	ती दुई देश शत्रु थिए।
engaged	इंगेज भएको	उनीहरू गत वसन्तमा इंगेज भए।
engineering	इन्जिनियरिङ	उनी विश्वविद्यालयमा इन्जिनियरिङ पढ्छिन्।
entertain	मनोरञ्जन दिनु	गायकले पाहुनालाई मनोरञ्जन दिनेछ।
entertainment	मनोरञ्जन	सहरले साँझको मनोरञ्जन दिन्छ।
entrance	प्रवेशद्वार	मलाई प्रवेशद्वारमा भेट।
entry	प्रवेश	बालबालिकाका लागि प्रवेश निःशुल्क छ।
environmental	वातावरणीय	हामीले वातावरणीय समस्याबारे छलफल गर्‍यौँ।
episode	कडी	अन्तिम कडी रोमाञ्चक थियो।
equal	बराबर	उनीहरूले बराबर तलब पाउँछन्।
equally	बराबर रूपमा	काम बराबर रूपमा बाँडिएको छ।
escape	भाग्नु	कैदीहरूले भाग्ने प्रयास गरे।
essential	आवश्यक	पानी जीवनका लागि आवश्यक छ।
eventually	अन्ततः	अन्ततः हामीले होटल भेट्यौँ।
examine	जाँच्नु	डाक्टरले मेरो हात जाँच्यो।
exchange	साटासाट	हामीले पसलमा साटासाट गर्‍यौँ।
excitement	उत्साह	खेल उत्साहले भरिएको थियो।
exhibition	प्रदर्शनी	कला प्रदर्शनी भोलि खुल्छ।
expand	विस्तार गर्नु	कम्पनी विस्तार गर्ने योजना बनाउँछ।
expected	अपेक्षित	अपेक्षित खर्च उच्च छ।
expedition	अभियान यात्रा	अभियान यात्राले मरुभूमि पार गर्‍यो।
experienced	अनुभवी	उनी अनुभवी नर्स हुन्।
explode	विस्फोट हुनु	तातोमा बोतल विस्फोट हुन सक्छ।
explore	अन्वेषण गर्नु	हामीले पुरानो सहर अन्वेषण गर्‍यौँ।
explosion	विस्फोट	विस्फोटले धेरै झ्याल तोड्यो।
export	निर्यात	कफी महत्त्वपूर्ण निर्यात हो।
fairly	काफी	परीक्षा काफी सजिलो थियो।
familiar	चिनिएको	उनको अनुहार चिनिएको जस्तो लाग्यो।
fancy	मन लाग्नु	के तिमीलाई कफी पिउन मन छ।
fascinating	मनमोहक	कथा मनमोहक थियो।
fashionable	फेसनेबल	ती जुत्ता फेसनेबल छन्।
fasten	बाँध्नु	आफ्नो सिट बेल्ट बाँध।
favour	उपकार	के तिमी मलाई उपकार गर्न सक्छौ।
fence	बार	बारले बगैँचा घेरेको छ।
fighting	लडाइँ	लडाइँ बिहान रोकियो।
file	फाइल	बन्द गर्नुअघि फाइल बचत गर।
financial	वित्तीय	उनलाई वित्तीय सल्लाह चाहिन्छ।
fitness	तन्दुरुस्ती	दौडले तन्दुरुस्ती सुधार्छ।
fixed	निश्चित	मूल्य निश्चित छ।
flag	झण्डा	झण्डा विद्यालयमाथि फहरायो।
flood	बाढी	बाढीले धेरै घरमा क्षति गर्‍यो।
flour	पीठो	कटोरामा पीठो थप।
flow	बग्नु	नदी सहर हुँदै बग्छ।
fold	पट्याउनु	कागज आधा पट्याऊ।
folk	लोक	हलमा लोक संगीत बज्यो।
force	शक्ति	हावामा ठूलो शक्ति थियो।
forever	सधैँ	म यो सधैँ सम्झनेछु।
frame	फ्रेम	फोटोका लागि फ्रेम चाहिन्छ।
freeze	जम्नु	पानी रातभर जम्नेछ।
frequently	बारम्बार	ऊ आफ्ना आमाबाबुलाई बारम्बार भेट्छ।
friendship	मित्रता	उनीहरूको मित्रता वर्षौँ रह्यो।
frighten	तर्साउनु	ठूला आवाजले बच्चालाई तर्साउँछ।
frightened	डराएको	बालक डराएको देखियो।
frightening	डरलाग्दो	आँधी डरलाग्दो थियो।
frozen	जमेको	ताल जमेको थियो।
fry	भुट्नु	प्याज पाँच मिनेट भुट।
fuel	इन्धन	कारलाई थप इन्धन चाहिन्छ।
function	कार्य	यो बटनको एउटा कार्य छ।
fur	रौँ	बिरालोको नरम रौँ छ।
garage	ग्यारेज	कार ग्यारेजमा छ।
gather	भेला हुनु	हामी टेबल वरिपरि भेला भयौँ।
generally	सामान्यतया	उनी सामान्यतया चाँडै आइपुग्छिन्।
generation	पुस्ता	प्रत्येक पुस्ताले नयाँ समस्या सामना गर्छ।
generous	उदार	ऊ आफ्नो समयप्रति उदार छ।
gentle	कोमल	कोमल आवाज प्रयोग गर।
gentleman	भद्र मानिस	भद्र मानिसले ढोका खोल्यो।
ghost	भूत	कथाले भूतको उल्लेख गर्छ।
giant	विशाल	विशाल पर्दाले मञ्च भरियो।
glad	खुसी	तिमी आएकोमा म खुसी छु।
global	विश्वव्यापी	जलवायु परिवर्तन विश्वव्यापी मुद्दा हो।
glove	पञ्जा	मैले एउटा पञ्जा हराएँ।
goods	सामान	सामान ढिलो आइपुग्यो।
grade	अङ्क	उनले उच्च अङ्क पाइन्।
graduate	स्नातक	ऊ नयाँ स्नातक हो।
grain	अन्नको दाना	चामलको एउटा दाना खस्यो।
grateful	कृतज्ञ	म तिम्रो समर्थनका लागि कृतज्ञ छु।
growth	वृद्धि	बोटले स्थिर वृद्धि देखायो।
guard	गार्ड	गार्डले हाम्रो टिकट जाँच्यो।
guilty	दोषी	झूट बोलेकोमा ऊ दोषी महसुस गर्‍यो।
hang	झुन्ड्याउनु	आफ्नो कोट यहाँ झुन्ड्याऊ।
happiness	खुसी	पैसाले खुसी किन्न सक्दैन।
hardly	मुश्किलले	म तिमीलाई मुश्किलले सुन्न सकेँ।
headline	शीर्षक	शीर्षकले मेरो ध्यान खिच्यो।
heating	ताप प्रणाली	ताप प्रणालीले काम गर्न छोड्यो।
heavily	भारी रूपमा	रातभर भारी रूपमा पानी पर्‍यो।
helicopter	हेलिकप्टर	हेलिकप्टर नजिकै अवतरण गर्‍यो।
highlight	मुख्य पार्नु	कृपया मुख्य विचार मुख्य पार।
highly	अत्यन्तै	उनी अत्यन्तै सम्मानित छिन्।
hire	भाडामा लिनु	हामीले कार भाडामा लिनुपर्छ।
historic	ऐतिहासिक	हामीले ऐतिहासिक भवन भ्रमण गर्‍यौँ।
historical	इतिहाससम्बन्धी	उनी इतिहाससम्बन्धी उपन्यास मन पराउँछिन्।
honest	इमानदार	कृपया इमानदार उत्तर देऊ।
horrible	भयानक	गन्ध भयानक थियो।
horror	डरावनी	उनी डरावनी चलचित्र मन पराउँछन्।
host	मेजबान	मेजबानले हरेक पाहुनालाई स्वागत गर्‍यो।
