simplified	LT	example_LT
吃亏	patirti nuostolių; nukentėti	Prieš pirkdamas daiktus gerai apžiūrėk, kad nenukentėtum.
持续	tęstis; nuolatinis	Lietus tęsėsi tris dienas.
池塘	tvenkinys	Tvenkinyje yra daug žuvų.
迟早	anksčiau ar vėliau	Anksčiau ar vėliau suprasi.
尺子	liniuotė	Prašau pamatuoti liniuote.
翅膀	sparnas	Paukščio sparnas sužeistas.
充电器	įkroviklis	Mano įkroviklis sugedo.
充分	pakankamas; visapusiškas	Mes gerai pasiruošėme.
充满	būti pilnam; kupinas	Kambarys buvo pilnas juoko.
冲	plauti vandeniu; veržtis	Prašau praskalauti puodelį vandeniu.
重复	kartoti; dubliuoti	Prašau nekartoti tos pačios klaidos.
宠物	augintinis	Ji laiko šunį kaip augintinį.
抽屉	stalčius	Raktas yra stalčiuje.
抽象	abstraktus	Ši sąvoka per daug abstrakti.
丑	negražus; bjaurus	Ši nuotrauka šiek tiek negraži.
臭	smirti; smirdantis	Šiukšlės blogai kvepia.
出版	išleisti; publikuoti	Ši knyga buvo išleista pernai.
出口	išėjimas; eksportas	Išėjimas yra priekyje.
出色	puikus; išskirtinis	Jos pasirodymas puikus.
出示	parodyti; pateikti	Prašau parodyti pasą.
出席	dalyvauti; būti	Jis dalyvaus susitikime.
初级	pradinis; pradedančiųjų	Mokausi kinų kalbos pradedančiųjų klasėje.
除非	nebent	Nebent lis, rytoj eisime į žygį.
除夕	kinų Naujųjų metų išvakarės	Kinų Naujųjų metų išvakarėse visa šeima valgo kartu.
处理	tvarkyti; spręsti	Aš išspręsiu šią problemą.
传播	skleisti; plisti	Ši naujiena pasklido labai greitai.
传染	užkrėsti; plisti	Peršalimas lengvai plinta.
传说	legenda	Tai sena legenda.
传统	tradicija; tradicinis	Pavasario šventė yra tradicinė kinų šventė.
窗帘	užuolaidos	Prašau atitraukti užuolaidas.
闯	įsiveržti; pralėkti; pažeisti	Jis netyčia pravažiavo degant raudonam šviesoforo signalui.
创造	kurti; sukurti	Žmonės sukūrė naujų įrankių.
吹	pūsti; groti pučiamuoju instrumentu	Vėjas pučia stipriai.
词汇	žodynas; leksika	Šis žodis dažnai vartojamas.
辞职	išeiti iš darbo; atsistatydinti	Jis nusprendė išeiti iš darbo.
此外	be to; papildomai	Be to, turiu dar vieną klausimą.
刺激	stimuliuoti; jaudinantis	Šis žaidimas labai jaudinantis.
次要	antraeilis	Ši problema yra antraeilė.
匆忙	skubotas; paskubomis	Jis skubėdamas išėjo iš namų.
从此	nuo tada	Nuo tada jis kasdien sportavo.
从而	taip; dėl to	Jis stropiai mokėsi ir dėl to išlaikė egzaminą.
从前	anksčiau; kadaise	Anksčiau čia nebuvo metro.
从事	užsiimti; dirbti	Ji dirba švietimo srityje.
粗糙	šiurkštus; grubus	Šis popieriaus lapas labai šiurkštus.
促进	skatinti	Sportas gali gerinti sveikatą.
促使	paskatinti	Šis įvykis paskatino jį pakeisti planą.
醋	actas	Į patiekalą buvo įpilta acto.
催	raginti; skubinti	Mama ragino mane greitai išeiti.
存在	egzistuoti; būti	Ši problema vis dar egzistuoja.
措施	priemonė; žingsnis	Mokykla ėmėsi saugumo priemonių.
答应	sutikti; pažadėti	Jis sutiko man padėti.
达到	pasiekti	Jo pažymiai pasiekė reikalaujamą lygį.
打工	dirbti laikiną darbą; uždarbiauti	Per vasaros atostogas jis dirba ne visą darbo dieną restorane.
打交道	turėti reikalų; bendrauti	Dažnai turiu reikalų su klientais.
打喷嚏	čiaudėti	Jis peršalo ir vis čiaudi.
打听	teirautis; klausinėti	Norėčiau pasiteirauti apie traukinio bilietus.
大方	dosnus; stilingas	Ji labai dosni pinigų atžvilgiu.
大厦	didelis pastatas; rūmai	Tas didelis pastatas labai aukštas.
大象	dramblys	Vaikai zoologijos sode žiūri į dramblius.
大型	didelio masto	Čia bus pastatytas didelis prekybos centras.
呆	būti; bukas; sustingęs	Jis būna namuose ir skaito.
代表	atstovas; atstovauti	Ši gėlė simbolizuoja draugystę.
代替	pakeisti; vietoje	Šiandien dalyvausiu susitikime vietoj jo.
待遇	atlygis; sąlygos	Šios įmonės sąlygos geros.
贷款	paskola	Jie kreipėsi dėl būsto paskolos.
单纯	paprastas; tyras	Jos mintis labai paprasta.
单调	monotoniškas	Šis darbas šiek tiek monotoniškas.
单独	vienas; atskirai	Noriu pasikalbėti su tavimi vienu du.
单位	vienetas; darbovietė	Jis dirba viešojoje įstaigoje.
单元	vienetas; skyrius	Šiandien mokomės trečią skyrių.
担任	eiti pareigas; būti atsakingam	Ji yra atsakinga už šį renginį.
耽误	gaišti; uždelsti	Negaišink visų laiko.
胆小鬼	bailys	Nevadink jo bailiu.
淡	blankus; silpnas; prėskas	Ši sriuba šiek tiek prėska.
当地	vietinis	Vietiniai žmonės visi mėgsta šį turgų.
当心	būti atsargiam	Kelias slidus, todėl būk atsargus.
挡	blokuoti; trukdyti	Šis automobilis užstoja įėjimą.
倒霉	nesisekti; nepasisekęs	Šiandien tikrai nesiseka, pamečiau telefoną.
导演	režisierius; režisuoti	Šis režisierius labai garsus.
导致	sukelti; lemti	Stiprus lietus sukėlė transporto spūstį.
岛屿	sala	Ši šalis turi daug salų.
到达	atvykti; pasiekti	Traukinys laiku atvyko į Šanchajų.
道德	moralė; etika	Žmogus turėtų turėti moralės principų.
道理	prasmė; tiesa; argumentas	Tai, ką jis pasakė, turi daug prasmės.
登记	registruotis; užregistruoti	Prašau pirmiausia užsiregistruoti registratūroje.
等待	laukti	Laukiame rezultato.
等于	lygu; prilygti	Penki plius penki lygu dešimt.
滴	lašas; lašėti	Ant stalo nukrito vandens lašas.
敌人	priešas	Jie nėra priešai.
的确	iš tiesų; tikrai	Šis reikalas iš tiesų labai svarbus.
地道	autentiškas; tikras	Jis kalba autentiška Pekino tarme.
地理	geografija	Man labai įdomi Kinijos geografija.
地区	regionas; rajonas	Šiame regione žiemą labai šalta.
地毯	kilimas	Svetainėje patiesta kiliminė danga.
地位	padėtis; statusas	Švietimas užima svarbią vietą visuomenėje.
地震	žemės drebėjimas	Vakar naktį čia įvyko žemės drebėjimas.
递	paduoti; perduoti	Prašau perduoti šį laišką mokytojui.
点心	užkandis; desertas	Popiet valgėme užkandžių.
电池	baterija	Šiam žaislui reikia dviejų baterijų.
电台	radijo stotis	Jis veda laidą radijo stotyje.
钓	žvejoti	Senelis mėgsta žvejoti prie upės.
顶	viršus; viršugalvis	Jis dėvi juodą kepurę.
冻	sušalti; užšalti	Lauke taip šalta, kad vanduo užšalo.
动画片	animacinis filmas	Vaikai žiūri animacinius filmus.
洞	skylė; urvas	Sienoje yra maža skylė.
豆腐	tofu	Šis tofu patiekalas skanus.
逗	erzinti; linksminti	Jo žodžiai prajuokino visus.
独立	nepriklausomas; savarankiškai	Ji nori gyventi savarankiškai.
独特	unikalus; savitas	Šis miestas turi savitą kultūrą.
度过	praleisti; išgyventi	Atostogas praleidome prie jūros.
断	nutrūkti; lūžti	Ši virvė nutrūko.
堆	krūva; sukrauti	Ant stalo sukrauta daug dokumentų.
兑换	iškeisti; konvertuoti	Norėčiau išsikeisti juanių.
对比	palyginti; kontrastas	Prašau palyginti šiuos du planus.
对待	elgtis su; požiūris	Turėtume su visais elgtis sąžiningai.
对方	kita pusė; pašnekovas	Prašau pirmiausia išklausyti kitos pusės nuomonę.
对手	varžovas; priešininkas	Jo varžovas labai stiprus.
对象	objektas; tikslas; partneris	Tyrimo objektai yra universiteto studentai.
吨	tona	Šis sunkvežimis gali vežti tris tonas prekių.
蹲	tūpti; tupėti	Jis tupi ant žemės ir ieško raktų.
顿	kartas; valgis; pauzė	Vakarieniavome kartu.
多亏	dėka; laimei	Tavo pagalbos dėka atlikau užduotį.
多余	perteklinis; nereikalingas	Šis sakinys nereikalingas.
朵	žiedo skaitiklis; gėlė	Ant stalo yra gėlė.
躲藏	slėptis	Kačiukas slepiasi po lova.
恶劣	blogas; prastas	Šiandien oras labai blogas.
耳环	auskaras	Ji nešioja auskarų porą.
发表	paskelbti; išsakyti	Susitikime jis išsakė savo nuomonę.
发愁	nerimauti; rūpintis	Nesijaudink dėl šio mažo reikalo.
发达	išsivystęs; klestintis	Šiame mieste transportas gerai išvystytas.
发抖	drebėti; virpėti	Jis dreba nuo šalčio.
发挥	panaudoti; atskleisti	Prašau pasitelkti savo vaizduotę.
发明	išradimas; išrasti	Elektros lemputė yra svarbus išradimas.
发票	sąskaita faktūra; kvitas	Prašau išrašyti man sąskaitą faktūrą.
发言	pasisakyti; kalba	Susitikime jis pasisakė.
罚款	bauda; skirti baudą	Už neteisėtą parkavimą bus skirta bauda.
法院	teismas	Ši byla buvo perduota teismui.
翻	versti; apversti	Prašau atversti knygą dešimtame puslapyje.
繁荣	klestintis; klestėjimas	Ekonomika pamažu klesti.
反而	priešingai; užuot	Jis nesupyko, priešingai, nusijuokė.
反复	pakartotinai; vėl ir vėl	Šį sakinį reikia kartoti daug kartų.
反应	reakcija; reaguoti	Jo reakcija greita.
反映	atspindėti; parodyti	Ši ataskaita atspindi tikrąją padėtį.
反正	šiaip ar taip; bet kuriuo atveju	Šiaip ar taip, rytoj turiu laiko.
范围	apimtis; ribos	Prašau neperžengti šių ribų.
方	kvadratas; kvadratinis	Prašau popieriuje nupiešti kvadratą.
方案	planas; pasiūlymas	Šis planas gana pagrįstas.
方式	būdas; metodas	Šis mokymosi būdas labai veiksmingas.
妨碍	trukdyti; kliudyti	Prašau netrukdyti kitų darbui.
仿佛	tarsi; atrodyti	Atrodo, kad jis viską žino.
非	ne-; būtinai ne	Šio reikalo be tavęs padaryti nepavyks.
肥皂	muilas	Plaudamas rankas naudok muilą.
废话	nesąmonė; tušti žodžiai	Baik kalbėti nesąmones ir greitai pradėk.
分别	išsiskirti; atskirti	Jie išsiskyrė stotyje.
分布	pasiskirstyti; būti išsidėsčiusiam	Šios parduotuvės išsidėsčiusios visame mieste.
分配	paskirstyti; priskirti	Mokytojas paskyrė naują užduotį.
分手	išsiskirti; nutraukti santykius	Jie išsiskyrė pernai.
分析	analizuoti; analizė	Turime išanalizuoti priežastis.
纷纷	vienas po kito; paeiliui	Visi vienas po kito išreiškė pritarimą.
奋斗	stengtis; kovoti	Jauni žmonės turėtų siekti savo svajonių.
疯狂	beprotiškas; pašėlusiai	Gerbėjai pašėlusiai džiūgavo.
风格	stilius	Šio restorano stilius labai savitas.
风景	peizažas; kraštovaizdis	Kalno peizažas gražus.
风俗	paprotys	Kiekviena vieta turi savo papročių.
风险	rizika	Investavimas susijęs su tam tikra rizika.
讽刺	satyrizuoti; pašiepti	Šis straipsnis satyriškai aprašė socialines problemas.
否定	neigti; paneigimas	Jis paneigė šį teiginį.
否认	neigti	Jis neigė padaręs klaidą.
幅	paveikslo skaitiklis; plotis	Ant sienos kabo paveikslas.
扶	paremti; padėti	Prašau padėti senoliui pereiti kelią.
服装	drabužiai; apranga	Ši parduotuvė parduoda vaikų drabužius.
辅导	konsultuoti; mokyti papildomai	Po pamokų mokytojas konsultuoja mokinius.
复制	kopijuoti; padaryti kopiją	Prašau nukopijuoti šį dokumentą.
妇女	moteris	Ši ligoninė teikia paslaugas moterims.
改革	reforma; reformuoti	Mokykla vykdo mokymo reformą.
改进	pagerinti	Turime pagerinti paslaugų kokybę.
改善	pagerinti	Sportas gali pagerinti miegą.
改正	ištaisyti	Prašau laiku ištaisyti klaidas.
概括	apibendrinti	Prašau apibendrinti straipsnio turinį.
概念	sąvoka; koncepcija	Šią sąvoką ne taip lengva suprasti.
盖	dangtis; uždengti	Prašau gerai uždengti puodelį.
干脆	tiesiai; paprasčiausiai	Gal šiandien tiesiog neik.
干燥	sausas	Šiaurėje žiemos labai sausos.
感激	dėkingas; būti dėkingam	Esu labai dėkingas už tavo pagalbą.
感受	jausmas; patirti	Galiu suprasti tavo jausmus.
感想	mintys; įspūdžiai	Prašau papasakoti savo įspūdžius.
赶紧	skubėti; greitai	Jau vėlu, todėl skubėk išeiti.
赶快	greitai; tuoj pat	Greitai uždaryk duris.
干活儿	dirbti fizinį darbą	Jis dirba kieme.
钢铁	plienas; geležis ir plienas	Šis tiltas pagamintas iš plieno.
高档	aukštos klasės; prabangus	Tai aukštos klasės viešbutis.
高级	aukšto lygio; pažengęs	Ji įstojo į pažengusiųjų kinų kalbos klasę.
搞	daryti; organizuoti	Kokį renginį organizuoji?
告别	atsisveikinti	Oro uoste atsisveikinome su draugu.
格外	ypač	Šiandien dangus ypač mėlynas.
隔壁	šalia; gretimas	Šalia gyvena mokytojas.
个别	pavienis; atskiras	Kai kurie pavieniai mokiniai dar neatidavė namų darbų.
个人	asmeninis; individas	Tai mano asmeninė nuomonė.
个性	asmenybė; individualumas	Ji turi ryškią asmenybę.
各自	kiekvienas savo	Visi atlieka savo užduotį.
根	šaknis; ilgo daikto skaitiklis	Po stalu yra laidas.
根本	iš esmės; visiškai	Ši problema visai nesunki.
公布	paskelbti; paviešinti	Mokykla paskelbė egzaminų rezultatus.
公开	viešas; paviešinti	Šis susitikimas yra viešas.
公平	teisingas; sąžiningas	Varžybos turėtų būti sąžiningos.
公寓	butas; daugiabutis	Ji išsinuomojo mažą butą.
公元	mūsų eros metai	Šie metai yra 2026-ieji mūsų eros metai.
公主	princesė	Maža mergaitė mėgsta pasakas apie princeses.
功能	funkcija	Ši programinė įranga turi daug funkcijų.
工厂	gamykla	Ši gamykla gamina automobilius.
工程师	inžinierius	Mano vyresnysis brolis yra inžinierius.
工具	įrankis	Dviračiui taisyti reikia įrankių.
工人	darbininkas	Darbininkai taiso kelią.
工业	pramonė	Šis miestas daugiausia remiasi pramone.
恭喜	sveikinimai	Sveikinu išlaikius egzaminą.
贡献	indėlis; prisidėti	Jis prisidėjo prie įmonės.
沟通	bendrauti; komunikacija	Geras bendravimas labai svarbus.
构成	sudaryti; formuoti	Šios dalys sudaro visumą.
姑姑	teta iš tėvo pusės	Šį savaitgalį eisiu aplankyti tetos.
姑娘	mergina; jauna moteris	Ta mergina labai geraširdė.
古代	senovė	Senovėje nebuvo mobiliųjų telefonų.
古典	klasikinis	Man patinka klasikinė muzika.
股票	akcija; vertybiniai popieriai	Jis nusipirko akcijų.
骨头	kaulas	Šis kaulas labai kietas.
鼓舞	įkvepiantis; padrąsinti	Ši naujiena labai įkvepianti.
鼓掌	ploti	Žiūrovai plojo aktoriams.
固定	fiksuotas; pastovus	Mano darbo laikas pastovus.
挂号	registruotis; siųsti registruotu paštu	Prieš einant pas gydytoją reikia užsiregistruoti.
乖	paklusnus; geras	Šis vaikas labai paklusnus.
拐弯	pasukti; užsukti	Priekyje sankryžoje pasukite į dešinę.
怪不得	nenuostabu	Nenuostabu, kad esi toks pavargęs.
关闭	uždaryti; išjungti	Prašau prieš išeinant išjungti kompiuterį.
官	pareigūnas	Jis yra jaunas pareigūnas.
观察	stebėti	Gydytojas stebi paciento būklę.
观点	požiūris; nuomonė	Sutinku su tavo požiūriu.
观念	samprata; idėja	Jaunų žmonių sampratos keičiasi.
管子	vamzdis	Šis vamzdis leidžia vandenį.
冠军	čempionas; čempionatas	Ji varžybose laimėjo čempionatą.
光滑	lygus; glotnus	Šio stalo paviršius labai lygus.
光临	apsilankyti; pagerbti apsilankymu	Maloniai kviečiame kitą kartą vėl apsilankyti.
光明	šviesus; šviesa	Ateitis šviesi.
光盘	kompaktinis diskas; diskas	Prašau išsaugoti medžiagą diske.
广场	aikštė	Aikštėje yra daug žmonių.
广大	platus; gausus	Šią naujieną palankiai sutiko gausus studentų būrys.
广泛	platus; plačiai paplitęs	Ši knyga turi platų poveikį.
归纳	apibendrinti	Mokytojas padėjo mums apibendrinti pagrindinius punktus.
规矩	taisyklė; tvarka	Vaikai turėtų suprasti taisykles.
规律	dėsningumas; reguliarumas	Gyvenime turėtų būti reguliarus ritmas.
规模	mastas	Šios įmonės mastas didelis.
规则	taisyklės	Varžybų taisyklės labai aiškios.
柜台	prekystalis; kasa	Prašau sumokėti prie kasos.
滚	virti; riedėti	Vanduo jau verda.
锅	puodas; keptuvė	Puode yra karštos sriubos.
国庆节	Nacionalinė diena	Per Nacionalinę dieną turime laisvadienį.
国王	karalius	Karalius gyvena rūmuose.
果然	kaip ir tikėtasi	Kaip ir tikėtasi, jis atvyko laiku.
果实	vaisius; rezultatas	Medis pilnas vaisių.
过分	per didelis; perdėtas	Jo reikalavimas šiek tiek perdėtas.
过敏	alergija; būti alergiškam	Esu alergiškas žiedadulkėms.
过期	pasibaigti galiojimui; būti pasenusiam	Šio pieno galiojimas jau pasibaigęs.
哈	ha; juokas	Ha, pagaliau supratau.
海关	muitinė	Prie muitinės stovėjome eilėje patikrai.
海鲜	jūrų gėrybės	Šio restorano jūrų gėrybės labai šviežios.
喊	šaukti	Klasėje nešauk garsiai.
行业	pramonės šaka; sektorius	Turizmo sektorius sparčiai vystosi.
豪华	prabangus	Jie gyvena prabangiame viešbutyje.
好客	svetingas	Vietiniai žmonės labai svetingi.
好奇	smalsus	Vaikai labai smalsūs pasauliui.
何必	kam reikia; nėra reikalo	Kam pykti dėl smulkmenos?
何况	juo labiau; ką jau kalbėti	Šiandien šalta, juo labiau kad dar ir lyja.
合法	teisėtas	Ši sutartis teisėta.
合理	protingas; pagrįstas	Ši kaina pagrįsta.
合同	sutartis	Jie pasirašė sutartį.
合影	bendra nuotrauka	Per išleistuves nusifotografavome bendrai.
合作	bendradarbiauti; bendradarbiavimas	Projektą užbaigėme bendradarbiaudami.
和平	taika	Visi tikisi taikos.
核心	branduolys; esmė	Pasitikėjimas yra bendradarbiavimo esmė.
恨	gailėtis; nekęsti	Jis gailisi, kad anksčiau stropiai nedirbo.
猴子	beždžionė	Zoologijos sode yra kelios beždžionės.
后背	nugara	Jam šiek tiek skauda nugarą.
后果	pasekmės	Turi apsvarstyti pasekmes.
呼吸	kvėpuoti	Prašau giliai įkvėpti.
忽然	staiga	Dangus staiga aptemo.
忽视	nepaisymas; ignoruoti	Neignoruok šios problemos.
壶	arbatinukas; ąsotis	Ant stalo yra arbatinukas arbatos.
糊涂	susipainiojęs; sumišęs	Šiandien esu šiek tiek sumišęs.
胡说	kalbėti nesąmones	Nekalbėk nesąmonių, tai netiesa.
胡同	siaura gatvelė; hutongas	Pekine yra daug senų siaurų gatvelių.
蝴蝶	drugelis	Sode yra drugelis.
花生	žemės riešutas	Jis mėgsta valgyti žemės riešutus.
华裔	kinų kilmės asmuo	Ji yra kinų kilmės rašytoja.
滑	slidus; slysti	Grindys slidžios, būk atsargus.
划	irti; plaukti irklais	Plaukiant valtimi jis atsakingas už irklavimą.
化学	chemija	Ji universitete studijavo chemiją.
话题	tema	Ši tema labai įdomi.
怀念	ilgėtis; prisiminti	Labai ilgiuosi universiteto gyvenimo.
怀孕	lauktis; būti nėščiai	Ji yra trečią mėnesį nėščia.
缓解	palengvinti; sumažinti	Poilsis gali sumažinti stresą.
幻想	fantazija; fantazuoti	Jis dažnai fantazuoja apie kelionę į kosmosą.
慌张	sutrikęs; panikuoti	Susidūręs su problema nepanikuok.
黄金	auksas	Aukso kaina vėl pakilo.
恢复	atsigauti; atkurti	Jo kūnas atsigauna.
挥	mojuoti; mostelėti	Ji pamojavo ranka.
灰	pilkas; pelenai	Dangus pilkas.
灰尘	dulkės	Ant stalo daug dulkių.
灰心	nusiminti; prarasti viltį	Nenusimink, net jei nepasiseks.
汇率	valiutos kursas	Koks šiandien valiutos kursas?
婚礼	vestuvės	Jų vestuvės buvo labai paprastos.
婚姻	santuoka	Santuokai reikia abipusio supratimo.
活跃	aktyvus	Jis labai aktyvus pamokoje.
伙伴	partneris; draugas	Jis yra mano geriausias partneris.
火柴	degtukas	Dėžutėje liko tik vienas degtukas.
或许	galbūt	Galbūt rytoj lis.
基本	pagrindinis	Tai pagrindiniai reikalavimai.
机器	mašina; aparatas	Ši mašina sugedusi.
激烈	intensyvus; aršus	Varžybos buvo labai intensyvios.
肌肉	raumenys	Po sporto man šiek tiek skauda raumenis.
及格	išlaikyti egzaminą	Jis išlaikė šį egzaminą.
急忙	skubiai	Jis skubiai išbėgo iš klasės.
急诊	skubios pagalbos skyrius	Pacientas buvo nugabentas į skubios pagalbos skyrių.
