source_headword	PT-BR	example_PT-BR
spell	o período / a temporada	O período de seca durou semanas.
sphere	a esfera	A política entrou na esfera cultural.
spin	girar	As rodas começaram a girar.
spine	a coluna / a espinha	A lesão afetou a coluna dele.
spotlight	os holofotes / o destaque	O escândalo o colocou sob os holofotes.
spouse	o cônjuge	O cônjuge dela compareceu à cerimônia.
spy	o espião / a espiã	O espião enviou mensagens codificadas.
squad	o esquadrão / a equipe	O esquadrão de resgate chegou rápido.
squeeze	apertar	Aperte a alça suavemente.
stab	esfaquear / apunhalar	O relatório descreveu uma ferida de faca.
stability	a estabilidade	A política trouxe estabilidade.
stabilize	estabilizar	O remédio ajudou a estabilizá-lo.
stake	a participação / o interesse	Os investidores têm uma participação aqui.
standing	a posição / a reputação	A posição dela no partido subiu.
stark	forte / rígido	Os resultados mostraram um forte contraste.
statistical	estatístico	O estudo usou métodos estatísticos.
steer	guiar / conduzir	Ele tentou conduzir o debate.
stem	o caule / a haste	O caule quebrou na tempestade.
stereotype	o estereótipo	O filme desafiou um estereótipo.
stimulus	o estímulo	O pacote forneceu estímulo econômico.
stir	mexer	Mexa o molho lentamente.
storage	o armazenamento	A instalação oferece armazenamento seguro.
straightforward	direto / simples	As instruções foram simples.
strain	a tensão / o desgaste	O longo atraso causou tensão.
strand	o fio / a mecha	Um fio de cabelo caiu.
strategic	estratégico	A empresa fez um investimento estratégico.
strip (long narrow piece)	a tira / a faixa	Corte uma tira estreita de papel.
strip (remove clothes/a layer)	remover / descascar	Remova a tinta velha com cuidado.
strive	esforçar-se / lutar	Eles se esforçam pela excelência.
structural	estrutural	A ponte tem danos estruturais.
stumble	tropeçar	Ele tropeçou nas escadas.
stun	atordoar / chocar	A notícia pode chocar as pessoas.
submission	o envio / a submissão	O prazo para envio passou.
subscriber	o assinante / o inscrito	Cada assinante recebe atualizações.
subscription	a assinatura	A assinatura é renovada automaticamente.
subsidy	o subsídio	O subsídio reduziu os custos de combustível.
substantial	substancial / considerável	O projeto precisa de financiamento substancial.
substantially	substancialmente	O preço aumentou substancialmente.
substitute	o substituto	Use o leite como substituto.
substitution	a substituição	A substituição mudou a receita.
subtle	sutil	A pintura tem detalhes sutis.
suburban	suburbano	Eles se mudaram para uma área suburbana.
succession	a sucessão	A crise se seguiu a uma sucessão de falhas.
successive	sucessivo	Governos sucessivos ignoraram o problema.
successor	o sucessor	O sucessor começará na segunda-feira.
suck	sugar / chupar	A máquina pode sugar poeira.
sue	processar	Ela decidiu processar a empresa.
suicide	o suicídio	A prevenção do suicídio precisa de financiamento contínuo.
suite	a suíte	A suíte do hotel tinha vista para o rio.
summit	a cúpula / a reunião de líderes	Os líderes se encontraram na cúpula.
superb	soberbo / excelente	A apresentação foi excelente.
superior	superior	O novo modelo é superior.
supervise	supervisionar	Ela vai supervisionar os estagiários.
supervision	a supervisão	As crianças precisam de supervisão de adultos.
supervisor	o supervisor	Pergunte ao seu supervisor primeiro.
supplement	o suplemento	O relatório inclui um suplemento.
supportive	compreensivo / solidário	A família dela foi muito compreensiva.
supposedly	supostamente	O arquivo foi supostamente apagado.
suppress	suprimir / reprimir	O regime tentou reprimir os protestos.
supreme	supremo	A corte suprema ouviu o caso.
surge	o aumento repentino / o pico	Um aumento repentino danificou o equipamento.
surgical	cirúrgico	O paciente precisa de tratamento cirúrgico.
surplus	o excedente	O armazém tem um excedente.
surrender	render-se	Os soldados concordaram em se render.
surveillance	a vigilância	Câmeras de vigilância gravaram a entrada.
suspension	a suspensão	A suspensão durou duas semanas.
suspicion	a suspeita	O comportamento dele levantou suspeitas.
suspicious	suspeito	O pacote parecia suspeito.
sustain	sustentar / manter	O projeto pode sustentar empregos locais.
swing	balançar / oscilar	A porta começou a balançar.
sword	a espada	A espada estava pendurada na parede.
symbolic	simbólico	O gesto foi simbólico.
syndrome	a síndrome	A síndrome afeta a memória.
synthesis	a síntese	O capítulo oferece uma síntese.
systematic	sistemático	A revisão foi sistemática.
tactic	a tática	A tática falhou rapidamente.
tactical	tático	A equipe fez uma mudança tática.
taxpayer	o contribuinte	O dinheiro do contribuinte financiou a ponte.
tempt	tentar / seduzir	A oferta pode tentar os investidores.
tenant	o inquilino	O inquilino pagou o aluguel adiantado.
tender	terno / carinhoso	Ela deu um sorriso carinhoso.
tenure	o mandato / a posse	O mandato dele durou seis anos.
terminal	terminal	O paciente tinha uma doença terminal.
terminate	rescindir / terminar	A empresa pode rescindir o contrato.
terrain	o terreno	O terreno era difícil.
terrific	formidável / maravilhoso	A vista era formidável.
testify	testemunhar	Ela concordou em testemunhar.
testimony	o testemunho / o depoimento	O depoimento dele foi detalhado.
texture	a textura	O tecido tem uma textura áspera.
thankfully	felizmente	Felizmente, ninguém ficou ferido.
theatrical	teatral	O discurso soou teatral.
theology	a teologia	Ele estudou teologia na universidade.
theoretical	teórico	O modelo é puramente teórico.
thereafter	depois disso / a partir de então	Depois disso, as regras mudaram.
thereby	assim / desse modo	A mudança reduziu custos, salvando empregos desse modo.
thoughtful	atencioso / pensativo	A resposta dela foi muito atenciosa.
thought-provoking	instigante / estimulante	O artigo era instigante.
thread	a linha / o fio	A linha quebrou facilmente.
threshold	o limite / o patamar	A votação cruzou o limite.
thrilled	empolgado / emocionado	Ela ficou empolgada com a notícia.
thrive	prosperar	Pequenos negócios podem prosperar aqui.
tide	a maré	A maré subiu rapidamente.
tighten	apertar	Aperte a tampa com firmeza.
timber	a madeira	A casa usa madeira local.
timely	oportuno	O aviso foi oportuno.
tobacco	o tabaco / o fumo	As vendas de tabaco caíram.
tolerance	a tolerância	A política incentiva a tolerância.
tolerate	tolerar	Não podemos tolerar abuso.
toll	o preço / o custo / o pedágio	A tempestade teve um custo alto.
top	superar / liderar	As vendas podem superar o recorde do ano passado.
torture	a tortura	O tratado proíbe a tortura absolutamente.
