source_headword	UZ	example_UZ
school	maktab	Maktabim bu yerga yaqin.
science	fan	Men fan o'qiyman.
scientist	olim	Olim savol so'raydi.
sea	dengiz	Dengiz ko'k.
second1 (unit of time)	soniya	Bir soniya kuting.
section	bo'lim	Bu bo'limni o'qing.
see	ko'rmoq	Men do'stimni ko'raman.
sell	sotmoq	Ular yangi meva sotadi.
send	yubormoq	Hozir xabar yuboring.
sentence	gap	Bitta gap yozing.
September	sentabr	Maktab sentabrda boshlanadi.
seven	yetti	Bu yerda yetti odam bor.
seventeen	o'n yetti	U o'n yetti yoshda.
seventy	yetmish	Buvim yetmish yoshda.
share	bo'lishmoq	Tortni bo'lishing.
she	u	U mening opam.
sheep	qo'y	Qo'y o't yeydi.
shirt	ko'ylak	Uning ko'ylagi toza.
shoe	poyabzal	Bitta poyabzal karavot ostida.
shop	do'kon	Do'kon erta yopiladi.
shopping	xarid	Bugun xarid qilish qiziqarli.
short	qisqa	Bu hikoya qisqa.
should modal	kerak	Siz bugun dam olishingiz kerak.
show	ko'rsatmoq	Chiptangizni menga ko'rsating.
shower	dush	Men dush qabul qilaman.
sick	kasal	Men bugun kasalman.
similar	o'xshash	Sumkalarimiz o'xshash.
sing	kuylamoq	Men sinfda kuylayman.
singer	qo'shiqchi	Qo'shiqchi mashhur.
sister	opa; singil	Singlim yosh.
sit	o'tirmoq	Deraza yaqinida o'tiring.
situation	vaziyat	Bu vaziyat yangi.
six	olti	Bu yerda olti kitob bor.
sixteen	o'n olti	U o'n olti yoshda.
sixty	oltmish	Otam oltmish yoshda.
skill	ko'nikma	Bu ko'nikma foydali.
skirt	yubka	Uning yubkasi ko'k.
sleep	uxlamoq	Men sakkiz soat uxlayman.
slow	sekin	Avtobus sekin.
small	kichik	Xona kichik.
snake	ilon	Ilon uzun.
snow	qor	Qishda qor yog'adi.
so	shuning uchun	Men charchadim, shuning uchun dam olaman.
some	ba'zi; biroz	Menga biroz suv kerak.
somebody	kimdir	Eshik oldida kimdir bor.
someone	kimdir	Kimdir xabar qoldirdi.
something	nimadir	Menga ichishga nimadir kerak.
sometimes	ba'zan	Men ba'zan maktabga piyoda boraman.
son	o'g'il	Uning o'g'li maktabda.
song	qo'shiq	Bu qo'shiq yangi.
soon	tez orada	Tez orada ko'rishamiz.
sorry	kechirasiz	Kechirasiz.
sound	ovoz	Ovoz baland.
soup	sho'rva	Sho'rva issiq.
south	janub	Mehmonxona bu yerdan janubda.
space	joy	Bitta stul uchun joy bor.
speak	gapirmoq	Iltimos, sekin gapiring.
special	maxsus	Bugun maxsus kun.
spell	harflab aytmoq	Ismingizni harflab ayting.
spelling	imlo	Imlongizni tekshiring.
spend	sarflamoq	Men ovqatga pul sarflayman.
sport	sport	Futbol mashhur sport.
spring	bahor	Bahorda gullar o'sadi.
stand	turmoq	Eshik yonida turing.
star	yulduz	Men yorqin yulduzni ko'raman.
start	boshlamoq	Darsni hozir boshlang.
statement	bayonot	Bu bayonot to'g'ri.
station	bekat	Bekat yaqin.
stay	qolmoq	Bugun uyda qoling.
still	haligacha	Men haligacha ochman.
stop	to'xtamoq	Burchakda to'xtang.
story	hikoya	Menga hikoya ayting.
street	ko'cha	Bu ko'cha tinch.
strong	kuchli	U kuchli.
student	talaba	Talaba kitob o'qiydi.
study	o'qimoq	Men ingliz tilini o'qiyman.
style	uslub	Menga bu uslub yoqadi.
subject	fan	Ingliz tili mening asosiy fanim.
success	muvaffaqiyat	Muvaffaqiyat uchun mashq kerak.
sugar	shakar	Choyga shakar soling.
summer	yoz	Bu yerda yoz issiq.
sun	quyosh	Quyosh yorqin.
Sunday	yakshanba	Biz yakshanba kuni dam olamiz.
supermarket	supermarket	Supermarket ochiq.
sure	ishonchli	Ishonchim komil.
sweater	sviter	Mening sviterim issiq.
swim	suzmoq	Men har hafta suzaman.
swimming	suzish	Suzish yaxshi mashq.
table	stol	Kalitlar stol ustida.
