source_headword	DE	example_DE
billion	die Milliarde	Eine Milliarde ist eine riesige Zahl.
bin	der Mülleimer	Leg das Papier in den Mülleimer.
biology	die Biologie	Biologie ist mein bestes Fach.
birth	die Geburt	Ihre Geburt war im Mai.
biscuit	der Keks	Sie isst einen Keks.
bit	ein bisschen; das Stück	Ich brauche ein bisschen mehr Zeit.
blank	die Leerstelle; leer	Schreib deinen Namen in die Leerstelle.
blood	das Blut	Blut ist rot.
blow	wehen; blasen	Der Wind kann stark wehen.
board	die Tafel; das Brett	Schreib das an die Tafel.
boil	kochen; sieden	Koch zuerst das Wasser.
bone	der Knochen	Der Hund hat einen Knochen.
borrow	ausleihen	Kann ich deinen Stift ausleihen?
boss	der Chef; die Chefin	Mein Chef ist freundlich.
bottom	der Boden; der untere Teil	Unterschreib unten.
bowl	die Schüssel	Die Schüssel ist voll.
brain	das Gehirn	Dein Gehirn braucht Ruhe.
bridge	die Brücke	Die Brücke ist alt.
bright	hell; klug	Das Zimmer ist hell.
brilliant	brillant; ausgezeichnet	Diese Idee ist ausgezeichnet.
broken	kaputt; gebrochen	Der Stuhl ist kaputt.
brush	die Bürste; putzen	Putz dir jetzt die Zähne.
burn	brennen; verbrennen	Verbrenn das Brot nicht.
businessman	der Geschäftsmann	Der Geschäftsmann kam früh.
button	der Knopf; die Taste	Drück den roten Knopf.
camp	das Lager; campen	Wir campen am See.
camping	das Camping	Camping macht im Sommer Spaß.
can2	die Dose	Öffne die Dose vorsichtig.
care	die Pflege; sich kümmern	Kümmere dich um deine Gesundheit.
careful	vorsichtig; sorgfältig	Sei auf der Treppe vorsichtig.
carefully	vorsichtig; sorgfältig	Lies die Frage sorgfältig.
carpet	der Teppich	Der Teppich ist weich.
cartoon	der Zeichentrickfilm	Dieser Zeichentrickfilm ist lustig.
case	der Fall; das Etui	Leg es in das Etui.
cash	das Bargeld	Ich habe bar bezahlt.
castle	das Schloss; die Burg	Das Schloss ist sehr alt.
catch	fangen	Fang jetzt den Ball.
cause	die Ursache; verursachen	Regen kann Probleme verursachen.
celebrate	feiern	Wir feiern meinen Geburtstag.
celebrity	die Berühmtheit	Die Berühmtheit war sehr nett.
certain	sicher; bestimmt	Ich bin mir dabei sicher.
certainly	sicherlich; bestimmt	Ich helfe dir bestimmt.
chance	die Chance; die Gelegenheit	Du hast eine Chance.
character	die Figur; der Charakter	Diese Figur ist mutig.
charity	die Wohltätigkeitsorganisation; die Wohltätigkeit	Die Wohltätigkeitsorganisation hilft Kindern.
chat	plaudern; der Chat	Wir plaudern nach dem Unterricht.
chef	der Koch; die Köchin	Der Koch machte Suppe.
chemistry	die Chemie	Chemie ist für mich schwierig.
chip	der Chip; der Kartoffelchip	Dieser Chip ist salzig.
choice	die Wahl; die Auswahl	Diese Wahl ist wichtig.
church	die Kirche	Die Kirche ist in der Nähe.
cigarette	die Zigarette	Eine Zigarette ist schlecht für die Gesundheit.
circle	der Kreis; einkreisen	Zeichne hier einen Kreis.
classical	klassisch	Ich mag klassische Musik.
clear	klar; räumen	Die Antwort ist klar.
clearly	klar; deutlich	Sprich bitte deutlich.
clever	klug; clever	Sie ist ein kluges Kind.
climate	das Klima	Das Klima verändert sich.
close2	nah; in der Nähe	Meine Schule ist nah bei meinem Zuhause.
closed	geschlossen	Der Laden ist geschlossen.
clothing	die Kleidung	Warme Kleidung ist nützlich.
cloud	die Wolke	Die Wolke verdeckt die Sonne.
coach	der Trainer; der Reisebus	Der Trainer half dem Team.
coast	die Küste	Wir fuhren an der Küste entlang.
code	der Code	Gib den Code hier ein.
colleague	der Kollege; die Kollegin	Mein Kollege rief mich an.
collect	sammeln	Ich sammle alte Karten.
column	die Spalte; die Säule	Lies die erste Spalte.
comedy	die Komödie	Diese Komödie ist lustig.
comfortable	bequem	Dieser Stuhl ist bequem.
comment	der Kommentar; kommentieren	Hinterlasse unten einen Kommentar.
communicate	kommunizieren	Wir kommunizieren per E-Mail.
community	die Gemeinschaft; die Community	Unsere Gemeinschaft ist freundlich.
compete	teilnehmen; konkurrieren	Sie treten jedes Jahr an.
competition	der Wettbewerb; die Konkurrenz	Der Wettbewerb beginnt morgen.
complain	sich beschweren	Beschwer dich nicht wieder.
completely	vollständig; völlig	Ich stimme dir völlig zu.
condition	der Zustand; die Bedingung	Das Auto ist in gutem Zustand.
conference	die Konferenz	Die Konferenz beginnt um neun.
connect	verbinden; anschließen	Schließ das Telefon an den Computer an.
connected	verbunden; zusammenhängend	Diese zwei Ideen hängen zusammen.
consider	überlegen; in Betracht ziehen	Bitte überlege dir meine Idee.
contain	enthalten	Diese Kiste enthält Bücher.
context	der Kontext	Der Kontext hilft beim Verstehen.
continent	der Kontinent	Der Kontinent ist sehr groß.
continue	weitermachen; fortsetzen	Lies bitte weiter.
control	die Kontrolle; kontrollieren	Kontrolliere die Geschwindigkeit sorgfältig.
cooker	der Herd	Der Herd ist sauber.
copy	die Kopie; kopieren	Mach eine Kopie für mich.
corner	die Ecke	Setz dich in die Ecke.
correctly	richtig; korrekt	Schreib die Antwort richtig.
count	zählen; die Anzahl	Zähl die Bücher.
couple	das Paar	Das Paar kam früh.
cover	abdecken; der Deckel	Decke die Schüssel ab.
crazy	verrückt	Diese Idee klingt verrückt.
creative	kreativ	Sie hat eine kreative Idee.
credit	der Kredit; die Gutschrift	Ich bezahlte mit Kreditkarte.
crime	das Verbrechen; die Kriminalität	Kriminalität ist ein ernstes Problem.
criminal	der Verbrecher; kriminell	Der Verbrecher ging schnell weg.
cross	überqueren; das Kreuz	Überquere die Straße vorsichtig.
crowd	die Menge; die Menschenmenge	Die Menge wartete draußen.
crowded	überfüllt	Der Zug war überfüllt.
cry	weinen; der Schrei	Weine jetzt nicht.
cupboard	der Schrank	Die Tassen sind im Schrank.
curly	lockig	Sie hat lockiges Haar.
cycle	Rad fahren; der Zyklus	Ich fahre mit dem Rad zur Schule.
daily	täglich; der Tages-	Ich lese täglich die Nachrichten.
danger	die Gefahr	Das Schild zeigt Gefahr an.
data	die Daten	Diese Daten sind nützlich.
dead	tot	Die Pflanze ist tot.
deal	das Angebot; die Vereinbarung	Das ist ein gutes Angebot.
death	der Tod	Der Tod ist ein schwieriges Thema.
decision	die Entscheidung	Triff heute eine Entscheidung.
deep	tief	Das Wasser ist tief.
definitely	definitiv; bestimmt	Ich möchte bestimmt Tee.
degree	der Abschluss; der Grad	Mein Abschluss ist in Geschichte.
dentist	der Zahnarzt; die Zahnärztin	Der Zahnarzt prüfte meine Zähne.
department	die Abteilung	Die Schuhabteilung ist oben.
depend	abhängen	Es hängt vom Wetter ab.
desert	die Wüste	Die Wüste ist sehr trocken.
designer	der Designer; die Designerin	Die Designerin entwarf dieses Kleid.
destroy	zerstören	Zerstöre die Datei nicht.
detective	der Detektiv; die Detektivin	Der Detektiv fand den Schlüssel.
develop	entwickeln	Sie entwickeln eine neue App.
device	das Gerät	Dieses Gerät ist nützlich.
diary	das Tagebuch	Sie schreibt in ihr Tagebuch.
differently	anders	Wir machen das anders.
digital	digital	Das ist eine Digitalkamera.
direct	direkt; leiten	Nimm den direkten Zug.
direction	die Richtung	Geh in diese Richtung.
director	der Direktor; der Regisseur	Der Regisseur mochte den Film.
disagree	nicht zustimmen	Ich stimme dieser Idee nicht zu.
disappear	verschwinden	Die Sonne wird bald verschwinden.
disaster	die Katastrophe	Der Sturm war eine Katastrophe.
discover	entdecken	Sie entdecken eine neue Insel.
discovery	die Entdeckung	Die Entdeckung veränderte die Wissenschaft.
discussion	die Diskussion	Die Diskussion endete früh.
disease	die Krankheit	Diese Krankheit ist ernst.
distance	die Entfernung; die Distanz	Die Entfernung ist kurz.
divorced	geschieden	Ihre Eltern sind geschieden.
document	das Dokument; dokumentieren	Speichere dieses Dokument jetzt.
double	doppelt; das Doppelzimmer	Ich brauche ein Doppelzimmer.
download	herunterladen; der Download	Lade die App heute herunter.
drama	das Drama	Das Drama beginnt heute Abend.
drawing	die Zeichnung	Ihre Zeichnung ist schön.
dream	der Traum; träumen	Ich hatte einen seltsamen Traum.
driving	das Fahren	Nachts zu fahren ist schwierig.
drop	fallen lassen; der Tropfen	Lass das Glas nicht fallen.
drug	das Medikament; die Droge	Das Medikament half ihm.
dry	trocken; trocknen	Das Handtuch ist trocken.
earn	verdienen	Ich verdiene Geld bei der Arbeit.
earth	die Erde	Die Erde ist rund.
easily	leicht; einfach	Sie lernt leicht.
education	die Bildung	Bildung ist wichtig.
effect	die Wirkung; der Effekt	Die Wirkung war klar.
either	einer von beiden; auch nicht	Eine der beiden Antworten passt.
electric	elektrisch	Dieses Auto ist elektrisch.
electrical	elektrisch	Das elektrische System ist sicher.
electricity	der Strom; die Elektrizität	Strom ist hier teuer.
electronic	elektronisch	Dieses elektronische Ticket funktioniert.
employ	beschäftigen; einstellen	Sie stellen fünf Leute ein.
employee	der Angestellte; die Angestellte	Der Angestellte arbeitet hart.
employer	der Arbeitgeber; die Arbeitgeberin	Mein Arbeitgeber ist fair.
empty	leer; leeren	Das Zimmer ist leer.
ending	das Ende	Das Ende war unerwartet.
energy	die Energie	Ich habe heute keine Energie.
engine	der Motor	Der Motor ist laut.
engineer	der Ingenieur; die Ingenieurin	Die Ingenieurin reparierte die Brücke.
enormous	riesig	Das Gebäude ist riesig.
enter	eintreten; eingeben	Betritt den Raum leise.
environment	die Umwelt	Schütze die Umwelt.
equipment	die Ausrüstung; das Gerät	Diese Ausrüstung ist teuer.
error	der Fehler	Ich fand einen Fehler.
especially	besonders	Ich mag dieses Lied besonders.
essay	der Aufsatz	Schreib heute Abend einen Aufsatz.
everyday	alltäglich; Alltags-	Das ist Alltagsenglisch.
everywhere	überall	Blumen wachsen überall.
evidence	der Beweis; der Nachweis	Die Beweise sind klar.
exact	genau	Nenne die genaue Zahl.
exactly	genau	Das ist genau richtig.
excellent	ausgezeichnet	Deine Arbeit ist ausgezeichnet.
except	außer	Alle kamen außer mir.
exist	existieren	Existiert diese Adresse?
expect	erwarten	Ich erwarte morgen Regen.
experience	die Erfahrung	Ich habe Erfahrung mit Kindern.
experiment	das Experiment	Das Experiment lief gut.
expert	der Experte; die Expertin	Bitte einen Experten um Hilfe.
explanation	die Erklärung	Ihre Erklärung war klar.
express	ausdrücken	Bitte drücke deine Meinung aus.
expression	der Ausdruck	Dieser Ausdruck ist häufig.
extreme	extrem	Die Hitze war extrem.
extremely	äußerst; sehr	Es ist äußerst kalt.
factor	der Faktor	Die Kosten sind ein Faktor.
factory	die Fabrik	Die Fabrik schließt um fünf.
fail	scheitern; durchfallen	Ich bin nicht durchgefallen.
fair	fair; gerecht	Der Preis ist fair.
fan	der Ventilator; der Fan	Schalte den Ventilator ein.
farming	die Landwirtschaft	Landwirtschaft ist harte Arbeit.
fashion	die Mode	Mode ändert sich jedes Jahr.
fear	die Angst; fürchten	Angst kann Menschen aufhalten.
feature	das Merkmal; die Funktion	Dieses Telefon hat eine nützliche Funktion.
feed	füttern; das Futter	Füttere jetzt die Katze.
female	weiblich; die Frau	Die Sportlerin gewann.
fiction	die Fiktion; die Belletristik	Sie liest abends Belletristik.
field	das Feld; der Bereich	Das Feld ist grün.
fight	kämpfen; der Kampf	Sie streiten zu viel.
figure	die Figur; die Zahl	Sieh dir die Figur an.
finally	endlich	Wir kamen endlich nach Hause.
finger	der Finger	Mein Finger tut weh.
firstly	erstens	Erstens, lies die Frage.
fishing	das Angeln	Angeln ist hier beliebt.
fit	passen	Diese Schuhe passen gut.
fix	reparieren; befestigen	Repariere den kaputten Stuhl.
flu	die Grippe	Ich habe die Grippe.
flying	das Fliegen; fliegend	Der Flug ist schnell.
focus	sich konzentrieren; der Fokus	Konzentriere dich auf diese Aufgabe.
following	folgend; der folgende	Lies den folgenden Satz.
foreign	ausländisch	Sie spricht eine Fremdsprache.
forest	der Wald	Der Wald ist ruhig.
fork	die Gabel	Benutze die Gabel.
formal	formell; formal	Dieser Brief ist formell.
fortunately	glücklicherweise	Glücklicherweise wurde niemand verletzt.
forward	vorwärts	Beweg dich langsam vorwärts.
fresh	frisch	Das Brot ist frisch.
