hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
1033:表	表	表	ఫారమ్; పట్టిక; గడియారం	దయచేసి ఈ ఫారమ్‌ను పూర్తిగా నింపండి.	ಫಾರ್ಮ್; ಪಟ್ಟಿಕೆ; ಕೈಗಡಿಯಾರ	ದಯವಿಟ್ಟು ಈ ಫಾರ್ಮ್ ಅನ್ನು ಪೂರ್ಣವಾಗಿ ತುಂಬಿ.
1039:并	并	并	కూడా; మరియు; నిజానికి	నాకు నిజానికి అలసటగా అనిపించడం లేదు.	ಸಹ; ಮತ್ತು; ನಿಜವಾಗಿ	ನನಗೆ ನಿಜವಾಗಿ ದಣಿವಾಗಿಲ್ಲ.
1043:不必	不必	不必	అవసరం లేదు	మీరు ఇప్పుడే సమాధానం చెప్పాల్సిన అవసరం లేదు.	ಅವಶ್ಯಕತೆ ಇಲ್ಲ	ನೀವು ಈಗಲೇ ಉತ್ತರಿಸಬೇಕಾದ ಅವಶ್ಯಕತೆ ಇಲ್ಲ.
1044:不便	不便	不便	అసౌకర్యంగా	ఇక్కడ వాహనం నిలపడం అసౌకర్యంగా ఉంది.	ಅನಾನುಕೂಲ	ಇಲ್ಲಿ ವಾಹನ ನಿಲ್ಲಿಸುವುದು ಅನಾನುಕೂಲವಾಗಿದೆ.
1046:不够	不够	不够	సరిపోకపోవడం	ఈ కుర్చీలు అందరూ కూర్చోవడానికి సరిపోవు.	ಸಾಕಾಗದಿರುವುದು	ಈ ಕುರ್ಚಿಗಳು ಎಲ್ಲರೂ ಕುಳಿತುಕೊಳ್ಳಲು ಸಾಕಾಗುವುದಿಲ್ಲ.
1048:不论	不论	不论	ఎలా ఉన్నా; సంబంధం లేకుండా	వాతావరణం ఎలా ఉన్నా మనం బయలుదేరుతాము.	ಯಾವುದೇ ಆಗಿರಲಿ; ಲೆಕ್ಕಿಸದೆ	ಹವಾಮಾನ ಹೇಗಿದ್ದರೂ ನಾವು ಹೊರಡುತ್ತೇವೆ.
1049:步	步	步	అడుగు	అతను ముందుకు ఒక అడుగు వేసాడు.	ಹೆಜ್ಜೆ	ಅವನು ಮುಂದೆ ಒಂದು ಹೆಜ್ಜೆ ಹಾಕಿದ.
1050:部	部	部	సినిమా/పుస్తకాలకు గణక పదం; విభాగం	ఈ సినిమా చాలా ఆసక్తికరంగా ఉంది.	ಚಿತ್ರ/ಪುಸ್ತಕಗಳಿಗೆ ಗಣಕ ಪದ; ವಿಭಾಗ	ಈ ಚಲನಚಿತ್ರ ಬಹಳ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.
1054:不光	不光	不光	కేవలం కాదు	కేవలం పిల్లలే కాదు, పెద్దవాళ్లకూ ఈ ఆట నచ్చుతుంది.	ಮಾತ್ರವಲ್ಲ	ಮಕ್ಕಳು ಮಾತ್ರವಲ್ಲ, ದೊಡ್ಡವರಿಗೂ ಈ ಆಟ ಇಷ್ಟ.
1056:不满	不满	不满	అసంతృప్తిగా	అతను ఈ ఫలితంపై చాలా అసంతృప్తిగా ఉన్నాడు.	ಅತೃಪ್ತ	ಅವನು ಈ ಫಲಿತಾಂಶದಿಂದ ತುಂಬ ಅತೃಪ್ತನಾಗಿದ್ದಾನೆ.
1063:参赛	参赛	参赛	పోటీలో పాల్గొనడం	మా తరగతి నుంచి ఐదుగురు పోటీలో పాల్గొంటున్నారు.	ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಭಾಗವಹಿಸುವುದು	ನಮ್ಮ ತರಗತಿಯಿಂದ ಐವರು ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.
1067:查看	查看	查看	తనిఖీ చేయడం; చూడడం	గురువు విద్యార్థుల జాబితాను తనిఖీ చేస్తున్నారు.	ಪರಿಶೀಲಿಸುವುದು; ನೋಡುವುದು	ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳ ಪಟ್ಟಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದಾರೆ.
1068:茶叶	茶叶	茶叶	టీ ఆకులు	ఈ దుకాణంలోని టీ ఆకులు చాలా తాజావి.	ಚಹಾ ಎಲೆಗಳು	ಈ ಅಂಗಡಿಯ ಚಹಾ ಎಲೆಗಳು ತುಂಬ ತಾಜಾಗಿವೆ.
1069:查找	查找	查找	వెతకడం	నేను ఆన్‌లైన్‌లో సమాచారం వెతుకుతున్నాను.	ಹುಡುಕುವುದು	ನಾನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಮಾಹಿತಿಯನ್ನು ಹುಡುಕುತ್ತಿದ್ದೇನೆ.
1070:差点儿	差点儿	差点儿	దాదాపు	నేను బస్సు మిస్ అయ్యే స్థితికి వచ్చాను.	ಬಹುತೇಕ	ನಾನು ಬಸ್ಸನ್ನು ಬಹುತೇಕ ತಪ್ಪಿಸಿಕೊಂಡೆ.
1072:厂	厂	厂	కర్మాగారం	ఈ కర్మాగారం మొబైల్ ఫోన్లు తయారు చేస్తుంది.	ಕಾರ್ಖಾನೆ	ಈ ಕಾರ್ಖಾನೆ ಮೊಬೈಲ್ ಫೋನ್‌ಗಳನ್ನು ತಯಾರಿಸುತ್ತದೆ.
1075:车速	车速	车速	వాహన వేగం	వర్షం పడుతున్నప్పుడు వాహన వేగం కొంచెం తక్కువగా ఉండాలి.	ವಾಹನದ ವೇಗ	ಮಳೆ ದಿನಗಳಲ್ಲಿ ವಾಹನದ ವೇಗ ಸ್ವಲ್ಪ ನಿಧಾನವಾಗಿರಬೇಕು.
1076:车位	车位	车位	పార్కింగ్ స్థలం	కింద ఇంకా ఒక పార్కింగ్ స్థలం ఉంది.	ಪಾರ್ಕಿಂಗ್ ಜಾಗ	ಕೆಳಗೆ ಇನ್ನೂ ಒಂದು ಪಾರ್ಕಿಂಗ್ ಜಾಗ ಇದೆ.
1077:城	城	城	నగరం; పట్టణం	ఈ నగరంలో చాలా పాత వీధులు ఉన్నాయి.	ನಗರ; ಪಟ್ಟಣ	ಈ ನಗರದಲ್ಲಿ ಅನೇಕ ಹಳೆಯ ಬೀದಿಗಳು ಇವೆ.
1080:乘客	乘客	乘客	ప్రయాణికుడు	ప్రయాణికులు దయచేసి వెనుక తలుపు ద్వారా దిగండి.	ಪ್ರಯಾಣಿಕ	ಪ್ರಯಾಣಿಕರೆ, ದಯವಿಟ್ಟು ಹಿಂದಿನ ಬಾಗಿಲಿನಿಂದ ಇಳಿಯಿರಿ.
1085:迟	迟	迟	ఆలస్యంగా	అతను ఈ రోజు కొంచెం ఆలస్యంగా వచ్చాడు.	ತಡವಾಗಿ	ಅವನು ಇಂದು ಸ್ವಲ್ಪ ತಡವಾಗಿ ಬಂದ.
1086:重	重	重	మళ్లీ; పునరావృతంగా	ఈ వ్యాసాన్ని ఒక్కసారి మళ్లీ రాయాలి.	ಮತ್ತೆ; ಪುನಃಪುನಃ	ಈ ಪ್ರಬಂಧವನ್ನು ಒಮ್ಮೆ ಮತ್ತೆ ಬರೆಯಬೇಕು.
1091:出行	出行	出行	ప్రయాణించడం; బయటకు వెళ్లడం	సెలవు రోజుల్లో చాలా మంది ప్రయాణిస్తారు.	ಪ್ರಯಾಣಿಸುವುದು; ಹೊರಗೆ ಹೋಗುವುದು	ರಜಾದಿನಗಳಲ್ಲಿ ಅನೇಕ ಜನರು ಪ್ರಯಾಣಿಸುತ್ತಾರೆ.
1092:出租	出租	出租	అద్దెకు ఇవ్వడం	ఈ అపార్ట్‌మెంట్‌ను అద్దెకు ఇవ్వవచ్చు.	ಬಾಡಿಗೆಗೆ ನೀಡುವುದು	ಈ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಅನ್ನು ಬಾಡಿಗೆಗೆ ನೀಡಬಹುದು.
1094:厨师	厨师	厨师	వంటకుడు	ఈ వంటకుడు చాలా త్వరగా వండుతాడు.	ಅಡುಗೆಗಾರ	ಈ ಅಡುಗೆಗಾರ ತುಂಬ ಬೇಗ ಅಡುಗೆ ಮಾಡುತ್ತಾನೆ.
1095:窗	窗	窗	కిటికీ	దయచేసి కిటికీని కొంచెం తెరవండి.	ಕಿಟಕಿ	ದಯವಿಟ್ಟು ಕಿಟಕಿಯನ್ನು ಸ್ವಲ್ಪ ತೆರೆಯಿರಿ.
1099:此	此	此	ఇది; ఇక్కడ	ఇక్కడ వాహనాలు నిలపడం నిషేధం.	ಇದು; ಇಲ್ಲಿ	ಇಲ್ಲಿ ವಾಹನ ನಿಲ್ಲಿಸುವುದು ನಿಷೇಧಿಸಲಾಗಿದೆ.
1100:此次	此次	此次	ఈసారి	ఈ సమావేశం చాలా ముఖ్యమైనది.	ಈ ಬಾರಿ	ಈ ಸಭೆ ಬಹಳ ಮುಖ್ಯವಾಗಿದೆ.
1104:从中	从中	从中	దాని నుంచి; వారిలోనుంచి	అతను దాని నుంచి చాలా నేర్చుకున్నాడు.	ಅದರೊಳಗಿಂದ; ಅವರಲ್ಲಿಂದ	ಅವನು ಅದರಿಂದ ಬಹಳಷ್ಟು ಕಲಿತನು.
1105:粗	粗	粗	మందంగా; గరుకుగా	ఈ తాడు కొంచెం మందంగా ఉంది.	ದಪ್ಪ; ಕರ್ಕಶ	ಈ ಕಡ್ಡಿ ಸ್ವಲ್ಪ ದಪ್ಪವಾಗಿದೆ.
1107:村	村	村	గ్రామం	అమ్మమ్మ ఒక చిన్న గ్రామంలో ఉంటుంది.	ಹಳ್ಳಿ	ಅಜ್ಜಿ ಒಂದು ಸಣ್ಣ ಹಳ್ಳಿಯಲ್ಲಿ ವಾಸಿಸುತ್ತಾರೆ.
1109:错过	错过	错过	మిస్ అవడం	రేపటి పోటీని మిస్ కావద్దు.	ತಪ್ಪಿಸಿಕೊಳ್ಳುವುದು	ನಾಳೆಯ ಪಂದ್ಯವನ್ನು ತಪ್ಪಿಸಿಕೊಳ್ಳಬೇಡಿ.
1112:答	答	答	సమాధానం చెప్పడం	అతను ఈ ప్రశ్నకు చాలా త్వరగా సమాధానం చెప్పాడు.	ಉತ್ತರಿಸುವುದು	ಅವನು ಈ ಪ್ರಶ್ನೆಗೆ ತುಂಬ ಬೇಗ ಉತ್ತರಿಸಿದ.
1116:打败	打败	打败	ఓడించడం	వారు చివరికి బలమైన జట్టును ఓడించారు.	ಸೋಲಿಸುವುದು	ಅವರು ಕೊನೆಗೆ ಬಲವಾದ ತಂಡವನ್ನು ಸೋಲಿಸಿದರು.
1120:打印机	打印机	打印机	ప్రింటర్	ఆఫీసులోని ప్రింటర్ పాడైంది.	ಪ್ರಿಂಟರ್	ಕಚೇರಿಯ ಪ್ರಿಂಟರ್ ಕೆಟ್ಟಿದೆ.
1123:大巴	大巴	大巴	కోచ్ బస్సు	మేము విమానాశ్రయానికి కోచ్ బస్సులో వెళ్తున్నాము.	ಕೋಚ್ ಬಸ್	ನಾವು ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಕೋಚ್ ಬಸ್ಸಿನಲ್ಲಿ ಹೋಗುತ್ತಿದ್ದೇವೆ.
1124:大大	大大	大大	చాలా ఎక్కువగా	ఈ కార్యక్రమం ఆసక్తిని చాలా పెంచింది.	ಬಹಳವಾಗಿ	ಈ ಚಟುವಟಿಕೆ ಆಸಕ್ತಿಯನ್ನು ಬಹಳವಾಗಿ ಹೆಚ್ಚಿಸಿತು.
1126:大量	大量	大量	పెద్ద పరిమాణం	సూపర్‌మార్కెట్‌లో చాలా తాజా పండ్లు ఉన్నాయి.	ದೊಡ್ಡ ಪ್ರಮಾಣ	ಸೂಪರ್‌ಮಾರ್ಕೆಟ್‌ನಲ್ಲಿ ಬಹಳಷ್ಟು ತಾಜಾ ಹಣ್ಣುಗಳಿವೆ.
1127:大赛	大赛	大赛	పెద్ద పోటీ	పాఠశాల వచ్చే వారం చైనీస్ పోటీ నిర్వహిస్తుంది.	ದೊಡ್ಡ ಸ್ಪರ್ಧೆ	ಶಾಲೆ ಮುಂದಿನ ವಾರ ಚೀನೀ ಸ್ಪರ್ಧೆ ನಡೆಸಲಿದೆ.
1128:大厅	大厅	大厅	హాల్; లాబీ	అతిథులు లాబీలో కారు కోసం ఎదురుచూస్తున్నారు.	ಸಭಾಂಗಣ; ಲಾಬಿ	ಅತಿಥಿಗಳು ಲಾಬಿಯಲ್ಲಿ ಕಾರಿಗಾಗಿ ಕಾಯುತ್ತಿದ್ದಾರೆ.
1130:大自然	大自然	大自然	ప్రకృతి	పిల్లలకు ప్రకృతిలో ఆడటం ఇష్టం.	ಪ್ರಕೃತಿ	ಮಕ್ಕಳಿಗೆ ಪ್ರಕೃತಿಯಲ್ಲಿ ಆಟವಾಡುವುದು ಇಷ್ಟ.
1131:待	待	待	ఉండడం	అతను ఒక రోజు ఇంట్లోనే ఉన్నాడు.	ಇರುವುದು	ಅವನು ಒಂದು ದಿನ ಮನೆಯಲ್ಲಿ ಉಳಿದ.
1133:袋子	袋子	袋子	సంచి	దయచేసి పండ్లను సంచిలో పెట్టండి.	ಚೀಲ	ದಯವಿಟ್ಟು ಹಣ್ಣುಗಳನ್ನು ಚೀಲದಲ್ಲಿ ಹಾಕಿ.
1140:道	道	道	ప్రశ్నలకు గణక పదం; రహదారి	ఈ ప్రశ్న కష్టం కాదు.	ಪ್ರಶ್ನೆಗೆ ಗಣಕ ಪದ; ರಸ್ತೆ	ಈ ಪ್ರಶ್ನೆ ಕಷ್ಟವಲ್ಲ.
1142:到来	到来	到来	రావడం; రాక	వసంతం రావడం ప్రజలను ఆనందపరుస్తుంది.	ಬರುವುದು; ಆಗಮನ	ವಸಂತದ ಆಗಮನ ಜನರನ್ನು ಸಂತೋಷಪಡಿಸುತ್ತದೆ.
1143:道路	道路	道路	రహదారి	ఈ రహదారి గ్రామానికి దారితీస్తుంది.	ರಸ್ತೆ	ಈ ರಸ್ತೆ ಹಳ್ಳಿಗೆ ಹೋಗುತ್ತದೆ.
1146:登机	登机	登机	విమానంలో ఎక్కడం	దయచేసి అరగంట ముందుగా విమానంలో ఎక్కండి.	ವಿಮಾನಕ್ಕೆ ಏರುವುದು	ದಯವಿಟ್ಟು ಅರ್ಧ ಗಂಟೆ ಮುಂಚಿತವಾಗಿ ವಿಮಾನಕ್ಕೆ ಏರಿ.
1148:等到	等到	等到	వరకు వేచి ఉండడం	వాన ఆగిన తర్వాత మనం వెళ్దాం.	ಕಾಯುವುದು; ತನಕ ಕಾಯುವುದು	ಮಳೆ ನಿಂತ ನಂತರ ನಾವು ಹೊರಡೋಣ.
1150:低价	低价	低价	తక్కువ ధర	ఈ దుకాణం తరచుగా తక్కువ ధర టికెట్లు అమ్ముతుంది.	ಕಡಿಮೆ ಬೆಲೆ	ಈ ಅಂಗಡಿ ಆಗಾಗ ಕಡಿಮೆ ಬೆಲೆಯ ಟಿಕೆಟ್‌ಗಳನ್ನು ಮಾರುತ್ತದೆ.
1151:低温	低温	低温	తక్కువ ఉష్ణోగ్రత	తక్కువ ఉష్ణోగ్రత వాతావరణంలో ఎక్కువ బట్టలు ధరించాలి.	ಕಡಿಮೆ ತಾಪಮಾನ	ಕಡಿಮೆ ತಾಪಮಾನದ ಹವಾಮಾನದಲ್ಲಿ ಹೆಚ್ಚು ಬಟ್ಟೆ ಧರಿಸಬೇಕು.
1152:低于	低于	低于	కంటే తక్కువగా ఉండడం	ఈ రోజు ఉష్ణోగ్రత నిన్నటి కంటే తక్కువగా ఉంది.	ಕಿಂತ ಕಡಿಮೆ ಆಗಿರುವುದು	ಇಂದಿನ ತಾಪಮಾನ ನಿನ್ನೆಗಿಂತ ಕಡಿಮೆಯಾಗಿದೆ.
1154:底下	底下	底下	కింద	మెజ్ కింద ఒక సంచి ఉంది.	ಕೆಳಗೆ	ಮೇಜಿನ ಕೆಳಗೆ ಒಂದು ಚೀಲ ಇದೆ.
1157:点名	点名	点名	హాజరు పిలవడం	గురువు తరగతి ముందు హాజరు పిలుస్తారు.	ಹಾಜರಾತಿ ಕರೆಯುವುದು	ಶಿಕ್ಷಕರು ತರಗತಿಗೆ ಮುನ್ನ ಹಾಜರಾತಿ ಕರೆಯುತ್ತಾರೆ.
1158:点头	点头	点头	తల ఊపడం	ఆమె సమ్మతి తెలిపేందుకు తల ఊపింది.	ತಲೆ ಆಡುವುದು	ಅವಳು ಒಪ್ಪಿಗೆಯನ್ನು ತೋರಿಸಲು ತಲೆ ಆಡಿಸಿದಳು.
1159:电动车	电动车	电动车	విద్యుత్ వాహనం	అతను విద్యుత్ వాహనంపై పనికి వెళ్తాడు.	ವಿದ್ಯುತ್ ವಾಹನ	ಅವನು ವಿದ್ಯುತ್ ವಾಹನದಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.
1160:电视剧	电视剧	电视剧	టీవీ సీరియల్	నా అమ్మకు టీవీ సీరియల్స్ చూడటం ఇష్టం.	ದೂರದರ್ಶನ ಧಾರಾವಾಹಿ	ನನ್ನ ತಾಯಿಗೆ ದೂರದರ್ಶನ ಧಾರಾವಾಹಿಗಳನ್ನು ನೋಡುವುದು ಇಷ್ಟ.
1163:订	订	订	బుక్ చేయడం; ఆర్డర్ చేయడం	నేను ఇప్పటికే ఒక విమాన టికెట్ బుక్ చేశాను.	ಕಾಯ್ದಿರಿಸುವುದು; ಆರ್ಡರ್ ಮಾಡುವುದು	ನಾನು ಈಗಾಗಲೇ ಒಂದು ವಿಮಾನ ಟಿಕೆಟ್ ಕಾಯ್ದಿರಿಸಿದ್ದೇನೆ.
1164:定	定	定	నిర్ణయించడం; నిర్ణయించి పెట్టడం	సమావేశ సమయం ఇప్పటికే నిర్ణయించబడింది.	ನಿರ್ಧರಿಸುವುದು; ನಿಗದಿ ಮಾಡುವುದು	ಸಭೆಯ ಸಮಯ ಈಗಾಗಲೇ ನಿಗದಿಯಾಗಿದೆ.
1165:东部	东部	东部	తూర్పు భాగం	నగర తూర్పు భాగంలో ఒక కొత్త పార్క్ ఉంది.	ಪೂರ್ವ ಭಾಗ	ನಗರದ ಪೂರ್ವ ಭಾಗದಲ್ಲಿ ಒಂದು ಹೊಸ ಉದ್ಯಾನ ಇದೆ.
1166:动车	动车	动车	హై-స్పీడ్ రైలు	మేము హై-స్పీడ్ రైలులో షాంఘైకు వెళ్తున్నాము.	ವೇಗದ ರೈಲು	ನಾವು ವೇಗದ ರೈಲಿನಲ್ಲಿ ಶಾಂಘೈಗೆ ಹೋಗುತ್ತಿದ್ದೇವೆ.
1168:读者	读者	读者	పాఠకుడు	ఈ పుస్తకానికి చాలా మంది యువ పాఠకులు ఉన్నారు.	ಓದುಗ	ಈ ಪುಸ್ತಕಕ್ಕೆ ಅನೇಕ ಯುವ ಓದುಗರು ಇದ್ದಾರೆ.
1170:度假	度假	度假	సెలవుకు వెళ్లడం	వారు సముద్రతీరానికి సెలవుకు వెళ్లారు.	ರಜೆಗೆ ಹೋಗುವುದು	ಅವರು ಸಮುದ್ರತೀರಕ್ಕೆ ರಜೆಗೆ ಹೋದರು.
1173:队	队	队	జట్టు; వరుస	తలుపు దగ్గర ఒక వరుసగా మనుషులు నిలబడ్డారు.	ತಂಡ; ಸಾಲು	ಬಾಗಿಲಿನ ಬಳಿ ಜನರ ಒಂದು ಸಾಲು ಇದೆ.
1177:队员	队员	队员	జట్టు సభ్యుడు	ప్రతి జట్టు సభ్యుడు చాలా కష్టపడతాడు.	ತಂಡದ ಸದಸ್ಯ	ಪ್ರತಿ ತಂಡದ ಸದಸ್ಯನು ಬಹಳ ಶ್ರಮಿಸುತ್ತಾನೆ.
1178:队长	队长	队长	జట్టు నాయకుడు; కెప్టెన్	జట్టు నాయకుడు శిక్షణను ఏర్పాటు చేస్తున్నాడు.	ತಂಡದ ನಾಯಕ; ನಾಯಕ	ತಂಡದ ನಾಯಕ ತರಬೇತಿಯನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡುತ್ತಿದ್ದಾನೆ.
1181:多数	多数	多数	మెజారిటీ	చాలా మంది విద్యార్థులు చైనీస్ తరగతిని ఎంచుకున్నారు.	ಬಹುಮತ; ಹೆಚ್ಚಿನವರು	ಹೆಚ್ಚಿನ ವಿದ್ಯಾರ್ಥಿಗಳು ಚೀನೀ ತರಗತಿಯನ್ನು ಆಯ್ಕೆ ಮಾಡಿಕೊಂಡರು.
1182:多样	多样	多样	వైవిధ్యమైన	ఇక్కడి కార్యక్రమాల రూపాలు చాలా వైవిధ్యంగా ఉన్నాయి.	ವೈವಿಧ್ಯಮಯ	ಇಲ್ಲಿನ ಚಟುವಟಿಕೆಗಳ ರೂಪಗಳು ಬಹಳ ವೈವಿಧ್ಯಮಯವಾಗಿವೆ.
1185:发出	发出	发出	విడుదల చేయడం; పంపించడం	మొబైల్ ఫోన్ ఒక శబ్దం చేసింది.	ಹೊರಹಾಕುವುದು; ಕಳುಹಿಸುವುದು	ಮೊಬೈಲ್ ಫೋನ್ ಒಂದು ಶಬ್ದ ಮಾಡಿತು.
1186:发送	发送	发送	పంపించడం	దయచేసి ఇమెయిల్‌ను నాకు పంపండి.	ಕಳುಹಿಸುವುದು	ದಯವಿಟ್ಟು ಇಮೇಲ್ ಅನ್ನು ನನಗೆ ಕಳುಹಿಸಿ.
1187:法	法	法	చట్టం; పద్ధతి	ఈ పద్ధతి తక్కువ కష్టమైనది.	ಕಾನೂನು; ವಿಧಾನ	ಈ ವಿಧಾನ ಸರಳವಾಗಿದೆ.
1190:烦	烦	烦	విసిగిపోయిన; ఇబ్బందికరమైన	ఈ విషయం అతనిని చాలా విసిగించింది.	ಕಿರಿಕಿರಿ; ತೊಂದರೆದಾಯಕ	ಈ ವಿಷಯ ಅವನಿಗೆ ತುಂಬ ಕಿರಿಕಿರಿ ತಂದಿತು.
1196:房租	房租	房租	ఇంటి అద్దె	ఈ నెల ఇంటి అద్దె పెరిగింది.	ಮನೆ ಬಾಡಿಗೆ	ಈ ತಿಂಗಳು ಮನೆ ಬಾಡಿಗೆ ಹೆಚ್ಚಾಗಿದೆ.
1199:费	费	费	ఫీజు; ఖర్చు కావడం	నమోదు ఫీజు ఇప్పటికే చెల్లించబడింది.	ಶುಲ್ಕ; ವೆಚ್ಚವಾಗುವುದು	ನೋಂದಣಿ ಶುಲ್ಕ ಈಗಾಗಲೇ ಪಾವತಿಸಲಾಗಿದೆ.
1200:费用	费用	费用	ఖర్చు; వ్యయం	ప్రయాణ ఖర్చు చాలా ఎక్కువ కాదు.	ವೆಚ್ಚ; ಖರ್ಚು	ಪ್ರಯಾಣ ವೆಚ್ಚ ಹೆಚ್ಚು ಅಲ್ಲ.
1201:分数	分数	分数	మార్కులు; స్కోరు	అతని పరీక్ష మార్కులు చాలా ఎక్కువగా ఉన్నాయి.	ಅಂಕಗಳು; ಸ್ಕೋರ್	ಅವನ ಪರೀಕ್ಷಾ ಅಂಕಗಳು ಬಹಳ ಹೆಚ್ಚು.
1202:分为	分为	分为	గా విభజించబడడం	ఈ తరగతి మూడు చిన్న గుంపులుగా విభజించబడింది.	ವಿಭಜಿಸುವುದು	ಈ ತರಗತಿ ಮೂರು ಸಣ್ಣ ಗುಂಪುಗಳಾಗಿ ವಿಭಜಿಸಲಾಗಿದೆ.
1209:付	付	付	చెల్లించడం	నేను మొబైల్ ఫోన్‌తో డబ్బు చెల్లించాను.	ಪಾವತಿಸುವುದು	ನಾನು ಮೊಬೈಲ್ ಫೋನ್ ಮೂಲಕ ಹಣ ಪಾವತಿಸಿದೆ.
1210:父母	父母	父母	తల్లిదండ్రులు	అతని తల్లిదండ్రులు ఉత్తర భాగంలో ఉంటారు.	ತಂದೆತಾಯಿ	ಅವನ ತಂದೆತಾಯಿ ಉತ್ತರ ಭಾಗದಲ್ಲಿ ವಾಸಿಸುತ್ತಾರೆ.
