source_headword	FI	example_FI
rage	raivo	Hänen raivonsa laantui nopeasti.
raid	ratsia	Poliisi teki aamuratsian.
rally	mielenosoitus	Kannattajat osallistuivat mielenosoitukseen keskustassa.
ranking	sijoitus	Yliopisto paransi sijoitustaan.
rape	raiskaus	Raiskaustapaukset vaativat huolellista tutkintaa.
ratio	suhde	Luokassa on alhainen opettajasuhde.
rational	järkevä	Hänen päätöksensä oli järkevä.
ray	säde	Auringonsäde paistoi sisään.
readily	mielellään	Hän hyväksyi tarjouksen mielellään.
realization	oivallus	Oivallus muutti hänen suunnitelmiaan.
realm	alue	Tämä kysymys kuuluu toiselle alueelle.
rear	taka-	Käytä takaovea tänään.
reasoning	päättely	Hänen päättelynsä oli selkeää.
reassure	rauhoitella	Lääkäri yritti rauhoitella häntä.
rebel	kapinallinen	Kapinallisjohtaja vältti vangitsemisen.
rebellion	kapina	Kapina päättyi neuvottelujen jälkeen.
recipient	vastaanottaja	Vastaanottaja allekirjoitti lomakkeen.
reconstruction	jälleenrakennus	Jälleenrakennus alkoi tulvan jälkeen.
recount1	kertoa	Hän pystyy kertomaan tapahtumat selkeästi.
referendum	kansanäänestys	Kansanäänestys jakoi maan.
reflection	pohdinta	Essee kaipasi syvällisempää pohdintaa.
reform	uudistus	Uudistus paransi julkisia palveluja.
refuge	turvapaikka	Perhe etsi turvapaikkaa ulkomailta.
refusal	kieltäytyminen	Hänen kieltäytymisensä yllätti komitean.
regain	saada takaisin	Hän teki kovasti töitä saadakseen luottamuksen takaisin.
regardless	riippumatta	He jatkoivat kritiikistä riippumatta.
regime	hallinto	Hallinto rajoitti sananvapautta.
regulator	sääntelijä	Sääntelijä sakotti yritystä.
regulatory	sääntely-	Sääntelyhyväksyntä kesti kuukausia.
rehabilitation	kuntoutus	Kuntoutus auttoi häntä kävelemään uudelleen.
reign	valtakausi	Kuninkaan valtakausi kesti vuosikymmeniä.
rejection	hylkäys	Hylkäys satutti hänen itsetuntoaan.
relevance	merkityksellisyys	Tiedoilla on rajallinen merkityksellisyys.
reliability	luotettavuus	Luotettavuus on tärkeää hätäjärjestelmissä.
reluctant	vastahakoinen	Hän oli vastahakoinen puhumaan.
remainder	loppuosa	Loppuosa meni hyväntekeväisyyteen.
remains	jäännökset	Jäännökset tutkittiin huolellisesti.
remedy	oikeuskeino	Laki tarjoaa oikeuskeinon.
reminder	muistutus	Sähköposti oli hyödyllinen muistutus.
removal	poistaminen	Esteiden poistaminen auttoi kauppaa.
render	tehdä	Virhe teki sopimuksesta pätemättömän.
renew	uusia	Uusi passisi pian.
renowned	tunnettu	Hän on tunnettu tutkimuksestaan.
rental	vuokra	Vuokraan sisältyy vakuutus.
replacement	varaosa	Varaosa saapui tänään.
reportedly	tiettävästi	Ministeri erosi tiettävästi eilen.
representation	edustus	Oikeudenmukainen edustus on edelleen tärkeää.
reproduce	lisääntyä	Nämä kasvit lisääntyvät nopeasti.
reproduction	jäljennös	Digitaalinen jäljentäminen paransi saatavuutta.
republic	tasavalta	Tasavallassa pidettiin vaalit.
resemble	muistuttaa	Kaksi mallia muistuttavat läheisesti toisiaan.
reside	asua	He asuvat rajan lähellä.
residence	virka-asunto	Hänen virka-asuntoaan vartioidaan.
residential	asuin-	Alue on enimmäkseen asuinaluetta.
residue	jäämä	Puhdistusaineesta jäi tahmea jäämä.
resignation	ero	Hänen eronsa järkytti hallitusta.
resistance	vastarinta	Vastarinta muutosta kohtaan oli voimakasta.
respective	oma	He palasivat omiin toimistoihinsa.
respectively	vastaavasti	Pisteet olivat 80 ja 90 vastaavasti.
restoration	entisöinti	Rakennuksen entisöinti kesti vuosia.
restraint	maltti	Poliisi osoitti malttia.
resume	jatkua	Tunnit jatkuvat ensi viikolla.
retreat	perääntyminen	Armeija aloitti perääntymisen.
retrieve	hakea	Hän haki tiedoston.
revelation	paljastus	Paljastus vahingoitti hänen mainettaan.
revenge	kosto	Hän halusi kostoa loukkauksesta.
reverse	kumota	Tuomioistuin kumosi päätöksen.
revival	elpyminen	Kaupunki koki taloudellisen elpymisen.
revive	elvyttää	Festivaali auttoi elvyttämään paikallisia perinteitä.
revolutionary	vallankumouksellinen	Keksintö oli vallankumouksellinen.
rhetoric	retoriikka	Hänen retoriikkansa kuulosti aggressiiviselta.
rifle	kivääri	Kivääriä säilytettiin turvallisesti.
riot	mellakka	Mellakka kesti useita tunteja.
rip	repiä	Revi paperi varovasti.
ritual	rituaali	Rituaali juhlistaa sadonkorjuuta.
robust	vankka	Järjestelmä on vankka.
rock	ravistella	Räjähdys ravisteli kylää.
rod	tanko	Verho roikkuu tangosta.
rotate	pyörittää	Pyöritä kahvaa hitaasti.
rotation	vuoroviljely	Vuoroviljely suojelee maaperää.
ruling	päätös	Tuomioistuin antoi päätöksen.
rumour	huhu	Huhu levisi nopeasti.
sack	erottaa	Johtokunta saattaa erottaa valmentajan.
sacred	pyhä	Temppeli on pyhä.
sacrifice	uhraus	Vanhemmat tekevät usein uhrauksia.
saint	pyhimys	Kirkko kunnioittaa paikallista pyhimystä.
sake	vuoksi	Hän jäi naisen vuoksi.
sanction	pakote	Pakote vaikutti kansainväliseen kauppaan.
say	sananvalta	Työntekijöillä oli sananvaltaa aikataulutuksessa.
scattered	hajallaan	Hajallaan olevat paperit peittivät pöydän.
sceptical	epäilevä	Hän pysyi epäilevänä väitteen suhteen.
scope	laajuus	Projektin laajuus kasvoi.
screw	ruuvi	Kiristä ruuvi varovasti.
scrutiny	tarkastelu	Sopimus joutui julkiseen tarkasteluun.
seal	sulkea	Sulje kirjekuori ennen postittamista.
secular	maallinen	Koulussa noudatetaan maallista opetussuunnitelmaa.
seemingly	näennäisen	Tehtävä oli näennäisen yksinkertainen.
segment	osa	Viimeinen osa oli lyhyempi.
seize	takavarikoida	Poliisi takavarikoi asiakirjat.
seldom	harvoin	Hän on harvoin poissa tunnilta.
selective	valikoiva	Ohjelma on erittäin valikoiva.
senator	senaattori	Senaattori tuki lakiehdotusta.
sensation	kohu	Löytö aiheutti kohun.
sensitivity	hienotunteisuus	Asia vaatii hienotunteisuutta.
sentiment	mielipide	Yleinen mielipide muuttui nopeasti.
separation	ero	Ero oli vaikea.
serial	sarja-	Sarjanumero puuttuu.
settlement	sovinto	Sovinto päätti kiistan.
set-up	pystytys	Pystytys kesti koko aamun.
sexuality	seksuaalisuus	Kurssilla käsitellään identiteettiä ja seksuaalisuutta.
shareholder	osakkeenomistaja	Osakkeenomistaja kyseenalaisti hallituksen toiminnan.
shatter	murentaa	Uutiset murensivat hänen itseluottamuksensa.
shed	vähentää	Yritys vähentää työpaikkoja.
sheer	silkka	Silkka koko yllätti kaikki.
shipping	toimitus	Toimituskulut nousivat.
shoot	kuvaukset	Kuvaukset päättyivät etuajassa.
shrink	kutistua	Paita saattaa kutistua.
shrug	kohauttaa olkapäitään	Hän kohautti hieman olkapäitään.
sigh	huokaista	Hän huokaisi helpotuksesta.
simulate	simuloida	Ohjelmisto voi simuloida liikennettä.
simulation	simulaatio	Simulaatio ennusti tulvia.
simultaneously	samanaikaisesti	Kaksi hälytystä soi samanaikaisesti.
sin	synti	Ylpeyttä pidetään syntinä.
situated	sijaitseva	Hotelli sijaitsee keskustassa.
sketch	luonnos	Hän teki nopean luonnoksen.
skip	jättää väliin	Älä jätä aamiaista väliin.
slam	paiskata	Hän voi paiskata oven kiinni.
slap	läimäyttää	Älä läimäytä pöytää.
slavery	orjuus	Orjuus muokkasi alueen historiaa.
slot	aika	Varaa aika verkossa.
smash	särkyä	Lasi särkyi lattialle.
snap	katketa	Oksa katkesi tuulessa.
soak	liottaa	Liota papuja yön yli.
soar	nousta jyrkästi	Polttoaineen hinnat saattavat nousta jyrkästi.
socialist	sosialistinen	Puolue tukee sosialistista politiikkaa.
sole	ainoa	Hän oli ainoa selviytyjä.
solely	ainoastaan	Päätös oli ainoastaan hänen.
solicitor	asianajaja	Asianajaja laati sopimuksen.
solidarity	solidaarisuus	Työläiset ilmaisivat solidaarisuutta.
solo	soolo	Hän julkaisi sooloalbumin.
sound	järkevä	Suunnitelma on järkevä ja käytännöllinen.
sovereignty	itsemääräämisoikeus	Sopimus suojeli kansallista itsemääräämisoikeutta.
spam	roskaposti	Roskaposti täytti saapuneet-kansion.
span	ulottua yli	Silta ulottuu joen yli.
spark	herättää	Pieni huomautus herätti keskustelua.
specialized	erikoistunut	Klinikka tarjoaa erikoistunutta hoitoa.
specification	vaatimus	Suunnittelu täyttää kaikki vaatimukset.
specimen	näyte	Näyte varastoitiin turvallisesti.
spectacle	spektaakkeli	Paraati oli eläväinen spektaakkeli.
spectrum	kirjo	Mielipiteet kattavat laajan kirjon.
spell	kausi	Kuiva kausi kesti viikkoja.
sphere	piiri	Politiikka astui kulttuuripiiriin.
spin	pyöriä	Pyörät alkoivat pyöriä.
spine	selkäranka	Vamma vaikutti hänen selkärankaansa.
spotlight	valokeila	Skandaali asetti hänet valokeilaan.
spouse	puoliso	Hänen puolisonsa osallistui seremoniaan.
spy	vakooja	Vakooja lähetti koodattuja viestejä.
squad	ryhmä	Pelastusryhmä saapui nopeasti.
squeeze	puristaa	Purista kahvaa kevyesti.
stab	pistää	Raportissa kuvattiin pistohaavaa.
stability	vakaus	Politiikka toi vakautta.
stabilize	vakauttaa	Lääke auttoi vakauttamaan hänet.
stake	osuus	Sijoittajilla on tässä osuus.
standing	asema	Hänen asemansa puolueessa nousi.
stark	jyrkkä	Tulokset osoittivat jyrkän kontrastin.
statistical	tilastollinen	Tutkimuksessa käytettiin tilastollisia menetelmiä.
steer	ohjata	Hän yritti ohjata keskustelua.
stem	varsi	Varsi katkesi myrskyssä.
stereotype	stereotypia	Elokuva haastoi stereotypian.
stimulus	elvytys	Paketti tarjosi taloudellista elvytystä.
stir	sekoittaa	Sekoita kastiketta hitaasti.
storage	varastointi	Laitos tarjoaa turvallisen varastoinnin.
straightforward	suoraviivainen	Ohjeet olivat suoraviivaiset.
strain	rasitus	Pitkä viivästys aiheutti rasitusta.
strand	hiussuortuva	Hiussuortuva putosi.
strategic	strateginen	Yritys teki strategisen sijoituksen.
strip (long narrow piece)	suikale	Leikkaa kapea paperisuikale.
strip (remove clothes/a layer)	poistaa	Poista vanha maali varovasti.
strive	pyrkiä	He pyrkivät erinomaisuuteen.
structural	rakenteellinen	Sillassa on rakenteellisia vaurioita.
stumble	kompastua	Hän kompastui portaissa.
stun	tyrmistyttää	Uutiset voivat tyrmistyttää ihmisiä.
submission	palautus	Palautuksen määräaika umpeutui.
subscriber	tilaaja	Jokainen tilaaja saa päivityksiä.
subscription	tilaus	Tilaus uusiutuu automaattisesti.
subsidy	tuki	Tuki alensi polttoainekustannuksia.
substantial	huomattava	Projekti tarvitsee huomattavaa rahoitusta.
substantially	huomattavasti	Hinta nousi huomattavasti.
substitute	korvike	Käytä maitoa korvikkeena.
substitution	korvaaminen	Korvaaminen muutti reseptiä.
subtle	hienovarainen	Maalauksessa on hienovaraisia yksityiskohtia.
suburban	esikaupunkialue	He muuttivat esikaupunkialueelle.
succession	sarja	Kriisi seurasi useiden epäonnistumisten sarjaa.
successive	peräkkäinen	Peräkkäiset hallitukset sivuuttivat asian.
successor	seuraaja	Seuraaja aloittaa maanantaina.
suck	imeä	Kone voi imeä pölyä.
sue	haastaa oikeuteen	Hän päätti haastaa yrityksen oikeuteen.
suicide	itsemurha	Itsemurhien ehkäisy tarvitsee jatkuvaa rahoitusta.
suite	sviitti	Hotellin sviitistä oli näkymä joelle.
summit	huippukokous	Johtajat tapasivat huippukokouksessa.
superb	erinomainen	Esitys oli erinomainen.
superior	parempi	Uusi malli on parempi.
supervise	valvoa	Hän valvoo harjoittelijoita.
supervision	valvonta	Lapset tarvitsevat aikuisten valvontaa.
supervisor	esihenkilö	Kysy ensin esihenkilöltäsi.
supplement	liite	Raportti sisältää liitteen.
supportive	kannustava	Hänen perheensä oli kannustava.
supposedly	oletettavasti	Tiedosto poistettiin oletettavasti.
suppress	tukahduttaa	Hallinto yritti tukahduttaa mielenosoitukset.
supreme	ylin	Korkein oikeus käsitteli tapauksen.
surge	virtapiikki	Äkillinen virtapiikki vahingoitti laitteita.
surgical	kirurginen	Potilas tarvitsee kirurgista hoitoa.
surplus	ylijäämä	Varastossa on ylijäämää.
surrender	antautua	Sotilaat suostuivat antautumaan.
surveillance	valvonta	Valvontakamerat tallensivat sisäänkäynnin.
suspension	erottaminen	Erottaminen kesti kaksi viikkoa.
suspicion	epäilys	Hänen käytöksensä herätti epäilyksiä.
suspicious	epäilyttävä	Paketti näytti epäilyttävältä.
sustain	ylläpitää	Projekti voi ylläpitää paikallisia työpaikkoja.
swing	heilahdella	Ovi alkoi heilahdella.
sword	miekka	Miekka roikkui seinällä.
symbolic	symbolinen	Ele oli symbolinen.
syndrome	oireyhtymä	Oireyhtymä vaikuttaa muistiin.
synthesis	synteesi	Luku tarjoaa synteesin.
systematic	järjestelmällinen	Arviointi oli järjestelmällinen.
tactic	taktiikka	Taktiikka epäonnistui nopeasti.
tactical	taktinen	Joukkue teki taktisen muutoksen.
taxpayer	veronmaksaja	Veronmaksajien rahat rahoittivat sillan.
tempt	houkutella	Tarjous saattaa houkutella sijoittajia.
tenant	vuokralainen	Vuokralainen maksoi vuokran etuajassa.
tender	lempeä	Hän väläytti lempeän hymyn.
tenure	virkakausi	Hänen virkakautensa kesti kuusi vuotta.
terminal	parantumaton	Potilaalla oli parantumaton sairaus.
terminate	purkaa	Yritys saattaa purkaa sopimuksen.
terrain	maasto	Maasto oli vaikeakulkuista.
terrific	mahtava	Maisema oli mahtava.
testify	todistaa	Hän suostui todistamaan.
testimony	todistus	Hänen todistuksensa oli yksityiskohtainen.
texture	tekstuuri	Kankaassa on karhea tekstuuri.
thankfully	onneksi	Onneksi kukaan ei loukkaantunut.
theatrical	teatraalinen	Puhe kuulosti teatraaliselta.
theology	teologia	Hän opiskeli teologiaa yliopistossa.
theoretical	teoreettinen	Malli on täysin teoreettinen.
thereafter	sen jälkeen	Sen jälkeen säännöt muuttuivat.
thereby	siten	Muutos alensi kustannuksia ja säästi siten työpaikkoja.
thoughtful	harkittu	Hänen vastauksensa oli harkittu.
thought-provoking	ajatuksia herättävä	Artikkeli oli ajatuksia herättävä.
thread	lanka	Lanka katkesi helposti.
threshold	kynnys	Äänestys ylitti kynnyksen.
thrilled	innoissaan	Hän oli innoissaan uutisista.
thrive	kukoistaa	Pienyritykset voivat kukoistaa täällä.
tide	vuorovesi	Vuorovesi nousi nopeasti.
tighten	kiristää	Kiristä kansi tiukasti.
timber	puutavara	Talossa käytetään paikallista puutavaraa.
timely	oikea-aikainen	Varoitus oli oikea-aikainen.
tobacco	tupakka	Tupakan myynti laski.
tolerance	suvaitsevaisuus	Politiikka kannustaa suvaitsevaisuuteen.
tolerate	sietää	Emme voi sietää hyväksikäyttöä.
toll	hinta	Myrsky vaati kovan hinnan.
top	ylittää	Myynti saattaa ylittää viime vuoden ennätyksen.
torture	kidutus	Sopimus kieltää kidutuksen ehdottomasti.
