source_headword	FI	example_FI
cave	luola	Retkeilijät astuivat sisään luolaan.
certainty	varmuus	Emme voi tietää sitä varmuudella.
certificate	todistus	Hän sai koulutustodistuksen.
challenging	haastava	Kurssi oli haastava mutta hyödyllinen.
championship	mestaruus	Joukkueemme pääsi mestaruusfinaaliin.
charming	viehättävä	Vanha katu näytti viehättävältä.
chase	takaa-ajo	Koira jahtasi palloa.
cheek	poski	Kyynel vierähti pitkin hänen poskeaan.
cheer	huuto	Yleisö alkoi kannustaa äänekkäästi.
choir	kuoro	Kuoro lauloi kauniisti.
chop	pilkkoa	Pilko sipulit pieniksi palasiksi.
circuit	virtapiiri	Juoksija saattoi kierroksen loppuun.
civilization	sivilisaatio	Muinainen sivilisaatio muovasi tätä aluetta.
clarify	selventää	Voisitko selventää viimeistä kohtaa.
classify	luokitella	Tiedemiehet luokittelevat eläimet lajien mukaan.
clerk	virkailija	Virkailija tulosti kuitin.
cliff	kallio	Polku päättyy kallion lähelle.
clinic	klinikka	Klinikka aukeaa kahdeksalta.
clip	leike	Hän kiinnitti liittimen paperiin.
coincidence	yhteensattuma	Hänen tapaamisensa siellä oli yhteensattuma.
collector	keräilijä	Keräilijä osti harvinaisia kolikoita.
colony	siirtokunta	Muurahaiset rakensivat suuren yhdyskunnan.
colourful	värikäs	Tori oli kirkas ja värikäs.
comic	sarjakuva	Koominen kohtaus sai meidät nauramaan.
commander	komentaja	Komentaja antoi selvät käskyt.
comparative	vertaileva	Essee käyttää vertailevaa dataa.
completion	valmistuminen	Silta on lähellä valmistumista.
compose	säveltää	Hän säveltää musiikkia elokuvaan.
composer	säveltäjä	Säveltäjä kirjoitti uuden laulun.
compound	yhdiste	Yhdiste sisältää kahta kemikaalia.
comprehensive	kattava	Opas antaa kattavat ohjeet.
comprise	käsittää	Tiimi koostuu viidestä jäsenestä.
compulsory	pakollinen	Läsnäolo on pakollista tällä kurssilla.
concrete	betoni	Lattia on tehty betonista.
confess	tunnustaa	Hän tunnusti virheen opettajalleen.
confusion	sekaannus	Viivästys aiheutti hämmennystä.
consequently	siten	Satoi; näin ollen ottelu keskeytettiin.
conservation	suojelu	Luonnonsuojelu suojelee harvinaisia eläimiä.
considerable	huomattava	Korjaus vei huomattavan paljon aikaa.
considerably	huomattavasti	Hinnat nousivat huomattavasti tänä vuonna.
consistently	johdonmukaisesti	Hän suoriutuu johdonmukaisesti hyvin.
conspiracy	salaliitto	Poliisi tutki salaliittoa.
consult	konsultoida	Konsultoi lääkäriäsi ennen lääkkeen ottamista.
consultant	konsultti	Konsultti ehdotti uutta strategiaa.
consumption	kulutus	Energiankulutus laski viime kuussa.
controversial	kiistanalainen	Käytäntö on edelleen kiistanalainen.
controversy	kiista	Päätös aiheutti kiistan.
convenience	mukavuus	Kauppa on erittäin kätevä.
convention	käytäntö	Vuotuinen konferenssi alkaa maanantaina.
conventional	tavanomainen	Hän valitsi perinteisen muotoilun.
convey	välittää	Viesti välitti myötätuntoa.
convincing	vakuuttava	Hänen selityksensä oli vakuuttava.
cope	selviytyä	Hän oppi selviytymään stressin kanssa.
corporation	yritys	Yhtiö avasi uuden toimiston.
corridor	käytävä	Käytävä oli kapea ja hiljainen.
counter (long flat surface)	tiski	Avaimet ovat keittiön työtasolla.
coverage	kattavuus	Uutisointi kesti koko illan.
crack	halkeama	Seinään ilmestyi halkeama.
craft	käsityö	Hän myy käsitöitä verkossa.
creativity	luovuus	Luovuus auttaa ratkaisemaan ongelmia.
critically	kriittisesti	Artikkeli oli kriittisen tärkeä.
cruise	risteily	He varasivat risteilyn Kreikkaan.
cue	merkki	Näyttelijä missasi repliikkinsä.
curious	utelias	Lapsi oli utelias avaruudesta.
curriculum	opetussuunnitelma	Koulu päivitti opetussuunnitelmansa.
cute	söpö	Koiranpentu näytti söpöltä.
dairy	meijeri	Maatila tuottaa maitotuotteita.
dare	uskaltaa	Haastan sinut kokeilemaan sitä.
darkness	pimeys	Huone täyttyi pimeydestä.
database	tietokanta	Tietokanta tallentaa asiakastietoja.
deadline	määräaika	Määräaika on perjantaina.
deadly	tappava	Käärmeellä on tappava myrkky.
dealer	kauppias	Autokauppias tarjosi alennuksen.
deck	kansi	Tuolit ovat terassilla.
defender	puolustaja	Puolustaja peitti laukauksen.
delete	poistaa	Poista vanha viesti.
democracy	demokratia	Demokratia riippuu vapaista vaaleista.
democratic	demokraattinen	Äänestys noudatti demokraattisia sääntöjä.
demonstration	mielenosoitus	Opiskelijat liittyivät mielenosoitukseen.
depart	poistua	Juna lähtee keskipäivällä.
dependent	riippuvainen	Lapsi on riippuvainen aikuisista.
deposit	talletus	Hän maksoi asunnosta takuumaksun.
depression	masennus	Masennus vaatii ammattilaisen tukea.
derive	johtaa	Monet sanat ovat peräisin latinasta.
desperately	epätoivoisesti	Hän tarvitsi epätoivoisesti vettä.
destruction	tuho	Myrsky aiheutti laajaa tuhoa.
determination	päättäväisyys	Hänen päättäväisyytensä teki vaikutuksen valmentajaan.
devote	omistautua	Hän omistaa viikonloput opiskelulle.
differ	erota	Heidän mielipiteensä eroavat jyrkästi.
disability	vamma	Rakennuksessa on esteetön kulkuyhteys.
disabled	estetty	Vammainen urheilija voitti mitalin.
disagreement	erimielisyys	Kokous päättyi erimielisyyteen.
disappoint	tuottaa pettymys	Tulos voi tuottaa faneille pettymyksen.
disappointment	pettymys	Hän tunsi syvää pettymystä.
discourage	lannistaa	Älä lannista nuoria oppijoita.
disorder	häiriö	Lääkäri diagnosoi unihäiriön.
distant	etäinen	Vuoret näyttivät kaukaisilta.
distinct	selkeä	Nämä kaksi ääntä ovat selkeästi erilaisia.
distinguish	erottaa	Pystytkö erottamaan nämä värit?
distract	harhauttaa	Melu voi viedä opiskelijoiden huomion.
disturb	häiritä	Älä häiritse potilasta.
dive	sukellus	He sukeltavat riutan lähellä.
diverse	moninainen	Kaupungissa on monimuotoisia kulttuureja.
diversity	monimuotoisuus	Juhlimme kulttuurista monimuotoisuutta.
divorce	avioero	Avioero oli vaikea kaikille.
dominant	hallitseva	Hallitseva joukkue kontrolloi peliä.
donation	lahjoitus	Hyväntekeväisyysjärjestö sai lahjoituksen.
dot	piste	Laita piste numeron perään.
downtown	keskusta	Tapasimme keskustassa töiden jälkeen.
dramatically	dramaattisesti	Hinta laski dramaattisesti.
drought	kuivuus	Kuivuus vahingoitti satoa.
dull	tylsä	Luento oli tylsä.
dump	hylätä	Älä kaada roskia tänne.
duration	kesto	Lennon kesto on kolme tuntia.
dynamic	dynaaminen	Luokkahuone tuntui dynaamiselta.
economics	taloustiede	Hän opiskelee taloustiedettä yliopistossa.
economist	taloustieteilijä	Taloustieteilijä ennusti hitaampaa kasvua.
editorial	toimituksellinen	Pääkirjoitus kritisoi lakia.
efficiently	tehokkaasti	Tiimi työskenteli tehokkaasti.
elbow	kyynärpää	Hän loukkasi kyynärpäänsä.
electronics	elektroniikka	Kauppa myy elektroniikkaa.
elegant	tyylikäs	Mekko näytti tyylikkäältä.
elementary	alkeis-	Kirja selittää alkeiskielioppia.
eliminate	poistaa	Tiimi poisti useita virheitä.
embrace	omaksua	Hän omaksui uuden idean.
emission	päästö	Autojen päästömäärät laskivat.
emotionally	tunneperäisesti	Hän puhui tunteellisesti perheestään.
empire	imperiumi	Imperiumi kesti vuosisatoja.
enjoyable	nautittava	Matka oli miellyttävä.
entertaining	viihdyttävä	Esitys oli viihdyttävä.
entrepreneur	yrittäjä	Yrittäjä avasi kahvilan.
envelope	kirjekuori	Laita kirje kirjekuoreen.
equip	varustaa	Koulu varustaa laboratorion.
equivalent	vastaava	Yksi dollari ei ole täällä samanarvoinen.
era	aikakausi	Löytö aloitti uuden aikakauden.
erupt	purkautua	Tulivuori voi purkautua pian.
essentially	olennaisesti	Nämä kaksi menetelmää ovat pohjimmiltaan identtisiä.
ethic	etiikka	Hänen työmoraalinsa on vahva.
ethnic	etninen	Festivaali juhlii etnisiä perinteitä.
evaluation	arviointi	Kurssi sisältää loppuarvioinnin.
evident	ilmeinen	Hänen hermostuneisuutensa oli ilmeistä.
evolution	evoluutio	Evoluutio selittää monia biologisia muutoksia.
evolve	kehittyä	Kielet kehittyvät ajan myötä.
exceed	ylittää	Kysyntä voi ylittää tarjonnan.
exception	poikkeus	On yksi poikkeus.
excessive	liiallinen	Liiallinen melu häiritsee naapureita.
exclude	sulkea pois	Lista sulkee pois tilapäiset työntekijät.
exhibit	näyttely	Museo asettaa näytteille harvinaisia valokuvia.
exit	uloskäynti	Uloskäynti on lavan takana.
exotic	eksoottinen	Kauppa myy eksoottisia hedelmiä.
expansion	laajennus	Yritys suunnitteli laajentumista.
expertise	asiantuntemus	Hänen asiantuntemuksensa paransi projektia.
exploit	hyödyntää	Rikolliset hyödyntävät heikkoja salasanoja.
exposure	altistuminen	Auringolle altistuminen voi vahingoittaa ihoa.
extension	laajennus	Määräajan pidennys auttoi kaikkia.
extensive	laaja	Kirjastolla on laajat resurssit.
extensively	laajasti	Aihetta tutkittiin laajasti.
extract	uute	Vaniljauute antaa makua.
fabric	kangas	Kangas tuntuu pehmeältä.
fabulous	upea	Ateria oli upea.
failed	epäonnistunut	Epäonnistunut yritys opetti meille jotain.
fake	väärennetty	Verkkosivusto myi väärennettyjä lippuja.
fame	maine	Kuuluisuus muutti hänen yksityiselämäänsä.
fantasy	fantasia	Romaani on fantasiaa.
fare	hinta	Linja-auton lippuhinta nousi.
federal	liittovaltion	Liittovaltion hallitus ilmoitti rahoituksesta.
fever	kuume	Lapsella on kuume.
firefighter	palomies	Palomies pelasti koiran.
firework	ilotulitus	Ilotulite räjähti puiston yläpuolella.
firm	luja	Patja on jämäkkä.
firmly	lujasti	Hän sulki oven tiukasti.
flavour	maku	Keitossa on rikas maku.
fond	hellä	Hän on mieltynyt jazziin.
fool	hölmö	Älä käyttäydy kuin hölmö.
forbid	kieltää	Laki kieltää tupakoinnin täällä.
forecast	ennuste	Ennuste povaa sadetta.
format	muoto	Käytä oikeaa tiedostomuotoa.
formation	muodostelma	Pilvien muodostuminen muuttuu nopeasti.
formerly	aikaisemmin	Rakennus oli aikaisemmin koulu.
fortunate	onnekas	Olimme onnekkaita saapuessamme aikaisin.
forum	foorumi	Foorumi keskusteli ilmastopolitiikasta.
fossil	fossiili	Fossiili löydettiin kivestä.
foundation	perustus	Talossa on vahva perustus.
founder	perustaja	Perustaja toivotti vieraat tervetulleiksi.
fraction	murto-osa	Vain murto-osa opiskelijoista tuli paikalle.
fragment	palanen	Lasinsirpale makasi lattialla.
framework	puitteet	Laki luo selkeät puitteet.
fraud	petos	Pankki havaitsi petoksen.
freely	vapaasti	Lapset leikkivät vapaasti ulkona.
frequent	toistuva	Toistuvat tauot parantavat keskittymistä.
fulfil	täyttää	Toivon täyttäväni lupaukseni.
full-time	kokoaikainen	Hänellä on kokoaikainen työ.
fundamentally	perusteellisesti	Suunnitelma on pohjimmiltaan erilainen.
furious	raivostunut	Hän oli raivoissaan viivästyksestä.
gaming	pelaaminen	Pelaaminen voi parantaa reaktionopeutta.
gay	homo	Hän tukee homoseksuaalien oikeuksia.
gender	sukupuoli	Kyselyssä kysyttiin sukupuolta.
gene	geeni	Geeni vaikuttaa silmien väriin.
genetic	geneettinen	Sairaudella on geneettiset syyt.
genius	nero	Nuori pianisti on nero.
genuine	aito	Hänen hymynsä vaikutti aidolta.
genuinely	aidosti	Hän halusi aidosti auttaa.
gesture	ele	Hän teki ystävällisen eleen.
gig	keikka	Bändi soitti keikan keskustassa.
globalization	globalisaatio	Globalisaatio vaikuttaa paikallisiin yrityksiin.
globe	maapallo	Maapallo näyttää jokaisen maanosan.
golden	kultainen	Auringonlasku muuttui kultaiseksi.
goodness	hyvyys	Hän uskoo ihmisen hyvyyteen.
gorgeous	upea	Puutarha näytti upealta.
governor	kuvernööri	Kuvernööri allekirjoitti lakiehdotuksen.
graphic	graafinen	Graafinen kuva järkytti katsojia.
graphics	grafiikka	Pelissä on yksinkertainen grafiikka.
greatly	suuresti	Neuvosi auttoi suuresti.
greenhouse	kasvihuone	Tomaatit kasvavat kasvihuoneen sisällä.
grocery	ruokakauppa	Hän osti elintarvikkeita töiden jälkeen.
guideline	ohje	Ohje selittää turvalliset käytännöt.
habitat	elinympäristö	Metsä on lintujen elinympäristö.
harbour	satama	Vene saapui satamaan.
headquarters	päämaja	Yrityksen pääkonttori muutti keskustaan.
