source_headword	IT	example_IT
occupation	l'occupazione	Si prega di scrivere qui la propria occupazione.
occupy	occupare	La famiglia occuperà l'appartamento.
offender	il trasgressore	Il trasgressore si è scusato in tribunale.
ongoing	in corso	L'indagine è in corso.
openly	apertamente	Ha parlato apertamente delle sue paure.
opera	l'opera	Abbiamo visto un'opera a Milano.
operator	l'operatore	L'operatore ha collegato la chiamata.
optimistic	ottimista	Si sente ottimista riguardo al futuro.
orchestra	l'orchestra	L'orchestra ha suonato dolcemente.
organic	biologico	Hanno comprato verdure biologiche.
outfit	il vestito	Il suo vestito era adatto all'occasione.
output	la produzione	La produzione della macchina è aumentata.
outstanding	eccezionale	La sua performance è stata eccezionale.
overcome	superare	Superano i problemi insieme.
overnight	durante la notte	Il pacco è arrivato durante la notte.
overseas	all'estero	Ha trovato lavoro all'estero.
ownership	la proprietà	La proprietà del terreno è cambiata.
oxygen	l'ossigeno	Le piante producono ossigeno.
packet	il pacchetto	Apri il pacchetto con attenzione.
palm	il palmo	Tieni la moneta nel palmo della mano.
panic	il panico	Il panico si è diffuso tra la folla.
parade	la parata	La parata è iniziata a mezzogiorno.
parallel	parallelo	Le strade corrono parallele.
participation	la partecipazione	La partecipazione in classe è migliorata.
partnership	la collaborazione	La collaborazione ha aiutato entrambe le aziende.
part-time	part-time	Ha trovato un lavoro part-time.
passionate	appassionato	È appassionato di musica.
password	la password	Scegli una password forte.
patience	la pazienza	Insegnare ai bambini piccoli richiede pazienza.
pause	mettere in pausa	Metti in pausa il video ora.
peer	il coetaneo	La pressione dei pari ha influenzato la sua scelta.
penalty	la penalità	Il giocatore ha ricevuto una penalità.
perceive	percepire	Le persone percepiscono il rischio in modo diverso.
perception	la percezione	La sua percezione del pericolo è cambiata.
permanently	permanentemente	Il negozio ha chiuso permanentemente.
pill	la pillola	Prendi una pillola dopo colazione.
pity	il peccato	È un peccato.
placement	il posizionamento	Il posizionamento del divano è importante.
portion	la porzione	Servi una piccola porzione di riso.
potentially	potenzialmente	Questo cambiamento è potenzialmente utile.
precede	precedere	Le nuvole scure spesso precedono la pioggia.
precious	prezioso	L'anello è prezioso.
precise	preciso	Le istruzioni erano precise.
precisely	precisamente	Misura la distanza precisamente.
predictable	prevedibile	Il finale era prevedibile.
preference	la preferenza	Ha espresso una preferenza per il tè.
pride	l'orgoglio	Ha provato orgoglio dopo aver finito.
primarily	principalmente	Il corso è principalmente online.
principal	il preside	Il preside ha salutato i nuovi studenti.
prior	preventivo	Abbiamo bisogno di un'approvazione preventiva.
probability	la probabilità	La probabilità di pioggia è alta.
probable	probabile	La pioggia è probabile stanotte.
proceed	procedere	Si prega di procedere nella stanza successiva.
programming	la programmazione	La programmazione richiede pratica.
progressive	progressista	La politica era progressista per i suoi tempi.
prohibit	proibire	Le regole proibiscono di fumare.
promising	promettente	I risultati sembrano promettenti.
promotion	la promozione	Ha ottenuto una promozione al lavoro.
prompt	tempestivo	La risposta tempestiva ha fatto risparmiare tempo.
proportion	la proporzione	Una grande proporzione ha votato sì.
protein	la proteina	I fagioli contengono proteine.
protester	il manifestante	Il manifestante teneva un cartello.
psychological	psicologico	L'incidente ha causato stress psicologico.
publicity	la pubblicità	L'evento ha ricevuto pubblicità.
publishing	l'editoria	Lavora nell'editoria.
punk	il punk	La musica punk è diventata popolare lì.
purely	puramente	La scelta è stata puramente pratica.
pursuit	la ricerca	Ha continuato la sua ricerca della giustizia.
puzzle	il puzzle	Il puzzle ha richiesto un'ora.
questionnaire	il questionario	Si prega di completare il questionario.
racial	razziale	Il rapporto ha discusso la disuguaglianza razziale.
racism	il razzismo	Il razzismo danneggia le comunità.
racist	razzista	Il commento era razzista.
radiation	la radiazione	Le radiazioni possono danneggiare le cellule.
rail	il corrimano	Tieniti al corrimano sulle scale.
random	casuale	Il computer ha scelto un numero casuale.
rat	il ratto	Un ratto è corso dietro i bidoni.
rating	la valutazione	L'hotel ha una valutazione alta.
reasonably	ragionevolmente	La stanza era ragionevolmente pulita.
rebuild	ricostruire	Ricostruiranno il ponte.
receiver	il ricevitore	Il ricevitore ha preso la palla.
recession	la recessione	La recessione ha ridotto la spesa.
reckon	pensare	Penso che il treno sia in ritardo.
recognition	il riconoscimento	Ha ricevuto un riconoscimento per il suo lavoro.
recovery	la guarigione	La guarigione ha richiesto diverse settimane.
recruit	reclutare	L'azienda recluterà ingegneri.
recruitment	il reclutamento	Il reclutamento inizia lunedì prossimo.
referee	l'arbitro	L'arbitro ha fermato la partita.
refugee	il rifugiato	Il rifugiato ha trovato una casa sicura.
registration	la registrazione	La registrazione chiude venerdì.
regulate	regolare	La legge regolerà le emissioni.
reinforce	rinforzare	Travi extra rinforzano il tetto.
relieve	alleviare	La medicina può alleviare il dolore.
relieved	sollevato	Si è sentita sollevata dopo la chiamata.
remarkable	notevole	Il recupero è stato notevole.
remarkably	notevolmente	Si è ripreso notevolmente in fretta.
reporting	il resoconto	Un resoconto accurato è importante.
resign	dimettersi	Il manager si dimetterà domani.
resolution	la risoluzione	Lo schermo ha un'alta risoluzione.
restore	restaurare	I lavoratori restaurano il vecchio dipinto.
restrict	limitare	Le regole limitano il parcheggio.
restriction	la restrizione	La restrizione finisce domani.
retail	la vendita al dettaglio	Le vendite al dettaglio sono aumentate.
retirement	la pensione	Ha pianificato la sua pensione con attenzione.
revenue	le entrate	Le entrate dei biglietti hanno pagato le riparazioni.
revision	il ripasso	Il ripasso ha aiutato prima dell'esame.
ridiculous	ridicolo	Il prezzo era ridicolo.
risky	rischioso	Il piano sembrava rischioso.
rival	il rivale	Il nostro rivale ha aperto un nuovo negozio.
rob	rapinare	Gli uomini hanno cercato di rapinare la banca.
robbery	la rapina	La rapina è avvenuta di notte.
rocket	il razzo	Il razzo è stato lanciato con successo.
romance	la storia d'amore	Il romanzo include una storia d'amore.
rose	la rosa	Una rosa rossa cresceva vicino al recinto.
roughly	circa	Circa venti persone hanno partecipato.
ruin	rovinare	La pioggia potrebbe rovinare il picnic.
satisfaction	la soddisfazione	La soddisfazione dei clienti è migliorata.
scandal	lo scandalo	Lo scandalo ha danneggiato la sua carriera.
scare	lo spavento	Il forte rumore mi ha fatto prendere uno spavento.
scenario	lo scenario	Lo scenario peggiore è improbabile.
scholar	lo studioso	Lo studioso ha studiato testi antichi.
scholarship	la borsa di studio	Ha vinto una borsa di studio.
scratch	il graffio	Il gatto ha lasciato un graffio.
screening	lo screening	L'ospedale offre lo screening per il cancro.
seeker	il richiedente	Il richiedente ha inviato le domande.
seminar	il seminario	Il seminario inizia alle nove.
settler	il colono	Il colono ha costruito una piccola fattoria.
severely	gravemente	La tempesta ha gravemente danneggiato le strade.
sexy	sexy	Il vestito era considerato sexy.
shocking	scioccante	La notizia è stata scioccante.
shore	la riva	Abbiamo camminato lungo la riva.
shortage	la carenza	La città ha affrontato una carenza d'acqua.
shortly	a breve	L'autobus è arrivato a breve dopo mezzogiorno.
short-term	a breve termine	Il piano ha benefici a breve termine.
sibling	il fratello o la sorella	Ogni fratello ha ricevuto un regalo.
signature	la firma	Si prega di aggiungere la propria firma.
significance	l'importanza	La scoperta ha una grande importanza.
skilled	qualificato	Lavoratori qualificati hanno riparato il tetto.
slogan	lo slogan	La campagna ha usato un semplice slogan.
so-called	cosiddetto	Il cosiddetto esperto ha commesso degli errori.
somehow	in qualche modo	In qualche modo, le chiavi sono scomparse.
sometime	prima o poi	Vienici a trovare prima o poi la prossima settimana.
sophisticated	sofisticato	Il software è sofisticato.
spare	di scorta	Teniamo una chiave di scorta.
specialize	specializzarsi	I medici si specializzano in campi diversi.
specify	specificare	Si prega di specificare l'ora di arrivo.
spectacular	spettacolare	I fuochi d'artificio sono stati spettacolari.
spectator	lo spettatore	Ogni spettatore ha ricevuto un programma.
speculate	ipotizzare	Gli esperti ipotizzano sulla causa.
speculation	l'ipotesi	L'articolo ha incoraggiato l'ipotesi.
spice	la spezia	Aggiungi una spezia alla volta.
spill	versare	Non versare il succo.
spite	il dispetto	Ha avuto successo nonostante i problemi.
spoil	rovinare	Troppo sale può rovinare la zuppa.
spokesman	il portavoce	Il portavoce ha risposto alle domande.
spokesperson	il portavoce	Il portavoce ha letto una dichiarazione.
spokeswoman	la portavoce	La portavoce si è rivolta alla stampa.
sponsorship	la sponsorizzazione	La squadra ha bisogno di sponsorizzazioni.
sporting	sportivo	La città ospita eventi sportivi.
stall	la bancarella	La bancarella del mercato vende frutta.
stance	la posizione	Il ministro ha cambiato la sua posizione.
starve	morire di fame	Senza cibo, gli animali potrebbero morire di fame.
steadily	costantemente	L'azienda è cresciuta costantemente.
steam	il vapore	Il vapore si alzava dalla zuppa.
stimulate	stimolare	Colori vivaci possono stimolare l'interesse.
