source_headword	BN	example_BN
uncomfortable	অস্বস্তিকর	এই চেয়ারটি অস্বস্তিকর।
underwear	অন্তর্বাস	ভ্রমণের জন্য পরিষ্কার অন্তর্বাস গুছিয়ে নিন।
unemployed	বেকার	সে দুই মাস ধরে বেকার ছিল।
unemployment	বেকারত্ব	শীতকালে বেকারত্ব বেড়েছে।
unfair	অন্যায্য	সিদ্ধান্তটি অন্যায্য মনে হয়েছিল।
union	ইউনিয়ন	ইউনিয়ন নিরাপদ কাজের দাবি জানিয়েছে।
unless	যদি না	আমি কল না করা পর্যন্ত যাবেন না।
unlike	ভিন্ন	টমের বিপরীতে, আনা শীতকাল পছন্দ করে।
unlikely	সম্ভাবনা কম	এই সপ্তাহে তুষারপাতের সম্ভাবনা কম।
unnecessary	অপ্রয়োজনীয়	অতিরিক্ত ব্যাগ অপ্রয়োজনীয়।
unpleasant	অপ্রীতিকর	ঘরটিতে একটি অপ্রীতিকর গন্ধ ছিল।
update	হালনাগাদ করা	আমার ফোনটি হালনাগাদ করা দরকার।
upon	উপরে	একদা এক সময়, এক রাজা ছিল।
upset	মন খারাপ	কলটির পরে তার মন খারাপ হয়েছিল।
used1	ব্যবহৃত	এই ঘরটি মিটিংয়ের জন্য ব্যবহৃত হয়।
used2	অভ্যস্ত	আমি খুব ভোরে উঠতে অভ্যস্ত।
valuable	মূল্যবান	এই ঘড়িটি মূল্যবান।
value	মূল্য	গত বছর বাড়িটির মূল্য কমেছে।
various	বিভিন্ন	আমরা বিভিন্ন স্থানীয় খাবার চেখে দেখেছি।
version	সংস্করণ	এই সংস্করণটি ভালো কাজ করে।
victim	ভুক্তভোগী	ভুক্তভোগী পুলিশকে ডেকেছিল।
viewer	দর্শক	একজন দর্শক একটি প্রশ্ন করেছিলেন।
violent	হিংস্র	সিনেমাটি খুব বেশি হিংস্র ছিল।
volunteer	স্বেচ্ছাসেবক	আমি লাইব্রেরিতে স্বেচ্ছায় কাজ করি।
vote	ভোট	আগামীকাল ভোট দেওয়ার কথা মনে রাখবেন।
warn	সতর্ক করা	আমি তাকে সতর্ক করার চেষ্টা করেছিলাম।
warning	সতর্কবার্তা	স্ক্রিনে সতর্কবার্তাটি উপস্থিত হয়েছিল।
waste	অপচয়	বিশুদ্ধ জল অপচয় করবেন না।
weapon	অস্ত্র	ছুরিটি একটি অস্ত্রে পরিণত হয়েছিল।
weigh	ওজন করা	ময়দাটি সাবধানে ওজন করুন।
western	পশ্চিমা	তারা একটি পশ্চিমা সিনেমা দেখেছিল।
whatever	যা কিছু	তোমার যা কিছু পছন্দ তা বেছে নাও।
whenever	যখনই	যখনই সাহায্যের প্রয়োজন হবে কল করবেন।
whether	কিনা	আমি জানি না সে রাজি হবে কিনা।
wing	ডানা	পাখিটির এক ডানায় আঘাত লেগেছিল।
within	মধ্যে	অনুগ্রহ করে দুই দিনের মধ্যে উত্তর দিন।
wonder	ভাবা	আমি ভাবছি কি হয়েছিল।
wool	উল	এই কোটটি উলের তৈরি।
worldwide	বিশ্বব্যাপী	গানটি বিশ্বব্যাপী জনপ্রিয় হয়েছিল।
worth	যোগ্য	এই বইটি পড়ার যোগ্য।
written	লিখিত	অনুগ্রহ করে লিখিত নির্দেশাবলী পাঠান।
yard	উঠোন	বাচ্চারা উঠোনে খেলা করছিল।
youth	যুব	যুব ক্লাবগুলো স্থানীয় কিশোর-কিশোরীদের সহায়তা করে।
