source_headword	PT	example_PT
circulation	a circulação	A circulação do jornal caiu drasticamente.
citizenship	a cidadania	Ela solicitou a cidadania francesa.
civic	cívico	Líderes cívicos participaram da reunião.
civilian	o civil	Várias casas de civis foram danificadas.
clarity	a clareza	O diagrama adicionou clareza ao relatório.
clash	o confronto	O confronto começou após a marcha.
classification	a classificação	A classificação depende do tamanho.
cling	grudar	Roupas molhadas grudam na pele.
clinical	clínico	O ensaio clínico começa no mês que vem.
closure	o encerramento	A família queria encerramento após o caso.
cluster	o aglomerado	Um aglomerado de casas ficava próximo.
coalition	a coalizão	A coalizão perdeu sua maioria.
coastal	costeiro	As vilas costeiras prepararam-se para inundações.
cocktail	o coquetel	Ela pediu um coquetel de frutas.
cognitive	cognitivo	As habilidades cognitivas melhoram com a prática.
coincide	coincidir	O festival coincidirá com a formatura.
collaborate	colaborar	As equipes colaboram em software.
collaboration	a colaboração	A colaboração deles produziu bons resultados.
collective	coletivo	A decisão foi um esforço coletivo.
collision	a colisão	O acidente bloqueou a rodovia.
colonial	colonial	O edifício tem arquitetura colonial.
columnist	o/a colunista	O colunista criticou a política.
combat	o combate	Os soldados treinaram para o combate.
commence	começar	A cerimônia vai começar ao meio-dia.
commentary	o comentário	O comentário da partida foi animado.
commentator	o/a comentarista	O comentarista explicou a decisão.
commerce	o comércio	O comércio online cresceu rapidamente.
commissioner	o/a comissário(a)	O comissário anunciou novas regras.
commodity	a mercadoria	O trigo é uma mercadoria importante.
communist	comunista	O partido comunista realizou uma reunião.
companion	o/a companheiro(a)	O cachorro dela é um companheiro leal.
comparable	comparável	As duas cidades são comparáveis em tamanho.
compassion	a compaixão	O enfermeiro demonstrou grande compaixão.
compel	obrigar	A evidência pode obrigar uma resposta.
compelling	convincente	O documentário apresentou um argumento convincente.
compensate	compensar	A empresa vai compensar os clientes afetados.
compensation	a compensação	Os trabalhadores exigiram uma compensação justa.
competence	a competência	O teste mede a competência profissional.
competent	competente	Ela é uma engenheira competente.
compile	compilar	Os pesquisadores compilam dados de hospitais.
complement	complementar	O vinho vai complementar a refeição.
complexity	a complexidade	O projeto tem uma complexidade inesperada.
compliance	a conformidade	A auditoria verificou a conformidade legal.
complication	a complicação	A cirurgia teve uma complicação.
comply	cumprir	As empresas devem cumprir os regulamentos.
composition	a composição	A composição inclui violino e piano.
compromise	o acordo	O acordo satisfez ambos os lados.
compute	computar	O programa pode computar o total.
conceal	ocultar	Ele tentou ocultar o dano.
concede	admitir	O ministro se recusou a admitir a derrota.
conceive	conceber	Eles não conseguiram conceber um plano melhor.
conception	a concepção	O filme mudou minha concepção da história.
concession	a concessão	A empresa ofereceu uma concessão.
condemn	condenar	Os líderes condenam o ataque publicamente.
confer	conferir	O prêmio vai conferir prestígio.
confession	a confissão	A confissão dele surpreendeu o tribunal.
configuration	a configuração	A configuração controla o acesso à rede.
confine	confinar	As regras confinam os cachorros a esta área.
confirmation	a confirmação	Nós recebemos a confirmação por e-mail.
confront	confrontar	Ela decidiu confrontar o problema.
confrontation	o confronto	O confronto terminou sem violência.
congratulate	parabenizar	Eu liguei para parabenizar minha irmã.
congregation	a congregação	A congregação cantou junta.
congressional	congressional	A audiência congressional durou horas.
conquer	conquistar	A equipe espera conquistar o mercado.
conscience	a consciência	A consciência dele não permitia mentiras.
consciousness	a consciência	O acidente afetou a consciência dele.
consecutive	consecutivo	Ela venceu três partidas consecutivas.
consensus	o consenso	O comitê chegou a um consenso rapidamente.
consent	o consentimento	É necessário um consentimento por escrito.
conserve	conservar	Nós conservamos água durante as secas.
consistency	a consistência	A consistência importa no estudo de idiomas.
consolidate	consolidar	A empresa vai consolidar dois escritórios.
constituency	o eleitorado	O candidato visitou cada eleitorado.
constitute	constituir	As mulheres constituem metade do comitê.
constitution	a constituição	A constituição garante a liberdade de expressão.
constitutional	constitucional	O tribunal revisou os direitos constitucionais.
constraint	a restrição	A restrição orçamentária limitou o projeto.
consultation	a consulta	A consulta durou duas semanas.
contemplate	contemplar	Ela parou para contemplar a oferta.
contempt	o desprezo	Ele demonstrou desprezo pelas regras.
contend	competir	Várias empresas competem pelo contrato.
contender	o/a concorrente	Ela é uma concorrente forte.
content2	contente	Ele se sentiu contente com o resultado.
contention	a disputa	A principal disputa diz respeito ao financiamento.
continually	continuamente	O sistema verifica continuamente por erros.
contractor	o/a empreiteiro(a)	O empreiteiro consertou o telhado.
contradiction	a contradição	A declaração dele continha uma contradição.
contrary	contrário	A evidência contrária mudou o caso.
contributor	o/a colaborador(a)	Ela é uma colaboradora regular.
conversion	a conversão	A conversão transformou dólares em euros.
convict	condenar	O júri pode condenar o suspeito.
conviction	a condenação	A condenação dele chocou o público.
cooperate	cooperar	Por favor, coopere com a investigação.
cooperative	cooperativo	Os funcionários foram cooperativos e calmos.
coordinate	coordenar	Eles coordenam as entregas todas as manhãs.
coordination	a coordenação	Uma boa coordenação economizou tempo.
coordinator	o/a coordenador(a)	O coordenador atribuiu cada tarefa.
cop	o/a policial	Um policial estava fora da delegacia.
copper	o cobre	O cano é feito de cobre.
copyright	os direitos autorais	A imagem é protegida por direitos autorais.
correction	a correção	O professor fez uma correção.
correlate	correlacionar	O alto estresse pode se correlacionar com doenças.
correlation	a correlação	O estudo encontrou uma forte correlação.
correspond	corresponder	Estes números correspondem aos rótulos.
correspondence	a correspondência	A correspondência deles durou anos.
correspondent	o/a correspondente	O correspondente relatou do Cairo.
corresponding	correspondente	Cada botão tem uma luz correspondente.
corrupt	corrupto	O funcionário corrupto aceitou dinheiro.
corruption	a corrupção	A corrupção enfraqueceu a confiança do público.
costly	caro	O erro foi caro para a equipe.
councillor	o/a vereador(a)	O vereador respondeu às perguntas dos moradores.
counselling	o aconselhamento	Ela recebeu aconselhamento após o acidente.
counsellor	o/a conselheiro(a)	O conselheiro ajudou os novos alunos.
counter (argue against)	contestar	Ela tentou contestar o argumento dele.
counterpart	o/a homólogo(a)	Ele conheceu seu homólogo japonês.
countless	incontável	Incontáveis voluntários se juntaram à busca.
coup	o golpe	O golpe removeu o presidente.
courtesy	a cortesia	Ela agradeceu pela cortesia deles.
