source_headword	ZH	example_ZH
challenging	具有挑战性的	这门课程很有挑战性，但也很有用。
championship	锦标赛	我们的队伍进入了锦标赛决赛。
charming	迷人的	这条老街看起来很迷人。
chase	追逐	狗追逐着球。
cheek	脸颊	一滴眼泪顺着她的脸颊流下。
cheer	欢呼	人群开始大声欢呼。
choir	合唱团	合唱团唱得很优美。
chop	砍 / 切	把洋葱切成小块。
circuit	电路 / 赛道	赛跑者跑完了一圈。
civilization	文明	古代文明塑造了这个地区。
clarify	澄清 / 阐明	请澄清最后一点。
classify	分类	科学家按物种对动物进行分类。
clerk	职员 / 书记员	职员打印了收据。
cliff	悬崖	小路的尽头靠近悬崖。
clinic	诊所	诊所八点开门。
clip	片段 / 夹子	她把夹子夹在纸上。
coincidence	巧合	在那儿遇到他真是个巧合。
collector	收藏家	这位收藏家买下了稀有硬币。
colony	殖民地	蚂蚁建立了一个巨大的群落。
colourful	多姿多彩的	市场明亮且色彩鲜艳。
comic	漫画	那滑稽的场景把我们逗笑了。
commander	指挥官	指挥官下达了明确的命令。
comparative	比较的	这篇文章使用了比较数据。
completion	完成	这座桥即将完成。
compose	撰写	他将为这部电影作曲。
composer	作曲家	这位作曲家写了一首新歌。
compound	化合物	这种化合物含有两种化学物质。
comprehensive	全面的	这本指南提供了全面的说明。
comprise	包含	这支队伍由五名成员组成。
compulsory	强制性的	这门课的出勤是强制性的。
concrete	混凝土	地板是混凝土做的。
confess	坦白	他向老师坦白了错误。
confusion	混乱	延误引起了混乱。
consequently	因此	下雨了，因此比赛停止了。
conservation	保护	自然保护旨在保护珍稀动物。
considerable	相当大的	修理花了相当长的时间。
considerably	相当多地	今年物价大幅上涨。
consistently	一致地	她的表现始终如一地好。
conspiracy	阴谋	警察调查了这起阴谋。
consult	咨询	服药前请咨询医生。
consultant	顾问	顾问建议了一项新战略。
consumption	消耗	上个月能源消耗量下降了。
controversial	有争议的	这项政策仍然存在争议。
controversy	争议	这个决定引起了争议。
convenience	便利	这家商店提供了极大的便利。
convention	惯例	年度大会于周一开幕。
conventional	传统的	他选择了一个传统的设计。
convey	传达	这条信息传达了同情。
convincing	令人信服的	她的解释令人信服。
cope	应付	她学会了如何应对压力。
corporation	公司	这家公司开设了新办公室。
corridor	走廊	走廊狭窄而安静。
counter (long flat surface)	柜台	钥匙在厨房操作台上。
coverage	报道	新闻报道持续了一整晚。
crack	裂缝	墙上出现了一条裂缝。
craft	手艺	她在网上卖手工制品。
creativity	创造力	创造力有助于解决问题。
critically	批判性地	这篇文章极其重要。
cruise	游轮	他们预订了去希腊的游轮。
cue	提示	那位演员错过了他的提示。
curious	好奇的	这孩子对太空很好奇。
curriculum	课程	学校更新了课程。
cute	可爱的	这只小狗看起来很可爱。
dairy	乳制品	这个农场生产奶制品。
dare	敢	我量你也不敢试。
darkness	黑暗	房间里充满了黑暗。
database	数据库	数据库存储客户记录。
deadline	截止日期	截止日期是周五。
deadly	致命的	这条蛇有致命的毒液。
dealer	经销商	汽车经销商提供了折扣。
deck	甲板	椅子在露天平台上。
defender	防御者	后卫挡出了射门。
delete	删除	删除旧信息。
democracy	民主	民主依赖于自由选举。
democratic	民主的	投票遵循了民主规则。
demonstration	示范	学生们参加了游行示威。
depart	离开	火车将在中午出发。
dependent	依赖的	这个孩子依赖成年人。
deposit	押金	她为这间公寓付了押金。
depression	抑郁症	抑郁症需要专业支持。
derive	获得	许多词源于拉丁语。
desperately	绝望地	他极度需要水。
destruction	破坏	风暴造成了广泛的破坏。
determination	决心	她的决心给教练留下了深刻的印象。
devote	投入	她把周末的时间用来学习。
differ	不同	他们的意见截然不同。
disability	残疾	这栋建筑有无障碍通道。
disabled	残疾的	这位残疾运动员赢得了一枚奖牌。
disagreement	分歧	会议在分歧中结束。
disappoint	使失望	结果可能会让球迷失望。
disappointment	失望	他感到深深的失望。
discourage	使气馁	不要让年轻的学习者气馁。
disorder	混乱	医生诊断出一种睡眠障碍。
distant	遥远的	群山看起来很遥远。
distinct	明显的	这两种声音截然不同。
distinguish	区分	你能区分这些颜色吗？
distract	使分心	噪音会分散学生的注意力。
disturb	打扰	请不要打扰病人。
dive	潜水	他们将在礁石附近潜水。
diverse	多样的	这座城市有多种多样的文化。
diversity	多样性	我们庆祝文化多样性。
divorce	离婚	离婚对大家来说都很艰难。
dominant	占优势的	占优势的球队控制了比赛。
donation	捐款	慈善机构收到了一笔捐款。
dot	点	在数字后面加一个点。
downtown	市中心	我们下班后在市中心碰面。
dramatically	戏剧性地	价格大幅下跌。
drought	干旱	干旱损害了农作物。
dull	乏味的	这场讲座很枯燥。
dump	倾倒	不要在这里倒垃圾。
duration	持续时间	飞行时间为三小时。
dynamic	动态的	教室里充满了活力。
economics	经济学	她在大学里学经济学。
economist	经济学家	经济学家预测增长会放缓。
editorial	编辑的	这篇社论批评了这项法律。
efficiently	高效地	团队高效地工作。
elbow	肘部	他弄伤了手肘。
electronics	电子产品	这家店卖电子产品。
elegant	优雅的	这条裙子看起来很优雅。
elementary	初级的	这本书解释了基础语法。
eliminate	消除	团队消除了几个错误。
embrace	接受	她接受了这个新想法。
emission	排放物	汽车尾气排放量下降了。
emotionally	情绪化地	他动情地谈到了他的家人。
empire	帝国	这个帝国持续了几个世纪。
enjoyable	令人愉快的	这次旅行令人愉快。
entertaining	有趣的	这场演出很有趣。
entrepreneur	企业家	这位企业家开了一家咖啡馆。
envelope	信封	把信放在信封里。
equip	装备	学校将为实验室配备设备。
equivalent	等同物	一美元在这里是不等值的。
era	时代	这一发现开启了一个新时代。
erupt	爆发	火山可能很快会爆发。
essentially	基本上	这两种方法本质上是相同的。
ethic	道德规范	他的职业道德很强。
ethnic	种族的	这个节日庆祝民族传统。
evaluation	评估	这门课程包括期末评估。
evident	明显的	他的紧张是显而易见的。
evolution	演变	进化论解释了许多生物学的变化。
evolve	发展	语言随着时间演变。
exceed	超过	需求可能会超过供应。
exception	例外	有一个例外。
excessive	过度的	过度的噪音会打扰邻居。
exclude	排除	该名单排除了临时工。
exhibit	展览品	博物馆将展出罕见的照片。
exit	出口	出口在舞台后面。
exotic	异国情调的	这家店卖异国水果。
expansion	扩张	公司计划进行扩张。
expertise	专业知识	她的专业知识改善了项目。
exploit	利用	犯罪分子利用弱密码。
exposure	曝光	在阳光下暴晒会损伤皮肤。
extension	延长	截止日期的延长对大家都有帮助。
extensive	广泛的	图书馆有广泛的资源。
extensively	广泛地	这个主题得到了广泛的研究。
extract	摘录	香草精能增加风味。
fabric	织物	这种布料摸起来很软。
fabulous	极好的	这顿饭棒极了。
failed	失败的	失败的尝试教会了我们一些东西。
fake	假的	该网站出售假票。
fame	名声	名声改变了他的私生活。
fantasy	幻想	这部小说是奇幻小说。
fare	票价	公交车票价上涨了。
federal	联邦的	联邦政府宣布了资金支持。
fever	发烧	这孩子发烧了。
firefighter	消防员	消防员救了那只狗。
firework	烟花	烟花在公园上空绽放。
firm	坚定的	这个床垫很硬。
firmly	坚定地	她用力关上了门。
flavour	味道	这汤味道很浓。
fond	喜爱的	他喜欢爵士乐。
fool	傻瓜	不要表现得像个傻瓜。
forbid	禁止	法律禁止在这里吸烟。
forecast	预测	天气预报说会下雨。
format	格式	使用正确的文件格式。
formation	结构	云的形成变化很快。
formerly	以前	这栋建筑以前是一所学校。
fortunate	幸运的	我们很幸运能早到。
forum	论坛	论坛讨论了气候政策。
fossil	化石	这块化石是在石头里发现的。
foundation	基础	这所房子有坚固的地基。
founder	创始人	创始人欢迎了客人们。
fraction	小部分	只有一小部分学生来了。
fragment	碎片	地板上有一块玻璃碎片。
framework	框架	这项法律确立了一个清晰的框架。
fraud	欺诈	银行发现了欺诈行为。
freely	自由地	孩子们在外面自由地玩耍。
frequent	频繁的	频繁的休息能提高注意力。
fulfil	履行	我希望能实现我的诺言。
full-time	全职的	她有一份全职工作。
fundamentally	根本上	这个计划在根本上是不同的。
furious	愤怒的	他对延误感到非常愤怒。
gaming	游戏	玩游戏能提高反应速度。
gay	同性恋的	他支持同性恋权利。
gender	性别	调查问到了性别问题。
gene	基因	这种基因影响眼睛的颜色。
genetic	基因的	这种疾病有遗传因素。
genius	天才	这位年轻的钢琴家是个天才。
genuine	真正的	她的笑容看起来很真诚。
genuinely	真诚地	他真的想帮忙。
gesture	姿势	她做了一个友好的手势。
gig	演出	乐队在市中心举行了一场演出。
globalization	全球化	全球化影响着当地企业。
globe	地球	地球仪显示了每个大陆。
golden	金色的	夕阳变成了金黄色。
goodness	善良	她相信人性的善良。
gorgeous	华丽的	花园看起来很美。
governor	州长	州长签署了该法案。
graphic	生动的	这幅生动的图像震惊了观众。
graphics	图形	这款游戏图形很简单。
greatly	大大地	您的建议帮了大忙。
greenhouse	温室	西红柿种在温室里。
grocery	杂货店	下班后她买了些日用品。
guideline	指导方针	该指南解释了安全操作。
habitat	栖息地	森林是鸟类的栖息地。
harbour	港口	船驶入了海港。
headquarters	总部	公司总部搬到了市中心。
