simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
女朋友	la novia	A su novia le gusta la música.	la petite amie	Sa petite amie aime la musique.	die Freundin; die feste Freundin	Seine Freundin mag Musik.	la ragazza; la fidanzata	Alla sua ragazza piace la musica.	a namorada	A namorada dele gosta de música.	девушка; подруга	Его девушка любит музыку.
前	delante; antes	Hay una librería delante de la escuela.	devant; avant	Il y a une librairie devant l'école.	vorn; vor; bevor	Vor der Schule gibt es eine Buchhandlung.	davanti; prima	Davanti alla scuola c'è una libreria.	à frente; antes	Há uma livraria em frente à escola.	спереди; перед; до	Перед школой есть книжный магазин.
请问	disculpe; puedo preguntar	Disculpe, ¿dónde está el baño?	excusez-moi; puis-je demander	Excusez-moi, où sont les toilettes ?	Entschuldigung; darf ich fragen	Entschuldigung, wo ist die Toilette?	scusi; posso chiedere	Scusi, dov'è il bagno?	desculpe; posso perguntar	Desculpe, onde fica a casa de banho?	скажите, пожалуйста; можно спросить	Скажите, пожалуйста, где туалет?
上课	asistir a clase; empezar la clase	Tenemos clase a las ocho.	avoir cours; commencer le cours	Nous avons cours à huit heures.	Unterricht haben; der Unterricht beginnt	Wir haben um acht Uhr Unterricht.	andare a lezione; iniziare la lezione	Abbiamo lezione alle otto.	ter aula; começar a aula	Temos aula às oito.	идти на урок; начинаться уроку	У нас занятие в восемь.
上学	ir a la escuela	Los niños van a la escuela todos los días.	aller à l'école	Les enfants vont à l'école tous les jours.	zur Schule gehen	Die Kinder gehen jeden Tag zur Schule.	andare a scuola	I bambini vanno a scuola ogni giorno.	ir à escola	As crianças vão à escola todos os dias.	ходить в школу	Дети каждый день ходят в школу.
事	el asunto; la cosa	Hoy tengo muchas cosas que hacer.	l'affaire; la chose	J'ai beaucoup de choses à faire aujourd'hui.	die Sache; die Angelegenheit	Ich habe heute viel zu tun.	la cosa; la questione	Oggi ho molte cose da fare.	o assunto; a coisa	Hoje tenho muitas coisas para fazer.	дело; вещь	Сегодня у меня много дел.
书店	la librería	La librería está al lado del cine.	la librairie	La librairie est à côté du cinéma.	die Buchhandlung	Die Buchhandlung ist neben dem Kino.	la libreria	La libreria è accanto al cinema.	a livraria	A livraria fica ao lado do cinema.	книжный магазин	Книжный магазин рядом с кинотеатром.
睡	dormir	El niño ya está dormido.	dormir	L'enfant dort déjà.	schlafen	Das Kind schläft schon.	dormire	Il bambino dorme già.	dormir	A criança já está a dormir.	спать	Ребенок уже спит.
说	hablar; decir	Él habla chino muy bien.	parler; dire	Il parle très bien chinois.	sprechen; sagen	Er spricht sehr gut Chinesisch.	parlare; dire	Lui parla cinese molto bene.	falar; dizer	Ele fala chinês muito bem.	говорить; сказать	Он очень хорошо говорит по-китайски.
他们	ellos	Ellos están en el aula.	ils; eux	Ils sont dans la salle de classe.	sie; ihnen	Sie sind im Klassenzimmer.	loro; essi	Loro sono in classe.	eles	Eles estão na sala de aula.	они; их	Они в классе.
它们	ellos; ellas para cosas o animales	Estos gatos son pequeños; son muy monos.	ils; elles pour choses ou animaux	Ces chats sont petits ; ils sont mignons.	sie für Dinge oder Tiere	Diese Katzen sind klein; sie sind niedlich.	essi; esse per cose o animali	Questi gatti sono piccoli; sono carini.	eles; elas para coisas ou animais	Estes gatos são pequenos; são giros.	они для предметов или животных	Эти кошки маленькие; они милые.
她们	ellas	Todas ellas son estudiantes universitarias.	elles	Elles sont toutes étudiantes à l'université.	sie weiblich	Sie sind alle Studentinnen.	esse; loro femminile	Sono tutte studentesse universitarie.	elas	Todas elas são estudantes universitárias.	они женского рода	Все они студентки университета.
天	el día; el cielo	Hoy es domingo.	le jour; le ciel	Aujourd'hui, c'est dimanche.	der Tag; der Himmel	Heute ist Sonntag.	il giorno; il cielo	Oggi è domenica.	o dia; o céu	Hoje é domingo.	день; небо	Сегодня воскресенье.
听见	oír	Oí tu teléfono.	entendre	J'ai entendu ton téléphone.	hören	Ich habe dein Telefon gehört.	sentire	Ho sentito il tuo telefono.	ouvir	Ouvi o teu telefone.	услышать	Я услышал твой телефон.
外边	fuera	Está lloviendo fuera.	dehors	Il pleut dehors.	draußen	Draußen regnet es.	fuori	Fuori piove.	lá fora	Está a chover lá fora.	снаружи; на улице	На улице идет дождь.
晚	tarde; noche	Ahora es muy tarde.	tard; soir	Il est très tard maintenant.	spät; Abend	Jetzt ist es sehr spät.	tardi; sera	Adesso è molto tardi.	tarde; noite	Agora é muito tarde.	поздний; вечер	Сейчас очень поздно.
晚饭	la cena	Para cenar quiero comer arroz.	le dîner	Pour le dîner, je veux manger du riz.	das Abendessen	Zum Abendessen möchte ich Reis essen.	la cena	Per cena voglio mangiare riso.	o jantar	Ao jantar quero comer arroz.	ужин	На ужин я хочу рис.
午饭	la comida; el almuerzo	Para comer comemos fideos.	le déjeuner	Au déjeuner, nous mangeons des nouilles.	das Mittagessen	Zum Mittagessen essen wir Nudeln.	il pranzo	A pranzo mangiamo noodles.	o almoço	Ao almoço comemos massa chinesa.	обед	На обед мы едим лапшу.
下班	salir del trabajo	Mamá sale del trabajo a las cinco.	finir le travail	Maman finit le travail à cinq heures.	Feierabend machen; von der Arbeit kommen	Mutter hat um fünf Feierabend.	uscire dal lavoro	La mamma esce dal lavoro alle cinque.	sair do trabalho	A mãe sai do trabalho às cinco.	закончить работу	Мама заканчивает работу в пять.
下课	terminar la clase; acabar la clase	Después de clase voy a la librería.	finir le cours; la fin du cours	Après le cours, je vais à la librairie.	Unterrichtsschluss; der Unterricht endet	Nach dem Unterricht gehe ich in die Buchhandlung.	finire la lezione; la fine della lezione	Dopo la lezione vado in libreria.	acabar a aula; fim da aula	Depois da aula vou à livraria.	закончиться занятию; после урока	После занятия я иду в книжный магазин.
小朋友	el niño; la niña	Los niños juegan en el parque.	l'enfant; le petit ami	Les enfants jouent dans le parc.	das Kind	Die Kinder spielen im Park.	il bambino; la bambina	I bambini giocano nel parco.	a criança	As crianças brincam no parque.	ребенок; малыш	Дети играют в парке.
小学	la escuela primaria	Mi hermana menor va a la escuela primaria.	l'école primaire	Ma petite soeur va à l'école primaire.	die Grundschule	Meine jüngere Schwester geht zur Grundschule.	la scuola primaria	Mia sorella minore va alla scuola primaria.	a escola primária	A minha irmã mais nova anda na escola primária.	начальная школа	Моя младшая сестра учится в начальной школе.
小学生	el alumno de primaria	Él es alumno de primaria.	l'élève de primaire	Il est élève en primaire.	der Grundschüler; die Grundschülerin	Er ist Grundschüler.	l'alunno della primaria; l'alunna della primaria	Lui è un alunno della scuola primaria.	o aluno da primária; a aluna da primária	Ele é aluno da escola primária.	ученик начальной школы	Он ученик начальной школы.
星期日	el domingo	El domingo no tengo clase.	le dimanche	Le dimanche, je n'ai pas cours.	der Sonntag	Am Sonntag habe ich keinen Unterricht.	la domenica	La domenica non ho lezione.	o domingo	Ao domingo não tenho aulas.	воскресенье	В воскресенье у меня нет занятий.
星期天	el domingo	El domingo voy a ver una película.	le dimanche	Dimanche, je vais voir un film.	der Sonntag	Am Sonntag gehe ich einen Film ansehen.	la domenica	Domenica vado a vedere un film.	o domingo	No domingo vou ver um filme.	воскресенье	В воскресенье я иду смотреть фильм.
学	aprender; estudiar	Estudio chino.	apprendre; étudier	J'étudie le chinois.	lernen; studieren	Ich lerne Chinesisch.	imparare; studiare	Studio cinese.	aprender; estudar	Estudo chinês.	учить; изучать	Я учу китайский.
一半	la mitad	Me comí la mitad del arroz.	la moitié	J'ai mangé la moitié du riz.	die Hälfte	Ich habe die Hälfte des Reises gegessen.	la metà	Ho mangiato metà del riso.	metade	Comi metade do arroz.	половина	Я съел половину риса.
一下	un momento; una vez	Por favor, espera un momento.	un instant; une fois	Attends un instant, s'il te plaît.	einen Moment; einmal	Bitte warte einen Moment.	un momento; una volta	Aspetta un momento, per favore.	um momento; uma vez	Espera um momento, por favor.	немного; один раз	Подождите, пожалуйста, немного.
一点儿	un poco	Estoy un poco cansado.	un peu	Je suis un peu fatigué.	ein bisschen	Ich bin ein bisschen müde.	un po'	Sono un po' stanco.	um pouco	Estou um pouco cansado.	немного; чуть-чуть	Я немного устал.
一些	algunos; un poco	Compré algunas manzanas.	quelques; un peu	J'ai acheté quelques pommes.	einige; etwas	Ich habe ein paar Äpfel gekauft.	alcuni; un po'	Ho comprato alcune mele.	alguns; um pouco	Comprei algumas maçãs.	несколько; немного	Я купил несколько яблок.
有的	algunos; ciertos	A algunos estudiantes les gusta cantar.	certains; certaines	Certains étudiants aiment chanter.	einige; manche	Einige Schüler singen gern.	alcuni; certi	Ad alcuni studenti piace cantare.	alguns; certos	Alguns estudantes gostam de cantar.	некоторые	Некоторые ученики любят петь.
有点儿	un poco; algo	Hoy hace un poco de frío.	un peu; quelque peu	Il fait un peu froid aujourd'hui.	ein bisschen; etwas	Heute ist es ein bisschen kalt.	un po'; alquanto	Oggi fa un po' freddo.	um pouco; algo	Hoje está um pouco frio.	немного; слегка	Сегодня немного холодно.
有些	algunos; algunas	Algunos libros están con el profesor.	certains; quelques	Certains livres sont chez le professeur.	einige; manche	Einige Bücher sind beim Lehrer.	alcuni	Alcuni libri sono dall'insegnante.	alguns	Alguns livros estão com o professor.	некоторые; кое-какие	Некоторые книги у учителя.
雨	la lluvia	Hoy hay lluvia.	la pluie	Il pleut aujourd'hui.	der Regen	Heute gibt es Regen.	la pioggia	Oggi piove.	a chuva	Hoje há chuva.	дождь	Сегодня дождь.
早	temprano; mañana	Él se levanta muy temprano cada mañana.	tôt; matin	Il se lève très tôt chaque matin.	früh; Morgen	Er steht jeden Morgen sehr früh auf.	presto; mattina	Si alza molto presto ogni mattina.	cedo; manhã	Ele levanta-se muito cedo todas as manhãs.	рано; утро	Он каждое утро встает очень рано.
早饭	el desayuno	Para desayunar bebo leche.	le petit-déjeuner	Au petit-déjeuner, je bois du lait.	das Frühstück	Zum Frühstück trinke ich Milch.	la colazione	A colazione bevo latte.	o pequeno-almoço	Ao pequeno-almoço bebo leite.	завтрак	На завтрак я пью молоко.
怎么	cómo	¿Cómo vas a la escuela?	comment	Comment vas-tu à l'école ?	wie	Wie gehst du zur Schule?	come	Come vai a scuola?	como	Como vais para a escola?	как	Как ты добираешься до школы?
这边	este lado; por aquí	Por favor, ven por aquí.	ce côté-ci; par ici	Viens par ici, s'il te plaît.	hierher; diese Seite	Bitte komm hierher.	da questa parte; qui	Vieni da questa parte, per favore.	este lado; por aqui	Por favor, vem por aqui.	эта сторона; сюда	Пожалуйста, идите сюда.
这个	este; esta	Este bollo está muy rico.	celui-ci; ce	Ce baozi est très bon.	dieser; dieses	Dieser Baozi schmeckt gut.	questo	Questo baozi è molto buono.	este	Este baozi é muito saboroso.	этот	Эта булочка очень вкусная.
这里	aquí	Aquí está mi escuela.	ici	Ici, c'est mon école.	hier	Hier ist meine Schule.	qui	Questa è la mia scuola.	aqui	Aqui é a minha escola.	здесь	Здесь моя школа.
这儿	aquí	Hay un restaurante aquí.	ici	Il y a un restaurant ici.	hier	Hier gibt es ein Restaurant.	qui	Qui c'è un ristorante.	aqui	Há um restaurante aqui.	здесь	Здесь есть ресторан.
这些	estos; estas	Estos caracteres chinos son fáciles de escribir.	ceux-ci; ces	Ces caractères chinois sont faciles à écrire.	diese	Diese chinesischen Schriftzeichen sind leicht zu schreiben.	questi; queste	Questi caratteri cinesi sono facili da scrivere.	estes; estas	Estes caracteres chineses são fáceis de escrever.	эти	Эти китайские иероглифы легко писать.
只	clasificador para animales o uno de un par	Hay un gato debajo de la mesa.	classificateur pour animaux ou élément d'une paire	Il y a un chat sous la table.	Zähleinheitswort für Tiere oder eines von einem Paar	Unter dem Tisch ist eine Katze.	classificatore per animali o uno di una coppia	C'è un gatto sotto il tavolo.	classificador para animais ou um de um par	Há um gato debaixo da mesa.	счетное слово для животных или одного из пары	Под столом есть одна кошка.
中学	la escuela secundaria	Mi hermano mayor estudia en la escuela secundaria.	le collège; le lycée	Mon grand frère étudie au collège.	die Mittelschule; die weiterführende Schule	Mein älterer Bruder lernt an der weiterführenden Schule.	la scuola media; la scuola secondaria	Mio fratello maggiore studia alla scuola secondaria.	a escola secundária	O meu irmão mais velho estuda na escola secundária.	средняя школа	Старший брат учится в средней школе.
中学生	el estudiante de secundaria	Ella es estudiante de secundaria.	l'élève du secondaire	Elle est élève au collège.	der Schüler einer weiterführenden Schule; die Schülerin einer weiterführenden Schule	Sie ist Schülerin an einer weiterführenden Schule.	lo studente della scuola secondaria; la studentessa della scuola secondaria	Lei è una studentessa della scuola secondaria.	o aluno do secundário; a aluna do secundário	Ela é aluna da escola secundária.	ученик средней школы	Она ученица средней школы.
字	el carácter; la escritura	Su letra es muy bonita.	le caractère; l'écriture	Son écriture est très belle.	das Schriftzeichen; die Handschrift	Seine Handschrift ist sehr schön.	il carattere; la calligrafia	La sua calligrafia è molto bella.	o carácter; a letra	A letra dele é muito bonita.	иероглиф; почерк	У него красивый почерк.
做饭	cocinar	Papá está cocinando en la cocina.	cuisiner	Papa cuisine dans la cuisine.	kochen	Vater kocht in der Küche.	cucinare	Papà sta cucinando in cucina.	cozinhar	O pai está a cozinhar na cozinha.	готовить еду	Папа готовит на кухне.
