source_headword	NL	example_NL
credit	het krediet; de eer	Ik betaalde met een creditcard.
crime	de misdaad; criminaliteit	Misdaad is een ernstig probleem.
criminal	de crimineel; strafbaar	De crimineel vertrok snel.
cross	oversteken; het kruis	Steek de straat voorzichtig over.
crowd	de menigte	De menigte wachtte buiten.
crowded	druk; vol	De trein was druk.
cry	huilen	Huil nu niet.
cupboard	de kast	De kopjes staan in de kast.
curly	krullend	Zij heeft krullend haar.
cycle	fietsen; de cyclus	Ik fiets naar school.
daily	dagelijks	Ik lees dagelijks het nieuws.
danger	het gevaar	Het bord toont gevaar.
data	de gegevens; de data	Deze gegevens zijn nuttig.
dead	dood	De plant is dood.
deal	de deal; de overeenkomst	Dit is een goede deal.
death	de dood	De dood is een moeilijk onderwerp.
decision	de beslissing	Neem vandaag een beslissing.
deep	diep	Het water is diep.
definitely	zeker; absoluut	Ik wil zeker thee.
degree	de graad; het diploma	Mijn diploma is in geschiedenis.
dentist	de tandarts	De tandarts controleerde mijn tanden.
department	de afdeling	De schoenenafdeling is boven.
depend	afhangen	Het hangt van het weer af.
desert	de woestijn; verlaten	De woestijn is heel droog.
designer	de ontwerper	De ontwerper maakte deze jurk.
destroy	vernietigen; kapotmaken	Vernietig het bestand niet.
detective	de detective	De detective vond de sleutel.
develop	ontwikkelen	Zij ontwikkelen een nieuwe app.
device	het apparaat	Dit apparaat is handig.
diary	het dagboek	Zij schrijft in haar dagboek.
differently	anders	Wij doen het anders.
digital	digitaal	Dit is een digitale camera.
direct	direct; rechtstreeks	Neem de rechtstreekse trein.
direction	de richting	Loop in deze richting.
director	de regisseur; de directeur	De regisseur vond de film goed.
disagree	het oneens zijn	Ik ben het oneens met dit idee.
disappear	verdwijnen	De zon zal snel verdwijnen.
disaster	de ramp	De storm was een ramp.
discover	ontdekken	Zij ontdekten een nieuw eiland.
discovery	de ontdekking	De ontdekking veranderde de wetenschap.
discussion	de discussie	De discussie eindigde vroeg.
disease	de ziekte	Deze ziekte is ernstig.
distance	de afstand	De afstand is kort.
divorced	gescheiden	Haar ouders zijn gescheiden.
document	het document	Sla dit document nu op.
double	dubbel; tweemaal	Ik heb een tweepersoonskamer nodig.
download	downloaden; de download	Download de app vandaag.
drama	het drama; toneel	Het drama begon laat.
drawing	de tekening	De tekening hangt aan de muur.
dream	de droom; dromen	Ik had een vreemde droom.
driving	het autorijden	Autorijden in regen is moeilijk.
drop	laten vallen; de druppel	Laat het glas niet vallen.
drug	het medicijn; de drug	Dit medicijn helpt mij.
dry	droog	Maak je jas droog.
earn	verdienen	Zij verdient geld met haar werk.
earth	de aarde	De aarde is rond.
easily	gemakkelijk; makkelijk	Ik kan dit gemakkelijk doen.
education	het onderwijs; de opleiding	Onderwijs is belangrijk.
effect	het effect	Het effect was klein.
either	ook niet; een van beide	Ik wil dat ook niet.
electric	elektrisch	Dit is een elektrische auto.
electrical	elektrisch; elektriciteits-	De elektrische kabel is veilig.
electricity	de elektriciteit	Elektriciteit is hier duur.
electronic	elektronisch	Ik kocht een elektronisch ticket.
employ	in dienst hebben; aannemen	Het bedrijf neemt veel mensen aan.
employee	de werknemer	De werknemer is vandaag afwezig.
employer	de werkgever	De werkgever bood een baan aan.
empty	leeg	De fles is leeg.
ending	het einde	Het einde van het verhaal is mooi.
energy	de energie	Ik heb vandaag weinig energie.
engine	de motor	De motor maakt lawaai.
engineer	de ingenieur	De ingenieur controleerde de brug.
enormous	enorm	Het gebouw is enorm.
enter	binnengaan; invoeren	Voer je naam in.
environment	het milieu; de omgeving	Bescherm het milieu.
equipment	de apparatuur	De apparatuur is nieuw.
error	de fout	Er staat een fout in de zin.
especially	vooral; speciaal	Ik hou vooral van thee.
essay	het essay	Schrijf een kort essay.
everyday	alledaags; dagelijks	Dit is alledaagse taal.
everywhere	overal	Overal lagen boeken.
evidence	het bewijs	Het bewijs is duidelijk.
exact	exact; precies	Geef het exacte antwoord.
exactly	precies	Dat is precies goed.
excellent	uitstekend	Je werk is uitstekend.
except	behalve	Iedereen kwam behalve Tom.
exist	bestaan	Bestaan er hier oude kaarten?
expect	verwachten	Ik verwacht morgen een brief.
experience	de ervaring; ervaren	Deze ervaring was nuttig.
experiment	het experiment	Het experiment begon om tien uur.
expert	de expert; deskundig	De expert gaf advies.
explanation	de uitleg	De uitleg was duidelijk.
express	uitdrukken; expres	Zij kan haar mening uitdrukken.
expression	de uitdrukking	Hij gebruikte een nieuwe uitdrukking.
extreme	extreem	Extreem weer kan gevaarlijk zijn.
extremely	extreem; heel	Het was extreem koud.
factor	de factor	Tijd is een belangrijke factor.
factory	de fabriek	De fabriek staat buiten de stad.
fail	mislukken; zakken	Ik wil niet zakken voor de test.
fair	eerlijk; redelijk	De prijs is eerlijk.
fan	de fan; de ventilator	De fan juichte luid.
farming	de landbouw	Landbouw is belangrijk hier.
fashion	de mode	Zij volgt de mode.
fear	de angst; vrezen	Zijn grootste angst is vliegen.
feature	de functie; het kenmerk	Deze app heeft een nieuwe functie.
feed	voeden; eten geven	Voer de kat nu.
female	vrouwelijk; het vrouwtje	De vrouwelijke atleet won.
fiction	de fictie	Ik lees graag fictie.
field	het veld; het vak	De kinderen spelen op het veld.
fight	het gevecht; vechten	De twee jongens vochten.
figure	het figuur; het cijfer	Schrijf het cijfer hier.
finally	eindelijk; tenslotte	Eindelijk zijn wij klaar.
finger	de vinger	Mijn vinger doet pijn.
firstly	ten eerste	Ten eerste hebben we water nodig.
fishing	het vissen	Vissen is hier populair.
fit	passen; fit zijn	Deze jas past goed.
fix	repareren; vastmaken	Repareer de fiets vandaag.
flu	de griep	Zij heeft griep.
flying	het vliegen; vliegend	Vliegen maakt hem nerveus.
focus	de focus; zich richten op	Richt je op deze vraag.
following	volgend; de volgende	Lees de volgende zin.
foreign	buitenlands; vreemd	Ik leer een buitenlandse taal.
forest	het bos	Het bos is donker.
fork	de vork	Leg de vork op tafel.
formal	formeel	Schrijf een formele brief.
fortunately	gelukkig	Gelukkig kwam de bus snel.
forward	vooruit; naar voren	Stap een beetje naar voren.
fresh	vers	Het brood is vers.
