source_headword	NE	example_NE
representative	प्रतिनिधि	प्रतिनिधिले स्थानीय कामदारहरूलाई भेटे।
reputation	प्रतिष्ठा	होटलको राम्रो प्रतिष्ठा छ।
requirement	आवश्यकता	अनुभव एक आधारभूत आवश्यकता हो।
rescue	उद्धार गर्नु	तिनीहरूले मानिसहरूलाई बाढीबाट उद्धार गर्छन्।
reserve	आरक्षित गर्नु	हामी पाहुनाहरूको लागि सिटहरू आरक्षित गर्छौं।
resident	बासिन्दा	प्रत्येक बासिन्दाले एउटा सूचना प्राप्त गरे।
resist	प्रतिरोध गर्नु	दबाबको प्रतिरोध गर्ने प्रयास गर्नुहोस्।
resolve	समाधान गर्नु	तिनीहरूले विवाद शान्तिपूर्ण रूपमा समाधान गरे।
resort	रिसोर्ट	टापुको रिसोर्ट मे महिनामा खुल्यो।
retain	कायम राख्नु	कम्पनी कर्मचारीहरूलाई कायम राख्न चाहन्छ।
reveal	खुलासा गर्नु	प्रतिवेदनले सत्यको खुलासा गर्नेछ।
revolution	क्रान्ति	क्रान्तिले देशलाई परिवर्तन गर्यो।
reward	इनाम	कडा परिश्रमले इनाम पाउनुपर्छ।
rhythm	ताल	गीतको एक स्थिर ताल छ।
rid	छुटकारा पाउनु	ती पुराना फाइलहरूबाट छुटकारा पाउनुहोस्।
root	जड	समस्याको जड पैसा हो।
rub	दल्नु	कपडाले सतहमा दल्नुहोस्।
rubber	रबर	रबरको सिलले चुहावट रोक्छ।
rural	ग्रामीण	धेरै ग्रामीण विद्यालयहरूलाई सहयोग आवश्यक छ।
rush	हतार गर्नु	यो निर्णय गर्न हतार नगर्नुहोस्।
satellite	उपग्रह	उपग्रहले नयाँ तस्बिरहरू पठायो।
satisfied	सन्तुष्ट	ग्राहक सन्तुष्ट देखिन्थ्यो।
satisfy	सन्तुष्ट पार्नु	उत्तरले उसलाई सन्तुष्ट पारेन।
saving	बचत	ऊर्जा बचतले मासिक खर्च घटाउँछ।
scale	स्तर	क्षतिको स्तर ठूलो थियो।
scheme	योजना	यो योजनाले युवा कामदारहरूलाई मद्दत गर्छ।
scream	चिच्याहट	तिनीहरूले बाहिर एउटा चिच्याहट सुने।
sector	क्षेत्र	प्रविधि क्षेत्र बढ्दै छ।
secure	सुरक्षित गर्नु	सुरक्षित गर्नको लागि ढोका लक गर्नुहोस्।
seek	खोज्नु	तिनीहरू विशेषज्ञहरूबाट सल्लाह खोज्छन्।
select	छान्नु	उत्तम विकल्प छान्नुहोस्।
selection	चयन	पसलले ठूलो चयन प्रस्ताव गर्दछ।
self	स्वयम्	उनले आफ्नो वास्तविक स्वयम् देखाइन्।
senior	वरिष्ठ	एक वरिष्ठ डाक्टरले बिरामीको जाँच गरे।
sensitive	संवेदनशील	यो विषय धेरै संवेदनशील छ।
sequence	क्रम	चरणहरूको क्रम पछ्याउनुहोस्।
session	सत्र	प्रशिक्षण सत्र दिउँसो सुरु हुन्छ।
settle	सुल्झाउनु	तिनीहरूले तर्क छिट्टै सुल्झाउँछन्।
severe	गम्भीर	आँधीले गम्भीर बाढी निम्त्यायो।
shade	छाया	छायामा बस्नुहोस्।
shadow	छाया	एउटा छाया झ्यालबाट पार भयो।
shallow	गहिरो नभएको	यहाँ ताल गहिरो छैन।
shame	लाज	झुट बोलेपछि उसलाई लाज लाग्यो।
shelter	आश्रय	विद्यालयले आपतकालीन आश्रय प्रदान गर्यो।
shock	धक्का	निर्णय एक धक्का थियो।
shocked	स्तब्ध	उनी समाचारले स्तब्ध देखिन्थिन्।
shooting	गोलीबारी	गोलीबारी स्टेशन नजिकै भएको थियो।
shot	प्रहार	जित्ने प्रहारले सबैलाई छक्क पार्यो।
significant	महत्त्वपूर्ण	खोज महत्त्वपूर्ण थियो।
significantly	उल्लेख्य रूपमा	गत वर्ष लागत उल्लेख्य रूपमा बढ्यो।
silence	मौनता	कोठामा मौनता छायो।
silk	रेशम	त्यो लुगा रेशमबाट बनेको थियो।
sincere	निष्कपट	कृपया मेरो निष्कपट धन्यवाद स्वीकार गर्नुहोस्।
slave	दास	कानूनले हरेक दासलाई मुक्त गर्‍यो।
slide	चिप्लेटी	बच्चा चिप्लेटीबाट तल गयो।
slight	सामान्य	त्यहाँ सामान्य ढिलाइ भयो।
slip	चिप्लिनु	भिजेको भुइँमा नचिप्लिनुहोस्।
slope	भिरालो	बाटोले ठाडो भिरालो पछ्याउँछ।
solar	सौर्य	घरले सौर्य ऊर्जा प्रयोग गर्दछ।
somewhat	केही हदसम्म	निर्देशनहरू केही हदसम्म भ्रमपूर्ण थिए।
soul	आत्मा	संगीतले उनको आत्मालाई माथि उठायो।
specialist	विशेषज्ञ	विशेषज्ञले बिरामीको जाँच गरे।
species	प्रजाति	यो प्रजाति नदीहरूको छेउमा बस्छ।
spiritual	आध्यात्मिक	उनले आध्यात्मिक अनुभवको वर्णन गरिन्।
split	बाँड्नु	उनीहरूले बिल बराबर बाँडे।
sponsor	प्रायोजन गर्नु	कम्पनीले कार्यक्रम प्रायोजन गर्नेछ।
stable	स्थिर	बिरामी स्थिर हुनुहुन्छ।
stare	घुरेर हेर्नु	अपरिचितहरूलाई घुरेर नहेर्नुहोस्।
status	स्थिति	उनको स्थिति रातारात परिवर्तन भयो।
steady	एकनासको	एकनासको गति राख्नुहोस्।
steel	स्टिल	पुल स्टिलबाट बनेको छ।
steep	ठाडो	पहाड ठाडो छ।
sticky	टाँसिने	भुइँ टाँसिने खालको महसुस हुन्छ।
stiff	कडा	उनको काँध कडा महसुस भयो।
stock	स्टक	पसलमा कुनै स्टक बाँकी छैन।
stream	खोला	एउटा सानो खोला खेत पार गर्छ।
stretch	तन्काउनु	उडानपछि आफ्नो खुट्टा तन्काउनुहोस्।
strict	कडा	विद्यालयका कडा नियमहरू छन्।
strike	हड्ताल गर्नु	कामदारहरूले भोलि हड्ताल गर्न सक्छन्।
struggle	संघर्ष गर्नु	धेरै परिवारहरू घरभाडाको लागि संघर्ष गर्छन्।
submit	बुझाउनु	शुक्रबारसम्म फारम बुझाउनुहोस्।
sum	रकम	रकम अपेक्षा गरेभन्दा बढी थियो।
surgery	शल्यक्रिया	शल्यक्रिया दुई घण्टा चल्यो।
surround	घेर्नु	अग्ला रूखहरूले घरलाई घेरेका छन्।
surrounding	वरपरको	वरपरको क्षेत्र शान्त छ।
suspect	शंका गर्नु	प्रहरीले एक स्थानीय मानिसमाथि शंका गरेको छ।
swear	गाली गर्नु	कक्षामा गाली नगर्नुहोस्।
sweep	बढार्नु	पाहुनाहरू आउनुअघि भुइँ बढार्नुहोस्।
sympathy	सहानुभूति	उनले पीडितहरूप्रति सहानुभूति व्यक्त गरिन्।
tale	कथा	हजुरआमाले एउटा अनौठो कथा सुनाउनुभयो।
tank	ट्याङ्की	ट्याङ्कीले सफा पानी राख्छ।
tear1	च्यात्नु	कागजात नच्यात्नुहोस्।
tear2	आँसु	उनको गालामा आँसु बग्यो।
temporary	अस्थायी	कार्यालय अस्थायी आश्रय हो।
therapy	थेरापी	शारीरिक थेरापीले उनको रिकभरीमा मद्दत गर्‍यो।
threat	धम्की	सन्देशमा धम्की समावेश थियो।
threaten	खतरा हुनु	आँधीले बालीहरूलाई खतरामा पार्न सक्छ।
thus	त्यसैले	बाटो बन्द थियो; त्यसैले हामीले पर्खियौं।
tone	स्वर	उनको स्वर शान्त सुनिन्थ्यो।
tough	कडा	अन्तर्वार्ता कडा थियो।
transfer	स्थानान्तरण गर्नु	तिनीहरू हरेक रात डाटा स्थानान्तरण गर्छन्।
transform	परिवर्तन गर्नु	नयाँ नीतिले सेवाहरू परिवर्तन गर्नेछ।
transition	संक्रमण	संक्रमणले धेरै महिना लियो।
trial	परीक्षण	परीक्षण अर्को हप्ता सुरु हुन्छ।
tropical	उष्णकटिबंधीय	यहाँ उष्णकटिबंधीय आँधीबेहरी सामान्य छ।
truly	साँच्चै	म तपाईंको मद्दतको साँच्चै कदर गर्छु।
trust	विश्वास	विश्वास निर्माण गर्न समय लाग्छ।
tune	धुन	ब्यान्डले रमाइलो धुन बजायो।
tunnel	सुरुङ	सुरुङ नदीको मुनि जान्छ।
ultimately	अन्ततः	अन्ततः, योजना सफल भयो।
unconscious	बेहोस	बिरामी बेहोस नै रहे।
unexpected	अप्रत्याशित	ढिलाइ अप्रत्याशित थियो।
unique	अद्वितीय	प्रत्येक डिजाइन अद्वितीय छ।
universe	ब्रह्माण्ड	ब्रह्माण्ड विस्तार हुँदैछ।
unknown	अज्ञात	नाम अज्ञात नै छ।
upper	माथिल्लो	माथिल्लो तख्ता खाली छ।
upwards	माथितिर	धुवाँ माथितिर सर्‍यो।
urban	सहरी	सहरी क्षेत्रहरूमा राम्रो यातायात चाहिन्छ।
urge	आग्रह गर्नु	डाक्टरहरू मानिसहरूलाई व्यायाम गर्न आग्रह गर्छन्।
vary	फरक हुनु	मूल्यहरू क्षेत्र अनुसार फरक हुन्छन्।
vast	विशाल	मरुभूमिले एक विशाल क्षेत्र ओगटेको छ।
venue	स्थान	यस स्थानमा पाँच सय मानिस अट्छन्।
via	मार्फत	कागजात इमेल मार्फत पठाउनुहोस्।
victory	विजय	टोलीले आफ्नो विजय मनायो।
violence	हिंसा	शहरले राजनीतिक हिंसाको सामना गर्यो।
virtual	भर्चुअल	बैठक भर्चुअल हो।
vision	दृष्टिकोण	उनको दृष्टिकोणले कम्पनीलाई आकार दियो।
visual	दृश्य	रिपोर्टमा दृश्य उदाहरणहरू समावेश छन्।
vital	अत्यावश्यक	जीवनको लागि पानी अत्यावश्यक छ।
vitamin	भिटामिन	सुन्तलामा भिटामिन सी हुन्छ।
volume	भोल्युम	भोल्युम कम गर्नुहोस्।
wage	ज्याला	कामदारहरूले उच्च ज्यालाको माग गरे।
weakness	कमजोरी	योजनामा एउटा कमजोरी छ।
wealth	सम्पत्ति	उनको सम्पत्ति व्यापारबाट आएको हो।
wealthy	धनी	धनी परिवारले संग्रहालयलाई सहयोग गर्यो।
whereas	जबकि	उनलाई चिया मनपर्छ, जबकि म कफी रुचाउँछु।
wherever	जहाँ भए पनि	जहाँ तपाईंलाई सहज लाग्छ त्यहाँ बस्नुहोस्।
whisper	कानेखुसी गर्नु	कृपया समारोहको समयमा कानेखुसी गर्नुहोस्।
whom	कसलाई	तपाईंले कसलाई आमन्त्रित गर्नुभयो?
widely	व्यापक रूपमा	पुस्तक व्यापक रूपमा पढिएको छ।
wildlife	वन्यजन्तु	पार्कले स्थानीय वन्यजन्तुको संरक्षण गर्दछ।
willing	इच्छुक	उनी मद्दत गर्न इच्छुक छिन्।
wind2	बेर्नु	रिलको वरिपरि केबल बेर्नुहोस्।
wire	तार	तारले दुई उपकरणहरूलाई जोड्छ।
wise	बुद्धिमानी	त्यो एक बुद्धिमानी छनौट थियो।
witness	साक्षी	एक साक्षीले दुर्घटनाको वर्णन गरे।
wound	घाउ	घाउलाई ध्यानपूर्वक सफा गर्नुहोस्।
wrap	बेर्नु	उपहारलाई कागजमा बेर्नुहोस्।
zone	क्षेत्र	यो क्षेत्र ट्राफिकको लागि बन्द छ।
