source_headword	DA	example_DA
numerous	talrig	Talrige studier støtter denne idé.
obey	adlyde	Bilister skal adlyde skiltene.
objective	et mål	Vores mål er at reducere affald.
obligation	en forpligtelse	Forældre har en forpligtelse til at beskytte børn.
observation	en observation	Hans observation ændrede diskussionen.
observe	observere	Forskere observerer fuglene hvert forår.
obtain	indhente	Du skal indhente skriftlig tilladelse.
occasionally	lejlighedsvis	Hun arbejder lejlighedsvis hjemmefra.
offence	en fornærmelse	Kommentaren forårsagede alvorlig fornærmelse.
offend	fornærme	Jeg mente ikke at fornærme nogen.
offensive	stødende	Plakaten indeholdt stødende sprog.
opening	en ledig stilling	Den ledige stilling tiltrak mange ansøgere.
operate	fungere	Maskinen kan fungere automatisk.
opponent	en modstander	Hendes modstander kritiserede politikken.
oppose	modsætte sig	Mange beboere modsætter sig planen.
opposed	modstridende	Grupperne havde modstridende synspunkter.
opposition	en modstand	Forslaget mødte stærk modstand.
organ	et organ	Hjertet er et vitalt organ.
origin	en oprindelse	Brandens oprindelse er ukendt.
otherwise	ellers	Gå nu; ellers kommer du for sent.
outcome	et udfald	Udfaldet overraskede alle.
outer	ydre	Den ydre væg trænger til reparation.
outline	et rids / skitsere	Skitser venligst dit hovedargument.
overall	overordnet	Det overordnede resultat var positivt.
owe	skylde	Jeg skylder dig en undskyldning.
pace	et tempo	Gå i et roligt tempo.
panel	et panel	Panelet diskuterede klimapolitikken.
parliament	et parlament	Parlamentet godkendte den nye lov.
participant	en deltager	Hver deltager underskrev formularen.
partly	delvist	Forsinkelsen var delvist vores fejl.
passage	en passage	Læs passagen, før du svarer.
pension1	en pension	Hans pension forsørger ham efter pensioneringen.
permanent	permanent	De har brug for en permanent løsning.
permit	tillade	Reglerne tillader korte besøg.
perspective	et perspektiv	Prøv at se hendes perspektiv.
phase	en fase	Projektet gik ind i sin sidste fase.
phenomenon	et fænomen	Fænomenet forekommer i mange kulturer.
philosophy	en filosofi	Hendes filosofi værdsætter praktisk handling.
pile	en bunke	En bunke papirer dækkede skrivebordet.
pitch	en bane	Holdet forberedte banen omhyggeligt.
plain	tydelig	Instruktionerne var tydelige og direkte.
pointed	spids	Han kom med en spids bemærkning.
popularity	en popularitet	Sangeren vandt popularitet på nettet.
pose	udgøre	Spørgsmålet kan udgøre et problem.
possess	besidde	Få studerende besidder den færdighed.
potential	potentiel	Idéen har et reelt potentiale.
praise	en ros	Læreren gav ærlig ros.
pregnant	gravid	Hun er seks måneder gravid.
preparation	en forberedelse	God forberedelse reducerer stress.
presence	en tilstedeværelse	Hans tilstedeværelse ændrede stemningen.
preserve	bevare	Vi skal bevare denne historiske bygning.
prime	primær	Den primære årsag var dårlig planlægning.
principle	et princip	Beslutningen fulgte et klart princip.
priority	en prioritet	Sikkerhed er vores første prioritet.
privacy	et privatliv	Kunder forventer privatliv på nettet.
procedure	en procedure	Proceduren tager tredive minutter.
proof	et bevis	Vi har brug for bevis før vi handler.
proposal	et forslag	Forslaget har brug for flere detaljer.
propose	foreslå	Jeg foreslår en anden løsning.
prospect	en udsigt	Udsigten til at fejle bekymrede dem.
protection	en beskyttelse	Hjelmen giver grundlæggende beskyttelse.
psychologist	en psykolog	Psykologen forklarede testresultaterne.
psychology	en psykologi	Hun studerer psykologi på universitetet.
publication	en publikation	Publikationen tiltrak offentlig opmærksomhed.
pupil	en elev	Hver elev fik en ny lærebog.
purchase	et køb	De køber forsyninger hver måned.
pure	ren	Vandet var rent og koldt.
pursue	forfølge	Han vil forfølge en medicinsk karriere.
rank	en rang	Hun har en høj rang.
rapid	hurtig	Landet oplevede en hurtig vækst.
rapidly	hurtigt	Priserne steg hurtigt i år.
raw	rå	Kokken forberedte rå grøntsager.
realistic	realistisk	Sæt en realistisk tidsfrist.
reasonable	rimelig	Det virker som en rimelig anmodning.
recall	huske	Jeg husker hans præcise ord.
recover	komme sig	Hun vil komme sig efter behandlingen.
reduction	en reduktion	Reduktionen sparede penge.
regard	betragte	Mange betragter hende som ærlig.
regional	regional	Det regionale kontor lukkede i dag.
register	registrere sig	Tilmeld dig venligst før konferencen.
regret	fortryde	Jeg fortryder min tidligere beslutning.
regulation	en regulering	Den nye regulering påvirker alle chauffører.
relatively	relativt	Eksamenen var relativt nem.
relevant	relevant	Vælg kun relevante detaljer.
relief	en lettelse	Nyheden bragte stor lettelse.
rely	stole på	Børn stoler på voksnes støtte.
remark	en bemærkning	Hans bemærkning afsluttede diskussionen.
representative	en repræsentant	Repræsentanten mødte lokale arbejdere.
reputation	et omdømme	Hotellet har et godt omdømme.
requirement	et krav	Erfaring er et grundlæggende krav.
rescue	redde	De redder folk fra oversvømmelser.
reserve	en reserve	Vi reserverer pladser til gæsterne.
resident	en beboer	Hver beboer modtog en meddelelse.
resist	modstå	Prøv at modstå presset.
resolve	løse	De løste tvisten fredeligt.
resort	et resort	Ø-resortet åbnede i maj.
retain	fastholde	Virksomheden ønsker at fastholde personale.
reveal	afsløre	Rapporten vil afsløre sandheden.
revolution	en revolution	Revolutionen ændrede landet.
reward	en belønning	Hårdt arbejde fortjener en belønning.
rhythm	en rytme	Sangen har en rolig rytme.
rid	slippe af med	Skaf dig af med de gamle filer.
root	en rod	Roden til problemet er penge.
rub	gnide	Gnid overfladen med en klud.
rubber	et gummi	Gummitætningen forhindrer lækager.
rural	landlig	Mange skoler på landet har brug for støtte.
rush	forhaste	Forhast ikke denne beslutning.
satellite	en satellit	Satellitten sendte nye billeder.
satisfied	tilfreds	Kunden virkede tilfreds.
satisfy	tilfredsstille	Svaret tilfredsstillede ham ikke.
saving	en besparelse	Energibesparelse reducerer de månedlige omkostninger.
scale	et omfang	Omfanget af skaden var enormt.
scheme	en ordning	Ordningen hjælper unge arbejdere.
scream	et skrig	De hørte et skrig udenfor.
sector	en sektor	Teknologisektoren vokser.
secure	sikre	Lås døren for at sikre den.
seek	søge	De søger råd hos eksperter.
select	vælge	Vælg den bedste mulighed.
selection	et udvalg	Butikken tilbyder et bredt udvalg.
self	et jeg	Hun viste sit sande jeg.
senior	senior	En overlæge tilser patienten.
sensitive	følsom	Dette emne er meget følsomt.
sequence	en rækkefølge	Følg rækkefølgen af trinnene.
session	en session	Træningssessionen starter til middag.
settle	løse	De løser skænderiet hurtigt.
severe	alvorlig	Stormen forårsagede alvorlige oversvømmelser.
shade	en skygge	Sid i skyggen.
shadow	en skygge	En skygge gled forbi vinduet.
shallow	lavvandet	Søen er lavvandet her.
shame	en skam	Han følte skam efter at have løjet.
shelter	et ly	Skolen gav nødly.
shock	et chok	Beslutningen var et chok.
shocked	chokeret	Hun så chokeret ud over nyheden.
shooting	et skyderi	Skyderiet skete i nærheden af stationen.
shot	et skud	Vinderskuddet overraskede alle.
significant	betydelig	Opdagelsen var betydelig.
significantly	betydeligt	Omkostningerne steg betydeligt sidste år.
silence	en stilhed	Rummet faldt i stilhed.
silk	en silke	Kjolen var lavet af silke.
sincere	oprigtig	Modtag venligst min oprigtige tak.
slave	en slave	Loven frigav hver slave.
slide	glide	Barnet kørte ned ad rutsjebanen.
slight	let	Der var en let forsinkelse.
slip	glide	Glid ikke på det våde gulv.
slope	en skråning	Stien følger en stejl skråning.
solar	sol-	Huset bruger solenergi.
somewhat	noget	Instruktionerne var noget forvirrende.
soul	en sjæl	Musikken løftede hendes sjæl.
specialist	en specialist	Specialisten undersøgte patienten.
species	en art	Denne art lever nær floder.
spiritual	åndelig	Hun beskrev en åndelig oplevelse.
split	dele	De delte regningen ligeligt.
sponsor	sponsorere	Virksomheden vil sponsorere begivenheden.
stable	stabil	Patienten er stabil.
stare	stirre	Stir ikke på fremmede.
status	en status	Hans status ændrede sig natten over.
steady	jævn	Hold en jævn hastighed.
steel	et stål	Broen er lavet af stål.
steep	stejl	Bakken er stejl.
sticky	klistret	Gulvet føles klistret.
stiff	stiv	Hans skulder føltes stiv.
stock	et lager	Butikken har intet lager tilbage.
stream	en strøm	En lille strøm krydser marken.
stretch	strække	Stræk dine ben efter flyveturen.
strict	streng	Skolen har strenge regler.
strike	strejke	Arbejderne kan strejke i morgen.
struggle	kæmpe	Mange familier kæmper med huslejen.
submit	indsende	Indsend formularen senest fredag.
sum	en sum	Summen var højere end forventet.
surgery	en operation	Operationen varede to timer.
surround	omgive	Høje træer omgiver huset.
surrounding	omkringliggende	Det omkringliggende område er stille.
suspect	mistænke	Politiet mistænker en lokal mand.
swear	bande	Band ikke i klassen.
sweep	feje	Fej gulvet før gæsterne ankommer.
sympathy	en sympati	Hun udtrykte sympati for ofrene.
tale	en fortælling	Bedstemor fortalte en mærkelig historie.
tank	en tank	Tanken rummer rent vand.
tear1	rive	Riv ikke dokumentet i stykker.
tear2	en tåre	En tåre trillede ned ad hendes kind.
temporary	midlertidig	Kontoret er et midlertidigt krisecenter.
therapy	en terapi	Fysioterapi hjalp med hans bedring.
threat	en trussel	Beskeden indeholdt en trussel.
threaten	true	Stormen kan true afgrøderne.
thus	derfor	Vejen var lukket; derfor ventede vi.
tone	en tone	Hans tone lød rolig.
tough	hård	Interviewet var hårdt.
transfer	overføre	De overfører data hver nat.
transform	forvandle	Den nye politik vil forvandle tjenesterne.
transition	en overgang	Overgangen tog flere måneder.
trial	en retssag	Retssagen begynder i næste uge.
tropical	tropisk	Tropiske storme er almindelige her.
truly	virkelig	Jeg sætter virkelig pris på din hjælp.
trust	tillid	Tillid tager tid at opbygge.
tune	en melodi	Bandet spillede en munter melodi.
tunnel	en tunnel	Tunnelen går under floden.
ultimately	i sidste ende	I sidste ende lykkedes planen.
unconscious	bevidstløs	Patienten forblev bevidstløs.
unexpected	uventet	Forsinkelsen var uventet.
unique	unik	Hvert design er unikt.
universe	et univers	Universet udvider sig.
unknown	ukendt	Navnet forbliver ukendt.
upper	øvre	Den øvre hylde er tom.
upwards	opad	Røgen bevægede sig opad.
urban	urban	Urbane områder har brug for bedre transport.
urge	opfordre	Læger opfordrer folk til at motionere.
vary	variere	Priserne varierer efter region.
vast	enorm	Ørkenen dækker et enormt område.
venue	et lokale	Lokalet har plads til fem hundrede mennesker.
via	via	Send dokumentet via e-mail.
victory	en sejr	Holdet fejrede sin sejr.
violence	vold	Byen led under politisk vold.
virtual	virtuel	Mødet er virtuelt.
vision	en vision	Hendes vision formede virksomheden.
visual	visuel	Rapporten indeholder visuelle eksempler.
vital	livsvigtig	Vand er livsvigtigt for livet.
vitamin	et vitamin	Appelsiner indeholder C-vitamin.
volume	en lydstyrke	Skru ned for lydstyrken.
wage	en løn	Arbejderne krævede en højere løn.
weakness	en svaghed	Planen har én svaghed.
wealth	en rigdom	Hans rigdom kom fra handel.
wealthy	velhavende	Den velhavende familie finansierede museet.
whereas	hvorimod	Hun kan lide te, hvorimod jeg foretrækker kaffe.
wherever	hvor som helst	Sid hvor som helst du føler dig godt tilpas.
whisper	hviske	Vær venlig at hviske under ceremonien.
whom	hvem	Hvem inviterte du?
widely	i vid udstrækning	Bogen er meget læst.
wildlife	et dyreliv	Parken beskytter det lokale dyreliv.
willing	villig	Hun er villig til at hjælpe.
wind2	vikle	Vikl kablet rundt om spolen.
wire	en ledning	Ledningen forbinder de to enheder.
wise	klog	Det var et klogt valg.
witness	et vidne	Et vidne beskrev ulykken.
wound	et sår	Rens såret forsigtigt.
wrap	pakke ind	Pak gaven ind i papir.
zone	en zone	Denne zone er lukket for trafik.
