hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
2078:不符	不符	不符	मेल न खाना	टिकट पर लिखा नाम पहचान-पत्र से मेल नहीं खाता।	মেলে না; সঙ্গত নয়	টিকিটের নাম পরিচয়পত্রের সঙ্গে মেলে না।	hindi tumutugma	Hindi tumutugma ang pangalan sa tiket sa ID.
2079:不良	不良	不良	बुरा; हानिकारक	लंबे समय तक जागते रहना एक बुरी आदत है।	খারাপ; ক্ষতিকর	দীর্ঘ সময় রাত জাগা একটি খারাপ অভ্যাস।	masama; nakakasama	Ang madalas na pagpupuyat ay isang masamang ugali.
2081:步行	步行	步行	पैदल चलना	यहां से स्कूल तक पैदल जा सकते हैं।	পায়ে হাঁটা	এখান থেকে স্কুলে পায়ে হেঁটে যাওয়া যায়।	maglakad	Maaaring maglakad mula rito papunta sa paaralan.
2083:才2	才2	才	प्रतिभा; योग्यता	बचपन से ही उसमें संगीत की प्रतिभा दिखी।	প্রতিভা; যোগ্যতা	ছোটবেলা থেকেই তার সংগীতের প্রতিভা দেখা গেছে।	talento; kakayahan	Bata pa lang siya, kitang-kita na ang talento niya sa musika.
2087:彩色	彩色	彩色	रंगीन	बच्चों ने एक रंगीन नक्शा बनाया।	রঙিন	শিশুরা একটি রঙিন মানচিত্র এঁকেছে।	makulay	Gumuhit ang mga bata ng makulay na mapa.
2088:采用	采用	采用	अपनाना; इस्तेमाल करना	कंपनी ने नई प्रबंधन पद्धति अपनाने का निर्णय लिया।	গ্রহণ করা; ব্যবহার করা	কোম্পানি নতুন ব্যবস্থাপনা পদ্ধতি গ্রহণ করার সিদ্ধান্ত নিয়েছে।	gamitin; ipatupad	Nagpasya ang kompanya na ipatupad ang bagong paraan ng pamamahala.
2090:餐饮	餐饮	餐饮	खान-पान सेवा	इस मॉल का खान-पान क्षेत्र पांचवीं मंज़िल पर है।	খাবার-পানীয় সেবা	এই শপিং মলের খাবার-পানীয় এলাকা পাঁচতলায়।	pagkain at inumin; serbisyo sa kainan	Nasa ikalimang palapag ang lugar ng pagkain at inumin sa mall na ito.
2092:藏	藏	藏	छिपाना; जमा करके रखना	उसने उपहार अलमारी में छिपा दिया।	লুকানো; সংরক্ষণ করা	সে উপহারটি আলমারিতে লুকিয়ে রাখল।	itago	Itinago niya ang regalo sa kabinet.
2095:测	测	测	मापना; जांचना	शिक्षक ने हमें पानी का तापमान मापने को कहा।	মাপা; পরীক্ষা করা	শিক্ষক আমাদের পানির তাপমাত্রা মাপতে বললেন।	sukatin; subukan	Pinasukat sa amin ng guro ang temperatura ng tubig.
2096:测试	测试	测试	परीक्षण करना	नए सॉफ्टवेयर का परीक्षण कल शुरू होगा।	পরীক্ষা করা	নতুন সফটওয়্যারের পরীক্ষা কাল শুরু হবে।	pagsubok; subukan	Magsisimula bukas ang pagsubok ng bagong software.
2097:曾	曾	曾	कभी; पहले	वह कभी तीन साल तक बीजिंग में काम करता था।	একসময়; আগে	সে আগে তিন বছর বেইজিংয়ে কাজ করেছিল।	dati; minsan	Dati siyang nagtrabaho sa Beijing nang tatlong taon.
2104:产	产	产	उत्पादन करना; जन्म देना	यह फल-बाग मुख्य रूप से सेब पैदा करता है।	উৎপাদন করা; জন্ম দেওয়া	এই ফলবাগান মূলত আপেল উৎপাদন করে।	lumikha; magluwal	Pangunahing nagbubunga ng mansanas ang taniman na ito.
2105:产量	产量	产量	उत्पादन मात्रा; पैदावार	इस साल अनाज की पैदावार बढ़ी है।	উৎপাদন; ফলন	এ বছর শস্যের ফলন বেড়েছে।	ani; dami ng produksiyon	Tumaas ang ani ng butil ngayong taon.
2108:长处	长处	长处	मज़बूत पक्ष; खूबी	धैर्य उसकी खूबी है।	শক্তি; গুণ	ধৈর্য তার একটি বড় গুণ।	kalakasan	Ang pagiging matiyaga ang kanyang kalakasan.
2109:长度	长度	长度	लंबाई	इस रस्सी की लंबाई बिल्कुल ठीक है।	দৈর্ঘ্য	এই দড়ির দৈর্ঘ্য একদম ঠিক।	haba	Sakto ang haba ng lubid na ito.
2110:长久	长久	长久	लंबे समय तक टिकने वाला	सच्ची दोस्ती लंबे समय तक रह सकती है।	দীর্ঘস্থায়ী	সত্যিকারের বন্ধুত্ব দীর্ঘস্থায়ী হতে পারে।	pangmatagalan	Maaaring maging pangmatagalan ang tunay na pagkakaibigan.
2111:长期	长期	长期	दीर्घकालिक	लंबे समय तक व्यायाम करना शरीर के लिए अच्छा है।	দীর্ঘমেয়াদি	দীর্ঘমেয়াদি ব্যায়াম শরীরের জন্য ভালো।	pangmatagalan	Mabuti sa katawan ang pangmatagalang pag-eehersisyo.
2115:长远	长远	长远	दीर्घकालीन; दूरगामी	निर्णय लेते समय दूरगामी प्रभाव पर विचार करना चाहिए।	দীর্ঘমেয়াদি; সুদূরপ্রসারী	সিদ্ধান্ত নেওয়ার সময় সুদূরপ্রসারী প্রভাব ভাবতে হয়।	pangmalawakan; pangmatagalang	Dapat isaalang-alang ang pangmatagalang epekto kapag nagpapasya.
2117:超	超	超	से अधिक होना	इस महीने का खर्च बजट से अधिक हो गया।	ছাড়িয়ে যাওয়া	এই মাসের খরচ বাজেট ছাড়িয়ে গেছে।	lumampas	Lumampas sa badyet ang gastos ngayong buwan.
2118:超出	超出	超出	से आगे निकलना; सीमा से अधिक होना	वास्तविक खर्च हमारी योजना से अधिक हो गया।	ছাড়িয়ে যাওয়া	বাস্তব খরচ আমাদের পরিকল্পনা ছাড়িয়ে গেছে।	lumampas sa	Lumampas sa plano namin ang tunay na gastos.
2120:超速	超速	超速	तेज़ गति से चलाना	यह गाड़ी तेज़ गति से चलाने के कारण जुर्माना हुई।	গতিসীমা ছাড়ানো	গাড়িটি গতিসীমা ছাড়ানোর কারণে জরিমানা খেয়েছে।	lumampas sa bilis	Minultahan ang sasakyang ito dahil lumampas sa takdang bilis.
2124:车祸	车祸	车祸	सड़क दुर्घटना	उस सड़क दुर्घटना में कोई गंभीर रूप से घायल नहीं हुआ।	সড়ক দুর্ঘটনা	ওই সড়ক দুর্ঘটনায় কেউ গুরুতর আহত হয়নি।	aksidente sa sasakyan	Walang malubhang nasugatan sa aksidente sa sasakyan.
2126:车辆	车辆	车辆	वाहन	आवासीय परिसर के द्वार पर बाहरी वाहनों का प्रवेश मना है।	যানবাহন	আবাসিক এলাকার গেটে বাইরের যানবাহন ঢোকা নিষিদ্ধ।	mga sasakyan	Bawal pumasok ang mga sasakyang galing sa labas sa gate ng komunidad.
2128:车主	车主	车主	गाड़ी मालिक	गाड़ी मालिक ने बीमा कंपनी से संपर्क कर लिया है।	গাড়ির মালিক	গাড়ির মালিক ইতিমধ্যে বীমা কোম্পানির সঙ্গে যোগাযোগ করেছেন।	may-ari ng sasakyan	Nakipag-ugnayan na ang may-ari ng sasakyan sa kompanya ng seguro.
2130:沉	沉	沉	डूबना; भारी होना	पत्थर पानी में गिरा और जल्दी ही डूब गया।	ডোবা; ভারী	পাথরটি পানিতে পড়ে দ্রুত ডুবে গেল।	lumubog	Nahulog ang bato sa tubig at mabilis na lumubog.
2134:称为	称为	称为	कहा जाना	इस चाय को स्थानीय लोग वसंत चाय कहते हैं।	বলা হয়	এই চাকে স্থানীয়ভাবে বসন্ত চা বলা হয়।	tawagin na	Tinatawag na spring tea ang tsaang ito sa lugar na iyon.
2143:成年1	成年1	成年	वयस्क होना	वह इस साल अभी-अभी वयस्क हुआ है और काम खुद कर सकता है।	প্রাপ্তবয়স্ক হওয়া	সে এ বছর সদ্য প্রাপ্তবয়স্ক হয়েছে, তাই নিজে কাজটি করতে পারে।	maging nasa hustong gulang	Naging nasa hustong gulang na siya ngayong taon at kaya na niyang asikasuhin ito nang mag-isa.
2144:城区	城区	城区	शहरी इलाका	पुराने शहरी इलाके की सड़कें अपेक्षाकृत संकरी हैं।	শহুরে এলাকা	পুরোনো শহুরে এলাকার রাস্তা তুলনামূলক সরু।	lugar sa lungsod	Medyo makikitid ang mga kalye sa lumang lugar sa lungsod.
2149:乘务员	乘务员	乘务员	परिचारक; दल सदस्य	परिचारक ने सबको सीट बेल्ट बांधने की याद दिलाई।	পরিচারক; ক্রু সদস্য	পরিচারক সবাইকে সিট বেল্ট বাঁধতে মনে করিয়ে দিলেন।	tagapaglingkod sa sasakyan; crew	Pinaalalahanan ng crew ang lahat na isuot ang sinturong pangkaligtasan.
2153:橙子	橙子	橙子	संतरा	यह संतरा मीठा और बहुत रसदार है।	কমলা	এই কমলাটি মিষ্টি আর খুব রসালো।	dalandan	Matamis at makatas ang dalandang ito.
2154:池	池	池	तालाब; कुंड	आंगन में एक छोटा तालाब है।	পুকুর; জলাধার	আঙিনায় একটি ছোট পুকুর আছে।	maliit na lawa; tangke	May maliit na lawa sa bakuran.
2159:充电	充电	充电	चार्ज करना	मोबाइल की बैटरी खत्म होने वाली है, उसे चार्ज करना होगा।	চার্জ করা	মোবাইলের চার্জ শেষ হয়ে আসছে, চার্জ দিতে হবে।	mag-charge	Mauubos na ang baterya ng cellphone, kailangan itong i-charge.
2162:充值	充值	充值	रिचार्ज करना; बैलेंस डालना	मैंने बस कार्ड में सौ युआन रिचार्ज किए।	রিচার্জ করা	আমি বাস কার্ডে একশো ইউয়ান রিচার্জ করেছি।	mag-top up; mag-recharge	Nag-top up ako ng isang daang yuan sa bus card.
2165:虫子	虫子	虫子	कीड़ा	गमले में कुछ छोटे कीड़े हैं।	পোকা	ফুলের টবে কয়েকটি ছোট পোকা আছে।	insekto; surot	May ilang maliliit na insekto sa paso ng halaman.
2167:抽	抽	抽	निकालना; धूम्रपान करना	उसने डिब्बे से एक कागज़ निकाला।	টেনে বের করা; ধূমপান করা	সে বাক্স থেকে একটি কাগজ টেনে বের করল।	humugot; manigarilyo	Humugot siya ng isang papel mula sa kahon.
2170:初	初	初	शुरुआत; आरंभिक	बैठक अगले महीने की शुरुआत में तय हुई है।	শুরু; প্রথম দিক	সভাটি আগামী মাসের শুরুতে নির্ধারিত হয়েছে।	simula; unang bahagi	Nakatakda ang pulong sa unang bahagi ng susunod na buwan.
2173:初期	初期	初期	आरंभिक चरण	परियोजना के आरंभिक चरण में अधिक धन चाहिए।	প্রাথমিক পর্যায়	প্রকল্পের প্রাথমিক পর্যায়ে আরও টাকা দরকার।	paunang yugto	Kailangan ng mas maraming pondo sa paunang yugto ng proyekto.
2175:出售	出售	出售	बेचना; बिक्री के लिए रखना	यह मकान अभी बिक्री के लिए रखा गया है।	বিক্রি করা	এই বাড়িটি এখন বিক্রির জন্য রাখা হয়েছে।	ibenta	Ibinebenta ngayon ang bahay na ito.
2177:出自	出自	出自	से आना; से उत्पन्न होना	यह वाक्य एक पुरानी किताब से आया है।	থেকে নেওয়া; উৎপত্তি হওয়া	এই বাক্যটি একটি পুরোনো বই থেকে নেওয়া।	nagmumula sa	Mula sa isang lumang aklat ang pangungusap na ito.
2179:处	处	处	निपटाना; संभालना	वह इस जटिल समस्या को संभाल रहा है।	সামলানো; মোকাবিলা করা	সে এই জটিল সমস্যাটি সামলাচ্ছে।	asikasuhin; harapin	Inaasikaso niya ang masalimuot na problemang ito.
2181:处于	处于	处于	में होना	कंपनी अभी तेज़ विकास के चरण में है।	অবস্থায় থাকা	কোম্পানি এখন দ্রুত বিকাশের পর্যায়ে আছে।	nasa kalagayan ng	Nasa yugto ng mabilis na pag-unlad ang kompanya ngayon.
2182:处	处	处	जगह; स्थान	यह पुराना मकान अब ठीक कर दिया गया है।	জায়গা; স্থান	এই পুরোনো বাড়িটি ইতিমধ্যে মেরামত করা হয়েছে।	lugar	Naayos na ang lumang bahay sa lugar na ito.
2183:传	传	传	पहुंचाना; फैलाना	कृपया यह सामग्री सबको भेज दें।	পৌঁছে দেওয়া; ছড়ানো	দয়া করে এই উপকরণটি সবার কাছে পৌঁছে দিন।	ipasa; kumalat	Pakiipasa ang materyal na ito sa lahat.
2185:传递	传递	传递	आगे पहुंचाना; संचारित करना	मुस्कान मित्रता का भाव पहुंचा सकती है।	পৌঁছে দেওয়া; আদান-প্রদান করা	হাসি বন্ধুত্বের বার্তা পৌঁছে দিতে পারে।	ihatid; iparating	Maaaring iparating ng ngiti ang magiliw na mensahe.
2188:窗台	窗台	窗台	खिड़की की चौखट	खिड़की की चौखट पर दो गमले रखे हैं।	জানালার ধাপ	জানালার ধাপে দুটি ফুলের টব রাখা আছে।	pasamano ng bintana	May dalawang paso ng bulaklak sa pasamano ng bintana.
2196:此后	此后	此后	इसके बाद	इसके बाद वह फिर कभी देर से नहीं आया।	এরপর থেকে	এরপর থেকে সে আর কখনও দেরি করেনি।	pagkatapos nito	Pagkatapos nito, hindi na siya kailanman nahuli.
2197:此前	此前	此前	इससे पहले	इससे पहले हम इस मुद्दे पर चर्चा कर चुके थे।	এর আগে	এর আগে আমরা এই বিষয়টি নিয়ে আলোচনা করেছি।	bago nito	Bago nito, napag-usapan na namin ang isyung ito.
2198:此时	此时	此时	इस समय	इस समय बाहर बारिश और तेज़ हो गई।	এই সময়ে	এই সময়ে বাইরে বৃষ্টি আরও বেড়ে গেল।	sa sandaling ito	Sa sandaling ito, mas lumakas ang ulan sa labas.
2200:从不	从不	从不	कभी नहीं	वह काम के समय कभी मोबाइल पर नहीं खेलता।	কখনও না	সে কাজের সময় কখনও মোবাইলে খেলে না।	hindi kailanman	Hindi siya kailanman naglalaro sa cellphone habang nagtatrabaho.
2206:促销	促销	促销	प्रचार बिक्री; छूट अभियान	सुपरमार्केट में सप्ताहांत पर प्रचार बिक्री होगी।	প্রচারমূলক বিক্রি	সুপারমার্কেটে সপ্তাহান্তে প্রচারমূলক বিক্রি হবে।	promosyon	May promosyon sa supermarket ngayong katapusan ng linggo.
2208:存放	存放	存放	रखना; जमा रखना	कृपया सामान रिसेप्शन पर रख दें।	রাখা; সংরক্ষণ করা	দয়া করে লাগেজটি ফ্রন্ট ডেস্কে রেখে দিন।	imbakin; itago	Pakiimbak ang bagahe sa front desk.
2209:存款	存款	存款	जमा धन; बचत	वह हर महीने कुछ पैसे बचत के रूप में जमा करती है।	জমা টাকা; সঞ্চয়	সে প্রতি মাসে কিছু টাকা সঞ্চয় করে।	deposito; ipon	Nag-iipon siya ng kaunting pera bawat buwan.
2215:打断	打断	打断	बात काटना; बाधित करना	कृपया दूसरों की बात न काटें।	থামিয়ে দেওয়া; বাধা দেওয়া	দয়া করে অন্যের কথা মাঝপথে থামাবেন না।	putulin; gambalain	Huwag gambalain ang ibang tao habang nagsasalita sila.
2216:打破	打破	打破	तोड़ देना	उसने गलती से एक कप तोड़ दिया।	ভেঙে ফেলা	সে ভুল করে একটি কাপ ভেঙে ফেলেছে।	basagin	Nabasag niya nang hindi sinasadya ang isang tasa.
2218:大胆	大胆	大胆	साहसी; निडर	उसने एक साहसी विचार रखा।	সাহসী	সে একটি সাহসী ভাবনা উপস্থাপন করেছে।	matapang; mapangahas	Nagharap siya ng isang mapangahas na ideya.
2219:大多	大多	大多	अधिकतर; ज़्यादातर	यहां के छात्र अधिकतर स्थानीय हैं।	অধিকাংশ; বেশিরভাগ	এখানকার ছাত্ররা অধিকাংশই স্থানীয়।	karamihan	Karamihan sa mga estudyante rito ay lokal.
2220:大会	大会	大会	सम्मेलन; बड़ी सभा	कंपनी का सम्मेलन शुक्रवार सुबह होगा।	সম্মেলন; বড় সভা	কোম্পানির বড় সভা শুক্রবার সকালে অনুষ্ঠিত হবে।	kumperensiya; malaking pulong	Gaganapin sa Biyernes ng umaga ang malaking pulong ng kompanya.
2221:大力	大力	大力	ज़ोरदार ढंग से	स्कूल छात्रों के प्रतियोगिता में भाग लेने का ज़ोरदार समर्थन करता है।	জোরালোভাবে	স্কুল ছাত্রদের প্রতিযোগিতায় অংশ নেওয়াকে জোরালোভাবে সমর্থন করে।	nang buong lakas	Mariing sinusuportahan ng paaralan ang pagsali ng mga estudyante sa paligsahan.
2222:大妈	大妈	大妈	आंटी; बड़ी उम्र की महिला	नीचे वाली आंटी हर सुबह नाचने जाती हैं।	আন্টি; বয়স্ক মহিলা	নিচের আন্টি প্রতিদিন সকালে নাচতে যান।	tiya; nakatatandang babae	Tuwing umaga, sumasayaw ang nakatatandang babae sa ibaba.
2223:大米	大米	大米	चावल	घर का चावल लगभग खत्म हो गया है।	চাল	বাড়ির চাল প্রায় শেষ হয়ে গেছে।	bigas	Paubos na ang bigas sa bahay.
2224:大脑	大脑	大脑	दिमाग	पर्याप्त नींद दिमाग के लिए बहुत महत्वपूर्ण है।	মস্তিষ্ক	পর্যাপ্ত ঘুম মস্তিষ্কের জন্য খুব গুরুত্বপূর্ণ।	utak	Mahalaga sa utak ang sapat na tulog.
2225:大批	大批	大批	बड़ी संख्या; बड़ा जत्था	बड़ी संख्या में पर्यटक दर्शनीय क्षेत्र में आ गए।	বড় সংখ্যা; বড় দল	বড় সংখ্যায় পর্যটক দর্শনীয় স্থানে ঢুকে পড়ল।	maraming bilang	Dumagsa ang maraming turista sa tanawing lugar.
2227:大事	大事	大事	बड़ा मामला	घर बदलना उनके परिवार के लिए बड़ा मामला है।	বড় ঘটনা; বড় ব্যাপার	বাড়ি বদলানো তাদের পরিবারের জন্য বড় ব্যাপার।	malaking bagay	Malaking bagay para sa pamilya nila ang paglipat ng bahay.
2230:大爷	大爷	大爷	बुज़ुर्ग आदमी; चाचा	वह बुज़ुर्ग चाचा हर दिन पार्क में शतरंज खेलते हैं।	বয়স্ক লোক; কাকা	ওই বয়স্ক কাকা প্রতিদিন পার্কে দাবা খেলেন।	lolo; nakatatandang lalaki	Araw-araw naglalaro ng chess sa parke ang nakatatandang lalaki.
2231:大于	大于	大于	से बड़ा होना	पांच तीन से बड़ा है, यह बहुत आसान तुलना है।	এর চেয়ে বড়	পাঁচ তিনের চেয়ে বড়, এটা খুব সহজ তুলনা।	mas malaki kaysa	Mas malaki ang lima kaysa tatlo; napakasimpleng paghahambing ito.
2232:大众	大众	大众	जनता; आम लोग	यह फिल्म आम लोगों में बहुत लोकप्रिय है।	জনসাধারণ	এই চলচ্চিত্রটি জনসাধারণের কাছে খুব জনপ্রিয়।	madla; publiko	Sikat na sikat sa madla ang pelikulang ito.
2233:代	代	代	पीढ़ी; युग	युवा पीढ़ी की अपनी जीवन-शैली होती है।	প্রজন্ম; যুগ	তরুণ প্রজন্মের নিজস্ব জীবনযাপন আছে।	henerasyon	May sariling paraan ng pamumuhay ang nakababatang henerasyon.
2235:带动	带动	带动	बढ़ावा देना; प्रेरित करना	पर्यटन ने स्थानीय अर्थव्यवस्था के विकास को बढ़ावा दिया।	চালিত করা; এগিয়ে নেওয়া	পর্যটন স্থানীয় অর্থনীতির বিকাশকে এগিয়ে নিয়েছে।	pasiglahin; humatak	Pinasigla ng turismo ang pag-unlad ng lokal na ekonomiya.
2238:单	单	单	सूची; बिल; अकेला	वेटर ने हमें मेन्यू दे दिया।	তালিকা; বিল; একক	ওয়েটার আমাদের মেনু দিলেন।	listahan; bill; isa	Inabot sa amin ng waiter ang menu.
2241:单一	单一	单一	एकमात्र; सीमित	इस उत्पाद का काम अपेक्षाकृत सीमित है।	একক; সীমিত	এই পণ্যের কাজ তুলনামূলকভাবে সীমিত।	iisa; limitado	Medyo limitado ang gamit ng produktong ito.
2243:胆小	胆小	胆小	डरपोक	बचपन में वह बहुत डरपोक था और अंधेरे से डरता था।	ভীতু	ছোটবেলায় সে খুব ভীতু ছিল, অন্ধকারে ভয় পেত।	duwag; matatakutin	Noong bata pa siya, matatakutin siya at takot sa dilim.
2246:当年	当年	当年	उस साल; उन दिनों	उन दिनों वे साथ में गांव में काम करते थे।	সেই বছর; সেই সময়	সেই সময় তারা একসঙ্গে গ্রামে কাজ করতেন।	noong taon; noong panahong iyon	Noong panahong iyon, magkasama silang nagtrabaho sa kanayunan.
2248:当中	当中	当中	बीच में; के बीच	सहपाठियों में उसके अंक सबसे अच्छे हैं।	মধ্যে	সহপাঠীদের মধ্যে তার ফল সবচেয়ে ভালো।	sa gitna; sa kanila	Sa mga kaklase, siya ang may pinakamataas na marka.
2251:当成	当成	当成	मान लेना; समझना	उसने इस असफलता को सीखने का अवसर माना।	হিসেবে ধরা; মনে করা	সে এই ব্যর্থতাকে শেখার সুযোগ হিসেবে ধরেছে।	itungo bilang; ituring	Itinuring niya ang kabiguang ito bilang pagkakataong matuto.
2252:当作	当作	当作	की तरह मानना	मैं उसे अपना सबसे अच्छा दोस्त मानता हूं।	হিসেবে ধরা	আমি তাকে আমার সবচেয়ে ভালো বন্ধু হিসেবে ধরি।	ituring bilang	Itinuturing ko siyang pinakamatalik kong kaibigan.
2258:到期	到期	到期	समाप्ति पर पहुंचना	मेरा पासपोर्ट अगले महीने समाप्त हो जाएगा।	মেয়াদ শেষ হওয়া	আমার পাসপোর্টের মেয়াদ আগামী মাসে শেষ হবে।	mag-expire	Mag-e-expire ang pasaporte ko sa susunod na buwan.
