source_headword	NO	example_NO
medium	middels stor	Jeg bestilte en middels stor pizza.
mental	mental	Stress påvirker mental helse.
mess	rot	Rydd opp i dette rotet.
mild	mild	Suppen har en mild smak.
mine (hole in the ground)	en gruve	Gruven stengte i fjor.
mix	blande	Bland eggene med melk.
mixture	en blanding	Blandingen ble tykk.
mood	humør	Musikk endret humøret hennes.
mud	gjørme	Skoene hans var dekket av gjørme.
murder	et mord	Mordet skjedde om natten.
muscle	en muskel	Trening bygger muskler.
mystery	et mysterium	Det gamle huset er et mysterium.
nail	en negl	Jeg knakk en negl.
narrative	en fortelling	Romanen har en tydelig fortelling.
nation	en nasjon	Hele nasjonen feiret.
native	morsmål	Spansk er morsmålet hennes.
naturally	naturlig	Barn lærer naturlig gjennom lek.
necessarily	nødvendigvis	Dyr mat er ikke nødvendigvis bedre.
needle	en nål	Nålen er veldig skarp.
neighbourhood	et nabolag	De bor i et rolig nabolag.
net	et nett	Fiskeren reparerte nettet sitt.
nor	heller ikke	Han verken smilte eller snakket.
northern	nordlig	De besøkte den nordlige kysten.
nuclear	kjernefysisk	Debatten handlet om kjernefysisk energi.
obvious	åpenbar	Svaret var åpenbart.
obviously	åpenbart	Åpenbart trenger vi mer tid.
occasion	en anledning	Dette er en spesiell anledning.
occur	skje	Ulykker kan skje hvor som helst.
odd	merkelig	Det var et merkelig spørsmål.
official	offisiell	Det offisielle resultatet kom i dag.
old-fashioned	gammeldags	Telefonen hennes ser gammeldags ut.
operation	en operasjon	Operasjonen varte i to timer.
organized	organisert	Skrivebordet hennes er veldig organisert.
organizer	en arrangør	Arrangøren ønsket gjestene velkommen.
originally	opprinnelig	Hun kom opprinnelig fra Canada.
ought modal	burde	Du burde hvile.
ours	vårt	Dette bordet er vårt.
outdoor	utendørs	Vi kjøpte utendørsmøbler.
outdoors	utendørs	Barn bør leke utendørs.
package	en pakke	Pakken kom i morges.
painful	smertefull	Kuttet var smertefullt.
pale	blek	Ansiktet hans så blekt ut.
pan	en panne	Varm pannen først.
participate	delta	Alle kan delta.
particularly	særlig	Jeg liker særlig denne sangen.
passion	en lidenskap	Musikk er hennes lidenskap.
path	en sti	Følg stien gjennom parken.
payment	en betaling	Betalingen forfaller i morgen.
peaceful	fredelig	Hagen er fredelig.
percentage	en prosentandel	En liten prosentandel var enig.
perfectly	perfekt	Planen fungerte perfekt.
performance	en prestasjon	Prestasjonen hennes var utmerket.
personally	personlig	Jeg foretrekker personlig te.
persuade	overtale	Kan du overtale ham til å bli med?
photographer	en fotograf	Fotografen tok mange bilder.
photography	fotografering	Fotografering er hans favorittinteresse.
pin	en nål	Sett en nål på kartet.
pipe	et rør	Røret fører vann.
planning	planlegging	Planlegging tar tid.
pleasant	hyggelig	Vi hadde en hyggelig kveld.
pleasure	en glede	Det var en glede å møte deg.
plenty	godt med	Vi har godt med tid.
plot	handlingen	Handlingen var lett å følge.
plus1	pluss	To pluss tre er fem.
poem	et dikt	Hun skrev et kort dikt.
poet	en poet	Poeten leste høyt.
poetry	poesi	Han liker moderne poesi.
poison	gift	Hold gift unna barn.
poisonous	giftig	Noen sopper er giftige.
policy	en policy	Selskapet endret sin policy.
political	politisk	Talen var politisk.
politician	en politiker	Politikeren svarte på spørsmål.
politics	politikk	Politikk kan være komplisert.
port	en havn	Skipet gikk inn i havnen.
portrait	et portrett	Portrettet henger i gangen.
possibly	kanskje	Hun kommer kanskje sent.
pot	en potte	Planten trenger en større potte.
pour	helle	Hell melken sakte.
poverty	fattigdom	Mange familier lever i fattigdom.
powder	pulver	Tilsett pulveret i vann.
powerful	kraftig	Motoren er kraftig.
practical	praktisk	Dette er en praktisk løsning.
pray	be	De ber hver morgen.
prayer	en bønn	Hun sa en stille bønn.
prediction	en forutsigelse	Forutsigelsen hans var riktig.
prepared	forberedt	Jeg er forberedt til eksamen.
presentation	en presentasjon	Presentasjonen hennes var tydelig.
press	trykke	Trykk på knappen én gang.
pressure	press	Press kan påvirke helsen din.
pretend	late som	Ikke lat som om du sover.
previous	forrige	Den forrige timen var lettere.
previously	tidligere	Vi bodde tidligere i Roma.
priest	en prest	Presten snakket lavt.
primary	viktigste	Helse er vår viktigste bekymring.
prince	en prins	Prinsen besøkte skolen.
princess	en prinsesse	Prinsessen hadde på seg en blå kjole.
printing	utskrift	Utskriften av rapporten tok noen minutter.
prisoner	en fange	Fangen rømte om natten.
private	privat	Dette er en privat samtale.
producer	en produsent	Produsenten likte filmen.
production	produksjon	Produksjonen starter neste uke.
profession	et yrke	Undervisning er et respektert yrke.
profit	en fortjeneste	Butikken fikk fortjeneste.
promote	fremme	De fremmer sunn mat.
proper	passende	Bruk passende sko til fotturer.
properly	ordentlig	Lukk døren ordentlig.
property	en eiendom	De kjøpte en eiendom nær elven.
protest	en protest	Protesten endte fredelig.
proud	stolt	Hun følte seg stolt av sønnen sin.
prove	bevise	Kan du bevise svaret ditt?
punish	straffe	Læreren straffet ham ikke.
punishment	en straff	Straffen virket rettferdig.
qualification	en kvalifikasjon	Du trenger en kvalifikasjon for denne jobben.
qualified	kvalifisert	Hun er en kvalifisert sykepleier.
qualify	kvalifisere seg	Laget vårt kan kvalifisere seg.
queue	en kø	Vi ventet i en lang kø.
quit	slutte	Han bestemte seg for å slutte å røyke.
quotation	et sitat	Essayet begynner med et sitat.
quote	sitere	Kan jeg sitere ordene dine?
race (people)	etnisitet	Skjemaet spør om etnisitet.
racing	hesteveddeløp	Hesteveddeløp er populært der.
range	et utvalg	Butikken selger et bredt utvalg.
rare	sjelden	Denne fuglen er sjelden.
rarely	sjelden	Vi spiser sjelden ute.
reaction	en reaksjon	Reaksjonen hennes overrasket meg.
reality	virkelighet	Virkeligheten var annerledes enn drømmen hans.
receipt	en kvittering	Ta vare på kvitteringen.
recommendation	en anbefaling	Takk for anbefalingen.
reference	en referanse	Legg til en referanse på slutten.
reflect	reflektere	Speilet kan reflektere lys.
regularly	regelmessig	Hun trener regelmessig.
reject	avvise	De kan avvise tilbudet.
relate	kjenne seg igjen	Jeg kan kjenne meg igjen i den historien.
related	relatert	De to problemene er relatert.
relation	en relasjon	Det finnes en relasjon mellom dem.
relative	relativ	Fart er relativ.
relaxed	avslappet	Han følte seg avslappet etter middagen.
relaxing	avslappende	Musikken var avslappende.
release	gi ut	De vil gi ut filmen snart.
reliable	pålitelig	Denne bussen er vanligvis pålitelig.
religion	religion	Religion er viktig for henne.
religious	religiøs	De besøkte en religiøs bygning.
remain	forbli	Vennligst forbli rolig.
remind	minne	Minn meg på det i morgen.
remote	avsides	De bor i en avsides landsby.
rent	husleie	Husleien forfaller i dag.
repeated	gjentatt	Gjentatte feil bremset arbeidet.
represent	stå for	Stjernen står for håp.
require	kreve	Denne jobben krever opplæring.
reservation	en reservasjon	Jeg gjorde en reservasjon.
resource	en ressurs	Biblioteket er en nyttig ressurs.
respect	respektere	Respekter klassekameratene dine.
responsibility	ansvar	Barnepass er et stort ansvar.
responsible	ansvarlig	Hun er ansvarlig for billettene.
retire	gå av med pensjon	Faren min skal snart gå av med pensjon.
retired	pensjonert	Han er en pensjonert lærer.
revise	revidere	Revider essayet ditt i kveld.
risk	risiko	Det er risiko for regn.
robot	en robot	Roboten vasket gulvet.
roll	rulle	Rull ballen til meg.
romantic	romantisk	De hadde en romantisk middag.
rope	et tau	Knyt tauet stramt.
rough	ujevn	Veien var ujevn.
row1	en rad	Sitt på første rad.
royal	kongelig	Den kongelige familien ankom.
rugby	rugby	Vi så rugby på TV.
safety	sikkerhet	Sikkerhet er viktig på jobb.
sailor	en sjømann	Sjømannen reparerte båten.
sample	en prøve	Sykepleieren tok en blodprøve.
sand	sand	Sand dekket skoene mine.
scan	skanne	Skann dokumentet først.
scientific	vitenskapelig	Dette er en vitenskapelig metode.
script	et manus	Skuespilleren leste manuset.
sculpture	en skulptur	Skulpturen står utenfor.
secondary	sekundær	Dette er et sekundært problem.
security	sikkerhet	Sikkerheten sjekket veskene våre.
seed	et frø	Plant frøet i jorden.
sensible	fornuftig	Det er en fornuftig idé.
seriously	alvorlig	Ta dette problemet alvorlig.
servant	en tjener	Tjeneren åpnet døren.
set (put)	sette	Sett glasset på bordet.
set (group)	et sett	Dette settet inneholder seks kopper.
setting	et miljø	Historien har et bymiljø.
sex	kjønn	Skjemaet spør om alder og kjønn.
sexual	seksuell	Klassen diskuterte seksuell helse.
sharp	skarp	Denne kniven er skarp.
shelf	en hylle	Sett boken på hyllen.
shell	et skall	Skallet var tomt.
shift	en vakt	Vakten min starter klokken åtte.
shine	skinne	Stjernene skinner om natten.
shiny	skinnende	Skoene hennes er skinnende.
shoot	fotografere	Fotografen skal fotografere scenen.
shy	sjenert	Han er sjenert med fremmede.
sight	et syn	Fjellet var et vakkert syn.
signal	et signal	Signalet var svakt.
silent	stille	Rommet ble stille.
silly	dum	Det var en dum feil.
similarity	en likhet	Det er en tydelig likhet.
similarly	på lignende måte	Den andre planen fungerer på lignende måte.
simply	bare	Bare trykk på denne knappen.
sink	synke	Tunge steiner synker raskt.
slice	en skive	Jeg spiste en skive kake.
slightly	litt	Rommet er litt varmere.
smart	pen	Hun hadde på seg en pen jakke.
smooth	jevn	Veien er jevn.
software	programvare	Programvaren trenger en oppdatering.
soil	jord	Jorden er tørr.
solid	solid	Veggen er solid.
southern	sørlig	De bor på den sørlige kysten.
specifically	spesifikt	Jeg ba spesifikt om te.
spending	utgifter	Statens utgifter økte.
spicy	sterk	Denne curryen er sterk.
spirit	lagånd	Laget viste stor lagånd.
spoken	muntlig	Muntlig engelsk blir bedre med øvelse.
spot	et sted	Dette stedet er perfekt.
spread	smøre	Smør smør på brødet.
stadium	et stadion	Stadionet var fullt.
staff	personale	Personalet var hjelpsomt.
standard	standard	Standarden var høy.
statistic	statistikk	Denne statistikken er overraskende.
statue	en statue	Statuen står på torget.
stick (push into/attach)	klistre	Klistre etiketten på esken.
stick (piece of wood)	en pinne	Han plukket opp en pinne.
