source_headword	SW	example_SW
poetry	ushairi	Anafurahia ushairi wa kisasa.
poison	sumu	Weka sumu mbali na watoto.
poisonous	wenye sumu	Baadhi ya uyoga ni wenye sumu.
policy	sera	Kampuni ilibadilisha sera yake.
political	kisiasa	Hotuba ilikuwa ya kisiasa.
politician	mwanasiasa	Mwanasiasa alijibu maswali.
politics	siasa	Siasa zinaweza kuwa ngumu.
port	bandari	Meli iliingia bandarini.
portrait	picha ya uso	Picha ya uso inaning'inia ukumbini.
possibly	huenda	Huenda atafika kuchelewa.
pot	chungu	Mmea unahitaji chungu kikubwa zaidi.
pour	kumimina	Mimina maziwa polepole.
poverty	umaskini	Familia nyingi zinaishi katika umaskini.
powder	unga	Ongeza unga kwenye maji.
powerful	wenye nguvu	Injini ina nguvu.
practical	kivitendo	Hili ni suluhisho la kivitendo.
pray	kusali	Wanasali kila asubuhi.
prayer	sala	Alisema sala kimya.
prediction	utabiri	Utabiri wake ulikuwa sahihi.
prepared	tayari	Niko tayari kwa mtihani.
presentation	wasilisho	Wasilisho lake lilikuwa wazi.
press	kubonyeza	Bonyeza kitufe mara moja.
pressure	shinikizo	Shinikizo linaweza kuathiri afya yako.
pretend	kujifanya	Usijifanye umelala.
previous	uliopita	Somo lililopita lilikuwa rahisi zaidi.
previously	hapo awali	Hapo awali tuliishi Roma.
priest	kasisi	Kasisi alizungumza kwa upole.
primary	msingi	Afya ndiyo wasiwasi wetu wa msingi.
prince	mwana wa mfalme	Mwana wa mfalme alitembelea shule.
princess	binti wa mfalme	Binti wa mfalme alivaa gauni la bluu.
printing	uchapishaji	Kuchapisha ripoti kulichukua dakika chache.
prisoner	mfungwa	Mfungwa alitoroka usiku.
private	binafsi	Haya ni mazungumzo binafsi.
producer	mtayarishaji	Mtayarishaji aliipenda filamu.
production	uzalishaji	Uzalishaji unaanza wiki ijayo.
profession	taaluma	Ualimu ni taaluma inayoheshimiwa.
profit	faida	Duka lilipata faida.
promote	kukuza	Wanakuza ulaji wenye afya.
proper	sahihi	Vaa viatu sahihi kwa matembezi ya milimani.
properly	vizuri	Funga mlango vizuri.
property	mali	Walinunua mali karibu na mto.
protest	maandamano	Maandamano yaliisha kwa amani.
proud	mwenye fahari	Alijisikia mwenye fahari kwa mwanawe.
prove	kuthibitisha	Unaweza kuthibitisha jibu lako?
punish	kuadhibu	Mwalimu hakumwadhibu.
punishment	adhabu	Adhabu ilionekana kuwa ya haki.
qualification	sifa	Unahitaji sifa kwa kazi hii.
qualified	mwenye sifa	Yeye ni muuguzi mwenye sifa.
qualify	kufuzu	Timu yetu inaweza kufuzu.
queue	foleni	Tulisubiri kwenye foleni ndefu.
quit	kuacha	Aliamua kuacha kuvuta sigara.
quotation	nukuu	Insha inaanza na nukuu.
quote	kunukuu	Naweza kunukuu maneno yako?
race (people)	kabila	Fomu inauliza kuhusu kabila.
racing	mbio	Mbio za farasi ni maarufu huko.
range	anuwai	Duka linauza anuwai kubwa.
rare	adimu	Ndege huyu ni adimu.
rarely	nadra	Mara nadra tunakula nje.
reaction	mwitikio	Mwitikio wake ulinishangaza.
reality	uhalisia	Uhalisia ulikuwa tofauti na ndoto yake.
receipt	stakabadhi	Hifadhi stakabadhi.
recommendation	pendekezo	Asante kwa pendekezo.
reference	rejeleo	Ongeza rejeleo mwishoni.
reflect	kuakisi	Kioo kinaweza kuakisi mwanga.
regularly	mara kwa mara	Anafanya mazoezi mara kwa mara.
reject	kukataa	Wanaweza kukataa ofa.
relate	kuhusiana	Ninaweza kuhusiana na hadithi hiyo.
related	yanayohusiana	Matatizo hayo mawili yanahusiana.
relation	uhusiano	Kuna uhusiano kati yao.
relative	kilinganishi	Kasi ni ya kilinganishi.
relaxed	aliyetulia	Alijisikia ametulia baada ya chakula cha jioni.
relaxing	ya kutuliza	Muziki ulikuwa wa kutuliza.
release	kutoa	Watatoa filamu hivi karibuni.
reliable	wa kuaminika	Basi hili kwa kawaida linaaminika.
religion	dini	Dini ni muhimu kwake.
religious	wa kidini	Walitembelea jengo la kidini.
remain	kubaki	Tafadhali baki mtulivu.
remind	kukumbusha	Nikumbushe kesho.
remote	mbali	Wanaishi katika kijiji cha mbali.
rent	kodi	Kodi inapaswa kulipwa leo.
repeated	unaorudiwa	Makosa yanayorudiwa yalipunguza kasi ya kazi.
represent	kuwakilisha	Nyota inawakilisha tumaini.
require	kuhitaji	Kazi hii itahitaji mafunzo.
reservation	uhifadhi	Nilifanya uhifadhi.
resource	rasilimali	Maktaba ni rasilimali muhimu.
respect	heshima	Heshimu wanafunzi wenzako.
responsibility	wajibu	Ulezi wa watoto ni wajibu mkubwa.
responsible	mwenye wajibu	Yeye ana wajibu wa tiketi.
retire	kustaafu	Baba yangu atastaafu hivi karibuni.
retired	mstaafu	Yeye ni mwalimu mstaafu.
revise	kurekebisha	Rekebisha insha yako usiku huu.
risk	hatari	Kuna hatari ya mvua.
robot	roboti	Roboti ilisafisha sakafu.
roll	kubiringisha	Biringisha mpira kwangu.
romantic	wa kimapenzi	Walikuwa na chakula cha jioni cha kimapenzi.
rope	kamba	Funga kamba kwa nguvu.
rough	mbaya	Barabara ilikuwa mbaya.
row1	safu	Keti katika safu ya mbele.
royal	kifalme	Familia ya kifalme iliwasili.
rugby	raga	Tulitazama raga kwenye televisheni.
safety	usalama	Usalama ni muhimu kazini.
sailor	baharia	Baharia alirekebisha mashua.
sample	sampuli	Muuguzi alichukua sampuli ya damu.
sand	mchanga	Mchanga ulifunika viatu vyangu.
scan	kuchanganua	Changanua hati kwanza.
scientific	kisayansi	Hii ni njia ya kisayansi.
script	maandishi	Mwigizaji alisoma maandishi.
sculpture	sanamu	Sanamu imesimama nje.
secondary	wa pili	Hili ni tatizo la pili.
security	usalama	Usalama ulikagua mifuko yetu.
seed	mbegu	Panda mbegu kwenye udongo.
sensible	wa busara	Hilo ni wazo la busara.
seriously	kwa uzito	Chukua tatizo hili kwa uzito.
servant	mtumishi	Mtumishi alifungua mlango.
set (put)	kuweka	Weka glasi juu ya meza.
set (group)	seti	Seti hii inajumuisha vikombe sita.
setting	mazingira	Hadithi ina mazingira ya jiji.
sex	jinsia	Fomu inauliza umri na jinsia.
sexual	wa kijinsia	Darasa lilijadili afya ya kijinsia.
sharp	kali	Kisu hiki ni kikali.
shelf	rafu	Weka kitabu kwenye rafu.
shell	ganda	Ganda lilikuwa tupu.
shift	zamu	Zamu yangu inaanza saa mbili.
shine	kung'aa	Nyota hung'aa usiku.
shiny	inayong'aa	Viatu vyake vinang'aa.
shoot	kupiga picha	Mpiga picha atapiga picha ya tukio.
shy	aibu	Ana aibu mbele ya wageni.
sight	mandhari	Mlima ulikuwa mandhari nzuri.
signal	ishara	Ishara ilikuwa dhaifu.
silent	kimya	Chumba kilikuwa kimya.
silly	kijinga	Hilo lilikuwa kosa la kijinga.
similarity	kufanana	Kuna kufanana wazi.
similarly	vivyo hivyo	Mpango wa pili hufanya kazi vivyo hivyo.
simply	kwa urahisi	Bonyeza tu kitufe hiki.
sink	kuzama	Mawe mazito huzama haraka.
slice	kipande	Nilikula kipande cha keki.
slightly	kidogo	Chumba ni chenye joto kidogo zaidi.
smart	nadhifu	Alivaa koti nadhifu.
smooth	laini	Barabara ni laini.
software	programu	Programu inahitaji sasisho.
soil	udongo	Udongo ni mkavu.
solid	imara	Ukuta ni imara.
southern	wa kusini	Wanaishi kwenye pwani ya kusini.
specifically	mahususi	Niliomba chai mahsusi.
spending	matumizi	Matumizi ya serikali yaliongezeka.
spicy	chenye viungo	Curry hii ina viungo vingi.
spirit	roho	Timu ilionyesha roho kubwa.
spoken	kinachozungumzwa	Kiingereza kinachozungumzwa huboreka kwa mazoezi.
spot	mahali	Mahali hapa ni pazuri kabisa.
spread	kupaka	Paka siagi juu ya mkate.
stadium	uwanja	Uwanja ulikuwa umejaa.
staff	wafanyakazi	Wafanyakazi walisaidia.
standard	kiwango	Kiwango kilikuwa juu.
statistic	takwimu	Takwimu hii inashangaza.
statue	sanamu	Sanamu imesimama uwanjani.
stick (push into/attach)	kubandika	Bandika lebo kwenye sanduku.
stick (piece of wood)	fimbo	Alichukua fimbo.
