source_headword	SL	example_SL
medicine	zdravilo	Vzemi to zdravilo po kosilu.
memory	spomin	Moj spomin je dober.
mention	omeniti	Ne omenjaj mojega imena.
metal	kovina	Vrata so iz kovine.
method	metoda	Ta metoda dobro deluje.
middle	sredina	Stoj na sredini.
might modal	morda; lahko bi	Morda bo kasneje deževalo.
mind	misel; premisliti	Premislil sem si.
mine (belongs to me)	moj	Ta knjiga je moja.
mirror	ogledalo	Poglej v ogledalo.
missing	pogrešan; manjkajoč	Moji ključi manjkajo.
mobile	mobilni telefon	Moj mobilni telefon je na mizi.
monkey	opica	Opica je splezala na drevo.
moon	luna	Luna je svetla.
mostly	večinoma	Razred je večinoma tih.
motorcycle	motor; motocikel	On vozi motor.
movement	gibanje	V drevesih sem videl gibanje.
musical	glasbeni	To je glasbeni film.
musician	glasbenik	Glasbenik je igral kitaro.
myself	sam	To sem naredil sam.
narrow	ozek	Cesta je ozka.
national	nacionalen	To je državni praznik.
nature	narava	Ljubim naravo.
nearly	skoraj	Skoraj smo tam.
necessary	potreben	Ali je to potrebno?
neck	vrat	Vrat me boli.
neither	noben	Noben odgovor ni pravilen.
nervous	živčen	Počuti se živčno.
network	omrežje	Omrežje ne deluje.
noise	hrup	Slišal sem glasen hrup.
noisy	hrupen	Ulica je hrupna.
none	nihče; noben	Nihče od njih ni prišel.
normal	normalen	To je normalno.
normally	običajno	Običajno se zbudim zgodaj.
notice	opaziti	Si opazil znak?
novel	roman	Napisala je roman.
nowhere	nikjer	Nikjer ni prostora za sedenje.
nut	oreh	Oreh je trd.
ocean	ocean	Ocean je globok.
offer	ponudba	Sprejel sem ponudbo.
officer	uradnik; policist	Uradnik je preveril mojo vozovnico.
oil	olje	Dodaj olje v ponev.
onto	na	Položi ga na polico.
opportunity	priložnost	To je dobra priložnost.
option	možnost	Izberi najboljšo možnost.
ordinary	navaden	Bil je navaden dan.
organization	organizacija	Organizacija pomaga študentom.
organize	organizirati	Prosim, organiziraj datoteke.
original	izviren; originalen	Shrani originalni račun.
ourselves	sami	Sami smo skuhali večerjo.
oven	pečica	Pečica je vroča.
owner	lastnik	Lastnik je odprl trgovino.
pack	spakirati	Zdaj spakiraj torbo.
pain	bolečina	Čutim bolečino v hrbtu.
painter	slikar	Slikar je dokončal steno.
palace	palača	Palača je stara.
pants	hlače	Te hlače so predolge.
parking	parkiranje	Parkiranje je tukaj težavno.
particular	določen	Potrebujem določeno knjigo.
pass	podati	Podaj mi sol.
passenger	potnik	Vsak potnik potrebuje vozovnico.
patient	potrpežljiv; pacient	Bodi potrpežljiv z otroki.
pattern	vzorec	Ta vzorec je preprost.
peace	mir	Vsi si želimo miru.
penny	peni	Našel sem peni.
per	na	Vstopnice stanejo deset dolarjev na osebo.
per cent	odstotek	Pet odstotkov je malo.
perform	nastopiti	Skupina bo nastopila nocoj.
perhaps	morda	Morda je doma.
permission	dovoljenje	Najprej prosi za dovoljenje.
personality	osebnost	Ima prijazno osebnost.
pet	hišni ljubljenček	Moj hišni ljubljenček je mačka.
petrol	bencin	Avto potrebuje bencin.
physical	telesen	Telesna vadba pomaga zdravju.
physics	fizika	Fizika je težka.
pick	izbrati	Izberi eno kartico.
pilot	pilot	Pilot je govoril jasno.
planet	planet	Zemlja je planet.
plastic	plastika; plastičen	Ta steklenica je plastična.
plate	krožnik	Daj hrano na krožnik.
platform	peron	Počakaj na peronu dve.
pleased	vesel	Vesel sem, da te spoznam.
pocket	žep	Vozovnica je v mojem žepu.
polite	vljuden	Bodi vljuden do vseh.
pollution	onesnaženje	Onesnaženje škoduje oceanu.
pop	pop glasba	Všeč mi je pop glasba.
population	prebivalstvo	Prebivalstvo raste.
position	položaj	Spremeni svoj položaj.
possession	lastnina	Ta prstan je moja lastnina.
possibility	možnost	Obstaja možnost dežja.
poster	plakat	Prilepi plakat na steno.
power	energija; moč	Računalnik potrebuje energijo.
predict	napovedati	Vremena ne moremo napovedati.
president	predsednik	Predsednik je imel govor.
prevent	preprečiti	Umij si roke, da preprečiš bolezen.
print	natisniti	Natisni dokument.
printer	tiskalnik	Tiskalnik je pokvarjen.
prison	zapor	Šel je v zapor.
prize	nagrada	Osvojila je nagrado.
process	postopek	Postopek zahteva čas.
produce	proizvajati	Kmetije proizvajajo hrano.
professional	profesionalen; strokoven	Ona je profesionalna plesalka.
professor	profesor	Profesor je odgovarjal na vprašanja.
profile	profil	Posodobi svoj profil.
program	program	Program se začne zdaj.
progress	napredek	Danes smo napredovali.
promise	obljubiti; obljuba	Drži svojo obljubo.
pronounce	izgovoriti	Prosim, izgovori to besedo.
protect	zaščititi	Zaščiti svoje oči.
provide	zagotoviti; ponuditi	Zagotavljajo brezplačno vodo.
pub	pivnica	Srečali smo se v pivnici.
public	javen	Park je javen.
publish	objaviti	Izdajajo revijo.
pull	potegniti	Potegni vrata.
purpose	namen	Kakšen je namen?
push	potisniti	Pritisni gumb.
quality	kakovost	Kakovost je visoka.
quantity	količina	Preveri količino.
queen	kraljica	Kraljica je pomahala.
quietly	tiho	Govori tiho.
race (competition)	dirka	Dirka se kmalu začne.
railway	železnica	Železnica je zaprta.
raise	dvigniti	Dvigni roko.
rate	cena; stopnja	Cena hotela je visoka.
rather	precej	Precej sem utrujen.
reach	doseči	Ali lahko dosežeš polico?
react	odzvati se	Kako se je odzval?
realize	spoznati	Spoznal sem svojo napako.
receive	prejeti	Si prejel moje sporočilo?
recent	nedaven	To je nedavna fotografija.
recently	nedavno	Nedavno sem se preselil sem.
reception	sprejem; recepcija	Sprejem je v ponedeljek.
recipe	recept	Ta recept je lahek.
recognize	prepoznati	Prepoznam to pesem.
recommend	priporočiti	Priporočam to knjigo.
record	zapis	Vodi zapis o plačilih.
recording	posnetek	Posnetek zveni jasno.
recycle	reciklirati	Recikliraj papir in plastiko.
reduce	zmanjšati	Zmanjšaj toploto.
refer	nanašati se; napotiti	Poglej drugo stran.
refuse1	zavrniti	Nočem lagati.
region	regija	Ta regija je hladna.
regular	reden	On je redna stranka.
relationship	odnos; zveza	Njun odnos je močan.
remove	odstraniti; sezuti	Sezuj čevlje.
repair	popraviti	Danes popravi kolo.
replace	zamenjati	Zamenjaj staro baterijo.
reply	odgovoriti	Prosim, kmalu odgovori.
reporter	poročevalec; novinar	Novinar je zapisoval opombe.
request	prošnja; zahteva	Vložil sem prošnjo.
research	raziskava; raziskovati	Raziskujemo lokalno zgodovino.
researcher	raziskovalec	Raziskovalec je preveril podatke.
respond	odgovoriti	Prosim, odgovori danes.
response	odgovor	Njen odgovor je bil hiter.
rest (remaining part)	ostanek	Pojej ostanek kasneje.
rest (sleep/relax)	počitek; počivati	Moraš počivati.
review	pregledati; ponoviti	Nocoj ponovi svoje zapiske.
ring1	prstan	Nosila je zlat prstan.
ring2	poklicati	Pokliči me po kosilu.
rise	narasti	Cene vsako leto rastejo.
rock (stone)	kamen	Kamen je težak.
