hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
320:出去	出去	出去	jít ven	Chci jít ven na procházku.	ísť von	Chcem ísť von na prechádzku.	kimenni	Szeretnék kimenni sétálni.	a ieși afară	Vreau să ies la plimbare.	излизам	Искам да изляза на разходка.	izaći	Želim izaći prošetati.
321:床	床	床	postel	Postel je v pokoji.	posteľ	Posteľ je v izbe.	ágy	Az ágy a szobában van.	pat	Patul este în cameră.	легло	Леглото е в стаята.	krevet	Krevet je u sobi.
322:词	词	词	slovo	Nerozumím tomuto slovu.	slovo	Nerozumiem tomuto slovu.	szó	Nem értem ezt a szót.	cuvânt	Nu înțeleg acest cuvânt.	дума	Не разбирам тази дума.	riječ	Ne razumijem ovu riječ.
325:从小	从小	从小	od dětství	Od dětství rád kreslím.	od detstva	Od detstva rád kreslím.	gyerekkorom óta	Gyerekkorom óta szeretek rajzolni.	din copilărie	Din copilărie îmi place să desenez.	от малък; от детството	От малък обичам да рисувам.	od djetinjstva	Od djetinjstva volim crtati.
327:打1	打1	打	telefonovat; zavolat	Volám tátovi.	telefonovať; zavolať	Volám otcovi.	telefonálni	Felhívom apámat.	a suna; a da telefon	Îl sun pe tata.	обаждам се по телефона	Обаждам се на татко.	nazvati; telefonirati	Zovem tatu.
328:打车	打车	打车	vzít si taxi	Jedeme na letiště taxíkem.	vziať si taxík	Ideme na letisko taxíkom.	taxit fogni	Taxival megyünk a repülőtérre.	a lua un taxi	Luăm un taxi până la aeroport.	вземам такси	Отиваме до летището с такси.	uzeti taksi	Idemo taksijem do zračne luke.
329:打开	打开	打开	otevřít	Otevřete prosím knihu.	otvoriť	Prosím, otvorte knihu.	kinyitni	Kérlek, nyisd ki a könyvet.	a deschide	Te rog deschide cartea.	отварям	Моля, отвори книгата.	otvoriti	Molim te, otvori knjigu.
330:但	但	但	ale	Jsem zaneprázdněný, ale mám radost.	ale	Som zaneprázdnený, ale som rád.	de	Elfoglalt vagyok, de örülök.	dar	Sunt ocupat, dar sunt bucuros.	но	Много съм зает, но съм доволен.	ali	Zauzet sam, ali sam sretan.
338:动	动	动	hýbat se	Nehýbej se.	hýbať sa	Nehýb sa.	mozogni	Ne mozogj.	a se mișca	Nu te mișca.	движа се	Не мърдай.	micati se	Ne miči se.
340:飞	飞	飞	letět; létat	Pták letí na obloze.	letieť; lietať	Vták letí na oblohe.	repülni	A madár az égen repül.	a zbura	Pasărea zboară pe cer.	летя	Птицата лети в небето.	letjeti	Ptica leti nebom.
342:高中	高中	高中	střední škola	Můj starší bratr studuje na střední škole.	stredná škola	Môj starší brat študuje na strednej škole.	középiskola	A bátyám középiskolában tanul.	liceu	Fratele meu mai mare învață la liceu.	гимназия; средно училище	По-големият ми брат учи в гимназия.	srednja škola	Moj stariji brat ide u srednju školu.
346:公交车	公交车	公交车	autobus	Jezdím do školy autobusem.	autobus	Do školy chodím autobusom.	busz	Busszal járok iskolába.	autobuz	Merg la școală cu autobuzul.	автобус	Ходя на училище с автобус.	autobus	U školu idem autobusom.
348:过来	过来	过来	přijít sem	Přijďte prosím na chvíli sem.	prísť sem	Prosím, príď sem na chvíľu.	idejönni	Kérlek, gyere ide egy pillanatra.	a veni aici	Te rog vino aici puțin.	ела насам	Моля, ела насам за малко.	doći ovamo	Molim te, dođi ovamo na trenutak.
349:过年	过年	过年	slavit Nový rok	Vracíme se domů slavit Nový rok.	oslavovať Nový rok	Vraciame sa domov oslavovať Nový rok.	újévet ünnepelni	Hazamegyünk újévet ünnepelni.	a sărbători Anul Nou	Ne întoarcem acasă ca să sărbătorim Anul Nou.	празнувам Нова година	Връщаме се вкъщи да празнуваме Нова година.	slavić Novu godinu	Vraćamo se kući proslaviti Novu godinu.
353:黑色	黑色	黑色	černá barva	Černý školní batoh je na posteli.	čierna farba	Čierna školská taška je na posteli.	fekete szín	A fekete iskolatáska az ágyon van.	culoarea neagră	Ghiozdanul negru este pe pat.	черен цвят	Черната раница е на леглото.	crna boja	Crna školska torba je na krevetu.
354:红茶	红茶	红茶	černý čaj	Maminka ráda pije černý čaj.	čierny čaj	Mama rada pije čierny čaj.	fekete tea	Anya szeret fekete teát inni.	ceai negru	Mamei îi place să bea ceai negru.	черен чай	Мама обича да пие черен чай.	crni čaj	Mama voli piti crni čaj.
355:红色	红色	红色	červená barva	Mám jeden červený kus oblečení.	červená farba	Mám jeden červený kus oblečenia.	piros szín	Van egy piros ruhadarabom.	culoarea roșie	Am o haină roșie.	червен цвят	Имам една червена дреха.	crvena boja	Imam jedan crveni odjevni predmet.
361:回来	回来	回来	vrátit se sem	On se vrátí večer.	vrátiť sa sem	On sa večer vráti.	visszajönni	Este visszajön.	a reveni	El se întoarce seara.	връщам се	Той ще се върне вечерта.	vratiti se	On se vraća navečer.
362:回去	回去	回去	vrátit se zpět	Po vyučování se vrátím.	vrátiť sa späť	Po hodine sa vrátim.	visszamenni	Óra után visszamegyek.	a se întoarce	Revin după curs.	връщам се обратно	След часа ще се върна обратно.	vratiti se natrag	Vraćam se nakon nastave.
364:机票	机票	机票	letenka	Koupil jsem si letenku.	letenka	Kúpil som si letenku.	repülőjegy	Vettem egy repülőjegyet.	bilet de avion	Am cumpărat un bilet de avion.	самолетен билет	Купих самолетен билет.	avionska karta	Kupio sam avionsku kartu.
366:间	间	间	číslovka pro místnosti	Toto je jedna učebna.	číslovka pre miestnosti	Toto je jedna učebňa.	helyiségek számlálószava	Ez egy tanterem.	clasificator pentru camere	Aceasta este o sală de clasă.	броителна дума за помещения	Това е една класна стая.	brojna riječ za prostorije	Ovo je jedna učionica.
372:进来	进来	进来	vejít dovnitř	Prosím, pojďte dál.	vojsť dovnútra	Prosím, poďte dnu.	bejönni	Kérem, jöjjön be.	a intra	Vă rog intrați.	влизам	Моля, влезте.	ući	Izvolite ući.
373:进去	进去	进去	jít dovnitř	Pojďme dovnitř.	ísť dovnútra	Poďme dnu.	bemenni	Menjünk be.	a intra; a merge înăuntru	Hai să intrăm.	влизам вътре	Хайде да влезем.	ući unutra	Uđimo.
375:酒店	酒店	酒店	hotel; ubytování	Hotel je velmi blízko letiště.	hotel; ubytovanie	Hotel je veľmi blízko letiska.	hotel; szálloda	A hotel nagyon közel van a repülőtérhez.	hotel; unitate de cazare	Hotelul este foarte aproape de aeroport.	хотел	Хотелът е много близо до летището.	hotel; smještaj	Hotel je vrlo blizu zračne luke.
379:开学	开学	开学	začátek školy	Zítra začíná škola.	začiatok školy	Zajtra sa začína škola.	iskolakezdés	Holnap kezdődik az iskola.	începutul școlii	Școala începe mâine.	начало на учебната година	Утре започват занятията.	početak škole	Sutra počinje škola.
380:考	考	考	skládat zkoušku; zkoušet	Zítra mám zkoušku z čínštiny.	skladať skúšku; skúšať	Zajtra mám skúšku z čínštiny.	vizsgázni; tesztelni	Holnap kínai vizsgám lesz.	a da examen; a testa	Mâine am examen la chineză.	явявам се на изпит; проверявам	Утре имам изпит по китайски.	polagati ispit; testirati	Sutra imam ispit iz kineskog.
386:快要	快要	快要	brzy; skoro	Vlak brzy dorazí.	čoskoro; skoro	Vlak čoskoro príde.	mindjárt; hamarosan	A vonat hamarosan megérkezik.	aproape; în curând	Trenul este pe cale să ajungă.	скоро; почти	Влакът скоро ще пристигне.	uskoro; gotovo	Vlak će uskoro stići.
387:篮球	篮球	篮球	basketbal	Rád hraji basketbal.	basketbal	Rád hrám basketbal.	kosárlabda	Szeretek kosárlabdázni.	baschet	Îmi place să joc baschet.	баскетбол	Обичам да играя баскетбол.	košarka	Volim igrati košarku.
390:里面	里面	里面	uvnitř	Kniha je uvnitř školní tašky.	vo vnútri	Kniha je vnútri školskej tašky.	bent; belül	A könyv az iskolatáskában van.	înăuntru; în interior	Cartea este în ghiozdan.	вътре	Книгата е вътре в раницата.	unutra	Knjiga je u školskoj torbi.
393:路上	路上	路上	na cestě; cestou	Jsem na cestě.	na ceste	Som na ceste.	úton; útközben	Úton vagyok.	pe drum; în drum	Sunt pe drum.	по пътя	На път съм.	na putu	Na putu sam.
395:绿茶	绿茶	绿茶	zelený čaj	Tatínek rád pije zelený čaj.	zelený čaj	Otec rád pije zelený čaj.	zöld tea	Apa szeret zöld teát inni.	ceai verde	Tatei îi place să bea ceai verde.	зелен чай	Татко обича да пие зелен чай.	zeleni čaj	Tata voli piti zeleni čaj.
396:绿色	绿色	绿色	zelená barva	Tento hrnek je zelený.	zelená farba	Táto šálka je zelená.	zöld szín	Ez a bögre zöld.	culoarea verde	Această cană este verde.	зелен цвят	Тази чаша е зелена.	zelena boja	Ova šalica je zelena.
398:没意思	没意思	没意思	nudný; nezajímavý	Tento film je nudný.	nudný; nezaujímavý	Tento film je nudný.	unalmas; nem érdekes	Ez a film unalmas.	plictisitor; neinteresant	Acest film este plictisitor.	скучен; безинтересен	Този филм е скучен.	dosadan; nezanimljiv	Ovaj film je dosadan.
401:门口	门口	门口	vchod; u dveří	Čekám na tebe u vchodu do školy.	vchod; pri dverách	Čakám ťa pri vchode do školy.	bejárat; ajtó	Az iskola bejáratánál várlak.	intrare; la ușă	Te aștept la intrarea școlii.	вход; пред вратата	Чакам те пред входа на училището.	ulaz; pred vratima	Čekam te na ulazu u školu.
402:门票	门票	门票	vstupenka	Vstupenka není drahá.	vstupenka	Vstupenka nie je drahá.	belépőjegy	A belépőjegy nem drága.	bilet de intrare	Biletul de intrare nu este scump.	входен билет	Входният билет не е скъп.	ulaznica	Ulaznica nije skupa.
403:面1	面1	面	strana; povrch; místní přípona	Venku prší.	strana; povrch; miestna prípona	Vonku prší.	oldal; felület; helyhatározói utótag	Kint esik az eső.	parte; suprafață; sufix locativ	Afară plouă.	страна; повърхност; наставка за място	Навън вали.	strana; površina; mjesni nastavak	Vani pada kiša.
404:名	名	名	číslovka pro osoby	Toto je jeden učitel.	číslovka pre osoby	Toto je jeden učiteľ.	emberek számlálószava	Ő egy tanár.	clasificator pentru persoane	Acesta este un profesor.	броителна дума за хора	Това е един учител.	brojna riječ za osobe	Ovo je jedan učitelj.
406:那么	那么	那么	tak; tak moc	Není tak zaneprázdněný.	tak; tak veľmi	Nie je taký zaneprázdnený.	annyira; úgy	Ő nem annyira elfoglalt.	așa; atât de	El nu este chiar atât de ocupat.	толкова; така	Той не е толкова зает.	tako; toliko	On nije toliko zauzet.
407:那样	那样	那样	tak; takovým způsobem	Neříkej to tak.	tak; takým spôsobom	Nehovor to tak.	úgy; olyan módon	Ne mondd úgy.	așa; în felul acela	Nu spune așa.	така; по онзи начин	Не говори така.	tako; na taj način	Nemoj tako govoriti.
408:奶茶	奶茶	奶茶	mléčný čaj	Chci pít mléčný čaj.	mliečny čaj	Chcem piť mliečny čaj.	tejes tea	Szeretnék tejes teát inni.	ceai cu lapte	Vreau să beau ceai cu lapte.	чай с мляко	Искам да пия чай с мляко.	čaj s mlijekom	Želim piti čaj s mlijekom.
410:男孩儿	男孩儿	男孩儿	chlapec	Ten chlapec běží.	chlapec	Ten chlapec beží.	fiú	Az a fiú fut.	băiat	Băiatul acela aleargă.	момче	Онова момче тича.	dječak	Taj dječak trči.
412:女孩儿	女孩儿	女孩儿	dívka; holčička	Ta dívka ráda tančí.	dievča; dievčatko	Tá dievčina rada tancuje.	lány	Az a lány szeret táncolni.	fată	Fata aceea iubește dansul.	момиче	Онова момиче обича да танцува.	djevojčica	Ta djevojčica voli plesati.
414:跑	跑	跑	běhat; běžet	Běhá velmi rychle.	bežať	Beží veľmi rýchlo.	futni	Nagyon gyorsan fut.	a alerga	El aleargă foarte repede.	тичам	Той тича много бързо.	trčati	On trči vrlo brzo.
421:球	球	球	míč	Tento míč je červený.	lopta	Táto lopta je červená.	labda	Ez a labda piros.	minge	Această minge este roșie.	топка	Тази топка е червена.	lopta	Ova lopta je crvena.
423:肉	肉	肉	maso	Nejím maso.	mäso	Nejem mäso.	hús	Nem eszem húst.	carne	Nu mănânc carne.	месо	Не ям месо.	meso	Ne jedem meso.
424:商场	商场	商场	obchodní centrum	V obchodním centru je hodně lidí.	nákupné centrum	V nákupnom centre je veľa ľudí.	bevásárlóközpont	A bevásárlóközpontban sok ember van.	centru comercial	În centrul comercial sunt mulți oameni.	търговски център	В търговския център има много хора.	trgovački centar	U trgovačkom centru ima mnogo ljudi.
425:上来	上来	上来	přijít nahoru	Pojďte prosím nahoru.	prísť hore	Prosím, poď hore.	feljönni	Kérlek, gyere fel.	a urca aici	Te rog urcă aici.	качвам се насам	Моля, качи се.	popeti se ovamo	Molim te, popni se.
426:上面	上面	上面	nahoře; na povrchu	Kniha je na stole.	hore; na povrchu	Kniha je na stole.	fent; rajta	A könyv az asztalon van.	deasupra; pe	Cartea este pe masă.	отгоре; върху	Книгата е на масата.	gore; na vrhu	Knjiga je na stolu.
427:上去	上去	上去	jít nahoru	Pojďme nahoru a podívejme se.	ísť hore	Poďme hore a pozrime sa.	felmenni	Menjünk fel, és nézzük meg.	a urca; a merge sus	Hai să urcăm și să vedem.	качвам се нагоре	Хайде да се качим и да погледнем.	popeti se	Idemo gore pogledati.
431:时	时	时	čas; tehdy	Tehdy jsem byl ve škole.	čas; vtedy	Vtedy som bol v škole.	idő; akkor	Akkor az iskolában voltam.	timp; atunci	Atunci eram la școală.	време; тогава	Тогава бях в училище.	vrijeme; tada	Tada sam bio u školi.
433:手	手	手	ruka; dlaň	Mám studené ruce.	ruka; dlaň	Mám studené ruky.	kéz	Hideg a kezem.	mână	Mâinile mele sunt reci.	ръка	Ръцете ми са студени.	ruka	Ruke su mi hladne.
435:书包	书包	书包	školní batoh	Můj školní batoh je velký.	školská taška	Moja školská taška je veľká.	iskolatáska	Az iskolatáskám nagy.	ghiozdan	Ghiozdanul meu este mare.	ученическа раница	Ученическата ми раница е голяма.	školska torba	Moja školska torba je velika.
438:虽然	虽然	虽然	ačkoli	Ačkoli prší, pořád musím jít ven.	hoci	Hoci prší, stále musím ísť von.	bár	Bár esik az eső, mégis ki kell mennem.	deși	Deși plouă, tot trebuie să ies.	въпреки че	Въпреки че вали, все още трябва да изляза.	iako	Iako pada kiša, ipak moram izaći.
441:踢	踢	踢	kopnout; hrát nohou	Rád hraje fotbal.	kopnúť; hrať nohou	Rád hrá futbal.	rúgni	Szeret focizni.	a lovi cu piciorul	Îi place să joace fotbal.	ритам	Той обича да играе футбол.	udariti nogom	Voli igrati nogomet.
445:头	头	头	hlava	Bolí mě hlava.	hlava	Bolí ma hlava.	fej	Fáj a fejem.	cap	Mă doare capul.	глава	Боли ме главата.	glava	Boli me glava.
446:外国	外国	外国	cizí země; zahraničí	Pracuje v zahraničí.	cudzia krajina; zahraničie	Pracuje v zahraničí.	külföld; idegen ország	Külföldön dolgozik.	țară străină; străinătate	El lucrează în străinătate.	чужда държава; чужбина	Той работи в чужбина.	strana zemlja; inozemstvo	Radi u inozemstvu.
447:外面	外面	外面	venku	Venku je zima.	vonku	Vonku je zima.	kint	Kint hideg van.	afară	Afară este frig.	навън	Навън е студено.	vani	Vani je hladno.
450:往	往	往	směrem k	Jděte prosím dopředu.	smerom k	Prosím, choďte dopredu.	felé	Kérem, menjen előre.	spre; către	Vă rog mergeți înainte.	към; по посока на	Моля, вървете напред.	prema	Molim vas, idite naprijed.
451:网上	网上	网上	online; na internetu	Kupuji knihy na internetu.	online; na internete	Kupujem knihy na internete.	online; az interneten	Az interneten veszek könyveket.	online; pe internet	Cumpăr cărți online.	онлайн; в интернет	Купувам книги в интернет.	online; na internetu	Kupujem knjige na internetu.
452:忘	忘	忘	zapomenout	Zapomněl jsem jeho jméno.	zabudnúť	Zabudol som jeho meno.	elfelejteni	Elfelejtettem a nevét.	a uita	I-am uitat numele.	забравям	Забравих името му.	zaboraviti	Zaboravio sam njegovo ime.
458:下来	下来	下来	sejít sem	Sejděte prosím dolů.	zísť sem	Prosím, zíď dolu.	lejönni	Kérlek, gyere le.	a coborî aici	Te rog coboară aici.	слизам насам	Моля, слез.	sići ovamo	Molim te, siđi.
459:下面	下面	下面	dole; pod	Kočka je pod stolem.	dole; pod	Mačka je pod stolom.	alatt; lent	A macska az asztal alatt van.	dedesubt; sub	Pisica este sub masă.	отдолу; под	Котката е под масата.	ispod; dolje	Mačka je ispod stola.
460:下去	下去	下去	jít dolů	Pojďme dolů.	ísť dolu	Poďme dolu.	lemenni	Menjünk le.	a coborî; a merge jos	Hai să coborâm.	слизам надолу	Хайде да слезем.	sići	Idemo dolje.
461:小孩儿	小孩儿	小孩儿	dítě	Dítě si hraje s míčem.	dieťa	Dieťa sa hrá s loptou.	gyerek	A gyerek labdával játszik.	copil	Copilul se joacă cu o minge.	дете	Детето играе с топка.	dijete	Dijete se igra loptom.
462:小时候	小时候	小时候	v dětství; když jsem byl malý	V dětství jsem bydlel v Pekingu.	v detstve; keď som bol malý	V detstve som býval v Pekingu.	gyerekkorban; amikor kicsi voltam	Gyerekkoromban Pekingben éltem.	în copilărie; când eram mic	În copilărie locuiam la Beijing.	в детството; когато бях малък	Като дете живеех в Пекин.	u djetinjstvu; kad sam bio mali	U djetinjstvu sam živio u Pekingu.
465:姓名	姓名	姓名	jméno a příjmení	Napište prosím své jméno a příjmení.	meno a priezvisko	Prosím, napíšte svoje meno a priezvisko.	teljes név	Kérlek, írd le a teljes neved.	nume complet	Vă rog să vă scrieți numele complet.	име и фамилия	Моля, напишете името и фамилията си.	ime i prezime	Molim vas, napišite svoje ime i prezime.
469:药店	药店	药店	lékárna	Lékárna je vedle nemocnice.	lekáreň	Lekáreň je vedľa nemocnice.	gyógyszertár	A gyógyszertár a kórház mellett van.	farmacie	Farmacia este lângă spital.	аптека	Аптеката е до болницата.	ljekarna	Ljekarna je pokraj bolnice.
477:游	游	游	plavat	Ryba plave ve vodě.	plávať	Ryba pláva vo vode.	úszni	A hal a vízben úszik.	a înota	Peștele înoată în apă.	плувам	Рибата плува във водата.	plivati	Riba pliva u vodi.
479:有意思	有意思	有意思	zajímavý	Tato kniha je velmi zajímavá.	zaujímavý	Táto kniha je veľmi zaujímavá.	érdekes	Ez a könyv nagyon érdekes.	interesant	Această carte este foarte interesantă.	интересен	Тази книга е много интересна.	zanimljiv	Ova knjiga je vrlo zanimljiva.
480:有时	有时	有时	někdy	Někdy jezdím do školy autobusem.	niekedy	Niekedy chodím do školy autobusom.	néha	Néha busszal megyek iskolába.	uneori	Uneori merg la școală cu autobuzul.	понякога	Понякога ходя на училище с автобус.	ponekad	Ponekad idem u školu autobusom.
481:右	右	右	vpravo; pravá strana	Podívejte se prosím doprava.	vpravo; pravá strana	Prosím, pozrite sa doprava.	jobb; jobb oldal	Kérem, nézzen jobbra.	dreapta; partea dreaptă	Vă rog priviți la dreapta.	дясно; дясна страна	Моля, погледнете надясно.	desno; desna strana	Molim vas, pogledajte desno.
488:这么	这么	这么	tak; tolik	Tato kniha je tak drahá.	tak; toľko	Táto kniha je taká drahá.	ilyen; ennyire	Ez a könyv ennyire drága.	atât de; așa de	Cartea aceasta este atât de scumpă.	толкова; така	Тази книга е толкова скъпа.	ovako; toliko	Ova knjiga je toliko skupa.
489:这样	这样	这样	takto; tímto způsobem	Udělat to takto je docela dobré.	takto; týmto spôsobom	Urobiť to takto je celkom dobré.	így; ilyen módon	Így csinálni elég jó.	așa; în acest fel	A face așa este destul de bine.	така; по този начин	Да се направи така е доста добре.	ovako; na ovaj način	Ovako raditi je prilično dobro.
492:周	周	周	týden	Příští týden jedu do Pekingu.	týždeň	Budúci týždeň idem do Pekingu.	hét	Jövő héten Pekingbe megyek.	săptămână	Săptămâna viitoare merg la Beijing.	седмица	Следващата седмица отивам в Пекин.	tjedan	Sljedeći tjedan idem u Peking.
496:走路	走路	走路	chodit pěšky	Každý den chodím do školy pěšky.	chodiť pešo	Každý deň chodím do školy pešo.	gyalogolni	Mindennap gyalog megyek iskolába.	a merge pe jos	În fiecare zi merg pe jos la școală.	ходя пеша	Всеки ден ходя пеша на училище.	hodati pješice	Svaki dan idem u školu pješice.
497:足球	足球	足球	fotbal; fotbalový míč	Hraje fotbal.	futbal; futbalová lopta	Hrá futbal.	futball; focilabda	Ő focizik.	fotbal; minge de fotbal	El joacă fotbal.	футбол; футболна топка	Той играе футбол.	nogomet; nogometna lopta	On igra nogomet.
499:左	左	左	vlevo; levá strana	Zahněte prosím doleva.	vľavo; ľavá strana	Prosím, odbočte doľava.	bal; bal oldal	Kérem, forduljon balra.	stânga; partea stângă	Vă rog virați la stânga.	ляво; лява страна	Моля, завийте наляво.	lijevo; lijeva strana	Molim vas, skrenite lijevo.
