simplified	LO	example_LO
本科	ປະລິນຍາຕີ	ລາວເປັນນັກສຶກສາປະລິນຍາຕີ.
本领	ທັກສະ	ລາວໄດ້ຮຽນທັກສະໃໝ່.
本质	ແກ່ນແທ້	ແກ່ນແທ້ຂອງບັນຫານີ້ງ່າຍຫຼາຍ.
彼此	ກັນແລະກັນ	ພວກເຮົາຄວນເຄົາລົບກັນແລະກັນ.
比例	ອັດຕາສ່ວນ	ອັດຕາສ່ວນຜູ້ຊາຍກັບຜູ້ຍິງໃກ້ຄຽງກັນ.
必然	ຢ່າງແນ່ນອນ	ການພະຍາຍາມຈະນຳຜົນມາຢ່າງແນ່ນອນ.
必要	ຈຳເປັນ	ບໍ່ຈຳເປັນຕ້ອງກັງວົນ.
毕竟	ເຖິງຢ່າງໃດກໍຕາມ	ເຖິງຢ່າງໃດກໍຕາມ ລາວຍັງເປັນເດັກນ້ອຍ.
避免	ຫຼີກລ້ຽງ	ກະລຸນາຫຼີກລ້ຽງການມາຊ້າ.
编辑	ແກ້ໄຂບົດຄວາມ	ລາວຮັບຜິດຊອບແກ້ໄຂບົດຄວາມນີ້.
鞭炮	ປະທັດ	ໃນຊ່ວງປີໃໝ່ຈີນ ບາງຄົນຈຸດປະທັດ.
便	ແລ້ວກໍ	ຫຼັງຈາກກິນເຂົ້າ ລາວແລ້ວກໍໄປຮຽນ.
辩论	ໂຕ້ວາທີ	ພວກເຂົາກຳລັງໂຕ້ວາທີກ່ຽວກັບຄຳຖາມນີ້.
标点	ເຄື່ອງໝາຍວັກຕອນ	ກະລຸນາສັງເກດເຄື່ອງໝາຍວັກຕອນ.
标志	ສັນຍາລັກ	ໄຟແດງເປັນສັນຍາລັກໃຫ້ຢຸດ.
表达	ສະແດງອອກ	ລາວໄດ້ສະແດງອອກທັດສະນະຂອງຕົນ.
表面	ຜິວໜ້າ	ຜິວໜ້າຂອງໂຕະສະອາດຫຼາຍ.
表明	ສະແດງວ່າ	ຜົນໄດ້ສະແດງວ່າລາວຖືກ.
表情	ສີໜ້າ	ສີໜ້າຂອງນາງຈິງຈັງຫຼາຍ.
表现	ຜົນງານ	ມື້ນີ້ລາວມີຜົນງານດີຫຼາຍ.
冰激凌	ກະແລັມ	ເດັກນ້ອຍມັກກິນກະແລັມ.
病毒	ໄວຣັດ	ໄວຣັດຊະນິດນີ້ແຜ່ກະຈາຍໄວຫຼາຍ.
播放	ເປີດຫຼິ້ນ	ກະລຸນາເປີດຫຼິ້ນເພງນີ້.
玻璃	ແກ້ວ	ຈອກແກ້ວແຕກແລ້ວ.
博物馆	ພິພິທະພັນ	ທ້າຍອາທິດນີ້ພວກເຮົາຈະໄປພິພິທະພັນ.
脖子	ຄໍ	ຄໍຂອງຂ້ອຍເຈັບນິດໜ່ອຍ.
不断	ບໍ່ຢຸດ	ລາຄາເພີ່ມຂຶ້ນບໍ່ຢຸດ.
不见得	ບໍ່ແນ່ວ່າ	ນີ້ບໍ່ແນ່ວ່າເປັນສິ່ງບໍ່ດີ.
不耐烦	ບໍ່ອົດທົນ	ຫຼັງຈາກລໍຖ້າດົນ ລາວເລີ່ມບໍ່ອົດທົນນິດໜ່ອຍ.
不要紧	ບໍ່ເປັນຫຍັງ	ບໍ່ເປັນຫຍັງ ບໍ່ສຳຄັນ.
补充	ເພີ່ມເຕີມ	ຂ້ອຍຢາກເພີ່ມເຕີມຄວາມເຫັນໜຶ່ງຢ່າງ.
不安	ບໍ່ສະບາຍໃຈ	ຫຼັງຈາກໄດ້ຍິນຂ່າວນີ້ ນາງຮູ້ສຶກບໍ່ສະບາຍໃຈ.
不得了	ຮ້າຍແຮງຫຼາຍ	ເລື່ອງນີ້ຮ້າຍແຮງຫຼາຍແທ້ໆ.
不然	ບໍ່ຢ່າງນັ້ນ	ຮີບໄປໄວໆ ບໍ່ຢ່າງນັ້ນເຈົ້າຈະສາຍ.
不如	ສູ້ບໍ່ໄດ້ກັບ	ສູ້ບໍ່ໄດ້ກັບການນັ່ງລົດ ຍ່າງດີກວ່າ.
不足	ບໍ່ພຽງພໍ	ນ້ຳຢູ່ທີ່ນີ້ບໍ່ພຽງພໍ.
布	ຜ້າ	ຜ້າຜືນນີ້ນຸ່ມຫຼາຍ.
步骤	ຂັ້ນຕອນ	ກະລຸນາດຳເນີນການຕາມຂັ້ນຕອນ.
部门	ພະແນກ	ຂ້ອຍເຮັດວຽກໃນພະແນກຂາຍ.
财产	ຊັບສິນ	ເຮືອນຫຼັງນີ້ແມ່ນຊັບສິນຂອງລາວ.
彩虹	ຮຸ້ງ	ຫຼັງຝົນຕົກ ຮຸ້ງໄດ້ປາກົດຂຶ້ນ.
踩	ຢຽບ	ຢ່າຢຽບຫຍ້າ.
采访	ສຳພາດ	ນັກຂ່າວກຳລັງສຳພາດທ່ານໝໍ.
采取	ນຳໃຊ້	ພວກເຮົາໄດ້ນຳໃຊ້ວິທີໃໝ່.
参考	ອ້າງອີງ	ກະລຸນາອ້າງອີງປຶ້ມຫົວນີ້.
参与	ເຂົ້າຮ່ວມ	ລາວເຂົ້າຮ່ວມກິດຈະກຳຢ່າງກະຕືລືລົ້ນ.
惭愧	ລະອາຍໃຈ	ຂ້ອຍຮູ້ສຶກລະອາຍໃຈຕໍ່ຄວາມຜິດຂອງຕົນເອງ.
操场	ເດີ່ນກິລາ	ນັກຮຽນກຳລັງແລ່ນຢູ່ເດີ່ນກິລາ.
操心	ເປັນຫ່ວງ	ຢ່າເປັນຫ່ວງຂ້ອຍ.
册	ຫົວ	ຂ້ອຍຊື້ປຶ້ມໜຶ່ງຫົວ.
测验	ການທົດສອບ	ມື້ອື່ນມີການທົດສອບນ້ອຍ.
曾经	ເຄີຍ	ຂ້ອຍເຄີຍອາໄສຢູ່ປັກກິ່ງ.
叉子	ສ້ອມ	ຂ້ອຍກິນສະຫຼັດດ້ວຍສ້ອມ.
差距	ຊ່ອງຫ່າງ	ລະຫວ່າງເມືອງກັບຊົນນະບົດມີຊ່ອງຫ່າງ.
插	ສຽບ	ກະລຸນາສຽບດອກໄມ້ໃສ່ແຈກັນ.
拆	ຮື້	ຄົນງານກຳລັງຮື້ເຮືອນເກົ່າ.
产品	ຜະລິດຕະພັນ	ຜະລິດຕະພັນນີ້ມີຄຸນນະພາບດີຫຼາຍ.
产生	ເກີດຂຶ້ນ	ບັນຫານີ້ໄດ້ເກີດຜົນໃໝ່.
常识	ຄວາມຮູ້ທົ່ວໄປ	ນີ້ແມ່ນຄວາມຮູ້ທົ່ວໄປພື້ນຖານ.
长途	ທາງໄກ	ການເດີນທາງໄກເມື່ອຍ.
抄	ລອກ	ກະລຸນາຢ່າລອກວຽກບ້ານຂອງຄົນອື່ນ.
超级	ຊູເປີ	ນີ້ແມ່ນຊູເປີມາເກັດ.
朝	ລາຊະວົງ	ລາຊະວົງຖັງມີຊື່ສຽງຫຼາຍ.
潮湿	ຊຸ່ມຊື່ນ	ລະດູຮ້ອນທາງໃຕ້ຊຸ່ມຊື່ນຫຼາຍ.
吵	ສຽງດັງ	ຂ້າງນອກສຽງດັງຫຼາຍ.
吵架	ຜິດຖຽງກັນ	ພວກເຂົາຜິດຖຽງກັນອີກແລ້ວ.
炒	ຜັດ	ແມ່ກຳລັງຜັດອາຫານ.
车库	ໂຮງຈອດລົດ	ລົດຈອດຢູ່ໃນໂຮງຈອດລົດ.
车厢	ຕູ້ລົດໄຟ	ຕູ້ລົດໄຟນີ້ງຽບຫຼາຍ.
彻底	ຢ່າງຖ້ວນຖີ່	ລາວເຂົ້າໃຈຢ່າງຖ້ວນຖີ່.
沉默	ງຽບ	ລາວງຽບຕະຫຼອດເວລາ.
趁	ສວຍໂອກາດ	ພວກເຮົາໄປກັນເຖີດ ສວຍໂອກາດທີ່ຍັງບໍ່ມືດ.
称	ຊັ່ງ	ກະລຸນາຊັ່ງພັດສະດຸນີ້.
称呼	ເອີ້ນວ່າ	ຂ້ອຍບໍ່ຮູ້ວ່າຄວນເອີ້ນລາວວ່າຫຍັງ.
称赞	ຊົມເຊີຍ	ອາຈານໄດ້ຊົມເຊີຍຄວາມກ້າວໜ້າຂອງລາວ.
成分	ສ່ວນປະກອບ	ສ່ວນປະກອບຂອງຢານີ້ງ່າຍ.
成果	ຜົນສຳເລັດ	ໂຄງການນີ້ໄດ້ຮັບຜົນສຳເລັດ.
成就	ຄວາມສຳເລັດ	ລາວມີຄວາມສຳເລັດຫຼາຍໃນອາຊີບ.
成立	ກໍ່ຕັ້ງ	ບໍລິສັດຖືກກໍ່ຕັ້ງໃນປີກາຍ.
成人	ຜູ້ໃຫຍ່	ປີ້ຜູ້ໃຫຍ່ແພງກວ່າປີ້ເດັກ.
成熟	ສຸກ	ແອັບເປິ້ນສຸກແລ້ວ.
成语	ສຳນວນ	ສຳນວນນີ້ໃຊ້ກັນທົ່ວໄປ.
成长	ເຕີບໃຫຍ່	ເດັກຄ່ອຍໆເຕີບໃຫຍ່.
承担	ຮັບຜິດຊອບ	ລາວຍິນດີຮັບຜິດຊອບ.
承认	ຍອມຮັບ	ລາວຍອມຮັບວ່າຕົນເອງຜິດ.
承受	ທົນຮັບ	ຂ້ອຍທົນຮັບຄວາມກົດດັນໃຫຍ່ແບບນີ້ບໍ່ໄດ້.
程度	ລະດັບ	ລະດັບພາສາຈີນຂອງລາວສູງຫຼາຍ.
程序	ຂັ້ນຕອນ	ກະລຸນາຈັດການຕາມຂັ້ນຕອນ.
诚恳	ຈິງໃຈ	ທ່າທີຂອງລາວຈິງໃຈຫຼາຍ.
吃亏	ເສຍປຽບ	ກ່ອນຊື້ຂອງໃຫ້ເບິ່ງດີໆ ຈະໄດ້ບໍ່ເສຍປຽບ.
持续	ຕໍ່ເນື່ອງ	ຝົນຕົກຕໍ່ເນື່ອງສາມມື້.
池塘	ໜອງ	ໃນໜອງມີປາຫຼາຍ.
迟早	ບໍ່ຊ້າກໍໄວ	ເຈົ້າຈະເຂົ້າໃຈບໍ່ຊ້າກໍໄວ.
尺子	ໄມ້ບັນທັດ	ກະລຸນາໃຊ້ໄມ້ບັນທັດວັດ.
翅膀	ປີກ	ປີກຂອງນົກບາດເຈັບ.
充电器	ເຄື່ອງຊາດ	ເຄື່ອງຊາດຂອງຂ້ອຍເສຍແລ້ວ.
充分	ຢ່າງພຽງພໍ	ພວກເຮົາກະກຽມຢ່າງພຽງພໍ.
充满	ເຕັມໄປດ້ວຍ	ຫ້ອງເຕັມໄປດ້ວຍສຽງຫົວ.
冲	ລ້າງ	ກະລຸນາລ້າງຈອກດ້ວຍນ້ຳ.
重复	ຊ້ຳ	ກະລຸນາຢ່າຊ້ຳຄວາມຜິດເກົ່າ.
宠物	ສັດລ້ຽງ	ນາງລ້ຽງໝາສັດລ້ຽງໂຕໜຶ່ງ.
抽屉	ລິ້ນຊັກ	ກະແຈຢູ່ໃນລິ້ນຊັກ.
抽象	ນາມມະທຳ	ແນວຄິດນີ້ນາມມະທຳເກີນໄປ.
丑	ຂີ້ຮ້າຍ	ຮູບນີ້ຂີ້ຮ້າຍນິດໜ່ອຍ.
臭	ເໝັນ	ຂີ້ເຫຍື້ອມີກິ່ນເໝັນ.
出版	ຕີພິມ	ປຶ້ມຫົວນີ້ຖືກຕີພິມໃນປີກາຍ.
出口	ທາງອອກ	ທາງອອກຢູ່ຂ້າງໜ້າ.
出色	ໂດດເດັ່ນ	ການສະແດງຂອງນາງໂດດເດັ່ນ.
出示	ສະແດງ	ກະລຸນາສະແດງໜັງສືຜ່ານແດນຂອງເຈົ້າ.
出席	ເຂົ້າຮ່ວມ	ລາວຈະເຂົ້າຮ່ວມການປະຊຸມ.
初级	ຂັ້ນຕົ້ນ	ຂ້ອຍຮຽນພາສາຈີນໃນຫ້ອງຂັ້ນຕົ້ນ.
除非	ເວັ້ນແຕ່	ເວັ້ນແຕ່ຝົນຕົກ ມື້ອື່ນພວກເຮົາຈະໄປຍ່າງປ່າ.
除夕	ຄືນສົ່ງທ້າຍປີ	ຄືນສົ່ງທ້າຍປີ ທັງຄອບຄົວກິນເຂົ້າຮ່ວມກັນ.
处理	ຈັດການ	ຂ້ອຍຈະຈັດການບັນຫານີ້.
传播	ແຜ່ກະຈາຍ	ຂ່າວນີ້ແຜ່ກະຈາຍໄວຫຼາຍ.
传染	ຕິດຕໍ່	ຫວັດຕິດຕໍ່ງ່າຍ.
传说	ຕຳນານ	ນີ້ແມ່ນຕຳນານເກົ່າແກ່.
传统	ປະເພນີ	ບຸນປີໃໝ່ຈີນແມ່ນວັນພັກປະເພນີຂອງຈີນ.
窗帘	ຜ້າມ່ານ	ກະລຸນາເປີດຜ້າມ່ານ.
闯	ຝ່າ	ລາວໄດ້ຝ່າໄຟແດງໂດຍບໍ່ຕັ້ງໃຈ.
创造	ສ້າງສັນ	ມະນຸດໄດ້ສ້າງສັນເຄື່ອງມືໃໝ່.
吹	ພັດ	ລົມພັດແຮງ.
词汇	ຄຳສັບ	ຄຳສັບນີ້ໃຊ້ກັນທົ່ວໄປ.
辞职	ລາອອກ	ລາວຕັດສິນໃຈລາອອກ.
此外	ນອກຈາກນີ້	ນອກຈາກນີ້ ຂ້ອຍຍັງມີຄຳຖາມອີກຂໍ້ໜຶ່ງ.
刺激	ຕື່ນເຕັ້ນ	ເກມນີ້ຕື່ນເຕັ້ນຫຼາຍ.
次要	ຮອງ	ບັນຫານີ້ແມ່ນບັນຫາຮອງ.
匆忙	ຮີບຮ້ອນ	ລາວອອກຈາກເຮືອນຢ່າງຮີບຮ້ອນ.
从此	ຈາກນັ້ນເປັນຕົ້ນມາ	ຈາກນັ້ນເປັນຕົ້ນມາ ລາວອອກກຳລັງກາຍທຸກມື້.
从而	ດັ່ງນັ້ນ	ລາວຮຽນຢ່າງຂະຫຍັນ ດັ່ງນັ້ນຈຶ່ງສອບຜ່ານ.
从前	ແຕ່ກ່ອນ	ແຕ່ກ່ອນບ່ອນນີ້ບໍ່ມີລົດໄຟໃຕ້ດິນ.
从事	ເຮັດວຽກດ້ານ	ນາງເຮັດວຽກດ້ານການສຶກສາ.
粗糙	ຫຍາບ	ເຈ້ຍແຜ່ນນີ້ຫຍາບຫຼາຍ.
促进	ສົ່ງເສີມ	ການອອກກຳລັງກາຍສາມາດສົ່ງເສີມສຸຂະພາບ.
促使	ກະຕຸ້ນໃຫ້	ເລື່ອງນີ້ກະຕຸ້ນໃຫ້ລາວປ່ຽນແຜນ.
醋	ນ້ຳສົ້ມສາຍຊູ	ໃນອາຫານໄດ້ໃສ່ນ້ຳສົ້ມສາຍຊູ.
催	ເລັ່ງ	ແມ່ເລັ່ງໃຫ້ຂ້ອຍອອກໄປໄວໆ.
存在	ມີຢູ່	ບັນຫານີ້ຍັງມີຢູ່.
措施	ມາດຕະການ	ໂຮງຮຽນໄດ້ໃຊ້ມາດຕະການຄວາມປອດໄພ.
答应	ຕົກລົງ	ລາວຕົກລົງຈະຊ່ວຍຂ້ອຍ.
达到	ບັນລຸ	ຄະແນນຂອງລາວບັນລຸມາດຕະຖານ.
打工	ເຮັດວຽກພາດທາມ	ໃນພັກຮ້ອນ ລາວເຮັດວຽກພາດທາມຢູ່ຮ້ານອາຫານ.
打交道	ຕິດຕໍ່ກັບ	ຂ້ອຍມັກຕິດຕໍ່ກັບລູກຄ້າ.
打喷嚏	ຈາມ	ລາວເປັນຫວັດ ແລະຈາມຕະຫຼອດ.
打听	ສອບຖາມ	ຂ້ອຍຢາກສອບຖາມເລື່ອງປີ້ລົດໄຟ.
大方	ໃຈກວ້າງ	ນາງໃຈກວ້າງຫຼາຍໃນເລື່ອງເງິນ.
大厦	ອາຄານໃຫຍ່	ອາຄານໃຫຍ່ນັ້ນສູງຫຼາຍ.
大象	ຊ້າງ	ເດັກນ້ອຍກຳລັງເບິ່ງຊ້າງຢູ່ສວນສັດ.
大型	ຂະໜາດໃຫຍ່	ຢູ່ທີ່ນີ້ຈະສ້າງສູນການຄ້າຂະໜາດໃຫຍ່.
呆	ຢູ່	ລາວຢູ່ບ້ານອ່ານປຶ້ມ.
代表	ແທນ	ດອກໄມ້ນີ້ແທນມິດຕະພາບ.
代替	ແທນທີ່	ມື້ນີ້ຂ້ອຍຈະເຂົ້າຮ່ວມປະຊຸມແທນລາວ.
待遇	ສະຫວັດດີການ	ສະຫວັດດີການຂອງບໍລິສັດນີ້ດີ.
贷款	ເງິນກູ້	ພວກເຂົາຍື່ນຂໍເງິນກູ້ຊື້ເຮືອນ.
单纯	ງ່າຍໆ	ຄວາມຄິດຂອງນາງງ່າຍໆຫຼາຍ.
单调	ຈຳເຈ	ວຽກນີ້ຈຳເຈນິດໜ່ອຍ.
单独	ຕາມລຳພັງ	ຂ້ອຍຢາກລົມກັບເຈົ້າຕາມລຳພັງ.
单位	ໜ່ວຍງານ	ລາວເຮັດວຽກຢູ່ໜ່ວຍງານລັດ.
单元	ບົດຮຽນ	ມື້ນີ້ພວກເຮົາຮຽນບົດຮຽນທີສາມ.
担任	ຮັບໜ້າທີ່	ນາງຮັບໜ້າທີ່ເປັນຜູ້ຮັບຜິດຊອບກິດຈະກຳນີ້.
耽误	ເສຍເວລາ	ຢ່າເຮັດໃຫ້ເວລາຂອງທຸກຄົນເສຍ.
胆小鬼	ຄົນຂີ້ຢ້ານ	ຢ່າເອີ້ນລາວວ່າຄົນຂີ້ຢ້ານ.
淡	ຈືດ	ຊຸບຖ້ວຍນີ້ຈືດນິດໜ່ອຍ.
当地	ທ້ອງຖິ່ນ	ຄົນທ້ອງຖິ່ນທຸກຄົນມັກຕະຫຼາດນີ້.
当心	ລະວັງ	ຖະໜົນລື່ນ ລະວັງແດ່.
挡	ຂວາງ	ລົດຄັນນີ້ຂວາງທາງເຂົ້າ.
倒霉	ໂຊກບໍ່ດີ	ມື້ນີ້ໂຊກບໍ່ດີແທ້ໆ ຂ້ອຍເຮັດໂທລະສັບຫາຍ.
导演	ຜູ້ກຳກັບ	ຜູ້ກຳກັບຄົນນີ້ມີຊື່ສຽງຫຼາຍ.
导致	ເຮັດໃຫ້ເກີດ	ຝົນຕົກໜັກເຮັດໃຫ້ເກີດລົດຕິດ.
岛屿	ເກາະ	ປະເທດນີ້ມີເກາະຫຼາຍ.
到达	ໄປຮອດ	ລົດໄຟໄປຮອດຊຽງໄຮ້ຕາມເວລາ.
道德	ຈັນຍາບັນ	ຄົນຄວນມີຫຼັກຈັນຍາບັນ.
道理	ເຫດຜົນ	ສິ່ງທີ່ລາວເວົ້າມີເຫດຜົນຫຼາຍ.
登记	ລົງທະບຽນ	ກະລຸນາລົງທະບຽນທີ່ເຄົາເຕີກ່ອນ.
等待	ລໍຖ້າ	ພວກເຮົາກຳລັງລໍຖ້າຜົນ.
等于	ເທົ່າກັບ	ຫ້າບວກຫ້າເທົ່າກັບສິບ.
滴	ຢົດ	ນ້ຳໜຶ່ງຢົດຕົກລົງເທິງໂຕະ.
敌人	ສັດຕູ	ພວກເຂົາບໍ່ແມ່ນສັດຕູ.
的确	ແນ່ນອນ	ເລື່ອງນີ້ແນ່ນອນວ່າສຳຄັນຫຼາຍ.
地道	ແທ້ໆ	ລາວເວົ້າພາສາຖິ່ນປັກກິ່ງໄດ້ແທ້ໆ.
地理	ພູມສາດ	ຂ້ອຍສົນໃຈພູມສາດຂອງຈີນຫຼາຍ.
地区	ພາກພື້ນ	ລະດູໜາວໃນພາກພື້ນນີ້ໜາວຫຼາຍ.
地毯	ພົມ	ໃນຫ້ອງຮັບແຂກມີພົມປູຢູ່.
地位	ສະຖານະ	ການສຶກສາມີສະຖານະສຳຄັນໃນສັງຄົມ.
地震	ແຜ່ນດິນໄຫວ	ເມື່ອຄືນນີ້ເກີດແຜ່ນດິນໄຫວຢູ່ທີ່ນີ້.
递	ສົ່ງໃຫ້	ກະລຸນາສົ່ງຈົດໝາຍນີ້ໃຫ້ອາຈານ.
点心	ຂອງວ່າງ	ຕອນບ່າຍພວກເຮົາກິນຂອງວ່າງ.
电池	ແບັດເຕີຣີ	ຂອງຫຼິ້ນນີ້ຕ້ອງໃຊ້ແບັດເຕີຣີສອງກ້ອນ.
电台	ສະຖານີວິທະຍຸ	ລາວດຳເນີນລາຍການຢູ່ສະຖານີວິທະຍຸ.
钓	ຕຶກປາ	ພໍ່ເຖົ້າມັກໄປຕຶກປາຢູ່ແຄມນ້ຳ.
顶	ໃບ	ລາວກຳລັງໃສ່ໝວກສີດຳໜຶ່ງໃບ.
冻	ແຂງ	ຂ້າງນອກໜາວຈົນນ້ຳແຂງແລ້ວ.
动画片	ກາຕູນ	ເດັກນ້ອຍກຳລັງເບິ່ງກາຕູນ.
洞	ຮູ	ຢູ່ຝາມີຮູນ້ອຍໜຶ່ງຮູ.
豆腐	ເຕົ້າຫູ້	ອາຫານເຕົ້າຫູ້ຈານນີ້ອົບອ່ອຍ.
逗	ເຮັດໃຫ້ຫົວ	ຄຳເວົ້າຂອງລາວເຮັດໃຫ້ທຸກຄົນຫົວ.
独立	ອິດສະຫຼະ	ນາງຢາກຢູ່ອິດສະຫຼະ.
独特	ເປັນເອກະລັກ	ເມືອງນີ້ມີວັດທະນະທຳເປັນເອກະລັກ.
度过	ໃຊ້ເວລາຜ່ານ	ພວກເຮົາໃຊ້ເວລາພັກຜ່ອນຢູ່ແຄມທະເລ.
断	ຂາດ	ເຊືອກນີ້ຂາດແລ້ວ.
堆	ກອງ	ເອກະສານຫຼາຍກອງຢູ່ເທິງໂຕະ.
兑换	ແລກປ່ຽນ	ຂ້ອຍຢາກແລກປ່ຽນເງິນຢວນຈຳນວນໜຶ່ງ.
对比	ປຽບທຽບ	ກະລຸນາປຽບທຽບແຜນສອງອັນນີ້.
对待	ປະຕິບັດຕໍ່	ພວກເຮົາຄວນປະຕິບັດຕໍ່ທຸກຄົນຢ່າງຍຸດຕິທຳ.
对方	ອີກຝ່າຍ	ກະລຸນາຟັງຄວາມເຫັນຂອງອີກຝ່າຍກ່ອນ.
对手	ຄູ່ແຂ່ງ	ຄູ່ແຂ່ງຂອງລາວແຂງແຮງຫຼາຍ.
对象	ກຸ່ມເປົ້າໝາຍ	ກຸ່ມເປົ້າໝາຍຂອງການວິຈັຍແມ່ນນັກສຶກສາ.
吨	ໂຕນ	ລົດບັນທຸກນີ້ບັນທຸກສິນຄ້າໄດ້ສາມໂຕນ.
蹲	ນັ່ງຍອງ	ລາວນັ່ງຍອງຢູ່ພື້ນເພື່ອຫາກະແຈ.
顿	ມື້	ພວກເຮົາກິນເຂົ້າແລງມື້ໜຶ່ງຮ່ວມກັນ.
多亏	ຂອບໃຈທີ່	ຂອບໃຈທີ່ເຈົ້າຊ່ວຍ ຂ້ອຍຈຶ່ງເຮັດວຽກສຳເລັດ.
多余	ເກີນຈຳເປັນ	ປະໂຫຍກນີ້ເກີນຈຳເປັນ.
朵	ດອກ	ມີດອກໄມ້ໜຶ່ງດອກຢູ່ເທິງໂຕະ.
躲藏	ຫຼົບຊ່ອນ	ແມວນ້ອຍກຳລັງຫຼົບຊ່ອນຢູ່ໃຕ້ຕຽງ.
恶劣	ຮ້າຍແຮງ	ອາກາດມື້ນີ້ຮ້າຍແຮງຫຼາຍ.
耳环	ຕຸ້ມຫູ	ນາງໃສ່ຕຸ້ມຫູຄູ່ໜຶ່ງ.
发表	ສະແດງ	ລາວໄດ້ສະແດງຄວາມເຫັນໃນການປະຊຸມ.
发愁	ກັງວົນ	ຢ່າກັງວົນເລື່ອງນ້ອຍນີ້.
发达	ພັດທະນາ	ການຂົນສົ່ງໃນເມືອງນີ້ພັດທະນາດີ.
发抖	ສັ່ນ	ລາວສັ່ນເພາະຄວາມໜາວ.
发挥	ນຳໃຊ້	ກະລຸນານຳໃຊ້ຈິນຕະນາການຂອງເຈົ້າ.
发明	ສິ່ງປະດິດ	ໄຟຟ້າແມ່ນສິ່ງປະດິດສຳຄັນ.
发票	ໃບເກັບເງິນ	ກະລຸນາອອກໃບເກັບເງິນໃຫ້ຂ້ອຍ.
发言	ກ່າວຄຳເຫັນ	ລາວໄດ້ກ່າວຄຳເຫັນໃນການປະຊຸມ.
罚款	ປັບເງິນ	ຈອດລົດຜິດກົດຈະຖືກປັບເງິນ.
法院	ສານ	ຄະດີນີ້ຖືກສົ່ງໃຫ້ສານ.
