simplified	VI	example_VI
发挥	phát huy; vận dụng	Xin mọi người hãy phát huy trí tưởng tượng của mình.
发明	phát minh	Đèn điện là một phát minh quan trọng.
发票	hóa đơn	Xin hãy xuất hóa đơn cho tôi.
发言	phát biểu	Anh ấy đã phát biểu trong cuộc họp.
罚款	tiền phạt; phạt tiền	Đỗ xe sai quy định sẽ bị phạt tiền.
法院	tòa án	Vụ án này được giao cho tòa án xử lý.
翻	lật; giở	Xin hãy giở sách đến trang mười.
繁荣	phồn vinh; thịnh vượng	Nền kinh tế đang dần trở nên thịnh vượng.
反而	ngược lại; trái lại	Anh ấy không tức giận, trái lại còn cười.
反复	lặp đi lặp lại; nhiều lần	Câu này cần luyện tập nhiều lần.
反应	phản ứng	Phản ứng của anh ấy rất nhanh.
反映	phản ánh	Báo cáo này phản ánh tình hình thực tế.
反正	dù sao; dù thế nào	Dù sao ngày mai tôi cũng có thời gian.
范围	phạm vi	Xin đừng vượt quá phạm vi này.
方	hình vuông; vuông	Xin hãy vẽ một hình vuông trên giấy.
方案	phương án; kế hoạch	Phương án này tương đối hợp lý.
方式	phương thức; cách	Cách học này rất hiệu quả.
妨碍	cản trở; gây trở ngại	Xin đừng cản trở người khác làm việc.
仿佛	dường như; như thể	Anh ấy dường như biết mọi thứ.
非	không phải; bắt buộc phải	Việc này không thể thiếu bạn.
肥皂	xà phòng	Khi rửa tay phải dùng xà phòng.
废话	lời thừa; chuyện nhảm	Nói ít chuyện nhảm thôi, mau bắt đầu đi.
分别	chia tay; phân biệt	Họ chia tay nhau ở nhà ga.
分布	phân bố	Các cửa hàng này phân bố khắp thành phố.
分配	phân công; phân phối	Giáo viên đã phân công nhiệm vụ mới.
分手	chia tay	Họ đã chia tay năm ngoái.
分析	phân tích	Chúng ta cần phân tích nguyên nhân.
纷纷	lần lượt; liên tiếp	Mọi người lần lượt bày tỏ sự đồng ý.
奋斗	phấn đấu; đấu tranh	Người trẻ nên phấn đấu vì ước mơ.
疯狂	điên cuồng; cuồng nhiệt	Các cổ động viên reo hò cuồng nhiệt.
风格	phong cách	Phong cách của nhà hàng này rất đặc biệt.
风景	phong cảnh	Phong cảnh trên núi rất đẹp.
风俗	phong tục	Mỗi nơi đều có phong tục riêng.
风险	rủi ro	Đầu tư có rủi ro nhất định.
讽刺	châm biếm; mỉa mai	Bài viết này châm biếm các vấn đề xã hội.
否定	phủ định; bác bỏ	Anh ấy bác bỏ cách nói này.
否认	phủ nhận	Anh ấy phủ nhận rằng mình đã phạm lỗi.
幅	tấm; bức	Trên tường treo một bức tranh.
扶	đỡ; dìu	Xin hãy dìu người già qua đường.
服装	trang phục; quần áo	Cửa hàng này bán quần áo trẻ em.
辅导	phụ đạo; hướng dẫn	Giáo viên phụ đạo học sinh sau giờ học.
复制	sao chép	Xin hãy sao chép tài liệu này.
妇女	phụ nữ	Bệnh viện này cung cấp dịch vụ cho phụ nữ.
改革	cải cách	Nhà trường đang tiến hành cải cách giảng dạy.
改进	cải tiến; cải thiện	Chúng ta cần cải thiện chất lượng dịch vụ.
改善	cải thiện	Tập thể dục có thể cải thiện giấc ngủ.
改正	sửa chữa; sửa sai	Xin hãy kịp thời sửa lỗi.
概括	tóm tắt; khái quát	Xin hãy tóm tắt nội dung bài viết.
概念	khái niệm	Khái niệm này không dễ hiểu lắm.
盖	nắp; đậy	Xin hãy đậy cốc lại cho kỹ.
干脆	thẳng thắn; thôi thì	Thôi thì hôm nay bạn đừng đi nữa.
干燥	khô hanh; khô	Mùa đông ở miền Bắc rất khô hanh.
感激	cảm kích; biết ơn	Tôi rất biết ơn sự giúp đỡ của bạn.
感受	cảm nhận; cảm giác	Tôi có thể hiểu cảm nhận của bạn.
感想	cảm nghĩ; suy nghĩ	Xin hãy nói về cảm nghĩ của bạn.
赶紧	nhanh lên; mau	Không còn sớm nữa, mau đi thôi.
赶快	nhanh chóng; mau	Mau đóng cửa lại.
干活儿	làm việc chân tay; làm việc	Anh ấy đang làm việc trong sân.
钢铁	thép	Cây cầu này làm bằng thép.
高档	cao cấp	Đây là một khách sạn cao cấp.
高级	cao cấp; nâng cao	Cô ấy tham gia lớp tiếng Hán nâng cao.
搞	làm; tổ chức	Bạn đang tổ chức hoạt động gì vậy?
告别	tạm biệt; chia tay	Chúng tôi tạm biệt bạn ở sân bay.
格外	đặc biệt; hết sức	Bầu trời hôm nay đặc biệt xanh.
隔壁	bên cạnh; nhà bên	Có một giáo viên sống ở nhà bên.
个别	cá biệt; một vài	Một vài học sinh vẫn chưa nộp bài tập.
个人	cá nhân	Đây là quan điểm cá nhân của tôi.
个性	cá tính; tính cách	Cô ấy rất có cá tính.
各自	mỗi người; riêng từng người	Mọi người tự hoàn thành nhiệm vụ của mình.
根	cái; sợi; gốc	Dưới bàn có một sợi dây.
根本	căn bản; hoàn toàn	Vấn đề này hoàn toàn không khó.
公布	công bố	Nhà trường đã công bố kết quả thi.
公开	công khai	Cuộc họp lần này là công khai.
公平	công bằng	Cuộc thi nên công bằng.
公寓	căn hộ	Cô ấy thuê một căn hộ nhỏ.
公元	công nguyên	Năm nay là năm 2026 Công nguyên.
公主	công chúa	Cô bé thích truyện công chúa.
功能	chức năng	Phần mềm này có nhiều chức năng.
工厂	nhà máy	Nhà máy này sản xuất ô tô.
工程师	kỹ sư	Anh trai tôi là một kỹ sư.
工具	công cụ; dụng cụ	Sửa xe đạp cần dụng cụ.
工人	công nhân	Các công nhân đang sửa đường.
工业	công nghiệp	Thành phố này chủ yếu dựa vào công nghiệp.
恭喜	chúc mừng	Chúc mừng bạn đã vượt qua kỳ thi.
贡献	đóng góp	Anh ấy đã có đóng góp cho công ty.
沟通	giao tiếp; trao đổi	Giao tiếp tốt rất quan trọng.
构成	cấu thành; tạo thành	Các bộ phận này tạo thành một chỉnh thể.
姑姑	cô; cô ruột	Cuối tuần tôi đi thăm cô.
姑娘	cô gái; thiếu nữ	Cô gái kia rất nhiệt tình.
古代	thời cổ đại	Thời cổ đại không có điện thoại di động.
古典	cổ điển	Tôi thích nhạc cổ điển.
股票	cổ phiếu	Anh ấy mua một ít cổ phiếu.
骨头	xương	Khúc xương này rất cứng.
鼓舞	cổ vũ; khích lệ	Tin này rất khích lệ lòng người.
鼓掌	vỗ tay	Khán giả vỗ tay cho các diễn viên.
固定	cố định	Tôi có thời gian làm việc cố định.
挂号	đăng ký khám; gửi bảo đảm	Trước khi khám bệnh phải đăng ký trước.
乖	ngoan	Đứa trẻ này rất ngoan.
拐弯	rẽ; quẹo	Ở giao lộ phía trước hãy rẽ phải.
怪不得	thảo nào	Thảo nào bạn mệt như vậy.
关闭	tắt; đóng	Trước khi rời đi, xin hãy tắt máy tính.
官	quan chức	Anh ấy là một quan chức trẻ.
观察	quan sát	Bác sĩ đang quan sát tình trạng của bệnh nhân.
观点	quan điểm	Tôi đồng ý với quan điểm của bạn.
观念	quan niệm; ý niệm	Quan niệm của người trẻ đang thay đổi.
管子	ống	Cái ống này bị rò nước.
冠军	quán quân; nhà vô địch	Cô ấy đã giành chức vô địch trong cuộc thi.
光滑	trơn nhẵn	Bề mặt chiếc bàn này rất trơn nhẵn.
光临	quang lâm; ghé thăm	Hoan nghênh quý khách lần sau lại ghé thăm.
光明	sáng sủa; tươi sáng	Tương lai rất tươi sáng.
光盘	đĩa CD; đĩa quang	Xin hãy lưu tài liệu vào đĩa.
广场	quảng trường	Trên quảng trường có rất nhiều người.
广大	đông đảo; rộng lớn	Tin này được đông đảo học sinh hoan nghênh.
广泛	rộng rãi; rộng khắp	Cuốn sách này có ảnh hưởng rộng rãi.
归纳	tóm tắt; quy nạp	Giáo viên giúp chúng tôi tóm tắt các điểm trọng tâm.
规矩	quy tắc; phép tắc	Trẻ em phải biết phép tắc.
规律	quy luật; nề nếp	Cuộc sống nên có nề nếp.
规模	quy mô	Công ty này có quy mô rất lớn.
规则	quy tắc; luật lệ	Quy tắc cuộc thi rất rõ ràng.
柜台	quầy	Xin hãy đến quầy thanh toán.
滚	sôi; lăn	Nước đã sôi rồi.
锅	nồi; chảo	Trong nồi có canh nóng.
国庆节	Quốc khánh	Quốc khánh chúng tôi được nghỉ.
国王	quốc vương; vua	Quốc vương sống trong cung điện.
果然	quả nhiên; đúng như dự đoán	Quả nhiên anh ấy đã đến đúng giờ.
果实	quả; thành quả	Trên cây đầy quả.
过分	quá đáng	Yêu cầu của anh ấy hơi quá đáng.
过敏	dị ứng	Tôi bị dị ứng với phấn hoa.
过期	hết hạn	Chai sữa này đã hết hạn rồi.
哈	ha; à	Ha, cuối cùng tôi cũng hiểu rồi.
海关	hải quan	Chúng tôi xếp hàng kiểm tra ở hải quan.
海鲜	hải sản	Hải sản ở nhà hàng này rất tươi.
喊	gọi to; hét	Đừng hét lớn trong lớp học.
行业	ngành nghề; ngành	Ngành du lịch phát triển rất nhanh.
豪华	sang trọng	Họ ở trong một khách sạn sang trọng.
好客	hiếu khách	Người địa phương rất hiếu khách.
好奇	tò mò	Trẻ em rất tò mò về thế giới.
何必	cần gì; hà tất	Hà tất phải tức giận vì chuyện nhỏ?
何况	huống chi; hơn nữa	Hôm nay rất lạnh, huống chi còn mưa.
合法	hợp pháp	Hợp đồng này là hợp pháp.
合理	hợp lý	Giá này rất hợp lý.
合同	hợp đồng	Họ đã ký một bản hợp đồng.
合影	ảnh chụp chung	Khi tốt nghiệp, chúng tôi đã chụp ảnh chung.
合作	hợp tác	Chúng tôi hợp tác để hoàn thành dự án.
和平	hòa bình	Mọi người đều mong muốn hòa bình.
核心	cốt lõi	Niềm tin là cốt lõi của sự hợp tác.
恨	hối hận; ghét	Anh ấy hối hận vì đã không cố gắng sớm hơn.
猴子	khỉ	Trong sở thú có mấy con khỉ.
后背	lưng	Anh ấy hơi đau lưng.
后果	hậu quả	Bạn cần cân nhắc hậu quả.
呼吸	hít thở	Xin hãy hít thở sâu.
忽然	bỗng nhiên; đột nhiên	Trời bỗng tối sầm lại.
忽视	xem nhẹ; bỏ qua	Đừng xem nhẹ vấn đề này.
壶	ấm; bình	Trên bàn có một ấm trà.
糊涂	hồ đồ; lẫn lộn	Hôm nay tôi hơi lẫn lộn.
胡说	nói bậy; nói nhảm	Đừng nói bậy, chuyện này không phải thật.
胡同	hẻm; ngõ	Bắc Kinh có rất nhiều ngõ cổ.
蝴蝶	bướm	Trong vườn có một con bướm.
花生	đậu phộng	Anh ấy thích ăn đậu phộng.
华裔	người gốc Hoa	Cô ấy là một nhà văn gốc Hoa.
