source_headword	PL	example_PL
boom	boom	Miasto przeżyło boom budowlany.
bounce	odbijać się	Piłka może się bardzo wysoko odbijać.
boundary	granica	Rzeka wyznacza granicę.
bow1	kłaniać się	Aktor złożył głęboki ukłon.
breach	naruszenie	Naruszenie ujawniło prywatne dane.
breakdown	zestawienie	Raport zawiera zestawienie kosztów.
breakthrough	przełom	Odkrycie było ogromnym przełomem.
breed	rozmnażać się	Te ptaki rozmnażają się wiosną.
broadband	internet szerokopasmowy	Biuro potrzebuje szybszego łącza szerokopasmowego.
browser	przeglądarka	Zaktualizuj przeglądarkę przed zalogowaniem.
brutal	brutalny	Atak był brutalny i nagły.
buck	dolar	Bilet kosztuje dziesięć dolarów.
buddy	kumpel	Jego kumpel czekał na zewnątrz.
buffer	bufor	Drzewa tworzą bufor dźwiękowy.
bulk	duża ilość	Kupili ryż luzem.
burden	ciężar	Dług stał się dużym ciężarem.
bureaucracy	biurokracja	Biurokracja opóźniła wydanie pozwolenia.
burial	pogrzeb	Pogrzeb odbył się o świcie.
burst	pęknąć	Rura może pęknąć pod ciśnieniem.
cabinet	gabinet	Gabinet zatwierdził plan.
calculation	obliczenie	Obliczenie zajęło kilka minut.
canvas	płótno	Artysta malował na dużym płótnie.
capability	możliwość	Urządzenie ma możliwość bezprzewodową.
capitalism	kapitalizm	Kapitalizm ukształtował współczesną gospodarkę.
capitalist	kapitalistyczny	System kapitalistyczny nagradza prywatne inwestycje.
cargo	ładunek	Statek przewoził ładunek medyczny.
carriage	wagon	Wagon był prawie pusty.
carve	rzeźbić	On ostrożnie wyrzeźbi drewno.
casino	kasyno	Kasyno otwarto w pobliżu hotelu.
casualty	ofiara	Wypadek spowodował jedną ofiarę.
catalogue	katalog	Katalog zawiera każdy produkt.
cater	obsługiwać	Restauracja może obsługiwać duże imprezy.
cattle	bydło	Bydło pasło się blisko rzeki.
caution	ostrożność	Zachowaj ostrożność na oblodzonych drogach.
cautious	ostrożny	Inwestorzy pozostają ostrożni w tym tygodniu.
cease	zaprzestać	Fabryka wkrótce zaprzestanie produkcji.
cemetery	cmentarz	Cmentarz wychodzi na morze.
chamber	sala	Sala była cicha podczas głosowania.
chaos	chaos	Opóźnienie spowodowało chaos na lotnisku.
characterize	charakteryzować	Eksperci charakteryzują ten plan jako ryzykowny.
charm	urok	Miasteczko ma staroświecki urok.
charter	karta	Karta chroni podstawowe prawa.
chronic	przewlekły	On cierpi na przewlekły ból pleców.
chunk	kawałek	Pokrój ser na kawałki.
circulate	rozprowadzić	Proszę rozprowadzić dzisiejszą agendę.
circulation	nakład	Nakład gazety gwałtownie spadł.
citizenship	obywatelstwo	Ona wystąpiła o obywatelstwo francuskie.
civic	obywatelski	Przywódcy obywatelscy uczestniczyli w spotkaniu.
civilian	cywil	Kilka domów cywilnych zostało zniszczonych.
clarity	jasność	Diagram dodał jasności raportowi.
clash	starcie	Starcie rozpoczęło się po marszu.
classification	klasyfikacja	Klasyfikacja zależy od wielkości.
cling	przylegać	Mokre ubrania przylegają do skóry.
clinical	kliniczny	Badanie kliniczne zaczyna się w przyszłym miesiącu.
closure	zamknięcie	Rodzina chciała zamknięcia po tej sprawie.
cluster	skupisko	W pobliżu stało skupisko domów.
coalition	koalicja	Koalicja straciła większość.
coastal	nadmorski	Nadmorskie wioski przygotowywały się na powódź.
cocktail	koktajl	Zamówiła koktajl owocowy.
cognitive	poznawczy	Umiejętności poznawcze poprawiają się wraz z praktyką.
coincide	zbiegać się	Festiwal zbiegnie się z zakończeniem szkoły.
collaborate	współpracować	Zespoły współpracują nad oprogramowaniem.
collaboration	współpraca	Ich współpraca przyniosła silne rezultaty.
collective	zbiorowy	Decyzja była wspólnym wysiłkiem.
collision	kolizja	Kolizja zablokowała autostradę.
colonial	kolonialny	Ten budynek ma kolonialną architekturę.
columnist	felietonista	Felietonista skrytykował tę politykę.
combat	walka	Żołnierze trenowali do walki.
commence	rozpocząć się	Ceremonia rozpocznie się w południe.
commentary	komentarz	Komentarz do meczu był żywy.
commentator	komentator	Komentator wyjaśnił tę decyzję.
commerce	handel	Handel internetowy szybko rósł.
commissioner	komisarz	Komisarz ogłosił nowe zasady.
commodity	towar	Pszenica to ważny towar.
communist	komunistyczny	Partia komunistyczna zorganizowała spotkanie.
companion	towarzysz	Jej pies to lojalny towarzysz.
comparable	porównywalny	Oba miasta są porównywalne pod względem wielkości.
compassion	współczucie	Pielęgniarka wykazała się wielkim współczuciem.
compel	wymusić	Dowody mogą wymusić odpowiedź.
compelling	przekonujący	Dokument przedstawił przekonujące argumenty.
compensate	zrekompensować	Firma zrekompensuje to poszkodowanym klientom.
compensation	rekompensata	Pracownicy domagali się uczciwej rekompensaty.
competence	kompetencja	Ten test mierzy kompetencje zawodowe.
competent	kompetentny	Ona jest kompetentnym inżynierem.
compile	zbierać	Naukowcy zbierają dane ze szpitali.
complement	uzupełniać	To wino uzupełni posiłek.
complexity	złożoność	Projekt charakteryzuje się nieoczekiwaną złożonością.
compliance	zgodność	Audyt sprawdził zgodność z prawem.
complication	powikłanie	Operacja miała jedno powikłanie.
comply	przestrzegać	Firmy muszą przestrzegać przepisów.
composition	kompozycja	Kompozycja obejmuje skrzypce i fortepian.
compromise	kompromis	Kompromis zadowolił obie strony.
compute	obliczać	Program potrafi obliczyć sumę.
conceal	ukryć	Próbował ukryć uszkodzenia.
concede	przyznać się	Minister odmówił przyznania się do porażki.
conceive	wymyślić	Nie potrafili wymyślić lepszego planu.
conception	koncepcja	Ten film zmienił moją koncepcję historii.
concession	ustępstwo	Firma zaoferowała jedno ustępstwo.
condemn	potępić	Przywódcy publicznie potępiają ten atak.
confer	nadawać	Ta nagroda nada prestiżu.
confession	przyznanie się	Jego przyznanie się do winy zaskoczyło sąd.
configuration	konfiguracja	Konfiguracja kontroluje dostęp do sieci.
confine	ograniczać	Przepisy ograniczają obecność psów do tego obszaru.
confirmation	potwierdzenie	Otrzymaliśmy potwierdzenie e-mailem.
confront	skonfrontować się	Postanowiła skonfrontować się z problemem.
confrontation	konfrontacja	Konfrontacja zakończyła się bez przemocy.
congratulate	pogratulować	Zadzwoniłem, by pogratulować siostrze.
congregation	zgromadzenie	Zgromadzenie śpiewało razem.
congressional	kongresowy	Przesłuchanie przed kongresem trwało godzinami.
conquer	podbić	Zespół ma nadzieję podbić rynek.
conscience	sumienie	Jego sumienie nie pozwalało na kłamstwa.
consciousness	świadomość	Wypadek wpłynął na jego świadomość.
consecutive	kolejny	Wygrała trzy kolejne mecze.
consensus	konsensus	Komisja szybko osiągnęła konsensus.
consent	zgoda	Wymagana jest pisemna zgoda.
conserve	oszczędzać	Oszczędzamy wodę podczas suszy.
consistency	konsekwencja	W nauce języków liczy się konsekwencja.
consolidate	połączyć	Firma połączy dwa biura.
constituency	okręg wyborczy	Kandydat odwiedził każdy okręg wyborczy.
constitute	stanowić	Kobiety stanowią połowę komisji.
constitution	konstytucja	Konstytucja gwarantuje wolność słowa.
constitutional	konstytucyjny	Sąd dokonał przeglądu praw konstytucyjnych.
constraint	ograniczenie	Ograniczenia budżetowe ograniczyły projekt.
consultation	konsultacja	Konsultacje trwały dwa tygodnie.
contemplate	rozważyć	Zatrzymała się, by rozważyć tę ofertę.
contempt	pogarda	Okazał pogardę dla zasad.
contend	ubiegać się	Kilka firm ubiega się o ten kontrakt.
contender	kandydat	Ona jest silnym kandydatem.
content2	zadowolony	Czuł się zadowolony z wyniku.
contention	spór	Główny spór dotyczy finansowania.
continually	nieustannie	System nieustannie sprawdza błędy.
contractor	wykonawca	Wykonawca naprawił dach.
contradiction	sprzeczność	Jego oświadczenie zawierało sprzeczność.
contrary	sprzeczny	Sprzeczne dowody zmieniły sprawę.
contributor	współtwórca	Ona jest stałym współtwórcą.
conversion	konwersja	Konwersja zamieniła dolary na euro.
convict	skazać	Ława przysięgłych może skazać podejrzanego.
conviction	wyrok skazujący	Jego wyrok skazujący zszokował opinię publiczną.
cooperate	współpracować	Proszę współpracować w dochodzeniu.
cooperative	chętny do współpracy	Personel był chętny do współpracy i spokojny.
coordinate	koordynować	Oni koordynują dostawy każdego ranka.
coordination	koordynacja	Dobra koordynacja zaoszczędziła czas.
coordinator	koordynator	Koordynator przydzielił każde zadanie.
cop	gliniarz	Przed stacją stał gliniarz.
copper	miedź	Ta rura jest zrobiona z miedzi.
copyright	prawo autorskie	Ten obraz jest chroniony prawem autorskim.
correction	poprawka	Nauczyciel wprowadził jedną poprawkę.
correlate	korelować	Wysoki stres może korelować z chorobą.
correlation	korelacja	Badanie wykazało silną korelację.
correspond	odpowiadać	Te liczby odpowiadają etykietom.
correspondence	korespondencja	Ich korespondencja trwała latami.
correspondent	korespondent	Korespondent nadawał z Kairu.
corresponding	odpowiedni	Każdy przycisk ma odpowiednie światło.
corrupt	skorumpowany	Skorumpowany urzędnik przyjął pieniądze.
corruption	korupcja	Korupcja osłabiła zaufanie publiczne.
costly	kosztowny	Ten błąd był kosztowny dla zespołu.
councillor	radny	Radny odpowiadał na pytania mieszkańców.
counselling	terapia	Po wypadku otrzymała wsparcie psychologiczne.
counsellor	doradca	Doradca pomógł nowym uczniom.
counter (argue against)	odeprzeć	Próbowała odeprzeć jego argument.
counterpart	odpowiednik	Spotkał się ze swoim japońskim odpowiednikiem.
countless	niezliczony	Niezliczeni ochotnicy dołączyli do poszukiwań.
coup	zamach stanu	Zamach stanu odsunął prezydenta od władzy.
courtesy	uprzejmość	Podziękowała im za ich uprzejmość.
