simplified	DE	example_DE
逼迫	zwingen; nötigen	Sie zwangen ihn, den Vertrag zu unterschreiben.
鼻涕	Nasenschleim; laufende Nase	Das Kind ist erkältet und hat ständig eine laufende Nase.
比方	zum Beispiel	Zum Beispiel können wir es zuerst einen Monat lang versuchen.
比喻	Metapher; Vergleich	Diese Metapher ist sehr anschaulich.
比重	Anteil; Gewichtung	Der Anteil des Dienstleistungssektors wird immer höher.
鄙视	verachten; geringschätzen	Verachte nicht die Mühe anderer.
弊病	Mangel; Missstand	Dieses System hat viele Missstände.
弊端	Nachteil; Schwachstelle	Der neue Plan beseitigte die Schwachstellen des alten Systems.
臂	Arm	Sein rechter Arm ist verletzt.
闭塞	abgelegen; rückständig	Früher war die Verkehrsanbindung dieses Bergdorfs sehr schlecht.
编织	stricken; flechten	Die Großmutter strickt gerade einen Pullover.
边疆	Grenzgebiet	Viele Soldaten bewachen die Grenzgebiete des Landes.
边界	Grenze	Die beiden Länder legten die Grenze neu fest.
边境	Grenzregion; Grenze	In der Grenzregion wurden die Sicherheitskontrollen verstärkt.
边缘	Rand; Kante	Die Tasse steht am Rand des Tisches.
鞭策	antreiben; anspornen	Die Worte des Lehrers spornen mich bis heute an.
扁	flach	Die Schachtel ist breit und flach.
贬低	herabsetzen; kleinreden	Setze die Mühe anderer nicht einfach herab.
贬义	abwertende Bedeutung	Dieses Wort hat hier eine abwertende Bedeutung.
便利	bequem; praktisch	Die U-Bahn macht das Reisen praktischer.
便条	Notizzettel	Er ließ einen Notizzettel auf dem Tisch.
便于	etwas erleichtern; geeignet sein	Dieses Design erleichtert älteren Menschen die Nutzung.
变故	unerwarteter Zwischenfall	In der Familie geschah plötzlich ein unerwarteter Zwischenfall.
变迁	Wandel; Veränderung	Der Wandel der Stadt machte ihn sehr nachdenklich.
变质	verderben; sich zersetzen	Milch verdirbt, wenn sie zu lange steht.
辨认	identifizieren; erkennen	Die Polizei ließ ihn die Person auf dem Foto identifizieren.
辩护	verteidigen; plädieren	Der Anwalt verteidigte den Angeklagten.
辩解	sich rechtfertigen; erklären	Er versuchte, seinen Fehler zu rechtfertigen.
辩证	dialektisch	Wir müssen dieses Problem dialektisch betrachten.
辫子	Zopf	Das kleine Mädchen trägt zwei Zöpfe.
遍布	überall verbreitet sein	Diese Pflanze ist im ganzen Land verbreitet.
标本	Präparat; Muster	Im Museum sind Tierpräparate ausgestellt.
标记	Markierung; Zeichen	Bitte mache neben den wichtigen Absätzen eine Markierung.
标题	Titel; Überschrift	Der Titel dieses Artikels ist sehr ansprechend.
表决	abstimmen	Die Vertreter werden über den Vorschlag abstimmen.
表态	Stellung nehmen	Er hat noch nicht öffentlich Stellung genommen.
表彰	auszeichnen; würdigen	Das Unternehmen zeichnete hervorragende Mitarbeiter aus.
憋	unterdrücken; zurückhalten	Er unterdrückte sein Lachen und sagte nichts.
别墅	Villa	Sie kauften eine Villa am Stadtrand.
别致	eigenartig; geschmackvoll	Die Einrichtung dieses Cafés ist sehr geschmackvoll.
别扭	unnatürlich; unangenehm	Dieser Satz klingt etwas unnatürlich.
濒临	am Rand von etwas stehen	Diese Tierart ist vom Aussterben bedroht.
冰雹	Hagel	Gestern Nachmittag fiel starker Hagel.
丙	dritter Himmelsstamm; Gruppe C	Der Wettbewerb der Gruppe C beginnt am Nachmittag.
并非	keineswegs; nicht etwa	Die Sache ist keineswegs so, wie du denkst.
并列	gleichauf sein; nebeneinanderstehen	Diese beiden Projekte liegen gemeinsam auf dem ersten Platz.
剥削	Ausbeutung	In der alten Gesellschaft gab es schwere Ausbeutung.
拨	wählen; drehen	Bitte wähle diese Telefonnummer.
播种	säen	Die Bauern beginnen im Frühling mit der Aussaat.
波浪	Welle	Auf dem Meer erhoben sich riesige Wellen.
波涛	Wellen; Brandung	Das Schiff fuhr durch die Wellen.
伯母	Tante; Frau des älteren Onkels	Am Wochenende besuche ich meine Tante.
博大精深	umfassend und tiefgründig	Die chinesische Kultur ist umfassend und tiefgründig.
博览会	Messe; Ausstellung	Die internationale Messe zog viele Unternehmen an.
搏斗	kämpfen; ringen	Die Polizei kämpfte mit dem Verbrecher.
薄弱	schwach; mangelhaft	Seine grammatische Grundlage ist ziemlich schwach.
不顾	ungeachtet; ohne Rücksicht auf	Er stürmte ungeachtet der Gefahr hinein.
不愧	seinem Ruf gerecht werden	Er wird seinem Ruf als erfahrener Experte gerecht.
不料	unerwartet; wider Erwarten	Unerwartet wurde die Sitzung plötzlich abgesagt.
不像话	unverschämt; unerhört	So mit Gästen umzugehen ist wirklich unerhört.
不屑一顾	keines Blickes würdigen	Er würdigte diese Gerüchte keines Blickes.
哺乳	stillen; säugen	Die Mutter stillt gerade das Baby.
捕捉	einfangen; erfassen	Der Fotograf fing einen wunderbaren Moment ein.
补偿	entschädigen; ausgleichen	Das Unternehmen wird deinen Verlust ersetzen.
补救	Abhilfe schaffen; retten	Wir können noch rechtzeitig Abhilfe schaffen.
补贴	Zuschuss; Subvention	Die Regierung zahlt Zuschüsse an Familien mit niedrigem Einkommen.
不得已	gezwungenermaßen; notgedrungen	Er verließ seine Heimat nur notgedrungen.
不妨	es wäre nicht verkehrt; ruhig können	Du kannst dir ruhig zuerst seine Erklärung anhören.
不敢当	das verdiene ich nicht	Wenn Sie mich so loben, verdiene ich das wirklich nicht.
不禁	unwillkürlich; nicht umhinkönnen	Als er diese Nachricht hörte, musste er unwillkürlich lachen.
不堪	unerträglich; nicht ertragen können	Der Lärm hier ist unerträglich.
不可思议	unvorstellbar; unglaublich	Dieses Ergebnis ist wirklich unglaublich.
不免	unvermeidlich; sich kaum vermeiden lassen	Beim ersten Auftritt war er unvermeidlich etwas nervös.
不时	von Zeit zu Zeit	Er blickte von Zeit zu Zeit zur Uhr.
不惜	nicht scheuen	Für die Rettung anderer scheute er kein Risiko.
不相上下	gleich stark sein	Die beiden Mannschaften sind etwa gleich stark.
不言而喻	selbstverständlich; versteht sich von selbst	Die Bedeutung von Ehrlichkeit versteht sich von selbst.
不由得	unwillkürlich; nicht anders können	Beim Anblick der alten Fotos musste ich unwillkürlich an meine Kindheit denken.
不择手段	zu jedem Mittel greifen	Um Geld zu verdienen, greift er zu jedem Mittel.
不止	mehr als; nicht nur	An der Sitzung nahmen mehr als hundert Menschen teil.
布告	Bekanntmachung; Aushang	Am Schultor hing eine Bekanntmachung.
布局	Anordnung; Grundriss	Der Grundriss dieser Wohnung ist sehr vernünftig.
布置	zuweisen; arrangieren	Der Lehrer gab neue Hausaufgaben auf.
步伐	Schritt; Tempo	Die Gruppe marschierte mit gleichmäßigen Schritten vorwärts.
部署	einsetzen; anordnen	Das Unternehmen setzt gerade einen neuen Verkaufsplan um.
部位	Stelle; Körperstelle	Der Arzt untersuchte die verletzte Stelle.
才干	Fähigkeit; Talent	Sie hat großes Talent im Management.
裁缝	Schneider	Dieser Schneider hat großes Können.
裁判	Schiedsrichter; entscheiden	Der Schiedsrichter verkündete eine Spielunterbrechung.
裁员	Personal abbauen	Das Unternehmen beschloss wegen Verlusten Personal abzubauen.
财富	Vermögen; Reichtum	Wissen ist auch eine Art Reichtum.
财务	Finanzen; Finanzabteilung	Die Finanzabteilung prüft gerade die Konten.
财政	Staatsfinanzen; Finanzwesen	Die Staatseinnahmen sind in diesem Jahr etwas gestiegen.
彩票	Lottoschein	Er kauft gelegentlich einen Lottoschein.
采购	beschaffen; einkaufen	Das Unternehmen schickte jemanden los, um Ausrüstung zu beschaffen.
采集	sammeln; erfassen	Die Forschenden sammelten im Wald Proben.
采纳	annehmen; übernehmen	Die Leitung nahm unseren Vorschlag an.
参谋	Berater; beraten	Er berät den Manager oft.
参照	sich richten nach; als Vorlage nehmen	Bitte fülle das Formular nach diesem Format aus.
残疾	Behinderung	Dieser Bahnhof bietet Hilfe für Fahrgäste mit Behinderung.
残酷	grausam	Krieg ist sehr grausam.
残留	zurückbleiben	In der Tasse blieb noch Kaffeegeruch zurück.
残忍	grausam	Tiere zu quälen ist grausam.
灿烂	strahlend	Sie zeigte ein strahlendes Lächeln.
仓促	übereilt; hastig	Diese Entscheidung wurde zu übereilt getroffen.
仓库	Lager; Warenhaus	Die Waren wurden bereits ins Lager gebracht.
舱	Kabine; Abteil	Die Passagiere betreten gerade die Flugzeugkabine.
苍白	blass	Sein Gesicht wirkte sehr blass.
操劳	sich abmühen; sich kümmern	Die Mutter mühte sich viele Jahre für diese Familie ab.
操练	trainieren; exerzieren	Die Soldaten trainieren jeden Morgen.
操纵	steuern; manipulieren	Diese Maschine wird von einem Computer gesteuert.
操作	bedienen; handhaben	Bitte bediene das Gerät nach der Anleitung.
嘈杂	lärmend; laut	Im Bahnhof war es sehr laut.
草案	Entwurf	Der Ausschuss diskutiert gerade den Entwurf.
草率	übereilt; leichtfertig	Eine so wichtige Entscheidung darf nicht leichtfertig getroffen werden.
侧面	Seite; Seitenansicht	Von der Seite wirkt dieses Gebäude höher.
测量	messen	Der Ingenieur misst gerade die Länge der Brücke.
策划	planen; organisieren	Sie planten eine große Veranstaltung.
策略	Strategie	Diese Strategie half dem Unternehmen, Kosten zu senken.
层出不穷	eines nach dem anderen auftauchen	Neue Probleme tauchen ständig auf.
层次	Ebene; Struktur	Die Struktur dieses Artikels ist sehr klar.
差别	Unterschied	Zwischen den beiden Methoden gibt es keinen großen Unterschied.
插座	Steckdose	In diesem Zimmer gibt es nicht genug Steckdosen.
查获	beschlagnahmen; aufdecken	Der Zoll beschlagnahmte eine Ladung Fälschungen.
刹那	Augenblick	In einem Augenblick gingen alle Lichter aus.
岔	sich verzweigen; abbiegen	Die Autos trennten sich an der Kreuzung vor ihnen.
诧异	überrascht; erstaunt	Seine Entscheidung überraschte alle sehr.
柴油	Diesel	Dieser Lastwagen fährt mit Diesel.
搀	stützen; führen	Die Krankenschwester stützte den alten Mann ins Krankenzimmer.
缠绕	sich winden; umwickeln	Die Ranken wanden sich um die Zweige.
馋	gierig auf Essen sein	Beim Anblick des Kuchens bekam das Kind Appetit.
产业	Industrie; Branche	Der Tourismus ist hier eine wichtige Branche.
阐述	darlegen; erläutern	Der Professor erläuterte seine Ansicht ausführlich.
颤抖	zittern	Sie zitterte am ganzen Körper vor Kälte.
昌盛	blühend; wohlhabend	Wir hoffen, dass das Land blüht und gedeiht.
偿还	zurückzahlen	Er zahlte den Kredit pünktlich zurück.
尝试	versuchen	Wir können eine neue Methode versuchen.
场合	Anlass; Gelegenheit	Dieser Anlass eignet sich nicht für Witze.
场面	Szene; Atmosphäre	Die Hochzeitsfeier war sehr lebhaft.
场所	Ort; Platz	Dies ist ein öffentlicher Ort, bitte nicht rauchen.
敞开	weit öffnen	Bitte öffne das Fenster für eine Weile weit.
倡导	befürworten; fördern	Die Schule fördert einen gesunden Lebensstil.
倡议	Initiative	Diese Umweltinitiative erhielt Unterstützung.
畅通	frei passierbar; ungehindert	Nachdem der Regen aufgehört hatte, war die Straße wieder frei passierbar.
畅销	sich gut verkaufen	Dieser Roman verkauft sich sehr gut.
超越	übertreffen; überschreiten	Endlich übertraf er seinen eigenen Rekord.
钞票	Geldschein	In der Geldbörse waren nur noch ein paar Geldscheine.
嘲笑	auslachen; verspotten	Lache nicht über die Schwächen anderer.
巢穴	Nest; Bau	Der Jäger entdeckte den Bau eines Tieres.
朝代	Dynastie	Die Tang-Zeit war eine Dynastie in der chinesischen Geschichte.
潮流	Trend; Strömung	Junge Menschen achten sehr auf Modetrends.
撤退	sich zurückziehen	Die Truppen zogen sich nach dem Befehl zurück.
撤销	aufheben; widerrufen	Das Gericht hob das ursprüngliche Urteil auf.
沉淀	sich absetzen	Schlamm und Sand setzen sich langsam ab.
沉闷	drückend; dumpf	Das Wetter ist heute heiß und drückend.
沉思	nachdenken; in Gedanken versinken	Er saß am Fenster und versank in Gedanken.
沉重	schwer; bedrückend	Diese Nachricht machte alle sehr bedrückt.
沉着	ruhig; gefasst	In Gefahr muss man ruhig bleiben.
陈旧	altmodisch; veraltet	Diese Maschine ist schon sehr veraltet.
陈列	ausstellen	In der Ausstellungshalle sind viele Kulturgüter ausgestellt.
陈述	darlegen; schildern	Bitte schildere die Fakten klar.
称心如意	ganz nach Wunsch	Diese Arbeit ist ganz nach seinem Wunsch.
衬托	hervorheben; zur Geltung bringen	Die weiße Wand bringt die Farbe der Blumen zur Geltung.
称号	Titel; Bezeichnung	Er erhielt den Titel eines ausgezeichneten Lehrers.
乘	nehmen; fahren mit	Ich fahre jeden Tag mit der U-Bahn zur Arbeit.
呈现	zeigen; annehmen	Der Himmel nahm ein zartes Rot an.
城堡	Burg; Schloss	Auf dem Gipfel steht eine alte Burg.
惩罚	bestrafen	Die Schule bestraft Schüler, die betrügen.
成本	Kosten	Der Preisanstieg bei Rohstoffen erhöhte die Kosten.
成交	abschließen; zustande kommen	Dieses Geschäft kam endlich zustande.
成天	den ganzen Tag	Er sitzt den ganzen Tag vor dem Computer.
成效	Wirkung; Ergebnis	Die neue Verwaltungsmethode zeigte bald Wirkung.
成心	absichtlich	Er wollte dich nicht absichtlich in Verlegenheit bringen.
成员	Mitglied	Jedes Mitglied muss an der Sitzung teilnehmen.
承办	ausrichten; übernehmen	Diese Firma richtete die Ausstellung aus.
承包	einen Auftrag übernehmen	Sie übernahmen den Auftrag für dieses Projekt.
承诺	versprechen	Er versprach, die Aufgabe pünktlich zu erledigen.
橙	Orange	Ich kaufte ein paar frische Orangen.
澄清	klarstellen	Der Manager kam heraus und stellte das Missverständnis klar.
盛	einschenken; schöpfen	Sie schöpfte dem Gast eine Schüssel Suppe.
诚挚	aufrichtig; herzlich	Bitte nehmen Sie meinen herzlichen Dank an.
秤	Waage	Diese Waage ist nicht sehr genau.
吃苦	Härten ertragen	Junge Menschen sollten lernen, Härten zu ertragen.
吃力	anstrengend sein	Diese Kiste zu tragen ist sehr anstrengend.
持久	dauerhaft; lang anhaltend	Erfolg braucht lang anhaltende Anstrengung.
迟钝	langsam; schwerfällig	Seine Reaktionen sind in letzter Zeit etwas langsam.
迟缓	langsam; verzögert	Nach dem Regen wurde der Verkehr langsamer.
迟疑	zögern	Sie zögerte kurz, bevor sie antwortete.
赤道	Äquator	In der Nähe des Äquators ist es das ganze Jahr über heiß.
赤字	Defizit	Das Unternehmen machte in diesem Jahr ein Defizit.
充当	als etwas fungieren	Er fungierte im Projekt als Koordinator.
充沛	reichlich; voller Energie	Die Kinder haben sehr viel Energie.
充实	erfüllt; bereichert	Diese Erfahrung machte mein Leben erfüllter.
充足	ausreichend	Vor der Reise muss man ausreichend Wasser vorbereiten.
冲动	Impuls; impulsiv	Triff keine Entscheidung aus einem momentanen Impuls heraus.
冲击	erschüttern; Einfluss ausüben	Neue Technologien erschütterten traditionelle Branchen.
冲突	Konflikt	Beide Seiten bemühen sich, Konflikte zu vermeiden.
崇拜	verehren; bewundern	Viele junge Menschen bewundern diesen Wissenschaftler.
崇高	erhaben; edel	Die Aufgabe eines Arztes ist erhaben.
崇敬	hoch achten; verehren	Die Schüler achten diesen Lehrer sehr hoch.
重叠	sich überschneiden	Diese beiden Aufgaben überschneiden sich teilweise.
稠密	dicht besiedelt	Die Bevölkerung hier ist sehr dicht.
筹备	vorbereiten	Sie bereiten gerade die Hochzeit vor.
丑恶	hässlich; abscheulich	Er deckte die hässliche Wahrheit hinter dem Vorfall auf.
出路	Ausweg; Perspektive	Lernen kann jungen Menschen mehr Perspektiven geben.
出卖	verraten	Er würde seine Freunde nicht verraten.
出身	Herkunft	Er stammt aus einer gewöhnlichen Familie.
出神	ganz versunken sein	Sie hörte ganz versunken Musik.
出息	Aussicht; etwas aus sich machen	Dieses Kind wird später etwas aus sich machen.
初步	vorläufig; anfänglich	Wir haben bereits eine vorläufige Vereinbarung erzielt.
除	außer; ausgenommen	Außer ihm sind alle angekommen.
储备	Reserve; Vorrat anlegen	Das Unternehmen muss mehr Kapitalreserven anlegen.
储存	speichern; lagern	Diese Daten werden automatisch gespeichert.
储蓄	sparen	Er spart jeden Monat einen Teil seines Gehalts.
处分	Strafe; disziplinarische Maßnahme	Die Schule verhängte eine schwere Strafe gegen ihn.
处境	Lage; Situation	Ihre derzeitige Lage ist sehr schwierig.
处置	behandeln; entsorgen	Diese alten Geräte müssen sachgerecht entsorgt werden.
触犯	verletzen; gegen etwas verstoßen	So zu handeln verstößt gegen das Gesetz.
川流不息	ununterbrochen strömen	Die Fahrzeuge auf der Straße strömten ununterbrochen dahin.
穿越	durchqueren	Der Zug durchquerte einen langen Tunnel.
传达	weitergeben; übermitteln	Bitte gib diese Nachricht an alle weiter.
传单	Flugblatt	Freiwillige verteilten Flugblätter auf der Straße.
传授	vermitteln; weitergeben	Der Lehrer vermittelte den Schülern Erfahrung.
船舶	Schiffe	Im Hafen liegen viele Schiffe.
喘气	keuchen; nach Luft schnappen	Nach dem Lauf keuchte er ununterbrochen.
串	auffädeln; Reihe	Sie fädelte die Perlen zu einer Halskette auf.
床单	Bettlaken	Bitte wechsle das Bettlaken.
创立	gründen	Sie gründeten gemeinsam diese Firma.
创新	Neuerung; Innovation	Die Entwicklung eines Unternehmens braucht ständige Neuerung.
创业	ein Unternehmen gründen	Viele junge Menschen entscheiden sich, ein Unternehmen zu gründen.
创作	schöpferisch arbeiten; verfassen	Der Schriftsteller verfasst gerade einen langen Roman.
吹牛	prahlen	Prahle nicht, bring Beweise.
吹捧	übertrieben loben	Die Medien lobten dieses Produkt übertrieben.
炊烟	Kochrauch	Am Abend stieg im Dorf Kochrauch auf.
垂直	senkrecht	Diese beiden Linien stehen senkrecht zueinander.
锤	Hammer	Der Arbeiter schlug mit dem Hammer auf die Eisenplatte.
纯粹	rein; bloß	Seine Hilfe geschah rein aus gutem Willen.
纯洁	rein; unschuldig	Das Herz eines Kindes ist sehr rein.
慈善	Wohltätigkeit	Dieses Unternehmen nimmt oft an Wohltätigkeitsaktionen teil.
慈祥	gütig	Das Lächeln der Großmutter war sehr gütig.
磁带	Kassette; Magnetband	Diese alte Kassette lässt sich noch abspielen.
雌雄	weiblich und männlich	Bei dieser Vogelart haben Weibchen und Männchen unterschiedliche Farben.
伺候	betreuen; bedienen	Die Krankenschwester betreute den Patienten aufmerksam.
刺	Dorn; Stachel	Auf dem Rosenzweig sind viele Dornen.
次品	mangelhafte Ware	Diese mangelhafte Ware darf nicht verkauft werden.
次序	Reihenfolge	Bitte stellt euch der Reihenfolge nach an.
丛	Büschel; Gruppe	Am Straßenrand steht ein Büschel wilder Blumen.
从容	gelassen	Sie beantwortete die Frage gelassen.
凑合	sich behelfen; gerade noch gehen	Das Zimmer ist nicht groß, aber man kann darin gerade noch wohnen.
粗鲁	grob; unhöflich	Er spricht viel zu grob.
窜	hineinschießen; davonhuschen	Die Katze huschte plötzlich ins Haus.
摧残	verwüsten; schwer schädigen	Langfristige Verschmutzung wird diesen Wald schwer schädigen.
脆弱	zerbrechlich; empfindlich	Glaswaren sind sehr zerbrechlich.
搓	reiben	Er rieb sich die kalten Hände.
磋商	verhandeln; beraten	Beide Seiten werden weiter verhandeln.
挫折	Rückschlag	Jeder Mensch erlebt Rückschläge.
搭	nehmen; mitfahren	Wir nehmen den Bus zum Flughafen.
搭档	Partner; Kollege	Er ist seit vielen Jahren mein Arbeitspartner.
搭配	zusammenpassen	Diese Jacke passt gut zu der Hose.
答辩	Verteidigung; mündliche Prüfung	Die Doktoranden bereiten gerade ihre Abschlussverteidigung vor.
答复	Antwort	Bitte gib mir so bald wie möglich eine Antwort.
达成	erzielen; erreichen	Beide Seiten erzielten endlich eine Vereinbarung.
打包	einpacken	Der Kellner half uns, die Reste einzupacken.
打官司	einen Prozess führen	Sie führen wegen des Vertragsproblems einen Prozess.
打击	Schlag; treffen	Dieser Misserfolg war ein schwerer Schlag für ihn.
打架	sich prügeln	Schüler werden bestraft, wenn sie auf dem Campus prügeln.
打量	mustern	Sie musterte mich von oben bis unten.
打猎	jagen	Hier ist Jagen verboten.
打仗	Krieg führen	Niemand will Krieg führen.
大不了	schlimmstenfalls	Schlimmstenfalls versuchen wir es morgen noch einmal.
大臣	Minister	Der König empfing mehrere Minister.
大伙儿	alle; die ganze Gruppe	Alle warten auf deine Entscheidung.
大肆	im großen Stil; hemmungslos	Der Händler warb im großen Stil für das neue Produkt.
大体	im Großen und Ganzen	Im Großen und Ganzen hat der Plan kein Problem.
大意	Hauptinhalt	Bitte erzähle zuerst den Hauptinhalt dieses Artikels.
大致	ungefähr; im Wesentlichen	Ich habe den Ablauf der Sache ungefähr verstanden.
歹徒	Verbrecher; Übeltäter	Die Polizei fasste den Verbrecher sehr schnell.
代价	Preis; Kosten	Erfolg erfordert oft einen Preis.
代理	vertretungsweise übernehmen	Er übernimmt vorübergehend die Arbeit des Managers.
带领	anführen; begleiten	Der Lehrer führte die Schüler durch das Museum.
怠慢	vernachlässigen; unaufmerksam behandeln	Wir dürfen Gäste nicht unaufmerksam behandeln.
逮捕	verhaften	Die Polizei verhaftete den Hauptverdächtigen.
担保	bürgen; Garantie leisten	Die Bank verlangt, dass jemand bürgt.
胆怯	ängstlich; zaghaft	Bei seiner ersten Rede war er etwas ängstlich.
淡季	Nebensaison	In der touristischen Nebensaison sind Flugtickets günstiger.
淡水	Süßwasser	Diese Fischart kann nur im Süßwasser leben.
