source_headword	KK	example_KK
albeit	дегенмен	Жоспар жұмыс істеді, дегенмен баяу.
alert	ескерту	Қызметкерлерге дереу ескертіңіз.
align	туралау	Көрсеткілер жолмен тураланған.
alignment	туралау	Дөңгелектерді туралау көлікті басқаруды жақсартты.
alike	бірдей	Егіздер демалыс күндері бірдей киінеді.
allegation	мәлімдеме	Мәлімдеме газетте жарияланды.
allege	мәлімдеу	Олар қаражат жоғалды деп мәлімдейді.
allegedly	болжам бойынша	Жүргізуші ескертуді елемеген деп болжануда.
alliance	одақ	Партиялар уақытша одақ құрды.
allocate	бөлу	Қала мектептерге ақша бөледі.
allocation	бөлу	Орындарды бөлу әділетсіз болды.
allowance	жәрдемақы	Оның жәрдемақысы түскі ас пен көлікті өтейді.
ally	одақтас	Канада жақын одақтасқа айналды.
aluminium	алюминий	Жақтау алюминийден жасалған.
amateur	әуесқой	Суретті әуесқой фотограф түсірді.
ambassador	елші	Елші жергілікті студенттермен кездесті.
amend	өзгерту	Парламент заңға өзгеріс енгізуге дауыс берді.
amendment	түзету	Түзету бір абзацты өзгертті.
amid	арасында	Сөз сөйлеу шиеленіс күшейген кезде болды.
analogy	аналогия	Мұғалім қарапайым аналогияны қолданды.
anchor	зәкір	Қайық аралдың жанында зәкір тастады.
angel	періште	Бала періште костюмін киген.
anonymous	анонимді	Шағым анонимді болды.
apparatus	аппарат	Зертханалық аппаратты тазалау қажет.
appealing	тартымды	Ұсыныс студенттерге тартымды болып көрінеді.
appetite	тәбет	Жаттығу оның тәбетін арттырды.
applaud	қол шапалақтау	Көрермендер қатты қол шапалақтай бастады.
applicable	қолданылады	Жеңілдік бүгін қолданылады.
appoint	тағайындау	Басқарма директорды тағайындайды.
appreciation	ризашылық	Ол олардың көмегі үшін ризашылығын білдірді.
arbitrary	ерікті	Мерзім қызметкерлерге ерікті болып көрінді.
architectural	сәулеттік	Қала өзінің сәулеттік мұрасын қорғайды.
archive	мұрағат	Мұрағат ескі фотосуреттерді сақтайды.
arena	арена	Пікірталас қоғамдық аренаға ауысты.
arguably	даусыз	Бұл оның ең жақсы романы екені даусыз.
arm	қаруландыру	Күзетшілер конвойды қаруландырады.
array	қатар	Дүкен құралдардың қатарын ұсынады.
articulate	анық айту	Ол күрделі идеяларды анық айта алады.
ash	күл	Өрттен кейін көлікті күл басты.
aspiration	ұмтылыс	Оның ұмтылысы хирург болу.
aspire	ұмтылу	Көптеген студенттер шетелде оқуға ұмтылады.
assassination	қастандық	Қастандық елдің саясатын өзгертті.
assault	шабуыл	Шабуыл станцияның жанында болды.
assemble	жинау	Жұмысшылар жиһазды қолмен жинайды.
assembly	жиналыс	Мектеп жиналысы сағат тоғызда басталады.
assert	бекіту	Ол өз билігін көрсетуге тырысты.
assertion	тұжырым	Оның тұжырымы панельді таң қалдырды.
assurance	сенім	Менеджер қолдау көрсетуге сенім білдірді.
asylum	баспана	Отбасы шекарада баспана сұрады.
atrocity	қатыгездік	Фильм соғыс кезіндегі қатыгездікті сипаттады.
attain	жету	Бұл жылдамдыққа аз ғана жүгірушілер жетеді.
attendance	сабаққа қатысу	Хабарландырудан кейін сабаққа қатысу жақсарды.
attorney	адвокат	Адвокат куәгерден жауап алды.
attribute	байланыстыру	Ғалымдар өсімді ластанумен байланыстырады.
audit	аудит	Аудит бірнеше қатені тапты.
authentic	түпнұсқа	Мейрамхана түпнұсқа аймақтық тағамдар ұсынады.
authorize	рұқсат беру	Тек менеджерлер ғана ақшаны қайтаруға рұқсат бере алады.
auto	автомобиль	Автомобиль өнеркәсібі тез өзгерді.
autonomy	автономия	Аймақ көбірек автономияны қалайды.
availability	қолжетімділік	Орындардың қолжетімділігі шектеулі.
await	күту	Бірнеше хабарлама сіздің жауабыңызды күтуде.
backdrop	фон	Таулар драмалық фон құрады.
backing	қолдау	Ұсыныс сайлаушылардың қолдауына ие болды.
backup	сақтық көшірме	Жүйе күн сайын сақтық көшірме жасайды.
bail	кепілдік	Судья түсте кепілдік тағайындады.
ballot	сайлау бюллетені	Әр сайлаушы сайлау бюллетенін алды.
banner	баннер	Баннер кіреберістің үстінде ілулі тұрды.
bare	жалаңаш	Бөлменің қабырғалары жалаңаш болды.
barrel	бөшке	Бөшке суға толы болды.
bass1	бас	Бас терең және жылы естілді.
battlefield	ұрыс даласы	Ескі ұрыс даласы мемориалға айналды.
bay	шығанақ	Ауыл тыныш шығанақтың жанында орналасқан.
beam	арқалық	Болат арқалық шатырды ұстап тұрады.
beast	аң	Оқиға қатыгез аңды сипаттайды.
behalf	атынан	Ол өз командасының атынан сөйледі.
beloved	сүйікті	Сүйікті мұғалім бүгін зейнетке шықты.
bench	орындық	Олар ағаш орындықта отырды.
benchmark	эталон	Сынақ салалық эталонға айналды.
beneath	астында	Құжаттар папканың астында болды.
beneficiary	бенефициар	Оның ұлы негізгі бенефициар болды.
betray	сатқындық жасау	Досыңыздың сеніміне сатқындық жасамаңыз.
bind	міндеттеу	Келісім екі компанияны да міндеттейді.
biography	өмірбаяны	Оның өмірбаяны көп данамен сатылды.
bishop	епископ	Епископ ауыл шіркеуіне барды.
bizarre	оғаш	Фильмнің соңы оғаш болды.
blade	жүз	Жүз арқанды кесіп тастады.
blast	жарылыс	Жарылыс жақын маңдағы терезелерді сындырды.
bleed	қан кету	Кесілген жерден қатты қан кете бастады.
blend	араластыру	Тұздықты біркелкі болғанша араластырыңыз.
bless	бата беру	Діни қызметкер үйге бата береді.
blessing	нығмет	Қолдаудың болуы үлкен нығмет болды.
boast	мақтану	Ол ақшамен мақтанғанды ​​жақсы көреді.
bonus	сыйақы	Қызметкерлер мерекелік сыйақы алды.
boom	бум	Қалада құрылыс бумы болды.
bounce	секіру	Доп өте биікке секіре алады.
boundary	шекара	Өзен шекараны белгілейді.
bow1	тағзым ету	Актер терең тағзым етті.
breach	бұзу	Бұзушылық жеке деректерді әшкереледі.
breakdown	бөлініс	Есепте шығындардың бөлінісі бар.
breakthrough	серпіліс	Бұл жаңалық үлкен серпіліс болды.
breed	көбею	Бұл құстар көктемде көбейеді.
broadband	кең жолақты байланыс	Кеңсеге жылдамырақ кең жолақты байланыс қажет.
browser	браузер	Жүйеге кірмес бұрын браузеріңізді жаңартыңыз.
brutal	қатыгез	Шабуыл қатыгез әрі кенеттен болды.
buck	доллар	Билет он бакс тұрады.
buddy	дос	Оның досы сыртта күтіп тұрды.
buffer	буфер	Ағаштар шу буферін жасайды.
bulk	үлкен көлем	Олар күрішті көп мөлшерде сатып алды.
burden	ауыртпалық	Қарыз ауыр жүк болды.
bureaucracy	бюрократия	Бюрократия рұқсатты кешіктірді.
burial	жерлеу	Жерлеу таң ата өтті.
burst	жарылу	Құбыр қысыммен жарылып кетуі мүмкін.
cabinet	министрлер кабинеті	Министрлер кабинеті жоспарды мақұлдады.
calculation	есептеу	Есептеу бірнеше минутты алды.
canvas	кенеп	Суретші үлкен кенепке сурет салды.
capability	мүмкіндік	Құрылғының сымсыз мүмкіндігі бар.
capitalism	капитализм	Капитализм қазіргі экономиканы қалыптастырды.
capitalist	капиталистік	Капиталистік жүйе жеке инвестицияларды марапаттайды.
cargo	жүк	Кеме медициналық жүк тасымалдады.
carriage	вагон	Пойыз вагоны дерлік бос болды.
carve	ою	Ол ағашты мұқият ояды.
casino	казино	Қонақ үйдің жанында казино ашылды.
casualty	құрбан	Апаттан бір адам құрбан болды.
catalogue	каталог	Каталог әрбір өнімді тізімдейді.
cater	қызмет көрсету	Мейрамхана үлкен іс-шараларға қызмет көрсете алады.
cattle	ірі қара мал	Ірі қара өзен жағасында жайылды.
caution	сақтық	Мұзды жолдарда сақ болыңыз.
cautious	сақ	Инвесторлар осы аптада сақ болып отыр.
cease	тоқтату	Зауыт жақында өндірісті тоқтатады.
cemetery	зират	Зират теңізге қарап тұр.
chamber	палата	Дауыс беру кезінде палата тыныш болды.
chaos	хаос	Кешігу әуежайда бейберекетсіздік тудырды.
characterize	сипаттау	Сарапшылар жоспарды қауіпті деп сипаттайды.
charm	сүйкімділік	Қаланың ескі әлемге тән сүйкімділігі бар.
charter	жарғы	Жарғы негізгі құқықтарды қорғайды.
chronic	созылмалы	Ол созылмалы арқа ауруынан зардап шегеді.
chunk	бөлік	Ірімшікті кесек етіп кесіңіз.
circulate	тарату	Бүгін күн тәртібін таратыңыз.
circulation	таралым	Газеттің таралымы күрт төмендеді.
citizenship	азаматтық	Ол Франция азаматтығын алуға өтініш берді.
civic	азаматтық	Кездесуге азаматтық көшбасшылар қатысты.
civilian	бейбіт тұрғын	Бірнеше бейбіт тұрғындардың үйлері зақымдалды.
clarity	айқындық	Диаграмма есепке айқындық қосты.
clash	қақтығыс	Қақтығыс шеруден кейін басталды.
classification	жіктеу	Жіктеу өлшемге байланысты.
cling	жабысу	Ылғал киімдер теріге жабысады.
clinical	клиникалық	Клиникалық сынақ келесі айда басталады.
closure	жабылу	Отбасы істен кейін тыныштық тапқысы келді.
cluster	шоғыр	Жақын жерде үйлер шоғыры тұрды.
coalition	коалиция	Коалиция көпшілік дауысынан айырылды.
coastal	жағалаудағы	Жағалаудағы ауылдар су тасқынына дайындалды.
cocktail	коктейль	Ол жеміс коктейліне тапсырыс берді.
cognitive	танымдық	Танымдық дағдылар тәжірибемен жақсарады.
coincide	тұспа-тұс келу	Фестиваль бітіру кешімен тұспа-тұс келеді.
collaborate	ынтымақтасу	Командалар бағдарламалық жасақтама бойынша ынтымақтасады.
collaboration	ынтымақтастық	Олардың ынтымақтастығы жақсы нәтиже берді.
collective	ұжымдық	Бұл шешім ұжымдық күш-жігердің нәтижесі болды.
collision	соқтығысу	Соқтығысу тас жолды жауып тастады.
colonial	отаршылдық	Ғимаратта отаршылдық сәулет өнері бар.
columnist	шолушы	Шолушы саясатты сынға алды.
combat	ұрыс	Сарбаздар ұрысқа жаттықты.
commence	басталу	Рәсім түсте басталады.
commentary	түсініктеме	Матчтың түсініктемесі қызықты өтті.
commentator	комментатор	Комментатор шешімді түсіндірді.
commerce	коммерция	Онлайн коммерция тез өсті.
commissioner	комиссар	Комиссар жаңа ережелерді жариялады.
commodity	тауар	Бидай – маңызды тауар.
communist	коммунистік	Коммунистік партия жиналыс өткізді.
companion	серік	Оның иті – адал серік.
comparable	салыстырмалы	Екі қала көлемі бойынша салыстырмалы.
compassion	жанашырлық	Мейірбике үлкен жанашырлық танытты.
compel	мәжбүрлеу	Дәлелдер жауап беруге мәжбүр етуі мүмкін.
compelling	нанымды	Деректі фильм нанымды дәлелдер келтірді.
compensate	өтемақы төлеу	Компания зардап шеккен тұтынушыларға өтемақы төлейді.
compensation	өтемақы	Жұмысшылар әділ өтемақы талап етті.
competence	құзыреттілік	Тест кәсіби құзыреттілікті өлшейді.
competent	білікті	Ол – білікті инженер.
compile	жинау	Зерттеушілер ауруханалардан деректер жинайды.
complement	толықтыру	Шарап тағамды толықтырады.
complexity	күрделілік	Жобада күтпеген күрделілік бар.
compliance	сәйкестік	Аудит заңға сәйкестігін тексерді.
complication	асқыну	Ота кезінде бір асқыну болды.
comply	орындау	Компаниялар ережелерді орындауы керек.
composition	композиция	Композицияға скрипка мен фортепиано кіреді.
compromise	ымыра	Ымыра екі тарапты да қанағаттандырды.
compute	есептеу	Бағдарлама жалпы соманы есептей алады.
conceal	жасыру	Ол зақымды жасыруға тырысты.
concede	мойындау	Министр жеңілісін мойындаудан бас тартты.
conceive	ойлап табу	Олар бұдан жақсы жоспар ойлап таба алмады.
conception	түсінік	Фильм менің тарих туралы түсінігімді өзгертті.
concession	жеңілдік	Компания бір жеңілдік ұсынды.
condemn	айыптау	Көшбасшылар шабуылды ашық түрде айыптайды.
confer	беру	Жүлде бедел береді.
confession	мойындау	Оның мойындауы сотты таңғалдырды.
configuration	конфигурация	Конфигурация желіге қол жеткізуді басқарады.
confine	шектеу	Ережелер иттерді осы аймақпен шектейді.
confirmation	растау	Біз электрондық пошта арқылы растау алдық.
confront	қарсы тұру	Ол мәселеге қарсы тұруға шешім қабылдады.
confrontation	текетірес	Текетірес зорлық-зомбылықсыз аяқталды.
congratulate	құттықтау	Мен әпкемді құттықтау үшін қоңырау шалдым.
congregation	қауым	Қауым бірге ән айтты.
congressional	конгрестік	Конгрестік тыңдаулар бірнеше сағатқа созылды.
conquer	бағындыру	Команда нарықты бағындыруға үміттенеді.
conscience	ар-ұждан	Оның ар-ұжданы өтірік айтуға жол бермейді.
consciousness	сана	Апат оның санасына әсер етті.
consecutive	қатарынан	Ол қатарынан үш матчта жеңіске жетті.
consensus	консенсус	Комитет тез арада консенсусқа келді.
consent	келісім	Жазбаша келісім қажет.
conserve	үнемдеу	Құрғақшылық кезінде біз суды үнемдейміз.
consistency	жүйелілік	Тіл үйренуде жүйелілік маңызды.
consolidate	біріктіру	Компания екі кеңсені біріктіреді.
constituency	сайлау округі	Үміткер әр сайлау округіне барды.
constitute	құрау	Әйелдер комитеттің жартысын құрайды.
constitution	конституция	Конституция сөз бостандығына кепілдік береді.
constitutional	конституциялық	Сот конституциялық құқықтарды қайта қарады.
constraint	шектеу	Бюджеттік шектеу жобаны шектеді.
consultation	кеңес беру	Кеңес беру екі аптаға созылды.
contemplate	ойлану	Ол ұсынысты ойлану үшін кідірді.
contempt	менсінбеушілік	Ол ережелерге менсінбеушілік танытты.
contend	жарысу	Келісімшарт үшін бірнеше фирма жарысуда.
contender	үміткер	Ол – мықты үміткер.
content2	қанағаттанған	Ол нәтижеге қанағаттанды.
contention	дау	Негізгі дау қаржыландыруға қатысты.
continually	үнемі	Жүйе үнемі қателерді тексереді.
contractor	мердігер	Мердігер шатырды жөндеді.
contradiction	қайшылық	Оның мәлімдемесінде қайшылық болды.
contrary	қарама-қайшы	Қарама-қайшы дәлелдер істі өзгертті.
contributor	үлес қосушы	Ол – тұрақты үлес қосушы.
conversion	айырбастау	Айырбастау долларды еуроға айналдырды.
convict	айыптау	Алқабилер күдіктіні айыптауы мүмкін.
conviction	соттылық	Оның сотталуы жұртшылықты таңғалдырды.
cooperate	ынтымақтасу	Тергеумен ынтымақтасуыңызды сұраймыз.
cooperative	ынтымақтас	Қызметкерлер ынтымақтас әрі сабырлы болды.
coordinate	үйлестіру	Олар күн сайын таңертең жеткізуді үйлестіреді.
coordination	үйлестіру	Жақсы үйлестіру уақытты үнемдеді.
coordinator	үйлестіруші	Үйлестіруші әр тапсырманы тағайындады.
cop	полиция қызметкері	Бекеттің сыртында полиция қызметкері тұрды.
copper	мыс	Құбыр мыстан жасалған.
copyright	авторлық құқық	Сурет авторлық құқықпен қорғалған.
correction	түзету	Мұғалім бір түзету енгізді.
correlate	байланысты болу	Жоғары күйзеліс аурумен байланысты болуы мүмкін.
correlation	өзара байланыс	Зерттеу күшті өзара байланысты анықтады.
correspond	сәйкес келу	Бұл сандар белгілерге сәйкес келеді.
correspondence	хат-хабар	Олардың хат-хабарлары бірнеше жылға созылды.
correspondent	тілші	Тілші Каирден хабарлады.
corresponding	сәйкес	Әр батырманың тиісті жарығы бар.
corrupt	жемқор	Жемқор шенеунік ақша алды.
corruption	сыбайлас жемқорлық	Сыбайлас жемқорлық қоғамдық сенімді әлсіретті.
costly	қымбат	Бұл қате командаға қымбатқа түсті.
councillor	мәслихат депутаты	Депутат тұрғындардың сұрақтарына жауап берді.
counselling	кеңес беру	Ол апаттан кейін психологиялық кеңес алды.
counsellor	кеңесші	Кеңесші жаңа студенттерге көмектесті.
counter (argue against)	қарсы шығу	Ол оның дәлеліне қарсы шығуға тырысты.
counterpart	әріптес	Ол жапондық әріптесімен кездесті.
countless	сансыз	Іздеуге сансыз еріктілер қосылды.
coup	төңкеріс	Төңкеріс президентті орнынан алды.
courtesy	ілтипат	Ол оларға ілтипаты үшін алғыс айтты.
