source_headword	SL	example_SL
printing	tiskanje	Tiskanje poročila je trajalo nekaj minut.
prisoner	zapornik	Zapornik je ponoči pobegnil.
private	zaseben	To je zaseben pogovor.
producer	producent	Producentu je bil film všeč.
production	proizvodnja	Proizvodnja se začne naslednji teden.
profession	poklic	Poučevanje je spoštovan poklic.
profit	dobiček	Trgovina je ustvarila dobiček.
promote	spodbujati	Spodbujajo zdravo prehrano.
proper	primeren	Za pohodništvo nosi primerne čevlje.
properly	pravilno	Pravilno zapri vrata.
property	nepremičnina	Kupili so nepremičnino ob reki.
protest	protest	Protest se je končal mirno.
proud	ponosen	Bila je ponosna na svojega sina.
prove	dokazati	Lahko dokažeš svoj odgovor?
punish	kaznovati	Učitelj ga ni kaznoval.
punishment	kazen	Kazen se je zdela pravična.
qualification	kvalifikacija	Za to delo potrebuješ kvalifikacijo.
qualified	usposobljen	Je usposobljena medicinska sestra.
qualify	uvrstiti se	Naša ekipa se lahko uvrsti.
queue	vrsta	Čakali smo v dolgi vrsti.
quit	prenehati	Odločil se je prenehati kaditi.
quotation	citat	Esej se začne s citatom.
quote	citirati	Lahko citiram tvoje besede?
race (people)	rasa	Obrazec sprašuje po rasi.
racing	dirke	Konjske dirke so tam priljubljene.
range	razpon	Trgovina prodaja širok razpon.
rare	redek	Ta ptica je redka.
rarely	redko	Redko jemo zunaj.
reaction	reakcija	Njena reakcija me je presenetila.
reality	resničnost	Resničnost je bila drugačna od njegovih sanj.
receipt	račun	Shrani račun.
recommendation	priporočilo	Hvala za priporočilo.
reference	referenca	Na koncu dodaj referenco.
reflect	odražati	Ogledalo lahko odraža svetlobo.
regularly	redno	Redno telovadi.
reject	zavrniti	Lahko zavrnejo ponudbo.
relate	poistovetiti se	Lahko se poistovetim s to zgodbo.
related	povezan	Težavi sta povezani.
relation	odnos	Med njima obstaja odnos.
relative	relativen	Hitrost je relativna.
relaxed	sproščen	Po večerji se je počutil sproščeno.
relaxing	sproščujoč	Glasba je bila sproščujoča.
release	izdati	Kmalu bodo izdali film.
reliable	zanesljiv	Ta avtobus je običajno zanesljiv.
religion	religija	Religija ji je pomembna.
religious	verski	Obiskali so versko stavbo.
remain	ostati	Prosim, ostani miren.
remind	opomniti	Opomni me jutri.
remote	oddaljen	Živijo v oddaljeni vasi.
rent	najemnina	Najemnina zapade danes.
repeated	ponavljajoč se	Ponavljajoče se napake so upočasnile delo.
represent	predstavljati	Zvezda predstavlja upanje.
require	zahtevati	To delo bo zahtevalo usposabljanje.
reservation	rezervacija	Naredil sem rezervacijo.
resource	vir	Knjižnica je koristen vir.
respect	spoštovati	Spoštuj svoje sošolce.
responsibility	odgovornost	Skrb za otroke je velika odgovornost.
responsible	odgovoren	Ona je odgovorna za vstopnice.
retire	upokojiti se	Moj oče se bo kmalu upokojil.
retired	upokojen	Je upokojeni učitelj.
revise	pregledati	Nocoj preglej svoj esej.
risk	tveganje	Obstaja tveganje za dež.
robot	robot	Robot je očistil tla.
roll	zavrteti	Zavrti žogo proti meni.
romantic	romantičen	Imela sta romantično večerjo.
rope	vrv	Trdno priveži vrv.
rough	neraven	Cesta je bila neravna.
row1	vrsta	Sedi v prvo vrsto.
royal	kraljevski	Kraljeva družina je prispela.
rugby	ragbi	Gledali smo ragbi po televiziji.
safety	varnost	Varnost je pomembna pri delu.
sailor	mornar	Mornar je popravil čoln.
sample	vzorec	Medicinska sestra je vzela vzorec krvi.
sand	pesek	Pesek mi je prekril čevlje.
scan	skenirati	Najprej skeniraj dokument.
scientific	znanstven	To je znanstvena metoda.
script	scenarij	Igralec je prebral scenarij.
sculpture	kip	Kip stoji zunaj.
secondary	sekundaren	To je sekundarna težava.
security	varnost	Varnostniki so preverili naše torbe.
seed	seme	Posadi seme v zemljo.
sensible	razumen	To je razumna ideja.
seriously	resno	To težavo vzemi resno.
servant	služabnik	Služabnik je odprl vrata.
set (put)	postaviti	Postavi kozarec na mizo.
set (group)	komplet	Ta komplet vključuje šest skodelic.
setting	okolje	Zgodba ima mestno okolje.
sex	spol	Obrazec sprašuje po starosti in spolu.
sexual	spolni	Razred je razpravljal o spolnem zdravju.
sharp	oster	Ta nož je oster.
shelf	polica	Položi knjigo na polico.
shell	lupina	Lupina je bila prazna.
shift	izmena	Moja izmena se začne ob osmih.
shine	sijati	Zvezde sijejo ponoči.
shiny	sijoč	Njeni čevlji so sijoči.
shoot	snemati	Fotograf bo snemal prizor.
shy	sramežljiv	Z neznanci je sramežljiv.
sight	prizor	Gora je bila čudovit prizor.
signal	signal	Signal je bil šibek.
silent	tih	Soba je postala tiha.
silly	neumen	To je bila neumna napaka.
similarity	podobnost	Obstaja jasna podobnost.
similarly	podobno	Drugi načrt deluje podobno.
simply	preprosto	Preprosto pritisni ta gumb.
sink	potoniti	Težki kamni hitro potonejo.
slice	rezina	Pojedel sem rezino torte.
slightly	rahlo	Soba je rahlo toplejša.
smart	eleganten	Nosila je elegantno jakno.
smooth	gladek	Cesta je gladka.
software	programska oprema	Programska oprema potrebuje posodobitev.
soil	prst	Prst je suha.
solid	trden	Zid je trden.
southern	južni	Živijo na južni obali.
specifically	posebej	Posebej sem prosil za čaj.
spending	poraba	Vladna poraba se je povečala.
spicy	pikanten	Ta kari je pikanten.
spirit	duh	Ekipa je pokazala velik duh.
spoken	govorjeni	Govorjena angleščina se izboljša z vajo.
spot	mesto	To mesto je popolno.
spread	namazati	Na kruh namaži maslo.
stadium	stadion	Stadion je bil poln.
staff	osebje	Osebje je bilo prijazno.
standard	standard	Standard je bil visok.
statistic	statistika	Ta statistika je presenetljiva.
statue	kip	Kip stoji na trgu.
stick (push into/attach)	prilepiti	Prilepi etiketo na škatlo.
stick (piece of wood)	palica	Pobral je palico.
