simplified	HY	example_HY
报社	թերթի խմբագրություն; թերթի գրասենյակ	Նա աշխատում է թերթի խմբագրությունում։
抱怨	բողոքել; դժգոհել	Նա միշտ բողոքում է, որ աշխատանքը շատ է։
悲观	հոռետես; հոռետեսական	Շատ հոռետես մի եղիր։
背	մեջք; մեջքով շրջվել	Նա նստած է դռանը մեջքով։
背景	ֆոն; նախապատմություն; համատեքստ	Խնդրում եմ, կարճ ներկայացրեք ձեր նախապատմությունը։
被子	վերմակ	Վերմակը շատ տաք է։
本科	բակալավրիատ; բակալավրիատի	Նա բակալավրիատի ուսանող է։
本领	հմտություն; կարողություն	Նա նոր հմտություն սովորեց։
本质	էություն; բնույթ	Խնդրի էությունը շատ պարզ է։
彼此	միմյանց; իրար	Մենք պետք է միմյանց հարգենք։
比例	համամասնություն; հարաբերակցություն	Տղամարդկանց ու կանանց հարաբերակցությունը մոտավորապես նույնն է։
必然	անխուսափելի; անպայման	Ջանքերը անպայման արդյունք կտան։
必要	անհրաժեշտ; պարտադիր	Անհանգստանալու անհրաժեշտություն չկա։
毕竟	ի վերջո; վերջիվերջո	Ի վերջո նա դեռ երեխա է։
避免	խուսափել; կանխել	Խնդրում եմ, խուսափեք ուշանալուց։
编辑	խմբագրել; խմբագիր	Նա պատասխանատու է այս հոդվածը խմբագրելու համար։
鞭炮	ճայթուկ; հրավառ ճայթուկ	Գարնան տոնին մարդիկ ճայթուկներ են պայթեցնում։
便	ապա; հենց; հարմար	Նա ուտելուց հետո գնաց դասի։
辩论	բանավեճ; բանավիճել	Նրանք բանավիճում են այս հարցի շուրջ։
标点	կետադրություն; կետադրական նշան	Խնդրում եմ, ուշադրություն դարձրեք կետադրությանը։
标志	նշան; խորհրդանիշ	Կարմիր լույսը կանգնելու նշան է։
表达	արտահայտել; փոխանցել	Նա արտահայտեց իր կարծիքը։
表面	մակերես; արտաքին կողմ	Սեղանի մակերեսը շատ մաքուր է։
表明	ցույց տալ; պարզ դարձնել	Արդյունքը ցույց է տալիս, որ նա ճիշտ է։
表情	դեմքի արտահայտություն	Նրա դեմքի արտահայտությունը շատ լուրջ է։
表现	դրսևորել; հանդես գալ; կատարում	Նա այսօր շատ լավ հանդես եկավ։
冰激凌	պաղպաղակ	Երեխաները սիրում են պաղպաղակ ուտել։
病毒	վիրուս	Այս վիրուսը շատ արագ է տարածվում։
播放	նվագարկել; հեռարձակել	Խնդրում եմ, նվագարկեք այս երգը։
玻璃	ապակի; ապակյա	Ապակյա բաժակը կոտրվեց։
博物馆	թանգարան	Մենք հանգստյան օրերին թանգարան ենք գնալու։
脖子	պարանոց	Պարանոցս մի քիչ ցավում է։
不断	անընդհատ; շարունակաբար	Գները անընդհատ բարձրանում են։
不见得	պարտադիր չէ; գուցե ոչ	Սա պարտադիր չէ, որ վատ բան լինի։
不耐烦	անհամբեր; նյարդայնացած	Երկար սպասելուց հետո նա մի քիչ նյարդայնացավ։
不要紧	կարևոր չէ; ոչինչ; լուրջ չէ	Ոչինչ, կարևոր չէ։
补充	լրացնել; ավելացնել	Ես ուզում եմ մի կարծիք ավելացնել։
不安	անհանգիստ; տագնապած	Այս լուրը լսելուց հետո նա անհանգստացավ։
不得了	սարսափելի; շատ լուրջ; չափազանց	Այս գործը իսկապես շատ լուրջ է։
不然	այլապես; հակառակ դեպքում	Արագ գնա, այլապես կուշանաս։
不如	ավելի լավ է; այնքան լավ չէ, որքան	Մեքենայով գնալու փոխարեն ավելի լավ է քայլել։
不足	անբավարար; պակաս	Այստեղ ջուրը բավարար չէ։
布	կտոր; գործվածք	Այս կտորը շատ փափուկ է։
步骤	քայլ; փուլ	Խնդրում եմ, գործեք ըստ քայլերի։
部门	բաժին; վարչություն	Ես աշխատում եմ վաճառքի բաժնում։
财产	գույք; ունեցվածք	Այս տունը նրա գույքն է։
彩虹	ծիածան	Անձրևից հետո ծիածան հայտնվեց։
踩	տրորել; ոտքով կանգնել	Խոտը մի տրորեք։
采访	հարցազրույց վերցնել; լրագրական նյութ հավաքել	Լրագրողը հարցազրույց է վերցնում բժշկից։
采取	ձեռնարկել; ընդունել միջոց	Մենք նոր միջոց ձեռնարկեցինք։
参考	հղում; խորհրդակցել; օգտվել	Խնդրում եմ, օգտվեք այս գրքից։
参与	մասնակցել	Նա ակտիվորեն մասնակցում է միջոցառումներին։
惭愧	ամաչել; ամոթ զգալ	Ես ամաչում եմ իմ սխալի համար։
操场	մարզադաշտ; խաղահրապարակ	Ուսանողները վազում են մարզադաշտում։
操心	անհանգստանալ; մտահոգվել	Ինձ համար մի անհանգստացիր։
册	հատոր; գիրք; գրքերի հաշվիչ բառ	Ես մի հատոր գիրք գնեցի։
测验	ստուգողական; թեստ	Վաղը փոքր ստուգողական կա։
曾经	երբևէ; մի ժամանակ	Ես մի ժամանակ Պեկինում եմ ապրել։
叉子	պատառաքաղ	Ես աղցանը պատառաքաղով եմ ուտում։
差距	տարբերություն; բաց	Քաղաքի և գյուղի միջև տարբերություն կա։
插	մտցնել; խրել; տեղադրել	Խնդրում եմ, ծաղիկները դրեք ծաղկամանի մեջ։
拆	քանդել; բացել; ապամոնտաժել	Բանվորները քանդում են հին տունը։
产品	արտադրանք; ապրանք	Այս արտադրանքի որակը շատ լավն է։
产生	առաջանալ; ծագել; առաջ բերել	Այս հարցը նոր ազդեցություն առաջացրեց։
常识	ընդհանուր գիտելիք; առողջ բանականություն	Սա հիմնական ընդհանուր գիտելիք է։
长途	երկար ճանապարհ; հեռավոր	Երկար ճանապարհորդությունը հոգնեցուցիչ է։
抄	արտագրել; պատճենել	Խնդրում եմ, ուրիշների տնային աշխատանքը մի արտագրեք։
超级	գեր; սուպեր; չափազանց	Սա մի սուպերմարկետ է։
朝	դինաստիա; արքունիք	Թան դինաստիան շատ հայտնի է։
潮湿	խոնավ	Հարավում ամառները շատ խոնավ են։
吵	աղմկոտ; աղմկել	Դրսում շատ աղմկոտ է։
吵架	վիճել; կռվել	Նրանք նորից վիճեցին։
炒	տապակել; խառնելով տապակել	Մայրիկը բանջարեղեն է տապակում։
车库	ավտոտնակ	Մեքենան կանգնած է ավտոտնակում։
车厢	վագոն; սրահ	Այս վագոնը շատ հանգիստ է։
彻底	լիովին; ամբողջությամբ; հիմնովին	Նա վերջապես ամեն ինչ լիովին հասկացավ։
沉默	լռություն; լռել	Նա ամբողջ ժամանակ լռություն էր պահպանում։
趁	քանի դեռ; օգտվելով առիթից	Քանի դեռ չի մթնել, գնանք։
称	կշռել; կոչել	Խնդրում եմ, կշռեք այս ծանրոցը։
称呼	դիմել; կոչել; անվանում	Ես չգիտեմ՝ նրան ինչպես դիմել։
称赞	գովել; բարձր գնահատել	Ուսուցիչը գովեց նրա առաջընթացը։
成分	բաղադրիչ; կազմ	Այս դեղի բաղադրությունը շատ պարզ է։
成果	արդյունք; ձեռքբերում	Այս նախագիծը արդյունք տվեց։
成就	նվաճում; ձեռքբերում	Նա կարիերայում մեծ նվաճումներ ունի։
成立	հիմնվել; ստեղծվել	Ընկերությունը հիմնվել է անցյալ տարի։
成人	չափահաս; մեծահասակ	Չափահասի տոմսը մանկականից թանկ է։
成熟	հասուն; հասնել	Խնձորները արդեն հասել են։
成语	դարձվածք; կայուն արտահայտություն	Այս դարձվածքը շատ հաճախ է օգտագործվում։
成长	աճել; զարգանալ	Երեխան կամաց-կամաց աճում է։
承担	ստանձնել; կրել պատասխանատվություն	Նա պատրաստ է պատասխանատվություն ստանձնել։
承认	ընդունել; խոստովանել	Նա ընդունեց, որ սխալվել է։
承受	դիմանալ; կրել	Ես չեմ կարող դիմանալ այդքան մեծ ճնշմանը։
程度	մակարդակ; աստիճան	Նրա չինարենի մակարդակը բարձր է։
程序	կարգ; ընթացակարգ; ծրագիր	Խնդրում եմ, ձևակերպեք ըստ ընթացակարգի։
诚恳	անկեղծ; սրտանց	Նրա վերաբերմունքը շատ անկեղծ է։
吃亏	տուժել; վնաս կրել	Գնումներ անելուց առաջ լավ նայիր, որ չտուժես։
持续	շարունակվել; տևել	Անձրևը շարունակվեց երեք օր։
池塘	լճակ	Լճակում շատ ձուկ կա։
迟早	վաղ թե ուշ	Դու վաղ թե ուշ կհասկանաս։
尺子	քանոն	Խնդրում եմ, քանոնով չափիր։
翅膀	թև; թռչնի թև	Թռչնի թևը վնասվել է։
充电器	լիցքավորիչ	Իմ լիցքավորիչը փչացել է։
充分	բավարար; լիարժեք	Մենք լիարժեք պատրաստվել ենք։
充满	լցված լինել; լի լինել	Սենյակը լցված էր ծիծաղով։
冲	ողողել; լվանալ ջրով; շտապել	Խնդրում եմ, բաժակը ջրով ողողիր։
重复	կրկնել; կրկնություն	Խնդրում եմ, նույն սխալը մի կրկնիր։
宠物	ընտանի կենդանի	Նա մի շուն է պահում որպես ընտանի կենդանի։
抽屉	դարակ	Բանալին դարակում է։
抽象	վերացական	Այս հասկացությունը չափազանց վերացական է։
丑	տգեղ	Այս լուսանկարը մի քիչ տգեղ է։
臭	գարշահոտ; վատ հոտ ունեցող	Աղբը շատ գարշահոտ է։
出版	հրատարակել; լույս տեսնել	Այս գիրքը լույս է տեսել անցյալ տարի։
出口	ելք; արտահանում	Ելքը առջևում է։
出色	գերազանց; աչքի ընկնող	Նրա կատարումը գերազանց էր։
出示	ցույց տալ; ներկայացնել	Խնդրում եմ, ցույց տվեք ձեր անձնագիրը։
出席	ներկա լինել; մասնակցել	Նա ներկա կլինի ժողովին։
初级	սկզբնական; տարրական	Ես չինարեն եմ սովորում սկզբնական խմբում։
除非	եթե միայն; եթե ոչ	Եթե անձրև չգա, մենք վաղը սար ենք բարձրանալու։
除夕	չինական նոր տարվա նախօրե	Չինական նոր տարվա նախօրեին մեր ամբողջ ընտանիքը միասին է ճաշում։
处理	մշակել; լուծել; կարգավորել	Ես կլուծեմ այս խնդիրը։
传播	տարածել; տարածվել	Այս լուրը շատ արագ տարածվեց։
传染	վարակել; վարակվել	Մրսածությունը հեշտությամբ է փոխանցվում։
传说	ավանդություն; լեգենդ	Սա հին լեգենդ է։
传统	ավանդույթ; ավանդական	Գարնան տոնը Չինաստանի ավանդական տոնն է։
窗帘	վարագույր	Խնդրում եմ, բացիր վարագույրները։
闯	ներխուժել; խախտել; անզգուշությամբ անցնել	Նա պատահաբար կարմիր լույսի տակ անցավ։
创造	ստեղծել	Մարդիկ նոր գործիքներ ստեղծեցին։
吹	փչել	Քամին ուժեղ է փչում։
词汇	բառապաշար; բառ	Այս բառը շատ հաճախ է օգտագործվում։
辞职	հրաժարական տալ; աշխատանքից դուրս գալ	Նա որոշեց աշխատանքից դուրս գալ։
此外	բացի այդ	Բացի այդ, ես ևս մեկ հարց ունեմ։
刺激	գրգռել; հուզիչ; սուր	Այս խաղը շատ հուզիչ է։
次要	երկրորդական	Այս հարցը երկրորդական է։
匆忙	շտապ; հապճեպ	Նա շտապ դուրս եկավ տնից։
从此	այդ պահից; դրանից հետո	Այդ պահից նա ամեն օր մարզվում է։
从而	դրանով; այդպիսով	Նա ջանասիրաբար սովորեց և այդպիսով քննությունը հանձնեց։
从前	նախկինում; հնում	Նախկինում այստեղ մետրո չկար։
从事	զբաղվել; աշխատել ոլորտում	Նա զբաղվում է կրթական աշխատանքով։
粗糙	կոպիտ; խորդուբորդ	Այս թուղթը շատ կոպիտ է։
促进	նպաստել; խթանել	Սպորտը նպաստում է առողջությանը։
促使	դրդել; ստիպել	Այս դեպքը նրան դրդեց փոխել ծրագիրը։
醋	քացախ	Ճաշի մեջ քացախ են լցրել։
催	շտապեցնել	Մայրիկը ինձ շտապեցնում է դուրս գալ։
存在	գոյություն ունենալ	Այս խնդիրը դեռ գոյություն ունի։
措施	միջոց; միջոցառում	Դպրոցը անվտանգության միջոցներ ձեռնարկեց։
答应	համաձայնել; խոստանալ	Նա խոստացավ օգնել ինձ։
达到	հասնել	Նրա արդյունքները հասան չափանիշին։
打工	ժամավարձով աշխատել; ժամանակավոր աշխատել	Նա ամառային արձակուրդին ռեստորանում է աշխատում։
打交道	գործ ունենալ; շփվել	Ես հաճախ գործ ունեմ հաճախորդների հետ։
打喷嚏	փռշտալ	Նա մրսել է և անընդհատ փռշտում է։
打听	հարցուփորձ անել; տեղեկանալ	Ես ուզում եմ տեղեկանալ գնացքի տոմսերի մասին։
大方	առատաձեռն; անկաշկանդ	Նա փող ծախսելիս շատ առատաձեռն է։
大厦	բարձր շենք; մեծ շենք	Այդ բարձր շենքը շատ բարձր է։
大象	փիղ	Երեխաները կենդանաբանական այգում փղեր են դիտում։
大型	մեծածավալ; խոշոր	Այստեղ խոշոր առևտրի կենտրոն են կառուցելու։
呆	մնալ; քարացած լինել	Նա մնաց տանը և գիրք կարդաց։
代表	ներկայացնել; ներկայացուցիչ; խորհրդանշել	Այս ծաղիկը խորհրդանշում է բարեկամություն։
代替	փոխարինել	Այսօր ես նրա փոխարեն եմ մասնակցում ժողովին։
待遇	վարձատրություն; պայմաններ	Այս ընկերության պայմանները վատ չեն։
贷款	վարկ	Նրանք բնակարանային վարկի դիմում տվեցին։
单纯	պարզ; միամիտ	Նրա մտքերը շատ պարզ են։
单调	միապաղաղ	Այս աշխատանքը մի քիչ միապաղաղ է։
单独	առանձին; միայնակ	Ես ուզում եմ առանձին խոսել քեզ հետ։
单位	միավոր; հիմնարկ	Նա աշխատում է մի պետական հիմնարկում։
单元	միավոր; դասաբաժին	Մենք այսօր սովորում ենք երրորդ դասաբաժինը։
担任	ստանձնել պաշտոն; աշխատել որպես	Նա այս միջոցառման պատասխանատուն է։
耽误	ուշացնել; խանգարել	Մի խլիր բոլորի ժամանակը։
胆小鬼	վախկոտ	Նրան վախկոտ մի կոչիր։
淡	թույլ; անալի; բաց գույնի	Այս ապուրը մի քիչ անալի է։
当地	տեղական; տվյալ վայրի	Տեղացիները բոլորը սիրում են այս շուկան։
当心	զգույշ լինել	Ճանապարհը շատ սայթաքուն է, զգույշ եղիր։
挡	փակել; խոչընդոտել	Այս մեքենան փակել է մուտքը։
倒霉	անհաջողակ; բախտը չբերել	Այսօր իսկապես բախտս չբերեց, հեռախոսս կորավ։
导演	ռեժիսոր	Այս ռեժիսորը շատ հայտնի է։
导致	հանգեցնել; պատճառ դառնալ	Հորդառատ անձրևը երթևեկության խցանման պատճառ դարձավ։
岛屿	կղզի; կղզիներ	Այս երկիրը շատ կղզիներ ունի։
到达	հասնել; ժամանել	Գնացքը ժամանակին հասավ Շանհայ։
道德	բարոյականություն; բարոյական	Մարդ պետք է բարոյականություն ունենա։
道理	տրամաբանություն; պատճառ; ճշմարտություն	Նրա ասածը շատ տրամաբանական է։
登记	գրանցել; գրանցվել	Խնդրում եմ, նախ գրանցվեք ընդունարանում։
等待	սպասել	Մենք սպասում ենք արդյունքին։
等于	հավասար լինել	Հինգին գումարած հինգը հավասար է տասի։
滴	կաթիլ; կաթալ	Մի կաթիլ ջուր ընկավ սեղանին։
敌人	թշնամի	Նրանք թշնամիներ չեն։
的确	իսկապես; իրոք	Այս գործը իսկապես շատ կարևոր է։
地道	իսկական; մաքուր; տեղական ոճի	Նա մաքուր պեկինյան բարբառով է խոսում։
地理	աշխարհագրություն	Ինձ շատ է հետաքրքրում Չինաստանի աշխարհագրությունը։
地区	տարածք; շրջան	Այս շրջանում ձմռանը շատ ցուրտ է։
地毯	գորգ	Հյուրասենյակում մի գորգ է փռված։
地位	դիրք; կարգավիճակ	Կրթությունը հասարակության մեջ կարևոր դիրք ունի։
地震	երկրաշարժ	Երեկ երեկոյան այստեղ երկրաշարժ եղավ։
递	փոխանցել; տալ	Խնդրում եմ, այս նամակը փոխանցիր ուսուցչին։
点心	թեթև ուտեստ; խորտիկ	Կեսօրից հետո մենք խորտիկ կերանք։
电池	մարտկոց	Այս խաղալիքին երկու մարտկոց է պետք։
电台	ռադիոկայան	Նա ռադիոկայանում հաղորդում է վարում։
钓	որսալ կարթով	Պապիկը սիրում է գետի ափին ձուկ որսալ։
顶	գլխարկի հաշվիչ բառ; գագաթ	Նա սև գլխարկ էր դրել։
冻	սառչել; սառեցնել	Դրսում այնքան ցուրտ է, որ ջուրը սառել է։
动画片	մուլտֆիլմ	Երեխաները մուլտֆիլմ են դիտում։
洞	անցք; խոռոչ	Պատի վրա մի փոքր անցք կա։
豆腐	տոֆու	Այս տոֆուով ուտեստը շատ համեղ է։
逗	ծիծաղեցնել; զվարճացնել	Նրա խոսքերը բոլորին ծիծաղեցրին։
独立	անկախ; ինքնուրույն	Նա ուզում է ինքնուրույն ապրել։
独特	յուրահատուկ; առանձնահատուկ	Այս քաղաքը յուրահատուկ մշակույթ ունի։
度过	անցկացնել; ապրել ժամանակը	Մենք արձակուրդը ծովափին անցկացրինք։
断	կտրվել; ընդհատվել	Այս պարանը կտրվեց։
堆	կույտ; կուտակել	Սեղանի վրա շատ փաստաթղթեր են կուտակված։
兑换	փոխանակել; փոխարկել գումար	Ես ուզում եմ մի քիչ յուան փոխանակել։
对比	համեմատել; համեմատություն	Խնդրում եմ, համեմատեք այս երկու տարբերակները։
对待	վերաբերվել	Մենք պետք է յուրաքանչյուրին արդար վերաբերվենք։
对方	մյուս կողմը; դիմացին	Խնդրում եմ, նախ լսեք դիմացինի կարծիքը։
对手	մրցակից; հակառակորդ	Նրա մրցակիցը շատ ուժեղ է։
对象	օբյեկտ; անձ; ուսումնասիրության առարկա	Ուսումնասիրության առարկան համալսարանի ուսանողներն են։
吨	տոննա	Այս բեռնատարը կարող է երեք տոննա բեռ տանել։
蹲	կքանստել	Նա կքանստել է գետնին և բանալին է փնտրում։
顿	ճաշի հաշվիչ բառ; անգամ	Մենք միասին ընթրիք կերանք։
多亏	շնորհիվ; բարեբախտաբար	Քո օգնության շնորհիվ ես ավարտեցի առաջադրանքը։
多余	ավելորդ	Այս նախադասությունը ավելորդ է։
朵	ծաղկի հաշվիչ բառ	Սեղանի վրա մի ծաղիկ է դրված։
躲藏	թաքնվել	Փոքրիկ կատուն թաքնվել է մահճակալի տակ։
恶劣	վատ; ծանր; անբարենպաստ	Այսօրվա եղանակը շատ վատ է։
耳环	ականջօղ	Նա մի զույգ ականջօղ է կրում։
发表	հրապարակել; արտահայտել	Նա ժողովում իր կարծիքը արտահայտեց։
发愁	մտահոգվել; տխրել	Այս փոքր բանի համար մի մտահոգվիր։
发达	զարգացած	Այս քաղաքի տրանսպորտը շատ զարգացած է։
发抖	դողալ	Նա ցրտից անընդհատ դողում էր։
发挥	դրսևորել; օգտագործել կարողությունը	Խնդրում եմ, բոլորդ օգտագործեք ձեր երևակայությունը։
发明	հայտնագործություն; հորինել	Էլեկտրական լամպը կարևոր հայտնագործություն է։
发票	հաշիվ-ապրանքագիր; կտրոն	Խնդրում եմ, ինձ համար հաշիվ-ապրանքագիր գրեք։
发言	ելույթ ունենալ; խոսք ասել	Նա ժողովում ելույթ ունեցավ։
罚款	տուգանք; տուգանել	Կանոնները խախտելով կայանելու համար տուգանք են գրում։
法院	դատարան	Այս գործը հանձնվել է դատարանին։
翻	շրջել; թերթել; էջերը թերթել	Խնդրում եմ, գիրքը բացեք տասներորդ էջի վրա։
繁荣	բարգավաճել; բարգավաճում	Տնտեսությունը կամաց-կամաց բարգավաճում է։
反而	ընդհակառակը	Նա չբարկացավ, ընդհակառակը՝ ծիծաղեց։
反复	կրկնակի; բազմիցս	Այս նախադասությունը պետք է բազմիցս վարժել։
反应	արձագանք; արձագանքել	Նրա արձագանքը շատ արագ է։
反映	արտացոլել; ներկայացնել	Այս զեկույցը արտացոլում է իրական վիճակը։
反正	միևնույն է; ամեն դեպքում	Միևնույն է, ես վաղը ժամանակ ունեմ։
范围	սահման; շրջանակ	Խնդրում եմ, մի անցեք այս սահմանը։
方	քառակուսի; կողմ; ուղղություն	Խնդրում եմ, թղթի վրա քառակուսի նկարեք։
方案	ծրագիր; տարբերակ	Այս ծրագիրը համեմատաբար խելամիտ է։
方式	ձև; եղանակ	Ուսման այս ձևը շատ արդյունավետ է։
妨碍	խանգարել; խոչընդոտել	Խնդրում եմ, ուրիշների աշխատանքին մի խանգարեք։
仿佛	կարծես; ասես	Նա կարծես ամեն ինչ գիտի։
非	անպայման; ոչ թե	Այս գործը առանց քեզ չի լինի։
肥皂	օճառ	Ձեռքերը լվանալիս պետք է օճառ օգտագործել։
废话	դատարկ խոսք; անհեթեթություն	Քիչ դատարկ խոսք ասա և արագ սկսիր։
分别	բաժանվել; առանձին-առանձին	Նրանք կայարանում բաժանվեցին։
分布	բաշխվել; տարածված լինել	Այս խանութները տարածված են քաղաքի տարբեր մասերում։
分配	բաշխել; հանձնարարել	Ուսուցիչը նոր առաջադրանք բաշխեց։
分手	բաժանվել; հարաբերությունները խզել	Նրանք անցյալ տարի բաժանվեցին։
分析	վերլուծել; վերլուծություն	Մենք պետք է վերլուծենք պատճառները։
纷纷	մեկը մյուսի հետևից; հերթով	Բոլորը հերթով համաձայնություն հայտնեցին։
奋斗	պայքարել; ջանք թափել	Երիտասարդները պետք է պայքարեն իրենց երազանքների համար։
疯狂	խելահեղ; խենթորեն	Երկրպագուները խելահեղ ուրախանում էին։
风格	ոճ	Այս ռեստորանի ոճը շատ առանձնահատուկ է։
风景	տեսարան; բնապատկեր	Լեռան տեսարանը շատ գեղեցիկ է։
风俗	սովորույթ	Ամեն վայր իր սովորույթներն ունի։
风险	ռիսկ	Ներդրումը որոշակի ռիսկ ունի։
讽刺	ծաղրել; երգիծանք	Այս հոդվածը ծաղրում է հասարակական խնդիրները։
否定	ժխտել; հերքել	Նա ժխտեց այս պնդումը։
否认	ուրանալ; հերքել	Նա հերքեց, որ սխալ է գործել։
幅	նկարի հաշվիչ բառ; լայնություն	Պատին մի նկար է կախված։
扶	բռնել; օգնել կանգնել կամ անցնել	Խնդրում եմ, օգնեք ծեր մարդուն անցնել փողոցը։
服装	հագուստ	Այս խանութը մանկական հագուստ է վաճառում։
辅导	օգնել դասերում; լրացուցիչ ուսուցանել	Ուսուցիչը դասերից հետո օգնում է աշակերտներին։
复制	պատճենել	Խնդրում եմ, պատճենեք այս փաստաթուղթը։
妇女	կանայք; կին	Այս հիվանդանոցը ծառայություններ է տրամադրում կանանց։
改革	բարեփոխում; բարեփոխել	Դպրոցում ուսուցման բարեփոխում է ընթանում։
改进	բարելավել; կատարելագործել	Մենք պետք է բարելավենք ծառայության որակը։
改善	բարելավել	Սպորտը կարող է բարելավել քունը։
改正	ուղղել; շտկել	Խնդրում եմ, ժամանակին ուղղեք սխալները։
概括	ամփոփել; ընդհանրացնել	Խնդրում եմ, ամփոփեք հոդվածի բովանդակությունը։
概念	հասկացություն	Այս հասկացությունը այնքան էլ հեշտ չէ հասկանալ։
盖	ծածկել; կափարիչ դնել	Խնդրում եմ, բաժակը լավ ծածկիր։
干脆	ուղղակի; պարզ ու կտրուկ	Ուղղակի այսօր մի գնա։
干燥	չոր	Հյուսիսի ձմեռը շատ չոր է։
感激	երախտապարտ լինել	Ես շատ երախտապարտ եմ քո օգնության համար։
感受	զգացում; զգալ	Ես կարող եմ հասկանալ քո զգացումները։
感想	տպավորություն; կարծիք	Խնդրում եմ, խոսիր քո տպավորությունների մասին։
赶紧	շտապ; արագ	Ժամը ուշ է, արագ գնանք։
赶快	շտապ; արագ	Շտապ փակիր դուռը։
干活儿	աշխատել; գործ անել	Նա բակում աշխատում է։
钢铁	պողպատ; երկաթ ու պողպատ	Այս կամուրջը պողպատից է պատրաստված։
高档	բարձրակարգ; շքեղ	Սա բարձրակարգ հյուրանոց է։
高级	բարձր մակարդակի; առաջադեմ	Նա մասնակցեց չինարենի առաջադեմ խմբին։
搞	անել; կազմակերպել; զբաղվել	Դու ինչ միջոցառում ես կազմակերպում։
告别	հրաժեշտ տալ	Մենք օդանավակայանում հրաժեշտ տվեցինք ընկերներին։
格外	հատկապես; առանձնապես	Այսօր երկինքը հատկապես կապույտ է։
隔壁	հարևան սենյակ; կողքի տուն	Կողքի տանը մի ուսուցիչ է ապրում։
个别	առանձին; եզակի	Առանձին ուսանողներ դեռ տնայինը չեն հանձնել։
个人	անձնական; անհատ	Սա իմ անձնական կարծիքն է։
个性	անհատականություն; բնավորություն	Նա ուժեղ անհատականություն ունի։
各自	յուրաքանչյուրը իր; առանձին-առանձին	Բոլորը թող իրենց առաջադրանքը առանձին ավարտեն։
根	հատ; ցողուն; երկար բանի հաշվիչ բառ	Սեղանի տակ մի լար կա։
根本	բոլորովին; հիմքում	Այս խնդիրը բոլորովին դժվար չէ։
公布	հրապարակել; հայտարարել	Դպրոցը հրապարակեց քննության արդյունքները։
公开	բաց; հրապարակային	Այս ժողովը բաց է։
公平	արդար	Մրցումը պետք է արդար լինի։
公寓	բնակարան; ապարտամենտ	Նա մի փոքր բնակարան է վարձել։
公元	մեր թվարկություն	Այս տարին մեր թվարկության երկու հազար քսանվեց թվականն է։
公主	արքայադուստր	Փոքրիկ աղջիկը սիրում է արքայադուստրերի պատմություններ։
功能	գործառույթ; ֆունկցիա	Այս ծրագիրը շատ գործառույթներ ունի։
工厂	գործարան	Այս գործարանը մեքենաներ է արտադրում։
工程师	ինժեներ	Իմ ավագ եղբայրը ինժեներ է։
工具	գործիք	Հեծանիվը վերանորոգելու համար գործիքներ են պետք։
工人	բանվոր	Բանվորները ճանապարհ են նորոգում։
工业	արդյունաբերություն	Այս քաղաքում հիմնականը արդյունաբերությունն է։
恭喜	շնորհավորել	Շնորհավորում եմ, դու քննությունը հանձնեցիր։
贡献	ներդրում; նպաստել	Նա ընկերության համար մեծ ներդրում է արել։
