simplified	MY	example_MY
米饭	ထမင်း	ကျွန်ုပ် ထမင်း စားသည်။
名字	အမည်	သင့်အမည် ဘာလဲ။
明天	မနက်ဖြန်	မနက်ဖြန် ကျွန်ုပ် ပေကျင်းသို့ သွားမည်။
哪	ဘယ်; ဘယ်မှာ	သင် ဘယ်ကို သွားသနည်း။
那	ထို; အဲဒီ	ထိုသူသည် ကျွန်ုပ်၏ ဆရာ ဖြစ်သည်။
呢	ကော; မေးခွန်းအမှုန်	သင်ကော။
能	နိုင်သည်	ကျွန်ုပ် သွားနိုင်သလား။
你	သင်; မင်း	သင် နေကောင်းလား။
年	နှစ်	တစ်နှစ်တွင် လဆယ့်နှစ်လ ရှိသည်။
女儿	သမီး	သူမ၏ သမီးသည် အလွန်လှသည်။
朋友	သူငယ်ချင်း	သူသည် ကျွန်ုပ်၏ သူငယ်ချင်း ဖြစ်သည်။
漂亮	လှသည်	သူမ အလွန်လှသည်။
苹果	ပန်းသီး	ကျွန်ုပ် ပန်းသီး ကြိုက်သည်။
七	ခုနစ်	ယခု ခုနစ်နာရီ ဖြစ်သည်။
前面	ရှေ့မှာ; ရှေ့ဘက်	စားသောက်ဆိုင်သည် ဆိုင်ရှေ့တွင် ရှိသည်။
钱	ငွေ	ကျွန်ုပ်တွင် ငွေ မရှိပါ။
请	ကျေးဇူးပြု၍; ဖိတ်သည်; တောင်းဆိုသည်	ကျေးဇူးပြု၍ လက်ဖက်ရည် သောက်ပါ။
去	သွားသည်	ကျွန်ုပ် ကျောင်းသို့ သွားသည်။
热	ပူသည်	ယနေ့ ပူသည်။
人	လူ	ကျောင်းတွင် လူများစွာ ရှိသည်။
认识	သိသည်; မှတ်မိသည်	ကျွန်ုပ် သူ့ကို သိသည်။
日	ရက်; နေ့	ယနေ့သည် မတ်လ တစ်ရက်နေ့ ဖြစ်သည်။
三	သုံး	ကျွန်ုပ်တွင် ခွက်သုံးခွက် ရှိသည်။
商店	ဆိုင်	ဆိုင်သည် ကျောင်းရှေ့တွင် ရှိသည်။
上	အပေါ်; ပေါ်မှာ	စာအုပ်သည် စားပွဲပေါ်တွင် ရှိသည်။
上午	နံနက်ပိုင်း	နံနက်ပိုင်းတွင် ကျွန်ုပ် တရုတ်ဘာသာ လေ့လာသည်။
少	နည်းသည်	ကျောင်းသား အနည်းငယ်သာ ရှိသည်။
什么	ဘာ	ဒါ ဘာလဲ။
十	ဆယ်	ကျွန်ုပ်တွင် စာအုပ်ဆယ်အုပ် ရှိသည်။
时候	အချိန်; အခါ	သင် ဘယ်အချိန် လာမည်နည်း။
是	ဖြစ်သည်; ဟုတ်သည်	ကျွန်ုပ် ကျောင်းသား ဖြစ်သည်။
书	စာအုပ်	ကျွန်ုပ် စာအုပ် ဖတ်သည်။
谁	ဘယ်သူ	သူ ဘယ်သူလဲ။
水	ရေ	ကျွန်ုပ် ရေ သောက်သည်။
水果	အသီး	ကျွန်ုပ် အသီး ဝယ်သည်။
睡觉	အိပ်သည်	ကျွန်ုပ် အိပ်တော့မည်။
说话	စကားပြောသည်	ဆရာ စကားပြောနေသည်။
四	လေး	ကျွန်ုပ်တွင် သူငယ်ချင်းလေးယောက် ရှိသည်။
岁	အသက် ... နှစ်	ကျွန်ုပ် အသက် ဆယ်နှစ် ရှိသည်။
他	သူ; သူ့ကို	သူသည် ဆရာ ဖြစ်သည်။
她	သူမ; သူမကို	သူမသည် ကျောင်းသူ ဖြစ်သည်။
太	လွန်းသည်; အရမ်း	ဤခွက်သည် ကြီးလွန်းသည်။
天气	ရာသီဥတု	ယနေ့ ရာသီဥတု ကောင်းသည်။
听	နားထောင်သည်; ကြားသည်	ဆရာ စကားပြောနေသည်ကို ကျွန်ုပ် နားထောင်သည်။
同学	အတန်းဖော်	သူသည် ကျွန်ုပ်၏ အတန်းဖော် ဖြစ်သည်။
喂	ဟယ်လို	ဟယ်လို၊ မင်္ဂလာပါ။
我	ကျွန်ုပ်; ကျွန်ုပ်ကို	ကျွန်ုပ် ဆရာဝန် ဖြစ်သည်။
我们	ကျွန်ုပ်တို့	ကျွန်ုပ်တို့ ကျောင်းသို့ သွားသည်။
五	ငါး	ကျွန်ုပ်တွင် ပန်းသီးငါးလုံး ရှိသည်။
喜欢	ကြိုက်သည်	ကျွန်ုပ် လက်ဖက်ရည် သောက်ရတာ ကြိုက်သည်။
下	အောက်; နောက်; ဆင်း	စာအုပ်သည် စားပွဲအောက်တွင် ရှိသည်။
下午	မွန်းလွဲပိုင်း	မွန်းလွဲပိုင်းတွင် ကျွန်ုပ် ဆိုင်သို့ သွားသည်။
下雨	မိုးရွာသည်	ယနေ့ မိုးရွာသည်။
先生	ဦး; ဆရာ; ခင်ပွန်း	ဆရာ၊ မင်္ဂလာပါ။
现在	ယခု	ယခု ကျွန်ုပ် ကျောင်းတွင် ရှိသည်။
想	လိုချင်သည်; စဉ်းစားသည်; သတိရသည်	ကျွန်ုပ် ရေ သောက်ချင်သည်။
小	သေးသည်	ဤခွက်သည် သေးသည်။
小姐	မစ္စ; အမျိုးသမီးငယ်	မစ္စ၊ မင်္ဂလာပါ။
些	အချို့; အနည်းငယ်	ကျွန်ုပ်တွင် စာအုပ်အချို့ ရှိသည်။
写	ရေးသည်	ကျွန်ုပ် တရုတ်အက္ခရာ ရေးသည်။
谢谢	ကျေးဇူးတင်ပါတယ်	ကျေးဇူးတင်ပါတယ်။
星期	အပတ်; ရက်သတ္တပတ်	ယနေ့သည် တနင်္လာနေ့ ဖြစ်သည်။
学生	ကျောင်းသား; ကျောင်းသူ	ကျွန်ုပ် ကျောင်းသား ဖြစ်သည်။
学习	လေ့လာသည်; သင်ယူသည်	ကျွန်ုပ် တရုတ်ဘာသာ လေ့လာသည်။
学校	ကျောင်း	ကျောင်းသည် ကြီးသည်။
一	တစ်	ကျွန်ုပ်တွင် ခွက်တစ်ခွက် ရှိသည်။
衣服	အဝတ်အစား	ကျွန်ုပ် အဝတ်အစား ဝယ်သည်။
医生	ဆရာဝန်	သူမသည် ဆရာဝန် ဖြစ်သည်။
医院	ဆေးရုံ	ဆေးရုံသည် ကျောင်းရှေ့တွင် ရှိသည်။
椅子	ကုလားထိုင်	ကုလားထိုင်သည် စားပွဲနောက်တွင် ရှိသည်။
有	ရှိသည်	ကျွန်ုပ်တွင် သူငယ်ချင်း ရှိသည်။
月	လ; လမင်း	ယနေ့သည် မေလ လေးရက်နေ့ ဖြစ်သည်။
再见	နှုတ်ဆက်ပါတယ်; နောက်မှတွေ့မယ်	ဆရာ၊ နှုတ်ဆက်ပါတယ်။
在	တွင်ရှိသည်; လုပ်နေသည်	ကျွန်ုပ် အိမ်တွင် ရှိသည်။
怎么	ဘယ်လို	ဤအက္ခရာကို ဘယ်လို ဖတ်သနည်း။
怎么样	ဘယ်လိုလဲ; အခြေအနေဘယ်လို	ယနေ့ သင် ဘယ်လိုနေသနည်း။
这	ဤ; ဒီ	ဤသည် ကျွန်ုပ်၏ စာအုပ် ဖြစ်သည်။
中国	တရုတ်နိုင်ငံ	ကျွန်ုပ် တရုတ်နိုင်ငံသို့ သွားသည်။
中午	နေ့လယ်	နေ့လယ်တွင် ကျွန်ုပ် ထမင်း စားသည်။
住	နေထိုင်သည်	ကျွန်ုပ် ပေကျင်းတွင် နေထိုင်သည်။
桌子	စားပွဲ	စာအုပ်သည် စားပွဲပေါ်တွင် ရှိသည်။
字	အက္ခရာ; စာလုံး	ဤအက္ခရာသည် သေးသည်။
昨天	မနေ့က	မနေ့က ကျွန်ုပ် ရုပ်ရှင် ကြည့်ခဲ့သည်။
坐	ထိုင်သည်; စီးသည်	ကျွန်ုပ် လေယာဉ်စီးပြီး ပေကျင်းသို့ သွားသည်။
做	လုပ်သည်; ချက်သည်	ကျွန်ုပ် ထမင်းချက်သည်။
