source_headword	FR	example_FR
rough	rugueux	La route était rugueuse.
row1	la rangée	Assieds-toi au premier rang.
royal	royal	La famille royale est arrivée.
rugby	le rugby	Nous avons regardé le rugby à la télévision.
safety	la sécurité	La sécurité est importante au travail.
sailor	le marin	Le marin a réparé le bateau.
sample	l'échantillon	L'infirmière a pris un échantillon de sang.
sand	le sable	Le sable couvrait mes chaussures.
scan	scanner	Scanne d'abord le document.
scientific	scientifique	C'est une méthode scientifique.
script	le scénario	L'acteur a lu le scénario.
sculpture	la sculpture	La sculpture se trouve dehors.
secondary	secondaire	C'est un problème secondaire.
security	la sécurité	La sécurité a vérifié nos sacs.
seed	la graine	Plante la graine dans la terre.
sensible	raisonnable	C'est une idée raisonnable.
seriously	sérieusement	Prends ce problème au sérieux.
servant	le serviteur	Le serviteur a ouvert la porte.
set (put)	poser	Pose le verre sur la table.
set (group)	le service	Ce service comprend six tasses.
setting	le cadre	L'histoire a un cadre urbain.
sex	le sexe	Le formulaire demande l'âge et le sexe.
sexual	sexuel	La classe a parlé de santé sexuelle.
sharp	tranchant	Ce couteau est tranchant.
shelf	l'étagère	Mets le livre sur l'étagère.
shell	le coquillage	Le coquillage était vide.
shift	le service	Mon service commence à huit heures.
shine	briller	Les étoiles brillent la nuit.
shiny	brillant	Ses chaussures sont brillantes.
shoot	photographier	Le photographe photographiera la scène.
shy	timide	Il est timide avec les inconnus.
sight	la vue	La montagne était une belle vue.
signal	le signal	Le signal était faible.
silent	silencieux	La pièce est devenue silencieuse.
silly	bête	C'était une erreur bête.
similarity	la ressemblance	Il y a une ressemblance claire.
similarly	de même	Le deuxième plan fonctionne de même.
simply	simplement	Appuie simplement sur ce bouton.
sink	couler	Les pierres lourdes coulent rapidement.
slice	la tranche	J'ai mangé une tranche de gâteau.
slightly	légèrement	La pièce est légèrement plus chaude.
smart	élégant	Elle portait une veste élégante.
smooth	lisse	La route est lisse.
software	le logiciel	Le logiciel a besoin d'une mise à jour.
soil	le sol	Le sol est sec.
solid	solide	Le mur est solide.
southern	du sud	Ils vivent sur la côte du sud.
specifically	spécifiquement	J'ai demandé spécifiquement du thé.
spending	les dépenses	Les dépenses du gouvernement ont augmenté.
spicy	épicé	Ce curry est épicé.
spirit	l'esprit	L'équipe a montré un grand esprit.
spoken	parlé	L'anglais parlé s'améliore avec la pratique.
spot	l'endroit	Cet endroit est parfait.
spread	étaler	Étale du beurre sur le pain.
stadium	le stade	Le stade était plein.
staff	le personnel	Le personnel était serviable.
standard	la norme	La norme était élevée.
statistic	la statistique	Cette statistique est surprenante.
statue	la statue	La statue se trouve sur la place.
stick (push into/attach)	coller	Colle l'étiquette sur la boîte.
stick (piece of wood)	le bâton	Il a ramassé un bâton.
