source_headword	DA	example_DA
pleasure	en fornøjelse	Det var en fornøjelse at møde dig.
plenty	rigeligt	Vi har rigeligt med tid.
plot	handlingen	Handlingen var let at følge.
plus1	plus	To plus tre er fem.
poem	et digt	Hun skrev et kort digt.
poet	en digter	Digteren læste højt.
poetry	poesi	Han nyder moderne poesi.
poison	gift	Hold gift væk fra børn.
poisonous	giftig	Nogle svampe er giftige.
policy	en politik	Virksomheden ændrede sin politik.
political	politisk	Talen var politisk.
politician	en politiker	Politikeren besvarede spørgsmål.
politics	politik	Politik kan være kompliceret.
port	en havn	Skibet sejlede ind i havnen.
portrait	et portræt	Portrættet hænger i gangen.
possibly	måske	Hun kommer måske for sent.
pot	en potte	Planten har brug for en større potte.
pour	hælde	Hæld mælken langsomt.
poverty	fattigdom	Mange familier lever i fattigdom.
powder	pulver	Tilsæt pulveret til vand.
powerful	kraftfuld	Motoren er kraftfuld.
practical	praktisk	Dette er en praktisk løsning.
pray	bede	De beder hver morgen.
prayer	en bøn	Hun sagde en stille bøn.
prediction	en forudsigelse	Hans forudsigelse var korrekt.
prepared	forberedt	Jeg er forberedt til eksamen.
presentation	en præsentation	Hendes præsentation var tydelig.
press	trykke	Tryk på knappen en gang.
pressure	pres	Pres kan påvirke dit helbred.
pretend	lade som om	Lad ikke som om du sover.
previous	forrige	Den forrige lektion var lettere.
previously	tidligere	Vi boede tidligere i Rom.
priest	en præst	Præsten talte blidt.
primary	vigtigste	Sundhed er vores vigtigste bekymring.
prince	en prins	Prinsen besøgte skolen.
princess	en prinsesse	Prinsessen bar en blå kjole.
printing	udskrivning	Udskrivningen af rapporten tog nogle minutter.
prisoner	en fange	Fangen flygtede om natten.
private	privat	Dette er en privat samtale.
producer	en producent	Producenten kunne lide filmen.
production	produktion	Produktionen starter næste uge.
profession	et erhverv	Undervisning er et respekteret erhverv.
profit	en fortjeneste	Butikken fik en fortjeneste.
promote	fremme	De fremmer sund kost.
proper	passende	Brug passende sko til vandring.
properly	ordentligt	Luk døren ordentligt.
property	en ejendom	De købte en ejendom nær floden.
protest	en protest	Protesten sluttede fredeligt.
proud	stolt	Hun følte sig stolt af sin søn.
prove	bevise	Kan du bevise dit svar?
punish	straffe	Læreren straffede ham ikke.
punishment	en straf	Straffen virkede retfærdig.
qualification	en kvalifikation	Du har brug for en kvalifikation til dette job.
qualified	kvalificeret	Hun er en kvalificeret sygeplejerske.
qualify	kvalificere sig	Vores hold kan kvalificere sig.
queue	en kø	Vi ventede i en lang kø.
quit	stoppe	Han besluttede at stoppe med at ryge.
quotation	et citat	Essayet begynder med et citat.
quote	citere	Må jeg citere dine ord?
race (people)	etnicitet	Formularen spørger om etnicitet.
racing	hestevæddeløb	Hestevæddeløb er populært der.
range	et udvalg	Butikken sælger et bredt udvalg.
rare	sjælden	Denne fugl er sjælden.
rarely	sjældent	Vi spiser sjældent ude.
reaction	en reaktion	Hendes reaktion overraskede mig.
reality	virkelighed	Virkeligheden var anderledes end hans drøm.
receipt	en kvittering	Gem kvitteringen.
recommendation	en anbefaling	Tak for anbefalingen.
reference	en reference	Tilføj en reference til sidst.
reflect	reflektere	Spejlet kan reflektere lys.
regularly	regelmæssigt	Hun træner regelmæssigt.
reject	afvise	De kan afvise tilbuddet.
relate	genkende sig selv	Jeg kan genkende mig selv i den historie.
related	relateret	De to problemer er relaterede.
relation	en relation	Der er en relation mellem dem.
relative	relativ	Hastighed er relativ.
relaxed	afslappet	Han følte sig afslappet efter middagen.
relaxing	afslappende	Musikken var afslappende.
release	udgive	De vil snart udgive filmen.
reliable	pålidelig	Denne bus er normalt pålidelig.
religion	religion	Religion er vigtig for hende.
religious	religiøs	De besøgte en religiøs bygning.
remain	forblive	Forbliv rolig, tak.
remind	minde	Mind mig om det i morgen.
remote	afsides	De bor i en afsides landsby.
rent	husleje	Huslejen forfalder i dag.
repeated	gentaget	Gentagne fejl bremsede arbejdet.
represent	stå for	Stjernen står for håb.
require	kræve	Dette job kræver oplæring.
reservation	en reservation	Jeg lavede en reservation.
resource	en ressource	Biblioteket er en nyttig ressource.
respect	respektere	Respekter dine klassekammerater.
responsibility	ansvar	Børnepasning er et stort ansvar.
responsible	ansvarlig	Hun er ansvarlig for billetterne.
retire	gå på pension	Min far går snart på pension.
retired	pensioneret	Han er en pensioneret lærer.
revise	revidere	Revider dit essay i aften.
risk	risiko	Der er risiko for regn.
robot	en robot	Robotten rengjorde gulvet.
roll	rulle	Rul bolden til mig.
romantic	romantisk	De havde en romantisk middag.
rope	et reb	Bind rebet stramt.
rough	ujævn	Vejen var ujævn.
row1	en række	Sid på forreste række.
royal	kongelig	Den kongelige familie ankom.
rugby	rugby	Vi så rugby i fjernsynet.
safety	sikkerhed	Sikkerhed er vigtig på arbejdet.
sailor	en sømand	Sømanden reparerede båden.
sample	en prøve	Sygeplejersken tog en blodprøve.
sand	sand	Sand dækkede mine sko.
scan	scanne	Scan dokumentet først.
scientific	videnskabelig	Dette er en videnskabelig metode.
script	et manuskript	Skuespilleren læste manuskriptet.
sculpture	en skulptur	Skulpturen står udenfor.
secondary	sekundær	Dette er et sekundært problem.
security	sikkerhed	Sikkerheden tjekkede vores tasker.
seed	et frø	Plant frøet i jorden.
sensible	fornuftig	Det er en fornuftig ide.
seriously	alvorligt	Tag dette problem alvorligt.
servant	en tjener	Tjeneren åbnede døren.
set (put)	sætte	Sæt glasset på bordet.
set (group)	et sæt	Dette sæt indeholder seks kopper.
setting	et miljø	Historien har et bymiljø.
sex	køn	Formularen spørger om alder og køn.
sexual	seksuel	Klassen diskuterede seksuel sundhed.
sharp	skarp	Denne kniv er skarp.
shelf	en hylde	Sæt bogen på hylden.
shell	en skal	Skallen var tom.
shift	en vagt	Min vagt starter klokken otte.
shine	skinne	Stjernerne skinner om natten.
shiny	skinnende	Hendes sko er skinnende.
shoot	fotografere	Fotografen vil fotografere scenen.
shy	genert	Han er genert over for fremmede.
sight	et syn	Bjerget var et smukt syn.
signal	et signal	Signalet var svagt.
silent	stille	Rummet blev stille.
silly	dum	Det var en dum fejl.
similarity	en lighed	Der er en tydelig lighed.
similarly	på lignende måde	Den anden plan fungerer på lignende måde.
simply	bare	Tryk bare på denne knap.
sink	synke	Tunge sten synker hurtigt.
slice	en skive	Jeg spiste en skive kage.
slightly	lidt	Rummet er lidt varmere.
smart	pæn	Hun havde en pæn jakke på.
smooth	jævn	Vejen er jævn.
software	software	Softwaren har brug for en opdatering.
soil	jord	Jorden er tør.
solid	solid	Væggen er solid.
southern	sydlig	De bor på den sydlige kyst.
specifically	specifikt	Jeg bad specifikt om te.
spending	udgifter	Statens udgifter steg.
spicy	stærk	Denne karry er stærk.
spirit	holdånd	Holdet viste stor holdånd.
spoken	talt	Talt engelsk forbedres med øvelse.
spot	et sted	Dette sted er perfekt.
spread	smøre	Smør smør på brødet.
stadium	et stadion	Stadionet var fuldt.
staff	personale	Personalet var hjælpsomt.
standard	standard	Standarden var høj.
statistic	statistik	Denne statistik er overraskende.
statue	en statue	Statuen står på torvet.
stick (push into/attach)	klistre	Klistre etiketten på kassen.
stick (piece of wood)	en pind	Han samlede en pind op.
