source_headword	FI	example_FI
warming	lämpeneminen	Ilmaston lämpeneminen vaikuttaa merenpinnan tasoon.
weekly	viikoittainen	Tiimi pitää viikoittaisen kokouksen.
weird	outo	Melu kuulosti oudolta.
welfare	hyvinvointi	Ohjelma tukee lasten hyvinvointia.
wheat	vehnä	Maanviljelijä kasvattaa vehnää.
whoever	kuka tahansa	Kuka tahansa saapuu ensin, tulisi odottaa ulkopuolella.
widespread	laaja	Myrsky aiheutti laajoja vahinkoja.
wisdom	viisaus	Hänen isoäitinsä jakoi käytännön viisautta.
withdraw	vetää pois	Hän päätti vetää hakemuksensa pois.
workforce	työvoima	Työvoima tarvitsee uusia taitoja.
workplace	työpaikka	Työpaikalla on selkeät turvallisuussäännöt.
workshop	työpaja	Työpaja alkaa kymmeneltä.
worm	mato	Mato liikkui mullan poikki.
wrist	ranne	Hän loukkasi ranteensa.
