source_headword	HI	example_HI
infrastructure	बुनियादी ढांचा	तूफान ने स्थानीय बुनियादी ढांचे को नुकसान पहुंचाया।
inhabitant	निवासी	प्रत्येक निवासी को साफ पानी मिला।
inherit	विरासत में मिलना	उसे परिवार का घर विरासत में मिलेगा।
ink	स्याही	प्रिंटर को काली स्याही चाहिए।
innovation	नवाचार	नवाचार उद्योग को आगे बढ़ाता है।
innovative	अभिनव	कंपनी ने एक अभिनव उत्पाद लॉन्च किया।
input	सुझाव	मैनेजर ने सुझाव मांगा।
insert	डालना	मशीन में कार्ड डालें।
inspector	निरीक्षक	निरीक्षक ने इमारत की जाँच की।
installation	स्थापना	स्थापना में दो घंटे लगे।
instant	तत्काल	ऐप ने तत्काल जवाब भेजा।
instantly	तुरंत	स्क्रीन तुरंत चालू हो गई।
integrate	एकीकृत करना	सॉफ्टवेयर नए उपकरणों को एकीकृत कर सकता है।
intellectual	बौद्धिक	बहस बौद्धिक लेकिन मैत्रीपूर्ण थी।
interact	बातचीत करना	छात्र समूह कार्य के दौरान बातचीत करते हैं।
interaction	बातचीत	बातचीत विनम्र थी।
interpretation	व्याख्या	कविता की उसकी व्याख्या मूल थी।
interval	मध्यांतर	अंकों के बीच एक छोटा मध्यांतर था।
invade	आक्रमण करना	सेना ने द्वीप पर आक्रमण करने की कोशिश की।
invasion	आक्रमण	आक्रमण ने कई शहरों को नुकसान पहुँचाया।
investor	निवेशक	निवेशक ने एक नए स्टार्टअप को वित्त पोषित किया।
isolate	अलग करना	डॉक्टर गंभीर संक्रमण वाले रोगियों को अलग करते हैं।
isolated	अलग-थलग	गाँव बर्फ के कारण अलग-थलग हो गया था।
jail	जेल	चोर जेल गया।
jet	जेट	जेट दोपहर में उतरा।
joint	संयुक्त	उन्होंने एक संयुक्त परियोजना की घोषणा की।
journalism	पत्रकारिता	पत्रकारिता में सटीक तथ्यों की आवश्यकता होती है।
jury	जूरी	जूरी एक निर्णय पर पहुँची।
kit	किट	मरम्मत किट में पेंच शामिल हैं।
ladder	सीढ़ी	सीढ़ी दीवार के सहारे टिकी हुई थी।
landing	लैंडिंग	विमान ने एक सुगम लैंडिंग की।
lane	लेन	दाईं लेन में रहें।
lately	हाल ही में	मैं हाल ही में बुरी तरह सोया हूँ।
leaflet	पर्चा	पर्चा सेवा की व्याख्या करता है।
legend	किंवदंती	किंवदंती एक छिपे हुए शहर के बारे में बताती है।
lens	लेंस	कैमरे के लेंस को सावधानी से साफ करें।
lifetime	जीवन भर	उसने जीवन भर पैसे बचाए।
lighting	रोशनी	अच्छी रोशनी कमरे को बेहतर बनाती है।
likewise	उसी प्रकार	वह मुस्कुराई; उसने भी वैसा ही किया।
limitation	सीमा	योजना की एक सीमा है।
literally	सचमुच	वह सचमुच बस की ओर दौड़ी।
literary	साहित्यिक	त्योहार साहित्यिक कार्यों का सम्मान करता है।
litre	लीटर	एक लीटर दूध खरीदें।
litter	कूड़ा	कूड़ा मत गिराओ।
logo	लोगो	लोगो हर पेज पर दिखाई देता है।
lottery	लॉटरी	उसने एक छोटा लॉटरी पुरस्कार जीता।
loyal	वफादार	कुत्ता अपने मालिक के प्रति वफादार था।
lyric	गीत के बोल	गीत के बोल ने मुख्य विचार को दोहराया।
magnificent	शानदार	महल शानदार लग रहा था।
make-up	मेकअप	उसने साधारण मेकअप किया हुआ था।
making	बनाना	फिल्म बनाना मुश्किल था।
manufacture	निर्माण करना	कारखाना फोन का निर्माण करेगा।
manufacturing	विनिर्माण	स्थानीय स्तर पर विनिर्माण नौकरियों में वृद्धि हुई।
marathon	मैराथन	उसने मैराथन पूरी की।
margin	हाशिया	हाशिये में नोट्स लिखें।
marker	मार्कर	लेबल के लिए मार्कर का उपयोग करें।
martial	मार्शल	वह मार्शल आर्ट सीखता है।
mate	साथी	कल मेरे पुराने स्कूल के साथी ने फोन किया।
mayor	मेयर	मेयर ने पुस्तकालय का उद्घाटन किया।
mechanic	मैकेनिक	मैकेनिक ने बस की मरम्मत की।
mechanical	यांत्रिक	घड़ी में यांत्रिक खराबी है।
mechanism	तंत्र	लॉक का तंत्र सरल है।
medal	पदक	उसने स्वर्ण पदक जीता।
medication	दवा	पानी के साथ दवा लें।
membership	सदस्यता	जिम की सदस्यता ऑनलाइन सस्ती है।
memorable	यादगार	यात्रा यादगार थी।
metaphor	रूपक	कविता एक मजबूत रूपक का उपयोग करती है।
miner	खनिक	खनिक ने भूमिगत काम किया।
miserable	दुखी	बारिश ने पिकनिक को दुखी कर दिया।
mode	मोड	कैमरे को नाइट मोड पर स्विच करें।
modest	मामूली	वे एक मामूली घर में रहते हैं।
monster	राक्षस	कहानी में एक डरावना राक्षस है।
monthly	मासिक	हम मासिक किराया देते हैं।
monument	स्मारक	स्मारक नदी के पास स्थित है।
moreover	इसके अलावा	इसके अलावा, योजना पैसे बचाती है।
mortgage	गिरवी	उन्होंने गिरवी ऋण के लिए आवेदन किया।
mosque	मस्जिद	मस्जिद बाजार के पास है।
motion	गति	सेंसर गति का पता लगाता है।
motivate	प्रेरित करना	प्रशंसा छात्रों को प्रेरित कर सकती है।
motivation	प्रेरणा	उसकी प्रेरणा मजबूत रही।
moving	मार्मिक	भाषण मार्मिक था।
myth	मिथक	मिथक पहाड़ के नाम की व्याख्या करता है।
naked	नंगा	स्नान के बाद बच्चा नंगा था।
nasty	बुरा	कट बहुत बुरा लग रहा था।
navigation	नेविगेशन	ऐप नेविगेशन में सुधार करता है।
nearby	आस-पास	आस-पास का कैफे जल्दी खुलता है।
necessity	जरूरत	स्वच्छ पानी एक जरूरत है।
negotiate	बातचीत करना	वे कल अनुबंध पर बातचीत करेंगे।
negotiation	बातचीत	बातचीत पूरी सुबह चली।
neutral	तटस्थ	न्यायाधीश तटस्थ रहे।
newly	हाल ही में	हाल ही में रंगा हुआ दरवाजा चमकीला लग रहा था।
norm	नियम	दूर से काम करना एक नियम बन गया।
notebook	नोटबुक	अपनी नोटबुक में नोट्स लिखें।
novelist	उपन्यासकार	उपन्यासकार ने अपनी किताब पर हस्ताक्षर किए।
nowadays	आजकल	आजकल कई लोग ऑनलाइन काम करते हैं।
nursing	नर्सिंग	वह नर्सिंग की पढ़ाई कर रही है।
nutrition	पोषण	अच्छा पोषण स्वास्थ्य का समर्थन करता है।
obesity	मोटापा	मोटापा स्वास्थ्य जोखिम बढ़ाता है।
observer	पर्यवेक्षक	पर्यवेक्षक ने परिणाम दर्ज किए।
obstacle	बाधा	गिरा हुआ पेड़ एक बाधा था।
occupation	पेशा	कृपया यहाँ अपना पेशा लिखें।
occupy	कब्ज़ा करना	परिवार अपार्टमेंट में रहेगा।
offender	अपराधी	अपराधी ने अदालत में माफी मांगी।
ongoing	चल रही	जांच चल रही है।
openly	खुलकर	उसने अपने डर के बारे में खुलकर बात की।
opera	ओपेरा	हमने मिलान में एक ओपेरा देखा।
operator	ऑपरेटर	ऑपरेटर ने कॉल कनेक्ट किया।
optimistic	आशावादी	वह भविष्य को लेकर आशावादी महसूस करती है।
orchestra	ऑर्केस्ट्रा	ऑर्केस्ट्रा ने धीरे से बजाया।
organic	जैविक	उन्होंने जैविक सब्जियां खरीदीं।
outfit	पोशाक	उसकी पोशाक अवसर के अनुकूल थी।
output	उत्पादन	मशीन का उत्पादन बढ़ गया।
outstanding	उत्कृष्ट	उनका प्रदर्शन उत्कृष्ट था।
overcome	दूर करना	वे एक साथ समस्याओं को दूर करते हैं।
overnight	रातोंरात	पैकेज रातोंरात आ गया।
overseas	विदेश	उसे विदेश में काम मिल गया।
ownership	स्वामित्व	भूमि का स्वामित्व बदल गया।
oxygen	ऑक्सीजन	पौधे ऑक्सीजन पैदा करते हैं।
packet	पैकेट	पैकेट को सावधानी से खोलें।
palm	हथेली	सिक्के को अपनी हथेली में रखें।
panic	दहशत	भीड़ में दहशत फैल गई।
parade	परेड	परेड दोपहर में शुरू हुई।
parallel	समानांतर	सड़कें समानांतर चलती हैं।
participation	भागीदारी	कक्षा में भागीदारी में सुधार हुआ।
partnership	साझेदारी	साझेदारी ने दोनों कंपनियों की मदद की।
part-time	अंशकालिक	उसे अंशकालिक नौकरी मिल गई।
passionate	उत्साही	वह संगीत को लेकर उत्साही है।
password	पासवर्ड	एक मजबूत पासवर्ड चुनें।
patience	धैर्य	छोटे बच्चों को पढ़ाने के लिए धैर्य की आवश्यकता होती है।
pause	रोकना	वीडियो को अभी रोकें।
peer	सहकर्मी	सहकर्मी के दबाव ने उनकी पसंद को प्रभावित किया।
penalty	दंड	खिलाड़ी को दंड मिला।
perceive	समझना	लोग जोखिम को अलग तरह से समझते हैं।
perception	धारणा	खतरे के बारे में उनकी धारणा बदल गई।
permanently	स्थायी रूप से	दुकान स्थायी रूप से बंद हो गई।
pill	गोली	नाश्ते के बाद एक गोली लें।
pity	दया	यह अफ़सोस की बात है।
placement	स्थान	सोफे का स्थान मायने रखता है।
portion	हिस्सा	चावल का एक छोटा हिस्सा परोसें।
potentially	संभावित रूप से	यह परिवर्तन संभावित रूप से उपयोगी है।
precede	पहले आना	काले बादल अक्सर बारिश से पहले आते हैं।
precious	कीमती	अंगूठी कीमती है।
precise	सटीक	निर्देश सटीक थे।
precisely	सटीक रूप से	दूरी को सटीक रूप से मापें।
predictable	अनुमानित	अंत अनुमानित था।
preference	पसंद	उसने चाय के लिए पसंद व्यक्त की।
pride	गर्व	खत्म करने के बाद उसे गर्व महसूस हुआ।
primarily	मुख्य रूप से	कोर्स मुख्य रूप से ऑनलाइन है।
principal	प्रधानाचार्य	प्रधानाचार्य ने नए छात्रों का अभिवादन किया।
prior	पूर्व	हमें पूर्व अनुमोदन की आवश्यकता है।
probability	संभावना	बारिश की संभावना अधिक है।
probable	संभावित	आज रात बारिश संभावित है।
proceed	आगे बढ़ना	कृपया अगले कमरे में आगे बढ़ें।
programming	प्रोग्रामिंग	प्रोग्रामिंग के लिए अभ्यास की आवश्यकता होती है।
progressive	प्रगतिशील	यह नीति अपने समय के लिए प्रगतिशील थी।
prohibit	निषेध	नियम धूम्रपान का निषेध करते हैं।
promising	होनहार	परिणाम होनहार दिखते हैं।
promotion	पदोन्नति	उसे काम पर पदोन्नति मिली।
prompt	त्वरित	त्वरित प्रतिक्रिया ने समय बचाया।
proportion	अनुपात	एक बड़े अनुपात ने हाँ में वोट दिया।
protein	प्रोटीन	बीन्स में प्रोटीन होता है।
protester	प्रदर्शनकारी	प्रदर्शनकारी ने एक तख्ती पकड़ रखी थी।
psychological	मनोवैज्ञानिक	हादसे के कारण मनोवैज्ञानिक तनाव हुआ।
publicity	प्रचार	कार्यक्रम को प्रचार मिला।
publishing	प्रकाशन	वह प्रकाशन में काम करती है।
punk	पंक	पंक संगीत वहां लोकप्रिय हो गया।
purely	पूरी तरह से	विकल्प पूरी तरह से व्यावहारिक था।
pursuit	तलाश	उन्होंने न्याय की तलाश जारी रखी।
puzzle	पहेली	पहेली में एक घंटा लगा।
questionnaire	प्रश्नावली	कृपया प्रश्नावली पूरी करें।
racial	नस्लीय	रिपोर्ट में नस्लीय असमानता पर चर्चा की गई।
racism	नस्लवाद	नस्लवाद समुदायों को नुकसान पहुंचाता है।
racist	नस्लवादी	टिप्पणी नस्लवादी थी।
radiation	विकिरण	विकिरण कोशिकाओं को नुकसान पहुंचा सकता है।
rail	रेलिंग	सीढ़ियों पर रेलिंग पकड़ें।
random	यादृच्छिक	कंप्यूटर ने एक यादृच्छिक संख्या चुनी।
rat	चूहा	एक चूहा डिब्बे के पीछे भागा।
rating	रेटिंग	होटल की रेटिंग बहुत अच्छी है।
reasonably	काफी	कमरा काफी साफ था।
rebuild	पुनर्निर्माण करना	वे पुल का पुनर्निर्माण करेंगे।
receiver	रिसीवर	रिसीवर ने गेंद पकड़ी।
recession	मंदी	मंदी ने खर्च कम कर दिया।
reckon	सोचना	मुझे लगता है कि ट्रेन लेट है।
recognition	पहचान	उन्हें उनके काम के लिए पहचान मिली।
recovery	वसूली	वसूली में कई सप्ताह लग गए।
recruit	भर्ती करना	कंपनी इंजीनियरों की भर्ती करेगी।
recruitment	भर्ती	भर्ती अगले सोमवार से शुरू होगी।
referee	रेफरी	रेफरी ने मैच रोक दिया।
refugee	शरणार्थी	शरणार्थी को एक सुरक्षित घर मिल गया।
registration	पंजीकरण	पंजीकरण शुक्रवार को बंद हो जाएगा।
regulate	विनियमित करना	कानून उत्सर्जन को विनियमित करेगा।
reinforce	मजबूत करना	अतिरिक्त बीम छत को मजबूत करते हैं।
relieve	राहत देना	दवा दर्द से राहत दे सकती है।
relieved	राहत महसूस की	कॉल के बाद उसने राहत महसूस की।
remarkable	उल्लेखनीय	वसूली उल्लेखनीय थी।
remarkably	असाधारण रूप से	वह असाधारण रूप से जल्दी ठीक हो गया।
reporting	रिपोर्टिंग	सटीक रिपोर्टिंग मायने रखती है।
resign	इस्तीफा देना	मैनेजर कल इस्तीफा दे देंगे।
resolution	रिज़ॉल्यूशन	स्क्रीन में उच्च रिज़ॉल्यूशन है।
restore	बहाल करना	श्रमिक पुरानी पेंटिंग को बहाल करते हैं।
restrict	प्रतिबंधित करना	नियम पार्किंग को प्रतिबंधित करते हैं।
restriction	प्रतिबंध	प्रतिबंध कल समाप्त हो जाएगा।
retail	खुदरा	खुदरा बिक्री में वृद्धि हुई।
retirement	सेवानिवृत्ति	उसने अपनी सेवानिवृत्ति की योजना सावधानी से बनाई।
revenue	राजस्व	टिकट राजस्व ने मरम्मत के लिए भुगतान किया।
revision	रिवीजन	परीक्षा से पहले रिवीजन से मदद मिली।
ridiculous	हास्यास्पद	कीमत हास्यास्पद थी।
risky	जोखिम भरा	योजना जोखिम भरी लग रही थी।
rival	प्रतिद्वंद्वी	हमारे प्रतिद्वंद्वी ने एक नया स्टोर खोला।
rob	लूटना	आदमियों ने बैंक लूटने की कोशिश की।
robbery	डकैती	डकैती रात में हुई।
rocket	रॉकेट	रॉकेट सफलतापूर्वक लॉन्च किया गया।
romance	रोमांस	उपन्यास में रोमांस शामिल है।
rose	गुलाब	बाड़ के पास एक लाल गुलाब उगा।
roughly	लगभग	लगभग बीस लोग शामिल हुए।
ruin	बर्बाद करना	बारिश पिकनिक को बर्बाद कर सकती है।
satisfaction	संतुष्टि	ग्राहक संतुष्टि में सुधार हुआ।
scandal	घोटाला	घोटाले ने उनके करियर को नुकसान पहुंचाया।
scare	डराना	तेज आवाज ने मुझे डरा दिया।
scenario	परिदृश्य	सबसे खराब परिदृश्य की संभावना नहीं है।
scholar	विद्वान	विद्वान ने प्राचीन ग्रंथों का अध्ययन किया।
scholarship	छात्रवृत्ति	उसने छात्रवृत्ति जीती।
scratch	खरोंच	बिल्ली ने एक खरोंच छोड़ दी।
screening	स्क्रीनिंग	अस्पताल कैंसर स्क्रीनिंग की पेशकश करता है।
seeker	चाहने वाला	नौकरी चाहने वाले ने आवेदन भेजे।
seminar	संगोष्ठी	संगोष्ठी नौ बजे शुरू होती है।
settler	बसाने वाला	बसाने वाले ने एक छोटा खेत बनाया।
severely	गंभीर रूप से	तूफान ने सड़कों को गंभीर रूप से नुकसान पहुंचाया।
sexy	आकर्षक	पोशाक को आकर्षक माना जाता था।
shocking	चौंकाने वाला	खबर चौंकाने वाली थी।
shore	किनारा	हम किनारे के साथ चले।
shortage	कमी	शहर को पानी की कमी का सामना करना पड़ा।
shortly	जल्द ही	दोपहर के कुछ ही समय बाद बस आ गई।
short-term	अल्पकालिक	योजना के अल्पकालिक लाभ हैं।
sibling	भाई-बहन	प्रत्येक भाई-बहन को एक उपहार मिला।
signature	हस्ताक्षर	कृपया अपना हस्ताक्षर जोड़ें।
significance	महत्व	खोज का बहुत महत्व है।
skilled	कुशल	कुशल श्रमिकों ने छत की मरम्मत की।
slogan	नारा	अभियान में एक साधारण नारे का इस्तेमाल किया गया था।
so-called	तथाकथित	तथाकथित विशेषज्ञ ने गलतियां कीं।
somehow	किसी तरह	किसी तरह, चाबियां गायब हो गईं।
sometime	कभी	अगले हफ्ते कभी हमसे मिलने आएं।
sophisticated	परिष्कृत	सॉफ्टवेयर परिष्कृत है।
spare	अतिरिक्त	हम एक अतिरिक्त चाबी रखते हैं।
specialize	विशेषज्ञता हासिल करना	डॉक्टर विभिन्न क्षेत्रों में विशेषज्ञता हासिल करते हैं।
specify	निर्दिष्ट करना	कृपया अपने आगमन का समय निर्दिष्ट करें।
spectacular	शानदार	आतिशबाजी शानदार थी।
spectator	दर्शक	प्रत्येक दर्शक को एक कार्यक्रम मिला।
speculate	अनुमान लगाना	विशेषज्ञ कारण का अनुमान लगाते हैं।
speculation	अटकलें	लेख ने अटकलों को प्रोत्साहित किया।
spice	मसाला	एक बार में एक मसाला डालें।
spill	छलकाना	जूस मत छलकाओ।
spite	बावजूद	वह समस्याओं के बावजूद सफल रहा।
spoil	खराब करना	बहुत अधिक नमक सूप को खराब कर सकता है।
spokesman	प्रवक्ता	प्रवक्ता ने सवालों के जवाब दिए।
spokesperson	प्रवक्ता	प्रवक्ता ने एक बयान पढ़ा।
spokeswoman	प्रवक्ता	प्रवक्ता ने प्रेस को संबोधित किया।
sponsorship	प्रायोजन	टीम को प्रायोजन की जरूरत है।
sporting	खेल	शहर खेल आयोजनों की मेजबानी करता है।
stall	स्टॉल	मार्केट स्टॉल फल बेचता है।
stance	रुख	मंत्री ने अपना रुख बदल दिया।
starve	भूखों मरना	भोजन के बिना, जानवर भूखे मर सकते हैं।
steadily	लगातार	कंपनी लगातार बढ़ी।
steam	भाप	सूप से भाप उठी।
stimulate	प्रोत्साहित करना	चमकीले रंग रुचि को प्रोत्साहित कर सकते हैं।
