source_headword	SK	example_SK
anonymous	anonymný	Sťažnosť bola anonymná.
apparatus	prístroj	Laboratórny prístroj potrebuje vyčistiť.
appealing	lákavý	Ponuka vyzerá pre študentov lákavo.
appetite	chuť do jedla	Cvičenie mu zvýšilo chuť do jedla.
applaud	tlieskať	Publikum začalo hlasno tlieskať.
applicable	platný	Zľava je platná dnes.
appoint	vymenovať	Predstavenstvo vymenuje riaditeľa.
appreciation	uznanie	Vyjadrila uznanie za ich pomoc.
arbitrary	ľubovoľný	Termín pripadal zamestnancom ľubovoľný.
architectural	architektonický	Mesto chráni svoje architektonické dedičstvo.
archive	archív	V archíve sú uložené staré fotografie.
arena	aréna	Debata sa presunula do verejnej arény.
arguably	pravdepodobne	Toto je pravdepodobne jeho najlepší román.
arm	vyzbrojiť	Stráže vyzbroja konvoj.
array	rad	Obchod ponúka rad nástrojov.
articulate	formulovať	Dokáže jasne formulovať zložité myšlenky.
ash	popol	Auto po požiari pokryl popol.
aspiration	ašpirácia	Jej ašpiráciou je stať sa chirurgičkou.
aspire	usilovať	Mnoho študentov usiluje o štúdium v zahraničí.
assassination	atentát	Atentát zmenil politiku krajiny.
assault	napadnutie	K napadnutiu došlo v blízkosti stanice.
assemble	zostaviť	Robotníci zostavujú nábytok ručne.
assembly	zhromaždenie	Školské zhromaždenie sa začína o deviatej.
assert	presadiť	Snažil sa presadiť svoju autoritu.
assertion	tvrdenie	Jej tvrdenie prekvapilo komisiu.
assurance	uistenie	Manažér dal uistenie o podpore.
asylum	azyl	Rodina požiadala o azyl na hraniciach.
atrocity	zverstvo	Film opisoval vojnové zverstvo.
attain	dosiahnuť	Túto rýchlosť dosiahne len málo bežcov.
attendance	dochádzka	Dochádzka sa po oznámení zlepšila.
attorney	advokát	Advokát vypočúval svedka.
attribute	pripisovať	Vedci tento nárast pripisujú znečisteniu.
audit	audit	Audit odhalil niekoľko chýb.
authentic	autentický	Reštaurácia podáva autentické regionálne jedlo.
authorize	schváliť	Vrátenie peňazí môžu schváliť iba manažéri.
auto	auto	Automobilový priemysel sa rýchlo zmenil.
autonomy	autonómia	Región chce väčšiu autonómiu.
availability	dostupnosť	Dostupnosť miest je obmedzená.
await	očakávať	Niekoľko správ čaká na vašu odpoveď.
backdrop	pozadie	Hory tvorili dramatické pozadie.
backing	podpora	Návrh získal podporu voličov.
backup	záloha	Systém denne vytvára zálohu.
bail	kaucia	Sudca stanovil kauciu na poludnie.
ballot	hlasovací lístok	Každý volič dostal hlasovací lístok.
banner	transparent	Transparent visel nad vchodom.
bare	holý	Izba mala holé steny.
barrel	sud	Sud bol plný vody.
bass1	basa	Basa znela hlboko a teplo.
battlefield	bojisko	Zo starého bojiska sa stal pamätník.
bay	záliv	Dedina leží pri pokojnom zálive.
beam	trám	Oceľový trám podopiera strechu.
beast	zviera	Príbeh opisuje zúrivé zviera.
behalf	v mene	Hovorila v mene svojho tímu.
beloved	milovaný	Milovaný učiteľ dnes odišiel do dôchodku.
bench	lavička	Sedeli na drevenej lavičke.
benchmark	meradlo	Test sa stal priemyselným meradlom.
beneath	pod	Dokumenty boli pod priečinkom.
beneficiary	príjemca	Jej syn bol hlavným príjemcom.
betray	zradiť	Nezraď dôveru svojho priateľa.
bind	viazať	Dohoda bude zväzovať obe spoločnosti.
biography	biografia	Z jeho biografie sa predalo veľa výtlačkov.
bishop	biskup	Biskup navštívil dedinský kostol.
bizarre	bizarný	Film mal bizarný koniec.
blade	čepeľ	Čepeľ prerezala lano.
blast	výbuch	Výbuch rozbil neďaleké okná.
bleed	krvácať	Rezná rana začala silno krvácať.
blend	zmiešať	Miešajte omáčku, kým nebude hladká.
bless	žehnať	Kňaz požehná dom.
blessing	požehnanie	Mať podporu bolo požehnanie.
boast	chváliť sa	Rád sa chváli peniazmi.
bonus	bonus	Zamestnanci dostali sviatočný bonus.
boom	rozmach	Mesto zažilo stavebný rozmach.
bounce	odraziť sa	Lopta sa môže odraziť veľmi vysoko.
boundary	hranica	Rieka tvorí hranicu.
bow1	úklon	Herec sa hlboko uklonil.
breach	porušenie	Únik odhalil súkromné údaje.
breakdown	rozpis	Správa obsahuje rozpis nákladov.
breakthrough	prielom	Objav bol veľkým prielomom.
breed	rozmnožovať sa	Tieto vtáky sa rozmnožujú na jar.
broadband	širokopásmové pripojenie	Kancelária potrebuje rýchlejšie širokopásmové pripojenie.
browser	prehliadač	Pred prihlásením aktualizujte svoj prehliadač.
brutal	brutálny	Útok bol brutálny a náhly.
buck	dolár	Lístok stojí desať dolárov.
buddy	kamoš	Jeho kamoš čakal vonku.
buffer	bariéra	Stromy vytvárajú hlukovú bariéru.
bulk	objem	Kupovali ryžu vo veľkom.
burden	bremeno	Dlh sa stal ťažkým bremenom.
bureaucracy	byrokracia	Byrokracia zdržala povolenie.
burial	pohreb	Pohreb sa konal na úsvite.
burst	prasknúť	Potrubie môže pod tlakom prasknúť.
cabinet	kabinet	Kabinet plán schválil.
calculation	výpočet	Výpočet trval niekoľko minút.
canvas	plátno	Umelec maľoval na veľké plátno.
capability	schopnosť	Zariadenie má bezdrôtové pripojenie.
capitalism	kapitalizmus	Kapitalizmus formoval modernú ekonomiku.
capitalist	kapitalistický	Kapitalistický systém odmeňuje súkromné investície.
cargo	náklad	Loď viezla zdravotnícky náklad.
carriage	vagón	Vlakový vagón bol takmer prázdny.
carve	vyrezávať	Bude opatrne vyrezávať do dreva.
casino	kasíno	Kasíno sa otvorilo blízko hotela.
casualty	obeť	Nehoda si vyžiadala jednu obeť.
catalogue	katalóg	Katalóg uvádza každý produkt.
cater	poskytovať občerstvenie	Reštaurácia môže zabezpečiť stravovanie pre veľké podujatia.
cattle	dobytok	Dobytok sa pásol blízko rieky.
caution	opatrnosť	Na zľadovatených cestách buďte opatrní.
cautious	opatrný	Investori zostávajú tento týždeň opatrní.
cease	prestať	Továreň čoskoro ukončí výrobu.
cemetery	cintorín	Z cintorína je výhľad na more.
chamber	komora	Komora bola počas hlasovania tichá.
chaos	chaos	Meškanie spôsobilo na letisku chaos.
characterize	charakterizovať	Odborníci charakterizujú plán ako riskantný.
charm	čaro	Mesto má starosvetské čaro.
charter	charta	Charta chráni základné práva.
chronic	chronický	Trpí chronickou bolesťou chrbta.
chunk	kus	Syr nakrájajte na veľký kus.
circulate	kolovať	Prosím, nechajte dnes kolovať program.
circulation	náklad	Náklad novín prudko klesol.
citizenship	občianstvo	Požiadala o francúzske občianstvo.
civic	občiansky	Na stretnutí sa zúčastnili občianski lídri.
civilian	civilista	Niekoľko civilných domov bolo poškodených.
clarity	jasnosť	Diagram dodal správe jasnosť.
clash	stret	Stret začal po pochode.
classification	klasifikácia	Klasifikácia závisí od veľkosti.
cling	držať sa	Mokré oblečenie sa lepí na pokožku.
clinical	klinický	Klinická štúdia sa začína na budúci mesiac.
closure	uzavretie	Rodina chcela po prípade uzavretie.
cluster	zhluk	Neďaleko stál zhluk domov.
coalition	koalícia	Koalícia stratila väčšinu.
coastal	pobrežný	Pobrežné dediny sa pripravovali na povodne.
cocktail	koktail	Objednala si ovocný koktail.
cognitive	kognitívny	Kognitívne zručnosti sa cvičením zlepšujú.
coincide	zhodovať sa	Festival sa bude kryť s promóciou.
collaborate	spolupracovať	Tímy spolupracujú na softvéri.
collaboration	spolupráca	Ich spolupráca priniesla dobré výsledky.
collective	kolektívny	Rozhodnutie bolo kolektívnym úsilím.
collision	zrážka	Zrážka zablokovala diaľnicu.
colonial	koloniálny	Budova má koloniálnu architektúru.
columnist	stĺpčekár	Stĺpčekár kritizoval politiku.
combat	boj	Vojaci trénovali na boj.
commence	začať	Ceremónia začne napoludnie.
commentary	komentár	Komentár k zápasu bol živý.
commentator	komentátor	Komentátor vysvetlil rozhodnutie.
commerce	obchod	Online obchod rástol rýchlo.
commissioner	komisár	Komisár oznámil nové pravidlá.
commodity	komodita	Pšenica je dôležitá komodita.
communist	komunistický	Komunistická strana usporiadala schôdzu.
companion	spoločník	Jej pes je verný spoločník.
comparable	porovnateľný	Dve mestá sú porovnateľné vo veľkosti.
compassion	súcit	Zdravotná sestra prejavila veľký súcit.
compel	donútiť	Dôkazy môžu donútiť k odpovedi.
compelling	presvedčivý	Dokumentárny film predstavil presvedčivý argument.
compensate	kompenzovať	Spoločnosť bude kompenzovať zasiahnutých zákazníkov.
compensation	kompenzácia	Robotníci požadovali spravodlivú kompenzáciu.
competence	kompetencia	Test meria profesionálnu kompetenciu.
competent	kompetentný	Je to kompetentná inžinierka.
compile	zhromaždiť	Výskumníci zhromaždia dáta z nemocníc.
complement	doplniť	Víno doplní jedlo.
complexity	zložitosť	Projekt má nečakanú zložitosť.
compliance	dodržiavanie	Audit skontroloval dodržiavanie predpisov.
complication	komplikácia	Operácia mala jednu komplikáciu.
comply	dodržiavať	Spoločnosti musia dodržiavať predpisy.
composition	skladba	Skladba zahŕňa husle a klavír.
compromise	kompromis	Kompromis uspokojil obe strany.
compute	spočítať	Program dokáže spočítať celkovú sumu.
conceal	zatajiť	Snažil sa zatajiť škodu.
concede	priznať	Minister odmietol priznať porážku.
conceive	vymyslieť	Nemohli vymyslieť lepší plán.
conception	poňatie	Film zmenil moje poňatie histórie.
concession	ústupok	Spoločnosť ponúkla jeden ústupok.
condemn	odsúdiť	Lídri útok verejne odsúdili.
confer	udeliť	Ocenenie udelí prestíž.
confession	priznanie	Jeho priznanie prekvapilo súd.
configuration	konfigurácia	Konfigurácia riadi prístup k sieti.
confine	obmedziť	Pravidlá obmedzujú psov na túto oblasť.
confirmation	potvrdenie	Dostali sme potvrdenie e-mailom.
confront	čeliť	Rozhodla sa čeliť problému.
confrontation	konfrontácia	Konfrontácia sa skončila bez násilia.
congratulate	blahoželať	Zavolal som, aby som zablahoželal sestre.
congregation	zhromaždenie	Zhromaždenie spievalo spoločne.
congressional	kongresový	Kongresové vypočúvanie trvalo hodiny.
conquer	dobyť	Tím dúfa, že dobyje trh.
conscience	svedomie	Jeho svedomie by nedovolilo klamstvá.
consciousness	vedomie	Nehoda ovplyvnila jeho vedomie.
consecutive	po sebe idúci	Vyhrala tri po sebe idúce zápasy.
consensus	konsenzus	Výbor rýchlo dosiahol konsenzus.
consent	súhlas	Písomný súhlas sa vyžaduje.
conserve	šetriť	Počas sucha šetríme vodou.
consistency	dôslednosť	Dôslednosť je pri štúdiu jazykov dôležitá.
consolidate	zlúčiť	Spoločnosť zlúči dve kancelárie.
constituency	volebný obvod	Kandidát navštívil každý volebný obvod.
constitute	tvoriť	Ženy tvoria polovicu výboru.
constitution	ústava	Ústava zaručuje slobodu prejavu.
constitutional	ústavný	Súd preskúmal ústavné práva.
constraint	obmedzenie	Rozpočtové obmedzenie projekt obmedzilo.
consultation	konzultácia	Konzultácia trvala dva týždne.
contemplate	zvažovať	Odmlčala sa, aby zvážila ponuku.
contempt	opovrhnutie	Prejavil opovrhnutie k pravidlám.
contend	súťažiť	O zákazku súťaží niekoľko firiem.
contender	uchádzač	Je silnou uchádzačkou.
content2	spokojný	S výsledkom sa cítil spokojný.
contention	spor	Hlavný spor sa týka financovania.
continually	neustále	Systém neustále kontroluje chyby.
contractor	dodávateľ	Dodávateľ opravil strechu.
contradiction	rozpor	Jeho vyhlásenie obsahovalo rozpor.
contrary	opačný	Opačné dôkazy zmenili prípad.
contributor	prispievateľ	Je pravidelnou prispievateľkou.
conversion	prevod	Prevod zmenil doláre na eurá.
convict	usvedčiť	Porota môže podozrivého usvedčiť.
conviction	odsúdenie	Jeho odsúdenie šokovalo verejnosť.
cooperate	spolupracovať	Prosím, spolupracujte s vyšetrovaním.
cooperative	kooperatívny	Personál bol kooperatívny a pokojný.
coordinate	koordinovať	Každé ráno koordinujú dodávky.
coordination	koordinácia	Dobrá koordinácia ušetrila čas.
coordinator	koordinátor	Koordinátor pridelil každú úlohu.
cop	policajt	Policajt stál pred stanicou.
copper	meď	Rúrka je vyrobená z medi.
copyright	autorské právo	Obrázok je chránený autorským právom.
correction	oprava	Učiteľ urobil jednu opravu.
correlate	korelovať	Vysoký stres môže korelovať s chorobou.
correlation	korelácia	Štúdia našla silnú koreláciu.
correspond	zodpovedať	Tieto čísla zodpovedajú štítkom.
correspondence	korešpondencia	Ich korešpondencia trvala roky.
correspondent	spravodajca	Spravodajca reportoval z Káhiry.
corresponding	zodpovedajúci	Každé tlačidlo má zodpovedajúce svetlo.
corrupt	skorumpovaný	Skorumpovaný úradník prijal peniaze.
corruption	korupcia	Korupcia oslabila dôveru verejnosti.
costly	nákladný	Chyba bola pre tím nákladná.
councillor	radný	Radný odpovedal na otázky obyvateľov.
counselling	poradenstvo	Po nehode dostala poradenstvo.
counsellor	poradca	Poradca pomáhal novým študentom.
counter (argue against)	oponovať	Snažila sa oponovať jeho argumentu.
counterpart	proťajšok	Stretol sa so svojím japonským náprotivkom.
countless	nespočetný	Nespočet dobrovoľníkov sa pripojilo k pátraniu.
coup	prevrat	Prevrat zvrhol prezidenta.
courtesy	zdvorilosť	Poďakovala im za ich zdvorilosť.
