source_headword	TR	example_TR
nobody	hiç kimse	Evde hiç kimse yok.
north	kuzey	İstasyon buranın kuzeyinde.
nose	burun	Burnum soğuk.
not	değil	Yorgun değilim.
note	not	Şimdi bir not yaz.
nothing	hiçbir şey	Kutuda hiçbir şey yok.
November	kasım	Kursum kasımda başlar.
now	şimdi	Şimdi buraya gel.
number	sayı; numara	Numarayı buraya yaz.
nurse	hemşire	Hemşire nazik.
object	nesne	Nesneyi masaya koy.
o’clock	saat	Ders saat dokuzda başlar.
October	ekim	Ekimde seyahat ederiz.
of	-in; -ın	Bu bir bardak çay.
off	kapalı; kapatmak	Işığı kapat.
office	ofis	Ofisim küçük.
often	sık sık	Sık sık okula yürürüm.
oh	ah; oh	Ah, şimdi anladım.
OK	tamam; iyi	Bu tamam mı?
old	eski; yaşlı	Bu ev eski.
on	üzerinde	Kitap masanın üzerinde.
once	bir kez	Haftada bir kez ararım.
one	bir	Bir kız kardeşim var.
onion	soğan	Bir soğan kes.
online	çevrimiçi	Çevrimiçi ders çalışırım.
only	sadece	Sadece bir çantam var.
open	açık; açmak	Lütfen pencereyi aç.
opinion	görüş; fikir	Görüşün nedir?
opposite	karşısında	Dükkan bankanın karşısında.
or	veya	Çay veya kahve?
orange	portakal; turuncu	Bu portakal tatlı.
order	sipariş; sipariş vermek	Çorba sipariş ederim.
other	diğer	Diğer kapıyı kullan.
our	bizim	Bu bizim sınıfımız.
out	dışarı	Öğle yemeğinden sonra dışarı çık.
outside	dışarıda	Çocuklar dışarıda oynuyor.
over	üzerinde; üzerinden	Uçak şehrin üzerinden uçar.
own	kendi	Kendi odam var.
page	sayfa	Onuncu sayfayı aç.
paint	boyamak; boya	Duvarı maviye boya.
painting	resim; tablo	Bu tablo güzel.
pair	çift	Bir çift çoraba ihtiyacım var.
paper	kağıt	Bu kağıda yaz.
paragraph	paragraf	İlk paragrafı oku.
parent	ebeveyn	Bir ebeveyn dışarıda bekler.
park	park; park etmek	İstasyonun yakınına park ederiz.
part	parça; bölüm	Bu bölüm kolay.
partner	partner; eş	Bir partnerle çalış.
party	parti	Parti yedide başlar.
passport	pasaport	Lütfen pasaportunu göster.
past	geçmiş; geçe	Saat altı buçuk.
pay	ödemek	Kartla öderim.
pen	kalem	Bu kalem mavi.
pencil	kurşun kalem	Kurşun kalemle yazarım.
people	insanlar	Burada çok insan var.
pepper	biber	Çorbaya biber ekle.
perfect	mükemmel	Cevabın mükemmel.
period	dönem; ders saati	Ders saati kısa.
person	kişi	Bir kişi bekliyor.
personal	kişisel	Bu benim kişisel telefonum.
phone	telefon	Telefonum çantamda.
photo	fotoğraf	Burada fotoğraf çek.
photograph	fotoğraf	Bu fotoğraf eski.
phrase	ifade	Lütfen ifadeyi tekrarla.
piano	piyano	O piyano çalar.
picture	resim	Bu resme bak.
piece	parça	Bir parça kek al.
pig	domuz	Domuz çiftlikte.
pink	pembe	Çantası pembe.
place	yer	Bu yer sessiz.
plan	plan	Bir plana ihtiyacımız var.
plane	uçak	Uçak geç kaldı.
plant	bitki; dikmek	Bitkiyi bugün sula.
play	oynamak	Çocuklar parkta oynar.
player	oyuncu	Oyuncu hızlı koşar.
please	lütfen	Lütfen buraya otur.
point	nokta; konu	Bu nokta önemli.
police	polis	Polis dışarıda.
policeman	polis memuru	Polis memuru bize yardım eder.
pool	havuz	Havuz soğuk.
poor	fakir; yoksul	Yoksul çocuk aç.
popular	popüler; sevilen	Bu şarkı popüler.
positive	olumlu	Bu olumlu bir sonuç.
possible	mümkün	Bu bugün mümkün mü?
post	gönderi	Onun gönderisini çevrimiçi okurum.
potato	patates	Patates yerim.
pound	sterlin	Bu bir sterlin tutar.
practice	pratik; alıştırma	Pratik her gün yardım eder.
practise	pratik yapmak	Her gün İngilizce pratik yaparım.
prefer	tercih etmek	Çayı tercih ederim.
prepare	hazırlamak	Çantanı bu akşam hazırla.
present	mevcut; hediye	O bugün mevcut.
pretty	güzel	Bahçe güzel.
price	fiyat	Fiyat düşük.
probably	muhtemelen	O muhtemelen biliyor.
problem	sorun; problem	Bu sorun küçük.
product	ürün	Bu ürün yeni.
programme	program	Program şimdi başlar.
project	proje	Projemiz hazır.
purple	mor	Gömlek mor.
put	koymak	Kitabı buraya koy.
quarter	çeyrek	Saat ikiyi çeyrek geçiyor.
question	soru	Bir soru sor.
quick	hızlı	Bu hızlı bir test.
quickly	hızlıca	Lütfen hızlıca yürü.
quiet	sessiz	Kütüphane sessiz.
quite	oldukça	Bu oda oldukça küçük.
radio	radyo	Radyo yüksek sesli.
rain	yağmur; yağmak	Yağmur şimdi başlıyor.
read	okumak	Bu cümleyi oku.
reader	okuyucu	Okuyucu hikayeyi sever.
reading	okuma	Okuma öğrenmeme yardım eder.
ready	hazır	Akşam yemeği hazır.
real	gerçek	Bu gerçek bir sorun.
really	gerçekten	Bu şarkıyı gerçekten seviyorum.
reason	neden; sebep	Bana nedeni söyle.
red	kırmızı	Kapı kırmızı.
relax	rahatlamak	İşten sonra rahatla.
remember	hatırlamak	Pasaportunu hatırla.
repeat	tekrarlamak	Lütfen cümleyi tekrarla.
report	rapor	Raporu bu akşam oku.
restaurant	restoran	Restoran kalabalık.
result	sonuç	Sonuç iyi.
return	geri dönmek; iade etmek	Kitabı yarın iade et.
rice	pirinç	Öğle yemeğinde pirinç yerim.
rich	zengin	Şehir zengin.
ride	binmek; sürmek	Bisikletime binerim.
right	sağ; doğru	Burada sağa dön.
river	nehir	Nehir geniş.
road	yol	Bu yol uzun.
room	oda	Odam temiz.
routine	rutin	Rutinim erken başlar.
rule	kural	Bu kural basit.
run	koşmak	Her sabah koşarım.
sad	üzgün	O bugün üzgün hissediyor.
salad	salata	Bu salata taze.
salt	tuz	Biraz tuz ekle.
same	aynı	Aynı çantamız var.
sandwich	sandviç	Sandviç yerim.
Saturday	cumartesi	Cumartesi buluşuruz.
say	söylemek	Lütfen adını söyle.
school	okul	Okulum buraya yakın.
science	bilim	Bilim çalışırım.
scientist	bilim insanı	Bilim insanı bir soru sorar.
sea	deniz	Deniz mavi.
second1 (unit of time)	saniye	Bir saniye bekle.
section	bölüm	Bu bölümü oku.
see	görmek	Arkadaşımı görüyorum.
sell	satmak	Taze meyve satarlar.
send	göndermek	Mesajı şimdi gönder.
sentence	cümle	Bir cümle yaz.
September	eylül	Okul eylülde başlar.
seven	yedi	Burada yedi kişi var.
seventeen	on yedi	O on yedi yaşında.
seventy	yetmiş	Büyükannem yetmiş yaşında.
share	paylaşmak	Keki paylaş.
she	o	O benim kız kardeşim.
sheep	koyun	Koyun ot yer.
shirt	gömlek	Gömleği temiz.
shoe	ayakkabı	Bir ayakkabı yatağın altında.
shop	dükkan; alışveriş yapmak	Dükkan erken kapanır.
shopping	alışveriş	Alışveriş bugün eğlenceli.
short	kısa	Bu hikaye kısa.
should modal	-meli; gerek	Bugün dinlenmelisin.
show	göstermek	Biletini bana göster.
shower	duş	Duş alırım.
sick	hasta	Bugün hasta hissediyorum.
similar	benzer	Çantalarımız benzer.
sing	şarkı söylemek	Sınıfta şarkı söylerim.
singer	şarkıcı	Şarkıcı ünlü.
sister	kız kardeş	Kız kardeşim genç.
sit	oturmak	Pencerenin yanına otur.
situation	durum	Bu durum yeni.
six	altı	Burada altı kitap var.
sixteen	on altı	O on altı yaşında.
sixty	altmış	Babam altmış yaşında.
skill	beceri	Bu beceri yararlı.
skirt	etek	Eteği mavi.
sleep	uyumak; uyku	Sekiz saat uyurum.
slow	yavaş	Otobüs yavaş.
small	küçük	Oda küçük.
snake	yılan	Yılan uzun.
snow	kar; kar yağmak	Kışın kar yağar.
so	bu yüzden	Yorgunum, bu yüzden dinlenirim.
some	biraz; bazı	Biraz suya ihtiyacım var.
somebody	birisi	Birisi kapıda.
someone	birisi	Birisi mesaj bıraktı.
something	bir şey	İçecek bir şey istiyorum.
sometimes	bazen	Bazen okula yürürüm.
son	oğul	Oğlu okulda.
song	şarkı	Bu şarkı yeni.
soon	yakında	Yakında görüşürüz.
sorry	üzgün; pardon	Üzgünüm, geç kaldım.
sound	ses	Ses yüksek.
soup	çorba	Çorba sıcak.
south	güney	Otel buranın güneyinde.
space	yer; alan	Bir sandalye için yer var.
speak	konuşmak	Lütfen yavaş konuş.
special	özel	Bugün özel bir gün.
spell	harf harf söylemek	Adını harf harf söyle.
spelling	yazım	Yazımını kontrol et.
spend	harcamak	Yemeğe para harcarım.
sport	spor	Futbol popüler bir spor.
spring	bahar; ilkbahar	İlkbaharda çiçekler büyür.
stand	ayakta durmak	Kapının yanında dur.
star	yıldız	Parlak bir yıldız görüyorum.
start	başlamak	Derse şimdi başla.
statement	ifade	Bu ifade doğru.
station	istasyon	İstasyon yakın.
stay	kalmak	Bugün evde kal.
still	hala	Hala açım.
stop	durmak; durak	Köşede dur.
story	hikaye	Bana bir hikaye anlat.
street	sokak	Bu sokak sessiz.
strong	güçlü	O güçlü.
student	öğrenci	Öğrenci kitap okur.
study	çalışmak; ders çalışmak	İngilizce çalışırım.
style	stil; tarz	Bu tarzı seviyorum.
subject	konu; ders	İngilizce ana dersim.
success	başarı	Başarı pratik gerektirir.
sugar	şeker	Çaya şeker koy.
summer	yaz	Yaz burada sıcak.
sun	güneş	Güneş parlak.
Sunday	pazar	Pazar günü dinleniriz.
supermarket	süpermarket	Süpermarket açık.
sure	emin	Eminim.
sweater	kazak	Kazağım sıcak tutar.
swim	yüzmek	Her hafta yüzerim.
swimming	yüzme	Yüzme iyi egzersizdir.
table	masa	Anahtarlar masanın üzerinde.
