hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
1069:查找	查找	查找	procurar; pesquisar	Estou a procurar informações na internet.	buscar	Estoy buscando información en internet.
1070:差点儿	差点儿	差点儿	quase	Quase perdi o autocarro.	casi	Casi pierdo el autobús.
1072:厂	厂	厂	a fábrica	Esta fábrica produz telemóveis.	la fábrica	Esta fábrica produce teléfonos móviles.
1075:车速	车速	车速	a velocidade do veículo	Em dias de chuva, a velocidade do veículo deve ser um pouco mais baixa.	la velocidad del vehículo	En días de lluvia, la velocidad del vehículo debe ser un poco más baja.
1076:车位	车位	车位	o lugar de estacionamento	Ainda há um lugar de estacionamento lá em baixo.	la plaza de aparcamiento	Todavía hay una plaza de aparcamiento abajo.
1077:城	城	城	a cidade	Esta cidade tem muitas ruas antigas.	la ciudad; la localidad	Esta ciudad tiene muchas calles antiguas.
1080:乘客	乘客	乘客	o passageiro	Senhores passageiros, saiam pela porta de trás, por favor.	el pasajero	Pasajeros, bajen por la puerta trasera, por favor.
1085:迟	迟	迟	tarde; atrasado	Ele chegou um pouco tarde hoje.	tarde; con retraso	Él llegó un poco tarde hoy.
1086:重	重	重	de novo; voltar a	Esta redação tem de ser reescrita uma vez.	de nuevo; volver a	Esta redacción debe escribirse de nuevo una vez.
1091:出行	出行	出行	viajar; deslocar-se	Nos feriados, muitas pessoas viajam.	viajar; desplazarse	Durante los días festivos viaja mucha gente.
1092:出租	出租	出租	arrendar; alugar	Este apartamento pode ser arrendado.	alquilar; poner en alquiler	Este apartamento se puede alquilar.
1094:厨师	厨师	厨师	o cozinheiro; o chef	Este cozinheiro prepara os pratos muito depressa.	el cocinero; el chef	Este chef cocina muy rápido.
1095:窗	窗	窗	a janela	Por favor, abre um pouco a janela.	la ventana	Abre un poco la ventana, por favor.
1099:此	此	此	este; aqui	É proibido estacionar aqui.	este; aquí	Está prohibido aparcar aquí.
1100:此次	此次	此次	desta vez; esta ocasião	Esta reunião é muito importante.	esta vez; esta ocasión	Esta reunión es muy importante.
1104:从中	从中	从中	com isso; daí	Ele aprendeu muito com isso.	de ello; de entre ellos	Él aprendió mucho de ello.
1105:粗	粗	粗	grosso; áspero	Esta corda é relativamente grossa.	grueso; áspero	Esta cuerda es relativamente gruesa.
1107:村	村	村	a aldeia; a vila	A avó vive numa pequena aldeia.	el pueblo; la aldea	La abuela vive en un pueblo pequeño.
1109:错过	错过	错过	perder; deixar passar	Não percas o jogo de amanhã.	perderse; dejar pasar	No te pierdas el partido de mañana.
1112:答	答	答	responder	Ele respondeu a esta pergunta muito rapidamente.	responder	Él respondió esta pregunta muy rápido.
1116:打败	打败	打败	derrotar; vencer	Eles finalmente derrotaram a equipa forte.	derrotar; vencer	Finalmente derrotaron al equipo fuerte.
1120:打印机	打印机	打印机	a impressora	A impressora do escritório está avariada.	la impresora	La impresora de la oficina está rota.
1123:大巴	大巴	大巴	o autocarro	Vamos para o aeroporto de autocarro.	el autobús de larga distancia; el autocar	Vamos al aeropuerto en autocar.
1124:大大	大大	大大	muito; consideravelmente	Esta atividade aumentou muito o interesse.	en gran medida; mucho	Esta actividad aumentó mucho el interés.
1126:大量	大量	大量	uma grande quantidade	Há uma grande quantidade de fruta fresca no supermercado.	una gran cantidad	Hay una gran cantidad de fruta fresca en el supermercado.
1127:大赛	大赛	大赛	a grande competição; o concurso importante	A escola vai realizar um concurso de chinês na próxima semana.	la gran competición; el concurso importante	La escuela celebrará un concurso de chino la próxima semana.
1128:大厅	大厅	大厅	o átrio; o salão	Os hóspedes estão à espera do carro no átrio.	el vestíbulo; el gran salón	Los huéspedes están esperando el coche en el vestíbulo.
1130:大自然	大自然	大自然	a natureza	As crianças gostam de brincar na natureza.	la naturaleza	A los niños les gusta jugar en la naturaleza.
1131:待	待	待	ficar; permanecer	Ele ficou em casa o dia todo.	quedarse; permanecer	Él se quedó en casa todo el día.
1133:袋子	袋子	袋子	o saco; a bolsa	Por favor, põe a fruta no saco.	la bolsa; el saco	Pon la fruta en la bolsa, por favor.
1140:道	道	道	classificador para perguntas; caminho	Esta pergunta não é difícil.	clasificador para preguntas; camino	Esta pregunta no es difícil.
1142:到来	到来	到来	a chegada	A chegada da primavera deixa as pessoas felizes.	la llegada	La llegada de la primavera alegra a la gente.
1143:道路	道路	道路	a estrada; o caminho	Esta estrada leva à aldeia.	la carretera; el camino	Esta carretera lleva al pueblo.
1146:登机	登机	登机	embarcar	Por favor, embarque meia hora antes.	embarcar en un avión	Embarque media hora antes, por favor.
1148:等到	等到	等到	esperar até	Vamos sair quando a chuva parar.	esperar hasta	Nos iremos cuando pare la lluvia.
1150:低价	低价	低价	o preço baixo; barato	Esta loja vende muitas vezes bilhetes baratos.	precio bajo; barato	Esta tienda vende a menudo billetes de bajo precio.
1151:低温	低温	低温	a baixa temperatura	Com temperaturas baixas, deve-se vestir mais roupa.	la baja temperatura	Cuando hace bajas temperaturas, hay que ponerse más ropa.
1152:低于	低于	低于	ser inferior a; estar abaixo de	A temperatura de hoje é inferior à de ontem.	ser inferior a; estar por debajo de	La temperatura de hoy es más baja que la de ayer.
1154:底下	底下	底下	debaixo; por baixo	Há uma mala debaixo da mesa.	debajo; abajo	Hay una bolsa debajo de la mesa.
1157:点名	点名	点名	fazer a chamada	O professor faz a chamada antes da aula.	pasar lista	El profesor pasa lista antes de la clase.
1158:点头	点头	点头	acenar com a cabeça	Ela acenou com a cabeça para mostrar que concordava.	asentir; hacer un gesto con la cabeza	Ella asintió para mostrar que estaba de acuerdo.
1159:电动车	电动车	电动车	o veículo elétrico	Ele vai trabalhar de veículo elétrico.	el vehículo eléctrico	Él va al trabajo en un vehículo eléctrico.
1160:电视剧	电视剧	电视剧	a série de televisão	A minha mãe gosta de ver séries de televisão.	la serie de televisión	A mi madre le gusta ver series de televisión.
1163:订	订	订	reservar; encomendar	Já reservei um bilhete de avião.	reservar; pedir	Ya he reservado un billete de avión.
1164:定	定	定	fixar; decidir	A hora da reunião já foi definida.	fijar; decidir	La hora de la reunión ya está fijada.
1165:东部	东部	东部	a parte oriental; o leste	Há um parque novo na parte oriental da cidade.	la parte este; el este	Hay un parque nuevo en la parte este de la ciudad.
1166:动车	动车	动车	o comboio de alta velocidade	Vamos para Xangai de comboio de alta velocidade.	el tren de alta velocidad	Vamos a Shanghái en tren de alta velocidad.
1168:读者	读者	读者	o leitor; a leitora	Este livro tem muitos leitores jovens.	el lector; la lectora	Este libro tiene muchos lectores jóvenes.
1170:度假	度假	度假	ir de férias	Eles foram de férias para a praia.	irse de vacaciones	Fueron a la playa de vacaciones.
1173:队	队	队	a equipa; a fila	Há uma fila de pessoas à porta.	el equipo; la fila	Hay una fila de personas en la puerta.
1177:队员	队员	队员	o membro da equipa	Cada membro da equipa trabalha muito.	el miembro del equipo	Cada miembro del equipo trabaja duro.
1178:队长	队长	队长	o capitão; o chefe da equipa	O capitão está a organizar o treino.	el capitán; el jefe de equipo	El capitán está organizando el entrenamiento.
1181:多数	多数	多数	a maioria	A maioria dos alunos escolheu a aula de chinês.	la mayoría	La mayoría de los estudiantes eligió la clase de chino.
1182:多样	多样	多样	diverso; variado	As formas de atividade aqui são muito variadas.	diverso; variado	Las formas de las actividades aquí son muy variadas.
1185:发出	发出	发出	emitir; enviar	O telemóvel emitiu um som.	emitir; enviar	El teléfono móvil emitió un sonido.
1186:发送	发送	发送	enviar	Por favor, envia-me o e-mail.	enviar	Envíame el correo electrónico, por favor.
1187:法	法	法	a lei; o método	Este método é relativamente simples.	la ley; el método	Este método es relativamente sencillo.
1190:烦	烦	烦	aborrecido; incómodo	Este assunto deixou-o muito aborrecido.	molesto; fastidiado	Este asunto lo dejó muy molesto.
1196:房租	房租	房租	a renda	A renda subiu este mês.	el alquiler	El alquiler subió este mes.
1199:费	费	费	a taxa; o custo	A taxa de inscrição já foi paga.	la tasa; la cuota; costar	La tasa de inscripción ya está pagada.
1200:费用	费用	费用	a despesa; o custo	O custo da viagem não é muito alto.	el gasto; el coste	El coste del viaje no es muy alto.
1201:分数	分数	分数	a pontuação; a nota	A pontuação dele no exame é muito alta.	la puntuación; la nota	Su puntuación en el examen es muy alta.
1202:分为	分为	分为	dividir-se em	Esta turma está dividida em três grupos.	dividirse en	Esta clase se divide en tres grupos.
1209:付	付	付	pagar	Paguei com o telemóvel.	pagar	Pagué con el móvil.
1210:父母	父母	父母	os pais	Os pais dele vivem no norte.	los padres	Sus padres viven en el norte.
1211:父女	父女	父女	pai e filha	Este pai e a filha viajam juntos.	padre e hija	Este padre y su hija viajan juntos.
1216:负责人	负责人	负责人	o responsável	O responsável vai enviar um aviso a todos.	la persona responsable; el encargado	La persona responsable enviará un aviso a todos.
1217:父子	父子	父子	pai e filho	Este pai e o filho costumam correr no parque.	padre e hijo	Este padre y su hijo suelen correr en el parque.
1218:改	改	改	mudar; corrigir	Por favor, corrige o erro.	cambiar; corregir	Corrige el error, por favor.
1224:感	感	感	a sensação; o sentido	Este quarto dá uma forte sensação de segurança.	sensación; sentido	Esta habitación da una fuerte sensación de seguridad.
1230:感人	感人	感人	comovente	Esta história é muito comovente.	conmovedor	Esta historia es muy conmovedora.
1231:赶上	赶上	赶上	alcançar; apanhar a tempo	Ele finalmente apanhou o último autocarro.	alcanzar; llegar a tiempo	Él finalmente alcanzó el último autobús.
1235:钢琴	钢琴	钢琴	o piano	Ela pratica piano todos os dias.	el piano	Ella practica piano todos los días.
1236:高价	高价	高价	o preço alto	Ele não quer comprar um bilhete caro.	precio alto	Él no quiere comprar un billete caro.
1237:高考	高考	高考	o gaokao; exame nacional chinês de acesso à universidade	Muitos estudantes estão a preparar-se para o gaokao.	el gaokao; examen nacional de acceso a la universidad de China	Muchos estudiantes se están preparando para el gaokao.
1238:高速	高速	高速	alta velocidade; autoestrada	Esta autoestrada é muito larga.	alta velocidad; autopista	Esta autopista es muy ancha.
1239:高温	高温	高温	a temperatura elevada	Temperaturas elevadas não são adequadas para corrida de longa distância.	la alta temperatura	El tiempo de alta temperatura no es adecuado para correr largas distancias.
1240:高于	高于	高于	ser superior a; estar acima de	O preço deste ano é superior ao do ano passado.	ser superior a; estar por encima de	El precio de este año es más alto que el del año pasado.
1242:歌声	歌声	歌声	a voz cantada; o canto	Ao longe ouviu-se uma bela voz a cantar.	la voz cantada; el canto	Desde lejos llegó una hermosa voz cantada.
1243:歌手	歌手	歌手	o cantor; a cantora	Este cantor é muito popular.	el cantante; la cantante	Este cantante es muy popular.
1245:各地	各地	各地	vários lugares; todas as regiões	Turistas de vários lugares vêm aqui.	diversos lugares; todas partes	Turistas de diversos lugares vienen aquí.
1246:各个	各个	各个	cada; todos	Cada turma participou na atividade.	cada; todos	Cada clase participó en la actividad.
1247:各位	各位	各位	todos; caros	Colegas professores, descansem primeiro um pouco.	todos ustedes; señores	Profesores, descansen un momento primero.
1248:各种	各种	各种	vários tipos de; todo o tipo de	No supermercado há vários tipos de fruta.	diversas clases de; todo tipo de	En el supermercado hay todo tipo de frutas.
1249:更加	更加	更加	ainda mais	Depois de estudar, ficou ainda mais confiante.	aún más; todavía más	Después de estudiar, se volvió aún más seguro de sí mismo.
1252:公共	公共	公共	público	A paragem de autocarro fica mais à frente.	público	La parada de autobús está más adelante.
1253:功课	功课	功课	os trabalhos de casa; as lições	À noite, ele faz os trabalhos de casa em casa.	los deberes; las lecciones	Él hace los deberes en casa por la noche.
1255:公路	公路	公路	a estrada	Esta estrada é muito longa.	la carretera; la vía	Esta carretera es muy larga.
1258:共	共	共	ao todo; no total	Comprámos três bilhetes ao todo.	en total; en conjunto	En total compramos tres entradas.
1261:购买	购买	购买	comprar; adquirir	Por favor, compra os bilhetes online.	comprar; adquirir	Compra las entradas por internet, por favor.
1270:观看	观看	观看	ver; assistir a	Os alunos estão a ver o jogo.	ver; mirar	Los estudiantes están viendo el partido.
1272:管	管	管	gerir; tratar de	Ele vai tratar deste assunto.	gestionar; encargarse de	Él se encargará de este asunto.
1286:寒冷	寒冷	寒冷	frio; gelado	O inverno frio está a chegar em breve.	frío; muy frío	El frío invierno llegará pronto.
1291:好好	好好	好好	bem; com cuidado	Deves descansar bem.	bien; con cuidado	Debes descansar bien.
1292:好笑	好笑	好笑	engraçado; divertido	Esta história é mesmo engraçada.	divertido; gracioso	Esta historia es muy graciosa.
1295:红包	红包	红包	o envelope vermelho; oferta de dinheiro	Na Festa da Primavera, as crianças recebem envelopes vermelhos.	el sobre rojo; regalo de dinero	Los niños reciben sobres rojos durante la Fiesta de la Primavera.
1302:话剧	话剧	话剧	a peça de teatro	Vamos ver uma peça de teatro esta noite.	la obra de teatro	Esta noche vamos a ver una obra de teatro.
1304:坏处	坏处	坏处	a desvantagem; o prejuízo	Este hábito tem muitas desvantagens.	la desventaja; el perjuicio	Este hábito tiene muchas desventajas.
1305:环保	环保	环保	a proteção ambiental	As questões de proteção ambiental estão a tornar-se cada vez mais importantes.	la protección del medio ambiente	Los problemas de protección ambiental son cada vez más importantes.
1306:换乘	换乘	换乘	fazer transbordo	Para chegar à próxima estação, é preciso fazer transbordo para o metro.	hacer transbordo	Para llegar a la siguiente estación, hay que hacer transbordo al metro.
1307:回复	回复	回复	responder	Por favor, responde ao meu e-mail o mais rapidamente possível.	responder	Responde a mi correo lo antes posible, por favor.
1308:回信	回信	回信	responder por escrito; carta de resposta	Ele ainda não respondeu.	responder por carta; carta de respuesta	Él todavía no ha contestado.
1310:会员	会员	会员	o membro; o sócio	Os sócios podem comprar bilhetes baratos.	el miembro; el socio	Los socios pueden comprar billetes de bajo precio.
1311:活	活	活	vivo; viver	Esta árvore ainda está viva.	vivo; vivir	Este árbol sigue vivo.
1315:货	货	货	a mercadoria; os bens	Este lote de mercadoria chegou hoje.	la mercancía; los productos	Este lote de mercancía llegó hoy.
1317:获奖	获奖	获奖	ganhar um prémio	Ele ganhou um prémio na competição.	ganar un premio	Él ganó un premio en la competición.
1318:获取	获取	获取	obter; adquirir	Os alunos podem obter informações com isso.	obtener	Los estudiantes pueden obtener información de ello.
1320:基本上	基本上	基本上	basicamente	Este problema está basicamente resolvido.	básicamente	Este problema básicamente ya está resuelto.
1327:既	既	既	tanto; visto que	Ele fala tanto chinês como inglês.	tanto; ya que	Él habla tanto chino como inglés.
1336:加快	加快	加快	acelerar	Por favor, acelera o ritmo de trabalho.	acelerar	Acelera el ritmo de trabajo, por favor.
1337:加强	加强	加强	reforçar	A escola deve reforçar a gestão da segurança.	reforzar; fortalecer	La escuela debe reforzar la gestión de seguridad.
1338:加入	加入	加入	juntar-se a; aderir a	Ele quer juntar-se à equipa de basquetebol.	unirse a; incorporarse a	Él quiere unirse al equipo de baloncesto.
1339:加上	加上	加上	acrescentar; mais	Acrescentando a taxa de serviço, são duzentos yuan ao todo.	añadir; más	Con la comisión de servicio añadida, son doscientos yuanes en total.
1342:加油	加油	加油	encorajar; abastecer	Os colegas encorajaram juntos os membros da equipa.	animar; echar combustible	Los compañeros animaron juntos a los miembros del equipo.
1344:家长	家长	家长	o encarregado de educação; o pai ou mãe	A escola vai realizar amanhã uma reunião de pais.	el padre; la madre; el tutor	La escuela celebrará mañana una reunión de padres.
1347:价钱	价钱	价钱	o preço	O preço desta peça de roupa não é alto.	el precio	El precio de esta prenda no es alto.
1348:假日	假日	假日	o feriado; as férias	Nos feriados, o centro comercial fica cheio de gente.	el día festivo; las vacaciones	El centro comercial está lleno de gente durante los días festivos.
1349:减	减	减	reduzir; subtrair	Por favor, reduz o açúcar para metade.	 reducir; restar	Reduce el azúcar a la mitad, por favor.
1350:减轻	减轻	减轻	reduzir; aliviar	O exercício pode reduzir o stress.	reducir; aliviar	El ejercicio puede reducir el estrés.
1353:健身房	健身房	健身房	o ginásio	Ele vai ao ginásio depois do trabalho.	el gimnasio	Él va al gimnasio después del trabajo.
1355:江	江	江	o rio	Este rio passa pela parte oriental da cidade.	el río	Este río atraviesa la parte este de la ciudad.
1356:将	将	将	vai; estar prestes a	Ele vai para Pequim estudar.	va a; estará a punto de	Él irá a Pekín a estudiar.
1358:将要	将要	将要	estar prestes a	O comboio está prestes a entrar na estação.	estar a punto de; pronto	El tren está a punto de entrar en la estación.
1359:奖	奖	奖	o prémio	Ele recebeu um grande prémio.	el premio; la recompensa	Él recibió un gran premio.
1361:奖学金	奖学金	奖学金	a bolsa de estudo	Ela recebeu uma bolsa de estudo.	la beca	Ella recibió una beca.
1362:降	降	降	descer; baixar	A temperatura desceu muito de repente.	bajar; descender	La temperatura bajó mucho de repente.
1364:降价	降价	降价	baixar o preço	Este modelo de telemóvel começou a baixar de preço.	bajar de precio	Este modelo de teléfono móvil empezó a bajar de precio.
1366:降温	降温	降温	arrefecer; descida da temperatura	Amanhã a temperatura pode descer.	bajar la temperatura; enfriarse	Mañana quizá baje la temperatura.
1369:交警	交警	交警	a polícia de trânsito	A polícia de trânsito está a orientar o trânsito no cruzamento.	la policía de tráfico	La policía de tráfico está dirigiendo el tráfico en el cruce.
1374:教师	教师	教师	o professor; a professora	Este professor tem muita experiência.	el profesor; la profesora	Este profesor tiene mucha experiencia.
1376:教学	教学	教学	o ensino	O novo método de ensino é muito eficaz.	la enseñanza; la docencia	El nuevo método de enseñanza es muy eficaz.
1378:叫作	叫作	叫作	chamar-se	Este lugar chama-se Lago do Leste.	llamarse	Este lugar se llama Lago del Este.
1383:节假日	节假日	节假日	os feriados; as férias	Ao viajar nos feriados, deve-se reservar bilhetes com antecedência.	los días festivos; las vacaciones	Cuando viajes en días festivos, reserva los billetes con antelación.
1387:今后	今后	今后	daqui em diante; no futuro	Daqui em diante, vou esforçar-me ainda mais.	de ahora en adelante	De ahora en adelante me esforzaré aún más.
1388:仅	仅	仅	apenas; somente	Esta atividade é apenas para sócios.	solo; únicamente	Esta actividad está abierta solo a miembros.
1390:仅仅	仅仅	仅仅	apenas; somente	Ele usou apenas dez minutos.	solo; meramente	Él tardó solo diez minutos.
1392:进入	进入	进入	entrar	Por favor, façam fila para entrar no átrio.	entrar	Por favor, hagan fila para entrar en el vestíbulo.
1401:景点	景点	景点	o ponto turístico; a atração turística	Este ponto turístico é muito popular.	el lugar turístico; el punto de interés	Este lugar turístico es muy popular.
1402:景区	景区	景区	a zona turística; a área panorâmica	Há muitos turistas à entrada da zona turística.	la zona turística; el área escénica	Hay muchos turistas en la entrada de la zona turística.
1408:就是	就是	就是	exatamente; justamente; ser	Esta é exatamente a minha escola.	justamente; exactamente; ser	Esta es exactamente mi escuela.
1411:举例	举例	举例	dar um exemplo	O professor pediu-lhe que desse um exemplo para explicar.	dar un ejemplo	El profesor le pidió que diera un ejemplo para explicarlo.
1413:聚	聚	聚	reunir-se; juntar-se	Os amigos reúnem-se no fim de semana.	reunirse; juntarse	Los amigos se reúnen el fin de semana.
1414:聚餐	聚餐	聚餐	jantar juntos; reunir-se para uma refeição	Esta noite vamos jantar juntos.	reunirse para comer; comer juntos	Esta noche vamos a cenar juntos.
1418:剧院	剧院	剧院	o teatro	Há muitas pessoas na fila à entrada do teatro.	el teatro	Hay mucha gente haciendo fila en la entrada del teatro.
1421:烤	烤	烤	assar; cozer no forno	Ele está a cozer pão no forno.	asar; hornear	Él está horneando pan.
1423:考生	考生	考生	o candidato ao exame; o examinando	Os candidatos ao exame devem levar o documento de identificação.	el examinado; el candidato al examen	Los candidatos al examen deben llevar su documento de identidad.
1425:科技	科技	科技	a ciência e tecnologia; a tecnologia	A tecnologia torna a vida mais conveniente.	la ciencia y la tecnología; la tecnología	La tecnología hace la vida más cómoda.
1427:咳	咳	咳	tossir	Desde que se constipou, está sempre a tossir.	toser	Desde que se resfrió, no deja de toser.
1432:客气	客气	客气	cortês; gentil	Está a ser demasiado cortês.	cortés; amable; ceremonioso	Eres demasiado cortés.
1433:课堂	课堂	课堂	a aula; a sala de aula	Na aula, todos estão muito atentos.	la clase; el aula	En clase todos están muy atentos.
1440:口语	口语	口语	a língua falada; expressão oral	O chinês falado dele está a melhorar rapidamente.	el habla; la lengua oral	Su chino hablado progresa muy rápido.
1442:快餐	快餐	快餐	a comida rápida	Ao meio-dia comemos comida rápida.	la comida rápida	Al mediodía comimos comida rápida.
1443:快递	快递	快递	a entrega expresso; a encomenda expresso	A minha encomenda expresso ainda não chegou.	la entrega exprés; el paquete exprés	Mi paquete exprés todavía no ha llegado.
1444:快速	快速	快速	rápido	Esta é uma passagem rápida.	rápido; de alta velocidad	Este es un paso rápido.
1448:垃圾	垃圾	垃圾	o lixo	Por favor, põe o lixo no balde.	la basura	Por favor, pon la basura en el cubo.
1456:老家	老家	老家	a terra natal; a terra de origem	Durante o Ano Novo Chinês, ele volta à terra natal.	la tierra natal; el pueblo natal	Durante la Fiesta de la Primavera, él vuelve a su tierra natal.
1457:老年	老年	老年	a velhice; a idade avançada	As pessoas idosas também precisam de fazer exercício.	la vejez; la edad avanzada	Las personas mayores también necesitan hacer ejercicio.
1458:老是	老是	老是	sempre; constantemente	Ele está sempre a esquecer-se das chaves.	siempre; continuamente	Él siempre olvida llevar las llaves.
1467:例子	例子	例子	o exemplo	O professor deu outro exemplo.	el ejemplo	El profesor dio otro ejemplo.
1471:凉	凉	凉	fresco; arrefecido	Esta chávena de chá já arrefeceu.	fresco; enfriado	Esta taza de té ya se enfrió.
1472:量	量	量	medir	A enfermeira mediu a temperatura da criança.	medir	La enfermera midió la temperatura del niño.
1475:列	列	列	listar; fila	Por favor, liste os nomes.	enumerar; poner en una lista; fila	Por favor, enumera los nombres.
1476:零下	零下	零下	abaixo de zero	Esta manhã a temperatura estava cinco graus abaixo de zero.	bajo cero	Esta mañana la temperatura fue de cinco grados bajo cero.
1477:零花钱	零花钱	零花钱	o dinheiro de bolso; a mesada	Ele guardou o dinheiro de bolso.	el dinero de bolsillo	Él ahorró su dinero de bolsillo.
1480:另	另	另	outro; separadamente	Por favor, escolha outro horário.	otro; por separado	Por favor, elige otro horario.
1483:流	流	流	fluir; correr	O pequeno rio passa junto à aldeia.	fluir	El pequeño río fluye junto al pueblo.
1485:留下	留下	留下	deixar; ficar	Por favor, deixe o seu número de telefone.	dejar; quedarse	Por favor, deja tu número de teléfono.
1487:路过	路过	路过	passar por	Quando passei pela livraria, comprei um livro.	pasar por	Cuando pasé por la librería, compré un libro.
1488:旅馆	旅馆	旅馆	o hotel; a estalagem	Este hotel fica muito perto da estação.	el hotel; la posada	Este hotel está muy cerca de la estación.
1489:旅客	旅客	旅客	o viajante; o passageiro	Os passageiros estão na fila para embarcar.	el viajero; el pasajero	Los pasajeros están haciendo fila para embarcar.
1493:落	落	落	cair	As folhas caíram na estrada.	caer	Las hojas cayeron en el camino.
1498:毛衣	毛衣	毛衣	a camisola; o suéter	Esta camisola é muito quente.	el suéter; el jersey	Este suéter es muy abrigado.
1500:美	美	美	bonito; belo	A paisagem aqui é muito bonita.	bello; hermoso	El paisaje de aquí es muy hermoso.
1501:美好	美好	美好	bom; belo; feliz	Todos esperam ter uma vida boa.	bello; feliz; maravilloso	Todos esperan tener una vida feliz.
1502:美景	美景	美景	a bela paisagem	A bela paisagem da montanha é inesquecível.	el paisaje hermoso	El hermoso paisaje de la montaña es inolvidable.
1504:美食	美食	美食	a comida deliciosa; a gastronomia local	Aqui há muitas especialidades locais.	la comida deliciosa; la gastronomía local	Aquí hay mucha comida local deliciosa.
1510:面试	面试	面试	a entrevista	Ele vai a uma entrevista amanhã de manhã.	la entrevista	Él tendrá una entrevista mañana por la mañana.
1513:末	末	末	o fim; o final	As férias escolares começam no fim de junho.	el final; el fin	Las vacaciones escolares empiezan a finales de junio.
1514:母女	母女	母女	mãe e filha	Esta mãe e a filha viajam juntas.	madre e hija	Esta madre y su hija viajan juntas.
1516:母子	母子	母子	mãe e filho	Esta mãe e o filho vivem no sul.	madre e hijo	Esta madre y su hijo viven en el sur.
1519:目的地	目的地	目的地	o destino	O nosso destino é Pequim.	el destino	Nuestro destino es Pekín.
1522:南部	南部	南部	a parte sul; o sul	A parte sul deste país é muito quente.	la parte sur	La parte sur de este país es muy cálida.
1524:男士	男士	男士	o senhor; o homem	A casa de banho dos homens fica à esquerda.	el señor; el hombre	El baño de hombres está a la izquierda.
1526:难忘	难忘	难忘	inesquecível	Esta viagem foi inesquecível.	inolvidable	Este viaje fue muy inolvidable.
1527:男性	男性	男性	masculino; homem	Esta atividade aceita homens e mulheres.	masculino; hombre	En esta actividad pueden participar hombres y mujeres.
