simplified	RU	example_RU
长城	Великая китайская стена	На выходных я хочу посетить Великую китайскую стену.
长江	Янцзы; река Янцзы	Янцзы - самая большая река Китая.
场	счетное слово для событий; площадка	Этот дождь пришелся как раз вовремя.
超过	превышать; превосходить	Отсюда каждый день вылетает более трехсот рейсов.
乘坐	ехать; лететь; пользоваться транспортом	Добро пожаловать на этот рейс.
成功	успех; добиться успеха	Старание - залог успеха.
成为	становиться	С детства я хотел стать полицейским.
诚实	честный; честность	Честные люди заслуживают нашего уважения.
吃惊	удивляться; быть потрясенным	Услышав эту новость, он очень удивился.
重新	заново; снова	Он повторил это дело еще раз.
抽烟	курить	Извините, в больнице курить нельзя.
出差	ехать в командировку	Папа уже больше месяца в командировке.
出发	отправляться; выезжать	Я отправился из Пекина в Шанхай.
出生	родиться	Я родился в маленьком городе.
出现	появляться; возникать	В нашей работе появилось много проблем.
厨房	кухня	Фруктовый нож лежит на кухне.
传真	факс	Пожалуйста, отправьте мне факс.
窗户	окно	Я уже вымыл окна.
词语	слово; выражение	Пожалуйста, составьте несколько предложений с этими словами.
从来	всегда; никогда раньше	Я никогда его не видел.
粗心	невнимательный; небрежный	Ты такой невнимательный.
存	хранить; класть; существовать	Я положил деньги в банк.
错误	ошибка; ошибочный	Спасибо, что указал на мою ошибку.
答案	ответ; решение	Твой ответ правильный.
打扮	наряжаться; приводить себя в порядок	Она просто привела себя в порядок и вышла.
打扰	беспокоить; мешать	Извините, что на минуту вас беспокою.
打印	печатать; распечатывать	Эти материалы уже распечатаны.
打招呼	здороваться; приветствовать	Он с улыбкой поздоровался со мной.
打折	делать скидку	Перед праздником Весны в торговых центрах делают скидки.
打针	делать укол; получать укол	Сын очень боится уколов.
大概	примерно; вероятно	Он, вероятно, не придет.
大使馆	посольство	Завтра я пойду в посольство оформлять визу.
大约	примерно; около	Ему примерно тридцать лет.
大夫	врач	Доктор Ли, вы завтра утром будете в больнице?
戴	надевать; носить на себе	Он носит эти черные очки.
当	быть; служить в качестве	Я хочу стать врачом.
当时	тогда; в то время	Я не помню тогдашнюю ситуацию.
刀	нож	Фруктовый нож лежит на кухне.
导游	гид; экскурсовод	Моя старшая сестра работает гидом.
倒	падать; опрокидывать	Сильный ветер повалил дерево.
到处	повсюду; везде	В парке повсюду цветы.
到底	в конце концов; все-таки	Что значит это предложение?
道歉	извиняться; приносить извинения	Я уже извинился перед ним.
得	нужно; приходится; должен	Завтра экзамен, поэтому мне нужно лечь спать пораньше.
得意	довольный собой; гордый собой	Все очень гордятся успехом работы.
登机牌	посадочный талон	Пожалуйста, возьмите посадочный талон и приготовьтесь к посадке.
等	и так далее; и прочее	На столе есть фрукты, такие как яблоки, бананы и так далее.
低	низкий	Выше, сейчас слишком низко.
底	дно; основа; низ	Дно чашки чистое.
地点	место; адрес места	Место встречи - переговорная на третьем этаже.
地球	Земля; планета	Большую часть поверхности Земли занимает океан.
地址	адрес	Пожалуйста, запишите свой адрес.
掉	падать; ронять; терять	Ключ упал на землю.
调查	расследовать; расследование	Полиция ведет расследование.
丢	терять; бросать	Ты потерял школьную сумку?
动作	движение; действие	Я научу тебя танцевать, движения очень простые.
堵车	пробка; затор	Я был в дороге, и снова была пробка.
肚子	живот	У меня болит живот.
短信	сообщение; смс	Если что-то будет, пожалуйста, напиши мне сообщение или позвони.
对话	диалог	Этот диалог довольно простой, я могу его понять.
对面	напротив	Я живу прямо напротив школы.
对于	относительно; что касается	По этому вопросу у меня другое мнение.
儿童	ребенок; дети	Дети ростом ниже одного метра двадцати могут купить детский билет.
而	и; но; при этом	Эта одежда дешевая и красивая.
发生	происходить; случаться	Ситуация сильно изменилась.
发展	развиваться; развитие	В последние годы экономика быстро развивалась.
法律	закон; право	В университете я изучаю право.
翻译	переводить; переводчик	Пожалуйста, переведи эту статью на китайский.
烦恼	беспокойство; тревожиться	Больше не переживай из-за этого.
反对	возражать; быть против	Все выступают против этого плана.
方法	способ; метод	Мы обязательно найдем способ решить проблему.
方面	сторона; аспект; область	Папа любит читать книги по истории.
方向	направление	Это то направление? Мне кажется, мы заблудились.
房东	арендодатель; хозяин жилья	Мой арендодатель очень дружелюбный и часто мне помогает.
放弃	отказываться; бросать	Я отказался от возможности учиться за границей.
放暑假	уходить на летние каникулы	Завтра начинаются летние каникулы.
放松	расслабляться; расслабить	Экзамен закончился, нам нужно расслабиться.
份	экземпляр; порция; доля	Пожалуйста, отправьте мне факс.
丰富	богатый; обильный	Чтение может обогатить нашу жизнь.
否则	иначе; в противном случае	Пойдем сейчас, иначе опоздаем.
符合	соответствовать; отвечать требованиям	Она очень хорошо соответствует нашим критериям найма.
付款	платить; оплата	Покупки можно оплачивать онлайн.
复印	ксерокопировать; делать копию	Пожалуйста, сделайте две копии этого материала.
复杂	сложный; комплексный	Это сложный технический вопрос.
富	богатый	Жизнь людей становится все богаче.
父亲	отец	В этом году моему отцу восемьдесят три года.
负责	отвечать за; быть ответственным	Сяо Ли очень ответственный.
改变	изменять; менять	Я изменил свой план.
干杯	пить тост; за здоровье	Всех с праздником, за здоровье!
感动	тронуть; растрогать	Его слова меня очень тронули.
感觉	чувствовать; ощущение	Сегодня мне немного холодно.
感情	чувство; эмоция; отношения	Отношения между ними очень хорошие.
感谢	благодарить; благодарность	Спасибо за твою помощь.
敢	сметь; осмелиться	Я не решаюсь идти туда в одиночку.
赶	спешить; догонять	Спасибо, что вовремя пришел мне помочь.
干	делать; работать	Что ты делаешь?
刚	только что; как раз	Пожалуйста, прости то, что я только что сказал.
高速公路	скоростная дорога; автомагистраль	Здесь построили новую скоростную дорогу.
胳膊	рука	У него немного болит рука.
各	каждый; всякий	В супермаркете есть самые разные фрукты.
公里	километр	Расстояние между двумя городами составляет триста километров.
功夫	мастерство; кунг-фу	В последнее время я изучаю китайское кунг-фу.
工资	зарплата	На новой работе у него хорошая зарплата.
共同	общий; совместный	У нас есть общая цель.
够	достаточно; хватать	Сегодня достаточно холодно.
购物	покупки; ходить за покупками	Покупки можно оплачивать онлайн.
估计	предполагать; оценивать	Думаю, они уже прибыли в аэропорт.
鼓励	поощрять; поддерживать	Родителям следует больше поддерживать своих детей.
故意	нарочно; специально	Извини, я сделал это не нарочно.
顾客	клиент; покупатель	Покупателей стало на треть меньше.
挂	вешать; класть трубку	Пожалуйста, не кладите трубку.
关键	ключевой момент; суть	Это не суть проблемы.
观众	зрители; аудитория	Здравствуйте, друзья перед телевизором.
管理	управлять; заведовать	Кто сейчас управляет этим домом?
光	свет; яркость	Сегодня солнечный свет очень сильный.
广播	радио; радиопередача	Дедушка слушает радио.
广告	реклама; рекламное объявление	Я увидел вашу рекламу в газете.
逛	гулять; ходить по магазинам	Давай на выходных погуляем по торговому центру.
规定	правило; устанавливать	У школы есть свои правила.
国籍	гражданство; национальность	Пожалуйста, укажите гражданство в бланке.
国际	международный	Это международная конференция.
果汁	фруктовый сок	Я хотел бы выпить стакан сока.
过程	процесс; ход событий	Процесс учебы очень важен.
海洋	океан	Большую часть поверхности Земли занимает океан.
害羞	стеснительный; смущаться	Когда она впервые вышла на сцену, она немного стеснялась.
寒假	зимние каникулы	На зимних каникулах я хочу поехать путешествовать на юг.
汗	пот	Жарко, вытри пот полотенцем.
航班	рейс; авиарейс	Добро пожаловать на этот рейс.
好处	польза; преимущество	Читать больше очень полезно.
好像	кажется; как будто	Кажется, между нами возникло недоразумение.
号码	номер	Пожалуйста, дай мне свой номер телефона.
合格	соответствующий стандарту; годный	Это изделие соответствует стандарту качества.
合适	подходящий; впору	Эта пара обуви хорошо подходит.
盒子	коробка	Коробка пустая, в ней ничего нет.
厚	толстый	Эта книга толстая.
后悔	сожалеть	Я жалею, что не сказал тебе раньше.
互联网	интернет	Интернет принес людям много удобства.
互相	друг друга; взаимно	Мы вдвоем должны поддерживать друг друга.
护士	медсестра; медбрат	Медсестра делает пациенту укол.
怀疑	сомневаться; подозревать	Я подозреваю, что он забыл о сегодняшнем собрании.
回忆	вспоминать; воспоминание	Мы часто вспоминаем детство.
活动	мероприятие; двигаться; активность	Я пошел в парк немного размяться.
活泼	живой; оживленный	Этот ребенок очень живой.
火	огонь	Огонь опасен, будь осторожен.
获得	получать; добиваться	Добившись успеха, нельзя слишком гордиться.
基础	основа; фундамент	Пожалуйста, внесите изменение на первоначальной основе.
激动	взволнованный; волнующий	Эта новость действительно волнующая.
积极	активный; энергичный	Он активно изучает китайский.
积累	накапливать; накопление	За время работы он накопил большой опыт.
即使	даже если	Не сдавайся, даже если столкнешься с трудностями.
及时	своевременно; вовремя	Этот дождь пошел как раз вовремя.
寄	отправлять по почте	Твое письмо пришло.
技术	технология; техника; навык	Это сложный технический вопрос.
既然	раз уж; поскольку	Раз уж ты пришел, давай поедим вместе.
继续	продолжать	Он выразил желание продолжить работу в компании.
计划	план; проект	Я изменил свой план.
记者	журналист; репортер	Журналист берет интервью у директора школы.
加班	работать сверхурочно	На этой неделе мы почти каждый день работали сверхурочно.
加油站	заправка; автозаправочная станция	Рядом с твоим домом есть заправка?
家具	мебель	После переезда мы поменяли мебель на новую.
假	фальшивый; поддельный	Этот билет поддельный.
价格	цена	С прошлого года цены на автомобили снижаются.
坚持	настаивать; придерживаться	Он всегда настаивал на своем мнении.
减肥	худеть; снижать вес	Я каждый день бегаю, чтобы похудеть.
减少	уменьшать; сокращать	Покупателей стало на треть меньше.
建议	советовать; предлагать; рекомендация	Я предлагаю завтра взять выходной.
将来	будущее; в будущем	Кем ты планируешь работать в будущем?
奖金	премия; бонус	В конце года нам выплатили премию.
降低	снижать; понижать	Наступила осень, и температура начала снижаться.
降落	приземляться; садиться	Самолет скоро приземлится.
交	передавать; платить; заводить знакомство	Я завел много китайских друзей.
交流	общаться; обмен	Культурные обмены между странами становятся все богаче.
交通	транспорт; дорожное движение	Здесь удобный транспорт.
郊区	пригород	Он живет в пригороде.
骄傲	гордый; высокомерный	Добившись успеха, нельзя слишком гордиться.
饺子	пельмени; цзяоцзы	Китайцы едят цзяоцзы во время праздника Весны.
教授	профессор; преподавать	Он профессор университета.
教育	образование; обучать; воспитывать	Нужно воспитывать детей терпеливыми.
接受	принимать	Я принимаю все твои мнения.
接着	затем; продолжать	Он немного подумал, а затем написал.
结果	результат; итог	Ты смотрел матч? Какой был результат?
节	праздник	Какой сегодня праздник?
节约	экономить; беречь	Пожалуйста, экономьте воду.
解释	объяснять; объяснение	Он очень ясно объяснил причину.
尽管	хотя; несмотря на	Хотя я знаю его давно, я его не понимаю.
紧张	нервничать; напряженный	Перед первым выступлением он нервничал.
禁止	запрещать	Здесь запрещено курить.
进行	проводить; происходить	Игра все еще продолжается.
京剧	пекинская опера	Она известная актриса пекинской оперы.
精彩	замечательный; блестящий	Сегодняшнее выступление было замечательным!
经济	экономика; экономический	В последние годы экономика быстро развивалась.
经历	опыт; переживать	Она написала статью о своем опыте путешествия.
经验	опыт	Он опытный учитель.
景色	пейзаж; вид	На закате морской пейзаж очень красивый.
警察	полиция; полицейский	Полиция ведет расследование.
竞争	конкурировать; конкуренция	Он очень уверен в себе и любит конкурировать с другими.
竟然	неожиданно; вопреки ожиданиям	Я никак не думал, что он такой человек.
镜子	зеркало	Извини, я разбил зеркало.
究竟	в конце концов; все-таки	Почему ты плачешь?
举	поднимать; приводить пример	Пожалуйста, подними руку, чтобы ответить на вопрос.
举办	проводить; организовывать	Это мероприятие организуем мы.
举行	проводить; состояться	Собрание состоится в два часа.
拒绝	отказываться; отклонять	Он отклонил приглашение всех.
聚会	вечеринка; встреча	Завтра будет встреча. Хочешь прийти?
距离	расстояние; быть на расстоянии	Мой дом находится далеко от компании.
开玩笑	шутить	Ты шутишь?
开心	радостный; веселый	Моя старшая сестра радостно улыбнулась.
看法	мнение; точка зрения	Он всегда настаивал на своем мнении.
烤鸭	жареная утка	Пекинская жареная утка очень известна.
考虑	обдумывать; учитывать	Я серьезно обдумаю этот вопрос.
棵	счетное слово для деревьев и растений	Это дерево высокое и большое.
科学	наука; научный	В школе он получил много научных знаний.
咳嗽	кашлять; кашель	Он простудился и сильно кашляет.
可怜	жалкий; бедный; несчастный	Этот ребенок не может найти дом, как жалко.
可是	но; однако	Хотя я очень хочу пойти, у меня правда нет времени.
可惜	жаль; к сожалению	Жаль, что ты не можешь прийти на нашу встречу.
客厅	гостиная	Папа смотрит телевизор в гостиной.
肯定	точно; наверняка; уверенный	Я точно вернусь до пяти часов.
空	пустой; свободный	Эта комната пустая.
空气	воздух	Воздух в парке очень свежий.
恐怕	боюсь, что; вероятно	Боюсь, пойдет дождь. Ты взял зонт?
苦	горький; тяжелый	Эта чашка кофе очень горькая.
矿泉水	минеральная вода	Я купил две бутылки минеральной воды.
困	сонный; уставший	Мне хочется спать, я хочу лечь.
困难	трудность; трудный	Для меня это задание очень трудное.
垃圾桶	мусорное ведро; урна	На улице много мусорных урн.
拉	тянуть; вести за руку	Мама взяла дочь за руку.
辣	острый; жгучий	Я не привык есть слишком острые блюда.
来不及	не успеть; слишком поздно	Сегодня утром я поздно встал и уже не успел позавтракать.
来得及	успеть; еще есть время	Фильм начинается только в половине десятого, так что еще есть время.
来自	быть родом из; происходить из	Я родом из провинции Шаньдун.
懒	ленивый	Мой кот очень ленивый и спит весь день.
浪费	тратить впустую	Это просто пустая трата времени.
浪漫	романтичный	Эта книга рассказывает романтическую историю любви.
老虎	тигр	Каждый раз в зоопарке сын больше всего любит смотреть на тигра.
冷静	спокойный; успокоиться	Не волнуйся, пожалуйста, успокойся.
理发	стричь волосы; стрижка	Когда ты идешь стричься?
理解	понимать; понимание	Ты можешь понять этот вопрос?
理想	идеал; мечта	Какая у тебя идеальная профессия?
礼拜天	воскресенье	Ты свободен в это воскресенье?
礼貌	вежливость; манеры	Этот ребенок очень вежливый.
例如	например	Я люблю спорт, например бег и плавание.
力气	сила	Пройдя столько дорог, я устал так, что совсем не осталось сил.
厉害	сильный; серьезный; грозный	Он был серьезно болен и лежал в больнице.
俩	двое; оба	Мы двое хорошие друзья.
联系	связь; связываться	Ты еще поддерживаешь связь с однокурсниками?
连	даже; соединять	Почему ты даже меня забыл?
凉快	прохладный; приятно прохладно	Осенью погода очень прохладная.
零钱	мелочь; сдача	Можете разменять мне немного денег на мелочь?
另外	кроме того; другой	Я хочу поговорить с тобой о другом деле.
流利	беглый; свободный	Ты говоришь по-китайски бегло.
流行	популярный; распространяться	Многие молодые люди любят популярную музыку.
留	оставаться; оставлять	Пожалуйста, оставь свой номер телефона.
旅行	путешествовать; путешествие	Летом мы планируем поехать путешествовать в Юньнань.
乱	беспорядочный; хаос	Щенок устроил беспорядок в комнате.
律师	адвокат; юрист	Моя мама адвокат.
麻烦	хлопотный; беспокоить; неприятность	Не мог бы ты помочь мне взять чашку?
马虎	небрежный; невнимательный	Даже небольшая небрежность приведет к ошибкам.
满	полный; наполненный	Стакан полный.
毛	волос; шерсть	Шерсть этой кошки белая.
毛巾	полотенце	Жарко, вытри пот полотенцем.
美丽	красивый	Она действительно красивая девушка.
梦	сон; мечта	Это действительно интересный сон!
迷路	заблудиться	Он заблудился в лесу.
密码	пароль; код	Я забыл пароль от кредитной карты.
免费	бесплатный	В этом ресторане напитки бесплатные.
秒	секунда	Пожалуйста, подожди меня десять секунд.
民族	национальность; этническая группа	Китай - многонациональная страна.
母亲	мать	Позвольте представить: это моя мать.
目的	цель; намерение	Я не понимаю, с какой целью он это делает.
耐心	терпеливый; терпение	Нужно воспитывать детей терпеливыми.
难道	неужели	Неужели эти блюда невкусные?
难受	плохо себя чувствовать; тяжело переносить	Я простудился, и мне плохо.
内	внутри; в пределах	Пожалуйста, выполните задание в течение трех дней.
内容	содержание; детали	Содержание этой статьи очень интересное.
能力	способность; умение	У него сильные рабочие способности.
年龄	возраст	Спрашивать чей-то возраст без повода невежливо.
弄	делать; устраивать; обращаться с	Щенок устроил беспорядок в комнате.
暖和	теплый; тепло	Пришла весна, и погода становится теплее.
偶尔	иногда; изредка	Я иногда вижу ее в школе.
排队	стоять в очереди	Люди, покупающие билеты, стоят в очереди.
排列	располагать; порядок	Пожалуйста, расставьте эти коробки по порядку от большой к маленькой.
判断	судить; оценивать; решение	Твое суждение совершенно правильное.
陪	сопровождать; составлять компанию	Когда мне грустно, ты всегда рядом со мной.
批评	критиковать; критика	Учителя редко меня критикуют.
皮肤	кожа	Мама уделяет большое внимание защите кожи.
脾气	характер; темперамент	У него хороший характер, он никогда не злится.
篇	статья; счетное слово для текстов	Я читал эту статью много раз.
骗	обманывать	Я тебе не соврал, он действительно пришел.
乒乓球	настольный теннис	Кто хочет участвовать в матче по настольному теннису?
平时	обычно; в обычное время	Она редко занимается спортом.
破	сломанный; разбитый	Извини, я разбил зеркало.
葡萄	виноград	Виноград стоит пять юаней за полкило.
普遍	распространенный; общий	Эта проблема распространенная.
普通话	путунхуа; стандартный китайский	Ты очень хорошо говоришь на путунхуа.
其次	во-вторых; затем	Безопасность на первом месте, скорость - на втором.
其中	среди них; из них	В нашем классе двадцать студентов, из них пятеро из-за границы.
气候	климат	Ты можешь привыкнуть к северному климату?
千万	ни в коем случае; десять миллионов	Ни в коем случае не забудь завтрашнее собрание.
签证	виза	Завтра я пойду в посольство оформлять визу.
敲	стучать; ударять	Кто-то стучит в дверь, сходи посмотри, кто пришел.
桥	мост	Над рекой есть маленький мост.
巧克力	шоколад	Я больше всего люблю шоколад.
亲戚	родственник	Большинство моих родственников живут в Пекине.
轻	легкий	Эта коробка легкая.
轻松	легкий; расслабленный	Эта работа для него нелегкая.
情况	ситуация; обстоятельства	Ситуация сильно изменилась.
穷	бедный	Хотя старик очень беден, он живет счастливо.
区别	разница; различать	Есть ли разница между этими двумя материалами?
取	брать; снимать; выбирать	Я иду в банк снять деньги.
全部	весь; полностью	Музыка для меня - все.
缺点	недостаток; слабое место	Нельзя сравнивать свои недостатки с достоинствами других.
缺少	не хватать; недостаток	Посмотри, чего еще не хватает, я сейчас куплю.
却	но; однако	Мне есть что сказать, но когда я нервничаю, не могу говорить.
确实	действительно; правда	Этот способ действительно неплохой.
然而	однако; тем не менее	Я потратил много времени на эту книгу, но все еще не дочитал ее.
热闹	оживленный; шумный	На этой улице очень оживленно.
任何	любой; какой-либо	Мама понимает меня лучше, чем кто-либо.
任务	задание; задача	Восемьдесят процентов задания выполнено.
扔	бросать; выбрасывать	Пожалуйста, выбросьте мусор в урну.
仍然	по-прежнему; все еще	Сегодня по-прежнему хорошая погода.
日记	дневник	У дочери появилась привычка каждый день писать дневник.
入口	вход	Я жду тебя у входа в здание.
散步	гулять; прогуливаться	Когда я гулял, щенок все время шел за мной.
森林	лес	Этот лес очень большой.
沙发	диван	Пожалуйста, посиди немного на диване, а я налью тебе чашку чая.
伤心	грустить; огорчаться	Услышав эту новость, я очень расстроился.
商量	обсуждать; советоваться	Ты пришел как раз вовремя, давай это обсудим.
稍微	немного; слегка	Даже небольшая небрежность приведет к ошибкам.
勺子	ложка; черпак	Извини, я уронил ложку на пол.
社会	общество	Все очень обеспокоены этими социальными вопросами.
深	глубокий; поздний	Между нами глубокая дружба.
申请	подавать заявление; заявка	Я подал в банк заявку на кредитную карту.
甚至	даже	Все так весело провели время, что даже забыли о времени.
生活	жизнь; жить	В жизни всегда бывают неприятности.
生命	жизнь	Он считал искусство важнее собственной жизни.
生意	дело; бизнес	Его бизнес становится все больше.
省	провинция	Я родом из провинции Шаньдун.
剩	оставаться	Осталось только два яблока.
失败	потерпеть неудачу; провал	Хотя я пережил много неудач, я никогда не сдаюсь.
失望	разочарованный; разочароваться	Я очень в нем разочарован.
师傅	мастер; уважаемое обращение к мастеру	Скажите, пожалуйста, как пройти к кинотеатру?
十分	очень; чрезвычайно	Она делает дела очень внимательно.
实际	фактический; практический	Он использовал практический пример, чтобы объяснить эту проблему.
实在	действительно; правда	Я очень устал.
使	заставлять; делать так, что	Его слова меня очень тронули.
使用	использовать; применять	Китайцы обычно едят палочками.
世纪	век; столетие	Сейчас двадцать первый век.
是否	ли; является ли	Я пока не уверен, сможет ли он прийти.
适合	подходить; соответствовать	Мне не очень подходит зеленая одежда.
适应	привыкать; приспосабливаться	Ты можешь привыкнуть к северному климату?
收	получать; принимать; собирать	Я получил твое письмо.
收入	доход; выручка	Его доход выше, чем раньше.
收拾	убирать; приводить в порядок; собирать вещи	Я собираю вещи.
首都	столица	Столица Китая - Пекин.
首先	сначала; прежде всего	Сначала нужно отдохнуть, тогда можно хорошо работать.
受不了	невыносимый; не выдерживать	Погода слишком жаркая, я не могу это вынести.
受到	получать; подвергаться	Его роман тепло приняли читатели.
售货员	продавец	Я работаю продавцом в торговом центре.
输	проигрывать; перевозить	Мы проиграли эту игру.
熟悉	быть знакомым; хорошо знать	Я очень хорошо с ними знаком.
数量	количество	Количество записавшихся людей большое.
数字	цифра; число	Пожалуйста, напишите цифры четко.
帅	красивый; статный	Сегодня он одет очень стильно.
顺便	заодно; попутно	По дороге домой с работы я купил овощи.
顺利	гладко; успешно	Игра прошла гладко.
顺序	порядок; последовательность	Пожалуйста, не нарушайте порядок.
说明	объяснять; пояснение	Он объяснил всем причину этого.
硕士	магистр; степень магистра	Я учусь в университете на магистра.
死	умирать; мертвый	Дерево погибло.
塑料袋	пластиковый пакет	Чтобы защитить окружающую среду, пожалуйста, не используйте пластиковые пакеты.
速度	скорость	Он бегает очень быстро!
酸	кислый	Виноград, который ты купил, немного кислый.
随便	как угодно; свободно	Пожалуйста, садитесь где хотите.
随着	по мере; вслед за	С развитием экономики жизнь людей сильно улучшилась.
孙子	внук	Дедушка очень любит своего внука.
所有	все; весь	Все считали, что он неправ.
台	счетное слово для устройств; платформа	Этот компьютер недавно купили.
抬	поднимать; нести вдвоем	Они занесли стол в класс.
态度	отношение; позиция	Отношение официанта к клиентам очень хорошее.
弹钢琴	играть на пианино	Я начал учиться играть на пианино в четыре года.
谈	говорить; обсуждать	Я хочу поговорить с тобой о другом деле.
汤	суп	Суп не соленый, давай добавим еще немного соли.
糖	сахар; конфета	Я хочу съесть конфету.
躺	лежать	Она заснула в кровати.
趟	раз поездки; счетное слово для поездок	В прошлом месяце я ездил в Пекин.
讨论	обсуждать	Давай проведем собрание и обсудим это.
讨厌	ненавидеть; неприятный	Эта погода правда раздражает.
特点	особенность; характерная черта	Особенность этого ресторана в том, что еда свежая.
提	нести; поднимать	Пожалуйста, подними эту сумку.
提供	предоставлять; обеспечивать	Библиотека предоставляет всем тихую среду для чтения.
提前	заранее; раньше срока	Мы выполнили задание раньше срока.
提醒	напоминать; предупреждать	Я ему напомнил, но он все равно забыл.
填空	заполнять пропуск	Это задание на заполнение пропуска.
条件	условие; обстоятельство	Она очень хорошо соответствует нашим критериям найма.
停	останавливаться; парковать	Машина остановилась.
挺	довольно; выпрямлять	Эта книга довольно хорошая.
通过	пройти; посредством	Я сдал экзамен.
通知	уведомлять; извещение	Пожалуйста, сообщите всем, чтобы пришли на собрание.
同情	сочувствовать; сочувствие	Я ему очень сочувствую.
同时	одновременно; в то же время	Он слушает музыку, одновременно делая домашнее задание.
推	толкать	Моя машина сломалась, не мог бы ты помочь ее толкнуть?
推迟	откладывать; переносить	Время вылета самолета задержали на двадцать минут.
脱	снимать; снять	В комнате очень тепло. Сними пальто.
袜子	носки	Я постирал свои носки.
完全	полностью; совершенно	Твое суждение совершенно правильное.
往往	часто; обычно	По воскресеньям он часто гуляет в парке.
网球	теннис	Я только недавно начал учиться играть в теннис.
网站	веб-сайт; сайт	На этом сайте много китайских материалов.
危险	опасность; опасный	Подниматься в гору одному ночью опасно.
卫生间	туалет; ванная комната	Извините, где находится туалет?
味道	вкус; запах	Баоцзы в этом ресторане очень вкусные.
温度	температура	Зимой температура становится все ниже.
文章	статья; сочинение	Самая важная часть статьи - третий абзац.
污染	загрязнение	Сейчас загрязнение окружающей среды становится все серьезнее.
无	нет; без	Его слова не имеют оснований.
无聊	скучный; скука	Эта программа немного скучная.
无论	независимо от; как бы ни	Как бы я ни объяснял, он не понимает.
误会	недоразумение; неправильно понять	Извини, я неправильно тебя понял.
吸引	привлекать	Этот фильм очень привлекательный.
西红柿	помидор	Я купил несколько помидоров.
咸	соленый	Соли слишком много, блюдо немного соленое.
现金	наличные	У меня с собой мало наличных, но в магазине можно расплатиться картой.
羡慕	завидовать; восхищаться	Я завидую ему, потому что у него хорошая работа.
相反	противоположный; наоборот	То, что ты сказал, противоположно тому, как я понимаю.
相同	одинаковый; тот же	Твой велосипед точно такой же, как мой.
香	ароматный; вкусный	Блюда, которые ты готовишь, такие вкусные!
详细	подробный; детальный	План, который она составила, очень подробный.
响	звенеть; звучать	Послушай, телефон звонил?
橡皮	ластик	Можешь одолжить мне ластик?
消息	новость; сообщение	Эта новость действительно волнующая.
小吃	закуска; уличная еда	Когда приедешь в Пекин, обязательно попробуй пекинские закуски.
小伙子	молодой парень	Тот молодой парень очень сердечный.
小说	роман; художественная проза	Я читаю этот роман.
效果	эффект; результат	Это лекарство от простуды действует очень хорошо.
笑话	шутка; анекдот	Пожалуйста, не смейся над другими.
心情	настроение	Его настроение улучшилось.
辛苦	тяжелый; утомительный	Работа папы очень тяжелая.
信封	конверт	Он положил написанное письмо в конверт.
信息	информация; сообщение	Пожалуйста, отправь мне свои контактные данные.
