simplified	CS	example_CS
根据	podle; na základě	Podle mapy je škola na východě.
跟	s; následovat	Jdu do parku s kamarádem.
更	více; ještě	Dnes je ještě chladněji než včera.
公斤	kilogram	Tato jablka váží jeden kilogram.
公园	veřejný park	Děti si hrají v parku.
故事	příběh	Dědeček mi vypráví příběh.
刮风	foukat vítr; být větrno	Dnes fouká vítr, nejezdi na kole.
关	zavřít; vypnout	Prosím, zavřete dveře.
关系	vztah	Můj vztah s kolegou je dobrý.
关心	starat se; zajímat se	Maminka se velmi stará o moje zdraví.
关于	o; ohledně	Tato kniha je o čínské kultuře.
国家	stát; země	Čína je velmi velká země.
过	částice zkušenosti; mít za sebou	Byl jsem v Pekingu.
过去	minulost; dříve	Dříve tu nebylo metro.
还是	nebo; stále	Piješ čaj, nebo kávu?
害怕	bát se	Nebojím se zkoušky.
黑板	tabule	Učitel píše znaky na tabuli.
后来	potom; později	Potom jsme šli do parku.
护照	pas	Prosím, vezměte si pas.
96:花	utratit; stát	Koupě toho telefonu stála dva tisíce jüanů.
97:花	květina	Na stole je květina.
画	kreslit; obraz; kresba	Moje mladší sestra ráda kreslí pandy.
坏	rozbitý; špatný	Můj počítač je rozbitý.
欢迎	vítat; vítejte	Vítej u mě doma.
环境	prostředí	Prostředí této školy je velmi dobré.
还	vrátit	Prosím, vrať mi zítra knihu.
换	vyměnit; změnit	Chci vyměnit košili.
黄河	Žlutá řeka	Žlutá řeka je velmi dlouhá.
回答	odpovědět; odpověď	Prosím, odpovězte na mou otázku.
会议	schůzka; konference	Schůzka začíná v devět.
或者	nebo; anebo	Můžeš jet metrem nebo autobusem.
几乎	téměř; skoro	Cvičí téměř každý den.
机会	příležitost; šance	To je dobrá příležitost.
极	velmi; nesmírně	Je nesmírně šťastná.
季节	roční období	Podzim je moje oblíbené roční období.
记得	pamatovat si	Pamatuješ si vzít kreditní kartu?
检查	kontrolovat; vyšetřit	Lékař mě vyšetřuje.
简单	jednoduchý; snadný	Tato věta je velmi jednoduchá.
健康	zdraví; zdravý	Cvičení je dobré pro zdraví.
见面	setkat se	Zítra se setkáme ve škole.
讲	vysvětlovat; mluvit	Učitel vysvětluje velmi jasně.
教	učit	Učí mě psát čínské znaky.
脚	noha; chodidlo	Trochu mě bolí chodidlo.
角	roh; úhel	Obchod je na rohu ulice.
接	vyzvednout; přijmout; zvednout	Jedu na letiště vyzvednout kamaráda.
街道	ulice	Tato ulice je velmi čistá.
结婚	oženit se; vdát se; uzavřít manželství	Příští rok se vezmou.
结束	skončit; ukončit	Zápas už skončil.
节目	televizní pořad	Tento televizní pořad je velmi dobrý.
节日	svátek; festival	Svátek jara je důležitý čínský svátek.
解决	řešit; vyřešit	Tento problém už byl vyřešen.
借	půjčit si; půjčit	Chci si půjčit tvůj slovník.
经常	často	Často chodím do knihovny.
经过	projít kolem; přes	Každý den procházím kolem tohoto parku.
经理	vedoucí; ředitel	Vedoucí je na schůzce.
久	dlouho	Bydlím tady už dlouho.
旧	starý; použitý	Tento kus oblečení je velmi starý.
句子	věta	Prosím, napište větu.
决定	rozhodnout; rozhodnutí	Rozhodl jsem se učit čínsky.
可爱	roztomilý	Tato kočka je velmi roztomilá.
渴	žíznivý	Mám žízeň a chci se napít vody.
刻	čtvrthodina; okamžik	Je čtvrt na devět.
客人	host; zákazník	Dnes k nám domů přišel host.
空调	klimatizace	Prosím, zapněte klimatizaci.
口	ústa; doušek	Vypil doušek vody.
哭	plakat	Proč to dítě pláče?
裤子	kalhoty	Tyto kalhoty jsou nové.
筷子	hůlky	Umím jíst hůlkami.
蓝	modrý	Nebe je modré.
老	starý; starší	Můj učitel není starý.
离开	odejít; opustit	Zítra odjíždí z Pekingu.
礼物	dárek	To je dárek pro tebe.
历史	historie	Mám rád čínskou historii.
脸	obličej	Její obličej je velmi červený.
练习	cvičení; procvičovat	Prosím, více procvičuj mluvení čínsky.
辆	klasifikátor pro vozidla	Před dveřmi stojí taxi.
聊天	povídat si	Povídám si s kamarádem.
了解	rozumět; poznat	Chci poznat čínskou kulturu.
邻居	soused	Můj soused je velmi srdečný.
留学	studovat v zahraničí	Studuje v zahraničí v Číně.
楼	budova; patro	Kancelář je ve třetím patře.
绿	zelený	Na jaře se stromy zazelenaly.
马	kůň	Ten kůň běží velmi rychle.
马上	hned; okamžitě	Hned se vrátím.
满意	spokojený	Jsem s tímto pokojem velmi spokojený.
帽子	čepice; klobouk	Tato čepice je velmi hezká.
米	metr; rýže	Tento stůl je dva metry dlouhý.
面包	chléb	Ke snídani jím chléb.
明白	rozumět; jasný	Rozumím, co myslíš.
拿	vzít; držet	Prosím, vezmi mi knihu.
奶奶	babička z otcovy strany; babička	Babička ráda poslouchá hudbu.
南	jih	Škola je na jihu města.
难	těžký; obtížný	Tato otázka není těžká.
难过	smutný	Dnes je trochu smutná.
年级	ročník; třída	Moje mladší sestra je ve třetí třídě.
年轻	mladý	Tento vedoucí je velmi mladý.
鸟	pták	Na stromě je pták.
努力	snažit se; pilný	Velmi pilně se učí.
爬山	šplhat na horu; chodit po horách	O víkendu půjdeme na hory.
盘子	talíř; tác	Na stole jsou tři talíře.
胖	tlustý; baculatý	Tento pes je trochu tlustý.
啤酒	pivo	Táta nepije pivo.
皮鞋	kožené boty	Tento pár kožených bot je drahý.
瓶子	lahev	V lahvi je voda.
其实	vlastně; ve skutečnosti	Vlastně nemám rád pivo.
其他	jiný; ostatní	Ostatní spolužáci už přišli.
奇怪	divný; zvláštní	Ten zvuk je velmi divný.
骑	jet na; jezdit na	Každý den jezdí do práce na kole.
起飞	vzlétnout	Letadlo brzy vzlétne.
起来	vstát; zvednout se	Prosím, vstaňte.
清楚	jasný; zřetelně	Mluvil jsi velmi zřetelně.
请假	požádat o volno	Je nachlazený a musí požádat o volno.
秋	podzim	Na podzim je počasí příjemné.
裙子	sukně	Tato sukně je velmi hezká.
然后	potom; pak	Nejdřív jím a potom dělám domácí úkol.
热情	srdečný; nadšený	Čínští přátelé jsou velmi srdeční.
认为	myslet si; domnívat se	Myslím si, že tento způsob je dobrý.
认真	vážný; pozorný	Prosím, pozorně poslouchejte učitele.
容易	snadný	Tento čínský znak se píše snadno.
如果	jestli; pokud	Pokud bude pršet, pojedeme metrem.
伞	deštník	Prší, prosím, vezměte si deštník.
上网	jít na síť; používat síť	Večer používám síť, abych zkontroloval mapu.
声音	hlas; zvuk	Tvůj hlas zní hezky.
生气	naštvaný; zlobit se	Nezlob se, neudělal jsem to schválně.
世界	svět	Svět je velmi velký.
试	zkusit; vyzkoušet	Chci si vyzkoušet tyto kožené boty.
瘦	hubený; štíhlý	Je hubenější než dříve.
叔叔	strýc	Strýc mě vozí do školy.
舒服	pohodlný; příjemný	Tato židle je pohodlná.
数学	matematika	Hodina matematiky je zajímavá.
树	strom	Před domem je strom.
刷牙	čistit si zuby	Každé ráno si čistím zuby.
双	pár; dvojice	Koupil jsem pár kožených bot.
水平	úroveň	Jeho úroveň čínštiny je vysoká.
司机	řidič	Řidič na nás čeká před dveřmi.
太阳	slunce	Dnes slunce silně svítí.
特别	zvlášť; speciální	Tento pořad je zvlášť zajímavý.
疼	bolet; bolestivý	Bolí mě noha.
提高	zvýšit; zlepšit	Více cvičení může zlepšit úroveň čínštiny.
体育	sport; tělesná výchova	Mám rád hodinu tělesné výchovy.
甜	sladký	Tento nápoj je příliš sladký.
条	klasifikátor pro dlouhé věci; kus	Koupil jsem sukni.
同事	kolega z práce	Můj kolega z práce je velmi zaneprázdněný.
同意	souhlasit	Souhlasím s tvým rozhodnutím.
头发	vlasy	Její vlasy jsou dlouhé.
突然	náhle	Náhle odešel.
图书馆	knihovna	Knihovna dnes není otevřená.
腿	noha	Po výstupu na horu mě bolí nohy.
完成	dokončit; splnit	Už jsem dokončil domácí úkol.
碗	miska	Na stole jsou dvě misky.
万	deset tisíc; mnoho	Toto město má deset tisíc obyvatel.
忘记	zapomenout	Nezapomeň si vzít pas.
为	pro; kvůli	Mám z tebe radost.
为了	aby; za účelem	Kvůli zkoušce každý den opakuje učivo.
位	zdvořilostní klasifikátor pro osoby	Tento učitel je velmi známý.
文化	kultura	Chci poznat čínskou kulturu.
西	západ	Banka je západně od školy.
习惯	zvyk; být zvyklý	Jsem zvyklý cvičit ráno.
洗手间	toaleta	Toaleta je vpravo.
洗澡	koupat se; sprchovat se	Večer se sprchuji.
夏	léto	Léto je velmi horké.
先	nejdřív; napřed	Nejdřív jez ty.
相信	věřit	Věřím, že přijde.
香蕉	banán	Koupil jsem tři banány.
像	vypadat jako; podobat se	Ten mrak vypadá jako pták.
向	směr; směrem k	Prosím, jděte doleva.
小心	opatrný; dávat pozor	Prší, dávej na cestě pozor.
校长	ředitel školy	Ředitel školy je v kanceláři.
新闻	zprávy	Táta každý den sleduje zprávy.
新鲜	čerstvý	Toto ovoce je velmi čerstvé.
信用卡	kreditní karta	Mohu zaplatit kreditní kartou?
行李箱	kufr	Můj kufr je těžký.
熊猫	panda	Děti se rády dívají na pandy.
需要	potřebovat	Potřebuji tvoji pomoc.
选择	vybrat; volba	Kterou košili si vybereš?
要求	požadovat; žádat	Učitel po nás žádá, abychom domácí úkol dělali pečlivě.
爷爷	dědeček z otcovy strany; dědeček	Dědeček chodí každý den do parku.
一直	stále; nepřetržitě	Stále na tebe čeká.
一定	určitě; jistě	Určitě přijdu.
一共	celkem	Kolik stojí tyto knihy celkem?
一会儿	chvíle	Prosím, chvíli na mě počkej.
一样	stejný	Tyto dva hrnky jsou stejně velké.
以前	dříve; předtím	Dříve jsem bydlel v Pekingu.
一般	běžný; průměrný	Jídlo v této restauraci je průměrné.
一边	jedna strana; zatímco	Poslouchá hudbu, zatímco dělá domácí úkol.
音乐	hudba	Mám rád čínskou hudbu.
银行	banka	Banka je vedle velkého obchodu.
饮料	nápoj	Tento nápoj chutná dobře.
应该	měl by; máš	Budeš si muset víc odpočinout.
影响	vliv; ovlivnit	Počasí ovlivní zápas.
用	používat	Používám počítač k domácímu úkolu.
游戏	hra	Děti hrají hry.
有名	známý; slavný	Tato restaurace je velmi známá.
又	zase; také	Dnes přišel zase pozdě.
遇到	potkat; narazit na	Potkal jsem učitele na ulici.
元	jüan; měnová jednotka	Tento slovník stojí padesát jüanů.
愿意	chtít; být ochoten	Chceš se zúčastnit?
月亮	měsíc	Dnes večer je měsíc jasný.
越	čím více... tím více...	Čím víc se učím čínsky, tím zajímavější mi připadá.
站	stanice; stát	Stojí u dveří.
张	klasifikátor pro ploché předměty	Prosím, dejte mi mapu.
长	růst	Děti rychle rostou.
着急	mít starost; být nervózní	Nebuď nervózní, výtah brzy přijede.
照顾	starat se; pečovat	Stará se o nemocnou babičku.
照片	fotografie	Tato fotografie vypadá dobře.
照相机	fotoaparát	Používám fotoaparát k focení.
283:只	jen; pouze	Piju jen jeden šálek čaje.
284:只	klasifikátor pro zvířata	Pod stolem je kočka.
只有…才…	jen když... teprve potom...	Jen když budeš pečlivě opakovat učivo, uděláš zkoušku dobře.
中间	střed; uprostřed	Stůl je uprostřed pokoje.
中文	čínština; čínské písmo	Každý den se učím čínsky.
终于	konečně	Konečně jsme dorazili.
种	druh; typ	Jaký druh nápoje máš rád?
重要	důležitý	Pas je velmi důležitý.
周末	víkend	O víkendu chci jít do parku.
主要	hlavní	Jeho hlavním koníčkem je hudba.
注意	dávat pozor; věnovat pozornost	Prosím, věnujte pozornost učiteli.
自己	sám; sebe	Chci udělat domácí úkol sám.
自行车	kolo	Moje kolo je dole.
总是	vždycky	Vždycky přichází do kanceláře brzy.
嘴	ústa	Prosím, otevřete ústa.
最后	poslední; nakonec	Nakonec jsme všichni souhlasili.
最近	nedávno; poslední dobou	Poslední dobou jsem zaneprázdněný.
作业	domácí úkol; úkol	Ještě jsem nedokončil domácí úkol.
