source_headword	UZ	example_UZ
unless	agar ... bo'lmasa	Men qo'ng'iroq qilmagunimcha ketmang.
unlike	farqli o'laroq	Tomdan farqli o'laroq, Ana qishni yaxshi ko'radi.
unlikely	ehtimoldan yiroq	Bu hafta qor yog'ishi ehtimoldan yiroq.
unnecessary	keraksiz	Ortiqcha sumkalar keraksiz.
unpleasant	yoqimsiz	Xonada yoqimsiz hid bor edi.
update	yangilamoq	Telefonimni yangilashim kerak.
upon	ustida	Bir bor ekan, bir yo'q ekan, bir podshoh o'tgan ekan.
upset	xafa	Qo'ng'iroqdan keyin u o'zini xafa his qildi.
used1	ishlatiladigan	Bu xona uchrashuvlar uchun ishlatiladi.
used2	o'rganib qolgan	Men erta tongda turishga o'rganib qolganman.
valuable	qimmatbaho	Bu soat qimmatbaho.
value	qiymat	Uy o'tgan yili o'z qiymatini yo'qotdi.
various	turli xil	Biz turli xil mahalliy taomlarni tatib ko'rdik.
version	versiya	Bu versiya yaxshiroq ishlaydi.
victim	qurbon	Jabrlanuvchi politsiyaga qo'ng'iroq qildi.
viewer	tomoshabin	Bir tomoshabin savol berdi.
violent	shafqatsiz	Film juda shafqatsiz edi.
volunteer	ko'ngilli	Men kutubxonada ko'ngilli bo'lib ishlayman.
vote	ovoz bermoq	Ertaga ovoz berishni unutmang.
warn	ogohlantirmoq	Men uni ogohlantirishga harakat qildim.
warning	ogohlantirish	Ekranda ogohlantirish paydo bo'ldi.
waste	isrof qilmoq	Toza suvni isrof qilmang.
weapon	qurol	Pichoq qurolga aylandi.
weigh	o'lchamoq	Unni ehtiyotkorlik bilan o'lchang.
western	g'arbiy	Ular vestern filmini ko'rishdi.
whatever	nima bo'lsa ham	Sizga nima yoqsa, shuni tanlang.
whenever	qachon bo'lmasin	Qachon yordam kerak bo'lsa, qo'ng'iroq qiling.
whether	-mi yoki yo'qmi	U rozi bo'lish-bo'lmasligini bilmayman.
wing	qanot	Qush bir qanotini jarohatladi.
within	ichida	Iltimos, ikki kun ichida javob bering.
wonder	qiziqmoq	Nima bo'lganiga qiziqyapman.
wool	jun	Bu palto jundan qilingan.
worldwide	butun dunyo bo'ylab	Qo'shiq butun dunyo bo'ylab mashhur bo'ldi.
worth	arziydigan	Bu kitob o'qishga arziydi.
written	yozma	Iltimos, yozma ko'rsatmalarni yuboring.
yard	hovli	Bolalar hovlida o'ynashdi.
youth	yoshlar	Yoshlar klublari mahalliy o'smirlarni qo'llab-quvvatlaydi.
