hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
5033:限于	限于	限于	to be limited to	报名人数限于三十人。	Bào míng rén shù xiàn yú sān shí rén.	Registration is limited to thirty people.
5036:相传	相传	相传	it is said; according to legend	相传这座桥有三百年历史。	Xiāng chuán zhè zuò qiáo yǒu sān bǎi nián lì shǐ.	It is said that this bridge has a history of three hundred years.
5038:相连	相连	相连	to be connected	两座城市由高速铁路相连。	Liǎng zuò chéng shì yóu gāo sù tiě lù xiāng lián.	The two cities are connected by high-speed rail.
5039:香水	香水	香水	perfume	她不喜欢味道太浓的香水。	Tā bù xǐ huan wèi dao tài nóng de xiāng shuǐ.	She does not like perfume with a very strong scent.
5052:小偷儿	小偷儿	小偷儿	thief	那个小偷儿很快被警察抓住了。	Nà ge xiǎo tōur hěn kuài bèi jǐng chá zhuā zhù le.	That thief was quickly caught by the police.
5053:笑容	笑容	笑容	smile	她脸上的笑容让大家安心了。	Tā liǎn shàng de xiào róng ràng dà jiā ān xīn le.	The smile on her face reassured everyone.
5054:效应	效应	效应	effect	这项政策的效应还需要观察。	Zhè xiàng zhèng cè de xiào yìng hái xū yào guān chá.	The effect of this policy still needs to be observed.
5060:心爱	心爱	心爱	beloved; favorite	他把心爱的相机带去旅行。	Tā bǎ xīn ài de xiàng jī dài qù lǚ xíng.	He took his beloved camera on the trip.
5061:心底	心底	心底	deep in one's heart	她从心底感谢老师的帮助。	Tā cóng xīn dǐ gǎn xiè lǎo shī de bāng zhù.	She thanked the teacher from the bottom of her heart.
5062:新款	新款	新款	new model; latest style	这家店刚上架了一批新款鞋。	Zhè jiā diàn gāng shàng jià le yì pī xīn kuǎn xié.	This store has just put a batch of new-style shoes on the shelves.
5064:新媒体	新媒体	新媒体	new media	新媒体改变了人们获取信息的方式。	Xīn méi tǐ gǎi biàn le rén men huò qǔ xìn xī de fāng shì.	New media has changed the way people get information.
5065:心目	心目	心目	in one's mind	在我心目中，她是一位优秀的作家。	Zài wǒ xīn mù zhōng, tā shì yí wèi yōu xiù de zuò jiā.	In my mind, she is an excellent writer.
5066:新能源	新能源	新能源	new energy	新能源产业正在快速发展。	Xīn néng yuán chǎn yè zhèng zài kuài sù fā zhǎn.	The new energy industry is developing rapidly.
5069:新兴	新兴	新兴	emerging; newly arisen	新兴行业吸引了许多年轻人。	Xīn xīng háng yè xī yǐn le xǔ duō nián qīng rén.	Emerging industries have attracted many young people.
5071:心愿	心愿	心愿	wish; heartfelt desire	她终于实现了多年的心愿。	Tā zhōng yú shí xiàn le duō nián de xīn yuàn.	She finally fulfilled a wish she had held for many years.
5075:兴起	兴起	兴起	to rise; emerge	网上学习在很多地区兴起。	Wǎng shàng xué xí zài hěn duō dì qū xīng qǐ.	Online learning has emerged in many regions.
5076:型号	型号	型号	model; type number	请把电脑的型号写在表格里。	Qǐng bǎ diàn nǎo de xíng hào xiě zài biǎo gé lǐ.	Please write the computer model in the form.
5078:性价比	性价比	性价比	cost-performance ratio; value for money	这家酒店的性价比很高。	Zhè jiā jiǔ diàn de xìng jià bǐ hěn gāo.	This hotel offers very good value for money.
5081:修订	修订	修订	to revise	编辑正在修订这本教材。	Biān jí zhèng zài xiū dìng zhè běn jiào cái.	The editor is revising this textbook.
5083:袖子	袖子	袖子	sleeve	这件外套的袖子有点长。	Zhè jiàn wài tào de xiù zi yǒu diǎn cháng.	The sleeves of this coat are a little long.
5088:选修	选修	选修	to take as an elective	我下学期想选修心理学。	Wǒ xià xué qī xiǎng xuǎn xiū xīn lǐ xué.	I want to take psychology as an elective next semester.
5089:学会	学会	学会	association; learned society	他加入了当地的语言学会。	Tā jiā rù le dāng dì de yǔ yán xué huì.	He joined the local language association.
5092:学员	学员	学员	trainee; student	培训班里有二十名学员。	Péi xùn bān lǐ yǒu èr shí míng xué yuán.	There are twenty trainees in the training class.
5093:血管	血管	血管	blood vessel	医生说这条血管需要进一步检查。	Yī shēng shuō zhè tiáo xuè guǎn xū yào jìn yí bù jiǎn chá.	The doctor said this blood vessel needs further examination.
5094:血型	血型	血型	blood type	报名时需要填写自己的血型。	Bào míng shí xū yào tián xiě zì jǐ de xuè xíng.	You need to fill in your blood type when registering.
5096:血液	血液	血液	blood	运动能促进血液循环。	Yùn dòng néng cù jìn xuè yè xún huán.	Exercise can promote blood circulation.
5098:寻求	寻求	寻求	to seek	他们正在寻求更好的解决办法。	Tā men zhèng zài xún qiú gèng hǎo de jiě jué bàn fǎ.	They are seeking a better solution.
5101:淹	淹	淹	to flood; submerge	大雨把低处的道路淹了。	Dà yǔ bǎ dī chù de dào lù yān le.	The heavy rain flooded the low-lying road.
5103:严	严	严	strict; severe	学校对考试纪律要求很严。	Xué xiào duì kǎo shì jì lǜ yāo qiú hěn yán.	The school is very strict about exam discipline.
5111:研讨	研讨	研讨	to discuss and study	专家们正在研讨新的治疗方案。	Zhuān jiā men zhèng zài yán tǎo xīn de zhì liáo fāng àn.	Experts are discussing and studying a new treatment plan.
5113:言语	言语	言语	words; speech	他的言语很真诚。	Tā de yán yǔ hěn zhēn chéng.	His words were very sincere.
5114:炎症	炎症	炎症	inflammation	这种药可以减轻炎症。	Zhè zhǒng yào kě yǐ jiǎn qīng yán zhèng.	This medicine can reduce inflammation.
5116:眼看	眼看	眼看	to see with one's eyes; soon	眼看天就要黑了，我们该回去了。	Yǎn kàn tiān jiù yào hēi le, wǒ men gāi huí qù le.	It is almost dark, so we should go back.
5120:仰	仰	仰	to look up; face upward	孩子仰着头看星星。	Hái zi yǎng zhe tóu kàn xīng xing.	The child looked up at the stars.
5122:养老	养老	养老	to provide for old age	他们正在计划退休后的养老生活。	Tā men zhèng zài jì huà tuì xiū hòu de yǎng lǎo shēng huó.	They are planning their life in old age after retirement.
5123:养老院	养老院	养老院	nursing home; retirement home	这家养老院离医院很近。	Zhè jiā yǎng lǎo yuàn lí yī yuàn hěn jìn.	This nursing home is very close to the hospital.
5125:样	样	样	kind; type; item	他买了三样点心。	Tā mǎi le sān yàng diǎn xin.	He bought three kinds of snacks.
5128:要么	要么	要么	either; or	你要么现在走，要么等到明天。	Nǐ yào me xiàn zài zǒu, yào me děng dào míng tiān.	Either leave now or wait until tomorrow.
5130:野	野	野	wild; uncultivated	这片山里有很多野花。	Zhè piàn shān lǐ yǒu hěn duō yě huā.	There are many wild flowers in this mountain area.
5131:也好	也好	也好	whether; all right too	你去也好，不去也好，都要告诉我。	Nǐ qù yě hǎo, bú qù yě hǎo, dōu yào gào su wǒ.	Whether you go or not, you must tell me.
5132:野生	野生	野生	wild; growing in the wild	这里禁止捕捉野生动物。	Zhè lǐ jìn zhǐ bǔ zhuō yě shēng dòng wù.	It is forbidden to catch wild animals here.
5133:野外	野外	野外	outdoors; field	学生们在野外观察植物。	Xué sheng men zài yě wài guān chá zhí wù.	The students observed plants in the field.
5134:业	业	业	industry; occupation; suffix	服务业需要更多专业人才。	Fú wù yè xū yào gèng duō zhuān yè rén cái.	The service industry needs more professionals.
5139:衣食住行	衣食住行	衣食住行	basic necessities of life	这份报告分析了城市居民的衣食住行。	Zhè fèn bào gào fēn xī le chéng shì jū mín de yī shí zhù xíng.	This report analyzes city residents' basic necessities of life.
5140:医药	医药	医药	medicine; pharmaceuticals	医药费用近年有所上涨。	Yī yào fèi yòng jìn nián yǒu suǒ shàng zhǎng.	Medical and pharmaceutical costs have risen somewhat in recent years.
5141:一一	一一	一一	one by one	老师把问题一一解释清楚。	Lǎo shī bǎ wèn tí yī yī jiě shì qīng chu.	The teacher explained the questions one by one.
5142:姨	姨	姨	aunt; mother's sister	我姨今天来家里吃饭。	Wǒ yí jīn tiān lái jiā lǐ chī fàn.	My aunt is coming to my home for dinner today.
5146:一带	一带	一带	area; region	学校一带有很多书店。	Xué xiào yí dài yǒu hěn duō shū diàn.	There are many bookstores around the school area.
5147:一道	一道	一道	together; at the same time	我们一道去看展览吧。	Wǒ men yí dào qù kàn zhǎn lǎn ba.	Let's go see the exhibition together.
5155:一系列	一系列	一系列	a series of	公司推出了一系列新产品。	Gōng sī tuī chū le yì xì liè xīn chǎn pǐn.	The company launched a series of new products.
5157:一阵	一阵	一阵	a burst; a spell	窗外吹来一阵凉风。	Chuāng wài chuī lái yí zhèn liáng fēng.	A cool breeze blew in from outside the window.
5158:遗址	遗址	遗址	ruins; historical site	这处古城遗址吸引了很多游客。	Zhè chù gǔ chéng yí zhǐ xī yǐn le hěn duō yóu kè.	This ancient city site has attracted many tourists.
5163:益处	益处	益处	benefit; advantage	每天运动对健康有很多益处。	Měi tiān yùn dòng duì jiàn kāng yǒu hěn duō yì chù.	Daily exercise has many benefits for health.
5164:一帆风顺	一帆风顺	一帆风顺	smooth sailing; successful	祝你的新工作一帆风顺。	Zhù nǐ de xīn gōng zuò yì fān fēng shùn.	I wish you smooth sailing in your new job.
5165:一口气	一口气	一口气	in one breath; without stopping	他一口气跑到了山顶。	Tā yì kǒu qì pǎo dào le shān dǐng.	He ran to the top of the mountain without stopping.
5167:一模一样	一模一样	一模一样	exactly the same	这两张照片看起来一模一样。	Zhè liǎng zhāng zhào piàn kàn qǐ lái yì mú yí yàng.	These two photos look exactly the same.
5168:艺人	艺人	艺人	performer; artist	这位艺人在舞台上非常自信。	Zhè wèi yì rén zài wǔ tái shàng fēi cháng zì xìn.	This performer is very confident on stage.
5169:一身	一身	一身	a suit of; whole body	他穿了一身黑色西装。	Tā chuān le yì shēn hēi sè xī zhuāng.	He wore a full black suit.
5170:一时	一时	一时	for a short time; for the moment	我一时想不起他的名字。	Wǒ yì shí xiǎng bù qǐ tā de míng zi.	I could not remember his name for the moment.
5171:一同	一同	一同	together	我们一同完成了这个项目。	Wǒ men yì tóng wán chéng le zhè ge xiàng mù.	We completed this project together.
5172:易于	易于	易于	easy to; liable to	这个软件易于操作。	Zhè ge ruǎn jiàn yì yú cāo zuò.	This software is easy to operate.
5173:抑制	抑制	抑制	to restrain; inhibit	这种药能抑制疼痛。	Zhè zhǒng yào néng yì zhì téng tòng.	This medicine can suppress pain.
5174:因	因	因	because of; due to	会议因大雨推迟了。	Huì yì yīn dà yǔ tuī chí le.	The meeting was postponed because of the heavy rain.
5175:音节	音节	音节	syllable	这个词有三个音节。	Zhè ge cí yǒu sān ge yīn jié.	This word has three syllables.
5177:银牌	银牌	银牌	silver medal	她在比赛中获得了银牌。	Tā zài bǐ sài zhōng huò dé le yín pái.	She won a silver medal in the competition.
5178:引	引	引	to lead; draw; quote	老师引了一句古诗说明观点。	Lǎo shī yǐn le yí jù gǔ shī shuō míng guān diǎn.	The teacher quoted an old poem to explain the point.
5179:隐藏	隐藏	隐藏	to hide; conceal	文件被隐藏在系统文件夹里。	Wén jiàn bèi yǐn cáng zài xì tǒng wén jiàn jiā lǐ.	The file was hidden in the system folder.
5181:引发	引发	引发	to trigger; cause	这条新闻引发了热烈讨论。	Zhè tiáo xīn wén yǐn fā le rè liè tǎo lùn.	This news triggered a heated discussion.
5182:引入	引入	引入	to introduce; bring in	学校计划引入新的教学方法。	Xué xiào jì huà yǐn rù xīn de jiào xué fāng fǎ.	The school plans to introduce a new teaching method.
5184:饮用水	饮用水	饮用水	drinking water	这里的饮用水经过严格检测。	Zhè lǐ de yǐn yòng shuǐ jīng guò yán gé jiǎn cè.	The drinking water here has passed strict testing.
5185:印	印	印	to print; seal; imprint	请在这里印上公司的标志。	Qǐng zài zhè lǐ yìn shàng gōng sī de biāo zhì.	Please print the company's logo here.
5192:用餐	用餐	用餐	to dine; have a meal	客人正在餐厅用餐。	Kè rén zhèng zài cān tīng yòng cān.	The guests are dining in the restaurant.
5193:用处	用处	用处	use; usefulness	这把小刀用处很多。	Zhè bǎ xiǎo dāo yòng chù hěn duō.	This small knife has many uses.
5195:用人	用人	用人	to employ people	这家公司用人很谨慎。	Zhè jiā gōng sī yòng rén hěn jǐn shèn.	This company is very careful when hiring people.
5196:用心	用心	用心	attentive; with care	这份礼物看得出很用心。	Zhè fèn lǐ wù kàn de chū hěn yòng xīn.	You can tell that a lot of care went into this gift.
5197:优化	优化	优化	to optimize	工程师正在优化系统速度。	Gōng chéng shī zhèng zài yōu huà xì tǒng sù dù.	The engineer is optimizing the system speed.
5200:由来	由来	由来	origin; cause	这个习俗的由来很有意思。	Zhè ge xí sú de yóu lái hěn yǒu yì si.	The origin of this custom is very interesting.
5201:游人	游人	游人	tourist; visitor	春天公园里的游人特别多。	Chūn tiān gōng yuán lǐ de yóu rén tè bié duō.	There are especially many visitors in the park in spring.
5203:有机	有机	有机	organic	这家农场只卖有机蔬菜。	Zhè jiā nóng chǎng zhǐ mài yǒu jī shū cài.	This farm sells only organic vegetables.
5204:有劲	有劲	有劲	energetic; interesting	这部电影越看越有劲。	Zhè bù diàn yǐng yuè kàn yuè yǒu jìn.	This movie gets more interesting the more you watch it.
5205:有序	有序	有序	orderly	观众有序地走进会场。	Guān zhòng yǒu xù de zǒu jìn huì chǎng.	The audience entered the venue in an orderly way.
5206:于	于	于	at; in; to	会议于上午九点开始。	Huì yì yú shàng wǔ jiǔ diǎn kāi shǐ.	The meeting begins at nine in the morning.
5207:余额	余额	余额	balance; remaining amount	请先查看银行卡余额。	Qǐng xiān chá kàn yín háng kǎ yú é.	Please check the bank card balance first.
5210:预定	预定	预定	to reserve; prearrange	我已经预定了明晚的座位。	Wǒ yǐ jīng yù dìng le míng wǎn de zuò wèi.	I have already reserved seats for tomorrow night.
5213:浴室	浴室	浴室	bathroom	浴室的地面有点滑。	Yù shì de dì miàn yǒu diǎn huá.	The bathroom floor is a little slippery.
5215:原本	原本	原本	originally	我原本打算周末去北京。	Wǒ yuán běn dǎ suàn zhōu mò qù Běi jīng.	I originally planned to go to Beijing on the weekend.
5216:原材料	原材料	原材料	raw material	工厂需要稳定的原材料供应。	Gōng chǎng xū yào wěn dìng de yuán cái liào gōng yìng.	The factory needs a stable supply of raw materials.
5224:元宵	元宵	元宵	sweet rice dumpling for Lantern Festival	元宵节那天我们吃了元宵。	Yuán xiāo jié nà tiān wǒ men chī le yuán xiāo.	We ate yuanxiao on the day of the Lantern Festival.
5225:源于	源于	源于	to originate from	这个传统源于古代的节日。	Zhè ge chuán tǒng yuán yú gǔ dài de jié rì.	This tradition originates from an ancient festival.
5226:远程	远程	远程	remote; long-distance	公司安排了远程面试。	Gōng sī ān pái le yuǎn chéng miàn shì.	The company arranged a remote interview.
5227:远方	远方	远方	distant place	他常常想起远方的家人。	Tā cháng cháng xiǎng qǐ yuǎn fāng de jiā rén.	He often thinks of his family far away.
5229:月光	月光	月光	moonlight	月光照在安静的湖面上。	Yuè guāng zhào zài ān jìng de hú miàn shàng.	Moonlight shone on the quiet lake.
5231:月球	月球	月球	the moon	科学家正在研究月球表面。	Kē xué jiā zhèng zài yán jiū yuè qiú biǎo miàn.	Scientists are studying the surface of the moon.
5232:乐曲	乐曲	乐曲	musical composition	这首乐曲听起来很优美。	Zhè shǒu yuè qǔ tīng qǐ lái hěn yōu měi.	This musical piece sounds very beautiful.
5234:晕车	晕车	晕车	to get carsick	她坐长途汽车容易晕车。	Tā zuò cháng tú qì chē róng yì yùn chē.	She easily gets carsick on long bus rides.
5235:运送	运送	运送	to transport; deliver	这些物资将被运送到灾区。	Zhè xiē wù zī jiāng bèi yùn sòng dào zāi qū.	These supplies will be transported to the disaster area.
5237:运营	运营	运营	to operate; run	这个平台由专业团队运营。	Zhè ge píng tái yóu zhuān yè tuán duì yùn yíng.	This platform is operated by a professional team.
5238:杂	杂	杂	mixed; miscellaneous	这个抽屉里放着很多杂物。	Zhè ge chōu ti lǐ fàng zhe hěn duō zá wù.	There are many miscellaneous items in this drawer.
5239:灾	灾	灾	disaster	这场灾让村子损失很大。	Zhè chǎng zāi ràng cūn zi sǔn shī hěn dà.	This disaster caused great losses to the village.
5242:灾区	灾区	灾区	disaster area	志愿者把食品送到灾区。	Zhì yuàn zhě bǎ shí pǐn sòng dào zāi qū.	Volunteers delivered food to the disaster area.
5244:再生	再生	再生	to regenerate; recycle	这些材料可以再生利用。	Zhè xiē cái liào kě yǐ zài shēng lì yòng.	These materials can be recycled and reused.
5246:赞赏	赞赏	赞赏	to appreciate; admire	老师赞赏他的认真态度。	Lǎo shī zàn shǎng tā de rèn zhēn tài dù.	The teacher admired his serious attitude.
5247:赞同	赞同	赞同	to agree with	大多数成员赞同这个决定。	Dà duō shù chéng yuán zàn tóng zhè ge jué dìng.	Most members agree with this decision.
5248:遭到	遭到	遭到	to suffer; be subjected to	这个计划遭到了一些反对。	Zhè ge jì huà zāo dào le yì xiē fǎn duì.	This plan met with some opposition.
5251:噪声	噪声	噪声	noise	施工噪声影响了附近居民。	Shī gōng zào shēng yǐng xiǎng le fù jìn jū mín.	Construction noise affected nearby residents.
5255:炸	炸	炸	to explode	鞭炮突然炸了，大家都吓了一跳。	Biān pào tū rán zhà le, dà jiā dōu xià le yí tiào.	The firecracker suddenly exploded, and everyone was startled.
5256:粘	粘	粘	to stick; paste	胶水把纸粘在一起。	Jiāo shuǐ bǎ zhǐ zhān zài yì qǐ.	The glue stuck the papers together.
5259:占比	占比	占比	proportion; share	线上销售占比已经超过一半。	Xiàn shàng xiāo shòu zhàn bǐ yǐ jīng chāo guò yí bàn.	The share of online sales has already exceeded half.
5262:战胜	战胜	战胜	to defeat; overcome	他们终于战胜了所有困难。	Tā men zhōng yú zhàn shèng le suǒ yǒu kùn nan.	They finally overcame all the difficulties.
5263:占有	占有	占有	to possess; occupy	这家公司占有很大的市场份额。	Zhè jiā gōng sī zhàn yǒu hěn dà de shì chǎng fèn é.	This company holds a large market share.
5265:章	章	章	chapter; section	请阅读第三章的内容。	Qǐng yuè dú dì sān zhāng de nèi róng.	Please read the content of Chapter Three.
5268:账单	账单	账单	bill; statement	服务员把账单放在桌上。	Fú wù yuán bǎ zhàng dān fàng zài zhuō shàng.	The waiter put the bill on the table.
5269:招	招	招	to recruit; attract	公司正在招新员工。	Gōng sī zhèng zài zhāo xīn yuán gōng.	The company is recruiting new employees.
5271:招生	招生	招生	to enroll students	这所学校今年计划招生五百人。	Zhè suǒ xué xiào jīn nián jì huà zhāo shēng wǔ bǎi rén.	This school plans to enroll five hundred students this year.
5272:招手	招手	招手	to wave	她在车站向我们招手。	Tā zài chē zhàn xiàng wǒ men zhāo shǒu.	She waved to us at the station.
5274:照明	照明	照明	lighting; illumination	这个房间的照明效果很好。	Zhè ge fáng jiān de zhào míng xiào guǒ hěn hǎo.	The lighting in this room is very good.
5276:针	针	针	needle; injection	护士给病人打了一针。	Hù shi gěi bìng rén dǎ le yì zhēn.	The nurse gave the patient an injection.
5280:镇	镇	镇	town; to calm	这个镇靠近海边。	Zhè ge zhèn kào jìn hǎi biān.	This town is near the sea.
5281:阵雨	阵雨	阵雨	shower; rain shower	下午可能会有阵雨。	Xià wǔ kě néng huì yǒu zhèn yǔ.	There may be showers in the afternoon.
5283:争吵	争吵	争吵	to quarrel	他们因为小事争吵起来。	Tā men yīn wèi xiǎo shì zhēng chǎo qǐ lái.	They started quarreling over a small matter.
5290:正面	正面	正面	front; positive side	请把照片的正面朝上放。	Qǐng bǎ zhào piàn de zhèng miàn cháo shàng fàng.	Please place the front side of the photo facing up.
5299:之所以	之所以	之所以	the reason why	他之所以迟到，是因为路上堵车。	Tā zhī suǒ yǐ chí dào, shì yīn wèi lù shàng dǔ chē.	The reason he was late was that there was traffic on the way.
5303:职员	职员	职员	staff member; employee	公司职员都参加了培训。	Gōng sī zhí yuán dōu cān jiā le péi xùn.	All company employees attended the training.
5304:职责	职责	职责	duty; responsibility	医生的职责是保护病人的健康。	Yī shēng de zhí zé shì bǎo hù bìng rén de jiàn kāng.	A doctor's duty is to protect patients' health.
5306:只得	只得	只得	to have no choice but to	雨太大，我们只得取消活动。	Yǔ tài dà, wǒ men zhǐ dé qǔ xiāo huó dòng.	The rain was too heavy, so we had no choice but to cancel the activity.
5308:只顾	只顾	只顾	to only care about; be absorbed in	他只顾看手机，没听见我说话。	Tā zhǐ gù kàn shǒu jī, méi tīng jiàn wǒ shuō huà.	He was only looking at his phone and did not hear me speak.
5312:制	制	制	to make; system	这种药由本地药厂制成。	Zhè zhǒng yào yóu běn dì yào chǎng zhì chéng.	This medicine is made by a local pharmaceutical factory.
5313:至关重要	至关重要	至关重要	extremely important	安全培训对新员工至关重要。	Ān quán péi xùn duì xīn yuán gōng zhì guān zhòng yào.	Safety training is extremely important for new employees.
5316:制品	制品	制品	product; manufactured goods	这家店出售各种木制品。	Zhè jiā diàn chū shòu gè zhǒng mù zhì pǐn.	This shop sells all kinds of wooden products.
5318:质疑	质疑	质疑	to question; doubt	记者质疑了这份报告的数据。	Jì zhě zhì yí le zhè fèn bào gào de shù jù.	The reporter questioned the data in this report.
5320:中等	中等	中等	medium; average	这件衣服是中等号码。	Zhè jiàn yī fu shì zhōng děng hào mǎ.	This piece of clothing is a medium size.
5324:钟头	钟头	钟头	hour	我们等了两个钟头。	Wǒ men děng le liǎng ge zhōng tóu.	We waited for two hours.
5327:肿	肿	肿	to swell; swollen	他的脚踝肿了起来。	Tā de jiǎo huái zhǒng le qǐ lái.	His ankle swelled up.
5328:中	中	中	to hit; win; be affected by	他中了奖，高兴得说不出话。	Tā zhòng le jiǎng, gāo xìng de shuō bù chū huà.	He won a prize and was so happy he could not speak.
5329:种地	种地	种地	to farm; cultivate land	爷爷年轻时一直在农村种地。	Yé ye nián qīng shí yì zhí zài nóng cūn zhòng dì.	Grandpa farmed in the countryside when he was young.
5330:中毒	中毒	中毒	to be poisoned	食物变质可能会导致中毒。	Shí wù biàn zhì kě néng huì dǎo zhì zhòng dú.	Spoiled food may cause poisoning.
5331:中奖	中奖	中奖	to win a prize	她买彩票第一次就中奖。	Tā mǎi cǎi piào dì yī cì jiù zhòng jiǎng.	She won a prize the first time she bought a lottery ticket.
5332:众人	众人	众人	everyone; the crowd	众人听到消息后都很惊讶。	Zhòng rén tīng dào xiāo xi hòu dōu hěn jīng yà.	Everyone was surprised after hearing the news.
5333:中暑	中暑	中暑	heatstroke; to suffer heatstroke	天气太热，老人容易中暑。	Tiān qì tài rè, lǎo rén róng yì zhòng shǔ.	In very hot weather, elderly people are prone to heatstroke.
5342:珠宝	珠宝	珠宝	jewelry	这家店专门设计珠宝。	Zhè jiā diàn zhuān mén shè jì zhū bǎo.	This shop specializes in designing jewelry.
5343:诸多	诸多	诸多	many; numerous	这个项目面临诸多挑战。	Zhè ge xiàng mù miàn lín zhū duō tiǎo zhàn.	This project faces many challenges.
5345:主播	主播	主播	host; livestreamer	她是这个节目的主播。	Tā shì zhè ge jié mù de zhǔ bō.	She is the host of this program.
5348:主角	主角	主角	main character; leading role	这部电影的主角是一名医生。	Zhè bù diàn yǐng de zhǔ jué shì yì míng yī shēng.	The main character in this film is a doctor.
5350:主演	主演	主演	to star; leading actor	这部话剧由年轻演员主演。	Zhè bù huà jù yóu nián qīng yǎn yuán zhǔ yǎn.	This play stars young actors.
5355:祝愿	祝愿	祝愿	to wish	我衷心祝愿你们幸福。	Wǒ zhōng xīn zhù yuàn nǐ men xìng fú.	I sincerely wish you happiness.
5359:专科	专科	专科	specialized field; junior college	这家医院有眼科专科门诊。	Zhè jiā yī yuàn yǒu yǎn kē zhuān kē mén zhěn.	This hospital has a specialized ophthalmology clinic.
5362:专用	专用	专用	for special use; dedicated	这条通道是员工专用的。	Zhè tiáo tōng dào shì yuán gōng zhuān yòng de.	This passage is for staff use only.
5363:专注	专注	专注	focused; to concentrate	她做实验时非常专注。	Tā zuò shí yàn shí fēi cháng zhuān zhù.	She is very focused when doing experiments.
5364:转换	转换	转换	to switch; convert	请把文件转换成 PDF 格式。	Qǐng bǎ wén jiàn zhuǎn huàn chéng PDF gé shì.	Please convert the file to PDF format.
5365:转交	转交	转交	to pass on; transfer	请把这封信转交给经理。	Qǐng bǎ zhè fēng xìn zhuǎn jiāo gěi jīng lǐ.	Please pass this letter on to the manager.
5367:转身	转身	转身	to turn around	他听到声音后立刻转身。	Tā tīng dào shēng yīn hòu lì kè zhuǎn shēn.	He turned around immediately after hearing the sound.
5370:转动	转动	转动	to rotate; turn	机器的轮子开始转动。	Jī qì de lún zi kāi shǐ zhuàn dòng.	The machine's wheel began to rotate.
5374:捉	捉	捉	to catch; capture	孩子们在院子里捉蝴蝶。	Hái zi men zài yuàn zi lǐ zhuō hú dié.	The children caught butterflies in the yard.
5378:自来水	自来水	自来水	tap water	这里的自来水可以直接饮用。	Zhè lǐ de zì lái shuǐ kě yǐ zhí jiē yǐn yòng.	The tap water here can be drunk directly.
5379:自律	自律	自律	self-discipline	保持自律对学习很重要。	Bǎo chí zì lǜ duì xué xí hěn zhòng yào.	Maintaining self-discipline is important for study.
5381:自杀	自杀	自杀	to commit suicide	新闻报道应谨慎处理自杀事件。	Xīn wén bào dào yīng jǐn shèn chǔ lǐ zì shā shì jiàn.	News reports should handle suicide cases carefully.
