source_headword	HY	example_HY
assess	գնահատել	Մենք պետք է գնահատենք վնասը։
assessment	գնահատում	Գնահատումը երկու ժամ տևեց։
associate	ասոցացնել	Մարդիկ ծուխը ասոցացնում են վտանգի հետ։
associated	կապված	Սթրեսը կապված է հիվանդության հետ։
association	ասոցիացիա	Ասոցիացիան աջակցում է երիտասարդ արվեստագետներին։
assume	ենթադրել	Ենթադրում եմ, որ համաձայն եք։
attempt	փորձ	Նրա առաջին փորձը ձախողվեց։
bacteria	բակտերիա	Բակտերիաները կարող են արագ տարածվել։
barrier	խոչընդոտ	Լեզուն խոչընդոտ էր։
basically	հիմնականում	Հիմնականում մեզ ավելի շատ ժամանակ է պետք։
bear (deal with)	տանել	Ես չեմ կարող տանել այս աղմուկը։
beg	աղաչել	Խնդրում եմ, օգնություն աղերսիր։
being	էակ	Ամեն էակ ջրի կարիք ունի։
bent	ծռված	Մետաղական ձողը ծռված էր։
bet	գրազ գալ	Գրազ եմ գալիս, որ նա գիտի։
beyond	այնկողմ	Գյուղը գտնվում է գետից այնկողմ։
bitter	դառը	Դեղը դառը համ ուներ։
blame	մեղադրել	Մի մեղադրեք վարորդին։
blind	կույր	Նա երիտասարդ տարիքում կուրացավ։
bond	կապ	Վստահությունը ամուր կապ է ստեղծում։
breast	կուրծք	Նա ցավ զգաց կրծքում։
brief	կարճ	Պահեք ձեր պատասխանը կարճ։
broad	լայն	Գետն այստեղ լայն է։
broadcast	հեռարձակել	Ելույթը հեռարձակվեց ուղիղ եթերում։
budget	բյուջե	Բյուջեն շատ սուղ է։
bullet	փամփուշտ	Փամփուշտը դիպավ պատին։
bunch	փունջ	Նա բանալիների մի կապոց էր տանում։
bush	թուփ	Թռչունը թաքնվեց թփի մեջ։
cable	մալուխ	Մալուխը կտրված է։
calculate	հաշվարկել	Հաշվեք ընդհանուր արժեքը։
cancel	չեղարկել	Նրանք չեղարկեցին հանդիպումը։
cancer	քաղցկեղ	Քաղցկեղի բուժումը կարող է դժվար լինել։
capable	ունակ	Նա ավելիին է ընդունակ։
capacity	տարողություն	Դահլիճը լցվեց։
capture	որսալ	Լուսանկարը արտացոլում է տրամադրությունը։
cast	դերասանական կազմ	Դերասանական կազմը պատրաստ է։
cell	բջիջ	Յուրաքանչյուր բջիջ պարունակում է տվյալներ։
chairman	նախագահող	Նախագահողը բացեց ժողովը։
characteristic	բնութագիր	Համբերությունը նրա գլխավոր հատկանիշն է։
chief	գլխավոր	Գլխավոր ինժեները ուշացավ։
circumstance	հանգամանք	Ուշադիր դիտարկեք յուրաքանչյուր հանգամանք։
cite	մեջբերել	Խնդրում եմ, նշեք ձեր աղբյուրը։
citizen	քաղաքացի	Յուրաքանչյուր քաղաքացի կարող է քվեարկել։
civil	քաղաքացիական	Բողոքի ակցիան մնաց քաղաքացիական։
classic	դասական	Այս ֆիլմը դասական է։
closely	ուշադիր	Ուշադիր հետևեք գործընթացին։
collapse	փլուզվել	Հին կամուրջը կարող է փլուզվել։
combination	համադրություն	Համադրությունը լավ աշխատեց։
comfort	մխիթարություն	Նրա խոսքերը մխիթարություն տվեցին։
command	հրաման	Սպան հրաման արձակեց։
commission	հանձնաժողով	Հանձնաժողովը վերանայեց գործը։
commitment	հանձնառություն	Գործը նվիրվածություն է պահանջում։
committee	կոմիտե	Կոմիտեն հանդիպում է ամեն շաբաթ։
commonly	սովորաբար	Այս բույսը լայնորեն աճեցվում է։
complicated	բարդ	Հրահանգները բարդ են։
component	բաղադրիչ	Մի բաղադրիչ ձախողվեց։
concentration	կենտրոնացում	Աղմուկը խանգարում է իմ կենտրոնացմանը։
concept	հայեցակարգ	Հայեցակարգը պարզ է։
concern	մտահոգություն	Անվտանգությունը մեր գլխավոր մտահոգությունն է։
concerned	մտահոգված	Ծնողները խորապես մտահոգված էին։
conduct	անցկացնել	Նրանք տեղում հետազոտություն են անցկացնում։
confidence	վստահություն	Փորձը վստահություն է ներշնչում։
conflict	հակամարտություն	Հակամարտությունը տարիներ տևեց։
confusing	շփոթեցնող	Քարտեզը շփոթեցնող էր։
conscious	գիտակից	Նա մնաց գիտակից վիճակում։
conservative	պահպանողական	Նրա հայացքները պահպանողական են։
consideration	նկատառում	Գինը կարևոր նկատառում է։
consistent	հետևողական	Նրա արդյունքները հետևողական են։
constant	անընդհատ	Անընդհատ աղմուկը հոգնեցրեց մեզ։
constantly	անընդհատ	Նա անընդհատ ստուգում է իր հեռախոսը։
construct	կառուցել	Բանվորները նոր կամուրջ կառուցեցին։
construction	շինարարություն	Շինարարությունը կսկսվի հաջորդ ամիս։
contemporary	ժամանակակից	Պատկերասրահը ցուցադրում է ժամանակակից արվեստ։
contest	մրցույթ	Նա մասնակցեց մրցույթին։
contract	պայմանագիր	Ուշադիր կարդացեք պայմանագիրը։
contribute	նպաստել	Յուրաքանչյուրը կարող է գաղափարներով ներդրում ունենալ։
contribution	ներդրում	Նրա ներդրումը արժեքավոր էր։
convert	վերափոխել	Նրանք վերափոխեցին ավտոտնակը։
convinced	համոզված	Ես համոզված եմ, որ նա ստել է։
core	հիմնական	Վստահությունը հիմնական խնդիրն է։
corporate	կորպորատիվ	Կորպորատիվ կանոնները կրկին փոխվեցին։
council	խորհուրդ	Խորհուրդը հաստատեց ծրագիրը։
county	վարչաշրջան	Վարչաշրջանը վերանորոգեց ճանապարհը։
courage	քաջություն	Նա իսկական քաջություն դրսևորեց։
crash	վթար	Վթարը փակեց երթևեկությունը։
creation	ստեղծում	Ստեղծումը վեց ամիս տևեց։
creature	արարած	Արարածը անձայն շարժվեց։
crew	անձնակազմ	Անձնակազմը նախապատրաստեց նավը։
crisis	ճգնաժամ	Ճգնաժամը ամեն ինչ փոխեց։
criterion	չափանիշ	Գինը չափանիշներից մեկն է։
critic	քննադատ	Քննադատը գովերգեց պիեսը։
critical	կրիտիկական	Նրա վիճակը կրիտիկական է։
criticism	քննադատություն	Նա հանգիստ ընդունեց քննադատությունը։
criticize	քննադատել	Մի քննադատեք ամեն սխալ։
crop	բերք	Այս տարի բերքը փչացավ։
crucial	վճռորոշ	Ժամանակն այստեղ վճռորոշ է։
cure	բուժում	Բժիշկները բուժում գտան։
curve	շրջադարձ	Ճանապարհը հետևում է շրջադարձին։
curved	կորացված	Պատը մի փոքր կորացված է։
debate	բանավեճ	Բանավեճը շարունակվեց ժամերով։
debt	պարտք	Նա վճարեց պարտքը։
decent	կարգին	Նրանք կարգին բնակարան գտան։
declare	հայտարարել	Նրանք հայտարարեցին արդյունքը։
decline	նվազել	Վաճառքները շարունակեցին նվազել։
decoration	զարդարանք	Զարդարանքը թանկարժեք տեսք ուներ։
decrease	նվազել	Գները կարող են շուտով նվազել։
deeply	խորապես	Նա խորապես հոգ էր տանում արդարության մասին։
defeat	պարտություն	Պարտությունը ցնցեց թիմին։
defence	պաշտպանություն	Պաշտպանությունը վիճարկեց ապացույցը։
defend	պաշտպանել	Նա փորձեց պաշտպանել ինքն իրեն։
delay	ուշացում	Վատ եղանակը ուշացման պատճառ դարձավ։
deliberate	կանխամտածված	Դա կանխամտածված ընտրություն էր։
deliberately	միտումնավոր	Նա միտումնավոր անտեսեց նախազգուշացումը։
delight	ուրախացնել	Նորությունը բոլորին ուրախացրեց։
delighted	հիացած	Մենք հիացած էինք նվերով։
delivery	առաքում	Առաքումը շուտ հասավ։
demand	պահանջ	Բանվորները ավելի լավ վարձատրություն են պահանջում։
demonstrate	ցուցադրել	Նա ցուցադրեց նոր ծրագրաշարը։
deny	հերքել	Նա հերքեց մեղադրանքը։
depressed	ընկճված	Պարտությունից հետո նա իրեն ընկճված էր զգում։
depressing	ճնշող	Ֆիլմը ճնշող էր։
depth	խորություն	Լողավազանը մեծ խորություն ունի։
deserve	արժանի լինել	Դուք արժանի եք ընդմիջման։
desire	ցանկություն	Նա ճանապարհորդելու ցանկություն հայտնեց։
desperate	հուսահատ	Նրանք հուսահատ զանգ կատարեցին։
detailed	մանրամասն	Ուղեցույցը շատ մանրամասն է։
detect	հայտնաբերել	Շները կարող են ծուխ հայտնաբերել։
dig	փորել	Նրանք ամռանը ջրհորներ են փորում։
disc	սկավառակ	Սկավառակը քերծված էր։
discipline	կարգապահություն	Կարգապահությունը օգնում է մարզիկներին կատարելագործվել։
dishonest	անազնիվ	Նրա պատասխանը անազնիվ հնչեց։
dismiss	մերժել	Մենեջերը մերժեց բողոքը։
display	ցուցադրել	Էկրանը ցուցադրում է հաշիվը։
distribute	բաժանել	Կամավորները մաքուր ջուր բաժանեցին։
distribution	բաշխում	Բաշխումը սկսվեց արևածագից հետո։
district	շրջան	Շրջանը ընտրեց քաղաքապետ։
division	բաժանմունք	Բաժանմունքը զբաղվում է իրավական գործերով։
domestic	ներքին	Ներքին չվերթներն ավելի էժան են։
dominate	գերիշխել	Մեկ ընկերություն կարող է գերիշխել շուկայում։
downwards	դեպի վար	Արահետը թեքվում է դեպի վար։
dozen	տասնյակ	Նա մի տասնյակ ձու գնեց։
draft	նախագիծ	Խնդրում եմ վերանայել նախագիծը։
drag	քաշել	Մի քաշեք սեղանը։
dramatic	դրամատիկ	Արդյունքները դրամատիկ էին։
edit	խմբագրել	Նա խմբագրեց հոդվածը։
edition	հրատարակություն	Այս հրատարակությունը ներառում է նոր լուսանկարներ։
efficient	արդյունավետ	Համակարգը արդյունավետ է։
elderly	տարեց	Տարեց բնակիչները աջակցության կարիք ունեն։
elect	ընտրել	Ընտրողները նոր խորհուրդ են ընտրում։
elsewhere	այլուր	Մենք այլուր օգնություն փնտրեցինք։
emerge	ի հայտ գալ	Մանրամասները ի հայտ եկան կեսգիշերից հետո։
emotional	էմոցիոնալ	Ելույթը էմոցիոնալ էր։
emphasis	շեշտադրում	Շեշտը դրեք անվտանգության վրա։
emphasize	շեշտել	Ուսուցիչները շեշտում են ամենօրյա պարապմունքները։
enable	հնարավորություն տալ	Հավելվածը հնարավորություն է տալիս արագ վճարումներ կատարել։
encounter	հանդիպել	Մենք հանդիպեցինք ծանր երթևեկության։
engage	ներգրավել	Դասընթացը ներգրավում է չափահաս սովորողների։
enhance	բարելավել	Լուսավորությունը կարող է բարելավել սենյակը։
enquiry	հետաքննություն	Հետաքննությունը տևեց երեք ամիս։
ensure	ապահովել	Երկու անգամ ստուգեք՝ ճշտությունն ապահովելու համար։
enthusiasm	խանդավառություն	Նրա խանդավառությունը ոգևորեց խմբին։
enthusiastic	խանդավառ	Կամավորները խանդավառ էին։
entire	ամբողջ	Ամբողջ գյուղը հոսանքազրկվեց։
entirely	ամբողջությամբ	Պատմությունն ամբողջությամբ կեղծ է։
establish	հիմնել	Նրանք հստակ կանոններ հիմնեցին։
estate	կալվածք	Կալվածքը ներառում է մի քանի ֆերմաներ։
estimate	գնահատել	Մենք գնահատում ենք տասը հազար այցելու։
ethical	էթիկական	Որոշումն էթիկական հարցեր առաջացրեց։
evaluate	գնահատել	Փորձագետները կգնահատեն դիզայնը։
evil	չար	Թագավորը վախենում էր չար ոգիներից։
examination	քննություն	Քննությունը տևեց մեկ ժամ։
excuse	արդարացում	Այդ արդարացումը թույլ էր հնչում։
executive	գործադիր	Գործադիրը հաստատեց գործարքը։
existence	գոյություն	Նրանց գոյությունն անհայտ էր։
expectation	ակնկալիք	Մեկնարկից առաջ ակնկալիքը մեծ էր։
expense	ծախս	Ճանապարհորդությունը մեր ամենամեծ ծախսն է։
exploration	հետազոտություն	Տիեզերքի հետազոտությունը ոգեշնչում է երեխաներին։
expose	բացահայտել	Հոդվածը բացահայտեց կոռուպցիան։
extend	երկարաձգել	Նրանք երկարաձգեցին վերջնաժամկետը։
extent	չափ	Մենք ավելի ուշ իմացանք չափը։
external	արտաքին	Արտաքին ճնշումն ազդեց նրանց վրա։
extraordinary	արտասովոր	Նրա ապաքինումն արտասովոր էր։
facility	հաստատություն	Հաստատությունը բացվեց հունիսին։
failure	ձախողում	Ձախողումը նրան համբերություն սովորեցրեց։
faith	հավատ	Նա պահպանեց հավատը նրա հանդեպ։
fault	մեղք	Վթարն իմ մեղքն էր։
feather	փետուր	Բարձից մի փետուր ընկավ։
fee	վճար	Վճարը ներառում է ճաշ։
feedback	արձագանք	Արձագանքն օգնեց բարելավել դասընթացը։
fellow	գործընկեր	Գործընկերներն աջակցեցին նրան։
finance	ֆինանսավորել	Բանկը կֆինանսավորի ընդլայնումը։
finding	բացահայտում	Բացահայտումը զարմացրեց հետազոտողներին։
firm	ընկերություն	Ընկերությունը նոր աշխատակիցներ ընդունեց։
flame	բոց	Մի փոքր բոց հայտնվեց։
flash	բռնկում	Բռնկումը լուսավորեց երկինքը։
flexible	ճկուն	Ժամանակացույցը ճկուն է։
float	լողալ	Տերևները լողում են ջրի վրա։
folding	ծալովի	Նա կրում էր ծալովի աթոռ։
forgive	ներել	Կարո՞ղ ես ներել նրան։
former	նախկին	Նախկին քաղաքապետը վերադարձավ։
fortune	կարողություն	Նրանք կորցրին մի ամբողջ կարողություն։
found	հիմնել	Նրանք հիմնեցին փոքր բարեգործական կազմակերպություն։
freedom	ազատություն	Ազատությունը պատասխանատվություն է պահանջում։
frequency	հաճախականություն	Ձմռանը հաճախականությունը մեծացավ։
fully	լիովին	Հյուրանոցը լիովին ամրագրված է։
fund	հիմնադրամ	Հիմնադրամն աջակցում է տեղական դպրոցներին։
fundamental	հիմնարար	Հարգանքն այստեղ հիմնարար է։
funding	ֆինանսավորում	Ֆինանսավորումն ավարտվեց անցյալ տարի։
furthermore	բացի այդ	Բացի այդ, ծախսերն աճում են։
gain	ձեռք բերել	Ուսանողներն արագ վստահություն են ձեռք բերում։
gang	բանդա	Բանդան վերահսկում էր փողոցը։
generate	արտադրել	Արևային վահանակները էներգիա են արտադրում։
genre	ժանր	Կատակերգությունը նրա սիրելի ժանրն է։
govern	կառավարել	Օրենքները կարգավորում են պետական ծախսերը։
grab	բռնել	Նա բռնեց իմ թևից։
gradually	աստիճանաբար	Ցավն աստիճանաբար անհետացավ։
grand	շքեղ	Հյուրանոցն ունի շքեղ մուտք։
grant	դրամաշնորհ	Դրամաշնորհով վճարվեց սարքավորումների համար։
guarantee	երաշխավորել	Տոմսը երաշխավորում է մուտքը։
handle	լուծել	Նա հանգիստ լուծեց բողոքը։
harm	վնաս	Ծխելը կարող է վնասել առողջությանը։
harmful	վնասակար	Այդ քիմիական նյութը վնասակար է։
hearing	լսողություն	Նրա լսողությունը բարելավվեց։
heaven	դրախտ	Նրանք պատկերացնում էին դրախտը վերևում։
heel	կրունկ	Նրա կրունկը շատ էր ցավում։
hell	դժոխք	Ուղևորությունը դժոխք էր։
hesitate	վարանել	Մի վարանեք հարցնել։
hollow	սնամեջ	Ծառը ներսից սնամեջ էր։
holy	սուրբ	Նրանք այցելեցին սուրբ վայր։
honour	պատիվ	Նրանք պայքարում էին հանուն պատվի։
household	տնային տնտեսություն	Յուրաքանչյուր տնտեսություն ջուր ստացավ։
housing	բնակարանային պայմաններ	Բնակարանների գները շարունակում են աճել։
humorous	հումորային	Նրա պատմությունը ծիծաղելի էր։
humour	հումոր	Հումորն օգնեց նվազեցնել լարվածությունը։
hunting	որսորդություն	Որսն այստեղ արգելված է։
illustrate	լուսաբանել	Օրինակները լուսաբանում են կանոնը։
illustration	նկարազարդում	Նկարազարդումը ցույց է տալիս գործընթացը։
imagination	երևակայություն	Երեխաներն ազատորեն օգտագործում են երևակայությունը։
impatient	անհամբեր	Վարորդներն անհամբեր դարձան։
imply	ենթադրել	Նրա լռությունը կարող է համաձայնություն նշանակել։
impose	պարտադրել	Դատարանը տուգանք նշանակեց։
impress	տպավորել	Նրա քաջությունը տպավորեց բոլորին։
impressed	տպավորված	Ես տպավորված էի նրա աշխատանքով։
inch	դյույմ	Տեղափոխեք այն մեկ դյույմ ձախ։
incident	միջադեպ	Միջադեպն անհանգստություն առաջացրեց։
income	եկամուտ	Նրանց եկամուտը դանդաղ աճեց։
increasingly	գնալով	Բնակարանները գնալով թանկանում են։
industrial	արդյունաբերական	Քաղաքն ունի արդյունաբերական արմատներ։
infection	վարակ	Վարակն արագ տարածվեց։
inform	տեղեկացնել	Խնդրում ենք տեղեկացնել ղեկավարին։
initial	սկզբնական	Սկզբնական արժեքը բարձր էր։
initially	սկզբում	Սկզբում ոչ ոք չէր հավատում նրան։
initiative	նախաձեռնություն	Նա նոր նախաձեռնություն սկսեց։
inner	ներքին	Ներքին դուռը փակ էր։
insight	պատկերացում	Զեկույցն օգտակար պատկերացում է տալիս։
insist	պնդել	Նրանք պնդում են անվտանգության ստուգումների վրա։
inspire	ոգեշնչել	Նրա պատմությունը կարող է ոգեշնչել ուրիշներին։
install	տեղադրել	Նրանք նոր ջեռուցիչ տեղադրեցին։
instance	օրինակ	Սա մեկ հստակ օրինակ է։
