source_headword	DE	example_DE
property	das Eigentum	Sie kauften Eigentum nahe dem Fluss.
protest	der Protest	Der Protest endete friedlich.
proud	stolz	Sie war stolz auf ihren Sohn.
prove	beweisen	Kannst du deine Antwort beweisen?
punish	bestrafen	Der Lehrer bestrafte ihn nicht.
punishment	die Strafe	Die Strafe wirkte fair.
qualification	die Qualifikation	Du brauchst eine Qualifikation für diese Arbeit.
qualified	qualifiziert	Sie ist eine qualifizierte Krankenschwester.
qualify	sich qualifizieren	Unser Team kann sich qualifizieren.
queue	die Schlange	Wir warteten in einer langen Schlange.
quit	aufhören	Er beschloss, mit dem Rauchen aufzuhören.
quotation	das Zitat	Der Aufsatz beginnt mit einem Zitat.
quote	zitieren	Darf ich deine Worte zitieren?
race (people)	die ethnische Herkunft	Das Formular fragt nach der ethnischen Herkunft.
racing	der Rennsport	Pferderennen sind dort beliebt.
range	die Auswahl	Der Laden verkauft eine große Auswahl.
rare	selten	Dieser Vogel ist selten.
rarely	selten	Wir essen selten auswärts.
reaction	die Reaktion	Ihre Reaktion überraschte mich.
reality	die Realität	Die Realität war anders als sein Traum.
receipt	der Beleg	Bewahre den Beleg auf.
recommendation	die Empfehlung	Danke für die Empfehlung.
reference	die Referenz	Füge am Ende eine Referenz hinzu.
reflect	reflektieren	Der Spiegel kann Licht reflektieren.
regularly	regelmäßig	Sie macht regelmäßig Sport.
reject	ablehnen	Sie können das Angebot ablehnen.
relate	sich beziehen	Ich kann mich auf diese Geschichte beziehen.
related	verwandt	Die beiden Probleme sind verwandt.
relation	die Beziehung	Es gibt eine Beziehung zwischen ihnen.
relative	relativ	Geschwindigkeit ist relativ.
relaxed	entspannt	Er fühlte sich nach dem Abendessen entspannt.
relaxing	entspannend	Die Musik war entspannend.
release	veröffentlichen	Sie werden den Film bald veröffentlichen.
reliable	zuverlässig	Dieser Bus ist meistens zuverlässig.
religion	die Religion	Religion ist ihr wichtig.
religious	religiös	Sie besuchten ein religiöses Gebäude.
remain	bleiben	Bitte bleib ruhig.
remind	erinnern	Erinnere mich morgen daran.
remote	abgelegen	Sie wohnen in einem abgelegenen Dorf.
rent	die Miete	Die Miete ist heute fällig.
repeated	wiederholt	Wiederholte Fehler verlangsamten die Arbeit.
represent	darstellen	Der Stern stellt Hoffnung dar.
require	erfordern	Diese Arbeit wird Schulung erfordern.
reservation	die Reservierung	Ich habe eine Reservierung gemacht.
resource	die Ressource	Die Bibliothek ist eine nützliche Ressource.
respect	der Respekt	Respektiere deine Mitschüler.
responsibility	die Verantwortung	Kinderbetreuung ist eine große Verantwortung.
responsible	verantwortlich	Sie ist für die Eintrittskarten verantwortlich.
retire	in Rente gehen	Mein Vater wird bald in Rente gehen.
retired	pensioniert	Er ist ein pensionierter Lehrer.
revise	überarbeiten	Überarbeite deinen Aufsatz heute Abend.
risk	das Risiko	Es besteht Regenrisiko.
robot	der Roboter	Der Roboter reinigte den Boden.
roll	rollen	Roll den Ball zu mir.
romantic	romantisch	Sie hatten ein romantisches Abendessen.
rope	das Seil	Binde das Seil fest.
rough	rau	Die Straße war rau.
row1	die Reihe	Setz dich in die vordere Reihe.
royal	königlich	Die königliche Familie kam an.
rugby	das Rugby	Wir sahen Rugby im Fernsehen.
safety	die Sicherheit	Sicherheit ist bei der Arbeit wichtig.
sailor	der Seemann	Der Seemann reparierte das Boot.
sample	die Probe	Die Krankenschwester nahm eine Blutprobe.
sand	der Sand	Sand bedeckte meine Schuhe.
scan	scannen	Scanne zuerst das Dokument.
scientific	wissenschaftlich	Das ist eine wissenschaftliche Methode.
script	das Drehbuch	Der Schauspieler las das Drehbuch.
sculpture	die Skulptur	Die Skulptur steht draußen.
secondary	zweitrangig	Dies ist ein zweitrangiges Problem.
security	die Sicherheit	Die Sicherheit kontrollierte unsere Taschen.
seed	der Samen	Pflanze den Samen in die Erde.
sensible	vernünftig	Das ist eine vernünftige Idee.
seriously	ernst	Nimm dieses Problem ernst.
servant	der Diener	Der Diener öffnete die Tür.
set (put)	stellen	Stell das Glas auf den Tisch.
set (group)	das Set	Dieses Set enthält sechs Tassen.
setting	die Umgebung	Die Geschichte hat eine städtische Umgebung.
sex	das Geschlecht	Das Formular fragt nach Alter und Geschlecht.
sexual	sexuell	Die Klasse besprach sexuelle Gesundheit.
sharp	scharf	Dieses Messer ist scharf.
shelf	das Regal	Stell das Buch ins Regal.
shell	die Muschel	Die Muschel war leer.
shift	die Schicht	Meine Schicht beginnt um acht.
shine	leuchten	Die Sterne leuchten nachts.
shiny	glänzend	Ihre Schuhe sind glänzend.
shoot	fotografieren	Der Fotograf wird die Szene fotografieren.
shy	schüchtern	Er ist schüchtern gegenüber Fremden.
sight	der Anblick	Der Berg war ein schöner Anblick.
signal	das Signal	Das Signal war schwach.
silent	still	Der Raum wurde still.
silly	albern	Das war ein alberner Fehler.
similarity	die Ähnlichkeit	Es gibt eine klare Ähnlichkeit.
similarly	ähnlich	Der zweite Plan funktioniert ähnlich.
simply	einfach	Drücke einfach diesen Knopf.
sink	sinken	Schwere Steine sinken schnell.
slice	die Scheibe	Ich aß eine Scheibe Kuchen.
slightly	leicht	Der Raum ist leicht wärmer.
smart	elegant	Sie trug eine elegante Jacke.
smooth	glatt	Die Straße ist glatt.
software	die Software	Die Software braucht ein Update.
soil	der Boden	Der Boden ist trocken.
solid	fest	Die Wand ist fest.
southern	südlich	Sie wohnen an der südlichen Küste.
specifically	ausdrücklich	Ich bat ausdrücklich um Tee.
spending	die Ausgaben	Die Staatsausgaben stiegen.
spicy	scharf	Dieses Curry ist scharf.
spirit	der Geist	Das Team zeigte großen Geist.
spoken	gesprochen	Gesprochenes Englisch verbessert sich mit Übung.
spot	der Ort	Dieser Ort ist perfekt.
spread	streichen	Streich Butter auf das Brot.
stadium	das Stadion	Das Stadion war voll.
staff	das Personal	Das Personal war hilfsbereit.
standard	der Standard	Der Standard war hoch.
statistic	die Statistik	Diese Statistik ist überraschend.
statue	die Statue	Die Statue steht auf dem Platz.
stick (push into/attach)	kleben	Kleb das Etikett auf die Schachtel.
stick (piece of wood)	der Stock	Er hob einen Stock auf.
