source_headword	CS	example_CS
tidy	uklizený	Udržuj svůj pokoj uklizený.
tie	zavázat	Zavaž si boty teď.
tip	tip; spropitné	Nech spropitné za službu.
tool	nástroj	Použij správný nástroj.
top	vrchol; horní část	Horní police je plná.
touch	dotknout se	Nedotýkej se skla.
tour	prohlídka	Šli jsme na prohlídku města.
tourism	cestovní ruch	Cestovní ruch pomáhá tomuto městu.
towards	k; směrem k	Jdi směrem ke stanici.
towel	ručník	Vezmi si čistý ručník.
tower	věž	Věž je velmi stará.
toy	hračka	Autíčko je červené.
track	kolej; stopa	Kolej vede na sever.
tradition	tradice	Tato tradice je stará.
traditional	tradiční	Měla na sobě tradiční oblečení.
trainer	trenér	Můj trenér je ochotný.
training	trénink	Trénink začíná zítra.
transport	doprava	Veřejná doprava má zpoždění.
traveller	cestovatel	Cestovatel požádal o pomoc.
trouble	potíže	Včera jsme měli potíže.
truck	nákladní auto	Nákladní auto je venku.
twin	dvojče	Moje sestra dvojče je vyšší.
typical	typický	Toto je typický den.
underground	podzemní	Vlak jede pod zemí.
understanding	porozumění	Tvoje porozumění je správné.
unfortunately	bohužel	Bohužel je obchod zavřený.
unhappy	nešťastný	Vypadá nešťastně.
uniform	uniforma	Nosí školní uniformu.
unit	jednotka	Tato jednotka je malá.
united	spojený	Tým zůstal spojený.
unusual	neobvyklý	Ten zvuk je neobvyklý.
used to modal	dříve	Dříve jsme tu bydleli.
user	uživatel	Každý uživatel má číslo.
usual	obvyklý	Vzal jsem si své obvyklé místo.
valley	údolí	Údolí je zelené.
van	dodávka	Dodávka je plná.
variety	rozmanitost; výběr	Potřebujeme více rozmanitosti.
vehicle	vozidlo	Toto vozidlo je pomalé.
view	výhled	Výhled je krásný.
virus	virus	Virus mu způsobil nemoc.
voice	hlas	Její hlas je tichý.
war	válka	Válka skončila před lety.
washing	prádlo	Prádlo je venku.
wave	vlna	Vlna zasáhla loď.
weak	slabý	Nohy mám slabé.
web	web	Webová stránka je otevřená.
wedding	svatba	Svatba začíná brzy.
weight	váha; hmotnost	Nejprve zkontroluj váhu.
wet	mokrý	Moje boty jsou mokré.
wheel	kolo	Kolo je rozbité.
while	chvíle	Počkej tady chvíli.
whole	celý	Snědl jsem celé jablko.
whose	čí	Čí telefon je to?
wide	široký	Silnice je široká.
wild	divoký	Divoká zvířata žijí zde.
wind1	vítr	Vítr je silný.
winner	vítěz	Vítěz se usmál.
wish	přání; přát si	Něco si přej.
wood	dřevo	Židle je ze dřeva.
wooden	dřevěný	Dřevěná krabice je těžká.
working	pracovní	Pracovní den skončil.
worried	ustaraný; znepokojený	Dnes jsem ustaraný.
worry	dělat si starosti	Nedělej si teď starosti.
worse	horší	Tato bolest je horší.
worst	nejhorší	To byl nejhorší den.
wow	páni	Páni, to je úžasné!
yet	ještě; už	Už tam jsme?
yours	tvůj; váš	Tato kniha je tvoje.
zero	nula	Odpočítej do nuly.
