source_headword	HI	example_HI
trick	करतब	उस कार्ड के करतब ने मुझे हैरान कर दिया।
truth	सच	कृपया सच बोलें।
tube	ट्यूब	ट्यूब को हल्के से दबाएं।
typically	आमतौर पर	छात्र आमतौर पर नौ बजे से पहले पहुँचते हैं।
tyre	टायर	कार को एक नए टायर की आवश्यकता है।
ugly	भद्दा	दीवार का वह रंग भद्दा लगता है।
unable	असमर्थ	वह उत्तर देने में असमर्थ था।
uncomfortable	असुविधाजनक	यह कुर्सी असुविधाजनक है।
underwear	अंडरवियर	यात्रा के लिए साफ अंडरवियर पैक करें।
unemployed	बेरोज़गार	वह दो महीने तक बेरोज़गार थी।
unemployment	बेरोज़गारी	सर्दियों के दौरान बेरोज़गारी बढ़ गई।
unfair	अनुचित	निर्णय अनुचित लगा।
union	यूनियन	यूनियन ने सुरक्षित काम की मांग की।
unless	जब तक कि	जब तक मैं फोन न करूँ, मत जाना।
unlike	के विपरीत	टॉम के विपरीत, एना को सर्दियाँ पसंद हैं।
unlikely	असंभावित	इस सप्ताह बर्फबारी की संभावना नहीं है।
unnecessary	अनावश्यक	अतिरिक्त बैग अनावश्यक हैं।
unpleasant	अप्रिय	कमरे में एक अप्रिय गंध थी।
update	अपडेट करना	मुझे अपना फोन अपडेट करना होगा।
upon	पर	एक समय की बात है, एक राजा था।
upset	परेशान	फोन के बाद वह परेशान महसूस कर रही थी।
used1	इस्तेमाल किया गया	इस कमरे का उपयोग बैठकों के लिए किया जाता है।
used2	आदी	मैं सुबह जल्दी उठने का आदी हूँ।
valuable	मूल्यवान	यह घड़ी मूल्यवान है।
value	मूल्य	पिछले साल घर का मूल्य कम हो गया।
various	विभिन्न	हमने विभिन्न स्थानीय व्यंजनों का स्वाद लिया।
version	संस्करण	यह संस्करण बेहतर काम करता है।
victim	पीड़ित	पीड़ित ने पुलिस को बुलाया।
viewer	दर्शक	एक दर्शक ने सवाल पूछा।
violent	हिंसक	फिल्म बहुत हिंसक थी।
volunteer	स्वयंसेवक	मैं पुस्तकालय में स्वयंसेवक के रूप में काम करता हूँ।
vote	मतदान करना	कल मतदान करना याद रखें।
warn	चेतावनी देना	मैंने उसे चेतावनी देने की कोशिश की।
warning	चेतावनी	स्क्रीन पर चेतावनी दिखाई दी।
waste	बर्बाद करना	साफ पानी बर्बाद न करें।
weapon	हथियार	चाकू एक हथियार बन गया।
weigh	तौलना	आटे को ध्यान से तौलें।
western	पश्चिमी	उन्होंने एक पश्चिमी फिल्म देखी।
whatever	जो कुछ भी	जो कुछ भी आपको पसंद हो उसे चुनें।
whenever	जब भी	जब भी आपको मदद की आवश्यकता हो, कॉल करें।
whether	कि क्या	मुझे नहीं पता कि क्या वह सहमत है।
wing	पंख	पक्षी का एक पंख घायल हो गया।
within	के भीतर	कृपया दो दिनों के भीतर उत्तर दें।
wonder	सोचना	मैं सोचता हूँ कि क्या हुआ।
wool	ऊन	यह कोट ऊन से बना है।
worldwide	दुनिया भर में	यह गाना दुनिया भर में लोकप्रिय हो गया।
worth	के लायक	यह किताब पढ़ने लायक है।
written	लिखित	कृपया लिखित निर्देश भेजें।
yard	आँगन	बच्चे आँगन में खेले।
youth	युवा	युवा क्लब स्थानीय किशोरों की मदद करते हैं।
