source_headword	HU	example_HU
slight	enyhe	Volt egy enyhe késés.
slip	elcsúszik	Ne csússz el a vizes padlón.
slope	lejtő	Az ösvény egy meredek lejtőt követ.
solar	nap-	A ház napenergiát használ.
somewhat	némileg	Az utasítások némileg zavarosak voltak.
soul	lélek	A zene felemelte a lelkét.
specialist	szakorvos	A szakorvos megvizsgálta a beteget.
species	faj	Ez a faj folyók közelében él.
spiritual	spirituális	Egy spirituális élményt írt le.
split	eloszt	Egyenlően elosztották a számlát.
sponsor	szponzorál	A vállalat szponzorálni fogja az eseményt.
stable	stabil	A beteg stabil.
stare	bámul	Ne bámuld az idegeneket.
status	státusz	A státusza egy éjszaka alatt megváltozott.
steady	egyenletes	Tarts egyenletes sebességet.
steel	acél	A híd acélból készült.
steep	meredek	A domb meredek.
sticky	ragacsos	A padló ragacsosnak érződik.
stiff	merev	A válla merevnek érződött.
stock	készlet	Az üzletben nem maradt készlet.
stream	patak	Egy kis patak keresztezi a mezőt.
stretch	nyújt	Nyújtsd ki a lábad a repülés után.
strict	szigorú	Az iskolának szigorú szabályai vannak.
strike	sztrájkol	A munkások holnap sztrájkolhatnak.
struggle	küszködik	Sok család küszködik a lakbérrel.
submit	benyújt	Péntekig nyújtsa be az űrlapot.
sum	összeg	Az összeg magasabb volt a vártnál.
surgery	műtét	A műtét két órán át tartott.
surround	körülvesz	Magas fák veszik körül a házat.
surrounding	környező	A környező terület csendes.
suspect	gyanúsít	A rendőrség egy helyi férfit gyanúsít.
swear	káromkodik	Ne káromkodj az osztályban.
sweep	söpör	Söpörd fel a padlót, mielőtt megérkeznek a vendégek.
sympathy	együttérzés	Együttérzését fejezte ki az áldozatok iránt.
tale	mese	Nagymama furcsa mesét mesélt.
tank	tartály	A tartályban tiszta víz van.
tear1	elszakít	Ne szakítsd el a dokumentumot.
tear2	könny	Egy könnycsepp gördült le az arcán.
temporary	ideiglenes	Az iroda ideiglenes menedék.
therapy	terápia	A fizioterápia segített a felépülésében.
threat	fenyegetés	Az üzenet fenyegetést tartalmazott.
threaten	fenyeget	A vihar fenyegetheti a termést.
thus	így	Az út le volt zárva, így vártunk.
tone	hangszín	A hangszíne nyugodtnak tűnt.
tough	nehéz	Az interjú nehéz volt.
transfer	átvisz	Minden éjjel adatot továbbítanak.
transform	átalakít	Az új irányelv átalakítja a szolgáltatásokat.
transition	átmenet	Az átmenet több hónapig tartott.
trial	tárgyalás	A tárgyalás jövő héten kezdődik.
tropical	trópusi	A trópusi viharok gyakoriak itt.
truly	igazán	Igazán értékelem a segítségét.
trust	bizalom	A bizalom kiépítéséhez idő kell.
tune	dallam	A zenekar egy vidám dallamot játszott.
tunnel	alagút	Az alagút a folyó alatt halad.
ultimately	végül	A terv végül sikeres volt.
unconscious	eszméletlen	A beteg eszméletlen maradt.
unexpected	váratlan	A késés váratlan volt.
unique	egyedi	Minden minta egyedi.
universe	világegyetem	A világegyetem tágul.
unknown	ismeretlen	A név ismeretlen marad.
upper	felső	A felső polc üres.
upwards	felfelé	A füst felfelé szállt.
urban	városi	A városi területeknek jobb közlekedésre van szükségük.
urge	ösztönöz	Az orvosok testmozgásra ösztönzik az embereket.
vary	eltér	Az árak régiónként eltérnek.
vast	hatalmas	A sivatag hatalmas területet fed le.
venue	helyszín	A helyszín ötszáz ember befogadására alkalmas.
via	keresztül	Küldje el a dokumentumot e-mailen keresztül.
victory	győzelem	A csapat megünnepelte a győzelmét.
violence	erőszak	A város politikai erőszaktól szenvedett.
virtual	virtuális	Az értekezlet virtuális.
vision	vízió	Az ő víziója formálta a vállalatot.
visual	vizuális	A jelentés vizuális példákat tartalmaz.
vital	létfontosságú	A víz létfontosságú az élethez.
vitamin	vitamin	A narancs C-vitamint tartalmaz.
volume	hangerő	Halkítsa le a hangerőt.
wage	bér	A munkások magasabb bért követeltek.
weakness	gyengeség	A tervnek egy gyengesége van.
wealth	vagyon	Vagyona kereskedelemből származott.
wealthy	gazdag	A gazdag család finanszírozta a múzeumot.
whereas	míg	Ő szereti a teát, míg én a kávét kedvelem.
wherever	bárhol	Üljön bárhová, ahol jól érzi magát.
whisper	suttog	Kérem, suttogjon a ceremónia alatt.
whom	kit	Kit hívtál meg?
widely	széles körben	A könyvet széles körben olvassák.
wildlife	vadvilág	A park védi a helyi vadvilágot.
willing	hajlandó	Hajlandó segíteni.
wind2	teker	Tekerje a kábelt az orsó köré.
wire	vezeték	A vezeték köti össze a két eszközt.
wise	bölcs	Ez egy bölcs választás volt.
witness	tanú	Egy tanú írta le a balesetet.
wound	seb	Óvatosan tisztítsa meg a sebet.
wrap	becsomagol	Csomagolja papírba az ajándékot.
zone	zóna	Ez a zóna le van zárva a forgalom elől.
