source_headword	TE	example_TE
rational	హేతుబద్ధమైన	ఆమె నిర్ణయం హేతుబద్ధమైనది.
ray	కిరణం	ఒక సూర్యకిరణం లోపలికి ప్రవేశించింది.
readily	సులభంగా / సిద్ధంగా	అతను ఆ ఆఫర్‌ను వెంటనే అంగీకరించాడు.
realization	గ్రహింపు / అవగాహన	ఆ గ్రహింపు ఆమె ప్రణాళికలను మార్చేసింది.
realm	రాజ్యం / రంగం	ఈ ప్రశ్న మరొక రంగానికి చెందినది.
rear	వెనుక	ఈరోజు వెనుక ప్రవేశ ద్వారాన్ని ఉపయోగించండి.
reasoning	తార్కికం / వాదన	అతని వాదన స్పష్టంగా ఉంది.
reassure	భరోసా ఇచ్చుట / ధైర్యం చెప్పుట	వైద్యుడు ఆమెకు ధైర్యం చెప్పడానికి ప్రయత్నించాడు.
rebel	తిరుగుబాటుదారుడు	తిరుగుబాటు నాయకుడు పట్టుబడకుండా తప్పించుకున్నాడు.
rebellion	తిరుగుబాటు	చర్చల తర్వాత తిరుగుబాటు ముగిసింది.
recipient	గ్రహీత	గ్రహీత ఫారమ్‌పై సంతకం చేశారు.
reconstruction	పునర్నిర్మాణం	వరద తర్వాత పునర్నిర్మాణం ప్రారంభమైంది.
recount1	వివరించుట / చెప్పడం	ఆమె సంఘటనలను స్పష్టంగా వివరించగలదు.
referendum	ప్రజాభిప్రాయ సేకరణ	ఈ ప్రజాభిప్రాయ సేకరణ దేశాన్ని విభజించింది.
reflection	ప్రతిబింబం / ఆలోచన	ఈ వ్యాసానికి లోతైన ఆలోచన అవసరం.
reform	సంస్కరణ	ఈ సంస్కరణ ప్రజా సేవలను మెరుగుపరిచింది.
refuge	ఆశ్రయం / శరణు	ఆ కుటుంబం విదేశాల్లో ఆశ్రయం పొందింది.
refusal	తిరస్కరణ	ఆమె తిరస్కరణ కమిటీని ఆశ్చర్యపరిచింది.
regain	తిరిగి పొందుట	అతను నమ్మకాన్ని తిరిగి పొందడానికి చాలా కష్టపడ్డాడు.
regardless	ఏమైనప్పటికీ / పట్టించుకోకుండా	విమర్శలను పట్టించుకోకుండా వారు కొనసాగారు.
regime	పాలన / ప్రభుత్వం	ఆ పాలన స్వేచ్ఛా ప్రసంగాన్ని పరిమితం చేసింది.
regulator	రెగ్యులేటర్ / నియంత్రణ అధికారి	రెగ్యులేటర్ ఆ కంపెనీకి జరిమానా విధించింది.
regulatory	నియంత్రణ	నియంత్రణ ఆమోదం పొందడానికి నెలల సమయం పట్టింది.
rehabilitation	పునరావాసం	పునరావాసం అతనికి మళ్లీ నడవడానికి సహాయపడింది.
reign	పాలన / పరిపాలన	రాజు పాలన దశాబ్దాల పాటు కొనసాగింది.
rejection	తిరస్కరణ	ఆ తిరస్కరణ ఆమె ఆత్మవిశ్వాసాన్ని దెబ్బతీసింది.
relevance	ఔచిత్యం / సంబంధం	ఈ డేటాకు పరిమితమైన ఔచిత్యం ఉంది.
reliability	విశ్వసనీయత	అత్యవసర వ్యవస్థల్లో విశ్వసనీయత ముఖ్యం.
reluctant	అయిష్టంగా ఉన్న	అతను మాట్లాడటానికి అయిష్టపడ్డాడు.
remainder	మిగిలిన భాగం	మిగిలిన భాగం స్వచ్ఛంద సంస్థకు వెళ్లింది.
remains	అవశేషాలు	అవశేషాలను జాగ్రత్తగా పరిశీలించారు.
remedy	పరిష్కారం / నివారణ	ఈ చట్టం ఒక పరిష్కారాన్ని అందిస్తుంది.
reminder	రిమైండర్ / గుర్తుచేసేది	ఆ ఇమెయిల్ ఒక ఉపయోగకరమైన రిమైండర్.
removal	తొలగింపు	అడ్డంకుల తొలగింపు వాణిజ్యానికి సహాయపడింది.
render	మార్చుట / చేయుట	ఆ పొరపాటు ఒప్పందాన్ని చెల్లనిదిగా చేసింది.
renew	పునరుద్ధరించుట	త్వరలో మీ పాస్‌పోర్ట్‌ను పునరుద్ధరించుకోండి.
renowned	ప్రసిద్ధి చెందిన	ఆమె తన పరిశోధనలకు ప్రసిద్ధి చెందింది.
rental	అద్దె	ఈ అద్దెలో బీమా కూడా ఉంటుంది.
replacement	ప్రత్యామ్నాయం / భర్తీ	ప్రత్యామ్నాయ భాగం ఈ రోజు వచ్చింది.
reportedly	నివేదికల ప్రకారం / వార్తల ప్రకారం	నివేదికల ప్రకారం నిన్న మంత్రి రాజీనామా చేశారు.
representation	ప్రాతినిధ్యం	సరైన ప్రాతినిధ్యం ఇప్పటికీ ముఖ్యమైనది.
reproduce	పునరుత్పత్తి చేయుట	ఈ మొక్కలు త్వరగా పునరుత్పత్తి అవుతాయి.
reproduction	పునరుత్పత్తి / ప్రతిరూపం	డిజిటల్ పునరుత్పత్తి ప్రాప్యతను మెరుగుపరిచింది.
republic	రిపబ్లిక్ / గణతంత్ర రాజ్యం	ఆ రిపబ్లిక్ ఎన్నికలు నిర్వహించింది.
resemble	పోలి ఉండుట	ఆ రెండు డిజైన్లు ఒకదానికొకటి చాలా దగ్గరగా పోలి ఉంటాయి.
reside	నివసించుట	వారు సరిహద్దు దగ్గర నివసిస్తున్నారు.
residence	నివాసం	అతని అధికారిక నివాసానికి కాపలా ఉంది.
residential	నివాస	ఈ ప్రాంతం ఎక్కువగా నివాస ప్రాంతం.
residue	అవశేషం	ఆ క్లీనర్ జిగటగా ఉండే అవశేషాన్ని వదిలేసింది.
resignation	రాజీనామా	ఆమె రాజీనామా బోర్డును ఆశ్చర్యపరిచింది.
resistance	నిరోధం / ప్రతిఘటన	మార్పు పట్ల ప్రతిఘటన బలంగా ఉంది.
respective	సంబంధిత	వారు తమ తమ కార్యాలయాలకు తిరిగి వచ్చారు.
respectively	వరుసగా	స్కోర్లు వరుసగా 80 మరియు 90 గా ఉన్నాయి.
restoration	పునరుద్ధరణ	ఆ భవనం పునరుద్ధరణకు ఏళ్లు పట్టింది.
restraint	నిగ్రహం / సంయమనం	పోలీసులు సంయమనం పాటించారు.
resume	పునఃప్రారంభించు	వచ్చే వారం తరగతులు పునఃప్రారంభం అవుతాయి.
retreat	వెనుదిరుగుట / తిరోగమనం	సైన్యం తిరోగమనం ప్రారంభించింది.
retrieve	తిరిగి పొందు / తిరిగి తీసుకో	ఆమె ఆ ఫైల్‌ను తిరిగి పొందింది.
revelation	వెల్లడి / బహిర్గతం	ఆ వెల్లడి అతని ప్రతిష్టను దెబ్బతీసింది.
revenge	ప్రతీకారం / పగ	అతను అవమానానికి ప్రతీకారం తీర్చుకోవాలనుకున్నాడు.
reverse	వెనక్కి తిప్పు / రద్దు చేయు	కోర్టు ఆ నిర్ణయాన్ని రద్దు చేసింది.
revival	పునరుద్ధరణ / పునరుజ్జీవనం	ఆ పట్టణం ఆర్థిక పునరుజ్జీవనాన్ని చూసింది.
revive	పునరుజ్జీవింపజేయు	ఈ పండుగ స్థానిక సంప్రదాయాలను పునరుజ్జీవింపజేయడానికి సహాయపడింది.
revolutionary	విప్లవాత్మకమైన	ఆ ఆవిష్కరణ ఒక విప్లవాత్మకమైనది.
rhetoric	వాక్చాతుర్యం / ఆడంబర ప్రసంగం	అతని ప్రసంగం దూకుడుగా అనిపించింది.
rifle	రైఫిల్ / తుపాకీ	రైఫిల్‌ను సురక్షితంగా భద్రపరిచారు.
riot	అల్లర్లు	అల్లర్లు చాలా గంటలపాటు కొనసాగాయి.
rip	చించు	ఆ కాగితాన్ని జాగ్రత్తగా చించండి.
ritual	ఆచారం / కర్మ	ఈ ఆచారం పంట కోతను సూచిస్తుంది.
robust	దృఢమైన	ఆ వ్యవస్థ దృఢంగా ఉంది.
rock	కుదిపేయు / కదిలించు	ఆ పేలుడు గ్రామాన్ని కుదిపేసింది.
rod	కడ్డీ	తెర ఒక కడ్డీకి వేలాడుతోంది.
rotate	తిప్పుట	హ్యాండిల్‌ను నెమ్మదిగా తిప్పండి.
rotation	భ్రమణం / మార్పిడి	పంట మార్పిడి నేలను సంరక్షిస్తుంది.
ruling	తీర్పు	కోర్టు ఒక తీర్పును వెలువరించింది.
rumour	పుకారు	ఆ పుకారు వేగంగా వ్యాపించింది.
sack	తొలగించు	బోర్డు కోచ్‌ను తొలగించవచ్చు.
sacred	పవిత్రమైన	ఆ దేవాలయం పవిత్రమైనది.
sacrifice	త్యాగం	తల్లిదండ్రులు తరచుగా త్యాగాలు చేస్తారు.
saint	సాధువు / సెయింట్	చర్చి ఒక స్థానిక సెయింట్‌ను గౌరవిస్తుంది.
sake	కోసం	అతను ఆమె కోసం ఉండిపోయాడు.
sanction	ఆంక్షలు / మంజూరు	ఈ ఆంక్షలు అంతర్జాతీయ వాణిజ్యాన్ని ప్రభావితం చేశాయి.
say	మాట / అభిప్రాయం	షెడ్యూల్ చేయడంలో ఉద్యోగుల అభిప్రాయానికి విలువ ఉంది.
scattered	చెల్లాచెదురుగా ఉన్న	చెల్లాచెదురుగా ఉన్న కాగితాలు డెస్క్‌ను కప్పేశాయి.
sceptical	సందేహాస్పదమైన	ఆమె ఆ వాదన పట్ల సందేహంగానే ఉంది.
scope	పరిధి	ఆ ప్రాజెక్ట్ పరిధి విస్తరించింది.
screw	స్క్రూ / మరమేకు	స్క్రూను జాగ్రత్తగా బిగించండి.
scrutiny	పరిశీలన / నిశిత పరిశీలన	ఈ ఒప్పందం ప్రజా పరిశీలనను ఎదుర్కొంది.
seal	సీల్ / మూసివేయు	పోస్ట్ చేసే ముందు కవరును సీల్ చేయండి.
secular	లౌకిక	పాఠశాల లౌకిక పాఠ్యప్రణాళికను అనుసరిస్తుంది.
seemingly	పైకి చూస్తే / బహుశా	ఆ పని పైకి చూస్తే సులభంగానే అనిపించింది.
segment	విభాగం	చివరి విభాగం తక్కువగా ఉంది.
seize	స్వాధీనం చేసుకో	పోలీసులు పత్రాలను స్వాధీనం చేసుకున్నారు.
seldom	అరుదుగా	ఆమె అరుదుగా తరగతికి హాజరుకాకుండా ఉంటుంది.
selective	ఎంపిక చేసుకునే	ఈ కార్యక్రమం కోసం ఎంపిక చాలా కఠినంగా ఉంటుంది.
senator	సెనేటర్	ఆ బిల్లుకు సెనేటర్ మద్దతు ఇచ్చారు.
sensation	సంచలనం / అనుభూతి	ఆ ఆవిష్కరణ ఒక సంచలనం సృష్టించింది.
sensitivity	సున్నితత్వం	ఈ విషయానికి సున్నితత్వం అవసరం.
sentiment	సెంటిమెంట్ / భావోద్వేగం	ప్రజల సెంటిమెంట్ వేగంగా మారిపోయింది.
separation	విడిపోవడం / వేర్పాటు	ఆ విడిపోవడం చాలా కష్టంగా అనిపించింది.
serial	క్రమ	ఆ క్రమ సంఖ్య లేదు.
settlement	పరిష్కారం / సెటిల్‌మెంట్	ఈ సెటిల్‌మెంట్ వివాదానికి ముగింపు పలికింది.
set-up	ఏర్పాటు	ఈ ఏర్పాటుకి ఉదయం అంతా పట్టింది.
sexuality	లైంగికత	ఈ కోర్సు గుర్తింపు మరియు లైంగికత గురించి చర్చిస్తుంది.
shareholder	వాటాదారుడు	ఒక వాటాదారుడు బోర్డును ప్రశ్నించాడు.
shatter	ముక్కలు చేయు	ఈ వార్త అతని ఆత్మవిశ్వాసాన్ని ముక్కలు చేసింది.
shed	వదిలించుకొను	కంపెనీ ఉద్యోగాలను తీసివేస్తుంది.
sheer	పరిపూర్ణమైన	దాని పరిమాణం ప్రతి ఒక్కరినీ ఆశ్చర్యపరిచింది.
shipping	రవాణా	రవాణా ఖర్చులు పెరిగాయి.
shoot	షూటింగ్	ఫోటో షూట్ త్వరగా ముగిసింది.
shrink	ముడుచుకుపోవు	చొక్కా ముడుచుకుపోవచ్చు.
shrug	భుజాలు ఎగరేయు	ఆమె తేలికగా భుజాలు ఎగరేసింది.
sigh	నిట్టూర్పు	అతను ఉపశమనంతో నిట్టూర్చాడు.
simulate	అనుకరించు	సాఫ్ట్‌వేర్ ట్రాఫిక్‌ను అనుకరించగలదు.
simulation	అనుకరణ	అనుకరణ వరదలను అంచనా వేసింది.
simultaneously	ఒకే సమయంలో	రెండు అలారాలు ఒకే సమయంలో మోగాయి.
sin	పాపం	గర్వం ఒక పాపంగా పరిగణించబడుతుంది.
situated	ఉన్న	హోటల్ డౌన్‌టౌన్‌లో ఉంది.
sketch	రేఖాచిత్రం	ఆమె వేగంగా ఒక రేఖాచిత్రం గీసింది.
skip	వదిలివేయు	అల్పాహారం మానేయవద్దు.
slam	వేగంగా మూయు	అతను తలుపును వేగంగా మూయగలడు.
slap	చరుచు	బల్లపై చరచవద్దు.
slavery	బానిసత్వం	బానిసత్వం ఈ ప్రాంత చరిత్రను మార్చింది.
slot	స్లాట్	ఆన్‌లైన్‌లో టైమ్ స్లాట్‌ను బుక్ చేసుకోండి.
smash	పగలగొట్టు	గ్లాసు నేలపై పగిలిపోయింది.
snap	విరుగు	గాలికి కొమ్మ విరిగిపోయింది.
soak	నానబెట్టు	బీన్స్‌ను రాత్రంతా నానబెట్టండి.
soar	పైకి ఎగరు	ఇంధన ధరలు పెరగవచ్చు.
socialist	సామ్యవాద	పార్టీ సామ్యవాద విధానాలకు మద్దతు ఇస్తుంది.
sole	ఏకైక	అతను ప్రాణాపాయం నుండి బయటపడిన ఏకైక వ్యక్తి.
solely	కేవలం	ఆ నిర్ణయం కేవలం అతనిదే.
solicitor	న్యాయవాది	న్యాయవాది ఒప్పందాన్ని సిద్ధం చేశారు.
solidarity	సంఘీభావం	కార్మికులు సంఘీభావం వ్యక్తం చేశారు.
solo	ఒంటరి	ఆమె సోలో ఆల్బమ్‌ను విడుదల చేసింది.
sound	పటిష్టమైన	ఈ ప్రణాళిక సరైనది మరియు ఆచరణాత్మకమైనది.
sovereignty	సార్వభౌమాధికారం	ఈ ఒప్పందం జాతీయ సార్వభౌమాధికారాన్ని రక్షించింది.
spam	స్పామ్	స్పామ్ ఇన్‌బాక్స్‌ను నింపేసింది.
span	విస్తరించి ఉండు	ఈ వంతెన నదికి అడ్డంగా విస్తరించి ఉంది.
spark	రగిలించు	ఒక చిన్న వ్యాఖ్య వివాదాన్ని రగిలించింది.
specialized	ప్రత్యేకమైన	ఈ క్లినిక్ ప్రత్యేకమైన సంరక్షణను అందిస్తుంది.
specification	నిర్దిష్ట వివరణ	ఈ డిజైన్ ప్రతి స్పెసిఫికేషన్‌కు సరిపోతుంది.
specimen	నమూనా	నమూనా సురక్షితంగా నిల్వ చేయబడింది.
spectacle	దృశ్యం	కవాతు ఒక అద్భుతమైన దృశ్యం.
spectrum	వర్ణపటం	అభిప్రాయాలు విస్తృత శ్రేణిని కలిగి ఉన్నాయి.
spell	కాలం	పొడి కాలం వారాల పాటు కొనసాగింది.
sphere	రంగం	రాజకీయం సాంస్కృతిక రంగంలోకి ప్రవేశించింది.
spin	తిరుగు	చక్రాలు తిరగడం ప్రారంభించాయి.
spine	వెన్నెముక	ఈ గాయం అతని వెన్నెముకను ప్రభావితం చేసింది.
spotlight	దృష్టికేంద్రం	కుంభకోణం అతనిని దృష్టికేంద్రంలో ఉంచింది.
spouse	జీవిత భాగస్వామి	ఆమె జీవిత భాగస్వామి వేడుకకు హాజరయ్యారు.
spy	గూఢచారి	గూఢచారి కోడెడ్ సందేశాలను పంపాడు.
squad	బృందం	రెస్క్యూ బృందం వేగంగా చేరుకుంది.
squeeze	నొక్కు	హ్యాండిల్‌ను సున్నితంగా నొక్కండి.
stab	పొడుచు	నివేదిక కత్తి పోటు గాయాన్ని వివరించింది.
stability	స్థిరత్వం	విధానం స్థిరత్వాన్ని తెచ్చింది.
stabilize	స్థిరీకరించు	ఔషధం అతన్ని స్థిరీకరించడానికి సహాయపడింది.
stake	వాటా	ఇక్కడ పెట్టుబడిదారులకు వాటా ఉంది.
standing	స్థాయి	పార్టీలో ఆమె స్థాయి పెరిగింది.
stark	స్పష్టమైన	ఫలితాలు స్పష్టమైన వ్యత్యాసాన్ని చూపించాయి.
statistical	గణాంక	ఈ అధ్యయనం గణాంక పద్ధతులను ఉపయోగించింది.
steer	నడిపించు	అతను చర్చను నడిపించడానికి ప్రయత్నించాడు.
stem	కాండం	తుఫానులో కాండం విరిగిపోయింది.
stereotype	మూస పద్ధతి	ఈ చిత్రం ఒక మూస పద్ధతిని సవాలు చేసింది.
stimulus	ఉద్దీపన	ప్యాకేజీ ఆర్థిక ఉద్దీపనను అందించింది.
stir	కలుపు	సాస్‌ను నెమ్మదిగా కలపండి.
storage	నిల్వ	ఈ సదుపాయం సురక్షితమైన నిల్వను అందిస్తుంది.
straightforward	సూటిగా	సూచనలు సూటిగా ఉన్నాయి.
strain	ఒత్తిడి	సుదీర్ఘ జాప్యం ఒత్తిడికి కారణమైంది.
strand	పోగు	ఒక వెంట్రుక పడిపోయింది.
strategic	వ్యూహాత్మక	సంస్థ వ్యూహాత్మక పెట్టుబడి పెట్టింది.
strip (long narrow piece)	ముక్క	కాగితం యొక్క ఇరుకైన పట్టీని కత్తిరించండి.
strip (remove clothes/a layer)	తొలగించు	పాత పెయింట్‌ను జాగ్రత్తగా తొలగించండి.
strive	శ్రమించు	వారు శ్రేష్ఠత కోసం శ్రమిస్తారు.
structural	నిర్మాణపరమైన	వంతెన నిర్మాణపరమైన నష్టాన్ని కలిగి ఉంది.
stumble	తడబడు	అతను మెట్లపై తడబడ్డాడు.
stun	ఆశ్చర్యపరచు	ఈ వార్త ప్రజలను ఆశ్చర్యపరచగలదు.
submission	సమర్పణ	సమర్పణ గడువు ముగిసింది.
subscriber	చందాదారుడు	ప్రతి చందాదారుడు నవీకరణలను పొందుతాడు.
subscription	చందా	చందా స్వయంచాలకంగా పునరుద్ధరించబడుతుంది.
subsidy	సబ్సిడీ	సబ్సిడీ ఇంధన ఖర్చులను తగ్గించింది.
substantial	గణనీయమైన	ప్రాజెక్టుకు గణనీయమైన నిధులు అవసరం.
substantially	గణనీయంగా	ధర గణనీయంగా పెరిగింది.
substitute	ప్రత్యామ్నాయం	పాలను ప్రత్యామ్నాయంగా వాడండి.
substitution	ప్రత్యామ్నాయం	ప్రత్యామ్నాయం వంటకాన్ని మార్చేసింది.
subtle	సున్నితమైన	పెయింటింగ్ సున్నితమైన వివరాలను కలిగి ఉంది.
suburban	శివారు	వారు శివారు ప్రాంతానికి మారారు.
succession	పరంపర	వరుస వైఫల్యాల తర్వాత సంక్షోభం ఏర్పడింది.
successive	వరుస	వరుస ప్రభుత్వాలు ఈ సమస్యను విస్మరించాయి.
successor	వారసుడు	వారసుడు సోమవారం ప్రారంభమవుతాడు.
suck	పీల్చు	యంత్రం ధూళిని పీల్చుకోగలదు.
sue	దావా వేయు	ఆమె సంస్థపై దావా వేయాలని నిర్ణయించుకుంది.
suicide	ఆత్మహత్య	ఆత్మహత్యల నివారణకు నిరంతర నిధులు అవసరం.
suite	సూట్	హోటల్ సూట్ నుండి నది కనిపిస్తుంది.
summit	శిఖరాగ్ర సమావేశం	నాయకులు శిఖరాగ్ర సమావేశంలో కలుసుకున్నారు.
superb	అద్భుతమైన	ప్రదర్శన అద్భుతంగా ఉంది.
superior	మెరుగైన	కొత్త మోడల్ మెరుగైనది.
supervise	పర్యవేక్షించు	ఆమె ట్రైనీలను పర్యవేక్షిస్తుంది.
supervision	పర్యవేక్షణ	పిల్లలకు పెద్దల పర్యవేక్షణ అవసరం.
supervisor	పర్యవేక్షకుడు	ముందుగా మీ పర్యవేక్షకుడిని అడగండి.
supplement	అనుబంధం	నివేదిక ఒక అనుబంధాన్ని కలిగి ఉంది.
supportive	మద్దతుగా ఉండే	ఆమె కుటుంబం మద్దతుగా నిలిచింది.
supposedly	బహుశా	ఆ ఫైల్ బహుశా తొలగించబడింది.
suppress	అణచివేయు	ప్రభుత్వం నిరసనలను అణచివేయడానికి ప్రయత్నించింది.
supreme	అత్యున్నత	అత్యున్నత న్యాయస్థానం కేసు విచారణ జరిపింది.
surge	ఉప్పెన	అకస్మాత్తుగా పెరగడం వల్ల పరికరాలు దెబ్బతిన్నాయి.
surgical	శస్త్రచికిత్స	రోగికి శస్త్రచికిత్స అవసరం.
surplus	మిగులు	గిడ్డంగిలో మిగులు ఉంది.
surrender	లొంగిపోవు	సైనికులు లొంగిపోవడానికి అంగీకరించారు.
surveillance	నిఘా	నిఘా కెమెరాలు ప్రవేశద్వారాన్ని రికార్డ్ చేశాయి.
suspension	సస్పెన్షన్	సస్పెన్షన్ రెండు వారాల పాటు కొనసాగింది.
suspicion	అనుమానం	అతని ప్రవర్తన అనుమానాన్ని రేకెత్తించింది.
suspicious	అనుమానాస్పద	ప్యాకేజీ అనుమానాస్పదంగా కనిపించింది.
sustain	నిలబెట్టు	ఈ ప్రాజెక్ట్ స్థానిక ఉద్యోగాలను నిలబెట్టగలదు.
swing	ఊగు	తలుపు ఊగడం ప్రారంభించింది.
sword	కత్తి	కత్తి గోడపై వేలాడుతోంది.
symbolic	ప్రతీకాత్మక	ఆ చర్య ప్రతీకాత్మకమైనది.
syndrome	సిండ్రోమ్	ఈ సిండ్రోమ్ జ్ఞాపకశక్తిని ప్రభావితం చేస్తుంది.
synthesis	సంశ్లేషణ	ఈ అధ్యాయం సంశ్లేషణను అందిస్తుంది.
systematic	క్రమబద్ధమైన	సమీక్ష క్రమబద్ధంగా జరిగింది.
tactic	ఎత్తుగడ	ఆ ఎత్తుగడ త్వరగా విఫలమైంది.
tactical	వ్యూహాత్మక	జట్టు వ్యూహాత్మక మార్పు చేసింది.
taxpayer	పన్ను చెల్లింపుదారు	పన్ను చెల్లింపుదారుల డబ్బుతో ఈ వంతెనకు నిధులు సమకూర్చారు.
tempt	ప్రలోభపెట్టు	ఆఫర్ పెట్టుబడిదారులను ప్రలోభపెట్టవచ్చు.
tenant	అద్దెదారు	అద్దెదారు అద్దెను త్వరగా చెల్లించాడు.
tender	సున్నితమైన	ఆమె సున్నితమైన చిరునవ్వు నవ్వింది.
tenure	పదవీకాలం	అతని పదవీకాలం ఆరేళ్లు కొనసాగింది.
terminal	ప్రాణాంతక	రోగికి ప్రాణాంతక వ్యాధి ఉంది.
terminate	ముగించు	కంపెనీ ఒప్పందాన్ని రద్దు చేయవచ్చు.
terrain	భూభాగం	ఆ భూభాగం కష్టంగా ఉంది.
terrific	అద్భుతమైన	ఆ దృశ్యం అద్భుతంగా ఉంది.
testify	సాక్ష్యం ఇచ్చు	ఆమె సాక్ష్యం ఇవ్వడానికి అంగీకరించింది.
testimony	సాక్ష్యం	అతని సాక్ష్యం వివరంగా ఉంది.
texture	ఆకృతి	ఆ వస్త్రం గరుకు ఆకృతిని కలిగి ఉంది.
thankfully	కృతజ్ఞతగా	అదృష్టవశాత్తూ ఎవరికీ గాయాలు కాలేదు.
theatrical	నాటకీయమైన	ప్రసంగం నాటకీయంగా వినిపించింది.
theology	వేదాంతశాస్త్రం	అతను విశ్వవిద్యాలయంలో వేదాంతశాస్త్రం చదివాడు.
