simplified	ET	example_ET	IS	example_IS
送	saatma; kinkima	Ma annan sulle raamatu.	senda; gefa	Ég gef þér bók.
所以	seega; sellepärast	Täna sajab vihma, seetõttu ma ei lähe.	þess vegna; því	Það rignir í dag, þess vegna fer ég ekki.
它	see	See on minu kass.	það; hann; hún	Þetta er kötturinn minn.
踢足球	jalgpalli mängima	Nad mängivad jalgpalli.	spila fótbolta	Þeir spila fótbolta.
题	küsimus; teema	See küsimus ei ole õige.	spurning; efni	Þessi spurning er ekki rétt.
跳舞	tantsima	Talle meeldib tantsida.	dansa	Hún hefur gaman af að dansa.
外	väljas; väljaspool	Ta on ukse taga.	úti; fyrir utan	Hann er fyrir utan dyrnar.
完	lõpetama	Ma lõpetasin.	klára	Ég er búinn.
玩	mängima; lõbutsema	Laps mängib.	leika sér; skemmta sér	Barnið er að leika sér.
晚上	õhtu; öö	Õhtul vaatan ma filmi.	kvöld; nótt	Á kvöldin horfi ég á kvikmynd.
为什么	miks	Miks sa ei lähe?	af hverju	Af hverju ferðu ekki?
问	küsima	Ma küsin õpetajalt.	spyrja	Ég spyr kennarann.
问题	küsimus; probleem	Mul on küsimus.	spurning; vandamál	Ég er með spurningu.
西瓜	arbuus	Ma söön arbuusi.	vatnsmelóna	Ég borða vatnsmelónu.
希望	lootma; lootus	Ma loodan, et sa tuled.	vona; von	Ég vona að þú komir.
洗	pesema	Ma pesen riideid.	þvo	Ég þvæ föt.
向	suunas; poole	Ta kõnnib minu poole.	í átt að; til	Hann gengur í áttina að mér.
小时	tund	Ma õpin kaks tundi.	klukkustund	Ég læri í tvær klukkustundir.
笑	naeratama; naerma	Ta naeratas.	brosa; hlæja	Hún brosti.
新	uus	See on uus raamat.	nýr; ný; nýtt	Þetta er ný bók.
姓	perekonnanimi; perekonnanimeks olema	Mis on teie perekonnanimi?	eftirnafn; heita að eftirnafni	Hvert er eftirnafnið þitt?
休息	puhkama	Ma tahan puhata.	hvíla sig	Ég vil hvíla mig.
雪	lumi	Täna sajab lund.	snjór	Það snjóar í dag.
颜色	värv	Mulle meeldib see värv.	litur	Mér líkar þessi litur.
眼睛	silm	Tema silmad on suured.	auga	Augun hennar eru stór.
羊肉	lambaliha	Ma ei söö lambaliha.	lambakjöt; kindakjöt	Ég borða ekki lambakjöt.
药	ravim	Ta võtab ravimit.	lyf	Hann tekur lyf.
要	tahtma; pidama	Ma tahan vett juua.	vilja; þurfa	Ég vil drekka vatn.
也	ka; samuti	Mina lähen ka.	líka	Ég fer líka.
已经	juba	Ma olen juba kohale jõudnud.	nú þegar; þegar	Ég er þegar kominn.
一起	koos	Me läheme koos.	saman	Við förum saman.
意思	tähendus; mõte	Mida see kirjamärk tähendab?	merking; hugsun	Hvað þýðir þetta tákn?
阴	pilves; sombune	Täna on pilves.	skýjaður; þungbúinn	Í dag er skýjað.
因为	sest; kuna	Kuna sajab vihma, siis ma ei lähe.	af því að; vegna þess að	Af því að það rignir, fer ég ekki.
游泳	ujuma	Ma oskan ujuda.	synda	Ég kann að synda.
右边	parem pool	Pood on paremal.	hægri hlið	Verslunin er hægra megin.
鱼	kala	Ma söön kala.	fiskur	Ég borða fisk.
元	jüaan; rahaühik	See tass maksab kümme jüaani.	júan; gjaldmiðilseining	Þessi bolli kostar tíu júan.
远	kauge	Lennujaam on kaugel.	fjarlægur; fjarlæg; fjarlægt; langt	Flughöfnin er langt í burtu.
运动	sport; liikumine	Mulle meeldib trenni teha.	íþrótt; hreyfing	Mér finnst gaman að hreyfa mig.
再	uuesti; siis	Ma tulen homme uuesti.	aftur; síðan	Ég kem aftur á morgun.
早上	hommik	Hommikul joon ma teed.	morgunn	Á morgnana drekk ég te.
张	loendussõna lamedatele esemetele	Ma ostsin ühe pileti.	mæliorð fyrir flata hluti	Ég keypti einn miða.
丈夫	abikaasa; mees	Tema abikaasa on arst.	eiginmaður; maður	Eiginmaður hennar er læknir.
找	otsima; leidma	Ma otsin sõpra.	leita að; finna	Ég er að leita að vini.
着	kestva seisundi partikkel	Uks on lahti.	ögn fyrir viðvarandi ástand	Hurðin er opin.
真	tõesti; tõeline	See raamat on tõesti hea.	virkilega; sannur; sönn; satt	Þessi bók er virkilega góð.
正在	parajasti; just	Ta vaatab parajasti televiisorit.	vera að; einmitt núna	Hann er að horfa á sjónvarp.
知道	teadma	Ma ei tea.	vita	Ég veit ekki.
准备	valmistama; valmistuma	Ma valmistun eksamiks.	undirbúa; undirbúningur	Ég er að undirbúa mig fyrir prófið.
自行车	jalgratas	Minu jalgratas on uus.	reiðhjól	Reiðhjólið mitt er nýtt.
走	kõndima; minema	Ma kõnnin koju.	ganga; fara	Ég geng heim.
最	kõige; kõige rohkem	Ta on kõige pikem.	mest; -astur	Hann er hæstur.
左边	vasak pool	Kool on vasakul.	vinstri hlið	Skólinn er vinstra megin.
