simplified	NO	example_NO
绑架	bortføre	Politiet stoppet en bortføringssak
磅	et pund	Denne esken veier tjue pund
包庇	dekke over	Ingen kan dekke over en forbrytelse
包袱	en byrde	Etter at han la fra seg byrden, følte han seg mye mer avslappet
包围	omringe	Reportere omringet skuespilleren
包装	emballasje	Emballasjen på denne gaven er veldig pen
保管	oppbevare	Disse dokumentene oppbevares hos meg
保密	holde hemmelig	Innholdet i møtet må holdes hemmelig
保姆	en barnepike	De ansatte en barnepike
保守	konservativ	Meningene hans er forholdsvis konservative
保卫	forsvare	Soldater forsvarer grensen
保养	vedlikeholde	Denne bilen trenger jevnlig vedlikehold
保障	beskytte	Loven beskytter borgernes rettigheter
保重	passe på seg selv	Vær så snill å passe godt på deg selv mens du er borte
饱和	metning	Dette markedet er allerede nær metning
饱经沧桑	ha gjennomlevd store endringer	Denne gamle personen har gjennomlevd mange vanskeligheter og endringer
报酬	godtgjørelse	Han fikk rimelig godtgjørelse
报仇	hevne seg	Han vil ikke hevne seg, han vil bare begynne på nytt
报答	gjengjelde	Jeg skal gjengjelde hjelpen din gjennom handlingene mine
报复	ta hevn	Hevn vil bare gjøre konflikten dypere
报警	melde fra til politiet	Når du oppdager brann, bør du ringe politiet med en gang
报销	få refundert	Reiseutgifter kan refunderes
抱负	ambisjoner	Han har hatt store ambisjoner siden barndommen
暴力	vold	Vi er imot vold i enhver form
暴露	komme for dagen	Dette problemet kom gradvis for dagen
曝光	bli offentlig kjent	Etter at dette bildet ble offentlig kjent, vakte det oppmerksomhet
爆发	bryte ut	Vulkanen brøt plutselig ut
爆炸	en eksplosjon	Det skjedde en eksplosjon i laboratoriet
卑鄙	sjofel	Denne sjofle metoden gjør folk sinte
悲哀	trist	Etter å ha hørt nyheten følte han seg veldig trist
悲惨	tragisk	Det var en tragisk periode i historien
北极	Arktis	Forskere driver forskning i Arktis
备份	en sikkerhetskopi	Ta først en sikkerhetskopi av viktige filer
备忘录	et notat	Hun skrev hovedpunktene i notatet
背叛	forråde	Han kunne ikke godta vennens svik
背诵	resitere	Elevene resiterer teksten
被动	passiv	Vi kan ikke være for passive i forhandlingen
被告	en tiltalt	Den tiltalte avviste alle anklager
贝壳	et skjell	Barnet plukket skjell ved sjøen
奔波	farte rundt	Han farter rundt overalt på grunn av jobben
奔驰	suse	Bilen suste bortover motorveien
本能	et instinkt	Å beskytte barn er en forelders instinkt
本钱	kapital	Å drive forretning krever kapital
本人	jeg selv	Jeg selv er villig til å ta ansvar
本身	i seg selv	Det er ikke noe problem med planen i seg selv
本事	evne	Han har store evner
笨拙	klossete	Bevegelsene hans er litt klossete
崩溃	bryte sammen	Systemet brøt plutselig sammen
甭	trenge ikke	Du trenger ikke å bekymre deg for dette
蹦	sprette	Valpen spratt rundt på gresset
迸发	bryte løs	Applaus brøt løs fra mengden
逼迫	tvinge	De tvang ham til å underskrive kontrakten
鼻涕	snørr	Barnet er forkjølet og har hele tiden rennende nese
比方	for eksempel	For eksempel kan vi prøve det i én måned først
比喻	en metafor	Denne metaforen er svært levende
比重	andel	Andelen av servicenæringen blir stadig høyere
鄙视	se ned på	Ikke se ned på andre menneskers innsats
弊病	problem	Dette systemet har ganske mange problemer
弊端	ulempe	Den nye planen løste ulempene ved det gamle systemet
臂	en arm	Høyre arm hans ble skadet
闭塞	isolert	Transporten i denne fjellandsbyen var tidligere svært isolert
编织	strikke	Bestemor strikker en genser
边疆	grenseområde	Mange soldater vokter landets grenseområder
边界	en grense	De to landene tegnet grensen på nytt
边境	grenseområde	Grenseområdene styrket sikkerhetskontrollene
边缘	en kant	Koppen står på kanten av bordet
鞭策	spore an	Lærerens ord har alltid sporet meg an
扁	avflatet	Denne esken er bred og avflatet
贬低	rakke ned på	Ikke rakk ned på andre menneskers innsats uten videre
贬义	negativ betydning	Dette ordet har en negativ betydning her
便利	praktisk	T-banen gjør det mer praktisk å reise
便条	en lapp	Han la igjen en lapp på bordet
便于	gjøre det enkelt	Denne utformingen gjør det enkelt for eldre å bruke den
变故	en ulykke	Det skjedde plutselig en uventet ulykke i familien
变迁	endringer	Byens endringer gjorde dypt inntrykk på ham
变质	bli dårlig	Melk blir dårlig hvis den står for lenge
辨认	identifisere	Politiet ba ham identifisere personen på bildet
辩护	forsvare	Advokaten forsvarte den tiltalte
辩解	bortforklare	Han forsøkte å bortforklare feilen sin
辩证	dialektisk	Vi bør se dialektisk på dette problemet
辫子	en flette	Den lille jenta har to fletter
遍布	finnes over hele	Denne planten finnes over hele landet
标本	et preparat	Dyrepreparater er utstilt på museet
标记	et merke	Lag merker ved de viktige avsnittene
标题	en tittel	Tittelen på denne artikkelen er svært tiltalende
表决	stemme	Representantene skal stemme over forslaget
表态	uttale seg	Han har ennå ikke uttalt seg offentlig om sitt standpunkt
表彰	hedre	Selskapet hedret fremragende ansatte
憋	holde tilbake	Han holdt latteren tilbake og sa ingenting
别墅	en villa	De kjøpte en villa i forstedene
别致	særpreget	Interiøret i denne kafeen er svært særpreget
别扭	keitete	Denne setningen høres litt keitete ut
濒临	på randen av	Dette dyret er på randen av utryddelse
冰雹	hagl	Det kom kraftig hagl i går ettermiddag
丙	gruppe C	Kampen til gruppe C starter på ettermiddagen
并非	ikke nødvendigvis	Ting er ikke nødvendigvis slik du forestiller deg
并列	delt	Disse to prosjektene deler førsteplassen
剥削	utbytte	Det fantes alvorlig utbytting i det gamle samfunnet
拨	ringe	Kan du ringe dette telefonnummeret
播种	så	Bønder begynner å så frø om våren
波浪	en bølge	Store bølger reiste seg på havet
波涛	bølger	Båten beveget seg fremover gjennom bølgene
伯母	en tante	Jeg skal besøke tanten min denne helgen
博大精深	vid og dyp	Kinesisk kultur er vid og dyp
博览会	en messe	Den internasjonale messen tiltrakk seg mange selskaper
搏斗	kjempe	Politiet kjempet med forbryteren
薄弱	svak	Grammatikkgrunnlaget hans er forholdsvis svakt
不顾	uten hensyn til	Han stormet inn uten hensyn til faren
不愧	fortjene å kalles	Han fortjener virkelig å kalles en erfaren ekspert
不料	uventet	Uventet ble møtet plutselig avlyst
不像话	uhørt	Det er uhørt at du behandler gjester slik
不屑一顾	avfeie foraktfullt	Han avfeide disse ryktene foraktfullt
哺乳	amme	Moren ammer barnet
捕捉	fange	Fotografen fanget et fantastisk øyeblikk
补偿	kompensere	Selskapet vil kompensere deg for tapet ditt
补救	rette opp	Vi har fortsatt tid til å rette det opp
补贴	et tilskudd	Regjeringen gir tilskudd til familier med lav inntekt
不得已	ikke ha noe valg	Han forlot hjembyen bare fordi han ikke hadde noe valg
不妨	like gjerne	Du kan like gjerne høre på forklaringen hans først
不敢当	det fortjener jeg ikke	Jeg fortjener virkelig ikke slik ros fra deg
不禁	ikke kunne la være	Da han hørte nyheten, kunne han ikke la være å le
不堪	uutholdelig	Støyen her er uutholdelig
不可思议	utrolig	Dette resultatet er virkelig utrolig
不免	uunngåelig	Første gang på scenen var han uunngåelig litt nervøs
不时	av og til	Han så opp på klokken av og til
不惜	ikke nøle med	For å redde noen nølte han ikke med å ta risiko
不相上下	jevngode	De to lagene er jevngode
不言而喻	sier seg selv	Betydningen av ærlighet sier seg selv
不由得	ikke kunne la være	Da jeg så det gamle bildet, kunne jeg ikke la være å tenke på barndommen
不择手段	uten skrupler	Han bruker midler uten skrupler for å tjene penger
不止	mer enn	Mer enn hundre mennesker deltok på møtet
布告	en kunngjøring	Det ble hengt opp en kunngjøring ved skoleporten
布局	en planløsning	Planløsningen i denne leiligheten er svært fornuftig
布置	gi	Læreren ga nye lekser
步伐	skritt	Laget rykket frem med jevne skritt
部署	iverksette	Selskapet iverksetter en ny salgsplan
部位	et område	Legen undersøkte det skadde området
才干	evne	Hun har store evner innen ledelse
裁缝	en skredder	Denne skredderen er svært dyktig
裁判	en dommer	Dommeren kunngjorde at kampen var satt på pause
裁员	si opp ansatte	Selskapet bestemte seg for å si opp ansatte på grunn av tap
财富	rikdom	Kunnskap er også en form for rikdom
财务	økonomi	Økonomiavdelingen kontrollerer regnskapet
财政	statsfinanser	Statens inntekter har økt noe i år
彩票	et lodd	Han kjøper av og til et lodd
采购	kjøpe inn	Selskapet sendte noen for å kjøpe inn utstyr
采集	samle inn	Forskere samlet inn prøver i skogen
采纳	ta til seg	Lederen tok til seg forslaget vårt
参谋	rådgive	Han gir ofte råd til sjefen
参照	følge	Fyll ut skjemaet etter dette formatet
残疾	funksjonshemmet	Denne stasjonen gir hjelp til funksjonshemmede passasjerer
残酷	grusom	Krig er svært grusom
残留	sitte igjen	En kaffelukt sitter fortsatt igjen i koppen
残忍	grusom	Mishandling av dyr er grusom oppførsel
灿烂	strålende	Hun viste et strålende smil
仓促	forhastet	Denne beslutningen ble tatt for forhastet
仓库	et lager	Varene er allerede levert til lageret
舱	en kabin	Passasjerene går inn i kabinen
苍白	blek	Ansiktet hans så svært blekt ut
操劳	slite	Mor slet for denne familien i mange år
操练	drille	Soldatene driller hver morgen
操纵	styre	Denne maskinen styres av en datamaskin
操作	betjene	Betjen utstyret etter instruksjonene
嘈杂	bråkete	Det er svært bråkete på stasjonen
草案	et utkast	Komiteen diskuterer utkastet
草率	uforsiktig	En så viktig beslutning kan ikke tas uforsiktig
侧面	fra siden	Fra siden ser denne bygningen høyere ut
测量	måle	Ingeniøren måler lengden på broen
策划	planlegge	De planla et stort arrangement
策略	en strategi	Denne strategien hjalp selskapet med å redusere kostnader
层出不穷	dukke opp i ett sett	Nye problemer dukker opp i ett sett
层次	nivå	Strukturen i denne artikkelen er svært tydelig
差别	forskjell	Det er ikke stor forskjell mellom de to metodene
插座	en stikkontakt	Det er ikke nok stikkontakter i dette rommet
查获	beslaglegge	Tollen beslagla et parti falske varer
刹那	et øyeblikk	I et øyeblikk sluknet alle lysene
岔	en avstikker	Bilene tok hver sin avstikker ved krysset foran
诧异	overrasket	Beslutningen hans gjorde alle svært overrasket
柴油	diesel	Denne lastebilen bruker diesel
搀	støtte	Sykepleieren støttet den gamle personen inn på avdelingen
缠绕	slynge seg	Vinrankene slynger seg rundt greinene
馋	få lyst på	Da barnet så kaken, fikk det lyst på den
产业	en næring	Turisme er en viktig næring her
阐述	utdype	Professoren utdypet synspunktet sitt
颤抖	skjelve	Hun var så kald at hele kroppen skalv
昌盛	velstående	Vi håper landet blir velstående og blomstrende
偿还	betale tilbake	Han betalte tilbake lånet i tide
尝试	prøve	Vi kan prøve en ny metode
场合	en anledning	Denne typen anledning passer ikke for spøker
场面	en scene	Bryllupsscenen var svært livlig
场所	et sted	Dette er et offentlig sted, ikke røyk
敞开	vidåpen	La vinduet stå vidåpent en stund
倡导	tale for	Skolen taler for en sunn livsstil
倡议	et initiativ	Dette miljøinitiativet fikk støtte
畅通	åpen	Etter at regnet stoppet, ble veien åpen igjen
畅销	selge godt	Denne romanen selger svært godt
超越	overgå	Han overgikk endelig sin egen rekord
钞票	en seddel	Det var bare noen få sedler igjen i lommeboken
嘲笑	le av	Ikke le av andre menneskers svakheter
巢穴	et hi	Jegeren oppdaget dyrets hi
朝代	et dynasti	Tang-dynastiet er et dynasti i kinesisk historie
潮流	en trend	Unge følger nøye med på motetrender
撤退	trekke seg tilbake	Troppene trakk seg tilbake etter å ha fått ordren
撤销	oppheve	Retten opphevet den opprinnelige dommen
沉淀	bunnfelle	Slammet vil sakte bunnfelle seg
沉闷	trykkende	Været i dag er varmt og trykkende
沉思	gruble	Han satt ved vinduet og grublet
沉重	tung	Denne nyheten gjorde alle tung til sinns
沉着	rolig	Hold deg rolig når du står overfor fare
陈旧	gammeldags	Denne maskinen er allerede svært gammeldags
陈列	stille ut	Mange kulturminner er stilt ut i utstillingshallen
陈述	legge frem	Legg frem fakta tydelig
称心如意	tilfredsstillende	Denne jobben er svært tilfredsstillende for ham
衬托	fremheve	Den hvite veggen fremhever fargen på blomstene
称号	en tittel	Han fikk tittelen fremragende lærer
乘	ta	Jeg tar T-banen til jobben hver dag
呈现	anta	Himmelen antok en svak rødfarge
城堡	et slott	Det ligger et gammelt slott på fjelltoppen
惩罚	straffe	Skolen vil straffe elever som jukser
成本	kostnad	Stigende råvarepriser økte kostnaden
成交	gjennomføre en handel	Denne handelen ble til slutt gjennomført
成天	hele dagen	Han sitter foran datamaskinen hele dagen
成效	resultat	Den nye ledelsesmetoden viste snart resultater
成心	med vilje	Han gjorde deg ikke flau med vilje
成员	et medlem	Hvert medlem må delta på møtet
承办	arrangere	Dette selskapet arrangerte utstillingen
承包	påta seg	De påtok seg dette prosjektet
承诺	love	Han lovet å fullføre oppgaven i tide
橙	en appelsin	Jeg kjøpte flere ferske appelsiner
澄清	oppklare	Lederen kom ut for å oppklare misforståelsen
盛	øse	Hun øste en bolle suppe til gjesten
诚挚	oppriktig	Ta imot min oppriktige takk
秤	en vekt	Denne vekten er ikke særlig nøyaktig
吃苦	tåle slit	Unge mennesker bør lære å tåle slit
吃力	krevende	Det er krevende å flytte denne esken
持久	varig	Suksess krever varig innsats
迟钝	treg	Reaksjonene hans har vært litt trege i det siste
迟缓	langsommere	Trafikken ble langsommere etter regnet
迟疑	nøle	Hun nølte et øyeblikk før hun svarte
赤道	ekvator	Det er varmt hele året nær ekvator
赤字	underskudd	Selskapet gikk med underskudd i år
充当	fungere som	Han fungerte som koordinator i prosjektet
充沛	rikelig	Barna har rikelig med energi
充实	meningsfull	Denne erfaringen gjorde livet mitt mer meningsfullt
充足	nok	Forbered nok vann før reisen
冲动	en impuls	Ikke ta en beslutning på en øyeblikkelig impuls
冲击	påvirkning	Ny teknologi har påvirket tradisjonelle næringer
冲突	en konflikt	Begge sider prøvde å unngå konflikt
崇拜	beundre	Mange unge beundrer denne forskeren
崇高	edel	En leges plikt er edel
崇敬	respektere	Studentene respekterer alle denne læreren høyt
重叠	overlappe	Disse to oppgavene overlapper delvis
稠密	tett	Befolkningen her er svært tett
筹备	forberede	De forbereder bryllupet
丑恶	stygg	Han avslørte den stygge sannheten bak hendelsen
出路	en vei videre	Utdanning kan gi unge flere veier videre
出卖	forråde	Han ville ikke forråde vennene sine
出身	bakgrunn	Han kommer fra en vanlig familie
出神	oppslukt	Hun var oppslukt av å lytte til musikken
出息	fremtid	Dette barnet vil få en lovende fremtid
初步	foreløpig	Vi har kommet frem til en foreløpig avtale
除	bortsett fra	Alle har kommet bortsett fra ham
储备	reserve	Selskapet må reservere mer penger
储存	lagre	Disse dataene lagres automatisk
储蓄	spare	Han sparer en del av lønnen sin hver måned
处分	en disiplinærstraff	Skolen ga ham en alvorlig disiplinærstraff
处境	en situasjon	Deres nåværende situasjon er svært vanskelig
处置	håndtere	Dette gamle utstyret må håndteres riktig
触犯	bryte	Å gjøre dette vil bryte loven
川流不息	uten stans	Kjøretøyene på gaten flyter uten stans
穿越	passere	Toget passerte den lange tunnelen
传达	formidle	Formidle denne beskjeden til alle
传单	en flygeblad	Frivillige delte ut flygeblader på gaten
传授	videreformidle	Læreren videreformidlet erfaring til studentene
船舶	fartøy	Mange fartøy ligger ved havnen
喘气	pese	Han fortsatte å pese etter løpeturen
串	tre på	Hun tredde perlene på en snor
床单	et laken	Skift lakenet
创立	grunnlegge	De grunnla dette selskapet sammen
创新	innovasjon	Utvikling av bedrifter krever stadig innovasjon
创业	starte bedrift	Mange unge velger å starte bedrift
创作	skape	Forfatteren skaper en roman i full lengde
吹牛	skryte	Ikke skryt, vis bevisene
吹捧	rose overdrevent	Mediene roste dette produktet overdrevent
炊烟	matlagingsrøyk	Om kvelden steg matlagingsrøyken opp fra landsbyen
垂直	loddrett	Disse to linjene står loddrett på hverandre
锤	en hammer	Arbeideren slo på jernplaten med en hammer
纯粹	utelukkende	Hjelpen hans var utelukkende av god vilje
纯洁	ren	Et barns hjerte er svært rent
慈善	veldedighet	Dette selskapet deltar ofte i veldedighetsaktiviteter
慈祥	vennlig	Bestemors smil er veldig vennlig
磁带	en kassett	Denne gamle kassetten kan fortsatt spilles av
雌雄	hann og hunn	Hannen og hunnen av denne fuglen har ulike farger
伺候	pleie	Sykepleieren pleide pasienten nøye
刺	en torn	Det er mange torner på rosegreinen
次品	defekt vare	Disse defekte varene kan ikke selges
次序	rekkefølge	Still dere i kø i riktig rekkefølge
丛	en klynge	Det står en klynge villblomster ved veien
从容	rolig	Hun svarte rolig på spørsmålet
凑合	duge	Rommet er ikke stort, men det duger å bo i
粗鲁	uhøflig	Han snakker altfor uhøflig
窜	bykse	Den katten bykset plutselig inn i rommet
摧残	ødelegge	Langvarig forurensning vil ødelegge denne skogen
脆弱	skjør	Gjenstander av glass er svært skjøre
搓	gni	Han gned de kalde hendene sine
磋商	forhandle	Begge parter vil fortsette forhandlingene
挫折	et tilbakeslag	Alle møter tilbakeslag
搭	ta	Vi tar bussen til flyplassen
搭档	en partner	Han har vært arbeidspartneren min i mange år
搭配	passe sammen	Denne jakken og buksene passer godt sammen
答辩	et forsvar	Doktorgradsstudenten forbereder forsvaret av avhandlingen
答复	et svar	Gi meg et svar så snart som mulig
达成	oppnå	De to sidene oppnådde endelig en avtale
打包	pakke	Servitøren pakket restene for oss
打官司	gå til sak	De gikk til sak på grunn av en kontraktstvist
打击	et slag	Denne fiaskoen var et stort slag for ham
打架	slåss	Studenter som slåss på campus, vil bli disiplinert
打量	se opp og ned på	Hun så meg opp og ned
打猎	jakte	Jakt er forbudt her
打仗	gå til krig	Ingen ønsker å gå til krig
大不了	i verste fall	I verste fall prøver vi igjen i morgen
大臣	en minister	Kongen kalte inn flere ministre
大伙儿	alle	Alle venter på avgjørelsen din
大肆	i stor skala	Kjøpmannen promoterte det nye produktet i stor skala
大体	i hovedsak	Planen er i hovedsak grei
大意	hovedidé	Forklar først hovedideen i denne artikkelen
大致	omtrent	Jeg forstår omtrent hva som skjedde
歹徒	en forbryter	Politiet tok raskt forbryteren
代价	en pris	Suksess krever ofte at man betaler en pris
代理	vikariere	Han vikarierer midlertidig for lederen
带领	lede	Læreren ledet studentene på besøk til museet
怠慢	forsømme	Vi må ikke forsømme gjestene
逮捕	arrestere	Politiet arresterte hovedmistenkte
担保	garantere	Banken krever at noen stiller garanti
胆怯	sjenert	Han var litt sjenert under sin første tale
淡季	lavsesong	Flybilletter er billigere i lavsesongen
淡水	ferskvann	Denne fisken kan bare leve i ferskvann
蛋白质	et næringsstoff	Egg inneholder rikelig av dette næringsstoffet
诞辰	fødselsdag	I dag er fødselsdagen til denne forfatteren
诞生	oppstå	Denne ideen oppstod under diskusjonen
当场	på stedet	Han innrømmet feilen sin på stedet
当初	i begynnelsen	I begynnelsen støttet vi alle denne beslutningen
当代	samtid	Samtidens samfunn endrer seg svært raskt
当面	ansikt til ansikt	Det er best å forklare problemer tydelig ansikt til ansikt
当前	for øyeblikket	Det viktigste for øyeblikket er å sikre trygghet
当事人	den involverte	Politiet avhører den involverte
当务之急	høyeste prioritet	Å løse boligproblemet har høyeste prioritet
当选	bli valgt	Hun ble valgt til leder
党	et parti	Dette partiet foreslo en ny politikk
档案	et arkiv	Skolen oppbevarte elevenes arkiver
档次	kvalitetsnivå	Dette hotellet har et høyt kvalitetsnivå
倒闭	gå konkurs	Den lille butikken gikk konkurs i fjor
导弹	et missil	Nyhetene meldte om missiltesten
导航	navigasjon	Slå på navigasjonen på telefonen
导向	orientering	Utdanningspolitikken bør ha orientering mot rettferdighet
捣乱	lage bråk	Ikke lag bråk i timen
盗窃	tyveri	Kjøpesenteret styrket tiltakene mot tyveri
稻谷	risavling	Bøndene høster risavlingen
得不偿失	ikke lønne seg	Å kjøpe dårlige materialer for å spare penger vil ikke lønne seg
得力	dyktig	Han er en dyktig assistent for lederen
得天独厚	unikt fordelaktig	Denne byen har unikt fordelaktige geografiske forhold
得罪	støte	Jeg vil ikke støte kolleger på grunn av en liten sak
灯笼	en lykt	Røde lykter henger ved døren under vårfestivalen
登录	logge inn	Logg inn på kontoen din først
登陆	gå i land	Tyfonen kan gå i land i kystområdene i kveld
蹬	tråkke	Han tråkket hardt til, og sykkelen satte seg i bevegelse
等候	vente	Passasjerene venter i hallen på å gå om bord
等级	et nivå	Denne programvaren har ulike medlemsnivåer
瞪	stirre sint	Han stirret sint på meg
堤坝	en demning	Demningen må undersøkes nøye etter det kraftige regnet
敌视	fiendtlig	Vi bør ikke være fiendtlige mot ulike meninger
抵达	ankomme	Flyet ankom Beijing i tide
抵抗	motstå	Landsbyboerne motstod flommen sammen
抵制	boikotte	Forbrukerne begynte å boikotte produkter av dårlig kvalitet
地步	en situasjon	Saken har ennå ikke blitt så alvorlig
地势	terreng	Terrenget her er høyt, så vann samler seg ikke lett
地质	geologi	Eksperter undersøker de lokale geologiske forholdene
递增	øke gradvis	Salget økte i tre måneder på rad
颠簸	humpete	Fjellveien er humpete, så kjør forsiktig
颠倒	snu om	Du snudde om rekkefølgen på de to tallene
典礼	en seremoni	Avslutningsseremonien skal holdes i auditoriet
典型	typisk	Dette er et typisk vellykket tilfelle
点缀	pynte	Noen små blomster pyntet spisebordet
垫	et underlag	Legg dette arket under koppen
奠定	legge grunnlaget	Dette samarbeidet la grunnlaget for et langsiktig forhold
惦记	bekymre seg	Moren bekymrer seg alltid for barnet langt borte
电源	strømkilde	Slå av strømmen før du går
叼	holde i munnen	Den hunden holder et bein i munnen
雕刻	skjære ut	Han liker å skjære ut mønstre i tre
雕塑	en skulptur	Det står en skulptur midt på torget
吊	løfte	Arbeiderne brukte en maskin til å løfte stålbjelken
调动	overføre	Selskapet overførte ham til arbeid i Shanghai
跌	falle	Aksjekursen falt igjen i dag
丁	terning	Oppskriften sier at potetene skal skjæres i terninger
叮嘱	minne gjentatte ganger	Læreren minnet oss gjentatte ganger på å tenke på sikkerheten
盯	stirre	Ikke stirr på andre hele tiden
定期	regelmessig	Legen rådet ham til regelmessige helseundersøkelser
定义	en definisjon	Forklar først definisjonen av dette begrepet
丢人	pinlig	Å lyve offentlig er virkelig pinlig
丢三落四	glemsk	Han er alltid glemsk og glemmer ofte nøklene når han går ut
东道主	en vert	Som verter bør vi ta godt vare på gjestene
东张西望	se seg rundt	Ikke se deg rundt i timen
董事长	en styreleder	Styrelederen deltok på møtet i dag
冻结	fryse	Banken frøs denne kontoen midlertidig
动荡	uro	Krigen holdt denne regionen ustabil i lang tid
动机	et motiv	Politiet undersøker motivet hans
动静	lyd og bevegelse	Det var ikke den minste lyd eller bevegelse i rommet
动力	motivasjon	Interesse er motivasjonen for læring
动脉	en arterie	Legen undersøkte arterien hans
动身	dra	Vi drar til flyplassen tidlig i morgen
动手	begynne å slåss	Saken er ennå ikke klar, så ingen bør begynne å slåss
动态	utvikling	Følg med på prosjektets utvikling
动员	mobilisere	Skolen mobiliserte elevene til å delta i frivillig arbeid
栋	en bygning	Denne bygningen har tjue etasjer
兜	en lomme	Han la nøklene i jakkelommen
陡峭	bratt	Denne fjellveien er svært bratt
斗争	en kamp	De kjemper for å beskytte miljøet
督促	påskynde	Lederen påskyndet alle til å fullføre oppgaven i tide
毒品	narkotika	Tollen beslagla et parti narkotika
独裁	diktatur	Folk er imot diktatur
堵塞	blokkere	Søppel blokkerte kloakken
赌博	gamble	Gambling kan få alvorlige konsekvenser
杜绝	sette en stopper for	Selskapet krever å sette en stopper for sløsing
端	bære	Han kom inn mens han bar en kopp varm te
端午节	dragebåtfestivalen	Vi spiser zongzi under dragebåtfestivalen
端正	korrigere	Elever bør korrigere holdningen sin til læring
短促	kort	Han kom med et kort sukk
断定	avgjøre	Det er fortsatt umulig å avgjøre hvem som har rett
断绝	bryte	Etter ulykken mistet landsbyen kontakten med omverdenen
堆积	hope seg opp	Snø hopet seg opp langs veikanten
兑现	oppfylle	Han oppfylte endelig løftet sitt
对策	mottiltak	Når vi møter risiko, trenger vi mottiltak
对称	symmetrisk	Venstre og høyre side av denne bygningen er svært symmetriske
对付	håndtere	Dette problemet er ikke lett å håndtere
对抗	møte	De to lagene skal møte hverandre i finalen
对立	stå i motsetning	De to sidene står fullstendig i motsetning til hverandre
对联	dørvers	Under vårfestivalen setter de dørvers på inngangen
对应	tilsvare	Hvert nummer tilsvarer et sete
对照	sammenligne	Sammenlign oversettelsen med originalteksten
队伍	en prosesjon	Paradeprosesjonen beveget seg sakte fremover
顿时	med en gang	Da han hørte nyheten, stivnet han med en gang
哆嗦	skjelve	Det var så kaldt at han fortsatte å skjelve
多元化	mangfoldiggjøring	Selskapet fremmer mangfoldiggjøring av virksomheten
堕落	forfalle	Han vil ikke la seg selv fortsette å forfalle moralsk
额外	ekstra	Denne tjenesten krever en ekstra avgift
恶心	kvalm	Da jeg kjente den lukten, ble jeg litt kvalm
恶化	forverres	Hvis sykdommen ikke behandles, kan den forverres
遏制	begrense	Regjeringen tok tiltak for å begrense forurensning
恩怨	gammelt nag	Det gamle naget mellom de to selskapene går langt tilbake
而已	bare det	Jeg sa det bare tilfeldig, bare det
二氧化碳	karbondioksid	Planter absorberer karbondioksid
发布	kunngjøre	Selskapet vil kunngjøre et nytt produkt i morgen
发财	bli rik	Han håper å bli rik gjennom hardt arbeid
发呆	sitte i egne tanker	Hun satt ved vinduet i egne tanker
发动	mobilisere	Frivillige mobiliserte innbyggerne til å rydde gaten
发觉	legge merke til	Jeg la merke til at han var litt nervøs i dag
发射	skyte opp	Raketten skal skytes opp om kvelden
发誓	sverge	Han sverget at han aldri ville lyve igjen
发行	gi ut	Denne filmen blir gitt ut neste måned
发炎	betent	Såret er litt betent
发扬	føre videre	Vi bør føre videre ånden av lagarbeid
发育	utvikling	Barns fysiske utvikling trenger nok næring
法人	en juridisk person	Dette selskapet er en selvstendig juridisk person
