source_headword	UZ	example_UZ
port	port	Kema portga kirdi.
portrait	portret	Portret zalda osilib turibdi.
possibly	ehtimol	U ehtimol kech keladi.
pot	gul tuvagi	O'simlikka kattaroq gul tuvagi kerak.
pour	quymoq	Sutni sekin quying.
poverty	qashshoqlik	Ko'p oilalar qashshoqlikda yashaydi.
powder	kukun	Kukunni suvga qo'shing.
powerful	kuchli	Dvigatel kuchli.
practical	amaliy	Bu amaliy yechim.
pray	ibodat qilmoq	Ular har kuni ertalab ibodat qiladi.
prayer	ibodat	U sokin ibodat qildi.
prediction	bashorat	Uning bashorati to'g'ri edi.
prepared	tayyor	Men imtihonga tayyorman.
presentation	taqdimot	Uning taqdimoti aniq edi.
press	bosmoq	Tugmani bir marta bosing.
pressure	bosim	Bosim sog'lig'ingizga ta'sir qilishi mumkin.
pretend	go'yo qilmoq	Uxlayotgandek go'yo qilma.
previous	avvalgi	Avvalgi dars osonroq edi.
previously	avval	Biz avval Rimda yashaganmiz.
priest	ruhoniy	Ruhoniy sekin gapirdi.
primary	asosiy	Sog'liq bizning asosiy tashvishimiz.
prince	shahzoda	Shahzoda maktabga tashrif buyurdi.
princess	malika	Malika ko'k ko'ylak kiygan edi.
printing	chop etish	Hisobotni chop etish bir necha daqiqa oldi.
prisoner	mahbus	Mahbus tunda qochdi.
private	shaxsiy	Bu shaxsiy suhbat.
producer	prodyuser	Prodyuserga film yoqdi.
production	ishlab chiqarish	Ishlab chiqarish keyingi hafta boshlanadi.
profession	kasb	O'qituvchilik hurmatli kasb.
profit	foyda	Do'kon foyda qildi.
promote	targ'ib qilmoq	Ular sog'lom ovqatlanishni targ'ib qiladi.
proper	to'g'ri	Piyoda yurish uchun to'g'ri oyoq kiyim kiying.
properly	to'g'ri	Eshikni to'g'ri yoping.
property	mulk	Ular daryo yaqinida mulk sotib oldi.
protest	namoyish	Namoyish tinch tugadi.
proud	faxrlangan	U o'g'lidan faxrlandi.
prove	isbotlamoq	Javobingizni isbotlay olasizmi?
punish	jazolamoq	O'qituvchi uni jazolamadi.
punishment	jazo	Jazo adolatli ko'rindi.
qualification	malaka	Bu ish uchun malaka kerak.
qualified	malakali	U malakali hamshira.
qualify	saralanmoq	Jamoamiz saralanishi mumkin.
queue	navbat	Biz uzun navbatda kutdik.
quit	tashlamoq	U chekishni tashlashga qaror qildi.
quotation	iqtibos	Insho iqtibos bilan boshlanadi.
quote	iqtibos keltirmoq	So'zlaringizdan iqtibos keltirsam bo'ladimi?
race (people)	irq	Shakl irq haqida so'raydi.
racing	poyga	Ot poygasi u yerda mashhur.
range	turkum	Do'kon keng turkum sotadi.
rare	noyob	Bu qush noyob.
rarely	kamdan-kam	Biz kamdan-kam tashqarida ovqatlanamiz.
reaction	munosabat	Uning munosabati meni hayratga soldi.
reality	haqiqat	Haqiqat uning orzusidan boshqacha edi.
receipt	chek	Chekni saqlang.
recommendation	tavsiya	Tavsiya uchun rahmat.
reference	manba	Oxiriga manba qo'shing.
reflect	aks ettirmoq	Ko'zgu yorug'likni aks ettiradi.
regularly	muntazam	U muntazam mashq qiladi.
reject	rad etmoq	Ular taklifni rad etishi mumkin.
relate	bog'lanmoq	Men bu hikoyaga bog'lana olaman.
related	bog'liq	Ikki muammo bog'liq.
relation	aloqa	Ular orasida aloqa bor.
relative	nisbiy	Tezlik nisbiy.
relaxed	bo'shashgan	Kechki ovqatdan keyin u bo'shashgan edi.
relaxing	tinchlantiruvchi	Musiqa tinchlantiruvchi edi.
release	chiqarmoq	Ular filmni tez orada chiqaradi.
reliable	ishonchli	Bu avtobus odatda ishonchli.
religion	din	Din unga muhim.
religious	diniy	Ular diniy binoga tashrif buyurdi.
remain	qolmoq	Iltimos, xotirjam qoling.
remind	eslatmoq	Ertaga menga eslating.
remote	olis	Ular olis qishloqda yashaydi.
rent	ijara	Ijara bugun to'lanishi kerak.
repeated	takroriy	Takroriy xatolar ishni sekinlatdi.
represent	ifodalamoq	Yulduz umidni ifodalaydi.
require	talab qilmoq	Bu ish trening talab qiladi.
reservation	band qilish	Men band qilishni amalga oshirdim.
resource	resurs	Kutubxona foydali resurs.
respect	hurmat	Sinfdoshlaringizni hurmat qiling.
responsibility	mas'uliyat	Bola parvarishi katta mas'uliyat.
responsible	mas'ul	U chiptalar uchun mas'ul.
retire	nafaqaga chiqmoq	Otam tez orada nafaqaga chiqadi.
retired	nafaqadagi	U nafaqadagi o'qituvchi.
revise	qayta ko'rib chiqmoq	Inshongizni bugun kechqurun qayta ko'rib chiqing.
risk	xavf	Yomg'ir xavfi bor.
robot	robot	Robot polni tozaladi.
roll	dumalamoq	To'pni menga dumalating.
romantic	romantik	Ular romantik kechki ovqat qildi.
rope	arqon	Arqonni mahkam bog'lang.
rough	g'adir-budur	Yo'l g'adir-budur edi.
row1	qator	Old qatorga o'tiring.
royal	qirollik	Qirollik oilasi yetib keldi.
rugby	regbi	Biz televizorda regbi ko'rdik.
safety	xavfsizlik	Ishda xavfsizlik muhim.
sailor	dengizchi	Dengizchi qayiqni tuzatdi.
sample	namuna	Hamshira qon namunasi oldi.
sand	qum	Qum oyoq kiyimlarimni qopladi.
scan	skanerlamoq	Avval hujjatni skanerlang.
scientific	ilmiy	Bu ilmiy usul.
script	matn	Aktyor matnni o'qidi.
sculpture	haykal	Haykal tashqarida turibdi.
secondary	ikkinchi darajali	Bu ikkinchi darajali muammo.
security	xavfsizlik	Xavfsizlik xodimlari sumkalarimizni tekshirdi.
seed	urug'	Urug'ni tuproqqa eking.
sensible	oqilona	Bu oqilona fikr.
seriously	jiddiy	Bu muammoni jiddiy qabul qiling.
servant	xizmatkor	Xizmatkor eshikni ochdi.
set (put)	qo'ymoq	Stakanni stol ustiga qo'ying.
set (group)	to'plam	Bu to'plam oltita piyolani o'z ichiga oladi.
setting	muhit	Hikoyaning muhiti shahar.
sex	jins	Shakl yosh va jinsni so'raydi.
sexual	jinsiy	Sinf jinsiy salomatlik haqida gaplashdi.
sharp	o'tkir	Bu pichoq o'tkir.
shelf	javon	Kitobni javonga qo'ying.
shell	chig'anoq	Chig'anoq bo'sh edi.
shift	smena	Mening smenam sakkizda boshlanadi.
shine	porlamoq	Yulduzlar tunda porlaydi.
shiny	yaltiroq	Uning oyoq kiyimlari yaltiroq.
shoot	suratga olmoq	Fotograf sahnani suratga oladi.
shy	uyatchan	U begonalar bilan uyatchan.
sight	manzara	Tog' chiroyli manzara edi.
signal	signal	Signal zaif edi.
silent	jim	Xona jim bo'lib qoldi.
silly	ahmoqona	Bu ahmoqona xato edi.
similarity	o'xshashlik	Aniq o'xshashlik bor.
similarly	xuddi shunday	Ikkinchi reja xuddi shunday ishlaydi.
simply	shunchaki	Shunchaki bu tugmani bosing.
sink	cho'kmoq	Og'ir toshlar tez cho'kadi.
slice	bo'lak	Men tortdan bir bo'lak yedim.
slightly	biroz	Xona biroz issiqroq.
smart	chiroyli	U chiroyli jaket kiygan edi.
smooth	silliq	Yo'l silliq.
software	dasturiy ta'minot	Dasturiy ta'minotga yangilanish kerak.
soil	tuproq	Tuproq quruq.
solid	mustahkam	Devor mustahkam.
southern	janubiy	Ular janubiy qirg'oqda yashaydi.
specifically	aniq qilib	Men aniq qilib choy so'radim.
spending	xarajat	Hukumat xarajati oshdi.
spicy	achchiq	Bu karri achchiq.
spirit	ruh	Jamoa katta ruh ko'rsatdi.
spoken	og'zaki	Mashq bilan og'zaki ingliz tili yaxshilanadi.
spot	joy	Bu joy mukammal.
spread	surmoq	Nonga sariyog' surting.
stadium	stadion	Stadion to'la edi.
staff	xodimlar	Xodimlar yordamchi edi.
standard	standart	Standart yuqori edi.
statistic	statistika	Bu statistika hayratlanarli.
statue	haykal	Haykal maydonda turibdi.
stick (push into/attach)	yopishtirmoq	Yorliqni qutiga yopishtiring.
stick (piece of wood)	tayoq	U tayoqni ko'tardi.
