source_headword	NO	example_NO
charity	en veldedighet; et veldedig formål	Veldedigheten hjelper barn.
chat	prate; en chat	Vi prater etter timen.
chef	en kokk	Kokken laget suppe.
chemistry	kjemi	Kjemi er vanskelig for meg.
chip	en chips; en bit	Chipsen er salt.
choice	et valg	Dette valget er viktig.
church	en kirke	Kirken ligger i nærheten.
cigarette	en sigarett	En sigarett skader helsen.
circle	en sirkel	Tegn en sirkel her.
classical	klassisk	Jeg liker klassisk musikk.
clear	klar; tydelig	Svaret er tydelig.
clearly	tydelig	Snakk tydelig, takk.
clever	smart	Hun er et smart barn.
climate	et klima	Klimaet endrer seg.
close2	nær; tett	Skolen min er nær hjemmet.
closed	stengt	Butikken er stengt.
clothing	klær	Varme klær er nyttige.
cloud	en sky	Skyen dekker solen.
coach	en trener; en buss	Treneren hjalp laget.
coast	en kyst	Vi kjørte langs kysten.
code	en kode	Skriv inn koden her.
colleague	en kollega	Kollegaen min ringte meg.
collect	samle	Jeg samler gamle kort.
column	en kolonne	Les den første kolonnen.
comedy	en komedie	Denne komedien er morsom.
comfortable	komfortabel; behagelig	Stolen er komfortabel.
comment	en kommentar; kommentere	Legg igjen en kommentar nedenfor.
communicate	kommunisere	Vi kommuniserer på e-post.
community	et fellesskap; et samfunn	Fellesskapet vårt er vennlig.
compete	konkurrere	De konkurrerer hvert år.
competition	en konkurranse	Konkurransen begynner i morgen.
complain	klage	Ikke klag igjen.
completely	helt; fullstendig	Jeg er helt enig med deg.
condition	en tilstand; en betingelse	Bilen er i god stand.
conference	en konferanse	Konferansen begynner klokken ni.
connect	koble; forbinde	Koble telefonen til datamaskinen.
connected	koblet; forbundet	De to ideene er koblet sammen.
consider	vurdere	Vennligst vurder ideen min.
contain	inneholde	Boksen inneholder bøker.
context	en kontekst; en sammenheng	Sammenhengen hjelper forståelsen.
continent	et kontinent	Kontinentet er veldig stort.
continue	fortsette	Fortsett å lese, takk.
control	kontroll; kontrollere	Kontroller farten nøye.
cooker	en komfyr	Komfyren er ren.
copy	en kopi; kopiere	Lag en kopi til meg.
corner	et hjørne	Sett deg i hjørnet.
correctly	riktig; korrekt	Skriv svaret riktig.
count	telle; et antall	Tell bøkene.
couple	et par	Paret kom tidlig.
cover	dekke; et omslag	Dekk til bollen.
crazy	gal; sprø	Denne ideen høres gal ut.
creative	kreativ	Hun har en kreativ idé.
credit	kreditt; ros	Jeg betalte med kredittkort.
crime	en forbrytelse; kriminalitet	Kriminalitet er et alvorlig problem.
criminal	en forbryter; kriminell	Forbryteren dro raskt.
cross	krysse; et kors	Kryss gaten forsiktig.
crowd	en folkemengde	Folkemengden ventet utenfor.
crowded	full; overfylt	Toget var fullt.
cry	gråte	Ikke gråt nå.
cupboard	et skap	Koppene står i skapet.
curly	krøllete	Hun har krøllete hår.
cycle	sykle; en syklus	Jeg sykler til skolen.
daily	daglig; dagligdags	Jeg leser nyhetene daglig.
danger	en fare	Skiltet viser fare.
data	data; opplysninger	Disse opplysningene er nyttige.
dead	død	Planten er død.
deal	en avtale; et tilbud	Dette er et godt tilbud.
death	død	Døden er et vanskelig tema.
decision	en beslutning; en avgjørelse	Ta en avgjørelse i dag.
deep	dyp	Vannet er dypt.
definitely	definitivt; helt sikkert	Jeg vil definitivt ha te.
degree	en grad; en eksamen	Eksamenen min er i historie.
dentist	en tannlege	Tannlegen sjekket tennene mine.
department	en avdeling	Skoavdelingen ligger oppe.
depend	avhenge	Det avhenger av været.
desert	en ørken; forlate	Ørkenen er veldig tørr.
designer	en designer; en formgiver	Designeren laget denne kjolen.
destroy	ødelegge	Ikke ødelegg filen.
detective	en detektiv	Detektiven fant nøkkelen.
develop	utvikle	De utvikler en ny app.
device	en enhet; et apparat	Denne enheten er nyttig.
diary	en dagbok	Hun skriver i dagboken sin.
differently	annerledes	Vi gjør det annerledes.
digital	digital	Dette er et digitalt kamera.
direct	direkte	Ta direktetoget.
direction	en retning	Gå i denne retningen.
director	en regissør; en direktør	Regissøren likte filmen.
disagree	være uenig	Jeg er uenig i ideen.
disappear	forsvinne	Solen forsvinner snart.
disaster	en katastrofe	Stormen var en katastrofe.
discover	oppdage	De oppdaget en ny øy.
discovery	en oppdagelse	Oppdagelsen endret vitenskapen.
discussion	en diskusjon	Diskusjonen sluttet tidlig.
disease	en sykdom	Sykdommen er alvorlig.
distance	en avstand	Avstanden er kort.
divorced	skilt	Foreldrene hennes er skilt.
document	et dokument	Lagre dokumentet nå.
double	dobbel; to ganger	Jeg trenger et dobbeltrom.
download	laste ned; en nedlasting	Last ned appen i dag.
drama	et drama; dramatikk	Dramaet begynte sent.
drawing	en tegning	Tegningen henger på veggen.
dream	en drøm; drømme	Jeg hadde en merkelig drøm.
driving	bilkjøring	Bilkjøring i regn er vanskelig.
drop	miste; en dråpe	Ikke mist glasset.
drug	et legemiddel; et rusmiddel	Dette legemidlet hjelper meg.
dry	tørr; tørke	Tørk jakken din.
earn	tjene	Hun tjener penger på arbeidet sitt.
earth	jorden	Jorden er rund.
easily	lett	Jeg kan gjøre dette lett.
education	utdanning; undervisning	Utdanning er viktig.
effect	en effekt	Effekten var liten.
either	enten; heller ikke	Jeg vil ikke det heller.
electric	elektrisk	Dette er en elbil.
electrical	elektrisk	Den elektriske kabelen er trygg.
electricity	strøm; elektrisitet	Strøm er dyrt her.
electronic	elektronisk	Jeg kjøpte en elektronisk billett.
employ	ansette	Bedriften ansetter mange mennesker.
employee	en ansatt	Den ansatte er borte i dag.
employer	en arbeidsgiver	Arbeidsgiveren tilbød en jobb.
empty	tom	Flasken er tom.
ending	en slutt	Slutten på historien er fin.
energy	energi	Jeg har lite energi i dag.
engine	en motor	Motoren bråker mye.
engineer	en ingeniør	Ingeniøren kontrollerte broen.
enormous	enorm	Bygningen er enorm.
enter	gå inn; skrive inn	Skriv inn navnet ditt.
environment	miljø; omgivelser	Beskytt miljøet.
equipment	utstyr	Utstyret er nytt.
error	en feil	Det er en feil i setningen.
especially	særlig; spesielt	Jeg liker særlig te.
essay	et essay; en stil	Skriv et kort essay.
everyday	hverdagslig; daglig	Dette er hverdagslig språk.
everywhere	overalt	Bøker lå overalt.
evidence	bevis	Beviset er tydelig.
exact	nøyaktig; eksakt	Gi det nøyaktige svaret.
exactly	nøyaktig	Det er helt riktig.
excellent	utmerket	Arbeidet ditt er utmerket.
except	unntatt	Alle kom unntatt Tom.
exist	finnes	Finnes det gamle kort her?
expect	forvente	Jeg forventer et brev i morgen.
experience	en erfaring; oppleve	Denne erfaringen var nyttig.
experiment	et eksperiment	Eksperimentet begynte klokken ti.
expert	en ekspert; sakkyndig	Eksperten ga råd.
explanation	en forklaring	Forklaringen var tydelig.
express	uttrykke; ekspress	Hun kan uttrykke meningen sin.
expression	et uttrykk	Han brukte et nytt uttrykk.
extreme	ekstrem	Ekstremt vær kan være farlig.
extremely	ekstremt; veldig	Det var ekstremt kaldt.
factor	en faktor	Tid er en viktig faktor.
factory	en fabrikk	Fabrikken ligger utenfor byen.
fail	mislykkes; stryke	Jeg vil ikke stryke på prøven.
fair	rettferdig; rimelig	Prisen er rimelig.
fan	en fan; en vifte	Fansen jublet høyt.
farming	jordbruk	Jordbruk er viktig her.
fashion	mote	Hun følger moten.
fear	en frykt; frykte	Hans største frykt er å fly.
feature	en funksjon; et trekk	Appen har en ny funksjon.
feed	mate	Gi katten mat nå.
female	kvinnelig; en hunn	Den kvinnelige idrettsutøveren vant.
fiction	skjønnlitteratur; fiksjon	Jeg liker å lese skjønnlitteratur.
field	et felt; et jorde	Barna leker på jordet.
fight	en kamp; slåss	De to guttene slåss.
figure	en figur; et tall	Skriv tallet her.
finally	endelig; til slutt	Endelig er vi ferdige.
finger	en finger	Fingeren min gjør vondt.
firstly	for det første	For det første trenger vi vann.
fishing	fiske	Fiske er populært her.
fit	passe; være i form	Jakken passer godt.
fix	reparere; fikse	Reparer sykkelen i dag.
flu	influensa	Hun har influensa.
flying	flyging; flygende	Å fly gjør ham nervøs.
focus	fokus; fokusere	Fokuser på dette spørsmålet.
following	følgende; neste	Les den følgende setningen.
foreign	utenlandsk; fremmed	Jeg lærer et fremmed språk.
forest	en skog	Skogen er mørk.
fork	en gaffel	Legg gaffelen på bordet.
formal	formell	Skriv et formelt brev.
fortunately	heldigvis	Heldigvis kom bussen raskt.
forward	fremover; frem	Gå litt fremover.
fresh	fersk	Brødet er ferskt.
