hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
543:不行	不行	不行	არ შეიძლება; არ გამოდის	დღეს არ გამოვა. გაკვეთილი მაქვს.	չի կարելի; չի ստացվում	Այսօր չի ստացվի։ Ես դաս ունեմ։
544:才1	才1	才	მხოლოდ მაშინ; მხოლოდ	ის სახლში მხოლოდ საღამოს ათ საათზე მივიდა.	միայն հետո; միայն	Նա տուն եկավ միայն երեկոյան ժամը տասին։
548:草地	草地	草地	ბალახიანი ადგილი; გაზონი	ბავშვები გაზონზე თამაშობენ.	խոտածածկ; մարգագետին	Երեխաները խոտածածկի վրա են խաղում։
550:查	查	查	შემოწმება; მოძებნა	ბილეთის ფასის შემოწმება მინდა.	ստուգել; փնտրել	Ես ուզում եմ ստուգել տոմսի գինը։
554:常	常	常	ხშირად	ის ხშირად მიდის იმ წიგნის მაღაზიაში.	հաճախ	Նա հաճախ գնում է այդ գրախանութը։
555:常见	常见	常见	ხშირად ნანახი; ჩვეულებრივი	ეს ჩვეულებრივი კითხვაა.	հաճախ հանդիպող; սովորական	Սա սովորական հարց է։
556:常用	常用	常用	ხშირად გამოყენებული	ტელეფონი ხშირად გამოყენებული ხელსაწყოა.	հաճախ օգտագործվող	Հեռախոսը հաճախ օգտագործվող գործիք է։
557:常常	常常	常常	ხშირად	საღამოს ხშირად ვკითხულობ.	հաճախակի	Ես երեկոյան հաճախ եմ կարդում։
564:出院	出院	出院	საავადმყოფოდან გაწერა	მას დღეს შეუძლია საავადმყოფოდან გაწერა.	հիվանդանոցից դուրս գրվել	Նա այսօր կարող է հիվանդանոցից դուրս գրվել։
565:初中	初中	初中	საშუალო სკოლის ქვედა საფეხური	ჩემი უმცროსი და ქვედა საშუალო სკოლაში სწავლობს.	միջին դպրոցի ստորին աստիճան	Իմ կրտսեր քույրը սովորում է միջին դպրոցի ստորին աստիճանում։
568:春天	春天	春天	გაზაფხული	გაზაფხული მოვიდა და ყვავილები გაიშალა.	գարուն	Գարունը եկել է, և ծաղիկները բացվել են։
574:大人	大人	大人	ზრდასრული	ზრდასრულები მისაღებ ოთახში საუბრობენ.	մեծահասակ	Մեծահասակները հյուրասենյակում զրուցում են։
575:大小	大小	大小	ზომა	ამ ორი ტანსაცმლის ზომა ერთნაირია.	չափ	Այս երկու հագուստի չափը նույնն է։
576:大熊猫	大熊猫	大熊猫	დიდი პანდა	დიდი პანდა ბამბუკს ჭამს.	մեծ պանդա	Մեծ պանդան բամբուկ է ուտում։
577:大衣	大衣	大衣	სქელი პალტო	ცივა, ამიტომ სქელი პალტო ჩავიცვი.	վերարկու	Ցուրտ է, դրա համար վերարկու հագա։
583:得	得	得	მიღება; მოპოვება	მან გულმოდგინედ ისწავლა და ბოლოს მაღალი ქულა მიიღო.	ստանալ; ձեռք բերել	Նա ջանասիրաբար սովորեց և վերջում բարձր միավոր ստացավ։
584:得到	得到	得到	მიღება	მე მასწავლებლისგან დახმარება მივიღე.	ստանալ	Ես ուսուցչից օգնություն ստացա։
585:得分	得分	得分	ქულის მიღება; ქულა	ამ თამაშში მან ყველაზე მეტი ქულა მიიღო.	միավոր հավաքել; միավոր	Այս խաղում նա ամենաշատ միավորները հավաքեց։
586:的话	的话	的话	თუ; ასეთ შემთხვევაში	თუ დრო გაქვს, ერთად წავიდეთ.	եթե; այդ դեպքում	Եթե ժամանակ ունես, միասին գնանք։
589:地	地	地	მიწა; ნიადაგი	ამ მიწაზე ბოსტნეულის მოყვანა შეიძლება.	հող; գետին	Այս հողը կարելի է օգտագործել բանջարեղեն աճեցնելու համար։
593:电	电	电	ელექტროენერგია	ოთახში ელექტროენერგია არ არის.	էլեկտրականություն	Սենյակում էլեկտրականություն չկա։
595:电子书	电子书	电子书	ელექტრონული წიგნი	ტელეფონზე ელექტრონულ წიგნებს ვკითხულობ.	էլեկտրոնային գիրք	Ես հեռախոսով էլեկտրոնային գրքեր եմ կարդում։
598:东北	东北	东北	ჩრდილო-აღმოსავლეთი	ჩემი სახლი ქალაქის ჩრდილო-აღმოსავლეთშია.	հյուսիս-արևելք	Իմ տունը քաղաքի հյուսիս-արևելքում է։
599:东方	东方	东方	აღმოსავლეთი; აღმოსავლეთის მხარე	მზე აღმოსავლეთიდან ამოდის.	արևելք; արևելյան կողմ	Արևը ծագում է արևելքից։
600:东南	东南	东南	სამხრეთ-აღმოსავლეთი	სკოლა ქალაქის სამხრეთ-აღმოსავლეთშია.	հարավ-արևելք	Դպրոցը քաղաքի հարավ-արևելքում է։
601:冬天	冬天	冬天	ზამთარი	აქ ზამთარში ძალიან ცივა.	ձմեռ	Այստեղ ձմռանը շատ ցուրտ է։
602:懂得	懂得	懂得	ცოდნა; გაგება	მან იცის, როგორ იზრუნოს სხვებზე.	իմանալ; հասկանալ	Նա գիտի՝ ինչպես հոգ տանել ուրիշների մասին։
604:动物园	动物园	动物园	ზოოპარკი	ამ შაბათ-კვირას ზოოპარკში მივდივართ.	կենդանաբանական այգի	Այս հանգստյան օրերին մենք կենդանաբանական այգի ենք գնում։
606:短裤	短裤	短裤	შორტი	ზაფხულში ხშირად შორტს ვიცვამ.	կարճ տաբատ	Ամռանը ես հաճախ կարճ տաբատ եմ հագնում։
611:而且	而且	而且	და; გარდა ამისა	ეს მაღაზია იაფია და მომსახურებაც კარგია.	և; բացի այդ	Այս խանութը էժան է, և սպասարկումն էլ լավ է։
613:耳机	耳机	耳机	ყურსასმენები	ჩემი ყურსასმენები მაგიდაზეა.	ականջակալներ	Իմ ականջակալները սեղանի վրա են։
620:方便面	方便面	方便面	სწრაფი ნუდლები	ხანდახან სწრაფ ნუდლებს ვჭამ.	արագ պատրաստվող լապշա	Ես երբեմն արագ պատրաստվող լապշա եմ ուտում։
623:房子	房子	房子	სახლი; ბინა	ეს ბინა ძალიან სუფთაა.	տուն; բնակարան	Այս բնակարանը շատ մաքուր է։
625:放假	放假	放假	შვებულება; დასვენება	მომავალ კვირას სამი დღე დასვენება გვაქვს.	արձակուրդ ունենալ	Հաջորդ շաբաթ երեք օր արձակուրդ ունենք։
627:放学	放学	放学	სკოლის დამთავრება	სკოლის შემდეგ ბიბლიოთეკაში მივდივარ.	դասերից հետո դուրս գալ	Դասերից հետո ես գրադարան եմ գնում։
628:分开	分开	分开	განცალკევება	გთხოვთ, ეს წიგნები ცალკე დადეთ.	առանձնացնել	Խնդրում եմ առանձնացրեք այս գրքերը։
629:风	风	风	ქარი	დღეს ძლიერი ქარი ქრის.	քամի	Այսօր ուժեղ քամի է փչում։
630:封	封	封	წერილებისთვის სათვლელი სიტყვა	მე ერთი წერილი მივიღე.	նամակների համար հաշվիչ բառ	Ես մեկ նամակ ստացա։
631:夫妻	夫妻	夫妻	ცოლ-ქმარი; წყვილი	ეს ცოლ-ქმარი ძალიან მეგობრულია.	ամուսիններ; զույգ	Այս ամուսինները շատ բարեհամբույր են։
632:服务	服务	服务	მომსახურება; მომსახურების გაწევა	ამ რესტორანში მომსახურება ძალიან კარგია.	սպասարկում; ծառայել	Այս ռեստորանում սպասարկումը շատ լավ է։
635:该1	该1	该	უნდა	ახლა უნდა წავიდეთ.	պետք է	Մենք հիմա պետք է գնանք։
638:感到	感到	感到	გრძნობა	ცოტა დაღლილად ვგრძნობ თავს.	զգալ	Ես ինձ մի քիչ հոգնած եմ զգում։
643:刚刚	刚刚	刚刚	ახლახან	ის ახლახან გავიდა კლასიდან.	հենց նոր	Նա հենց նոր դուրս եկավ դասարանից։
644:高铁	高铁	高铁	მაღალსიჩქარიანი მატარებელი	ხვალ პეკინში მაღალსიჩქარიანი მატარებლით წავალ.	արագընթաց գնացք	Վաղը ես արագընթաց գնացքով Պեկին եմ գնալու։
649:工作日	工作日	工作日	სამუშაო დღე	სამუშაო დღეებში დილის შვიდ საათზე ვდგები.	աշխատանքային օր	Աշխատանքային օրերին ես առավոտյան յոթին եմ արթնանում։
651:刮	刮	刮	ქროლა; ფხეკა	გარეთ ძლიერი ქარი ქრის.	փչել; քերել	Դրսում ուժեղ քամի է փչում։
653:关机	关机	关机	გამორთვა	გაკვეთილის დროს ტელეფონი გამორთეთ.	անջատել	Դասի ժամանակ խնդրում եմ անջատեք հեռախոսը։
657:关注	关注	关注	ყურადღების მიქცევა	ჩემი ბავშვის სწავლას დიდ ყურადღებას ვაქცევ.	ուշադրություն դարձնել	Ես մեծ ուշադրություն եմ դարձնում իմ երեխայի ուսմանը։
659:过节	过节	过节	დღესასწაულის აღნიშვნა	დღესასწაულის დროს სახლში მხიარული გარემოა.	տոն նշել	Տոն նշելիս տանը աշխույժ է լինում։
661:海	海	海	ზღვა	ზღვისპირეთში მოგზაურობა მინდა.	ծով	Ես ուզում եմ ծովափ գնալ ճանապարհորդության։
663:好多	好多	好多	ბევრი	მაღაზიაში ბევრი ახალი წიგნია.	շատ; բազմաթիվ	Խանութում շատ նոր գրքեր կան։
664:好久	好久	好久	დიდი ხანი	დიდი ხანია ერთმანეთი არ გვინახავს.	երկար ժամանակ	Մենք երկար ժամանակ չենք տեսել միմյանց։
667:河	河	河	მდინარე	ეს მდინარე ფართოა.	գետ	Այս գետը լայն է։
670:红绿灯	红绿灯	红绿灯	შუქნიშანი	გზის გადაკვეთისას შუქნიშანს შეხედეთ.	լուսացույց	Ճանապարհը անցնելիս նայեք լուսացույցին։
672:后年	后年	后年	მომდევნო წლის შემდეგი წელი	მომდევნო წლის შემდეგ ჩინეთში სწავლა მინდა.	մյուս տարվա հաջորդ տարին	Մյուս տարվա հաջորդ տարում ուզում եմ Չինաստան գնալ սովորելու։
673:后天	后天	后天	ზეგ	ზეგ გამოცდა გვაქვს.	վաղը չէ մյուս օրը	Վաղը չէ մյուս օրը քննություն ունենք։
675:花园	花园	花园	ბაღი	ბაღში ბევრი ყვავილია.	այգի; պարտեզ	Պարտեզում շատ ծաղիկներ կան։
676:画家	画家	画家	მხატვარი	ეს მხატვარი ძალიან ცნობილია.	նկարիչ	Այս նկարիչը շատ հայտնի է։
681:黄色	黄色	黄色	ყვითელი ფერი	ყვითელი ზედა ტანსაცმელი ვიყიდე.	դեղին գույն	Ես դեղին վերնահագուստ գնեցի։
685:或	或	或	ან	შეგიძლია მანქანით ან ფეხით წახვიდე.	կամ	Դու կարող ես գնալ մեքենայով կամ ոտքով։
687:鸡	鸡	鸡	ქათამი	ბებიის ოჯახში რამდენიმე ქათამს ზრდიან.	հավ	Տատիկի տանը մի քանի հավ են պահում։
691:急	急	急	აჩქარებული; შეშფოთებული	ნუ იჩქარებ. მანქანა ჯერ არ მოსულა.	շտապ; անհանգիստ	Մի շտապիր։ Մեքենան դեռ չի եկել։
692:记	记	记	დამახსოვრება; ჩაწერა	გთხოვ, ჩემი ტელეფონის ნომერი ჩაიწერე.	հիշել; գրի առնել	Խնդրում եմ գրի առ իմ հեռախոսահամարը։
693:季	季	季	სეზონი	წელიწადში ოთხი სეზონია.	եղանակ; սեզոն	Տարվա մեջ չորս սեզոն կա։
695:加	加	加	დამატება	გთხოვ, ცოტა წყალი დამიმატე.	ավելացնել	Խնդրում եմ մի քիչ ջուր ավելացրու ինձ համար։
696:假期	假期	假期	არდადეგები; შვებულება	არდადეგებზე დასვენება მინდა.	արձակուրդ	Արձակուրդի ընթացքում ուզում եմ հանգստանալ։
700:检票	检票	检票	ბილეთის შემოწმება	სადგურში შესვლამდე ბილეთები უნდა შემოწმდეს.	տոմս ստուգել	Կայարան մտնելուց առաջ պետք է ստուգել տոմսերը։
707:街	街	街	ქუჩა	ეს ქუჩა ძალიან ხალხმრავალია.	փողոց	Այս փողոցը շատ աշխույժ է։
714:姐妹	姐妹	姐妹	დები	ისინი დები არიან.	քույրեր	Նրանք քույրեր են։
716:斤	斤	斤	ძინი; ნახევარკილოიანი ერთეული	დაახლოებით ერთი კილოგრამი ვაშლი ვიყიდე.	ջին; կես կիլոյի չափ	Ես մոտ մեկ կիլոգրամ խնձոր գնեցի։
720:酒	酒	酒	ალკოჰოლი; სასმელი	მამა საღამოს ალკოჰოლს არ სვამს.	ալկոհոլ; խմիչք	Հայրս երեկոյան ալկոհոլ չի խմում։
722:句	句	句	წინადადება; წინადადებების სათვლელი სიტყვა	გთხოვ, კიდევ ერთი წინადადება თქვი.	նախադասություն; նախադասության հաշվիչ բառ	Խնդրում եմ ևս մեկ նախադասություն ասա։
725:卡	卡	卡	ბარათი	ჩემი ბარათი ჩანთაშია.	քարտ	Իմ քարտը պայուսակիս մեջ է։
726:开花	开花	开花	ყვავილობა	გაზაფხულზე ყველა ხე ყვავის.	ծաղկել	Գարնանը բոլոր ծառերը ծաղկում են։
727:开会	开会	开会	შეხვედრის გამართვა	დღეს ნაშუადღევს სამ საათზე შეხვედრა მაქვს.	ժողով անել	Այսօր կեսօրից հետո ժամը երեքին ժողով ունեմ։
728:开机	开机	开机	ჩართვა; გაშვება	კომპიუტერი ძალიან ნელა ირთვება.	միացնել; գործարկել	Համակարգիչը շատ դանդաղ է միանում։
730:看来	看来	看来	როგორც ჩანს	როგორც ჩანს, დღეს იწვიმებს.	կարծես; ըստ երևույթին	Կարծես այսօր անձրև է գալու։
731:可	可	可	ნამდვილად; ძალიან	ის ნამდვილად ძალიან ბედნიერია.	իսկապես; շատ	Նա իսկապես շատ ուրախ է։
736:课本	课本	课本	სახელმძღვანელო	გთხოვ, სახელმძღვანელო გახსენი.	դասագիրք	Խնդրում եմ բացեք դասագիրքը։
738:课文	课文	课文	სასწავლო ტექსტი	ეს სასწავლო ტექსტი რთული არ არის.	դասի տեքստ	Այս դասի տեքստը դժվար չէ։
746:老人	老人	老人	მოხუცი ადამიანი	ამ მოხუც ადამიანს დახმარება სჭირდება.	տարեց մարդ	Այս տարեց մարդը օգնության կարիք ունի։
751:练	练	练	ვარჯიში; პრაქტიკა	ყოველდღე ჩინურს ვვარჯიშობ.	վարժվել; պարապել	Ես ամեն օր չինարեն եմ պարապում։
755:聊	聊	聊	საუბარი	შენთან საუბარი მინდა.	զրուցել	Ես ուզում եմ քեզ հետ զրուցել։
756:聊天儿	聊天儿	聊天儿	მეგობრული საუბარი	საღამოს ერთად ვსაუბრობთ.	զրուցել	Մենք երեկոյան միասին զրուցում ենք։
760:留学生	留学生	留学生	უცხოელი სტუდენტი	ის იაპონიიდან ჩამოსული უცხოელი სტუდენტია.	օտարերկրյա ուսանող	Նա Ճապոնիայից եկած օտարերկրյա ուսանող է։
761:楼梯	楼梯	楼梯	კიბე	გთხოვ, კიბით ზემოთ ადი.	աստիճաններ	Խնդրում եմ աստիճաններով վեր բարձրացեք։
762:路边	路边	路边	გზის პირი	მან მანქანა გზის პირას გააჩერა.	ճանապարհի եզր	Նա մեքենան կանգնեցրեց ճանապարհի եզրին։
763:路口	路口	路口	გზაჯვარედინი	გზაჯვარედინზე გელოდები.	խաչմերուկ	Ես քեզ խաչմերուկում եմ սպասում։
765:马路	马路	马路	გზა; ქუჩა	გზის გადაკვეთისას ფრთხილად იყავი.	ճանապարհ; փողոց	Ճանապարհը անցնելիս զգույշ եղեք։
770:面前	面前	面前	წინ	მასწავლებელი მოსწავლეების წინ დგას.	առջև	Ուսուցիչը կանգնած է աշակերտների առջև։
772:名单	名单	名单	სახელების სია	გთხოვ, სიაში შენი სახელი დაწერე.	անունների ցուցակ	Խնդրում եմ ցուցակում գրեք ձեր անունը։
773:名人	名人	名人	ცნობილი ადამიანი	ამ ქალაქში ბევრი ცნობილი ადამიანია.	հայտնի մարդ	Այս քաղաքում շատ հայտնի մարդիկ կան։
776:南方	南方	南方	სამხრეთი მხარე	სამხრეთში ზამთარი ძალიან ცივი არ არის.	հարավային շրջան	Հարավում ձմեռը շատ ցուրտ չէ։
778:难看	难看	难看	უშნო; ცუდად შესახედი	ეს ტანსაცმელი ცოტა უშნოა.	տգեղ; վատ տեսքով	Այս հագուստը մի քիչ տգեղ է։
780:男生	男生	男生	ბიჭი; ვაჟი მოსწავლე	ის ბიჭი კალათბურთს თამაშობს.	տղա; տղա աշակերտ	Այդ տղան բասկետբոլ է խաղում։
781:难题	难题	难题	რთული პრობლემა	ამ რთულ პრობლემას ვერ ვხსნი.	դժվար խնդիր	Ես չեմ կարող լուծել այս դժվար խնդիրը։
782:难听	难听	难听	ცუდად მოსასმენი	ეს ხმა ცუდად მოსასმენია.	տհաճ լսվող	Այս ձայնը տհաճ է լսվում։
785:牛	牛	牛	ძროხა; ხარი	ეს ძროხა ძალიან დიდია.	կով; եզ	Այս կովը շատ մեծ է։
788:女生	女生	女生	გოგო; გოგონა მოსწავლე	ეს გოგო ძალიან კარგად მღერის.	աղջիկ; աղջիկ աշակերտ	Այս աղջիկը շատ լավ է երգում։
789:爬	爬	爬	ცოცვა; ასვლა	ბავშვი კიბეზე ადის.	մագլցել; բարձրանալ	Երեխան աստիճաններով բարձրանում է։
790:怕	怕	怕	შიში	ბნელის მეშინია.	վախենալ	Ես մթությունից վախենում եմ։
791:拍照	拍照	拍照	ფოტოს გადაღება	ისინი პარკში ფოტოებს იღებენ.	լուսանկարել	Նրանք այգում լուսանկարվում են։
801:起	起	起	ადგომა; აწევა	გთხოვ, ცოტა უფრო ადრე ადექი.	արթնանալ; վեր կենալ	Խնդրում եմ մի քիչ ավելի շուտ արթնացիր։
803:汽车	汽车	汽车	მანქანა	ეს მანქანა ძალიან ახალია.	մեքենա	Այս մեքենան շատ նոր է։
804:铅笔	铅笔	铅笔	ფანქარი	ფანქრით ვწერ.	մատիտ	Ես մատիտով եմ գրում։
805:前年	前年	前年	წინაწინა წელი	წინაწინა წელს გუანჯოუში წავედი.	նախանցյալ տարի	Ես նախանցյալ տարի Գուանչժոու գնացի։
806:前天	前天	前天	გუშინწინ	გუშინწინ ის ვნახე.	երեկ չէ առաջին օրը	Ես նրան երեկ չէ առաջին օրը տեսա։
809:请客	请客	请客	გამასპინძლება	დღეს ჩემი გამასპინძლებაა.	հյուրասիրել	Այսօր ես եմ հյուրասիրում։
810:秋天	秋天	秋天	შემოდგომა	შემოდგომაზე ამინდი სასიამოვნოა.	աշուն	Աշնանը եղանակը հաճելի է։
811:球场	球场	球场	სპორტული მოედანი	სპორტულ მოედანზე ბევრი მოსწავლეა.	մարզադաշտ; խաղադաշտ	Խաղադաշտում շատ աշակերտներ կան։
815:认得	认得	认得	ცნობა	ამ მასწავლებელს ვცნობ.	ճանաչել	Ես ճանաչում եմ այս ուսուցչին։
821:扫	扫	扫	დაგვა	გთხოვ, იატაკი სუფთად დაგავე.	ավլել	Խնդրում եմ հատակը մաքուր ավլեք։
823:山	山	山	მთა	ეს მთა ძალიან მაღალია.	լեռ	Այս լեռը շատ բարձր է։
824:上衣	上衣	上衣	ზედა ტანსაცმელი	ეს ზედა ტანსაცმელი ახალია.	վերնահագուստ	Այս վերնահագուստը նոր է։
826:身边	身边	身边	გვერდით; ირგვლივ	ჩემს ირგვლივ ბევრი მეგობარია.	կողքին; շրջապատում	Իմ կողքին շատ ընկերներ կան։
827:身高	身高	身高	სიმაღლე	მისი სიმაღლე ერთი მთელი რვა მეათედი მეტრია.	հասակ	Նրա հասակը մեկ ամբողջ ութ տասնորդական մետր է։
828:声	声	声	ხმა; ხმის სათვლელი სიტყვა	ტელეფონის ერთხელ დარეკვის ხმა გავიგე.	ձայն; ձայների հաշվիչ բառ	Ես լսեցի, որ հեռախոսը մեկ անգամ զանգեց։
832:市	市	市	ქალაქი; მუნიციპალიტეტი	ის პეკინის ქალაქში ცხოვრობს.	քաղաք; քաղաքապետարան	Նա ապրում է Պեկին քաղաքում։
834:室	室	室	ოთახი	მასწავლებელი ოფისის ოთახშია.	սենյակ	Ուսուցիչը գրասենյակային սենյակում է։
837:收到	收到	收到	მიღება	თქვენი ელფოსტა მივიღე.	ստանալ	Ես ստացա ձեր էլեկտրոնային նամակը։
838:受	受	受	მიღება; განცდა	მას მცირე ტრავმა მიიღო.	ստանալ; կրել	Նա թեթև վնասվածք ստացավ։
844:刷	刷	刷	ჯაგრისით გაწმენდა	ის დილით კბილებს იხეხავს.	խոզանակել	Նա առավոտյան ատամներն է խոզանակում։
848:四季	四季	四季	ოთხი სეზონი	აქ ოთხივე სეზონი ლამაზია.	չորս եղանակ	Այստեղ տարվա չորս եղանակներն էլ գեղեցիկ են։
854:体育馆	体育馆	体育馆	სპორტული დარბაზი	თამაში სპორტულ დარბაზში ტარდება.	մարզադահլիճ	Խաղը անցկացվում է մարզադահլիճում։
856:跳	跳	跳	ხტომა	ის ძალიან მაღლა ხტება.	ցատկել	Նա շատ բարձր է ցատկում։
857:听说	听说	听说	გაგება; მოსმენა	გავიგე, რომ ის ხვალ დაბრუნდება.	լսել; լսած լինել	Լսել եմ, որ նա վաղը վերադառնալու է։
865:外地	外地	外地	სხვა ადგილი; გარეუბანი	ის სხვა ადგილიდან პეკინში სამუშაოდ ჩამოვიდა.	այլ վայր; ուրիշ քաղաք	Նա ուրիշ վայրից Պեկին եկավ աշխատելու։
866:外卖	外卖	外卖	გამოსატანი საკვები; მიწოდებული საკვები	დღეს შუადღეს გამოსატანი საკვები შევუკვეთე.	առաքվող սնունդ	Այսօր կեսօրին ես առաքվող սնունդ պատվիրեցի։
867:外语	外语	外语	უცხო ენა	მას ორი უცხო ენის საუბარი შეუძლია.	օտար լեզու	Նա կարող է երկու օտար լեզվով խոսել։
870:晚点	晚点	晚点	დაგვიანება	მატარებელი ათი წუთით დაგვიანდა.	ուշանալ	Գնացքը տասը րոպե ուշացավ։
871:晚会	晚会	晚会	საღამოს ღონისძიება	დღეს საღამოს სკოლაში საღამოს ღონისძიებაა.	երեկոյան միջոցառում	Այս երեկո դպրոցում երեկոյան միջոցառում կա։
881:西北	西北	西北	ჩრდილო-დასავლეთი	ჩემი სახლი ქალაქის ჩრდილო-დასავლეთშია.	հյուսիս-արևմուտք	Իմ տունը քաղաքի հյուսիս-արևմուտքում է։
882:西方	西方	西方	დასავლეთი; დასავლური სამყარო	მზე დასავლეთში ჩადის.	արևմուտք; արևմտյան աշխարհ	Արևը մայր է մտնում արևմուտքում։
884:西南	西南	西南	სამხრეთ-დასავლეთი	პარკი სკოლის სამხრეთ-დასავლეთშია.	հարավ-արևմուտք	Այգին դպրոցի հարավ-արևմուտքում է։
886:喜爱	喜爱	喜爱	ძალიან მოწონება; სიყვარული	ბაბუას პეკინის ოპერა ძალიან უყვარს.	սիրել; շատ հավանել	Պապիկը շատ է սիրում Պեկինի օպերան։
887:洗衣机	洗衣机	洗衣机	სარეცხი მანქანა	სარეცხი მანქანა გაფუჭდა.	լվացքի մեքենա	Լվացքի մեքենան փչացել է։
889:夏天	夏天	夏天	ზაფხული	ზაფხულში ცურვა მიყვარს.	ամառ	Ամռանը ես սիրում եմ լողալ։
893:箱子	箱子	箱子	ყუთი; ჩემოდანი	ყუთში ბევრი წიგნია.	արկղ; ճամպրուկ	Արկղի մեջ շատ գրքեր կան։
896:相机	相机	相机	კამერა	ეს კამერა ძალიან მსუბუქია.	տեսախցիկ; ֆոտոխցիկ	Այս ֆոտոխցիկը շատ թեթև է։
897:小区	小区	小区	საცხოვრებელი კომპლექსი	ამ საცხოვრებელ კომპლექსში ვცხოვრობ.	բնակելի թաղամաս	Ես ապրում եմ այս բնակելի թաղամասում։
899:校园	校园	校园	კამპუსი; სკოლის ეზო	კამპუსში ბევრი ხეა.	ուսումնական տարածք; կամպուս	Ուսումնական տարածքում շատ ծառեր կան։
901:鞋	鞋	鞋	ფეხსაცმელი	ეს ფეხსაცმლის წყვილი კომფორტულია.	կոշիկ	Այս կոշիկների զույգը հարմար է։
902:心里	心里	心里	გულში; გონებაში	გულში ძალიან ბედნიერად ვგრძნობ თავს.	սրտում; մտքում	Ներսում ինձ շատ ուրախ եմ զգում։
903:新年	新年	新年	ახალი წელი	გილოცავთ ახალ წელს!	Նոր տարի	Շնորհավոր Նոր տարի։
906:信	信	信	წერილი	მეგობარს წერილი მივწერე.	նամակ	Ես ընկերոջս նամակ գրեցի։
909:行李	行李	行李	ბარგი	ჩემი ბარგი მძიმეა.	ուղեբեռ	Իմ ուղեբեռը ծանր է։
910:兴趣	兴趣	兴趣	ინტერესი	მას მუსიკისადმი ინტერესი აქვს.	հետաքրքրություն	Նա երաժշտության հանդեպ հետաքրքրություն ունի։
911:休假	休假	休假	შვებულების აღება	ის მომავალ თვეში შვებულებას იღებს.	արձակուրդ վերցնել	Նա հաջորդ ամիս արձակուրդ է վերցնում։
913:选	选	选	არჩევა	გთხოვ, ერთი პასუხი აირჩიე.	ընտրել	Խնդրում եմ ընտրեք մեկ պատասխան։
