source_headword	HY	example_HY
terrify	սարսափեցնել	Բարձր ձայները սարսափեցնում են շանը։
territory	տարածք	Քարտեզը ցույց է տալիս նոր տարածքը։
terror	սարսափ	Հարձակումից հետո սարսափը տարածվեց։
terrorism	ահաբեկչություն	Ահաբեկչությունը սպառնում է հանրային անվտանգությանը։
terrorist	ահաբեկիչ	Ոստիկանությունը երեկ ձերբակալել է ահաբեկչին։
testing	փորձարկում	Արտադրանքի փորձարկումը սկսվում է երկուշաբթի օրը։
textbook	դասագիրք	Նա մոռացավ իր կենսաբանության դասագիրքը։
theft	գողություն	Տարածքում գողություններն աճել են։
therapist	թերապևտ	Թերապևտն օգնեց նրան հաղթահարել անհանգստությունը։
thesis	թեզ	Նրա թեզը ուսումնասիրում է առցանց ուսուցումը։
thorough	մանրակրկիտ	Մանրակրկիտ ստուգումը սխալներ չգտավ։
thoroughly	մանրակրկիտ	Մանրակրկիտ մաքրեք վերքը։
thumb	բութ մատ	Նա բարձրացրեց բութ մատը՝ որպես համաձայնության նշան։
timing	ժամանակի ընտրություն	Զանգի ժամանակը կատարյալ էր։
tissue	անձեռոցիկ	Նա սրբեց ապակին անձեռոցիկով։
ton	տոննա	Բեռնատարը մեկ տոննա ավազ էր տեղափոխում։
tonne	տոննա	Առաքանին կշռում էր մեկ տոննա։
tournament	մրցաշար	Թենիսի մրցաշարը սկսվում է վաղը։
trace	հետագծել	Գիտնականները կարող են հետագծել վիրուսի աղբյուրը։
trading	առևտուր	Բորսայական առևտուրը կանգ առավ կեսօրին։
tragedy	ողբերգություն	Վթարը սարսափելի ողբերգություն էր։
tragic	ողբերգական	Վթարն ուներ ողբերգական հետևանքներ։
trait	հատկանիշ	Համբերատարությունը օգտակար հատկանիշ է։
transmit	փոխանցել	Մոծակները կարող են հիվանդություն փոխանցել։
transportation	տրանսպորտ	Հասարակական տրանսպորտն այսօր մարդաշատ է։
trap	ծուղակը գցել	Արկղը կարող է անվտանգ կերպով ծուղակը գցել միջատներին։
treasure	գանձ	Հին սնդուկում գանձ կար։
tribe	ցեղ	Ցեղը պաշտպանում էր իր ավանդույթները։
trigger	գործարկել	Ծուխը կարող է գործարկել ազդանշանը։
trillion	տրիլիոն	Պարտքը հասավ մեկ տրիլիոն դոլարի։
troop	զորք	Զորքը շարժվեց դեպի սահման։
tsunami	ցունամի	Ցունամին ավերեց ափամերձ տները։
ultimate	վերջնական	Վերջնական նպատակը խաղաղությունն է։
unacceptable	անընդունելի	Ուշացումը անընդունելի էր ուղևորների համար։
uncertainty	անորոշություն	Անորոշությունը նյարդայնացնում էր ներդրողներին։
undergo	ենթարկվել	Պացիենտը վաղը վիրահատության կենթարկվի։
undertake	ստանձնել	Թիմը կիրականացնի հարցում։
unfold	ծավալվել	Դրաման սկսեց դանդաղ ծավալվել։
unfortunate	ցավալի	Սխալը ցավալի էր, բայց ուղղելի։
unite	միավորել	Առաջնորդները փորձեցին միավորել կուսակցությունը։
unity	միասնություն	Ելույթը կոչ էր անում ազգային միասնության։
universal	համընդհանուր	Հավելվածն օգտագործում է համընդհանուր դիզայն։
urgent	հրատապ	Հիվանդանոցը հրատապ զանգ է ստացել։
usage	օգտագործում	Ուղեցույցը բացատրում է ճիշտ օգտագործումը։
useless	անօգուտ	Կոտրված լիցքավորիչն անօգուտ է։
valid	վավեր	Ձեր անձնագիրը դեռ վավեր է։
variation	տատանում	Գների մեջ մեծ տատանում կա։
vertical	ուղղահայաց	Գծապատկերն ունի ուղղահայաց առանցք։
viewpoint	տեսակետ	Նրա տեսակետը փոխվեց բանավեճից հետո։
visa	վիզա	Նա դիմել է ուսանողական վիզա ստանալու համար։
visible	տեսանելի	Նշանն այստեղից տեսանելի է։
voluntary	կամավոր	Դասընթացը ներառում է կամավոր սեմինարներ։
voting	քվեարկություն	Վաղաժամկետ քվեարկությունը սկսվում է հաջորդ շաբաթ։
wander	թափառել	Զբոսաշրջիկները թափառում են հին շուկայում։
warming	տաքացում	Գլոբալ տաքացումն ազդում է ծովի մակարդակի վրա։
weekly	շաբաթական	Թիմն անցկացնում է շաբաթական հանդիպում։
weird	տարօրինակ	Աղմուկը տարօրինակ էր հնչում։
welfare	բարեկեցություն	Ծրագիրն աջակցում է երեխաների բարեկեցությանը։
wheat	ցորեն	Ֆերմերը ցորեն է աճեցնում։
whoever	ով էլ որ	Ով առաջինը ժամանի, պետք է սպասի դրսում։
widespread	լայնատարած	Փոթորիկը լայնատարած վնաս պատճառեց։
wisdom	իմաստություն	Նրա տատիկը կիսվեց գործնական իմաստությամբ։
withdraw	հետ վերցնել	Նա որոշեց հետ վերցնել իր դիմումը։
workforce	աշխատուժ	Աշխատուժին նոր հմտություններ են պետք։
workplace	աշխատավայր	Աշխատավայրն ունի անվտանգության հստակ կանոններ։
workshop	սեմինար	Սեմինարը սկսվում է ժամը տասին։
worm	որդ	Որդը շարժվեց հողի վրայով։
wrist	դաստակ	Նա վնասեց իր դաստակը։
