source_headword	RO	example_RO
comfort	confortul	Scaunul oferă puțin confort.
command	un ordin	Soldații au executat ordinul.
commission	o comisie	Comisia a investigat plângerea.
commitment	un angajament	Angajamentul ei a rămas puternic.
committee	un comitet	Comitetul va vota mâine.
commonly	în mod obișnuit	Acest cuvânt este folosit în mod obișnuit.
complicated	complicat	Regulile sunt complicate.
component	o componentă	Fiecare componentă a fost testată.
concentration	concentrarea	Este necesară concentrare totală.
concept	un concept	Conceptul este simplu.
concern	o îngrijorare	Există îngrijorări privind siguranța.
concerned	îngrijorat	Suntem îngrijorați de costuri.
conduct	a desfășura	Ei desfășoară cercetare locală.
confidence	încrederea	Încrederea ei a crescut repede.
conflict	un conflict	Conflictul a durat ani.
confusing	confuz	Explicația a fost confuză.
conscious	conștient	După cădere era conștient.
conservative	conservator	Propunerea era destul de conservatoare.
consideration	o considerație	Ia asta în considerare.
consistent	consecvent	Munca ei este consecvent bună.
constant	constant	Acolo era un zgomot constant.
constantly	constant	Telefonul suna constant.
construct	a construi	Au construit un pod nou.
construction	construcția	Construcția începe în iunie.
contemporary	contemporan	Muzeul prezintă artă contemporană.
contest	un concurs	A câștigat concursul.
contract	un contract	Contractul se încheie vineri.
contribute	a contribui	Fiecare poate contribui la fond.
contribution	o contribuție	Contribuția lui a fost importantă.
convert	a transforma	Au transformat clădirea în apartamente.
convinced	convins	Sunt convins că are dreptate.
core	nucleul	Încrederea este nucleul problemei.
corporate	corporativ	Compania și-a schimbat strategia corporativă.
council	un consiliu	Consiliul a aprobat planul.
county	un județ	Județul a primit granițe noi.
courage	curajul	Ea a arătat mult curaj.
crash	un accident	Accidentul a blocat drumul.
creation	crearea	Crearea locurilor de muncă durează.
creature	o creatură	Creatura se mișca încet.
crew	un echipaj	Echipajul a rămas calm.
crisis	o criză	Criza a durat luni.
criterion	un criteriu	Prețul nu este singurul criteriu.
critic	un critic	Criticul a lăudat filmul.
critical	critic	Situația este critică.
criticism	critica	A primit critica liniștit.
criticize	a critica	Nu o critica prea repede.
crop	o recoltă	Recolta avea nevoie de mai multă ploaie.
crucial	crucial	Timpul este crucial aici.
cure	un remediu	Încă nu există niciun remediu.
curve	o curbă	Drumul are o curbă strânsă.
curved	curbat	Podul are o formă curbată.
debate	o dezbatere	Dezbaterea a început târziu.
debt	o datorie	Și-a plătit datoria.
decent	decent	A găsit un hotel decent.
declare	a declara	Guvernul a declarat stare de urgență.
decline	un declin	Declinul a fost neașteptat.
decoration	o decorațiune	Decorațiunea atârna deasupra ușii.
decrease	a scădea	Costurile au scăzut încet.
deeply	profund	S-a simțit profund rănit.
defeat	o înfrângere	Înfrângerea a fost greu de acceptat.
defence	apărarea	Apărarea era bine pregătită.
defend	a apăra	Și-a apărat decizia.
delay	o întârziere	Întârzierea a durat o oră.
deliberate	deliberat	A fost o alegere deliberată.
deliberately	deliberat	A ignorat deliberat avertismentul.
delight	bucurie	Vestea a adus mare bucurie.
delighted	încântat	Ea a fost încântată de rezultat.
delivery	o livrare	Livrarea va sosi mâine.
demand	o cerere	Cererea pentru camere a crescut.
demonstrate	a demonstra	Cifrele demonstrează problema.
deny	a nega	A negat acuzația.
depressed	deprimat	S-a simțit deprimată.
depressing	deprimant	Vestea a fost deprimantă.
depth	o adâncime	Măsoară adâncimea apei.
deserve	a merita	Merită un răspuns sincer.
desire	o dorință	Dorința lui de libertate a rămas.
desperate	disperat	A făcut o încercare disperată.
detailed	detaliat	Am primit un raport detaliat.
detect	a detecta	Testul poate detecta erori.
dig	a săpa	Au săpat o groapă adâncă.
disc	un disc	Discul vechi nu funcționa.
discipline	disciplina	Disciplina ajută la antrenament.
dishonest	necinstit	Răspunsul suna necinstit.
dismiss	a respinge	Judecătorul a respins plângerea.
display	a afișa	Ecranul afișează rezultatele.
distribute	a distribui	Au distribuit mâncare în sat.
distribution	distribuția	Distribuția nu a fost corectă.
district	un district	Districtul a primit o școală nouă.
division	o divizie	Lucrează în divizia financiară.
domestic	intern	Zborurile interne sunt mai ieftine.
dominate	a domina	O echipă a dominat meciul.
downwards	în jos	Săgeata arată în jos.
dozen	o duzină	A cumpărat o duzină de ouă.
draft	o schiță	Prima schiță este gata.
drag	a trage	Trage scaunul spre perete.
dramatic	dramatic	Schimbarea a fost dramatică.
edit	a edita	Editează textul cu atenție.
edition	o ediție	Această ediție conține carduri noi.
efficient	eficient	Sistemul este eficient.
elderly	vârstnic	Un bărbat vârstnic a primit ajutor.
elect	a alege	Au ales un nou lider.
elsewhere	în altă parte	Trebuie să căutăm în altă parte.
emerge	a apărea	Au apărut fapte noi.
emotional	emoțional	Discuția a devenit emoțională.
emphasis	accentul	Accentul este pe siguranță.
emphasize	a sublinia	Subliniază punctul cel mai important.
enable	a permite	Aplicația permite învățare rapidă.
encounter	a întâlni	Au întâlnit o problemă.
engage	a implica	Profesorul a implicat clasa.
enhance	a îmbunătăți	Această funcție îmbunătățește experiența.
enquiry	o anchetă	Ancheta va începe mâine.
ensure	a asigura	Asigură-te că toți sunt în siguranță.
enthusiasm	entuziasmul	Entuziasmul ei era molipsitor.
enthusiastic	entuziasmat	Grupul era entuziasmat.
entire	întreg	A venit întreaga echipă.
entirely	complet	Sunt complet de acord.
establish	a înființa	Au înființat o firmă nouă.
estate	o proprietate	Proprietatea se află dincolo de oraș.
estimate	o estimare	Estimarea a fost prea mică.
ethical	etic	Alegerea a fost dificilă etic.
evaluate	a evalua	Trebuie să evaluăm rezultatele.
evil	răul	Povestea este despre rău.
examination	o examinare	Examinarea a durat două ore.
excuse	o scuză	Scuza suna slab.
executive	un director	Directorul a demisionat.
existence	existența	Existența scrisorii a fost confirmată.
expectation	o așteptare	Așteptarea era prea mare.
expense	o cheltuială	Această cheltuială nu era planificată.
exploration	o explorare	Explorarea a început devreme.
expose	a expune	Nu expune copiii la fum.
extend	a prelungi	Au prelungit termenul.
extent	amploarea	Amploarea pagubei este necunoscută.
external	extern	O echipă externă verifică asta.
extraordinary	extraordinar	A fost o performanță extraordinară.
facility	o facilitate	Facilitatea se deschide săptămâna viitoare.
failure	un eșec	Eșecul lui a fost dureros.
faith	credință	Și-a pierdut credința în sistem.
fault	o greșeală	Nu a fost greșeala ta.
feather	o pană	O pană era pe masă.
fee	o taxă	Taxa este inclusă.
feedback	feedback	Feedbackul a fost util.
fellow	un coleg	Colegul meu m-a ajutat.
finance	finanțe	Studiază finanțe.
finding	o constatare	Constatarea a surprins echipa.
firm	o firmă	Firma crește repede.
flame	o flacără	Flacăra s-a mărit.
flash	un fulger	Fulgerul a luminat camera.
flexible	flexibil	Programul este flexibil.
float	a pluti	Lemnul poate pluti pe apă.
folding	pliabil	A cumpărat un scaun pliabil.
forgive	a ierta	Pot să-l iert.
former	fost	Fostul director a vorbit scurt.
fortune	o avere	Și-a pierdut averea.
found	a fonda	Au fondat clubul în 1998.
freedom	libertatea	Libertatea este importantă pentru toți.
frequency	o frecvență	Frecvența a crescut.
fully	pe deplin	Înțeleg pe deplin.
fund	un fond	Fondul sprijină cercetarea.
fundamental	fundamental	Acesta este un drept fundamental.
funding	finanțarea	Finanțarea a fost aprobată.
furthermore	în plus	În plus, planul este mai ieftin.
gain	a câștiga	Au câștigat mai mult sprijin.
gang	o bandă	Banda a fost arestată.
generate	a genera	Programul generează un raport.
genre	un gen	Îmi place acest gen.
govern	a guverna	Legile guvernează funcționarea țării.
grab	a apuca	Apucă repede geanta.
gradually	treptat	Durerea a dispărut treptat.
grand	măreț	Hotelul avea o intrare măreață.
grant	un grant	Școala a primit un grant.
guarantee	o garanție	Garanția este valabilă doi ani.
handle	a gestiona	Ea gestionează bine presiunea.
harm	rău	Fumatul face rău.
harmful	dăunător	Această substanță este dăunătoare.
hearing	auzul	Auzul lui s-a înrăutățit.
heaven	cerul	Cerul era senin.
heel	un călcâi	Mă doare călcâiul.
hell	iadul	Drumul părea un iad.
hesitate	a ezita	Nu ezita să suni.
hollow	gol	Trunchiul era gol în interior.
holy	sfânt	Templul este un loc sfânt.
honour	onoarea	A fost o mare onoare.
household	o gospodărie	Fiecare gospodărie a primit o scrisoare.
housing	locuințe	Locuințele sunt scumpe aici.
humorous	umoristic	Povestea lui a fost umoristică.
humour	umorul	Umorul ei i-a liniștit pe toți.
hunting	vânătoarea	Vânătoarea este interzisă aici.
illustrate	a ilustra	Graficul ilustrează diferența.
illustration	o ilustrație	Ilustrația este pe pagina a doua.
imagination	imaginația	Folosește-ți imaginația.
impatient	nerăbdător	Era nerăbdător la coadă.
imply	a sugera	Sugerezi că mă înșel?
impose	a impune	Guvernul a impus reguli noi.
impress	a impresiona	Curajul ei i-a impresionat pe toți.
impressed	impresionat	Am fost impresionat de munca ei.
inch	un inch	Ecranul are cinci inch lățime.
incident	un incident	Incidentul a fost investigat.
income	un venit	Venitul ei a crescut anul acesta.
increasingly	din ce în ce mai mult	Este din ce în ce mai clar.
industrial	industrial	Orașul are o zonă industrială.
infection	o infecție	Infecția s-a răspândit repede.
inform	a informa	Informează-ne despre schimbări.
initial	inițial	Costurile inițiale au fost mari.
initially	inițial	Inițial, nimeni nu a înțeles.
initiative	o inițiativă	Ea a preluat inițiativa.
inner	interior	Forța lui interioară a rămas.
insight	o perspectivă	Cercetarea a oferit o perspectivă nouă.
insist	a insista	A insistat asupra unui răspuns.
inspire	a inspira	Povestea ei a inspirat clasa.
install	a instala	Instalează aplicația astăzi.
instance	un exemplu	Acesta este un exemplu clar.
