simplified	KO	example_KO
关系	관계	저와 동료의 관계는 좋아요.
关心	관심을 가지다; 보살피다	엄마는 제 건강을 많이 걱정하세요.
关于	…에 관한	이 책은 중국 문화에 관한 책이에요.
国家	나라; 국가	중국은 아주 큰 나라예요.
过	경험을 나타내는 조사	저는 베이징에 가 본 적이 있어요.
过去	과거; 예전	예전에는 여기에 지하철이 없었어요.
还是	또는; 아니면; 여전히	차를 마실래요, 아니면 커피를 마실래요?
害怕	무서워하다; 두려워하다	저는 시험이 무섭지 않아요.
黑板	칠판	선생님은 칠판에 글자를 써요.
后来	나중에; 그 후	그 후 우리는 공원에 갔어요.
护照	여권	여권을 가지고 오세요.
96:花	쓰다; 비용이 들다	휴대전화를 사는 데 이천 위안이 들었어요.
97:花	꽃	책상 위에 꽃 한 송이가 있어요.
画	그리다; 그림	여동생은 판다 그리는 것을 좋아해요.
坏	나쁘다; 고장 나다	제 컴퓨터가 고장 났어요.
欢迎	환영하다; 환영	우리 집에 오신 것을 환영해요.
环境	환경	이 학교의 환경은 아주 좋아요.
还	돌려주다; 돌아오다	내일 제 책을 돌려주세요.
换	바꾸다; 교환하다	저는 셔츠 하나를 바꾸고 싶어요.
黄河	황허강	황허강은 아주 길어요.
回答	대답하다; 답	제 질문에 대답해 주세요.
会议	회의	회의는 아홉 시에 시작해요.
或者	또는; 혹은	지하철이나 버스를 탈 수 있어요.
几乎	거의	그는 거의 매일 운동해요.
机会	기회	이것은 좋은 기회예요.
极	매우; 극도로	그녀는 매우 기뻐했어요.
季节	계절	가을은 제가 가장 좋아하는 계절이에요.
记得	기억하다	신용카드를 가져오는 것을 기억해요?
检查	검사하다; 확인하다	의사가 제 몸을 검사해요.
简单	간단하다; 쉽다	이 문장은 아주 간단해요.
健康	건강; 건강하다	운동은 건강에 좋아요.
见面	만나다	우리는 내일 학교에서 만나요.
讲	설명하다; 말하다	선생님은 아주 분명하게 설명하세요.
教	가르치다	그는 저에게 한자를 쓰는 법을 가르쳐요.
脚	발; 다리	제 발이 조금 아파요.
角	모퉁이; 각	가게는 길모퉁이에 있어요.
接	마중하다; 받다; 잇다	저는 공항에 친구를 마중하러 가요.
街道	거리; 길	이 거리는 아주 깨끗해요.
结婚	결혼하다	그들은 내년에 결혼해요.
结束	끝나다; 끝내다	경기가 이미 끝났어요.
节目	프로그램; 공연	이 텔레비전 프로그램은 아주 재미있어요.
节日	명절; 축제	춘절은 중국의 중요한 명절이에요.
解决	해결하다	이 문제는 이미 해결됐어요.
借	빌리다; 빌려주다	저는 당신의 사전을 빌리고 싶어요.
经常	자주	저는 자주 도서관에 가요.
经过	지나다; 거치다; 과정	저는 매일 이 공원을 지나가요.
经理	매니저; 관리자	매니저는 회의 중이에요.
久	오래; 긴 시간	저는 여기서 오래 살았어요.
旧	낡다; 오래되다	이 옷은 아주 낡았어요.
句子	문장	문장 하나를 써 주세요.
决定	결정하다; 결정	저는 중국어를 배우기로 결정했어요.
可爱	귀엽다; 사랑스럽다	이 고양이는 아주 귀여워요.
渴	목마르다	저는 목이 말라서 물을 마시고 싶어요.
刻	십오 분; 순간	지금은 여덟 시 십오 분이에요.
客人	손님	오늘 집에 손님이 왔어요.
空调	에어컨	에어컨을 켜 주세요.
口	입; 한 모금; 식구를 세는 말	그는 물을 한 모금 마셨어요.
哭	울다	아이가 왜 울어요?
裤子	바지	이 바지는 새것이에요.
筷子	젓가락	저는 젓가락으로 밥을 먹을 수 있어요.
蓝	파랗다; 파란색	하늘은 파래요.
老	늙다; 오래되다	제 선생님은 늙지 않았어요.
离开	떠나다	그는 내일 베이징을 떠나요.
礼物	선물	이것은 당신에게 주는 선물이에요.
历史	역사	저는 중국 역사를 좋아해요.
脸	얼굴	그녀의 얼굴이 아주 빨개요.
练习	연습; 연습하다	중국어 말하기를 더 연습해 주세요.
辆	차량을 세는 말	문 앞에 택시 한 대가 있어요.
聊天	수다 떨다; 대화하다	저는 친구와 이야기해요.
了解	이해하다; 알아보다	저는 중국 문화를 이해하고 싶어요.
邻居	이웃	제 이웃은 아주 따뜻한 사람이에요.
留学	유학하다	그녀는 중국에서 유학하고 있어요.
楼	건물; 층	사무실은 삼 층에 있어요.
绿	초록색; 푸르다	봄에는 나무가 모두 푸르게 변해요.
马	말	저 말은 아주 빨리 달려요.
马上	곧; 바로	제가 곧 돌아올게요.
满意	만족하다	저는 이 방에 아주 만족해요.
帽子	모자	이 모자는 아주 예뻐요.
米	미터; 쌀	이 책상은 길이가 이 미터예요.
面包	빵	아침에 저는 빵을 먹어요.
明白	이해하다; 분명하다	저는 당신의 뜻을 이해해요.
拿	들다; 가져가다; 집다	책 한 권을 가져다 주세요.
奶奶	할머니	할머니는 음악 듣기를 좋아하세요.
南	남쪽	학교는 도시 남쪽에 있어요.
难	어렵다	이 문제는 어렵지 않아요.
难过	슬프다; 마음이 아프다	그녀는 오늘 조금 슬퍼요.
年级	학년	제 여동생은 삼 학년이에요.
年轻	젊다	이 매니저는 아주 젊어요.
鸟	새	나무 위에 새 한 마리가 있어요.
努力	노력하다; 열심히 하다	그는 공부를 아주 열심히 해요.
爬山	등산하다	주말에 우리는 등산하러 가요.
盘子	접시	책상 위에 접시 세 개가 있어요.
胖	뚱뚱하다; 통통하다	이 개는 조금 통통해요.
啤酒	맥주	아빠는 맥주를 마시지 않아요.
皮鞋	가죽 구두	이 가죽 구두 한 켤레는 비싸요.
瓶子	병	병 안에 물이 있어요.
其实	사실은; 실제로	사실 저는 맥주를 좋아하지 않아요.
其他	기타; 다른	다른 반 친구들은 모두 왔어요.
奇怪	이상하다	이 소리는 아주 이상해요.
骑	타다	그는 매일 자전거를 타고 출근해요.
起飞	이륙하다	비행기가 곧 이륙해요.
起来	일어나다; 위로	일어나 주세요.
清楚	분명하다; 또렷하다	당신은 아주 분명하게 말했어요.
请假	휴가를 내다; 결석 허락을 받다	그는 감기에 걸려서 결석 허락을 받아야 해요.
秋	가을	가을 날씨는 편안해요.
裙子	치마	이 치마는 아주 예뻐요.
然后	그런 다음; 그리고 나서	저는 먼저 밥을 먹고, 그런 다음 숙제를 해요.
热情	친절하다; 열정적이다	중국 친구들은 아주 친절해요.
认为	생각하다; 여기다	저는 이 방법이 좋다고 생각해요.
认真	성실하다; 진지하다	선생님 말씀을 진지하게 들어 주세요.
容易	쉽다	이 한자는 쓰기 쉬워요.
如果	만약; 만일	비가 오면 우리는 지하철을 탈 거예요.
伞	우산	비가 와요, 우산을 가져가세요.
上网	인터넷을 하다; 온라인에 접속하다	저는 저녁에 인터넷으로 지도를 찾아요.
声音	소리; 목소리	당신의 목소리는 듣기 좋아요.
生气	화나다	화내지 마세요, 제가 일부러 그런 게 아니에요.
世界	세계	세계는 아주 커요.
试	시험해 보다; 입어 보다	저는 이 가죽 구두 한 켤레를 신어 보고 싶어요.
瘦	마르다; 날씬하다	그는 예전보다 말랐어요.
叔叔	삼촌; 아저씨	삼촌이 차를 몰고 저를 학교에 데려다줘요.
舒服	편안하다	이 의자는 편안해요.
数学	수학	수학 수업은 재미있어요.
树	나무	집 앞에 나무 한 그루가 있어요.
刷牙	이를 닦다	저는 매일 아침 이를 닦아요.
双	쌍; 켤레	저는 가죽 구두 한 켤레를 샀어요.
水平	수준	그의 중국어 수준은 높아요.
司机	기사; 운전사	기사가 문 앞에서 우리를 기다리고 있어요.
太阳	해; 태양	오늘은 햇빛이 강해요.
特别	특별하다; 특히	이 프로그램은 특히 재미있어요.
疼	아프다	제 다리가 아파요.
提高	높이다; 향상시키다	연습을 많이 하면 중국어 수준을 높일 수 있어요.
体育	체육; 스포츠	저는 체육 수업을 좋아해요.
甜	달다	이 음료는 너무 달아요.
条	가늘고 긴 물건을 세는 말; 조항	저는 치마 하나를 샀어요.
同事	동료	제 동료는 아주 바빠요.
同意	동의하다	저는 당신의 결정에 동의해요.
头发	머리카락	그녀의 머리카락은 길어요.
突然	갑자기	그는 갑자기 떠났어요.
图书馆	도서관	도서관은 오늘 문을 열지 않아요.
腿	다리	등산한 후에 제 다리가 많이 아파요.
完成	완성하다; 끝내다	저는 숙제를 이미 끝냈어요.
碗	그릇; 공기	책상 위에 그릇 두 개가 있어요.
万	만; 아주 많음	이 도시에는 만 명이 있어요.
忘记	잊다	여권 가져오는 것을 잊지 마세요.
为	…을 위해; …때문에	저는 당신 때문에 기뻐요.
为了	…을 위해; …하려고	시험을 위해 그는 매일 복습해요.
位	사람을 높여 세는 말	이 선생님은 아주 유명해요.
文化	문화	저는 중국 문화를 이해하고 싶어요.
西	서쪽	은행은 학교 서쪽에 있어요.
习惯	습관; 익숙해지다	저는 아침에 운동하는 데 익숙해요.
洗手间	화장실	화장실은 오른쪽에 있어요.
洗澡	목욕하다; 샤워하다	저는 저녁에 샤워해요.
夏	여름	여름은 아주 더워요.
先	먼저	당신이 먼저 밥을 먹어요.
相信	믿다	저는 그가 올 것이라고 믿어요.
香蕉	바나나	저는 바나나 세 개를 샀어요.
像	닮다; …같다	이 구름은 새 한 마리 같아요.
向	…을 향해; 방향	왼쪽으로 걸어가 주세요.
小心	조심하다	비가 와요, 길에서 조심하세요.
校长	교장	교장은 사무실에 있어요.
新闻	뉴스	아빠는 매일 뉴스를 봐요.
新鲜	신선하다	이 과일은 아주 신선해요.
信用卡	신용카드	신용카드로 결제해도 돼요?
行李箱	여행 가방	제 여행 가방은 무거워요.
熊猫	판다	아이들은 판다 보는 것을 좋아해요.
需要	필요하다	저는 당신의 도움이 필요해요.
选择	선택하다; 선택	당신은 어느 셔츠를 선택해요?
要求	요구하다	선생님은 우리에게 숙제를 성실히 하라고 요구하세요.
爷爷	할아버지	할아버지는 매일 공원에 가세요.
一直	계속; 줄곧	그는 계속 당신을 기다리고 있어요.
一定	반드시; 꼭	저는 반드시 올 거예요.
一共	모두; 합계	이 책들은 모두 얼마예요?
一会儿	잠시; 잠깐	잠시만 기다려 주세요.
一样	같다	이 두 컵은 크기가 같아요.
以前	이전; 예전	저는 예전에 베이징에 살았어요.
一般	보통; 일반적이다	이 음식점의 음식은 보통이에요.
一边	한쪽; …하면서	그는 음악을 들으면서 숙제를 해요.
音乐	음악	저는 중국 음악을 좋아해요.
银行	은행	은행은 슈퍼마켓 옆에 있어요.
饮料	음료	이 음료는 맛있어요.
应该	해야 하다; 마땅하다	당신은 더 쉬어야 해요.
影响	영향; 영향을 주다	날씨가 경기에 영향을 줄 거예요.
用	사용하다; 쓰다	저는 컴퓨터로 숙제를 해요.
游戏	게임; 놀이	아이들이 게임을 하고 있어요.
有名	유명하다	이 음식점은 아주 유명해요.
又	또; 다시	그는 오늘 또 지각했어요.
遇到	만나다; 마주치다	저는 거리에서 선생님을 만났어요.
元	위안	이 사전은 오십 위안이에요.
愿意	원하다; 기꺼이 하다	참가할 의향이 있어요?
月亮	달	오늘 밤 달이 밝아요.
越	…할수록 더 …하다	중국어는 배울수록 더 재미있어져요.
站	역; 서다	그는 문 앞에 서 있어요.
张	평평한 물건을 세는 말; 장	지도 한 장 주세요.
长	자라다; 성장하다	아이들은 빨리 자라요.
着急	초조해하다; 걱정하다	걱정하지 마세요, 엘리베이터가 곧 와요.
照顾	돌보다	그녀는 아픈 할머니를 돌봐요.
照片	사진	이 사진은 보기 좋아요.
照相机	카메라	저는 카메라로 사진을 찍어요.
283:只	오직; 단지	저는 차 한 잔만 마셔요.
284:只	동물을 세는 말; 마리	책상 아래에 고양이 한 마리가 있어요.
只有…才…	오직 …해야 …하다	성실히 복습해야 시험을 잘 볼 수 있어요.
中间	가운데; 중간	책상은 방 가운데에 있어요.
中文	중국어; 중국 글	저는 매일 중국어를 공부해요.
终于	마침내; 드디어	우리는 마침내 도착했어요.
种	종류	어떤 종류의 음료를 좋아해요?
重要	중요하다	여권은 아주 중요해요.
周末	주말	주말에 저는 공원에 가고 싶어요.
主要	주요한; 주로	그의 주요 취미는 음악이에요.
注意	주의하다; 주목하다	선생님 말씀에 주의해 주세요.
自己	자기; 스스로	저는 숙제를 혼자 하고 싶어요.
自行车	자전거	제 자전거는 아래층에 있어요.
总是	항상	그는 항상 일찍 사무실에 도착해요.
嘴	입	입을 벌려 주세요.
最后	마지막; 결국	마지막에 우리는 모두 동의했어요.
最近	최근; 요즘	요즘 저는 아주 바빠요.
作业	숙제; 과제	저는 아직 숙제를 끝내지 못했어요.
