simplified	KK	example_KK
单调	бірсарынды	Бұл жұмыс сәл бірсарынды.
单独	оңаша	Мен сенімен оңаша сөйлескім келеді.
单位	мекеме	Ол бір мемлекеттік мекемеде жұмыс істейді.
单元	бөлім	Біз бүгін үшінші бөлімді оқимыз.
担任	атқару	Ол осы іс-шараның жауапты адамы қызметін атқарады.
耽误	уақытын алу	Бәрінің уақытын алмаңыз.
胆小鬼	қорқақ	Оны қорқақ деп атама.
淡	дәмі әлсіз	Бұл сорпаның дәмі сәл әлсіз.
当地	жергілікті	Жергілікті адамдардың бәрі бұл базарды ұнатады.
当心	сақ болу	Жол тайғақ, сақ бол.
挡	бөгеп тұру	Бұл көлік кіреберісті бөгеп тұр.
倒霉	жолы болмау	Бүгін жолым болмады, телефонымды жоғалттым.
导演	режиссер	Бұл режиссер өте танымал.
导致	себеп болу	Қатты жаңбыр көлік кептелісіне себеп болды.
岛屿	арал	Бұл елде арал көп.
到达	жету	Пойыз Шанхайға уақытында жетті.
道德	адамгершілік	Адамда адамгершілік болуы керек.
道理	жөн	Оның айтқанында жөн бар.
登记	тіркелу	Алдымен қабылдау бөлімінде тіркеліңіз.
等待	күту	Біз нәтижені күтіп отырмыз.
等于	тең болу	Беске бесті қосса, онға тең болады.
滴	тамшы	Үстелге бір тамшы су түсті.
敌人	жау	Олар жау емес.
的确	шынында	Бұл іс шынында өте маңызды.
地道	таза	Ол таза Бейжің диалектісінде сөйлейді.
地理	география	Мен Қытай географиясына қатты қызығамын.
地区	аймақ	Бұл аймақта қыс өте суық.
地毯	кілем	Қонақ бөлмеде бір кілем төселген.
地位	орын	Білімнің қоғамда маңызды орны бар.
地震	жер сілкінісі	Кеше түнде мұнда жер сілкінісі болды.
递	ұсыну	Мына хатты мұғалімге ұсынып жіберіңіз.
点心	жеңіл тамақ	Түстен кейін біз жеңіл тамақ жедік.
电池	батарея	Бұл ойыншыққа екі батарея керек.
电台	радиостанция	Ол радиостанцияда бағдарлама жүргізеді.
钓	қармақпен аулау	Атам өзен жағасына барып балық аулағанды ұнатады.
顶	дана	Ол бір қара қалпақ киіп алған.
冻	қату	Сыртта қатты суық, су да қатып қалды.
动画片	мультфильм	Балалар мультфильм көріп отыр.
洞	тесік	Қабырғада кішкентай тесік бар.
豆腐	тофу	Бұл тофу тағамы өте дәмді.
逗	күлдіру	Оның сөзі бәрін күлдірді.
独立	тәуелсіз	Ол тәуелсіз өмір сүргісі келеді.
独特	ерекше	Бұл қаланың ерекше мәдениеті бар.
度过	өткізу	Біз демалысты теңіз жағасында өткіздік.
断	үзілу	Бұл арқан үзіліп қалды.
堆	үйілу	Үстелде көп құжат үйіліп жатыр.
兑换	айырбастау	Мен біраз юань айырбастағым келеді.
对比	салыстыру	Мына екі жоспарды салыстырыңыз.
对待	қарау	Біз әр адамға әділ қарауымыз керек.
对方	қарсы тарап	Алдымен қарсы тараптың пікірін тыңдаңыз.
对手	қарсылас	Оның қарсыласы өте мықты.
对象	нысан	Зерттеу нысаны - университет студенттері.
吨	тонна	Бұл жүк көлігі үш тонна жүк көтере алады.
蹲	отыру	Ол кілтін іздеп жерде жүресінен отыр.
顿	рет	Біз бірге кешкі ас іштік.
多亏	арқасында	Сенің көмегіңнің арқасында тапсырманы аяқтадым.
多余	артық	Бұл сөйлем артық.
朵	тал	Үстелде бір тал гүл тұр.
躲藏	жасырыну	Мысық төсектің астына жасырынып қалды.
恶劣	нашар	Бүгін ауа райы өте нашар.
耳环	сырға	Ол бір жұп сырға тағып алған.
发表	білдіру	Ол жиналыста өз пікірін білдірді.
发愁	уайымдау	Мына ұсақ нәрсеге уайымдама.
发达	дамыған	Бұл қаланың көлігі өте дамыған.
发抖	дірілдеу	Ол суықтан үнемі дірілдеп тұр.
发挥	қолдану	Барлығыңыз өз қиялыңызды қолданыңыз.
发明	өнертабыс	Электр шамы - маңызды өнертабыс.
发票	шот-фактура	Маған шот-фактура жазып беріңіз.
发言	сөйлеу	Ол жиналыста сөйледі.
罚款	айыппұл	Ережеге қайшы тұраққа қойған үшін айыппұл салынады.
法院	сот	Бұл іс сотқа берілді.
翻	ашу	Кітапты оныншы бетке ашыңыз.
繁荣	өркендеу	Экономика біртіндеп өркендеп келеді.
反而	керісінше	Ол ашуланбады, керісінше күлді.
反复	қайта-қайта	Бұл сөйлемді қайта-қайта жаттықтыру керек.
反应	реакция	Оның реакциясы өте жылдам.
反映	көрсету	Бұл есеп нақты жағдайды көрсетеді.
反正	бәрібір	Бәрібір ертең менің уақытым бар.
范围	ая	Осы аядан шықпаңыз.
方	шаршы	Қағазға бір шаршы салыңыз.
方案	жоспар	Бұл жоспар біршама орынды.
方式	тәсіл	Бұл оқу тәсілі өте тиімді.
妨碍	кедергі келтіру	Басқалардың жұмысына кедергі келтірмеңіз.
仿佛	сияқты	Ол бәрін білетін сияқты.
非	міндетті түрде	Бұл іс сенсіз болмайды.
肥皂	сабын	Қол жуғанда сабын қолдану керек.
废话	бос сөз	Бос сөзді аз айтып, тез бастайық.
分别	қоштасу	Олар вокзалда қоштасты.
分布	орналасу	Бұл дүкендер қаланың әр жерінде орналасқан.
分配	бөлу	Мұғалім жаңа тапсырма бөлді.
分手	ажырасу	Олар былтыр ажырасты.
分析	талдау	Біз себептерін талдауымыз керек.
纷纷	бірінен соң бірі	Барлығы бірінен соң бірі келісетінін білдірді.
奋斗	талпыну	Жастар арманы үшін талпынуы керек.
疯狂	есі кете	Жанкүйерлер есі кете айқайлады.
风格	стиль	Бұл мейрамхананың стилі өте ерекше.
风景	көрініс	Таудағы көрініс өте әдемі.
风俗	салт	Әр жердің өз салты бар.
风险	тәуекел	Инвестицияда белгілі бір тәуекел бар.
讽刺	мысқылдау	Бұл мақала әлеуметтік мәселелерді мысқылдады.
否定	жоққа шығару	Ол бұл пікірді жоққа шығарды.
否认	мойындамау	Ол қателік жасағанын мойындамады.
幅	дана	Қабырғада бір сурет ілулі тұр.
扶	демеу	Қарт адамды жолдан өткізуге демеңіз.
服装	киім	Бұл дүкен балалар киімін сатады.
辅导	қосымша оқыту	Мұғалім сабақтан кейін оқушыларды қосымша оқытады.
复制	көшіру	Мына құжатты көшіріңіз.
妇女	әйелдер	Бұл аурухана әйелдерге қызмет көрсетеді.
改革	реформа	Мектеп оқу реформасын жүргізіп жатыр.
改进	жақсарту	Біз қызмет сапасын жақсартуымыз керек.
改善	жақсарту	Жаттығу ұйқыны жақсарта алады.
改正	түзету	Қатені дер кезінде түзетіңіз.
概括	қорытындылау	Мақаланың мазмұнын қысқаша қорытындылаңыз.
概念	ұғым	Бұл ұғымды түсіну оңай емес.
盖	жабу	Кесенің бетін жақсылап жабыңыз.
干脆	онда	Онда бүгін бармай-ақ қой.
干燥	құрғақ	Солтүстіктің қысы өте құрғақ.
感激	риза болу	Көмегіңе қатты ризамын.
感受	сезім	Мен сенің сезіміңді түсінемін.
感想	ой	Өз ойыңызды айтып беріңіз.
赶紧	тездету	Уақыт кеш болды, тезірек жүрейік.
赶快	тез	Есікті тез жабыңыз.
干活儿	жұмыс істеу	Ол аулада жұмыс істеп жатыр.
钢铁	болат	Бұл көпір болаттан жасалған.
高档	жоғары санатты	Бұл жоғары санатты қонақүй.
高级	жоғары деңгей	Ол жоғары деңгейдегі қытай тілі тобына қатысты.
搞	ұйымдастыру	Сен қандай іс-шара ұйымдастырып жатырсың?
告别	қоштасу	Біз әуежайда досымызбен қоштастық.
格外	ерекше	Бүгін аспан ерекше көк.
隔壁	көрші	Көрші үйде бір мұғалім тұрады.
个别	кейбір	Кейбір студенттер әлі тапсырмасын тапсырған жоқ.
个人	жеке	Бұл менің жеке пікірім.
个性	мінез	Оның мінезі айқын.
各自	әрқайсысы	Әркім өз тапсырмасын орындайды.
根	тал	Үстелдің астында бір тал сым жатыр.
根本	мүлде	Бұл мәселе мүлде қиын емес.
公布	жариялау	Мектеп емтихан нәтижесін жариялады.
公开	ашық	Бұл жиналыс ашық.
公平	әділ	Жарыс әділ болуы керек.
公寓	пәтер	Ол шағын пәтер жалдады.
公元	біздің заманымыз	Биыл біздің заманымыздың екі мың жиырма алтыншы жылы.
公主	ханшайым	Кішкентай қыз ханшайым туралы әңгімелерді ұнатады.
功能	қызмет	Бұл бағдарламаның қызметі көп.
工厂	зауыт	Бұл зауыт көлік шығарады.
工程师	инженер	Менің ағам инженер.
工具	құрал	Велосипед жөндеуге құрал керек.
工人	жұмысшы	Жұмысшылар жол жөндеп жатыр.
工业	өнеркәсіп	Бұл қала негізінен өнеркәсіпке сүйенеді.
恭喜	құттықтау	Емтиханнан өткеніңмен құттықтаймын.
贡献	үлес	Ол компанияға үлес қосты.
沟通	қарым-қатынас	Жақсы қарым-қатынас өте маңызды.
构成	құрау	Бұл бөліктер бір бүтінді құрайды.
姑姑	әке жағынан апа	Демалыста әке жағынан апама барамын.
姑娘	бойжеткен	Ана бойжеткен өте ықыласты.
古代	ежелгі заман	Ежелгі заманда ұялы телефон болған жоқ.
古典	классикалық	Мен классикалық музыканы ұнатамын.
股票	акция	Ол бірнеше акция сатып алды.
骨头	сүйек	Бұл сүйек өте қатты.
鼓舞	жігерлендіру	Бұл жаңалық адамды жігерлендіреді.
鼓掌	қол соғу	Көрермендер актерлерге қол соқты.
固定	тұрақты	Менің жұмыс уақытым тұрақты.
挂号	тіркелу	Дәрігерге қаралмас бұрын алдымен тіркелу керек.
乖	тілалғыш	Бұл бала өте тілалғыш.
拐弯	бұрылу	Алдағы қиылыста оңға бұрылыңыз.
怪不得	сондықтан екен	Сондықтан екен, сен қатты шаршапсың.
关闭	өшіру	Кетер алдында компьютерді өшіріңіз.
官	шенеунік	Ол жас шенеунік.
观察	бақылау	Дәрігер науқастың жағдайын бақылап жатыр.
观点	көзқарас	Мен сенің көзқарасыңмен келісемін.
观念	түсінік	Жастардың түсінігі өзгеріп келеді.
管子	құбыр	Бұл құбырдан су ағып тұр.
冠军	чемпион	Ол жарыста чемпион болды.
光滑	тегіс	Бұл үстелдің беті өте тегіс.
光临	келу	Келесі жолы тағы келуіңізді күтеміз.
光明	жарқын	Болашақ жарқын.
光盘	диск	Мәліметтерді дискіге сақтаңыз.
广场	алаң	Алаңда адам көп.
广大	көп	Бұл хабарды көптеген студенттер жылы қабылдады.
广泛	кең	Бұл кітаптың ықпалы кең.
归纳	жинақтау	Мұғалім бізге негізгі ойларды жинақтап берді.
规矩	ереже	Бала ережені білуі керек.
规律	тәртіп	Өмірде тәртіп болуы керек.
规模	көлем	Бұл компанияның көлемі үлкен.
规则	ереже	Жарыс ережесі өте анық.
柜台	касса	Ақшаны кассада төлеңіз.
滚	қайнау	Су қайнап кетті.
锅	қазан	Қазанда ыстық сорпа бар.
国庆节	Ұлттық мереке	Ұлттық мерекеде біз демаламыз.
国王	патша	Патша сарайда тұрады.
果然	күткендей	Ол күткендей уақытында келді.
果实	жеміс	Ағаш жеміске толы.
过分	шектен тыс	Оның талабы сәл шектен тыс.
过敏	аллергия	Менің тозаңға аллергиям бар.
过期	мерзімі өту	Бұл сүттің мерзімі өтіп кеткен.
哈	ха	Ха, мен ақыры түсіндім.
海关	кеден	Біз кеденде тексеруге кезекке тұрдық.
海鲜	теңіз өнімдері	Бұл мейрамхананың теңіз өнімдері өте жаңа.
喊	айқайлау	Сыныпта қатты айқайламаңыз.
行业	сала	Туризм саласы тез дамып жатыр.
豪华	сәнді	Олар сәнді қонақүйде тұрып жатыр.
好客	қонақжай	Жергілікті адамдар өте қонақжай.
好奇	әуес	Балалар әлемге өте әуес.
何必	несіне	Ұсақ нәрсеге несіне ашуланасың?
何况	оның үстіне	Бүгін суық, оның үстіне жаңбыр жауып тұр.
合法	заңды	Бұл келісімшарт заңды.
合理	орынды	Бұл баға орынды.
合同	келісімшарт	Олар келісімшартқа қол қойды.
合影	топтық сурет	Бітірген кезде біз топтық суретке түстік.
合作	ынтымақтасу	Біз жобаны ынтымақтаса аяқтадық.
和平	бейбітшілік	Әр адам бейбітшілікті қалайды.
核心	өзек	Сенім - ынтымақтастықтың өзегі.
恨	өкіну	Ол ертерек тырыспағанына өкінеді.
猴子	маймыл	Хайуанаттар бағында бірнеше маймыл бар.
后背	арқа	Оның арқасы сәл ауырады.
后果	салдар	Сен салдарын ойлауың керек.
呼吸	тыныс алу	Терең тыныс алыңыз.
忽然	кенет	Аспан кенет қараңғыланып кетті.
忽视	елемеу	Бұл мәселені елемеңіз.
壶	шәйнек	Үстелде бір шәйнек шай тұр.
糊涂	абдырау	Бүгін мен сәл абдырап тұрмын.
胡说	сандырақ айту	Сандырақ айтпа, бұл шын емес.
胡同	тар көше	Бейжіңде ескі тар көшелер көп.
蝴蝶	көбелек	Бақта бір көбелек бар.
花生	жержаңғақ	Ол жержаңғақ жегенді ұнатады.
华裔	қытай текті	Ол қытай текті жазушы.
滑	тайғақ	Еден тайғақ, абай болыңыз.
划	есу	Қайықта отырғанда ол қайық еседі.
化学	химия	Ол университетте химия оқыды.
话题	тақырып	Бұл тақырып өте қызық.
怀念	сағыну	Мен университет өмірін қатты сағындым.
怀孕	жүкті	Ол үш айлық жүкті.
缓解	жеңілдету	Демалыс қысымды жеңілдетеді.
幻想	қиялдау	Ол ғарышқа саяхаттауды жиі қиялдайды.
慌张	сасқалақтау	Мәселеге тап болсаң, сасқалақтама.
黄金	алтын	Алтынның бағасы тағы өсті.
恢复	қалпына келу	Оның денесі қалпына келіп жатыр.
挥	бұлғау	Ол қолын бұлғады.
灰	сұр	Аспан сұр түсті.
灰尘	шаң	Үстелде шаң көп.
灰心	түңілу	Сәтсіз болсаң да, түңілме.
汇率	айырбас бағамы	Бүгінгі айырбас бағамы қанша?
婚礼	үйлену тойы	Олардың үйлену тойы өте қарапайым болды.
婚姻	неке	Некеде өзара түсіністік керек.
活跃	белсенді	Ол сабақта өте белсенді.
伙伴	серік	Ол менің ең жақсы серігім.
火柴	сіріңке	Қорапта бір ғана сіріңке қалды.
或许	мүмкін	Мүмкін ертең жаңбыр жауар.
基本	негізгі	Бұлар негізгі талаптар.
机器	машина	Бұл машина бұзылған.
激烈	қызу	Жарыс өте қызу өтті.
肌肉	бұлшық ет	Жаттығудан кейін бұлшық етім сәл ауырады.
及格	өту	Ол бұл емтиханнан өтті.
急忙	асығыс	Ол сыныптан асығыс жүгіріп шықты.
急诊	жедел жәрдем бөлімі	Науқас жедел жәрдем бөліміне жеткізілді.
极其	өте	Бұл мәселе өте маңызды.
集合	жиналу	Барлығыңыз сағат сегізде кіреберісте жиналыңыз.
集体	ұжымдық	Бұл ұжымдық іс-шара.
集中	шоғырландыру	Сабақта назарыңды шоғырландыру керек.
寂寞	жалғызсырап қалу	Жалғыз тұру кейде жалғызсыратады.
系领带	галстук тағу	Ол күн сайын жұмысқа барар алдында галстук тағады.
纪录	рекорд	Ол мектеп рекордын жаңартты.
纪律	тәртіп	Сынып тәртібі өте маңызды.
纪念	естелікке қалдыру	Біз бұл күнді естелікке қалдыру үшін суретке түстік.
计算	есептеу	Жалпы шығынды есептеп беріңіз.
记录	жазып алу	Жиналыстың мазмұнын жазып алыңыз.
记忆	естелік	Бұл естелік өте қымбат.
嘉宾	құрметті қонақ	Бүгінгі құрметті қонақ - жазушы.
夹子	қыстырғыш	Құжаттарды қыстырғышпен қыстырыңыз.
家庭	отбасы	Отбасы бала үшін өте маңызды.
家务	үй жұмысы	Демалыста үй жұмысын істеуім керек.
家乡	туған жер	Мен туған жерімді қатты сағындым.
假如	егер	Егер ертең жаңбыр жауса, біз бармаймыз.
假设	делік	Сен мұғалімсің делік, не істер едің?
假装	өтірік кейіп таныту	Ол естімегендей кейіп танытты.
甲	бірінші тарап	Бірінші тарап ақшаны уақытында төлеуі керек.
价值	құндылық	Бұл кітаптың құндылығы жоғары.
嫁	тұрмысқа шығу	Ол келесі жылы жігітіне тұрмысқа шығады.
驾驶	жүргізу	Көлік жүргізгенде абайлап жүргізіңіз.
兼职	қосымша жұмыс	Ол кешке қосымша жұмыс істейді.
坚决	үзілді-кесілді	Ол бұл шешімге үзілді-кесілді қарсы.
坚强	мықты	Ол мықты адам.
肩膀	иық	Оның иығы жарақаттанған.
艰巨	ауыр	Бұл ауыр міндет.
艰苦	қиын	Олар қиын өмірді бастан кешті.
剪刀	қайшы	Қайшыны маған беріңіз.
捡	теріп алу	Ол жердегі әмиянды теріп алды.
简历	түйіндеме	Жұмысқа өтініш берер алдында түйіндеме дайындау керек.
简直	тіпті	Бұл хабар тіпті адамды таңғалдырады.
健身	жаттығу жасау	Ол аптасына үш рет жаттығу жасайды.
建立	орнату	Біз жаңа қарым-қатынас орнаттық.
建设	құрылыс	Қала құрылысы тез дамып жатыр.
建筑	ғимарат	Бұл ғимараттың ерекшелігі бар.
键盘	пернетақта	Менің пернетақтамды тазалау керек.
讲究	мән беру	Қытайлықтар тамаққа көп мән береді.
讲座	дәріс	Бүгін кешке қытай тілі дәрісі бар.
酱油	соя тұздығы	Тағамға аздап соя тұздығын қосыңыз.
交换	алмасу	Біз телефон нөмірлерімізбен алмастық.
交际	қарым-қатынас	Тіл үйренгенде қарым-қатынасты да жаттықтыру керек.
交往	кездесу	Олар екі жыл кездесіп жүр.
