source_headword	AZ	example_AZ
difficult	çətin	Bu sual çətindir.
dinner	şam yeməyi	Şam yeməyi hazırdır.
dirty	çirkli	Ayaqqabılarım çirklidir.
discuss	müzakirə etmək	Planı müzakirə edirik.
dish	yemək	Bu yemək istidir.
do1	etmək	Sən nə edirsən?
doctor	həkim	Həkim məşğuldur.
dog	it	İt çöldə qaçır.
dollar	dollar	Bu bir dollar edir.
door	qapı	Zəhmət olmasa, qapını bağla.
down	aşağı	Burada əyləş.
downstairs	aşağı mərtəbədə	Mətbəx aşağı mərtəbədədir.
draw	çəkmək	Kiçik ev çək.
dress	paltar	O, qırmızı paltar geyinir.
drink	içki; içmək	Mən su içirəm.
drive	sürmək	Mən işə maşın sürürəm.
driver	sürücü	Sürücü burada dayanır.
during	zamanı	Uçuş zamanı yatıram.
DVD	DVD	Bu DVD köhnədir.
each	hər	Hər uşağın kitabı var.
ear	qulaq	Qulağım ağrıyır.
early	erkən	Mən erkən qalxıram.
east	şərq	Günəş şərqdə doğur.
easy	asan	Bu test asandır.
eat	yemək	Biz naharı birlikdə yeyirik.
egg	yumurta	Mən yumurta yeyirəm.
eight	səkkiz	Mənim səkkiz kartım var.
eighteen	on səkkiz	Onun on səkkiz yaşı var.
eighty	səksən	Babamın səksən yaşı var.
elephant	fil	Fil böyükdür.
eleven	on bir	Dərs on birdə başlayır.
else	başqa	Sənə başqa nə lazımdır?
email	e-poçt; e-poçt göndərmək	Mənə e-poçt göndər.
end	son; bitmək	Bu sondur.
enjoy	zövq almaq	Bu mahnıdan zövq alıram.
enough	kifayət qədər	Bizim kifayət qədər vaxtımız var.
euro	avro	Bu bir avroya başa gəlir.
even	hətta	Hətta qardaşım da bilir.
evening	axşam	Bu axşam görüşürük.
event	tədbir	Tədbir bu gün başlayır.
ever	heç; nə vaxtsa	Sən heç yemək bişirirsən?
every	hər	Mən hər gün oxuyuram.
everybody	hamı	Hamı buradadır.
everyone	hamı	Hamı musiqini sevir.
everything	hər şey	Hər şey hazırdır.
exam	imtahan	İmtahan tezliklə başlayır.
example	nümunə	Bu yaxşı nümunədir.
excited	həyəcanlı	Mən bu gün həyəcanlıyam.
exciting	həyəcanlı	Oyun həyəcanlıdır.
exercise	məşq; məşq etmək	Səhər yeməyindən əvvəl məşq edirəm.
expensive	bahalı	Bu palto bahalıdır.
explain	izah etmək	Zəhmət olmasa, bu sözü izah et.
extra	əlavə	Mənə əlavə vaxt lazımdır.
eye	göz	Gözüm qızarıb.
face	üz	Üzünü yu.
fact	fakt	Bu fakt vacibdir.
fall	düşmək; payız	Payızda yarpaqlar düşür.
false	səhv	Bu cavab səhvdir.
family	ailə	Ailəm kiçikdir.
famous	məşhur	O, məşhur müğənnidir.
fantastic	fantastik	Konsert fantastik idi.
far	uzaq	Məktəb uzaqdadır.
farm	ferma	Onlar fermada yaşayırlar.
farmer	fermer	Fermer məhsul yetişdirir.
fast	sürətli	Bu qatar sürətlidir.
fat	kök	Pişik kökdür.
father	ata	Atam hündürdür.
favourite	sevimli	Bu mənim sevimli mahnımdır.
February	fevral	Fevral burada soyuqdur.
feel	hiss etmək	Özümü xoşbəxt hiss edirəm.
feeling	hiss	Mən bu hissi bilirəm.
festival	festival	Festival sabah başlayır.
few	bir neçə	Burada bir neçə tələbə var.
fifteen	on beş	Mənim on beş yaşım var.
fifth	beşinci	Bu beşinci dərsdir.
fifty	əlli	Anamın əlli yaşı var.
fill	doldurmaq	Fincanı su ilə doldur.
film	film	Biz film izləyirik.
final	son	Bu son sualdır.
find	tapmaq	Açarlarımı tapıram.
fine	yaxşı	İndi özümü yaxşı hiss edirəm.
finish	bitirmək	Ev tapşırığını bitir.
fire	od	Od istidir.
first	birinci	O, növbədə birincidir.
fish	balıq	Şam yeməyinə balıq yeyirəm.
five	beş	Mənim beş kitabım var.
flat	mənzil	Mənzilim kiçikdir.
flight	uçuş	Uçuş gecikir.
floor	döşəmə	Çanta döşəmədədir.
flower	çiçək	Bu çiçək sarıdır.
fly	uçmaq	Quşlar göydə uçur.
follow	izləmək; ardınca getmək	Zəhmət olmasa, arxamca gəl.
food	yemək	Yemək hazırdır.
foot	ayaq	Ayağım ağrıyır.
football	futbol	Bu gün futbol oynayırıq.
for	üçün	Bu hədiyyə sənin üçündür.
forget	unutmaq	Açarlarını unutma.
form	forma	Formanı doldur.
forty	qırx	Atamın qırx yaşı var.
four	dörd	Dörd quş görürəm.
fourteen	on dörd	Onun on dörd yaşı var.
fourth	dördüncü	Bu dördüncü mərtəbədir.
free	pulsuz; boş	Bilet pulsuzdur.
Friday	cümə	Cümə günü görüşürük.
friend	dost	Dostum buradadır.
friendly	mehriban	Müəllim mehribandır.
from	-dan; -dən	Mən buradanam.
front	ön	Öndə dayan.
fruit	meyvə	Mən hər gün meyvə yeyirəm.
full	dolu	Butulka doludur.
fun	əyləncə; əyləncəli	Bu oyun əyləncəlidir.
funny	gülməli	Film gülməlidir.
future	gələcək	Gələcəyin haqqında düşün.
game	oyun	Oyun indi başlayır.
garden	bağ	Bağ gözəldir.
geography	coğrafiya	Məktəbdə coğrafiya oxuyuram.
get	almaq; çatmaq	Mən evə saat altıda çatıram.
girl	qız	Qız gülümsəyir.
girlfriend	sevgili	Onun sevgilisi mehribandır.
give	vermək	Kitabı mənə ver.
glass	stəkan	Stəkandan su içirəm.
go	getmək	İndi evə gedirik.
good	yaxşı	Bu qəhvə yaxşıdır.
goodbye	sağ ol	Sabah görüşərik.
grandfather	baba	Babam qocadır.
grandmother	nənə	Nənəm şorba hazırlayır.
grandparent	nənə və ya baba	Nənə-babamdan biri bizimlə yaşayır.
great	əla	Bu əla fikirdir.
green	yaşıl	Qapı yaşıldır.
grey	boz	Səma bozdur.
group	qrup	Kiçik qrupda işləyin.
grow	böyümək; yetişmək	Bitkilər bağda böyüyür.
guess	təxmin etmək	Cavabı təxmin et.
guitar	gitara	O, gitara çalır.
gym	idman zalı	Mən idman zalına gedirəm.
hair	saç	Onun saçı uzundur.
half	yarı	Tortu yarıya böl.
hand	əl	Əlini qaldır.
happen	baş vermək	Sonra nə baş verəcək?
happy	xoşbəxt	Mən bu gün xoşbəxtəm.
hard	sərt; çətin	Bu stul sərtdir.
hat	papaq	Papağım qaradır.
hate	nifrət etmək	Soyuq çaya nifrət edirəm.
have	malik olmaq; var	Mənim maşınım var.
have to modal	məcbur olmaq; gərək	Mən oxumalıyam.
he	o	O mənim qardaşımdır.
head	baş	Başım ağrıyır.
health	sağlamlıq	Yaxşı yemək sağlamlığına kömək edir.
healthy	sağlam	Bu yemək sağlamdır.
hear	eşitmək	Musiqi eşidirəm.
hello	salam	Salam, tanış olduğuma şadam.
help	kömək etmək	Zəhmət olmasa, mənə kömək et.
her	onun	Bu onun çantasıdır.
here	burada	İndi bura gəl.
hey	ey	Ey, məni gözlə.
hi	salam	Salam, necəsən?
high	yüksək	Divar yüksəkdir.
him	onu	Mən onu tanıyıram.
his	onun	Onun paltosu mavidir.
history	tarix	Mən tarix oxuyuram.
hobby	hobbi	Oxumaq mənim hobbimdir.
holiday	tətil	Biz iyulda tətilə çıxırıq.
home	ev	Mən evdəyəm.
homework	ev tapşırığı	Ev tapşırığını bu axşam et.
hope	ümid etmək	Ümid edirəm ki, gələcəksən.
horse	at	At sürətlə qaçır.
hospital	xəstəxana	Xəstəxana buraya yaxındır.
hot	isti	Şorba istidir.
hotel	hotel	Hotel təmizdir.
hour	saat	Bir saat gözlə.
house	ev	Bu ev köhnədir.
how	necə	Necəsən?
however	lakin	Lakin mən burada qala bilərəm.
hundred	yüz	Yüz nəfər gəldi.
hungry	ac	Mən acam.
husband	ər	Onun əri həkimdir.
I	mən	Mən çayı sevirəm.
ice	buz	Buz soyuqdur.
ice cream	dondurma	Mən dondurma istəyirəm.
idea	fikir	Bu yaxşı fikirdir.
if	əgər	Köməyə ehtiyacın olsa, mənə zəng et.
imagine	təsəvvür etmək	Kiçik ev təsəvvür et.
important	vacib	Bu dərs vacibdir.
improve	yaxşılaşdırmaq	Yaxşılaşmaq istəyirəm.
in	içində	Açarlar çantamdadır.
include	daxil etmək	Zəhmət olmasa, adını daxil et.
information	məlumat	Mənə daha çox məlumat lazımdır.
interest	maraq	Onun sənətə marağı var.
interested	maraqlı olmaq	Mən musiqi ilə maraqlanıram.
interesting	maraqlı	Bu kitab maraqlıdır.
internet	internet	İnternet zəifdir.
interview	müsahibə	Bu gün müsahibəm var.
into	içinə	Kitabları çantanın içinə qoy.
introduce	tanış etmək	Zəhmət olmasa, dostunu tanış et.
island	ada	Bu ada kiçikdir.
it	o	O soyuqdur.
its	onun; öz	İt öz yatağını sevir.
jacket	gödəkçə	Gödəkçəm yenidir.
January	yanvar	Yanvar ilin ilk ayıdır.
jeans	cins	Cinsim mavidir.
job	iş	Mənə yeni iş lazımdır.
join	qoşulmaq	Bu gün sinfimizə qoşul.
journey	səfər	Səfər uzundur.
juice	şirə	Mən portağal şirəsi içirəm.
July	iyul	İyulda səyahət edirik.
June	iyun	Məktəb iyunda bitir.
just	sadəcə	Mənə sadəcə su lazımdır.
keep	saxlamaq	Bu açarı saxla.
key	açar	Açarımı itirdim.
kilometre	kilometr	Bir kilometr piyada get.
kind (type)	növ	Hansı növ musiqini sevirsən?
kitchen	mətbəx	Mətbəx təmizdir.
know	bilmək	Cavabı bilirəm.
land	quru; torpaq	Təyyarə qurudadır.
language	dil	İngilis dili bir dildir.
large	böyük	Bu otaq böyükdür.
last1 (final)	son	Bu son səhifədir.
late	gec	Avtobus gecikir.
later	sonra	Sonra görüşərik.
laugh	gülmək	Birlikdə gülürük.
learn	öyrənmək	İngilis dili öyrənirəm.
leave	ayrılmaq; tərk etmək	Qapını açıq qoy.
left	sol	Buradan sola dön.
leg	ayaq	Ayağım ağrıyır.
lesson	dərs	Dərs indi başlayır.
let	icazə vermək	Qoy sənə kömək edim.
letter	məktub	Məktub yazıram.
library	kitabxana	Kitabxana saat doqquzda açılır.
lie1	uzanmaq	Zəhmət olmasa, çarpayıda uzan.
life	həyat	Şəhər həyatı məşğuldur.
like (similar)	kimi	Bu oyun kimidir.
like (find sb/sth pleasant)	xoşlamaq	Bu mahnını xoşlayıram.
line	sıra	Sırada dayan.
lion	şir	Şir yatır.
list	siyahı	Alış-veriş siyahısı hazırla.
listen	dinləmək	Müəllimi dinlə.
little	az; kiçik	Mənim bir az pulum var.
live1	yaşamaq	Mən məktəbin yaxınlığında yaşayıram.
local	yerli	Bu yerli mağazadır.
long1	uzun	Yol uzundur.
look	baxmaq	Şəklə bax.
lose	itirmək	Biletini itirmə.
lot	çox	Mənim çox ev tapşırığım var.
love	sevgi; sevmək	Ailəmi sevirəm.
lunch	nahar	Nahar hazırdır.
