source_headword	RU	example_RU
enrich	обогащать	Путешествия могут обогатить ваше понимание.
enrol	регистрироваться	Студенты должны зарегистрироваться до сентября.
ensue	следовать	После объявления может начаться хаос.
enterprise	предприятие	Предприятие нанимает местных художников.
enthusiast	энтузиаст	Каждый любитель велоспорта знает этот маршрут.
entitle	давать право	Билет даст вам право на вход.
entity	юридическое лицо	Компания является отдельным юридическим лицом.
epidemic	эпидемия	Эпидемия распространилась на несколько регионов.
equality	равенство	Движение боролось за равенство.
equation	уравнение	Уравнение содержит два неизвестных.
erect	воздвигать	Рабочие возведут новый забор.
escalate	обостряться	Конфликт может быстро обостриться.
essence	суть	В стихотворении передана суть детства.
establishment	истеблишмент	Истеблишмент выступил против реформы.
eternal	вечный	Они обещали вечную дружбу.
evacuate	эвакуировать	Пожарные помогли жителям безопасно эвакуироваться.
evoke	вызывать	Песня может вызывать сильные воспоминания.
evolutionary	эволюционный	Окаменелость показывает эволюционные изменения.
exaggerate	преувеличивать	Не преувеличивайте свой опыт.
excellence	мастерство	Школа вознаграждает успехи в учебе.
exceptional	исключительный	Она продемонстрировала выдающееся мастерство.
excess	избыток	Избыток воды затопил подвал.
exclusion	исключение	Социальное исключение вредит молодежи.
exclusive	эксклюзивный	Клуб предлагает эксклюзивный доступ.
exclusively	исключительно	Эта комната используется исключительно персоналом.
execute	выполнять	Команда будет тщательно выполнять план.
execution	выполнение	На реализацию стратегии ушли месяцы.
exert	оказывать	Вы должны оказать большее давление.
exile	изгнание	Писатель жил в изгнании.
expenditure	расходы	Государственные расходы увеличились в прошлом году.
experimental	экспериментальный	Лечение все еще носит экспериментальный характер.
expire	истекать	Срок действия моего паспорта скоро истечет.
explicit	недвусмысленный	Инструкции были недвусмысленными.
explicitly	ясно	Правила прямо запрещают курение.
exploitation	эксплуатация	В отчете разоблачалась эксплуатация рабочих.
explosive	взрывной	Взрывное устройство было безопасно удалено.
extremist	экстремист	Экстремистская группировка потеряла поддержку.
facilitate	содействовать	Приложение будет способствовать дистанционному обучению.
faction	фракция	Одна фракция выступила против лидера.
faculty	преподавательский состав	Профессорско-преподавательский состав одобрил предложение.
fade	выцветать	Краска выцветет на солнце.
fairness	справедливость	Справедливость важна в каждом соревновании.
fatal	смертельный	Авария стала причиной смертельных травм.
fate	судьба	Никто не знал его судьбы.
favourable	благоприятный	Отзыв был положительным.
feat	подвиг	Восхождение на эту вершину было настоящим подвигом.
feminist	феминистский	Феминистское движение изменило общественные дебаты.
fibre	клетчатка	В этом хлебе содержится больше клетчатки.
fierce	свирепый	Свирепый шторм повредил крыши.
film-maker	кинорежиссер	После этого кинорежиссер ответил на вопросы.
filter	фильтр	Фильтр удаляет пыль из воздуха.
fine	штраф	Компания заплатила штраф.
firearm	огнестрельное оружие	Офицер нашел украденное огнестрельное оружие.
fit	посадка	Новые туфли имеют идеальную посадку.
fixture	приспособление	Лампа является постоянным приспособлением.
flaw	недостаток	У дизайна есть один серьезный недостаток.
flawed	ошибочный	Ошибочное исследование дало ложные результаты.
flee	спасаться бегством	Семьям пришлось спасаться бегством от боевых действий.
fleet	флот	Авиакомпания обновила свой флот.
flesh	плоть	Шип вонзился в его плоть.
flexibility	гибкость	Удаленная работа предлагает больше гибкости.
flourish	процветать	Малый бизнес может здесь процветать.
fluid	жидкость	Пейте много жидкости после тренировки.
footage	кадры	На кадрах была видна авария.
foreigner	иностранец	В анкете спрашивается, являетесь ли вы иностранцем.
forge	выковать	Они попытались выковать новый альянс.
formula	формула	Формула решила проблему.
formulate	формулировать	Ученые формулируют новую теорию.
forth	вперед	Река понесла лодку вперед.
forthcoming	предстоящий	Предстоящий отчет все объяснит.
foster	способствовать	Программа помогает способствовать независимости.
fragile	хрупкий	Хрупкая ваза требует осторожного обращения.
franchise	франшиза	Ресторан стал глобальной франшизой.
frankly	откровенно	Откровенно говоря, нам нужно больше времени.
frustrated	разочарованный	Рабочие чувствовали себя разочарованными из-за задержки.
frustrating	разочаровывающий	Медленное соединение было разочаровывающим.
frustration	разочарование	Разочарование росло во время встречи.
functional	функциональный	Старая кухня все еще функциональна.
fundraising	сбор средств	Сбор средств начнется на следующей неделе.
funeral	похороны	Похороны состоялись в пятницу.
gallon	галлон	В бак вмещается один галлон.
gambling	азартные игры	Азартные игры ограничены законом.
gathering	собрание	Собрание закончилось мирно.
gaze	взгляд	Она на мгновение задержала на нем взгляд.
gear	снаряжение	Соберите защитное снаряжение перед восхождением.
generic	непатентованный	Непатентованная версия стоит дешевле.
genocide	геноцид	Геноцид оставил глубокую национальную травму.
glance	быстрый взгляд	Он бросил быстрый взгляд.
glimpse	проблеск	Я мельком увидел море.
glorious	славный	Команда наслаждалась славной победой.
glory	слава	Она мечтала об олимпийской славе.
governance	управление	Хорошее управление требует прозрачности.
grace	изящество	Она приняла поражение с изяществом.
grasp	понять	Ему не удалось понять концепцию.
grave (for dead person)	могила	Могила была покрыта цветами.
grave (serious)	серьезный	Ситуация остается серьезной.
gravity	гравитация	Гравитация притягивает объекты к Земле.
grid	сетка	На карте используется простая сетка.
grief	горе	Горе изменило всю его семью.
grin	ухмылка	Мальчик широко ухмыльнулся.
grind	молоть	Рабочие мелют зерна каждое утро.
grip	хватка	Сохраняйте крепкую хватку на веревке.
gross	валовой	Валовой доход резко вырос.
guerrilla	партизан	Партизаны прятались в горах.
guidance	руководство	Руководство дает практические советы.
guilt	вина	Она чувствовала вину после лжи.
gut	чутье	Доверьтесь своему чутью в трудном выборе.
hail	провозглашать	Жители деревни провозглашают врача героем.
halfway	на полпути	Мы остановились на полпути на холм.
halt	остановка	Поезд внезапно остановился.
handful	горстка	Горстка добровольцев осталась допоздна.
handling	обращение	Правильное обращение предотвращает повреждения.
handy	удобный	Этот инструмент удобен для ремонта.
harassment	домогательство	Компания расследовала жалобы на домогательства.
hardware	оборудование	В магазине продается компьютерное оборудование.
harmony	гармония	Хор пел в полной гармонии.
harsh	суровый	Судья вынес суровый приговор.
harvest	урожай	Сбор урожая начинается в сентябре.
haunt	преследовать	Воспоминание продолжало его преследовать.
hazard	опасность	Лед представляет собой серьезную опасность на дороге.
heighten	усиливать	Речь может усилить напряженность.
heritage	наследие	Замок является частью местного наследия.
hierarchy	иерархия	Иерархия в офисе четко определена.
high-profile	громкий	Громкий судебный процесс привлек журналистов.
hint	намек	Она дала мне полезный намек.
homeland	родина	Он вернулся на родину.
hopeful	полный надежд	Врачи полны надежд на выздоровление.
horizon	горизонт	Солнце скрылось за горизонтом.
horn	гудок	Автомобильный гудок разбудил всех.
hostage	заложник	Заложник вернулся домой.
hostile	враждебный	Толпа стала враждебной.
hostility	враждебность	Открытая враждебность положила конец переговорам.
humanitarian	гуманитарный	Гуманитарная миссия доставила еду.
humanity	человечество	Человечество сталкивается с общими проблемами.
humble	скромный	Она осталась скромной после успеха.
hydrogen	водород	Водород очень легко горит.
identification	удостоверение личности	На входе требуется удостоверение личности.
ideological	идеологический	Спор имел идеологические корни.
ideology	идеология	Его идеология формировала каждую речь.
idiot	идиот	Никого не называйте идиотом.
ignorance	невежество	Невежество может сеять страх.
imagery	образы	В стихотворении используются яркие образы.
immense	огромный	Проект потребовал огромных усилий.
imminent	неминуемый	Шторм казался неминуемым.
implementation	реализация	Реализация закона шла медленно.
imprison	сажать в тюрьму	Режим пытался сажать в тюрьму критиков.
imprisonment	тюремное заключение	Его тюремное заключение длилось пять лет.
inability	неспособность	Ее неспособность сосредоточиться беспокоила учителей.
inadequate	неадекватный	В приюте было неадекватное отопление.
inappropriate	неуместный	Его шутка была неуместной.
incidence	заболеваемость	Заболеваемость гриппом возросла.
inclined	склонный	Она склонна согласиться.
inclusion	инклюзия	Школа способствует инклюзии.
