source_headword	TA	example_TA
incorporate	இணைத்துக்கொள்	உணவில் அதிக காய்கறிகளை சேர்த்துக் கொள்ளுங்கள்.
incorrect	தவறான	பதில் தவறாக இருந்தது.
independence	சுதந்திரம்	நாடு சுதந்திரத்தை கொண்டாடியது.
index	அட்டவணை	தலைப்புக்கான அட்டவணையைச் சரிபார்க்கவும்.
indication	அறிகுறி	புன்னகை நிம்மதிக்கான அறிகுறியாக இருந்தது.
inevitable	தவிர்க்க முடியாத	சில தாமதங்கள் தவிர்க்க முடியாதவை.
inevitably	தவிர்க்க முடியாமல்	பற்றாக்குறைக்குப் பிறகு தவிர்க்க முடியாமல் விலைகள் உயர்ந்தன.
infer	அனுமானி	சூழலிலிருந்து பதிலை நாம் அனுமானிக்கலாம்.
inflation	பணவீக்கம்	பணவீக்கம் உணவு விலைகளை அதிகரித்தது.
info	தகவல்	வலைத்தளம் பயனுள்ள தகவல்களை பட்டியலிடுகிறது.
infrastructure	உள்கட்டமைப்பு	புயல் உள்ளூர் உள்கட்டமைப்பை சேதப்படுத்தியது.
inhabitant	வசிப்பவர்	வசிப்பவர் ஒவ்வொருவருக்கும் சுத்தமான தண்ணீர் கிடைத்தது.
inherit	மரபுவழியாக பெறு	அவள் குடும்ப வீட்டை மரபாகப் பெறுவாள்.
ink	மை	அச்சுப்பொறிக்கு கருப்பு மை தேவை.
innovation	புதுமை	புதுமை தொழில்துறையை முன்னோக்கி கொண்டு செல்கிறது.
innovative	புதுமையான	நிறுவனம் ஒரு புதுமையான தயாரிப்பை அறிமுகப்படுத்தியது.
input	உள்ளீடு	மேலாளர் உள்ளீட்டைக் கேட்டார்.
insert	செருகு	இயந்திரத்தில் கார்டைச் செருகவும்.
inspector	ஆய்வாளர்	ஆய்வாளர் கட்டிடத்தை ஆய்வு செய்தார்.
installation	நிறுவல்	நிறுவலுக்கு இரண்டு மணி நேரம் ஆனது.
instant	உடனடி	செயலி உடனடி பதிலை அனுப்பியது.
instantly	உடனடியாக	திரை உடனடியாக இயக்கப்பட்டது.
integrate	ஒருங்கிணை	மென்பொருள் புதிய கருவிகளை ஒருங்கிணைக்க முடியும்.
intellectual	அறிவுசார்ந்த	விவாதம் அறிவுபூர்வமானதாகவும் ஆனால் நட்பானதாகவும் இருந்தது.
interact	உரையாடு	குழுப்பணியின் போது மாணவர்கள் உரையாடுகிறார்கள்.
interaction	தொடர்பு	அந்தத் தொடர்பு கண்ணியமாக இருந்தது.
interpretation	விளக்கம்	கவிதைக்கான அவளது விளக்கம் அசலாக இருந்தது.
interval	இடைவெளி	நிகழ்வுகளுக்கு இடையே ஒரு குறுகிய இடைவெளி இருந்தது.
invade	படையெடு	இராணுவம் தீவின் மீது படையெடுக்க முயன்றது.
invasion	படையெடுப்பு	படையெடுப்பால் பல நகரங்கள் சேதமடைந்தன.
investor	முதலீட்டாளர்	முதலீட்டாளர் ஒரு புதிய நிறுவனத்திற்கு நிதியளித்தார்.
isolate	தனிமைப்படுத்து	தீவிர நோய்த்தொற்றுகள் உள்ள நோயாளிகளை மருத்துவர்கள் தனிமைப்படுத்துகின்றனர்.
isolated	தனிமைப்படுத்தப்பட்ட	பனிப்பொழிவால் கிராமம் தனிமைப்படுத்தப்பட்டது.
jail	சிறை	திருடன் சிறைக்குச் சென்றான்.
jet	ஜெட் விமானம்	ஜெட் விமானம் நண்பகலில் தரையிறங்கியது.
joint	கூட்டு	அவர்கள் ஒரு கூட்டுத் திட்டத்தை அறிவித்தனர்.
journalism	இதழியல்	இதழியலுக்கு துல்லியமான உண்மைகள் தேவை.
jury	நடுவர் மன்றம்	நடுவர் மன்றம் ஒரு முடிவை எட்டியது.
kit	கருவித் தொகுப்பு	பழுதுபார்க்கும் கருவித் தொகுப்பில் திருகுகள் உள்ளன.
ladder	ஏணி	ஏணி சுவரில் சாய்ந்திருந்தது.
landing	தரையிறக்கம்	விமானம் சீராகத் தரையிறங்கியது.
lane	வழி	வலதுபுற வழியிலேயே செல்லவும்.
lately	சமீபத்தில்	நான் சமீபத்தில் சரியாக தூங்கவில்லை.
leaflet	துண்டுப் பிரசுரம்	துண்டுப் பிரசுரம் சேவையை விளக்குகிறது.
legend	புராணக்கதை	மறைந்திருக்கும் ஒரு நகரத்தைப் பற்றி புராணக்கதை சொல்கிறது.
lens	லென்ஸ்	கேமரா லென்ஸை கவனமாக சுத்தம் செய்யவும்.
lifetime	வாழ்நாள்	அவர் வாழ்நாள் முழுவதும் பணத்தை சேமித்தார்.
lighting	விளக்குகள்	நல்ல விளக்குகள் அறையை மேம்படுத்துகிறது.
likewise	அதேபோல்	அவள் சிரித்தாள்; அவனும் அப்படியே செய்தான்.
limitation	வரம்பு	இந்த திட்டத்தில் ஒரு வரம்பு உள்ளது.
literally	உண்மையாகவே	அவள் பேருந்தை நோக்கி வேகமாக ஓடினாள்.
literary	இலக்கிய	இந்த விழா இலக்கியப் படைப்புகளை கௌரவிக்கிறது.
litre	லிட்டர்	ஒரு லிட்டர் பால் வாங்கவும்.
litter	குப்பை	குப்பைகளை கீழே போடாதீர்கள்.
logo	லோகோ	லோகோ ஒவ்வொரு பக்கத்திலும் தோன்றும்.
lottery	லாட்டரி	அவர் ஒரு சிறிய லாட்டரி பரிசை வென்றார்.
loyal	விசுவாசமான	நாய் அதன் உரிமையாளருக்கு விசுவாசமாக இருந்தது.
lyric	பாடல் வரி	பாடல் வரி முக்கிய கருத்தை திரும்பத் திரும்பக் கூறியது.
magnificent	அற்புதமான	அரண்மனை பார்க்க அற்புதமாக இருந்தது.
make-up	ஒப்பனை	அவள் எளிமையான ஒப்பனை செய்திருந்தாள்.
making	தயாரிப்பு	திரைப்படத் தயாரிப்பு கடினமாக இருந்தது.
manufacture	உற்பத்தி செய்	தொழிற்சாலை போன்களை உற்பத்தி செய்யும்.
manufacturing	உற்பத்தி	உள்ளூரில் உற்பத்தி வேலைகள் அதிகரித்தன.
marathon	மாரத்தான்	அவள் மாரத்தானை முடித்தாள்.
margin	ஓரம்	ஓரத்தில் குறிப்புகளை எழுதுங்கள்.
marker	மார்க்கர்	லேபிளுக்கு ஒரு மார்க்கரைப் பயன்படுத்தவும்.
martial	தற்காப்பு	அவர் தற்காப்புக் கலைகளைப் படிக்கிறார்.
mate	நண்பன்	என் பழைய பள்ளி நண்பன் நேற்று அழைத்தான்.
mayor	மேயர்	மேயர் நூலகத்தைத் திறந்தார்.
mechanic	மெக்கானிக்	மெக்கானிக் பேருந்தை பழுதுபார்த்தார்.
mechanical	இயந்திர	கடிகாரத்தில் ஒரு இயந்திரக் கோளாறு உள்ளது.
mechanism	பொறிமுறை	பூட்டுப் பொறிமுறை எளிமையானது.
medal	பதக்கம்	அவள் ஒரு தங்கப் பதக்கம் வென்றாள்.
medication	மருந்து	தண்ணீருடன் மருந்தை எடுத்துக்கொள்ளுங்கள்.
membership	சந்தா	ஆன்லைனில் ஜிம் சந்தா செலவு குறைவு.
memorable	மறக்க முடியாத	பயணம் மறக்க முடியாததாக இருந்தது.
metaphor	உருவகம்	கவிதை ஒரு வலுவான உருவகத்தைப் பயன்படுத்துகிறது.
miner	சுரங்கத் தொழிலாளி	சுரங்கத் தொழிலாளி நிலத்தடியில் வேலை செய்தார்.
miserable	பரிதாபகரமான	மழை சிற்றுலாவை பரிதாபகரமானதாக மாற்றியது.
mode	முறை	கேமராவை இரவு முறைக்கு மாற்றவும்.
modest	எளிமையான	அவர்கள் ஒரு எளிமையான வீட்டில் வசிக்கிறார்கள்.
monster	அசுரன்	கதையில் பயமுறுத்தும் அசுரன் ஒருவன் இருக்கிறான்.
monthly	மாதந்தோறும்	நாங்கள் மாதந்தோறும் வாடகை செலுத்துகிறோம்.
monument	நினைவுச்சின்னம்	நினைவுச்சின்னம் நதிக்கு அருகில் அமைந்துள்ளது.
moreover	மேலும்	மேலும், இத்திட்டம் பணத்தை மிச்சப்படுத்துகிறது.
mortgage	அடமானம்	அவர்கள் அடமானத்திற்கு விண்ணப்பித்தனர்.
mosque	மசூதி	மசூதி சந்தைக்கு அருகில் உள்ளது.
motion	இயக்கம்	சென்சார் இயக்கத்தைக் கண்டறிகிறது.
motivate	ஊக்கப்படுத்து	பாராட்டு மாணவர்களை ஊக்கப்படுத்தும்.
motivation	உந்துதல்	அவளது உந்துதல் வலுவாக இருந்தது.
moving	நெகிழ்ச்சியான	அந்த பேச்சு நெகிழ்ச்சியாக இருந்தது.
myth	கட்டுக்கதை	கட்டுக்கதை மலையின் பெயரை விளக்குகிறது.
naked	நிர்வாண	குளித்த பின் குழந்தை நிர்வாணமாக இருந்தது.
nasty	மோசமான	அந்த வெட்டு மோசமாகத் தெரிந்தது.
navigation	வழிசெலுத்தல்	ஆப்ஸ் வழிசெலுத்தலை மேம்படுத்துகிறது.
nearby	அருகில் உள்ள	அருகில் உள்ள ஒரு சிற்றுண்டியகம் சீக்கிரமாகத் திறக்கப்படும்.
necessity	தேவை	சுத்தமான தண்ணீர் ஒரு அவசியமான தேவை.
negotiate	பேச்சுவார்த்தை நடத்து	அவர்கள் நாளை ஒப்பந்தம் குறித்து பேச்சுவார்த்தை நடத்துவார்கள்.
negotiation	பேச்சுவார்த்தை	பேச்சுவார்த்தை காலை முழுவதும் நீடித்தது.
neutral	நடுநிலை	நீதிபதி நடுநிலையாக இருந்தார்.
newly	புதிதாக	புதிதாக வர்ணம் பூசப்பட்ட கதவு பிரகாசமாக இருந்தது.
norm	வழக்கம்	தொலைதூர வேலை வழக்கமாகிவிட்டது.
notebook	நோட்டுப்புத்தகம்	உங்கள் நோட்டுப்புத்தகத்தில் குறிப்புகளை எழுதவும்.
novelist	நாவலாசிரியர்	நாவலாசிரியர் தனது புத்தகத்தில் கையெழுத்திட்டார்.
nowadays	இப்போதெல்லாம்	இப்போதெல்லாம், பலர் ஆன்லைனில் வேலை செய்கிறார்கள்.
nursing	நர்சிங்	அவள் நர்சிங் படிக்கிறாள்.
nutrition	ஊட்டச்சத்து	நல்ல ஊட்டச்சத்து ஆரோக்கியத்தை ஆதரிக்கிறது.
obesity	உடல் பருமன்	உடல் பருமன் ஆரோக்கிய அபாயங்களை அதிகரிக்கிறது.
observer	பார்வையாளர்	பார்வையாளர் முடிவுகளைப் பதிவு செய்தார்.
obstacle	தடை	விழுந்த மரம் ஒரு தடையாக இருந்தது.
occupation	தொழில்	உங்கள் தொழிலை இங்கே எழுதவும்.
occupy	குடியிரு	அந்தக் குடும்பம் குடியிருப்பில் வசிக்கும்.
offender	குற்றவாளி	குற்றவாளி நீதிமன்றத்தில் மன்னிப்பு கேட்டார்.
ongoing	நடந்துகொண்டிருக்கிற	விசாரணை நடந்துகொண்டிருக்கிறது.
openly	வெளிப்படையாக	அவள் தன் பயம் பற்றி வெளிப்படையாகப் பேசினாள்.
opera	ஓபரா	நாங்கள் மிலனில் ஒரு ஓபராவைப் பார்த்தோம்.
operator	ஆபரேட்டர்	ஆபரேட்டர் அழைப்பை இணைத்தார்.
optimistic	நம்பிக்கையான	அவள் எதிர்காலத்தைப் பற்றி நம்பிக்கையுடன் உணர்கிறாள்.
orchestra	இசைக்குழு	இசைக்குழு மென்மையாக வாசித்தது.
organic	ஆர்கானிக்	அவர்கள் ஆர்கானிக் காய்கறிகளை வாங்கினர்.
outfit	உடை	அவளது உடை நிகழ்ச்சிக்கு பொருந்தியிருந்தது.
output	வெளியீடு	இயந்திரத்தின் வெளியீடு அதிகரித்தது.
outstanding	சிறப்பான	அவரது செயல்பாடு சிறப்பாக இருந்தது.
overcome	கடந்து செல்	அவர்கள் ஒன்றாகப் பிரச்சினைகளைக் கடந்து செல்கிறார்கள்.
overnight	ஒரே இரவில்	பார்சல் ஒரே இரவில் வந்தது.
overseas	வெளிநாடுகளில்	அவர் வெளிநாட்டில் வேலை தேடினார்.
ownership	உரிமை	நிலத்தின் உரிமை மாறியது.
oxygen	ஆக்சிஜன்	தாவரங்கள் ஆக்சிஜனை உருவாக்குகின்றன.
packet	பாக்கெட்	பாக்கெட்டை கவனமாக திறக்கவும்.
palm	உள்ளங்கை	நாணயத்தை உங்கள் உள்ளங்கையில் வைக்கவும்.
panic	பீதி	கூட்டத்தில் பீதி பரவியது.
parade	அணிவகுப்பு	அணிவகுப்பு நண்பகலில் தொடங்கியது.
parallel	இணையான	சாலைகள் இணையாகச் செல்கின்றன.
participation	பங்கேற்பு	வகுப்பில் பங்கேற்பு மேம்பட்டது.
partnership	கூட்டாண்மை	கூட்டாண்மை இரண்டு நிறுவனங்களுக்கும் உதவியது.
part-time	பகுதிநேர	அவள் ஒரு பகுதிநேர வேலையைத் தேடினாள்.
passionate	ஆர்வமுள்ள	அவர் இசையில் ஆர்வமுள்ளவர்.
password	கடவுச்சொல்	ஒரு வலுவான கடவுச்சொல்லைத் தேர்வு செய்யவும்.
patience	பொறுமை	சிறு குழந்தைகளுக்குக் கற்பிக்க பொறுமை தேவை.
pause	இடைநிறுத்தம்	இப்போது வீடியோவை இடைநிறுத்தவும்.
peer	சமவயதுக்காரர்	சமவயதுக்காரர்களின் அழுத்தம் அவரது தேர்வில் செல்வாக்கு செலுத்தியது.
penalty	அபராதம்	அந்த வீரருக்கு அபராதம் விதிக்கப்பட்டது.
perceive	உணரு	மக்கள் ஆபத்தை வித்தியாசமாக உணர்கிறார்கள்.
perception	உணர்வு	ஆபத்து பற்றிய அவனது உணர்வு மாறியது.
permanently	நிரந்தரமாக	கடை நிரந்தரமாக மூடப்பட்டது.
pill	மாத்திரை	காலை உணவுக்குப் பிறகு ஒரு மாத்திரை எடுத்துக்கொள்ளவும்.
pity	பரிதாபம்	இது பரிதாபம்.
placement	அமைவிடம்	சோபாவின் அமைவிடம் முக்கியமானது.
portion	பகுதி	ஒரு சிறிய பகுதி சோற்றைப் பரிமாறவும்.
potentially	சாத்தியமான வகையில்	இந்த மாற்றம் சாத்தியமான வகையில் பயனுள்ளதாக இருக்கும்.
precede	முந்திச் செல்	இருண்ட மேகங்கள் பெரும்பாலும் மழைக்கு முந்திச் செல்லும்.
precious	விலைமதிப்பற்ற	மோதிரம் விலைமதிப்பற்றது.
precise	துல்லியமான	வழிமுறைகள் துல்லியமாக இருந்தன.
precisely	துல்லியமாக	தூரத்தை துல்லியமாக அளவிடவும்.
predictable	கணிக்கக்கூடிய	முடிவு கணிக்கக்கூடியதாக இருந்தது.
preference	விருப்பம்	அவள் தேநீரை விரும்புவதாகத் தெரிவித்தாள்.
pride	பெருமை	முடித்த பிறகு அவன் பெருமைப்பட்டான்.
primarily	முதன்மையாக	படிப்பு முதன்மையாக ஆன்லைனில் உள்ளது.
principal	முதல்வர்	முதல்வர் புதிய மாணவர்களை வரவேற்றார்.
prior	முன்	எங்களுக்கு முன் அனுமதி தேவை.
probability	நிகழ்தகவு	மழை பெய்யும் நிகழ்தகவு அதிகம்.
probable	சாத்தியமான	இன்று இரவு மழை பெய்ய வாய்ப்புள்ளது.
proceed	தொடர்	தயவுசெய்து அடுத்த அறைக்குச் செல்லவும்.
programming	நிரலாக்கம்	நிரலாக்கத்திற்கு பயிற்சி தேவை.
progressive	முற்போக்கான	இக்கொள்கை அதனுடைய காலகட்டத்திற்கு முற்போக்கானதாக இருந்தது.
prohibit	தடைசெய்	விதிகள் புகைபிடிப்பதைத் தடைசெய்கின்றன.
promising	நம்பிக்கைக்குரிய	முடிவுகள் நம்பிக்கைக்குரியதாகத் தெரிகின்றன.
promotion	பதவி உயர்வு	அவளுக்கு வேலையில் பதவி உயர்வு கிடைத்தது.
prompt	உடனடி	உடனடி பதில் நேரத்தை மிச்சப்படுத்தியது.
proportion	விகிதம்	அதிக விகிதத்தினர் ஆம் என வாக்களித்தனர்.
protein	புரதம்	பீன்ஸில் புரதம் உள்ளது.
protester	போராட்டக்காரர்	போராட்டக்காரர் ஒரு பதாகையை வைத்திருந்தார்.
psychological	உளவியல்	விபத்து உளவியல் அழுத்தத்தை ஏற்படுத்தியது.
publicity	விளம்பரம்	நிகழ்வுக்கு நல்ல விளம்பரம் கிடைத்தது.
publishing	பதிப்பகம்	அவள் பதிப்பகத்தில் வேலை செய்கிறாள்.
punk	பங்க்	அங்கு பங்க் இசை பிரபலமானது.
purely	முற்றிலும்	தேர்வு முற்றிலும் நடைமுறை சார்ந்ததாக இருந்தது.
pursuit	தேடல்	அவர் நீதிக்கான தனது தேடலைத் தொடர்ந்தார்.
puzzle	புதிர்	புதிரை தீர்க்க ஒரு மணி நேரம் ஆனது.
questionnaire	கேள்வித்தாள்	தயவுசெய்து கேள்வித்தாளை பூர்த்தி செய்யவும்.
racial	இனரீதியான	அறிக்கை இனரீதியான சமத்துவமின்மை பற்றி விவாதித்தது.
racism	இனவாதம்	இனவாதம் சமூகங்களுக்கு தீங்கு விளைவிக்கிறது.
racist	இனவாத	அந்த கருத்து இனவாதமாக இருந்தது.
radiation	கதிர்வீச்சு	கதிர்வீச்சு உயிரணுக்களை சேதப்படுத்தும்.
rail	கைப்பிடி	படிக்கட்டுகளில் உள்ள கைப்பிடியைப் பிடித்துக்கொள்ளவும்.
random	சீரற்ற	கணினி ஒரு சீரற்ற எண்ணைத் தேர்ந்தெடுத்தது.
rat	எலி	ஒரு எலி குப்பைத் தொட்டிகளுக்குப் பின்னால் ஓடியது.
rating	மதிப்பீடு	இந்த உணவகம் உயர்ந்த மதிப்பீட்டைக் கொண்டுள்ளது.
reasonably	நியாயமான முறையில்	அறை ஓரளவு சுத்தமாக இருந்தது.
rebuild	மீண்டும் கட்டு	அவர்கள் பாலத்தை மீண்டும் கட்டுவார்கள்.
receiver	பெறுபவர்	பெறுபவர் பந்தைப் பிடித்தார்.
recession	பொருளாதார மந்தநிலை	பொருளாதார மந்தநிலை செலவினங்களைக் குறைத்தது.
reckon	நினை	ரயில் தாமதமாக வரும் என்று நான் நினைக்கிறேன்.
recognition	அங்கீகாரம்	அவர் தனது பணிக்கான அங்கீகாரத்தைப் பெற்றார்.
recovery	குணமடைதல்	குணமடைய பல வாரங்கள் ஆகின.
recruit	ஆள் சேர்ப்பு	நிறுவனம் பொறியாளர்களை வேலைக்கு எடுக்கும்.
recruitment	ஆள் சேர்ப்பு	ஆள் சேர்ப்பு அடுத்த திங்கட்கிழமை தொடங்குகிறது.
referee	நடுவர்	நடுவர் போட்டியை நிறுத்தினார்.
refugee	அகதி	அகதிக்கு ஒரு பாதுகாப்பான வீடு கிடைத்தது.
registration	பதிவு	பதிவு வெள்ளிக்கிழமை முடிவடைகிறது.
regulate	ஒழுங்குபடுத்து	இந்த சட்டம் உமிழ்வை ஒழுங்குபடுத்தும்.
reinforce	வலுப்படுத்து	கூடுதல் தூண்கள் கூரையை வலுப்படுத்துகின்றன.
relieve	தணி	மருந்து வலியைத் தணிக்கும்.
relieved	நிம்மதியான	அழைப்பிற்குப் பிறகு அவள் நிம்மதியடைந்தாள்.
remarkable	குறிப்பிடத்தக்க	அவரது மீட்பு குறிப்பிடத்தக்கதாக இருந்தது.
remarkably	வியக்கத்தக்க வகையில்	அவர் வியக்கத்தக்க வகையில் விரைவாக குணமடைந்தார்.
reporting	அறிக்கை செய்தல்	துல்லியமான அறிக்கை செய்தல் முக்கியமானது.
resign	ராஜினாமா செய்	மேலாளர் நாளை ராஜினாமா செய்வார்.
resolution	தெளிவுத்திறன்	திரை உயர் தெளிவுத்திறனைக் கொண்டுள்ளது.
restore	சீரமை	தொழிலாளர்கள் பழைய ஓவியத்தை சீரமைக்கின்றனர்.
restrict	கட்டுப்படுத்து	விதிகள் வாகன நிறுத்தத்தைக் கட்டுப்படுத்துகின்றன.
restriction	கட்டுப்பாடு	கட்டுப்பாடு நாளை முடிவடைகிறது.
retail	சில்லறை விற்பனை	சில்லறை விற்பனை அதிகரித்துள்ளது.
retirement	ஓய்வு	அவர் தனது ஓய்வு காலத்தை கவனமாக திட்டமிட்டார்.
revenue	வருவாய்	டிக்கெட் வருவாய் பழுதுபார்ப்புகளுக்குச் செலுத்தப்பட்டது.
revision	மீளாய்வு	தேர்வுக்கு முன் மீளாய்வு செய்வது உதவியது.
ridiculous	அபத்தமான	விலை அபத்தமாக இருந்தது.
risky	ஆபத்தான	திட்டம் ஆபத்தானதாகத் தோன்றியது.
rival	போட்டியாளர்	எங்கள் போட்டியாளர் ஒரு புதிய கடையைத் திறந்தார்.
rob	கொள்ளையடி	ஆண்கள் வங்கியை கொள்ளையடிக்க முயன்றனர்.
robbery	கொள்ளை	கொள்ளை சம்பவம் இரவில் நடந்தது.
rocket	ராக்கெட்	ராக்கெட் வெற்றிகரமாக ஏவப்பட்டது.
romance	காதல்	இந்த நாவலில் ஒரு காதல் கதை உள்ளது.
rose	ரோஜா	வேலிக்கு அருகில் ஒரு சிவப்பு ரோஜா வளர்ந்தது.
roughly	தோராயமாக	தோராயமாக இருபது பேர் கலந்து கொண்டனர்.
ruin	பாழாக்கு	மழை சுற்றுலாவைப் பாழாக்கலாம்.
satisfaction	திருப்தி	வாடிக்கையாளர் திருப்தி மேம்பட்டுள்ளது.
scandal	அவதூறு	அவதூறு அவரது வாழ்க்கையை பாதித்தது.
scare	பயம்	பலத்த சத்தம் எனக்கு பயத்தை ஏற்படுத்தியது.
scenario	நிலைமை	மிக மோசமான நிலைமை ஏற்பட வாய்ப்பில்லை.
scholar	அறிஞர்	அறிஞர் பழங்கால நூல்களைப் படித்தார்.
scholarship	உதவித்தொகை	அவள் ஒரு உதவித்தொகையை வென்றாள்.
scratch	கீறல்	பூனை ஒரு கீறலை ஏற்படுத்தியது.
screening	பரிசோதனை	மருத்துவமனை புற்றுநோய் பரிசோதனையை வழங்குகிறது.
seeker	தேடுபவர்	வேலை தேடுபவர் விண்ணப்பங்களை அனுப்பினார்.
seminar	கருத்தரங்கு	கருத்தரங்கு ஒன்பது மணிக்கு தொடங்குகிறது.
settler	குடியேறியவர்	குடியேறியவர் ஒரு சிறிய பண்ணையை கட்டினார்.
severely	கடுமையாக	புயல் சாலைகளை கடுமையாக சேதப்படுத்தியது.
sexy	கவர்ச்சியான	ஆடை கவர்ச்சியாகக் கருதப்பட்டது.
shocking	அதிர்ச்சியூட்டும்	செய்தி அதிர்ச்சியளிப்பதாக இருந்தது.
shore	கரை	நாங்கள் கரையில் நடந்தோம்.
shortage	தட்டுப்பாடு	நகரம் தண்ணீர் தட்டுப்பாட்டை சந்தித்தது.
shortly	விரைவில்	நண்பகலுக்குப் பிறகு விரைவில் பேருந்து வந்தது.
short-term	குறுகிய கால	திட்டம் குறுகிய கால நன்மைகளைக் கொண்டுள்ளது.
sibling	உடன்பிறப்பு	ஒவ்வொரு உடன்பிறப்புக்கும் ஒரு பரிசு கிடைத்தது.
signature	கையொப்பம்	உங்கள் கையொப்பத்தை இடவும்.
significance	முக்கியத்துவம்	இந்த கண்டுபிடிப்பு மிகுந்த முக்கியத்துவம் வாய்ந்தது.
skilled	திறமையான	திறமையான தொழிலாளர்கள் கூரையை சரிசெய்தனர்.
slogan	முழக்கம்	பிரச்சாரம் ஒரு எளிய முழக்கத்தைப் பயன்படுத்தியது.
so-called	பெயரளவு	பெயரளவிலான நிபுணர் தவறுகளைச் செய்தார்.
somehow	எப்படியோ	எப்படியோ, சாவிகள் காணாமல் போயின.
sometime	எப்போதாவது	அடுத்த வாரம் எப்போதாவது எங்களைப் பார்க்க வாருங்கள்.
sophisticated	அதிநவீன	மென்பொருள் அதிநவீனமானது.
spare	கூடுதல்	நாங்கள் ஒரு கூடுதல் சாவியை வைத்திருக்கிறோம்.
specialize	நிபுணத்துவம் பெறு	மருத்துவர்கள் வெவ்வேறு துறைகளில் நிபுணத்துவம் பெறுகின்றனர்.
specify	குறிப்பிடு	உங்கள் வருகை நேரத்தைக் குறிப்பிடவும்.
spectacular	கண்கவர்	வாணவேடிக்கை கண்கொள்ளாக் காட்சியாக இருந்தது.
spectator	பார்வையாளர்	ஒவ்வொரு பார்வையாளருக்கும் ஒரு நிகழ்ச்சி நிரல் வழங்கப்பட்டது.
speculate	ஊகி	நிபுணர்கள் காரணத்தை ஊகிக்கிறார்கள்.
speculation	ஊகம்	கட்டுரை ஊகத்தை ஊக்குவித்தது.
spice	மசாலா	ஒவ்வொரு முறையும் ஒரு மசாலாவைச் சேர்க்கவும்.
spill	சிந்து	பழச்சாற்றைச் சிந்த வேண்டாம்.
spite	மீறி	பிரச்சனைகள் இருந்தபோதிலும் அவர் வெற்றி பெற்றார்.
spoil	கெடு	அதிக உப்பு சூப்பைக் கெடுத்துவிடும்.
spokesman	செய்தித் தொடர்பாளர்	செய்தித் தொடர்பாளர் கேள்விகளுக்கு பதிலளித்தார்.
spokesperson	செய்தித் தொடர்பாளர்	செய்தித் தொடர்பாளர் ஒரு அறிக்கையை வாசித்தார்.
spokeswoman	பெண் செய்தித் தொடர்பாளர்	பெண் செய்தித் தொடர்பாளர் பத்திரிகையாளர்களிடம் பேசினார்.
sponsorship	ஸ்பான்சர்ஷிப்	அணிக்கு ஸ்பான்சர்ஷிப் தேவை.
sporting	விளையாட்டு	நகரம் விளையாட்டு நிகழ்வுகளை நடத்துகிறது.
stall	கடை	சந்தைக் கடையில் பழங்கள் விற்கப்படுகின்றன.
stance	நிலைப்பாடு	அமைச்சர் தனது நிலைப்பாட்டை மாற்றிக்கொண்டார்.
starve	பட்டினி கிட	உணவு இல்லாமல், விலங்குகள் பட்டினியால் சாகலாம்.
