source_headword	TL	example_TL
reconstruction	muling pagtatayo	Nagsimula ang muling pagtatayo pagkatapos ng baha.
recount1	isalaysay	Kaya niyang isalaysay ang mga pangyayari nang malinaw.
referendum	reperendum	Hinati ng reperendum ang bansa.
reflection	pagninilay	Kailangan ng mas malalim na pagninilay ang sanaysay.
reform	reporma	Pinabuti ng reporma ang mga pampublikong serbisyo.
refuge	kanlungan	Humanap ng kanlungan sa ibang bansa ang pamilya.
refusal	pagtanggi	Ginulat ng pagtanggi niya ang komite.
regain	mabawi	Nagtrabaho siya nang mabuti para mabawi ang tiwala.
regardless	anuman	Nagpatuloy sila anuman ang mga kritisismo.
regime	rehimen	Pinigilan ng rehimen ang malayang pananalita.
regulator	regulator	Pinagmuta ng regulator ang kumpanya.
regulatory	panregulasyon	Inabot ng ilang buwan ang pag-apruba ng panregulasyon.
rehabilitation	rehabilitasyon	Nakatulong sa kanya ang rehabilitasyon para makapaglakad muli.
reign	paghahari	Tumagal ng ilang dekada ang paghahari ng hari.
rejection	pagtanggi	Nasaktan ng pagtanggi ang kanyang kumpiyansa.
relevance	kaugnayan	May limitadong kaugnayan ang datos.
reliability	pagkamaaasahan	Mahalaga ang pagkamaaasahan sa mga pang-emerhensiyang sistema.
reluctant	nag-aalangan	Nag-aalangan siyang magsalita.
remainder	natitira	Napunta ang natitira sa kawanggawa.
remains	labi	Maingat na sinuri ang mga labi.
remedy	lunas	Nagbibigay ang batas ng lunas.
reminder	paalala	Isang kapaki-pakinabang na paalala ang email.
removal	pag-aalis	Nakatulong sa kalakalan ang pag-aalis ng mga hadlang.
render	gawin	Ginawang walang-bisa ng pagkakamali ang kontrata.
renew	i-renew	I-renew mo na agad ang iyong pasaporte.
renowned	tanyag	Tanyag siya sa kanyang pananaliksik.
rental	upa	Kasama sa upa ang insurance.
replacement	kapalit	Dumating na ngayon ang pamalit na bahagi.
reportedly	umano	Umano'y nagbitiw ang ministro kahapon.
representation	representasyon	Nananatiling mahalaga ang patas na representasyon.
reproduce	dumami	Mabilis dumami ang mga halamang ito.
reproduction	reproduksyon	Pinabuti ng digital na reproduksyon ang access.
republic	republika	Nagdaos ng halalan ang republika.
resemble	magkamukha	Halos magkamukha ang dalawang disenyo.
reside	manirahan	Naninirahan sila malapit sa hangganan.
residence	tirahan	Binabantayan ang kanyang opisyal na tirahan.
residential	residensyal	Kadalasang residensyal ang lugar.
residue	latak	Nag-iwan ng malagkit na latak ang panlinis.
resignation	pagbibitiw	Ginulat ng kanyang pagbibitiw ang lupon.
resistance	paglaban	Naging malakas ang paglaban sa pagbabago.
respective	kani-kaniyang	Bumalik sila sa kani-kaniyang opisina.
respectively	ayon sa pagkakabanggit	Ang mga marka ay 80 at 90, ayon sa pagkakabanggit.
restoration	restorasyon	Inabot ng ilang taon ang pagpapanumbalik ng gusali.
restraint	pagpipigil	Nagpakita ng pagpipigil ang mga pulis.
resume	ipagpatuloy	Ipagpapatuloy ang klase sa susunod na linggo.
retreat	pag-atras	Nagsimula ng pag-atras ang hukbo.
retrieve	kunin	Kinuha niya ang file.
revelation	pagbubunyag	Nasira ng pagbubunyag ang kanyang reputasyon.
revenge	paghihiganti	Gusto niya ng paghihiganti sa pang-iinsulto.
reverse	baligtarin	Binaligtad ng korte ang desisyon.
revival	muling pagbangon	Nakita ng bayan ang muling pagbangon ng ekonomiya.
revive	muling buhayin	Nakatulong ang pagdiriwang para muling buhayin ang mga lokal na tradisyon.
revolutionary	rebolusyonaryo	Naging rebolusyonaryo ang imbensyon.
rhetoric	retorika	Tila agresibo ang kanyang retorika.
rifle	riple	Ligtas na itinago ang riple.
riot	gulo	Tumagal nang ilang oras ang gulo.
rip	punitin	Punitin nang maingat ang papel.
ritual	ritwal	Minamarkahan ng ritwal ang anihan.
robust	matibay	Matibay ang sistema.
rock	yanigin	Niyanig ng pagsabog ang nayon.
rod	baras	Nakasabit ang kurtina sa isang baras.
rotate	ikutin	Ikutin nang dahan-dahan ang hawakan.
rotation	rotasyon	Pinoprotektahan ng rotasyon ng pananim ang lupa.
ruling	hatol	Naglabas ang korte ng isang hatol.
rumour	tsismis	Mabilis na kumalat ang bali-balita.
sack	sibakin sa trabaho	Maaaring sibakin ng lupon ang coach.
sacred	sagrado	Sagrado ang templo.
sacrifice	sakripisyo	Madalas na gumagawa ng sakripisyo ang mga magulang.
saint	santo	Pinarangalan ng simbahan ang isang lokal na santo.
sake	kapakanan	Nanatili siya alang-alang sa kanya.
sanction	parusa	Naapektuhan ng parusa ang internasyonal na kalakalan.
say	boses	May boses ang mga empleyado sa pag-iskedyul.
scattered	nakakalat	Tinakpan ng mga nakakalat na papel ang desk.
sceptical	nagdududa	Nanatili siyang nagdududa sa pag-angkin.
scope	saklaw	Lumawak ang saklaw ng proyekto.
screw	turnilyo	Higpitan nang maingat ang turnilyo.
scrutiny	pagsusuri	Humarap sa pampublikong pag-uusisa ang kasunduan.
seal	selyuhan	Selyuhan ang sobre bago ipadala.
secular	sekular	Sumusunod ang paaralan sa isang sekular na kurikulum.
seemingly	tila	Tila simple ang gawain.
segment	bahagi	Mas maikli ang huling bahagi.
seize	kumpiskahin	Kinumpiska ng mga pulis ang mga dokumento.
seldom	bihira	Bihira siyang lumiban sa klase.
selective	mapili	Lubos na mapili ang programa.
senator	senador	Sinuportahan ng senador ang panukalang batas.
sensation	sensasyon	Nagdulot ng sensasyon ang pagtuklas.
sensitivity	pagiging sensitibo	Nangangailangan ng pagiging sensitibo ang isyu.
sentiment	sentimyento	Mabilis na nagbago ang sentimyento ng publiko.
separation	paghihiwalay	Naging mahirap ang paghihiwalay.
serial	serial	Nawawala ang serial number.
settlement	kasunduan	Tinapos ng kasunduan ang alitan.
set-up	pag-aayos	Inabot nang buong umaga ang pag-aayos.
sexuality	sekswalidad	Tinatalakay ng kurso ang pagkakakilanlan at sekswalidad.
shareholder	shareholder	Kinuwestiyon ng isang shareholder ang lupon.
shatter	basagin	Binawasag ng balita ang kanyang kumpiyansa.
shed	magbawas	Magbabawas ng mga trabaho ang kumpanya.
sheer	puro	Nagulat ang lahat sa sukdulang laki nito.
shipping	pagpapadala	Tumaas ang mga gastos sa pagpapadala.
shoot	shoot	Maagang natapos ang photo shoot.
shrink	lumiit	Maaaring lumiit ang damit.
shrug	magkibit-balikat	Nagkibit-balikat lamang siya.
sigh	bumuntong-hininga	Bumuntong-hininga siya nang may ginhawa.
simulate	gayahin	Kaya ng software na i-simulate ang trapiko.
simulation	simulasyon	Hinulaan ng simulasyon ang pagbaha.
simultaneously	nang sabay	Dalawang alarma ang tumunog nang sabay.
sin	kasalanan	Ang pagmamataas ay itinuturing na kasalanan.
situated	matatagpuan	Matatagpuan ang hotel sa gitna ng lungsod.
sketch	dibuho	Gumawa siya ng mabilisang dibuho.
skip	laktawan	Huwag laktawan ang almusal.
slam	ibagsak	Kaya niyang ibagsak ang pinto.
slap	sampalin	Huwag sampalin ang mesa.
slavery	pang-aalipin	Hinubog ng pang-aalipin ang kasaysayan ng rehiyon.
slot	slot	Mag-book ng time slot online.
smash	basagin	Nabasag ang baso sa sahig.
snap	mabali	Nabali ang sanga dahil sa hangin.
soak	ibabad	Ibabad ang mga sitaw magdamag.
soar	tumaas	Maaaring tumaas ang presyo ng petrolyo.
socialist	sosyalista	Sinusuportahan ng partido ang mga patakarang sosyalista.
sole	tanging	Siya ang tanging nakaligtas.
solely	lamang	Ang desisyon ay kanya lamang.
solicitor	abogado	Inihanda ng abogado ang kontrata.
solidarity	pagkakaisa	Nagpahayag ng pagkakaisa ang mga manggagawa.
solo	solo	Naglabas siya ng solo album.
sound	maayos	Ang plano ay maayos at praktikal.
sovereignty	soberanya	Pinrotektahan ng kasunduan ang pambansang soberanya.
spam	spam	Napuno ng spam ang inbox.
span	saklawin	Tumatawid ang tulay sa ilog.
spark	magpasimula	Isang maliit na komento ang nagpasimula ng debate.
specialized	ispesyalisado	Nagbibigay ng ispesyalisadong pangangalaga ang klinika.
specification	espesipikasyon	Nakakatugon ang disenyo sa bawat espesipikasyon.
specimen	ispesimen	Ligtas na itinago ang ispesimen.
spectacle	panoorin	Ang parada ay isang makulay na panoorin.
spectrum	saklaw	Sinasaklaw ng mga opinyon ang malawak na saklaw.
spell	panahon	Tumagal ng ilang linggo ang tagtuyot.
sphere	larangan	Pumasok ang pulitika sa larangan ng kultura.
spin	umikot	Nagsimulang umikot ang mga gulong.
spine	gulugod	Naapektuhan ng pinsala ang kanyang gulugod.
spotlight	spotlight	Inilagay siya ng iskandalo sa spotlight.
spouse	asawa	Dumalo ang kanyang asawa sa seremonya.
spy	espiya	Nagpadala ang espiya ng mga nakakodigong mensahe.
squad	pangkat	Mabilis na dumating ang pangkat ng tagapagligtas.
squeeze	pisilin	Pisilin ang hawakan nang marahan.
stab	saksakin	Inilarawan sa ulat ang isang sugat mula sa saksak.
stability	katatagan	Nagdala ng katatagan ang patakaran.
stabilize	patatagin	Nakatulong ang gamot upang patatagin siya.
stake	interes	May interes ang mga mamumuhunan dito.
standing	katayuan	Tumaas ang kanyang katayuan sa partido.
stark	malinaw	Nagpakita ang mga resulta ng malinaw na pagkakaiba.
statistical	istatistikal	Gumamit ang pag-aaral ng mga istatistikal na pamamaraan.
steer	patnubayan	Sinubukan niyang patnubayan ang debate.
stem	tangkay	Nabali ang tangkay sa bagyo.
stereotype	stereotype	Hinamon ng pelikula ang isang stereotype.
stimulus	pampasigla	Nagbigay ang pakete ng pang-ekonomiyang pampasigla.
stir	haluin	Haluin ang sarsa nang dahan-dahan.
storage	imbakan	Nag-aalok ang pasilidad ng ligtas na imbakan.
straightforward	tuwiran	Naging tuwiran ang mga tagubilin.
strain	tensyon	Nagdulot ng tensyon ang mahabang pagkaantala.
strand	hibla	Isang hibla ng buhok ang nalaglag.
strategic	estratehiko	Gumawa ng estratehikong pamumuhunan ang kumpanya.
strip (long narrow piece)	piraso	Gumupit ng makitid na piraso ng papel.
strip (remove clothes/a layer)	alisin	Alisin nang maingat ang lumang pintura.
strive	magsikap	Nagsisikap sila para sa kahusayan.
structural	istruktural	May istruktural na pinsala ang tulay.
stumble	matisod	Natisod siya sa hagdan.
stun	gulatin	Maaaring gulatin ng balita ang mga tao.
submission	pagsusumite	Lumipas na ang deadline para sa pagsusumite.
subscriber	subscriber	Nakakatanggap ng mga update ang bawat subscriber.
subscription	suskripsyon	Kusang nire-renew ang suskripsyon.
subsidy	subsidiya	Pinababa ng subsidiya ang gastos sa petrolyo.
substantial	malaki	Kailangan ng proyekto ng malaking pondo.
substantially	nang malaki	Tumaas nang malaki ang presyo.
substitute	pamalit	Gumamit ng gatas bilang pamalit.
substitution	pagpapalit	Binago ng pagpapalit ang recipe.
subtle	pino	May mga pinong detalye ang pagpipinta.
suburban	sub-urban	Lumipat sila sa isang sub-urban na lugar.
succession	sunud-sunod	Sumunod ang krisis sa sunud-sunod na pagkabigo.
successive	magkakasunod	Binalewala ng mga magkakasunod na gobyerno ang isyu.
successor	kahalili	Magsisimula ang kahalili sa Lunes.
suck	sipsipin	Kayang sipsipin ng makina ang alikabok.
sue	kasuhan	Nagpasya siyang kasuhan ang kumpanya.
suicide	pagpapakamatay	Ang pag-iwas sa pagpapakamatay ay nangangailangan ng tuloy-tuloy na pondo.
suite	suite	Nakaharap sa ilog ang hotel suite.
summit	summit	Nagkita ang mga pinuno sa summit.
superb	napakagaling	Napakagaling ng pagganap.
superior	mas mahusay	Mas mahusay ang bagong modelo.
supervise	pangasiwaan	Pangangasiwaan niya ang mga trainee.
supervision	pangangasiwa	Kailangan ng mga bata ng pangangasiwa ng matanda.
supervisor	superbisor	Tanungin muna ang iyong superbisor.
supplement	suplemento	Kasama sa ulat ang isang suplemento.
supportive	sumusuporta	Naging sumusuporta ang kanyang pamilya.
supposedly	diumano	Diumano ay nabura ang file.
suppress	sugpuin	Sinubukan ng rehimen na sugpuin ang mga protesta.
supreme	kataas-taasan	Dininig ng kataas-taasang hukuman ang kaso.
surge	pagbugso	Nasira ang mga kagamitan dahil sa biglaang pagbugso.
surgical	surgical	Kailangan ng pasyente ng surgical na paggamot.
surplus	labis	May labis na suplay sa bodega.
surrender	sumuko	Sumang-ayon ang mga sundalo na sumuko.
surveillance	pagmamanman	Na-record ng mga surveillance camera ang pasukan.
suspension	suspensyon	Tumagal ng dalawang linggo ang suspensyon.
suspicion	hinala	Nagtaas ng hinala ang kanyang pag-uugali.
suspicious	kahina-hinala	Mukhang kahina-hinala ang pakete.
sustain	panatilihin	Maaaring panatilihin ng proyekto ang mga lokal na trabaho.
swing	umugoy	Nagsimulang umugoy ang pinto.
sword	espada	Nakasabit ang espada sa dingding.
symbolic	simboliko	Simboliko ang kilos.
syndrome	sindroma	Naapektuhan ng sindroma ang memorya.
synthesis	sintesis	Nag-aalok ang kabanata ng sintesis.
systematic	sistematiko	Sistematiko ang pagsusuri.
tactic	taktika	Mabilis na nabigo ang taktika.
tactical	pantaktika	Gumawa ang koponan ng pagbabagong pantaktika.
taxpayer	nagbabayad ng buwis	Pinondohan ng pera ng nagbabayad ng buwis ang tulay.
tempt	tuksuhin	Maaaring tuksuhin ng alok ang mga mamumuhunan.
tenant	nangungupahan	Maagang nagbayad ng upa ang nangungupahan.
tender	malambing	Nagbigay siya ng malambing na ngiti.
tenure	panunungkulan	Tumagal ng anim na taon ang kanyang panunungkulan.
terminal	terminal	May terminal na sakit ang pasyente.
terminate	wakasan	Maaaring wakasan ng kumpanya ang kontrata.
terrain	lupain	Mahirap ang lupain.
terrific	kamangha-mangha	Kamangha-mangha ang tanawin.
testify	tumestigo	Sumang-ayon siyang tumestigo.
testimony	testimonya	Detalyado ang kanyang testimonya.
texture	pagkakayari	May magaspang na pagkakayari ang tela.
thankfully	salamat	Salamat na lamang, walang nasugatan.
theatrical	teyatrikal	Tunog teyatrikal ang talumpati.
theology	teolohiya	Nag-aral siya ng teolohiya sa unibersidad.
theoretical	teoretikal	Ang modelo ay purong teoretikal.
thereafter	pagkatapos noon	Pagkatapos noon, nagbago ang mga patakaran.
thereby	sa gayon	Binawasan ng pagbabago ang mga gastos, sa gayon nakatipid ng mga trabaho.
thoughtful	maalalahanin	Maalalahanin ang kanyang tugon.
thought-provoking	nakakapukaw ng isipan	Nakakapukaw ng isipan ang artikulo.
thread	sinulid	Madaling naputol ang sinulid.
threshold	hangganan	Tumawid sa hangganan ang boto.
thrilled	natuwa	Natuwa siya nang husto sa balita.
thrive	umunlad	Maaaring umunlad ang mga maliliit na negosyo rito.
tide	kati	Mabilis na tumaas ang kati ng tubig.
tighten	higpitan	Higpitan nang mabuti ang takip.
timber	troso	Gumagamit ang bahay ng lokal na troso.
timely	napapanahon	Napapanahon ang babala.
tobacco	tabako	Bumababa ang benta ng tabako.
tolerance	toleransya	Hinihikayat ng patakaran ang toleransya.
tolerate	kunsintihin	Hindi natin maaaring kunsintihin ang pang-aabuso.
toll	pinsala	Nag-iwan ng matinding pinsala ang bagyo.
top	lampasan	Maaaring lampasan ng benta ang rekord noong nakaraang taon.
torture	labis na pagpapahirap	Mahigpit na ipinagbabawal ng kasunduan ang labis na pagpapahirap.
