source_headword	AZ	example_AZ
moreover	bundan əlavə	Bundan əlavə, plan pula qənaət edir.
mortgage	ipoteka	Onlar ipoteka üçün müraciət etdilər.
mosque	məscid	Məscid bazara yaxındır.
motion	hərəkət	Sensor hərəkəti aşkar edir.
motivate	həvəsləndirmək	Tərif tələbələri həvəsləndirə bilər.
motivation	motivasiya	Onun motivasiyası güclü qaldı.
moving	təsirli	Çıxış təsirli idi.
myth	mif	Mif dağın adını izah edir.
naked	çılpaq	Çimdikdən sonra körpə çılpaq idi.
nasty	pis	Kəsik pis görünürdü.
navigation	naviqasiya	Tətbiq naviqasiyanı yaxşılaşdırır.
nearby	yaxınlıqdakı	Yaxınlıqdakı kafe tez açılır.
necessity	zərurət	Təmiz su zərurətdir.
negotiate	danışıqlar aparmaq	Onlar sabah müqavilə ilə bağlı danışıqlar aparacaqlar.
negotiation	danışıqlar	Danışıqlar bütün səhər davam etdi.
neutral	neytral	Hakim neytral qaldı.
newly	yenicə	Yenicə rənglənmiş qapı parlaq görünürdü.
norm	norma	Məsafədən işləmək norma halına gəldi.
notebook	dəftər	Qeydləri dəftərinizə yazın.
novelist	romançı	Romançı öz kitabını imzaladı.
nowadays	indiki vaxtda	İndiki vaxtda bir çox insan onlayn işləyir.
nursing	tibb bacısı	O, tibb bacısı ixtisası üzrə oxuyur.
nutrition	qidalanma	Yaxşı qidalanma sağlamlığı dəstəkləyir.
obesity	piylənmə	Piylənmə sağlamlıq risklərini artırır.
observer	müşahidəçi	Müşahidəçi nəticələri qeyd etdi.
obstacle	maneə	Yıxılmış ağac maneə idi.
occupation	peşə	Zəhmət olmasa peşənizi bura yazın.
occupy	məskunlaşmaq	Ailə mənzildə məskunlaşacaq.
offender	cinayətkar	Cinayətkar məhkəmədə üzr istədi.
ongoing	davam edən	İstintaq davam edir.
openly	açıq şəkildə	O, qorxuları barədə açıq şəkildə danışdı.
opera	opera	Biz Milanda opera izlədik.
operator	operator	Operator zəngi birləşdirdi.
optimistic	optimist	O, gələcək haqqında optimistdir.
orchestra	orkestr	Orkestr yavaşca ifa etdi.
organic	orqanik	Onlar orqanik tərəvəzlər aldılar.
outfit	geyim	Onun geyimi vəziyyətə uyğun idi.
output	məhsuldarlıq	Maşının məhsuldarlığı artdı.
outstanding	görkəmli	Onun çıxışı görkəmli idi.
overcome	öhdəsindən gəlmək	Onlar problemlərin öhdəsindən birlikdə gəlirlər.
overnight	bir gecədə	Bağlama bir gecədə gəldi.
overseas	xaricdə	O, xaricdə iş tapdı.
ownership	mülkiyyət	Torpaq mülkiyyəti dəyişdi.
oxygen	oksigen	Bitkilər oksigen istehsal edir.
packet	paket	Paketi ehtiyatla açın.
palm	ovuc	Sikkəni ovucunuzda tutun.
panic	panika	Panika izdiham arasında yayıldı.
parade	parad	Parad günorta başladı.
parallel	paralel	Yollar paralel gedir.
participation	iştirak	Dərsdə iştirak yaxşılaşdı.
partnership	tərəfdaşlıq	Tərəfdaşlıq hər iki şirkətə kömək etdi.
part-time	yarımştat	O, yarımştat iş tapdı.
passionate	ehtiraslı	O, musiqiyə qarşı həvəslidir.
password	parol	Güclü parol seçin.
patience	səbr	Gənc uşaqları öyrətmək səbr tələb edir.
pause	dayandırmaq	Videonu indi dayandırın.
peer	həmyaşıd	Həmyaşıdların təzyiqi onun seçiminə təsir etdi.
penalty	cərimə	Oyunçu cərimə aldı.
perceive	qavramaq	İnsanlar riski fərqli qavrayırlar.
perception	qavrayış	Onun təhlükə qavrayışı dəyişdi.
permanently	həmişəlik	Mağaza həmişəlik bağlandı.
pill	həb	Səhər yeməyindən sonra bir həb qəbul edin.
pity	təəssüf	Bu təəssüf vericidir.
placement	yerləşdirmə	Divanın yerləşdirməsi vacibdir.
portion	porsiya	Kiçik porsiya düyü verin.
potentially	potensial olaraq	Bu dəyişiklik potensial olaraq faydalıdır.
precede	əvvəl gəlmək	Qaranlıq buludlar tez-tez yağışdan əvvəl gəlir.
precious	qiymətli	Üzük qiymətlidir.
precise	dəqiq	Təlimatlar dəqiq idi.
precisely	dəqiqliklə	Məsafəni dəqiqliklə ölçün.
predictable	proqnozlaşdırılan	Sonluq proqnozlaşdırılan idi.
preference	üstünlük	O, çaya üstünlük verdiyini bildirdi.
pride	qürur	O, bitirdikdən sonra qürur hiss etdi.
primarily	əsasən	Kurs əsasən onlayndır.
principal	direktor	Direktor yeni tələbələri qarşıladı.
prior	əvvəlcədən	Bizə əvvəlcədən təsdiq lazımdır.
probability	ehtimal	Yağış ehtimalı yüksəkdir.
probable	ehtimal olunan	Bu gecə yağış yağması ehtimal olunur.
proceed	keçmək	Zəhmət olmasa növbəti otağa keçin.
programming	proqramlaşdırma	Proqramlaşdırma təcrübə tələb edir.
progressive	mütərəqqi	Siyasət öz dövrü üçün mütərəqqi idi.
prohibit	qadağan etmək	Qaydalar siqaret çəkməyi qadağan edir.
promising	ümidverici	Nəticələr ümidverici görünür.
promotion	vəzifədə yüksəlmə	O, işdə vəzifədə yüksəldi.
prompt	dərhal	Dərhal cavab vaxta qənaət etdi.
proportion	nisbət	Böyük bir nisbət hə səsini verdi.
protein	zülal	Paxlalıların tərkibində zülal var.
protester	etirazçı	Etirazçı lövhə tutmuşdu.
psychological	psixoloji	Qəza psixoloji stresə səbəb oldu.
publicity	ictimai diqqət	Tədbir ictimai diqqət cəlb etdi.
publishing	nəşriyyat	O, nəşriyyatda işləyir.
punk	pank	Orada pank musiqisi populyarlaşdı.
purely	tamamilə	Seçim tamamilə praktik idi.
pursuit	axtarış	O, ədalət axtarışını davam etdirdi.
puzzle	tapmaca	Tapmaca bir saat çəkdi.
questionnaire	sorğu vərəqəsi	Zəhmət olmasa sorğu vərəqəsini doldurun.
racial	irqi	Hesabatda irqi bərabərsizlik müzakirə edildi.
racism	irqçilik	İrqçilik cəmiyyətlərə zərər verir.
racist	irqçi	Şərh irqçi idi.
radiation	radiasiya	Radiasiya hüceyrələri zədələyə bilər.
rail	məhəccər	Pilləkənlərdəki məhəccərdən tutun.
random	təsadüfi	Kompüter təsadüfi bir rəqəm seçdi.
rat	siçovul	Zibil qutularının arxasına bir siçovul qaçdı.
rating	reytinq	Otelin yüksək reytinqi var.
reasonably	kifayət qədər	Otaq kifayət qədər təmiz idi.
rebuild	yenidən qurmaq	Onlar körpünü yenidən quracaqlar.
receiver	qəbuledici	Qəbuledici topu tutdu.
recession	tənəzzül	Tənəzzül xərcləri azaltdı.
reckon	hesab etmək	Məncə, qatar gecikir.
recognition	tanınma	O, işinə görə tanınma qazandı.
recovery	sağalma	Sağalma bir neçə həftə çəkdi.
recruit	işə götürmək	Şirkət mühəndisləri işə cəlb edəcək.
recruitment	işə qəbul	İşə qəbul gələn bazar ertəsi başlayır.
referee	hakim	Hakim matçı dayandırdı.
refugee	qaçqın	Qaçqın təhlükəsiz ev tapdı.
registration	qeydiyyat	Qeydiyyat cümə günü bağlanır.
regulate	tənzimləmək	Qanun emissiyaları tənzimləyəcək.
reinforce	möhkəmləndirmək	Əlavə tirlər damı möhkəmləndirir.
relieve	yüngülləşdirmək	Dərman ağrını yüngülləşdirə bilər.
relieved	yüngülləşmiş	O, zəngdən sonra yüngülləşdi.
remarkable	diqqətəlayiq	Sağalma diqqətəlayiq idi.
remarkably	heyrətamiz dərəcədə	O, heyrətamiz dərəcədə tez sağaldı.
reporting	hesabat vermə	Dəqiq hesabat vacibdir.
resign	istefa vermək	Menecer sabah istefa verəcək.
resolution	icazə	Ekranın yüksək icazəsi var.
restore	bərpa etmək	İşçilər köhnə rəsmi bərpa edirlər.
restrict	məhdudlaşdırmaq	Qaydalar parklamağı məhdudlaşdırır.
restriction	məhdudiyyət	Məhdudiyyət sabah başa çatır.
retail	pərakəndə satış	Pərakəndə satış artdı.
retirement	təqaüd	O, təqaüdünü diqqətlə planlaşdırdı.
revenue	gəlir	Bilet gəliri təmir xərclərini ödədi.
revision	təkrar	İmtahandan əvvəl təkrar kömək etdi.
ridiculous	gülünc	Qiymət gülünc idi.
risky	riskli	Plan riskli görünürdü.
rival	rəqib	Rəqibimiz yeni bir mağaza açdı.
rob	soymaq	Kişilər bankı soymağa çalışdılar.
robbery	soyğunçuluq	Soyğunçuluq gecə baş verdi.
rocket	raket	Raket uğurla buraxıldı.
romance	romantika	Romana romantika daxildir.
rose	qızılgül	Hasarın yanında qırmızı qızılgül bitirdi.
roughly	təxminən	Təxminən iyirmi nəfər iştirak etdi.
ruin	korlamaq	Yağış pikniki korlaya bilər.
satisfaction	məmnuniyyət	Müştəri məmnuniyyəti yaxşılaşdı.
scandal	qalmaqal	Qalmaqal onun karyerasına zərər vurdu.
scare	qorxutmaq	Uca səs məni qorxutdu.
scenario	ssenari	Ən pis ssenari ehtimal olunmur.
scholar	alim	Alim qədim mətnləri öyrəndi.
scholarship	təqaüd	O, təqaüd qazandı.
scratch	cırmaq	Pişik cızıq qoydu.
screening	müayinə	Xəstəxana xərçəng müayinəsi təklif edir.
seeker	axtaran	İş axtaran şəxs ərizə göndərdi.
seminar	seminar	Seminar saat doqquzda başlayır.
settler	məskunlaşan	Məskunlaşan şəxs kiçik bir ferma tikdi.
severely	ciddi şəkildə	Fırtına yollara ciddi ziyan vurdu.
sexy	cəlbedici	Paltar cəlbedici sayılırdı.
shocking	şokedici	Xəbər şokedici idi.
shore	sahil	Biz sahil boyu gəzdik.
shortage	qıtlıq	Şəhər su qıtlığı ilə üzləşdi.
shortly	tezliklə	Avtobus günortadan az sonra gəldi.
short-term	qısamüddətli	Planın qısamüddətli faydaları var.
sibling	baci-qardaş	Hər bacı-qardaş bir hədiyyə aldı.
signature	imza	Zəhmət olmasa imzanızı əlavə edin.
significance	əhəmiyyət	Kəşfin böyük əhəmiyyəti var.
skilled	bacarıqlı	Bacarıqlı işçilər damı təmir etdilər.
slogan	şüar	Kampaniya sadə bir şüar istifadə etdi.
so-called	qondarma	Qondarma ekspert səhvlər etdi.
somehow	necəsə	Necəsə, açarlar yoxa çıxdı.
sometime	nə vaxtsa	Gələn həftə nə vaxtsa bizə gəlin.
sophisticated	mürəkkəb	Proqram təminatı mürəkkəbdir.
spare	ehtiyat	Biz ehtiyat açar saxlayırıq.
specialize	ixtisaslaşmaq	Həkimlər fərqli sahələrdə ixtisaslaşırlar.
specify	dəqiqləşdirmək	Zəhmət olmasa gəliş vaxtınızı dəqiqləşdirin.
spectacular	möhtəşəm	Atəşfəşanlıq möhtəşəm idi.
spectator	tamaşaçı	Hər bir tamaşaçı bir proqram aldı.
speculate	fərziyyə yürütmək	Mütəxəssislər səbəb barədə fərziyyə yürüdürlər.
speculation	fərziyyə	Məqalə fərziyyələri təşviq etdi.
spice	ədviyyat	Hər dəfə bir ədviyyat əlavə edin.
spill	dağıtmaq	Şirəni dağıtmayın.
spite	baxmayaraq	Problemlərə baxmayaraq o, uğur qazandı.
spoil	korlamaq	Həddindən artıq duz şorbanı korlaya bilər.
spokesman	sözçü	Sözçü suallara cavab verdi.
spokesperson	nümayəndə	Nümayəndə bir bəyanat oxudu.
spokeswoman	sözçü	Sözçü mətbuata müraciət etdi.
sponsorship	sponsorluq	Komandanın sponsorluğa ehtiyacı var.
sporting	idman	Şəhər idman tədbirlərinə ev sahibliyi edir.
stall	köşk	Bazar köşkü meyvə satır.
stance	mövqe	Nazir mövqeyini dəyişdi.
starve	acından ölmək	Qida olmadan heyvanlar acından ölə bilər.
steadily	sabit şəkildə	Şirkət sabit şəkildə böyüdü.
steam	buxar	Şorbadan buxar qalxdı.
stimulate	stimullaşdırmaq	Parlaq rənglər marağı stimullaşdıra bilər.
