source_headword	LV	example_LV
live2	dzīvajā	Grupa vakar vakarā spēlēja dzīvajā.
living	dzīvs	Dzīviem augiem vajag gaismu.
locate	atrast	Vai vari atrast failu?
located	atrodas	Birojs atrodas centrā.
location	atrašanās vieta	Šī ir laba atrašanās vieta.
lonely	vientuļš	Pēc pārcelšanās viņš jutās vientuļš.
loss	zaudējums	Zaudējums visiem bija smags.
luxury	greznība	Viesnīca piedāvā īstu greznību.
mad	dusmīgs	Viņa bija dusmīga par kavēšanos.
magic	maģija	Izrāde bija pilna maģijas.
mainly	galvenokārt	Grupa galvenokārt ir studenti.
mall	tirdzniecības centrs	Mēs satikāmies tirdzniecības centrā.
management	vadība	Laba vadība ietaupa laiku.
marketing	mārketings	Mārketings palīdz pārdot produktu.
marriage	laulība	Viņu laulība ilga trīsdesmit gadus.
meanwhile	tikmēr	Tikmēr es pagatavoju vakariņas.
measure	izmērīt	Uzmanīgi izmēri galdu.
medium	vidējs	Pasūtīju vidēju picu.
mental	garīgs	Stress ietekmē garīgo veselību.
mess	nekārtība	Sakop šo nekārtību.
mild	maigs	Zupai ir maiga garša.
mine (hole in the ground)	raktuves	Raktuves tika slēgtas pagājušajā gadā.
mix	sajaukt	Sajauc olas ar pienu.
mixture	maisījums	Maisījums kļuva biezs.
mood	noskaņojums	Mūzika mainīja viņas noskaņojumu.
mud	dubļi	Viņa kurpes bija klātas ar dubļiem.
murder	slepkavība	Slepkavība notika naktī.
muscle	muskulis	Vingrinājumi veido muskuļus.
mystery	noslēpums	Vecā māja ir noslēpums.
nail	nags	Es nolauzu nagu.
narrative	stāstījums	Romānam ir skaidrs stāstījums.
nation	nācija	Visa nācija svinēja.
native	dzimtā	Spāņu valoda ir viņas dzimtā valoda.
naturally	dabiski	Bērni dabiski mācās spēlējoties.
necessarily	obligāti	Dārgs ēdiens ne vienmēr ir labāks.
needle	adata	Adata ir ļoti asa.
neighbourhood	apkārtne	Viņi dzīvo klusā apkārtnē.
net	tīkls	Zvejnieks salaboja savu tīklu.
nor	nedz	Viņš nedz pasmaidīja, nedz runāja.
northern	ziemeļu	Viņi apmeklēja ziemeļu piekrasti.
nuclear	kodolenerģijas	Debate bija par kodolenerģiju.
obvious	acīmredzams	Atbilde bija acīmredzama.
obviously	acīmredzami	Acīmredzami mums vajag vairāk laika.
occasion	gadījums	Šis ir īpašs gadījums.
occur	notikt	Negadījumi var notikt jebkur.
odd	dīvains	Tas bija dīvains jautājums.
official	oficiāls	Oficiālais rezultāts ieradās šodien.
old-fashioned	vecmodīgs	Viņas tālrunis izskatās vecmodīgs.
operation	operācija	Operācija ilga divas stundas.
organized	organizēts	Viņas galds ir ļoti organizēts.
organizer	organizators	Organizators sagaidīja viesus.
originally	sākotnēji	Viņa sākotnēji nāca no Kanādas.
ought modal	vajadzētu	Tev vajadzētu atpūsties.
ours	mūsu	Šis galds ir mūsu.
outdoor	āra	Mēs nopirkām āra mēbeles.
outdoors	ārā	Bērniem vajadzētu spēlēties ārā.
package	paka	Paka ieradās šorīt.
painful	sāpīgs	Grieziens bija sāpīgs.
pale	bāls	Viņa seja izskatījās bāla.
pan	panna	Vispirms uzkarsē pannu.
participate	piedalīties	Ikviens var piedalīties.
particularly	īpaši	Man īpaši patīk šī dziesma.
passion	kaislība	Mūzika ir viņas kaislība.
path	taka	Seko takai caur parku.
payment	maksājums	Maksājums jāveic rīt.
peaceful	mierīgs	Dārzs ir mierīgs.
percentage	procents	Neliels procents piekrita.
perfectly	perfekti	Plāns nostrādāja perfekti.
performance	sniegums	Viņas sniegums bija lielisks.
personally	personīgi	Es personīgi dodu priekšroku tējai.
persuade	pārliecināt	Vai vari viņu pārliecināt pievienoties?
photographer	fotogrāfs	Fotogrāfs uzņēma daudz attēlu.
photography	fotogrāfija	Fotogrāfija ir viņa mīļākais hobijs.
pin	piespraude	Uzliec piespraudi uz kartes.
pipe	caurule	Caurule pārvada ūdeni.
planning	plānošana	Plānošana prasa laiku.
pleasant	patīkams	Mums bija patīkams vakars.
pleasure	prieks	Bija prieks ar tevi iepazīties.
plenty	pietiekami	Mums ir pietiekami daudz laika.
plot	sižets	Sižetam bija viegli sekot.
plus1	pluss	Divi plus trīs ir pieci.
poem	dzejolis	Viņa uzrakstīja īsu dzejoli.
poet	dzejnieks	Dzejnieks lasīja skaļi.
poetry	dzeja	Viņam patīk mūsdienu dzeja.
poison	inde	Turi indi tālāk no bērniem.
poisonous	indīgs	Dažas sēnes ir indīgas.
policy	politika	Uzņēmums mainīja savu politiku.
political	politisks	Runa bija politiska.
politician	politiķis	Politiķis atbildēja uz jautājumiem.
politics	politika	Politika var būt sarežģīta.
port	osta	Kuģis ienāca ostā.
portrait	portrets	Portrets karājas gaitenī.
possibly	iespējams	Viņa, iespējams, ieradīsies vēlu.
pot	pods	Augam vajag lielāku podu.
pour	liet	Lēnām lej pienu.
poverty	nabadzība	Daudzas ģimenes dzīvo nabadzībā.
powder	pulveris	Pievieno pulveri ūdenim.
powerful	spēcīgs	Dzinējs ir spēcīgs.
practical	praktisks	Šis ir praktisks risinājums.
pray	lūgties	Viņi lūdzas katru rītu.
prayer	lūgšana	Viņa klusi noskaitīja lūgšanu.
prediction	prognoze	Viņa prognoze bija pareiza.
prepared	sagatavots	Esmu sagatavots eksāmenam.
presentation	prezentācija	Viņas prezentācija bija skaidra.
press	nospiest	Nospied pogu vienu reizi.
pressure	spiediens	Spiediens var ietekmēt tavu veselību.
pretend	izlikties	Neizliecies, ka guli.
previous	iepriekšējais	Iepriekšējā nodarbība bija vieglāka.
previously	iepriekš	Iepriekš dzīvojām Romā.
priest	priesteris	Priesteris runāja klusi.
primary	galvenais	Veselība ir mūsu galvenā rūpe.
prince	princis	Princis apmeklēja skolu.
princess	princese	Princese valkāja zilu kleitu.
printing	drukāšana	Ziņojuma drukāšana aizņēma dažas minūtes.
prisoner	ieslodzītais	Ieslodzītais aizbēga naktī.
private	privāts	Šī ir privāta saruna.
producer	producents	Producentam filma patika.
production	ražošana	Ražošana sākas nākamnedēļ.
profession	profesija	Mācīšana ir cienījama profesija.
profit	peļņa	Veikals guva peļņu.
promote	veicināt	Viņi veicina veselīgu ēšanu.
proper	piemērots	Pārgājienam valkā piemērotus apavus.
properly	pareizi	Pareizi aizver durvis.
property	īpašums	Viņi nopirka īpašumu pie upes.
protest	protests	Protests beidzās mierīgi.
proud	lepns	Viņa jutās lepna par savu dēlu.
prove	pierādīt	Vai vari pierādīt savu atbildi?
punish	sodīt	Skolotājs viņu nesodīja.
punishment	sods	Sods šķita taisnīgs.
qualification	kvalifikācija	Šim darbam vajag kvalifikāciju.
qualified	kvalificēts	Viņa ir kvalificēta medmāsa.
qualify	kvalificēties	Mūsu komanda var kvalificēties.
queue	rinda	Mēs gaidījām garā rindā.
quit	atmest	Viņš nolēma atmest smēķēšanu.
quotation	citāts	Eseja sākas ar citātu.
quote	citēt	Vai drīkstu citēt tavus vārdus?
race (people)	rase	Veidlapā jautā par rasi.
racing	sacīkstes	Zirgu sacīkstes tur ir populāras.
range	klāsts	Veikals pārdod plašu klāstu.
rare	rets	Šis putns ir rets.
rarely	reti	Mēs reti ēdam ārpus mājas.
reaction	reakcija	Viņas reakcija mani pārsteidza.
reality	realitāte	Realitāte atšķīrās no viņa sapņa.
receipt	čeks	Saglabā čeku.
recommendation	ieteikums	Paldies par ieteikumu.
reference	atsauce	Pievieno atsauci beigās.
reflect	atspoguļot	Spogulis var atspoguļot gaismu.
regularly	regulāri	Viņa regulāri vingro.
reject	noraidīt	Viņi var noraidīt piedāvājumu.
relate	attiekties	Es varu sevi atpazīt šajā stāstā.
related	saistīts	Abas problēmas ir saistītas.
relation	saistība	Starp tām ir saistība.
relative	relatīvs	Ātrums ir relatīvs.
relaxed	atslābinājies	Pēc vakariņām viņš jutās atslābinājies.
relaxing	relaksējošs	Mūzika bija relaksējoša.
release	izlaist	Viņi drīz izlaidīs filmu.
reliable	uzticams	Šis autobuss parasti ir uzticams.
religion	reliģija	Reliģija viņai ir svarīga.
religious	reliģisks	Viņi apmeklēja reliģisku ēku.
remain	palikt	Lūdzu, paliec mierīgs.
remind	atgādināt	Atgādini man rīt.
remote	attāls	Viņi dzīvo attālā ciemā.
rent	īre	Īre jāmaksā šodien.
repeated	atkārtots	Atkārtotas kļūdas palēnināja darbu.
represent	pārstāvēt	Zvaigzne pārstāv cerību.
require	prasīt	Šis darbs prasīs apmācību.
reservation	rezervācija	Es veicu rezervāciju.
resource	resurss	Bibliotēka ir noderīgs resurss.
respect	cienīt	Cieni savus klasesbiedrus.
responsibility	atbildība	Bērnu aprūpe ir liela atbildība.
responsible	atbildīgs	Viņa ir atbildīga par biļetēm.
retire	doties pensijā	Mans tēvs drīz dosies pensijā.
retired	pensionēts	Viņš ir pensionēts skolotājs.
revise	pārskatīt	Šovakar pārskati savu eseju.
risk	risks	Pastāv lietus risks.
robot	robots	Robots iztīrīja grīdu.
roll	ripināt	Ripini bumbu pie manis.
romantic	romantisks	Viņiem bija romantiskas vakariņas.
rope	virve	Cieši sasien virvi.
rough	nelīdzens	Ceļš bija nelīdzens.
row1	rinda	Sēdi pirmajā rindā.
royal	karalisks	Karaliskā ģimene ieradās.
rugby	regbijs	Mēs skatījāmies regbiju televīzijā.
safety	drošība	Drošība darbā ir svarīga.
sailor	jūrnieks	Jūrnieks salaboja laivu.
sample	paraugs	Medmāsa paņēma asins paraugu.
sand	smiltis	Smiltis pārklāja manas kurpes.
scan	skenēt	Vispirms skenē dokumentu.
scientific	zinātnisks	Šī ir zinātniska metode.
script	scenārijs	Aktieris izlasīja scenāriju.
sculpture	skulptūra	Skulptūra stāv ārā.
secondary	sekundārs	Šī ir sekundāra problēma.
security	apsardze	Apsardze pārbaudīja mūsu somas.
seed	sēkla	Iestādi sēklu augsnē.
sensible	saprātīgs	Tā ir saprātīga ideja.
seriously	nopietni	Uztver šo problēmu nopietni.
servant	kalps	Kalps atvēra durvis.
set (put)	nolikt	Noliec glāzi uz galda.
set (group)	komplekts	Šajā komplektā ir sešas krūzes.
setting	vide	Stāstam ir pilsētas vide.
sex	dzimums	Veidlapā jautā vecumu un dzimumu.
sexual	seksuāls	Klase apsprieda seksuālo veselību.
sharp	ass	Šis nazis ir ass.
shelf	plaukts	Noliec grāmatu uz plaukta.
shell	čaula	Čaula bija tukša.
shift	maiņa	Mana maiņa sākas astoņos.
shine	spīdēt	Zvaigznes spīd naktī.
shiny	spīdīgs	Viņas kurpes ir spīdīgas.
shoot	fotografēt	Fotogrāfs fotografēs ainu.
shy	kautrīgs	Viņš ir kautrīgs ar svešiniekiem.
sight	skats	Kalns bija skaists skats.
signal	signāls	Signāls bija vājš.
silent	kluss	Istaba kļuva klusa.
silly	muļķīgs	Tā bija muļķīga kļūda.
similarity	līdzība	Ir skaidra līdzība.
similarly	līdzīgi	Otrais plāns darbojas līdzīgi.
simply	vienkārši	Vienkārši nospied šo pogu.
sink	grimt	Smagi akmeņi ātri grimst.
slice	šķēle	Es apēdu kūkas šķēli.
slightly	nedaudz	Istaba ir nedaudz siltāka.
smart	elegants	Viņa valkāja elegantu jaku.
smooth	gluds	Ceļš ir gluds.
software	programmatūra	Programmatūrai vajag atjauninājumu.
soil	augsne	Augsne ir sausa.
solid	ciets	Siena ir cieta.
southern	dienvidu	Viņi dzīvo dienvidu piekrastē.
specifically	konkrēti	Es konkrēti lūdzu tēju.
spending	tēriņi	Valdības tēriņi pieauga.
spicy	ass	Šis karijs ir ass.
spirit	gars	Komanda parādīja lielisku garu.
spoken	runāts	Runātā angļu valoda uzlabojas ar praksi.
spot	vieta	Šī vieta ir ideāla.
spread	smērēt	Uzsmērē sviestu uz maizes.
stadium	stadions	Stadions bija pilns.
staff	personāls	Personāls bija izpalīdzīgs.
standard	standarts	Standarts bija augsts.
statistic	statistika	Šī statistika ir pārsteidzoša.
statue	statuja	Statuja stāv laukumā.
stick (push into/attach)	pielīmēt	Pielīmē etiķeti pie kastes.
stick (piece of wood)	nūja	Viņš pacēla nūju.
