simplified	NO	example_NO
导致	føre til; forårsake	Det kraftige regnet forårsaket trafikkork.
岛屿	en ø	Dette landet har mange øyer.
到达	ankomme	Toget ankom Shanghai i tide.
道德	moral	Man bør ha moralske prinsipper.
道理	en grunn; mening	Det han sa gir mye mening.
登记	registrere seg	Registrer deg først i resepsjonen.
等待	vente på	Vi venter på resultatet.
等于	være lik	Fem pluss fem er lik ti.
滴	en dråpe; dryppe	En vanndråpe falt på bordet.
敌人	en fiende	De er ikke fiender.
的确	virkelig; faktisk	Denne saken er virkelig viktig.
地道	ekte; autentisk	Han snakker ekte Beijing-dialekt.
地理	geografi	Jeg er veldig interessert i Kinas geografi.
地区	en region	Denne regionen er veldig kald om vinteren.
地毯	et teppe	Det ligger et teppe i stuen.
地位	status; posisjon	Utdanning har en viktig plass i samfunnet.
地震	et jordskjelv	Det skjedde et jordskjelv her i går kveld.
递	rekke over; gi videre	Gi dette brevet til læreren.
点心	en smårett; snacks	Vi spiste snacks om ettermiddagen.
电池	et batteri	Denne leken trenger to batterier.
电台	en radiostasjon	Han lager program på en radiostasjon.
钓	fiske	Farfar liker å fiske ved elven.
顶	telleord for hatter	Han har på seg en svart hatt.
冻	fryse	Det er så kaldt ute at vannet har frosset.
动画片	en tegnefilm	Barna ser på tegnefilm.
洞	et hull	Det er et lite hull i veggen.
豆腐	tofu	Denne tofuretten er god.
逗	erte; more	Ordene hans fikk alle til å le.
独立	selvstendig	Hun vil leve selvstendig.
独特	unik	Denne byen har en unik kultur.
度过	tilbringe	Vi tilbrakte ferien ved sjøen.
断	gå av; brekke	Dette tauet røk.
堆	en haug; stable	Det ligger mange dokumenter i en haug på bordet.
兑换	veksle	Jeg vil veksle litt renminbi.
对比	sammenligne	Sammenlign disse to planene.
对待	behandle	Vi bør behandle alle rettferdig.
对方	den andre parten	Lytt først til den andre partens mening.
对手	en motstander	Motstanderen hans er veldig sterk.
对象	et objekt; mål	Undersøkelsesobjektene er universitetsstudenter.
吨	et tonn	Denne lastebilen kan frakte tre tonn varer.
蹲	sitte på huk	Han sitter på huk på bakken og leter etter nøklene sine.
顿	et måltid; en pause	Vi spiste middag sammen.
多亏	takket være; heldigvis	Takket være hjelpen din fullførte jeg oppgaven.
多余	overflødig; unødvendig	Denne setningen er unødvendig.
朵	telleord for blomster	Det står en blomst på bordet.
躲藏	gjemme seg	Kattungen gjemmer seg under sengen.
恶劣	dårlig; svært dårlig	Været er svært dårlig i dag.
耳环	en ørering	Hun har på seg et par øreringer.
发表	offentliggjøre; uttrykke	Han ga uttrykk for meningen sin på møtet.
发愁	bekymre seg	Ikke bekymre deg for denne lille saken.
发达	utviklet; velutviklet	Transporten i denne byen er godt utviklet.
发抖	skjelve	Han skjelver hele tiden av kulde.
发挥	bruke; få fram	Bruk fantasien deres.
发明	en oppfinnelse; finne opp	Den elektriske lampen er en viktig oppfinnelse.
发票	en faktura; kvittering	Skriv ut en faktura til meg.
发言	holde innlegg; uttale seg	Han tok ordet på møtet.
罚款	en bot; bøtelegge	Ulovlig parkering gir bot.
法院	en domstol; retten	Denne saken ble overlatt til retten.
翻	bla; snu	Bla til side ti i boken.
繁荣	blomstrende; velstående	Økonomien blomstrer gradvis opp.
反而	tvert imot; i stedet	Han ble ikke sint, men lo i stedet.
反复	gjentatte ganger	Denne setningen må øves på gjentatte ganger.
反应	en reaksjon; reagere	Han reagerer raskt.
反映	gjenspeile; reflektere	Denne rapporten gjenspeiler den faktiske situasjonen.
反正	uansett	Jeg har uansett tid i morgen.
范围	et omfang; en grense	Ikke gå utenfor dette omfanget.
方	firkantet; kvadrat	Tegn en firkant på papiret.
方案	en plan; et forslag	Denne planen er ganske fornuftig.
方式	en måte; stil	Denne måten å studere på er veldig effektiv.
妨碍	hindre; forstyrre	Ikke forstyrr andre mens de arbeider.
仿佛	virke som; som om	Han virker som om han vet alt.
非	ikke-; måtte	Denne saken kan ikke gjøres uten deg.
肥皂	en såpe	Bruk såpe når du vasker hendene.
废话	tull; tomt snakk	Slutt med tullet og kom i gang.
分别	skilles; skille mellom	De skiltes på stasjonen.
分布	være fordelt; fordele	Disse butikkene er fordelt over hele byen.
分配	fordele; tildele	Læreren delte ut en ny oppgave.
分手	slå opp; gå fra hverandre	De slo opp i fjor.
分析	analysere; en analyse	Vi må analysere årsakene.
纷纷	den ene etter den andre	Alle uttrykte enighet etter tur.
奋斗	kjempe; streve	Unge mennesker bør kjempe for drømmene sine.
疯狂	gal; vilt	Tilhengerne jublet vilt.
风格	en stil	Denne restauranten har en veldig særegen stil.
风景	utsikt; landskap	Utsikten fra fjellet er vakker.
风俗	en skikk	Hvert sted har sine egne skikker.
风险	en risiko	Investering innebærer en viss risiko.
讽刺	satirisere; ironi	Denne artikkelen gjorde narr av samfunnsproblemer.
否定	benekte; avvise	Han avviste denne påstanden.
否认	benekte	Han benektet at han hadde gjort en feil.
幅	telleord for bilder; bredde	Det henger et bilde på veggen.
扶	støtte; hjelpe opp	Hjelp den eldre personen over veien.
服装	klær; bekledning	Denne butikken selger barneklær.
辅导	veilede; gi undervisningshjelp	Læreren veileder elever etter timen.
复制	kopiere	Kopier dette dokumentet.
妇女	kvinner	Dette sykehuset tilbyr tjenester for kvinner.
改革	en reform; reformere	Skolen gjennomfører en undervisningsreform.
改进	forbedre	Vi må forbedre kvaliteten på tjenesten.
改善	forbedre	Trening kan forbedre søvnen.
改正	rette; korrigere	Rett feilene i tide.
概括	oppsummere	Oppsummer innholdet i artikkelen.
概念	et begrep; en idé	Dette begrepet er ikke så lett å forstå.
盖	et lokk; dekke til	Dekk koppen ordentlig til.
干脆	rett og slett; like godt	Du kan like godt la være å dra i dag.
干燥	tørr	Vinteren i nord er veldig tørr.
感激	takknemlig	Jeg er veldig takknemlig for hjelpen din.
感受	en følelse; opplevelse	Jeg kan forstå følelsene dine.
感想	en tanke; et inntrykk	Fortell litt om tankene dine.
赶紧	skynde seg	Det begynner å bli sent, så skynd deg av gårde.
赶快	raskt; med en gang	Lukk døren med en gang.
干活儿	arbeide; jobbe praktisk	Han arbeider ute i gården.
钢铁	stål	Denne broen er laget av stål.
高档	høy kvalitet; eksklusiv	Dette er et eksklusivt hotell.
高级	avansert; høyt nivå	Hun deltok i en avansert kinesiskklasse.
搞	gjøre; arrangere	Hva slags arrangement holder du på med?
告别	ta farvel med	Vi tok farvel med vennen vår på flyplassen.
格外	særlig; spesielt	Himmelen er spesielt blå i dag.
隔壁	ved siden av; nabo	Det bor en lærer ved siden av.
个别	enkelte; individuell	Enkelte elever har ennå ikke levert leksene.
个人	personlig; individ	Dette er mitt personlige syn.
个性	en personlighet	Hun har mye personlighet.
各自	hver sin; hver for seg	Alle fullfører sin egen oppgave.
根	en rot; telleord for lange tynne ting	Det ligger en ledning under bordet.
根本	grunnleggende; slett	Denne oppgaven er slett ikke vanskelig.
公布	kunngjøre	Skolen kunngjorde eksamensresultatene.
公开	offentlig	Dette møtet er offentlig.
公平	rettferdig	Konkurransen bør være rettferdig.
公寓	en leilighet	Hun leide en liten leilighet.
公元	e.Kr.; vår tidsregning	I år er det 2026 e.Kr.
公主	en prinsesse	Den lille jenta liker prinsessefortellinger.
功能	en funksjon	Denne programvaren har mange funksjoner.
工厂	en fabrikk	Denne fabrikken produserer biler.
工程师	en ingeniør	Storebroren min er ingeniør.
工具	et verktøy	Å reparere en sykkel krever verktøy.
工人	en arbeider	Arbeiderne reparerer veien.
工业	industri	Denne byen er hovedsakelig basert på industri.
恭喜	gratulerer	Gratulerer med å ha bestått eksamen.
贡献	et bidrag; bidra	Han ga et bidrag til selskapet.
沟通	kommunikasjon; kommunisere	God kommunikasjon er veldig viktig.
构成	utgjøre; danne	Disse delene danner en helhet.
姑姑	tante på farssiden	Jeg skal besøke tanten min i helgen.
姑娘	en ung kvinne; jente	Den unge kvinnen er veldig hjelpsom.
古代	antikken; gamle tider	I gamle tider fantes det ikke mobiltelefoner.
古典	klassisk	Jeg liker klassisk musikk.
股票	aksjer	Han kjøpte noen aksjer.
骨头	et bein	Dette beinet er veldig hardt.
鼓舞	oppmuntrende	Denne nyheten er veldig oppmuntrende.
鼓掌	klappe; applaudere	Publikum applauderte skuespillerne.
固定	fast; regelmessig	Jeg har faste arbeidstider.
挂号	registrere seg; sende rekommandert	Du må registrere deg før du går til legen.
乖	snill; lydig	Dette barnet er veldig snilt.
拐弯	svinge	Ta til høyre i krysset foran.
怪不得	ikke rart	Ikke rart du er så sliten.
关闭	lukke; slå av	Slå av datamaskinen før du går.
官	en offentlig tjenesteperson	Han er en ung offentlig tjenesteperson.
观察	observere	Legen observerer pasientens tilstand.
观点	et synspunkt	Jeg er enig i synspunktet ditt.
观念	en oppfatning; idé	Unge menneskers oppfatninger er i endring.
管子	et rør	Dette røret lekker vann.
冠军	en mester; vinner	Hun vant mesterskapet i konkurransen.
光滑	glatt	Overflaten på dette bordet er veldig glatt.
光临	komme på besøk; avlegge et besøk	Velkommen tilbake neste gang.
光明	lys; lovende	Fremtiden er lys.
光盘	en CD; en plate	Lagre materialet på platen.
广场	en plass	Det er mange mennesker på plassen.
广大	et stort antall; bred	Denne nyheten ble godt mottatt av et stort antall studenter.
广泛	omfattende; vid	Denne boken har stor innflytelse.
归纳	oppsummere	Læreren hjalp oss med å oppsummere hovedpunktene.
规矩	en regel; skikk	Barn bør forstå reglene.
规律	regelmessighet; mønster	Livet bør ha en fast rytme.
规模	omfang; skala	Dette selskapet er stort i omfang.
规则	en regel	Konkurransereglene er veldig klare.
柜台	en disk	Betal ved disken.
滚	koke; rulle	Vannet koker allerede.
锅	en gryte; en kjele	Det er varm suppe i gryten.
国庆节	nasjonaldag	Vi har fri på nasjonaldagen.
国王	en konge	Kongen bor i palasset.
果然	som ventet; ganske riktig	Han kom presis, som ventet.
果实	frukt; resultat	Treet er fullt av frukt.
过分	overdreven	Kravet hans er litt overdrevent.
过敏	være allergisk; allergi	Jeg er allergisk mot pollen.
过期	gå ut på dato	Denne flasken med melk har gått ut på dato.
哈	ha; et lite latterutbrudd	Ha, nå forstår jeg endelig.
海关	toll	Vi sto i kø for kontroll i tollen.
海鲜	sjømat	Sjømaten på denne restauranten er veldig fersk.
喊	rope	Ikke rop høyt i klasserommet.
行业	en bransje	Turistbransjen utvikler seg raskt.
豪华	luksuriøs	De bor på et luksuriøst hotell.
好客	gjestfri	Lokalbefolkningen er veldig gjestfri.
好奇	nysgjerrig	Barn er veldig nysgjerrige på verden.
何必	hvorfor skulle; det er ingen grunn til	Hvorfor bli sint over en liten sak?
何况	for ikke å snakke om	Det er kaldt i dag, for ikke å snakke om at det regner.
合法	lovlig	Denne kontrakten er lovlig.
合理	rimelig; fornuftig	Denne prisen er rimelig.
合同	en kontrakt	De signerte en kontrakt.
合影	et gruppebilde	Vi tok et gruppebilde da vi ble uteksaminert.
合作	samarbeide	Vi fullførte prosjektet gjennom samarbeid.
和平	fred	Alle håper på fred.
核心	en kjerne	Tillit er kjernen i samarbeid.
恨	angre; hate	Han angrer på at han ikke jobbet hardere tidligere.
猴子	en ape	Det er flere aper i dyrehagen.
后背	rygg	Ryggen hans gjør litt vondt.
后果	en konsekvens	Du må tenke på konsekvensene.
呼吸	puste	Trekk pusten dypt.
忽然	plutselig	Himmelen ble plutselig mørk.
忽视	ignorere; overse	Ikke overse dette problemet.
壶	en kanne	Det står en kanne te på bordet.
糊涂	forvirret	Jeg er litt forvirret i dag.
胡说	snakke tull	Ikke snakk tull, dette er ikke sant.
胡同	en hutong; et smug	Beijing har mange gamle hutonger.
蝴蝶	en sommerfugl	Det er en sommerfugl i hagen.
花生	peanøtter	Han liker å spise peanøtter.
华裔	person av kinesisk opprinnelse	Hun er en forfatter av kinesisk opprinnelse.
滑	glatt; skli	Gulvet er glatt, så vær forsiktig.
划	ro; padle	Han har ansvar for å ro båten.
化学	kjemi	Hun studerte kjemi på universitetet.
话题	et tema	Dette temaet er veldig interessant.
怀念	savne	Jeg savner universitetslivet veldig.
怀孕	være gravid	Hun er tre måneder gravid.
缓解	lindre; dempe	Hvile kan lindre stress.
幻想	fantasere; en fantasi	Han fantaserer ofte om å reise til verdensrommet.
慌张	få panikk; forvirret	Ikke få panikk når du møter et problem.
黄金	gull	Gullprisen har steget igjen.
恢复	komme seg; gjenopprette	Kroppen hans er i ferd med å komme seg.
挥	vinke	Hun vinket med hånden.
灰	aske; grå	Himmelen er grå.
灰尘	støv	Det er mye støv på bordet.
灰心	miste motet	Ikke mist motet selv om du mislykkes.
汇率	en valutakurs	Hva er valutakursen i dag?
婚礼	et bryllup	Bryllupet deres var veldig enkelt.
婚姻	ekteskap	Ekteskap krever gjensidig forståelse.
活跃	aktiv	Han er veldig aktiv i timen.
伙伴	en partner; kamerat	Han er min beste kamerat.
火柴	en fyrstikk	Det er bare én fyrstikk igjen i esken.
或许	kanskje	Kanskje det regner i morgen.
基本	grunnleggende	Dette er grunnleggende krav.
机器	en maskin	Denne maskinen er ødelagt.
激烈	intens; hard	Konkurransen var veldig intens.
肌肉	en muskel	Musklene mine er litt ømme etter trening.
及格	bestå en prøve	Han besto denne eksamenen.
急忙	i all hast	Han løp ut av klasserommet i all hast.
急诊	akuttmottak	Pasienten ble sendt til akuttmottaket.
极其	ekstremt	Dette spørsmålet er ekstremt viktig.
集合	samles	Samle dere ved inngangen klokken åtte.
集体	kollektiv; gruppe-	Dette er en gruppeaktivitet.
集中	konsentrere seg	Man bør konsentrere seg i timen.
寂寞	ensom	Å bo alene kan noen ganger være ensomt.
系领带	knyte slips	Han knyter slips før jobb hver dag.
纪录	en rekord	Han slo skolerekorden.
纪律	disiplin	Disiplin i klasserommet er veldig viktig.
纪念	minnes; markere	Vi tok bilder for å minnes denne dagen.
计算	beregne	Regn ut totalkostnaden.
记录	notere; føre referat	Noter innholdet i møtet.
记忆	et minne	Dette minnet er veldig verdifullt.
嘉宾	en æresgjest	Dagens gjest er en forfatter.
夹子	en klype; en klips	Bruk en klips til å holde dokumentene sammen.
家庭	en familie	Familien er veldig viktig for barn.
家务	husarbeid	Jeg må gjøre husarbeid i helgen.
家乡	en hjemby; hjemsted	Jeg savner hjemstedet mitt veldig.
假如	hvis	Hvis det regner i morgen, drar vi ikke.
假设	anta; en antakelse	Anta at du er lærer, hva ville du gjort?
假装	lates som	Han lot som om han ikke hørte det.
甲	part A; første part	Part A må betale i tide.
价值	en verdi	Denne boken har stor verdi.
嫁	gifte seg med	Hun skal gifte seg med kjæresten sin neste år.
驾驶	kjøre; føre	Kjør forsiktig når du kjører bil.
兼职	en deltidsjobb; jobbe deltid	Han jobber deltid om kvelden.
坚决	bestemt; resolutt	Han er bestemt imot denne avgjørelsen.
坚强	sterk	Hun er en sterk person.
肩膀	en skulder	Skulderen hans er skadet.
艰巨	vanskelig; krevende	Dette er en krevende oppgave.
艰苦	hard; vanskelig	De opplevde et hardt liv.
剪刀	saks	Gi meg saksen.
捡	plukke opp	Han plukket opp lommeboken fra bakken.
简历	en CV	Forbered en CV før du søker jobb.
简直	rett og slett	Denne nyheten er rett og slett sjokkerende.
健身	trene; holde seg i form	Han trener tre ganger i uken.
建立	etablere	Vi etablerte et nytt forhold.
建设	bygging; bygge	Byutviklingen går raskt.
建筑	en bygning; arkitektur	Denne bygningen har særpreg.
键盘	et tastatur	Tastaturet mitt må rengjøres.
讲究	legge vekt på	Kinesere legger stor vekt på mat.
讲座	en forelesning	Det er en kinesiskforelesning i kveld.
酱油	soyasaus	Tilsett litt soyasaus i retten.
交换	utveksle; bytte	Vi utvekslet telefonnumre.
交际	kommunikasjon; sosial omgang	Når man lærer språk, må man også øve på kommunikasjon.
交往	være sammen; ha kontakt	De har vært sammen i to år.
浇	vanne	Vann blomstene hver dag.
胶水	lim	Jeg brukte lim til å feste bildet.
狡猾	lur; slu	Den reven er veldig slu.
角度	en vinkel	La oss se på problemet fra en annen vinkel.
教材	læremateriell; lærebok	Denne læreboken er veldig praktisk.
教练	en trener	Treneren krever at vi kommer presis.
教训	en lærepenge	Dette nederlaget er en lærepenge.
接触	komme i kontakt med	Det er første gang jeg kommer i kontakt med kinesisk kultur.
接待	ta imot	Selskapet ordnet en egen person til å ta imot gjestene.
接近	nærme seg	Kinesisk nyttår nærmer seg mer og mer.
结实	solid; robust	Denne kofferten er veldig solid.
阶段	en fase	Studiet er delt inn i tre faser.
结构	en struktur	Denne artikkelen har en tydelig struktur.
结合	kombinere	Studier bør kombineres med praksis.
结论	en konklusjon	Konklusjonen hans er veldig overbevisende.
结账	betale regningen	Etter måltidet gikk vi for å betale regningen.
节省	spare	Å ta T-banen kan spare tid.
借口	en unnskyldning	Slutt å finne på unnskyldninger.
届	utgave; omgang	Dette er den tredje utgaven av konkurransen.
戒	slutte med; avvenne	Legen rådet ham til å slutte å røyke.
戒指	en ring	Hun har på seg en ring.
金属	et metall	Jern er et slags metall.
尽快	så snart som mulig	Svar på e-posten så snart som mulig.
紧急	akutt; hastende	Dette er en akutt situasjon.
谨慎	forsiktig	Vær forsiktig før du investerer.
尽力	gjøre sitt beste	Jeg skal gjøre mitt beste for å hjelpe deg.
