source_headword	DE	example_DE
loom	sich zusammenbrauen	Dunkle Wolken brauen sich über dem Tal zusammen.
loop	die Schleife	Der Weg bildet eine Schleife.
loyalty	die Loyalität	Seine Loyalität beeindruckte das Team.
machinery	die Maschinen	Die Fabrik installierte neue Maschinen.
magical	magisch	Der Garten sah nachts magisch aus.
magistrate	der Magistrat	Der Magistrat hörte den Fall.
magnetic	magnetisch	Das Magnetfeld beeinflusste den Kompass.
magnitude	das Ausmaß	Das Ausmaß des Schadens war klar.
mainland	das Festland	Die Fähre verbindet Inseln mit dem Festland.
mainstream	der Mainstream	Die Idee erreichte die Mainstream-Politik.
maintenance	die Wartung	Regelmäßige Wartung verhindert Ausfälle.
mandate	das Mandat	Der Präsident beanspruchte ein starkes Mandat.
mandatory	obligatorisch	Die Anwesenheit ist für Auszubildende obligatorisch.
manifest	sich manifestieren	Symptome können sich nach Wochen manifestieren.
manipulate	manipulieren	Manipulieren Sie die Umfrageergebnisse nicht.
manipulation	die Manipulation	Die Datenmanipulation wurde aufgedeckt.
manuscript	das Manuskript	Der Verlag nahm ihr Manuskript an.
march	marschieren	Die Demonstranten werden ins Zentrum marschieren.
marginal	geringfügig	Die Änderung hatte geringfügige Vorteile.
marine	marin	Das marine Leben braucht sauberes Wasser.
marketplace	der Marktplatz	Der Online-Marktplatz wuchs schnell.
mask	die Maske	Arbeiter müssen eine Maske tragen.
massacre	das Massaker	Das Massaker schockierte die gesamte Region.
mathematical	mathematisch	Das mathematische Modell sagte die Nachfrage voraus.
mature	reif	Die reifen Bäume spenden Schatten.
maximize	maximieren	Das Update wird die Akkulaufzeit maximieren.
meaningful	bedeutungsvoll	Sie hatten ein bedeutungsvolles Gespräch.
meantime	die Zwischenzeit	In der Zwischenzeit warten Sie draußen.
medieval	mittelalterlich	Das Schloss hat mittelalterliche Mauern.
meditation	die Meditation	Tägliche Meditation beruhigt ihren Geist.
melody	die Melodie	Die Melodie blieb in meinem Kopf.
memo	das Memo	Das Memo erklärte die Richtlinie.
memoir	die Memoiren	Ihre Memoiren beschreiben das Exil in der Kindheit.
memorial	das Denkmal	Das Denkmal ehrt lokale Soldaten.
mentor	der Mentor	Ihr Mentor hat den Vorschlag überprüft.
merchant	der Händler	Der Händler verkaufte Seide und Gewürze.
mercy	die Gnade	Der Richter zeigte Gnade.
mere	bloß	Ein bloßer Blick enthüllte den Fehler.
merely	lediglich	Sie wiederholte lediglich die Anweisungen.
merge	fusionieren	Die beiden Unternehmen werden fusionieren.
merger	die Fusion	Die Fusion schuf eine größere Bank.
merit	der Verdienst	Der Vorschlag hat offensichtlichen Wert.
methodology	die Methodik	Die Studie erklärt ihre Methodik.
midst	die Mitte	Sie arbeiteten inmitten des Chaos.
migration	die Migration	Saisonale Migration beeinflusst lokale Arbeitsplätze.
militant	der Militante	Die militante Gruppe lehnte Verhandlungen ab.
militia	die Miliz	Die Miliz kontrollierte die Straße.
mill	die Mühle	Die alte Mühle wurde zum Museum.
minimal	minimal	Der Plan erfordert minimalen Aufwand.
minimize	minimieren	Wir müssen unnötige Risiken minimieren.
mining	der Bergbau	Der Bergbau beschädigte das Flusstal.
ministry	das Ministerium	Das Ministerium kündigte neue Regeln an.
minute2	winzig	Ein winziger Riss erschien im Glas.
miracle	das Wunder	Seine Genesung schien wie ein Wunder.
misery	das Elend	Die Flüchtlinge ertrugen jahrelanges Elend.
misleading	irreführend	Das irreführende Diagramm verwirrte die Leser.
missile	die Rakete	Der Raketentest erhöhte die Spannungen.
mob	der Mob	Der wütende Mob blockierte den Verkehr.
mobility	die Mobilität	Bessere Busse verbessern die urbane Mobilität.
mobilize	mobilisieren	Führungskräfte mobilisieren schnell Freiwillige.
moderate	gemäßigt	Der Kandidat vertritt gemäßigte Ansichten.
modification	die Modifikation	Das Design benötigt eine Modifikation.
momentum	der Schwung	Die Kampagne gewann schnell an Schwung.
monk	der Mönch	Der Mönch lebte in Stille.
monopoly	das Monopol	Die Firma hatte ein Monopol.
morality	die Moral	Der Kurs untersucht die öffentliche Moral.
motive	das Motiv	Die Polizei hinterfragte sein Motiv.
motorist	der Autofahrer	Der Autofahrer hielt an roten Ampeln an.
municipal	städtisch	Die städtischen Dienstleistungen haben sich dieses Jahr verbessert.
mutual	gegenseitig	Sie trafen eine gegenseitige Vereinbarung.
namely	nämlich	Ein Problem bleibt, nämlich die Finanzierung.
nationwide	bundesweit	Der Streik verursachte bundesweite Verzögerungen.
naval	naval	Der Marinestützpunkt wurde letztes Jahr geschlossen.
neglect	vernachlässigen	Vernachlässigen Sie die grundlegende Sicherheit nicht.
neighbouring	benachbart	Die benachbarten Städte teilten sich das Krankenhaus.
nest	das Nest	Der Vogel baute ein Nest.
net	netto	Der Nettogewinn stieg stark an.
newsletter	der Newsletter	Der Newsletter kommt jeden Freitag an.
niche	die Nische	Das Unternehmen fand eine profitable Nische.
noble	edel	Ihre edle Geste beeindruckte alle.
nod	nicken	Bitte nicken Sie, wenn Sie verstehen.
nominate	nominieren	Sie werden einen neuen Vorsitzenden nominieren.
nomination	die Nominierung	Ihre Nominierung überraschte den Ausschuss.
nominee	der Nominierte	Der Nominierte beantwortete schwierige Fragen.
nonetheless	nichtsdestotrotz	Nichtsdestotrotz wurde der Plan vorangetrieben.
non-profit	gemeinnützig	Sie arbeitet für eine gemeinnützige Klinik.
nonsense	der Unsinn	Dieses Gerücht ist völliger Unsinn.
noon	der Mittag	Das Treffen beginnt am Mittag.
notable	bemerkenswert	Der Bericht machte bemerkenswerte Fortschritte.
notably	insbesondere	Insbesondere sanken die Kosten im Mai.
notify	benachrichtigen	Bitte benachrichtigen Sie das Personal vor dem Verlassen.
notorious	berüchtigt	Die Straße ist berüchtigt für Unfälle.
novel	neuartig	Sie schlugen eine neuartige Lösung vor.
nursery	die Kinderkrippe	Die Kinderkrippe betreut Säuglinge.
objection	der Einspruch	Der Anwalt erhob Einspruch.
oblige	verpflichten	Die Regeln verpflichten Fahrer zum Anhalten.
obsess	sich fixieren	Fixieren Sie sich nicht auf kleine Fehler.
obsession	die Besessenheit	Seine Besessenheit schadete seiner Arbeit.
occasional	gelegentlich	Gelegentliche Verzögerungen werden erwartet.
occurrence	das Vorkommnis	Ein solches Vorkommnis ist selten.
odds	die Chancen	Die Erfolgschancen haben sich verbessert.
offering	das Angebot	Die Universität hat ihr Angebot erweitert.
offspring	der Nachwuchs	Der Fuchs beschützte seinen Nachwuchs.
operational	betriebsbereit	Das neue System ist betriebsbereit.
opt	sich entscheiden	Viele Studenten entscheiden sich für Online-Kurse.
optical	optisch	Die optische Linse muss gereinigt werden.
optimism	der Optimismus	Der Optimismus kehrte nach der Ankündigung zurück.
oral	mündlich	Die mündliche Prüfung beginnt morgen.
organizational	organisatorisch	Organisatorische Veränderungen begannen sofort.
orientation	die Einarbeitung	Der Workshop behandelte die Einarbeitung der Mitarbeiter.
originate	stammen	Viele Traditionen stammen aus ländlichen Dörfern.
outbreak	der Ausbruch	Der Ausbruch breitete sich über die Stadt aus.
outing	der Ausflug	Die Klasse genoss einen Museumsausflug.
outlet	das Outlet	Das Outlet verkauft reduzierte Kleidung.
outlook	der Ausblick	Der wirtschaftliche Ausblick bleibt ungewiss.
outrage	die Empörung	Die Entscheidung löste öffentliche Empörung aus.
outsider	der Außenstehende	Als Außenstehende bemerkte sie Probleme.
overlook	übersehen	Übersehen Sie keine kleinen Details.
overly	übermäßig	Die Anweisungen waren übermäßig komplex.
oversee	beaufsichtigen	Sie wird das Projekt leiten.
overturn	aufheben	Das Gericht könnte das Urteil aufheben.
overwhelm	überfordern	Zu viele Informationen können Lernende überfordern.
overwhelming	erdrückend	Die Beweise waren erdrückend.
pad	der Schoner	Verwenden Sie den Schoner, um die Knie zu schützen.
parameter	der Parameter	Passen Sie jeweils einen Parameter an.
parental	elterlich	Elterliche Unterstützung verbesserte die Anwesenheit.
parish	die Gemeinde	Die Gemeinde organisierte ein Wohltätigkeitsessen.
parliamentary	parlamentarisch	Die parlamentarische Debatte dauerte Stunden.
partial	teilweise	Der Bericht gab eine teilweise Antwort.
partially	teilweise	Das Fenster war teilweise offen.
passing	das Ableben	Ihr Ableben war plötzlich.
passive	passiv	Passive Anleger akzeptierten stetige Renditen.
pastor	der Pastor	Der Pastor besuchte die Familie.
patch	der Flicken	Die Jacke braucht einen kleinen Flicken.
patent	das Patent	Das Unternehmen meldete ein Patent an.
pathway	der Weg	Der Weg führt zur Zertifizierung.
patrol	die Patrouille / patrouillieren	Die Polizei patrouilliert nachts in der Gegend.
patron	der Förderer	Das Museum dankte seinem Förderer.
peak	der Höhepunkt	Die Nachfrage erreichte einen Winterhöhepunkt.
peasant	der Bauer	Der Bauer besaß wenig Land.
peculiar	eigenartig	Das Zimmer hatte einen eigenartigen Geruch.
persist	anhalten	Die Symptome können tagelang anhalten.
persistent	hartnäckig	Ein hartnäckiger Husten erfordert Aufmerksamkeit.
personnel	das Personal	Personalakten sind vertraulich.
petition	die Petition	Die Petition sammelte Tausende von Unterschriften.
philosopher	der Philosoph	Der Philosoph hinterfragte gängige Annahmen.
philosophical	philosophisch	Die Diskussion wurde philosophisch.
physician	der Arzt	Der Arzt ordnete Bluttests an.
pioneer	der Pionier / die Pionierin	Sie wurde eine Pionierin in der Medizin.
pipeline	die Pipeline	Die Pipeline transportiert Gas unterirdisch.
pirate	der Pirat	Das Piratenschiff tauchte vor der Küste auf.
pit	die Grube	Die Arbeiter gruben eine tiefe Grube.
plea	die Bitte	Sein Flehen um Hilfe wurde ignoriert.
plead	sich bekennen	Der Verdächtige wird sich schuldig bekennen.
pledge	das Versprechen / zusichern	Sie sichern den Reformen Unterstützung zu.
plug	der Stecker / einstecken	Stecken Sie das Kabel in die Steckdose.
plunge	stürzen	Die Preise könnten nach dem Skandal stark fallen.
pole	die Stange	Die Flagge hing an einer Stange.
poll	die Umfrage	Die Umfrage zeigte veränderte Meinungen.
pond	der Teich	Enten überquerten den zugefrorenen Teich.
pop	platzen	Ballons platzen in der Nähe scharfer Gegenstände.
portfolio	das Portfolio	Ihr Portfolio umfasst mehrere Start-ups.
portray	darstellen	Der Film wird das Landleben darstellen.
postpone	verschieben	Sie beschlossen, die Anhörung zu verschieben.
post-war	Nachkriegs-	Nachkriegswohnraum wurde dringend benötigt.
practitioner	der Behandelnde	Der Behandelnde erklärte die Behandlung.
preach	predigen	Der Pfarrer wird am Sonntag predigen.
precedent	der Präzedenzfall	Das Urteil schuf einen wichtigen Präzedenzfall.
precision	die Präzision	Die Maschine schneidet mit Präzision.
predator	das Raubtier	Das Raubtier wartete in der Nähe des Flusses.
predecessor	der Vorgänger	Ihr Vorgänger hinterließ detaillierte Notizen.
predominantly	überwiegend	Die Gegend ist überwiegend ein Wohngebiet.
pregnancy	die Schwangerschaft	Eine Schwangerschaft erfordert regelmäßige medizinische Betreuung.
prejudice	das Vorurteil	Die Kampagne forderte rassistische Vorurteile heraus.
preliminary	vorläufig	Vorläufige Ergebnisse sehen vielversprechend aus.
premier	der Premierminister	Der Premierminister sprach heute vor dem Parlament.
premise	die Prämisse	Das Argument beruht auf einer falschen Prämisse.
premium	der Aufschlag	Kunden zahlten einen Aufschlag für Geschwindigkeit.
prescribe	verschreiben	Ärzte verschreiben Antibiotika vorsichtig.
prescription	das Rezept	Das Rezept läuft nächsten Monat ab.
presently	derzeit	Sie ist derzeit nicht verfügbar.
preservation	die Erhaltung	Die Erhaltung schützt historische Gebäude.
preside	den Vorsitz führen	Der Richter wird den Vorsitz im Prozess führen.
presidency	die Präsidentschaft	Seine Präsidentschaft dauerte acht Jahre.
presidential	präsidentschafts-	Die Präsidentschaftswahl erregte Aufmerksamkeit.
prestigious	renommiert	Sie gewann ein renommiertes Stipendium.
presumably	vermutlich	Das Büro ist heute vermutlich geschlossen.
presume	annehmen	Wir nehmen an, dass die Dokumente echt sind.
prevail	sich durchsetzen	Der gesunde Menschenverstand sollte sich durchsetzen.
prevalence	die Verbreitung	Die Verbreitung von Asthma nahm zu.
prevention	die Vorbeugung	Vorbeugung ist billiger als Reparatur.
