hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
544:才1	才1	才	එවිට පමණක්; තුරු නොවේ	ඔහු රාත්‍රී දහයට පමණක් ගෙදර ආවා.	அப்போதுதான்; வரை இல்லை	அவர் இரவு பத்து மணிக்குத்தான் வீட்டிற்கு வந்தார்.
548:草地	草地	草地	තණබිම	ළමයි තණබිමේ සෙල්ලම් කරනවා.	புல்வெளி	குழந்தைகள் புல்வெளியில் விளையாடுகிறார்கள்.
550:查	查	查	පරීක්ෂා කිරීම; සොයා බැලීම	මට ටිකට් මිල සොයා බලන්න ඕන.	சரிபார்த்தல்; தேடிப் பார்க்குதல்	நான் டிக்கெட் விலையை சரிபார்க்க விரும்புகிறேன்.
554:常	常	常	නිතර	ඔහු නිතර එම පොත්හලට යයි.	அடிக்கடி	அவர் அடிக்கடி அந்த புத்தகக் கடைக்கு செல்கிறார்.
555:常见	常见	常见	සාමාන්‍යයෙන් දක්නට ලැබෙන	මෙය සාමාන්‍ය ප්‍රශ්නයකි.	பொதுவாகக் காணப்படும்	இது பொதுவான கேள்வி.
556:常用	常用	常用	බහුලව භාවිතා කරන	දුරකථනය බහුලව භාවිතා කරන මෙවලමකි.	பொதுவாக பயன்படுத்தப்படும்	தொலைபேசி பொதுவாக பயன்படுத்தப்படும் கருவி.
557:常常	常常	常常	නිතර නිතර	මම සවසට නිතර කියවමි.	அடிக்கடி	நான் மாலையில் அடிக்கடி படிப்பேன்.
564:出院	出院	出院	රෝහලෙන් පිටවීම	ඔහුට අද රෝහලෙන් පිටවිය හැක.	மருத்துவமனையிலிருந்து வெளியேறுதல்	அவர் இன்று மருத்துவமனையிலிருந்து வெளியேறலாம்.
565:初中	初中	初中	කනිෂ්ඨ මධ්‍යම පාසල	මගේ නංගි කනිෂ්ඨ මධ්‍යම පාසලක ඉගෙන ගනී.	நடுத்தரப் பள்ளி	என் தங்கை நடுத்தரப் பள்ளியில் படிக்கிறாள்.
568:春天	春天	春天	වසන්තය	වසන්තය පැමිණ ඇති අතර මල් පිපී ඇත.	வசந்த காலம்	வசந்த காலம் வந்துவிட்டது, மலர்கள் மலர்ந்துள்ளன.
574:大人	大人	大人	වැඩිහිටියා	වැඩිහිටියෝ වාසස්ථානයේ කතාබහ කරමින් සිටිති.	பெரியவர்; வயது வந்தவர்	பெரியவர்கள் வாசல் அறையில் பேசிக்கொண்டிருக்கிறார்கள்.
575:大小	大小	大小	ප්‍රමාණය	මෙම ඇඳුම් දෙකේ ප්‍රමාණය එකමයි.	அளவு	இந்த இரண்டு ஆடைகளின் அளவு ஒன்றுதான்.
576:大熊猫	大熊猫	大熊猫	මහ පැන්ඩා	මහ පැන්ඩා බම්බු කමින් සිටී.	பெரிய பாண்டா	பெரிய பாண்டா மூங்கில் சாப்பிடுகிறது.
577:大衣	大衣	大衣	බර කබාය	සීතල නිසා මම බර කබායක් ඇඳගත්තා.	மேலங்கி	குளிராக இருப்பதால் நான் மேலங்கி அணிந்தேன்.
583:得	得	得	ලබා ගැනීම	ඔහු මහන්සි වී ඉගෙනගෙන අවසානයේ ඉහළ ලකුණු ලබා ගත්තේය.	பெறுதல்	அவர் கடினமாகப் படித்து இறுதியில் உயர்ந்த மதிப்பெண் பெற்றார்.
584:得到	得到	得到	ලැබීම; ලබා ගැනීම	මට ගුරුවරයාගෙන් උදව් ලැබුණා.	பெறுதல்	எனக்கு ஆசிரியரிடமிருந்து உதவி கிடைத்தது.
585:得分	得分	得分	ලකුණු ලබා ගැනීම; ලකුණු	මෙම තරගයේ වැඩිම ලකුණු ඔහු ලබා ගත්තේය.	மதிப்பெண் பெறுதல்; மதிப்பெண்	இந்த ஆட்டத்தில் அவர் அதிக மதிப்பெண் பெற்றார்.
586:的话	的话	的话	නම්; එසේ නම්	ඔබට වේලාව තිබේ නම් අපි එකට යමු.	என்றால்; அப்படியானால்	உனக்கு நேரம் இருந்தால் நாம் சேர்ந்து போகலாம்.
589:地	地	地	භූමිය; පොළොව	මෙම භූමිය එළවළු වගා කිරීමට භාවිතා කළ හැක.	நிலம்; தரை	இந்த நிலத்தை காய்கறி வளர்க்க பயன்படுத்தலாம்.
593:电	电	电	විදුලිය	කාමරයේ විදුලිය නැහැ.	மின்சாரம்	அறையில் மின்சாரம் இல்லை.
595:电子书	电子书	电子书	ඉලෙක්ට්‍රොනික පොත	මම දුරකථනයෙන් ඉලෙක්ට්‍රොනික පොත් කියවමි.	மின்னூல்	நான் தொலைபேசியில் மின்னூல்கள் படிக்கிறேன்.
598:东北	东北	东北	ඊසාන දිශාව	මගේ ගෙදර නගරයේ ඊසාන පැත්තේ තියෙනවා.	வடகிழக்கு	என் வீடு நகரத்தின் வடகிழக்கில் உள்ளது.
599:东方	东方	东方	නැගෙනහිර; පෙරදිග	ඉර නැගෙනහිරින් උදාවේ.	கிழக்கு; கிழக்குப் பகுதி	சூரியன் கிழக்கில் உதிக்கிறது.
600:东南	东南	东南	ගිනිකොන	පාසල නගරයේ ගිනිකොන පැත්තේ තියෙනවා.	தென்கிழக்கு	பள்ளி நகரத்தின் தென்கிழக்கில் உள்ளது.
601:冬天	冬天	冬天	ශීත කාලය	මෙහි ශීත කාලයේ ඉතා සීතලයි.	குளிர்காலம்	இங்கே குளிர்காலத்தில் மிகவும் குளிராக இருக்கும்.
602:懂得	懂得	懂得	දැන සිටීම; තේරුම් ගැනීම	ඔහු අන් අයව සැලකිල්ලෙන් බලාගන්න දන්නවා.	அறிதல்; புரிந்துகொள்வது	அவருக்கு பிறரை கவனிப்பது எப்படி என்று தெரியும்.
604:动物园	动物园	动物园	සත්වෝද්‍යානය	මෙම සති අන්තයේ අපි සත්වෝද්‍යානයට යනවා.	விலங்குக் காட்சிச்சாலை	இந்த வார இறுதியில் நாங்கள் விலங்குக் காட்சிச்சாலைக்கு செல்கிறோம்.
606:短裤	短裤	短裤	කොට කලිසම්	ගිම්හානයේදී මම නිතර කොට කලිසම් අඳිමි.	குறுகிய கால்சட்டை	கோடையில் நான் அடிக்கடி குறுகிய கால்சட்டை அணிவேன்.
611:而且	而且	而且	තවද; එමෙන්ම	මෙම කඩය ලාභයි, තවද සේවාව හොඳයි.	மேலும்	இந்த கடை மலிவானது, மேலும் சேவை நன்றாக உள்ளது.
613:耳机	耳机	耳机	කන් දුරකථන	මගේ කන් දුරකථන මේසය මත තියෙනවා.	காதுக்கருவி	என் காதுக்கருவி மேசையில் உள்ளது.
620:方便面	方便面	方便面	ක්ෂණික නූඩ්ල්ස්	මම ඉඳහිට ක්ෂණික නූඩ්ල්ස් කනවා.	உடனடி நூடுல்ஸ்	நான் சில சமயம் உடனடி நூடுல்ஸ் சாப்பிடுவேன்.
623:房子	房子	房子	නිවස; මහල් නිවාසය	මෙම මහල් නිවාසය ඉතා පිරිසිදුයි.	வீடு; குடியிருப்பு	இந்த குடியிருப்பு மிகவும் சுத்தமாக உள்ளது.
625:放假	放假	放假	නිවාඩු ලැබීම	ඊළඟ සතියේ අපට දින තුනක් නිවාඩුයි.	விடுமுறை கிடைத்தல்	அடுத்த வாரம் எங்களுக்கு மூன்று நாட்கள் விடுமுறை.
627:放学	放学	放学	පාසල අවසන් වීම	පාසල අවසන් වූ පසු මම පුස්තකාලයට යනවා.	பள்ளி முடிதல்	பள்ளி முடிந்த பிறகு நான் நூலகத்திற்கு செல்கிறேன்.
628:分开	分开	分开	වෙන් කිරීම	කරුණාකර මෙම පොත් වෙන් කරන්න.	பிரித்தல்	தயவுசெய்து இந்த புத்தகங்களை பிரியுங்கள்.
629:风	风	风	සුළඟ	අද සුළඟ ගොඩක් හමනවා.	காற்று	இன்று காற்று மிகவும் பலமாக வீசுகிறது.
630:封	封	封	ලිපි සඳහා ගණක පදය	මට ලිපියක් ලැබුණා.	கடிதங்களுக்கு அளவுச்சொல்	எனக்கு ஒரு கடிதம் கிடைத்தது.
631:夫妻	夫妻	夫妻	විවාහක යුවළ	මෙම විවාහක යුවළ ඉතා මිත්‍රශීලීයි.	கணவன் மனைவி; தம்பதி	இந்த தம்பதி மிகவும் நட்பாக உள்ளனர்.
632:服务	服务	服务	සේවාව; සේවය කිරීම	මෙම අවන්හලේ සේවාව ඉතා හොඳයි.	சேவை; சேவை செய்தல்	இந்த உணவகத்தின் சேவை மிகவும் நன்றாக உள்ளது.
635:该1	该1	该	කළ යුතුයි	අපි දැන් යා යුතුයි.	வேண்டும்; செய்ய வேண்டும்	நாம் இப்போது போக வேண்டும்.
638:感到	感到	感到	දැනීම	මට ටිකක් මහන්සි දැනෙනවා.	உணருதல்	எனக்கு கொஞ்சம் சோர்வாக உணருகிறது.
643:刚刚	刚刚	刚刚	දැන් ටිකකට පෙර	ඔහු දැන් ටිකකට පෙර පන්ති කාමරයෙන් ගියා.	இப்போதுதான்	அவர் இப்போதுதான் வகுப்பறையை விட்டு சென்றார்.
644:高铁	高铁	高铁	අධිවේගී දුම්රිය	මම හෙට බීජිං වෙත අධිවේගී දුම්රියෙන් යනවා.	அதிவேக ரயில்	நான் நாளை பெய்ஜிங்குக்கு அதிவேக ரயிலில் செல்கிறேன்.
649:工作日	工作日	工作日	වැඩ දිනය	වැඩ දිනවල මම උදේ හතට නැගිටිනවා.	வேலை நாள்	வேலை நாட்களில் நான் காலை ஏழு மணிக்கு எழுவேன்.
651:刮	刮	刮	හමීම; සීරීම	පිටත දැඩි සුළඟක් හමයි.	வீசுதல்; சுரண்டுதல்	வெளியில் பலமான காற்று வீசுகிறது.
653:关机	关机	关机	අක්‍රිය කිරීම	පන්තිය අතරතුර දුරකථනය අක්‍රිය කරන්න.	அணைத்தல்	வகுப்பு நேரத்தில் உங்கள் தொலைபேசியை அணைக்கவும்.
657:关注	关注	关注	අවධානය යොමු කිරීම	මම මගේ දරුවාගේ ඉගෙනීමට විශේෂ අවධානයක් දෙමි.	கவனம் செலுத்துதல்	என் குழந்தையின் படிப்பில் நான் அதிக கவனம் செலுத்துகிறேன்.
659:过节	过节	过节	උත්සවය සැමරීම	උත්සවය සැමරෙන විට නිවස සජීවී වේ.	விழா கொண்டாடுதல்	விழாவைக் கொண்டாடும்போது வீடு மிகவும் கலகலப்பாக இருக்கும்.
661:海	海	海	මුහුද	මට මුහුදුබඩට සංචාරය කරන්න ඕන.	கடல்	நான் கடற்கரைக்கு பயணம் செய்ய விரும்புகிறேன்.
663:好多	好多	好多	බොහෝ; ගොඩක්	කඩයේ නව පොත් ගොඩක් තියෙනවා.	நிறைய; பல	கடையில் நிறைய புதிய புத்தகங்கள் உள்ளன.
664:好久	好久	好久	දිගු කාලයක්	අපි දිගු කාලයක් එකිනෙකා දැකලා නැහැ.	நீண்ட காலம்	நாங்கள் நீண்ட காலமாக ஒருவரையொருவர் பார்க்கவில்லை.
667:河	河	河	ගඟ	මෙම ගඟ පළල්ය.	நதி	இந்த நதி அகலமாக உள்ளது.
670:红绿灯	红绿灯	红绿灯	වාහන ආලෝක සංඥා	මාර්ගය මාරු වන විට වාහන ආලෝක සංඥා බලන්න.	போக்குவரத்து விளக்கு	சாலை கடக்கும் போது போக்குவரத்து விளக்கைப் பாருங்கள்.
672:后年	后年	后年	ඊළඟ වසරෙන් පසු වසර	ඊළඟ වසරෙන් පසු වසරේ මට චීනයට ගොස් ඉගෙන ගන්න ඕන.	அடுத்த ஆண்டுக்குப் பின்வரும் ஆண்டு	அடுத்த ஆண்டுக்குப் பின்வரும் ஆண்டில் நான் சீனாவுக்குச் சென்று படிக்க விரும்புகிறேன்.
673:后天	后天	后天	අනිද්දා	අනිද්දා අපට විභාගයක් තියෙනවා.	நாளை மறுநாள்	நாளை மறுநாள் எங்களுக்கு தேர்வு உள்ளது.
675:花园	花园	花园	උද්‍යානය; මල් වත්ත	උද්‍යානයේ මල් ගොඩක් තියෙනවා.	தோட்டம்	தோட்டத்தில் பல மலர்கள் உள்ளன.
676:画家	画家	画家	චිත්‍ර ශිල්පියා	මෙම චිත්‍ර ශිල්පියා ඉතා ප්‍රසිද්ධයි.	ஓவியர்	இந்த ஓவியர் மிகவும் புகழ்பெற்றவர்.
681:黄色	黄色	黄色	කහ පැහැය	මම කහ උඩ ඇඳුමක් මිලදී ගත්තා.	மஞ்சள் நிறம்	நான் மஞ்சள் நிற மேலங்கி வாங்கினேன்.
685:或	或	或	හෝ	ඔබට මෝටර් රථයෙන් හෝ පයින් යා හැක.	அல்லது	நீங்கள் காரில் அல்லது நடந்து செல்லலாம்.
687:鸡	鸡	鸡	කුකුළා; කුකුළු මස්	ආච්චිගේ ගෙදර කුකුළන් කිහිප දෙනෙක් ඇති කරනවා.	கோழி	பாட்டியின் வீட்டில் சில கோழிகள் வளர்க்கப்படுகின்றன.
691:急	急	急	කලබල; හදිසි	කලබල වෙන්න එපා. වාහනය තවම ආවේ නැහැ.	அவசரம்; பதற்றம்	பதற்றப்படாதே. கார் இன்னும் வரவில்லை.
692:记	记	记	මතක තබා ගැනීම; ලියා ගැනීම	කරුණාකර මගේ දුරකථන අංකය ලියාගන්න.	நினைவில் வைத்தல்; எழுதிக் கொள்ளுதல்	தயவுசெய்து என் தொலைபேசி எண்ணை எழுதிக்கொள்ளுங்கள்.
693:季	季	季	ඍතුව	වසරක ඍතු හතරක් ඇත.	காலம்; பருவம்	ஒரு ஆண்டில் நான்கு பருவங்கள் உள்ளன.
695:加	加	加	එකතු කිරීම	කරුණාකර මට වතුර ටිකක් එකතු කරන්න.	சேர்த்தல்	தயவுசெய்து எனக்கு கொஞ்சம் தண்ணீர் சேர்க்கவும்.
696:假期	假期	假期	නිවාඩුව	නිවාඩුවේදී මට විවේක ගන්න ඕන.	விடுமுறை	விடுமுறையில் நான் ஓய்வு எடுக்க விரும்புகிறேன்.
700:检票	检票	检票	ටිකට් පරීක්ෂා කිරීම	ස්ථානයට ඇතුළු වීමට පෙර ටිකට් පරීක්ෂා කළ යුතුය.	டிக்கெட் சரிபார்த்தல்	நிலையத்திற்குள் செல்லும் முன் டிக்கெட் சரிபார்க்க வேண்டும்.
707:街	街	街	වීදිය	මෙම වීදිය ඉතා සජීවීයි.	தெரு	இந்த தெரு மிகவும் கலகலப்பாக உள்ளது.
714:姐妹	姐妹	姐妹	සහෝදරියන්	ඔවුන් සහෝදරියන්ය.	சகோதரிகள்	அவர்கள் சகோதரிகள்.
716:斤	斤	斤	ජින්; අඩ කිලෝ ගණක ඒකකය	මම ඇපල් කිලෝ එකක් විතර මිලදී ගත්තා.	ஜின்; அரைக் கிலோ அளவு	நான் சுமார் ஒரு கிலோ ஆப்பிள் வாங்கினேன்.
720:酒	酒	酒	මද්‍යසාර	තාත්තා සවස මද්‍යසාර බොන්නේ නැහැ.	மது	அப்பா மாலையில் மது குடிக்க மாட்டார்.
722:句	句	句	වාක්‍යය; වාක්‍ය සඳහා ගණක පදය	කරුණාකර තවත් වාක්‍යයක් කියන්න.	வாக்கியம்; வாக்கியங்களுக்கு அளவுச்சொல்	தயவுசெய்து இன்னொரு வாக்கியம் சொல்லுங்கள்.
725:卡	卡	卡	කාඩ්පත	මගේ කාඩ්පත මගේ බෑගයේ තියෙනවා.	அட்டை	என் அட்டை என் பையில் உள்ளது.
726:开花	开花	开花	මල් පිපීම	වසන්තයේ ගස් සියල්ල මල් පිපෙයි.	மலர்தல்	வசந்த காலத்தில் மரங்கள் அனைத்தும் மலர்கின்றன.
727:开会	开会	开会	රැස්වීමක් පැවැත්වීම	අද දවල් තුනට මට රැස්වීමක් තියෙනවා.	கூட்டம் நடத்துதல்	இன்று பிற்பகல் மூன்று மணிக்கு எனக்கு கூட்டம் உள்ளது.
728:开机	开机	开机	යන්ත්‍රය ක්‍රියාත්මක කිරීම	පරිගණකය ඉතා සෙමින් ක්‍රියාත්මක වේ.	இயக்குதல்; தொடங்குதல்	கணினி மிகவும் மெதுவாக தொடங்குகிறது.
730:看来	看来	看来	බලන විට; පෙනෙන්නේ	අද වැස්ස එන බව පෙනේ.	பார்க்கையில்; போலத் தெரிகிறது	இன்று மழை பெய்யப் போகிறது போலத் தெரிகிறது.
731:可	可	可	ඇත්තටම; ඉතා	ඔහු ඇත්තටම සතුටින් ඉන්නවා.	உண்மையில்; மிகவும்	அவர் உண்மையில் மிகவும் மகிழ்ச்சியாக இருக்கிறார்.
736:课本	课本	课本	පාඩම් පොත	කරුණාකර පාඩම් පොත විවෘත කරන්න.	பாடப்புத்தகம்	தயவுசெய்து பாடப்புத்தகத்தைத் திறக்கவும்.
738:课文	课文	课文	පාඩම් පෙළ	මෙම පාඩම් පෙළ අමාරු නැහැ.	பாட உரை	இந்த பாட உரை கடினமில்லை.
746:老人	老人	老人	වයෝවෘද්ධ පුද්ගලයා	මෙම වයෝවෘද්ධ පුද්ගලයාට උදව් අවශ්‍යයි.	முதியவர்	இந்த முதியவருக்கு உதவி தேவை.
751:练	练	练	අභ්‍යාස කිරීම	මම දිනපතා චීන භාෂාව අභ්‍යාස කරමි.	பயிற்சி செய்தல்	நான் தினமும் சீனம் பயிற்சி செய்கிறேன்.
755:聊	聊	聊	කතාබහ කිරීම	මට ඔබ සමඟ කතාබහ කරන්න ඕන.	அரட்டையடித்தல்	நான் உன்னுடன் பேச விரும்புகிறேன்.
756:聊天儿	聊天儿	聊天儿	කතාබහ කිරීම	අපි සවසට එකට කතාබහ කරමු.	அரட்டையடித்தல்	நாங்கள் மாலையில் சேர்ந்து பேசுகிறோம்.
760:留学生	留学生	留学生	විදේශ ශිෂ්‍යයා	ඔහු ජපානයෙන් පැමිණි විදේශ ශිෂ්‍යයෙකි.	வெளிநாட்டு மாணவர்	அவர் ஜப்பானிலிருந்து வந்த வெளிநாட்டு மாணவர்.
761:楼梯	楼梯	楼梯	පඩිපෙළ	කරුණාකර පඩිපෙළෙන් ඉහළට යන්න.	படிக்கட்டு	தயவுசெய்து படிக்கட்டில் மேலே செல்லுங்கள்.
762:路边	路边	路边	මාර්ග අයින	ඔහු මෝටර් රථය මාර්ග අයිනේ නවත්වලා තියෙනවා.	சாலை ஓரம்	அவர் காரை சாலை ஓரத்தில் நிறுத்தினார்.
763:路口	路口	路口	මංසන්ධිය	මම මංසන්ධියේ ඔබ එනතුරු බලා සිටිමි.	சந்திப்பு	நான் சந்திப்பில் உன்னை காத்திருக்கிறேன்.
765:马路	马路	马路	මාර්ගය	මාර්ගය මාරු වන විට සැලකිලිමත් වන්න.	சாலை	சாலை கடக்கும் போது கவனமாக இருங்கள்.
770:面前	面前	面前	ඉදිරියේ	ගුරුවරයා ශිෂ්‍යයන් ඉදිරියේ සිටියි.	முன்	ஆசிரியர் மாணவர்களின் முன் நிற்கிறார்.
772:名单	名单	名单	නම් ලැයිස්තුව	කරුණාකර ලැයිස්තුවේ ඔබේ නම ලියන්න.	பெயர் பட்டியல்	தயவுசெய்து பட்டியலில் உங்கள் பெயரை எழுதுங்கள்.
773:名人	名人	名人	ප්‍රසිද්ධ පුද්ගලයා	මෙම නගරයේ ප්‍රසිද්ධ පුද්ගලයන් බොහෝ දෙනෙක් සිටිති.	பிரபல நபர்	இந்த நகரத்தில் பல பிரபல நபர்கள் உள்ளனர்.
776:南方	南方	南方	දකුණු ප්‍රදේශය	දකුණු ප්‍රදේශයේ ශීත කාලය ඉතා සීතල නොවේ.	தெற்கு பகுதி	தெற்கில் குளிர்காலம் மிகவும் குளிராக இருக்காது.
778:难看	难看	难看	කැත; බලන්න අප්‍රසන්න	මෙම ඇඳුම ටිකක් කැතයි.	அழகில்லாத; பார்க்க மோசமான	இந்த ஆடை கொஞ்சம் அழகில்லை.
780:男生	男生	男生	පිරිමි ශිෂ්‍යයා	එම පිරිමි ළමයා බාස්කට්බෝල් ක්‍රීඩා කරයි.	ஆண் மாணவர்; சிறுவன்	அந்த சிறுவன் கூடைப்பந்து விளையாடுகிறான்.
781:难题	难题	难题	අමාරු ප්‍රශ්නය	මට මෙම අමාරු ප්‍රශ්නය විසඳා ගන්න බැහැ.	கடினமான பிரச்சினை	இந்த கடினமான பிரச்சினையை நான் தீர்க்க முடியவில்லை.
782:难听	难听	难听	කනට අප්‍රසන්න	මෙම ශබ්දය කනට අප්‍රසන්නයි.	கேட்க மோசமான	இந்த ஒலி கேட்க மோசமாக உள்ளது.
785:牛	牛	牛	ගවයා	මෙම ගවයා ඉතා විශාලයි.	மாடு	இந்த மாடு மிகவும் பெரியது.
788:女生	女生	女生	ගැහැණු ශිෂ්‍යාව	මෙම ගැහැණු ළමයා ඉතා හොඳින් ගායනා කරයි.	பெண் மாணவி; சிறுமி	இந்த சிறுமி மிகவும் நன்றாகப் பாடுகிறாள்.
789:爬	爬	爬	නැගීම	ළමයා පඩිපෙළ නගිනවා.	ஏறுதல்	குழந்தை படிக்கட்டில் ஏறுகிறது.
790:怕	怕	怕	බිය වීම	මට අඳුරට බයයි.	பயப்படுதல்	எனக்கு இருட்டுக்கு பயம்.
791:拍照	拍照	拍照	ඡායාරූප ගැනීම	ඔවුන් උද්‍යානයේ ඡායාරූප ගනිමින් සිටිති.	புகைப்படம் எடுதல்	அவர்கள் பூங்காவில் புகைப்படம் எடுக்கிறார்கள்.
801:起	起	起	නැගිටීම; නැගීම	කරුණාකර ටිකක් කලින් නැගිටින්න.	எழுதல்	தயவுசெய்து கொஞ்சம் முன்பாக எழுங்கள்.
803:汽车	汽车	汽车	මෝටර් රථය	මෙම මෝටර් රථය ඉතා අලුත්.	கார்	இந்த கார் மிகவும் புதியது.
804:铅笔	铅笔	铅笔	පැන්සල	මම පැන්සලකින් ලියමි.	பென்சில்	நான் பென்சிலால் எழுதுகிறேன்.
805:前年	前年	前年	පෙර වසරට පෙර වසර	මම පෙර වසරට පෙර වසරේ ගුවාන්ෂෝවට ගියා.	முன்னாண்டு	நான் முன்னாண்டு குவாங்சோவுக்கு சென்றேன்.
806:前天	前天	前天	පෙරේදා	මම පෙරේදා ඔහුව දැක්කා.	நேற்று முன்தினம்	நான் நேற்று முன்தினம் அவரைப் பார்த்தேன்.
809:请客	请客	请客	සංග්‍රහ කිරීම	අද සංග්‍රහය මගේ පැත්තෙන්.	விருந்து அளித்தல்	இன்று நான் விருந்து அளிக்கிறேன்.
810:秋天	秋天	秋天	සරත් කාලය	සරත් කාලයේ කාලගුණය සුවපහසුයි.	இலையுதிர் காலம்	இலையுதிர் காலத்தில் வானிலை சுகமாக இருக்கும்.
811:球场	球场	球场	ක්‍රීඩා පිටිය	ක්‍රීඩා පිටියේ ශිෂ්‍යයන් බොහෝ දෙනෙක් සිටිති.	விளையாட்டு மைதானம்	விளையாட்டு மைதானத்தில் பல மாணவர்கள் உள்ளனர்.
815:认得	认得	认得	හඳුනා ගැනීම	මම මෙම ගුරුවරයා හඳුනා ගන්නවා.	அடையாளம் காணுதல்	இந்த ஆசிரியரை நான் அடையாளம் காண்கிறேன்.
821:扫	扫	扫	අතුගා දැමීම	කරුණාකර බිම පිරිසිදු වන තුරු අතුගාන්න.	துடைத்தல்	தயவுசெய்து தரையை சுத்தமாக துடைக்கவும்.
823:山	山	山	කන්ද	මෙම කන්ද ඉතා උසයි.	மலை	இந்த மலை மிகவும் உயரமானது.
824:上衣	上衣	上衣	උඩ ඇඳුම	මෙම උඩ ඇඳුම අලුත්.	மேலாடை	இந்த மேலாடை புதியது.
826:身边	身边	身边	අසල; වටේ	මගේ අසල මිතුරන් බොහෝ දෙනෙක් සිටිති.	அருகில்; சுற்றிலும்	என் அருகில் பல நண்பர்கள் உள்ளனர்.
827:身高	身高	身高	උස	ඔහුගේ උස මීටර් එකයි දශම අටයි.	உயரம்	அவரின் உயரம் ஒரு புள்ளி எட்டு மீட்டர்.
